Symbol	Gene ID	Log2	CV	Description	Prenatal exposure to low dose (25micrograms) of BPA
Hn1	BU759721	0.89	0.24	Hematological and neurological expressed sequence 1	50 days
Hnrpd	NM_024404	1.25	0.11	Heterogeneous nuclear ribonucleoprotein D	50 days
Il16	BM385972	1.12	0.7	Interleukin 16	50 days
Impa1	NM_032057	0.96	0.06	Inositol (myo)-1(or 4)-monophosphatase 1	50 days
Laptm5	NM_053538	1.13	0.59	Lysosomal-associated protein transmembrane 5	50 days
Lck	AW917510	1.11	1.19	Lymphocyte protein tyrosine kinase	50 days
Mapk1	BF395177	0.91	0.07	Mitogen activated protein kinase 1	50 days
Npy	NM_012614	1.36	0.34	Neuropeptide Y	50 days
Ns5atp9	AI230347	1.34	0.81	Ns5atp9 protein	50 days
Oas1	NM_138913	0.94	0.54	2,5-oligoadenylate synthetase 1, 40/46kDa	50 days
Omg	AI171162	1	0.39	Oligodendrocyte-myelin glycoprotein	50 days
P29	NM_133417	0.94	0.08	GCIP-interacting protein p29	50 days
Pnrc1	NM_173322	1.01	0.15	Proline rich 2	50 days
Pom210	NM_053322	0.93	0.63	Nuclear pore membrane glycoprotein 210	50 days
Pp	AI412958	0.88	0.34	Pyrophosphatase	50 days
Prps1	NM_017243	0.89	0.32	Phosphoribosyl pyrophosphate synthetase 1	50 days
Prss21	BF405109	0.89	0.62	Protease, serine, 21	50 days
Ptk2b	NM_017318	0.89	0.73	Protein tyrosine kinase 2 beta	50 days
Ptph6	NM_053908	1.1	0.58	Protein tyrosine phosphatase, non-receptor type 6	50 days
Ptprc	AI177752	1.75	0.86	Protein tyrosine phosphatase, receptor type, C	50 days
Rassf5	NM_019365	0.91	0.69	Ras association (RalGDS/AF-6) domain family 5	50 days
Ripk3	NM_139342	1	0.47	Receptor-interacting serine-threonine kinase 3	50 days
Rps26	NM_053799	0.89	0.18	Aspartyl-tRNA synthetase	50 days
Rps6kb2	BQ210840	2.27	0.69	Ribosomal protein S6 kinase, polypeptide 2 (predicted)	50 days
Rs21c6	NM_138892	1.03	0.61	RS21-C6 protein	50 days
RT1-Da	BQ211478	1.04	0.33	RT1 class II, locus Da	50 days
Rtn3	NM_080909	0.89	0.19	Reticulon 3	50 days
Scd2	NM_031841	0.91	0.3	Stearoyl-Coenzyme A desaturase 2	50 days
Sec5l1	NM_134414	0.92	0.07	Rsec5 protein	50 days
Slc22a3	NM_019230	1.07	0.6	Solute carrier family 22, member 3	50 days
Slpi	NM_053372	1.35	0.44	Secretory leukocyte peptidase inhibitor	50 days
Sod2	NM_017051	0.92	0.26	Superoxide dismutase 2, mitochondrial	50 days
Stk17b	BQ208294	1.71	0.64	Serine/threonine kinase 17b (apoptosis-inducing)	50 days
Stmn1	NM_017166	0.98	0.4	Stathmin 1	50 days
Tagln3	NM_031676	1.07	0.39	Transgelin 3	50 days
Tao2	NM_022702	1.02	0.05	TAO kinase 2	50 days
Tubb5	NM_173102	1.12	0.45	Tubulin, beta 5	50 days
Ubd	NM_053299	1.09	0.86	Ubiquitin D	50 days
Vcam1	NM_012889	1.07	0.33	Vascular cell adhesion molecule 1	50 days
WAS	AW534613	1.22	0.68	Wiskott-Aldrich syndrome protein	50 days
Waspip	BF283711	0.96	0.22	Wiskott-Aldrich syndrome protein interacting protein	50 days
Actn3	NM_133424	-3.58	-0.7	Actinin alpha 3	100 days
Aldoa	NM_012495	-1.78	-0.84	Aldolase A	100 days
Gad1	NM_017007	-1.54	-0.19	Glutamate decarboxylase 1	100 days
Myl2	NM_012605	-2.89	-0.86	Myosin, light polypeptide 2	100 days
Wap	NM_053751	-1.24	-0.19	Whey acidic protein	100 days
LOC474169	AI548308	1.23	0.7	Pre-eosinophil-associated ribonuclease-2	100 days
