Gene Name	P-value	Common	Genbank	Description
Hs.356835	2.74E-05		null	Cluster 356835 , UniGene build 163
	2.68E-05	GAPD	NM_002046.2	Homo sapiens glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.
	2.48E-05	FLJ20719	NM_017940.1	Homo sapiens hypothetical protein FLJ20719 (FLJ20719), mRNA.
	2.46E-05	LOC147136	XM_300674.1	Homo sapiens hypothetical protein LOC147136 (LOC147136), mRNA.
	2.44E-05	CD97	NM_001784.2	Homo sapiens CD97 antigen (CD97), transcript variant 2, mRNA.
	2.36E-05	DAZAP1	NM_018959.2	Homo sapiens DAZ associated protein 1 (DAZAP1), transcript variant 2, mRNA.
	2.35E-05	ZNF291	NM_020843.1	Homo sapiens zinc finger protein 291 (ZNF291), mRNA.
	2.29E-05	UCN	NM_003353.2	Homo sapiens urocortin (UCN), mRNA.
	2.27E-05	CARD4	NM_006092.1	Homo sapiens caspase recruitment domain family, member 4 (CARD4), mRNA.
	2.22E-05	TADA3L	NM_133481.1	Homo sapiens transcriptional adaptor 3 (NGG1 homolog, yeast)-like (TADA3L), transcript variant 3, mRNA.
	2.20E-05	ZBTB4	NM_020899.2	Homo sapiens zinc finger and BTB domain containing 4 (ZBTB4), mRNA.
Hs.433547	2.20E-05		null	Cluster 433547 , UniGene build 163
	2.15E-05	KIAA0767	XM_027105.3	Homo sapiens KIAA0767 protein (KIAA0767), mRNA.
	2.05E-05	MADD	NM_130474.1	Homo sapiens MAP-kinase activating death domain (MADD), transcript variant 6, mRNA.
	2.05E-05	LMAN1L	NM_021819.1	Homo sapiens lectin, mannose-binding, 1 like (LMAN1L), mRNA.
	2.04E-05	8-Sep	XM_034872.7	Homo sapiens likely ortholog of mouse septin 8 (SEPT8), mRNA.
	1.92E-05	PFKP	NM_002627.3	Homo sapiens phosphofructokinase, platelet (PFKP), mRNA.
	1.91E-05	KIAA1434	NM_019593.2	Homo sapiens hypothetical protein KIAA1434 (KIAA1434), mRNA.
	1.87E-05	LOC392888	XM_374605.1	Homo sapiens similar to T-cell receptor gamma chain V region PT-gamma-1/2 precursor (LOC392888), mRNA.
	1.87E-05	SSH2	NM_033389.2	Homo sapiens slingshot 2 (SSH2), mRNA.
	1.68E-05	SP1	NM_138473.2	Homo sapiens Sp1 transcription factor (SP1), mRNA.
	1.63E-05	TNPO1	NM_002270.2	Homo sapiens transportin 1 (TNPO1), transcript variant 1, mRNA.
	1.63E-05	LOC91431	NM_138698.2	Homo sapiens prematurely terminated mRNA decay factor-like (LOC91431), mRNA.
Hs.464643	1.53E-05		null	Cluster 464643 , UniGene build 163
	1.52E-05	HCFC1R1	NM_017885.1	Homo sapiens host cell factor C1 regulator 1 (XPO1 dependant) (HCFC1R1), mRNA.
	1.50E-05	HBS1L	NM_006620.2	Homo sapiens HBS1-like (S. cerevisiae) (HBS1L), mRNA.
	1.40E-05	STRN4	NM_013403.1	Homo sapiens striatin, calmodulin binding protein 4 (STRN4), mRNA.
	1.33E-05	LTBP4	NM_003573.1	Homo sapiens latent transforming growth factor beta binding protein 4 (LTBP4), mRNA.
	1.32E-05	GALNT12	NM_024642.2	Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12) (GALNT12), mRNA.
Hs.224849	1.31E-05		null	Cluster 224849 , UniGene build 163
	1.31E-05	C14orf112	NM_016468.3	Homo sapiens chromosome 14 open reading frame 112 (C14orf112), mRNA.
	1.30E-05	PIP3-E	NM_015553.1	Homo sapiens phosphoinositide-binding protein PIP3-E (PIP3-E), mRNA.
	1.30E-05	LOC389201	XM_374077.1	Homo sapiens LOC389201 (LOC389201), mRNA.
	1.29E-05	TXNIP	NM_006472.1	Homo sapiens thioredoxin interacting protein (TXNIP), mRNA.
	1.23E-05	VAT1	NM_006373.2	Homo sapiens vesicle amine transport protein 1 homolog (T californica) (VAT1), mRNA.
	1.21E-05	LOC401547	XM_376900.1	Homo sapiens similar to KIAA0563 gene product (LOC401547), mRNA.
	1.13E-05	SPAG9	NM_003971.3	Homo sapiens sperm associated antigen 9 (SPAG9), transcript variant 1, mRNA.
	1.04E-05	LOC285741	XM_209741.2	Homo sapiens similar to Translationally controlled tumor protein (TCTP) (p23) (Histamine-releasing factor) (HRF) (LOC285741), mRNA.
	1.00E-05	CSNK2A1	NM_177559.1	Homo sapiens casein kinase 2, alpha 1 polypeptide (CSNK2A1), transcript variant 1, mRNA.
	9.88E-06	DDX17	NM_030881.2	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 17 (DDX17), transcript variant 2, mRNA.
	9.84E-06	LOC92305	NM_138385.1	Homo sapiens hypothetical protein BC009331 (LOC92305), mRNA.
	9.84E-06	LOC89894	NM_138341.1	Homo sapiens hypothetical protein BC000282 (LOC89894), mRNA.
	9.83E-06	ENO2	NM_001975.2	Homo sapiens enolase 2 (gamma, neuronal) (ENO2), mRNA.
	9.06E-06	LOC51066	NM_015931.1	Homo sapiens fls485 (LOC51066), mRNA.
	9.05E-06	EVER1	NM_007267.5	Homo sapiens epidermodysplasia verruciformis 1 (EVER1), mRNA.
	8.84E-06	TPSD1	NM_012217.1	Homo sapiens tryptase delta 1 (TPSD1), mRNA.
	8.37E-06	HLA-DQA1	XM_371812.1	Homo sapiens major histocompatibility complex, class II, DQ alpha 1 (HLA-DQA1), mRNA.
	8.35E-06	MGC9850	NM_152705.1	Homo sapiens hypothetical protein MGC9850 (MGC9850), mRNA.
	8.09E-06	DKFZP727G051	XM_045308.6	Homo sapiens DKFZP727G051 protein (DKFZP727G051), mRNA.
	7.04E-06	IRF2BP2	NM_182972.1	Homo sapiens interferon regulatory factor 2 binding protein 2 (IRF2BP2), mRNA.
	6.46E-06	C9orf55	NM_017925.3	Homo sapiens chromosome 9 open reading frame 55 (C9orf55), mRNA.
	6.29E-06	PTPN23	NM_015466.1	Homo sapiens protein tyrosine phosphatase, non-receptor type 23 (PTPN23), mRNA.
	6.14E-06	hmm34630	null	Gnomon gene hmm34630 , RefSeq build 34
	5.66E-06	C21orf80	NM_133635.2	Homo sapiens chromosome 21 open reading frame 80 (C21orf80), mRNA.
	5.40E-06	DNASE1L3	NM_004944.1	Homo sapiens deoxyribonuclease I-like 3 (DNASE1L3), mRNA.
	5.19E-06	PRKCBP1	NM_183048.1	Homo sapiens protein kinase C binding protein 1 (PRKCBP1), transcript variant 3, mRNA.
	5.02E-06	ZNF337	NM_015655.2	Homo sapiens zinc finger protein 337 (ZNF337), mRNA.
	4.79E-06	SLC4A2	NM_003040.2	Homo sapiens solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1) (SLC4A2), mRNA.
	4.52E-06	POU2AF1	NM_006235.1	Homo sapiens POU domain, class 2, associating factor 1 (POU2AF1), mRNA.
	4.48E-06	hmm25682	null	Gnomon gene hmm25682 , RefSeq build 34
	4.39E-06	CYP2J2	NM_000775.2	Homo sapiens cytochrome P450, family 2, subfamily J, polypeptide 2 (CYP2J2), mRNA.
	4.38E-06	FBXW7	NM_033632.1	Homo sapiens F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila) (FBXW7), transcript variant 1, mRNA.
	4.20E-06	JFC1	NM_032872.1	Homo sapiens NADPH oxidase-related, C2 domain-containing protein (JFC1), mRNA.
	4.13E-06	LOC85028	XM_378848.1	Homo sapiens PNAS-123 (LOC85028), mRNA.
	3.91E-06	ZNF318	NM_014345.1	Homo sapiens zinc finger protein 318 (ZNF318), mRNA.
	3.87E-06	KIAA1729	XM_114418.3	Homo sapiens KIAA1729 protein (KIAA1729), mRNA.
	3.84E-06	FLJ39616	NM_016534.2	Homo sapiens apoptosis-related protein PNAS-1 (FLJ39616), mRNA.
	3.82E-06	SMARCC2	NM_139067.1	Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2 (SMARCC2), transcript variant 2, mRNA.
	3.77E-06	MGC33867	NM_138346.1	Homo sapiens hypothetical protein MGC33867 (MGC33867), mRNA.
	3.51E-06	INHBA	NM_002192.1	Homo sapiens inhibin, beta A (activin A, activin AB alpha polypeptide) (INHBA), mRNA.
	3.51E-06	STK3	NM_006281.1	Homo sapiens serine/threonine kinase 3 (STE20 homolog, yeast) (STK3), mRNA.
	3.34E-06	DGKH	NM_178009.2	Homo sapiens diacylglycerol kinase, eta (DGKH), transcript variant 2, mRNA.
	3.01E-06	ZNF226	NM_015919.2	Homo sapiens zinc finger protein 226 (ZNF226), mRNA.
	2.81E-06	CENTD2	NM_015242.2	Homo sapiens centaurin, delta 2 (CENTD2), transcript variant 2, mRNA.
	2.76E-06	C6orf151	NM_152551.2	Homo sapiens chromosome 6 open reading frame 151 (C6orf151), mRNA.
	2.66E-06	BRAF	NM_004333.2	Homo sapiens v-raf murine sarcoma viral oncogene homolog B1 (BRAF), mRNA.
	2.66E-06	IQGAP3	NM_178229.3	Homo sapiens IQ motif containing GTPase activating protein 3 (IQGAP3), mRNA.
Hs.481630	2.53E-06		null	Cluster 481630 , UniGene build 163
	2.48E-06	LOC343170	XM_291436.1	Homo sapiens similar to seven transmembrane helix receptor (LOC343170), mRNA.
	2.17E-06	FLJ32130	NM_152458.4	Homo sapiens hypothetical protein FLJ32130 (FLJ32130), mRNA.
	2.16E-06	MGC10715	NM_024325.4	Homo sapiens novel C2H2 type zinc finger protein (MGC10715), mRNA.
	1.98E-06	CCNE1	NM_001238.1	Homo sapiens cyclin E1 (CCNE1), transcript variant 1, mRNA.
	1.94E-06	MAN2C1	NM_006715.1	Homo sapiens mannosidase, alpha, class 2C, member 1 (MAN2C1), mRNA.
	1.93E-06	AHSA2	NM_152392.1	Homo sapiens AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast) (AHSA2), mRNA.
	1.78E-06	LIP8	NM_053051.1	Homo sapiens LYST-interacting protein LIP8 (LIP8), mRNA.
	1.65E-06	KIAA1228	XM_036408.5	Homo sapiens KIAA1228 protein (KIAA1228), mRNA.
	1.47E-06	SEDL	NM_014563.2	Homo sapiens spondyloepiphyseal dysplasia, late (SEDL), mRNA.
	1.25E-06	DDB2	NM_000107.1	Homo sapiens damage-specific DNA binding protein 2, 48kDa (DDB2), mRNA.
	1.17E-06	RNF24	NM_007219.2	Homo sapiens ring finger protein 24 (RNF24), mRNA.
	1.12E-06	DKFZp762C186	XM_170658.1	Homo sapiens tangerin (DKFZp762C186), mRNA.
	1.08E-06	FLJ22341	NM_024599.2	Homo sapiens hypothetical protein FLJ22341 (FLJ22341), mRNA.
	8.77E-07	DKFZp434I1610	XM_375569.1	Homo sapiens hypothetical protein DKFZp434I1610 (DKFZp434I1610), mRNA.
	8.73E-07	LIPE	NM_005357.2	Homo sapiens lipase, hormone-sensitive (LIPE), mRNA.
	8.21E-07	RAP80	NM_016290.3	Homo sapiens receptor associated protein 80 (RAP80), mRNA.
	7.93E-07	ZNF222	NM_013360.1	Homo sapiens zinc finger protein 222 (ZNF222), mRNA.
	7.50E-07	MSCP	NM_016612.1	Homo sapiens mitochondrial solute carrier protein (MSCP), mRNA.
	5.58E-07	TCIRG1	NM_006053.2	Homo sapiens T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein a isoform 3 (TCIRG1), transcript variant 2, mRNA.
	5.29E-07	ERCC5	NM_000123.1	Homo sapiens excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome)) (ERCC5), mRNA.
	5.10E-07	DATF1	NM_080797.1	Homo sapiens death associated transcription factor 1 (DATF1), transcript variant 3, mRNA.
	5.07E-07	YAP	NM_139121.1	Homo sapiens YY1 associated protein (YAP), transcript variant 5, mRNA.
	4.15E-07	REPIN1	NM_014374.1	Homo sapiens replication initiator 1 (REPIN1), mRNA.
	4.10E-07	PRO0659	NM_014138.2	Homo sapiens PRO0659 protein (PRO0659), mRNA.
Hs.291926	4.04E-07		null	Cluster 291926 , UniGene build 163
	3.94E-07	DKFZp434C1418	NM_173655.1	Homo sapiens hypothetical protein DKFZp434C1418 (DKFZp434C1418), mRNA.
	3.59E-07	LOC388284	XM_370984.2	Homo sapiens LOC388284 (LOC388284), mRNA.
	3.39E-07	MGC13114	NM_032366.2	Homo sapiens hypothetical protein MGC13114 (MGC13114), mRNA.
	3.25E-07	HRASLS2	NM_017878.1	Homo sapiens HRAS-like suppressor 2 (HRASLS2), mRNA.
	3.12E-07	NAGLU	NM_000263.2	Homo sapiens N-acetylglucosaminidase, alpha- (Sanfilippo disease IIIB) (NAGLU), mRNA.
	2.93E-07	GPR2	NM_016602.1	Homo sapiens G protein-coupled receptor 2 (GPR2), mRNA.
	2.71E-07	MGC10485	NM_052875.2	Homo sapiens hypothetical protein MGC10485 (MGC10485), mRNA.
	2.49E-07	TRIP-Br2	NM_014755.1	Homo sapiens transcriptional regulator interacting with the PHS-bromodomain 2 (TRIP-Br2), mRNA.
	2.27E-07	SAMD4	NM_015589.2	Homo sapiens sterile alpha motif domain containing 4 (SAMD4), mRNA.
	2.16E-07	SRRM2	NM_016333.2	Homo sapiens serine/arginine repetitive matrix 2 (SRRM2), mRNA.
	1.86E-07	RAC2	NM_002872.3	Homo sapiens ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2) (RAC2), mRNA.
	1.83E-07	LOC376084	XM_352067.1	Homo sapiens similar to eukaryotic translation initiation factor 3, subunit 5 (epsilon) (LOC376084), mRNA.
	8.77E-08	SLC26A6	NM_134426.1	Homo sapiens solute carrier family 26, member 6 (SLC26A6), transcript variant 3, mRNA.
	8.28E-08	ZNF198	NM_197968.1	Homo sapiens zinc finger protein 198 (ZNF198), mRNA.
	7.32E-08	LOC128439	NM_139016.2	Homo sapiens hypothetical gene LOC128439 (LOC128439), mRNA.
Hs.171092	4.47E-08		null	Cluster 171092 , UniGene build 163
	4.42E-08	PRSS15	NM_004793.2	Homo sapiens protease, serine, 15 (PRSS15), nuclear gene encoding mitochondrial protein, mRNA.
	4.19E-08	CDK5RAP2	NM_018249.3	Homo sapiens CDK5 regulatory subunit associated protein 2 (CDK5RAP2), mRNA.
	3.83E-08	LOC400695	XM_378801.1	Homo sapiens LOC400695 (LOC400695), mRNA.
	2.42E-08	INPP5E	NM_019892.2	Homo sapiens inositol polyphosphate-5-phosphatase, 72 kDa (INPP5E), mRNA.
	1.95E-08	Rab11-FIP2	NM_014904.1	Homo sapiens KIAA0941 protein (Rab11-FIP2), mRNA.
	1.66E-08	DKFZP434P0316	NM_032134.1	Homo sapiens hypothetical protein DKFZp434P0316 (DKFZP434P0316), mRNA.
	7.73E-09	RAB5C	NM_201434.1	Homo sapiens RAB5C, member RAS oncogene family (RAB5C), transcript variant 1, mRNA.
	7.01E-09	PTPRC	NM_080923.1	Homo sapiens protein tyrosine phosphatase, receptor type, C (PTPRC), transcript variant 4, mRNA.
	5.54E-09	MSH5	NM_172166.1	Homo sapiens mutS homolog 5 (E. coli) (MSH5), transcript variant 4, mRNA.
	3.47E-09	PCBP4	NM_033010.1	Homo sapiens poly(rC) binding protein 4 (PCBP4), transcript variant 4, mRNA.
	1.62E-09	LOC284134	XM_211345.1	Homo sapiens hypothetical LOC284134 (LOC284134), mRNA.
	5.11E-11	EPS15L1	NM_021235.1	Homo sapiens epidermal growth factor receptor pathway substrate 15-like 1 (EPS15L1), mRNA.
