Pattern	Class	Signal to noise	Feature	Descriptions
Overexpressed in	Unfavorable	0.61	39166_s_at	Cluster Incl. D83174:Human mRNA for collagen binding protein 2, complete cds /cds=(87,1343) /gb=D83174 /gi=1199486 /ug=Hs.9930 /len=2047
Overexpressed in	Unfavorable	0.61	32195_at	Cluster Incl. AL049450:Homo sapiens mRNA; cDNA DKFZp586B1922 (from clone DKFZp586B1922) /cds=UNKNOWN /gb=AL049450 /gi=4500236 /ug=Hs.184779 /len=1416
Overexpressed in	Unfavorable	0.61	32576_at	Cluster Incl. U94855:Homo sapiens translation initiation factor 3 47 kDa subunit mRNA, complete cds /cds=(6,1079) /gb=U94855 /gi=2055430 /ug=Hs.7811 /len=1231
Overexpressed in	Unfavorable	0.61	1653_at	M84711 /FEATURE= /DEFINITION=HUMFTE1A Human v-fos transformation effector protein (Fte-1), mRNA complete cds
Overexpressed in	Unfavorable	0.61	34320_at	Cluster Incl. AL050224:Homo sapiens mRNA; cDNA DKFZp586L2123 (from clone DKFZp586L2123) /cds=UNKNOWN /gb=AL050224 /gi=4884466 /ug=Hs.29759 /len=1250
Overexpressed in	Favorable	0.61	39954_r_at	Cluster Incl. AB014528:Homo sapiens mRNA for KIAA0628 protein, complete cds /cds=(213,1823) /gb=AB014528 /gi=3327069 /ug=Hs.43133 /len=5871
Overexpressed in	Unfavorable	0.6	33834_at	Cluster Incl. L36033:Human pre-B cell stimulating factor homologue (SDF1b) mRNA, complete cds /cds=(79,360) /gb=L36033 /gi=1220365 /ug=Hs.237356 /len=3524
Overexpressed in	Unfavorable	0.6	33919_at	Cluster Incl. AF022813:Homo sapiens tetraspan (NAG-2) mRNA, complete cds /cds=(104,820) /gb=AF022813 /gi=2586349 /ug=Hs.26518 /len=1300
Overexpressed in	Unfavorable	0.6	2058_s_at	M35011 /FEATURE= /DEFINITION=HUMIBSUB Human integrin beta-5 subunit mRNA, complete cds
Overexpressed in	Unfavorable	0.6	743_at	D50370 /FEATURE= /DEFINITION=D50370 Homo sapiens mRNA for nucleosome assembly protein, complete cds
Overexpressed in	Unfavorable	0.6	34317_g_at	Cluster Incl. W52024:zd13a03.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-340492 /clone_end=3  /gb=W52024 /gi=1350030 /ug=Hs.2953 /len=531
Overexpressed in	Unfavorable	0.6	41785_at	Cluster Incl. U73824:Human p97 mRNA, complete cds /cds=(306,3029) /gb=U73824 /gi=1857236 /ug=Hs.183684 /len=3791
Overexpressed in	Unfavorable	0.6	1771_s_at	J03278 /FEATURE= /DEFINITION=HUMPDGFRA Human platelet-derived growth factor (PDGF) receptor mRNA, complete cds
Overexpressed in	Unfavorable	0.6	36187_at	Cluster Incl. X13973:Human mRNA for ribonuclease/angiogenin inhibitor (RAI) /cds=(360,1745) /gb=X13973 /gi=35843 /ug=Hs.75108 /len=1921
Overexpressed in	Favorable	0.6	36553_at	Cluster Incl. AA669799:ag36c04.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1118886 /clone_end=3  /gb=AA669799 /gi=2631298 /ug=Hs.6315 /len=679
Overexpressed in	Favorable	0.6	38283_at	Cluster Incl. AB007619:Homo sapiens mRNA for EBAG9, complete cds /cds=(283,924) /gb=AB007619 /gi=2465179 /ug=Hs.9222 /len=1104
Overexpressed in	Favorable	0.6	32037_r_at	Cluster Incl. AF001175:Homo sapiens ribonuclease P protein subunit p14 (Rpp14) mRNA, complete cds /cds=(169,543) /gb=AF001175 /gi=4100562 /ug=Hs.155150 /len=1545
Overexpressed in	Favorable	0.6	36352_at	Cluster Incl. AI275093:ql65c10.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1877202 /clone_end=3  /gb=AI275093 /gi=3897367 /ug=Hs.156042 /len=421
Overexpressed in	Unfavorable	0.59	36587_at	Cluster Incl. Z11692:H.sapiens mRNA for elongation factor 2 /cds=(0,2576) /gb=Z11692 /gi=31107 /ug=Hs.75309 /len=3080
Overexpressed in	Unfavorable	0.59	41221_at	Cluster Incl. J04173:Homo sapiens phosphoglycerate mutase (PGAM-B) mRNA, complete cds /cds=(31,795) /gb=J04173 /gi=551173 /ug=Hs.181013 /len=1709
Overexpressed in	Unfavorable	0.59	39929_at	Cluster Incl. AB023139:Homo sapiens mRNA for KIAA0922 protein, partial cds /cds=(0,2372) /gb=AB023139 /gi=4589475 /ug=Hs.37892 /len=2505
Overexpressed in	Favorable	0.59	32820_at	Cluster Incl. U71267:Human potential transcriptional repressor NOT4Hp (NOT4H) mRNA, complete cds /cds=(281,2209) /gb=U71267 /gi=4097897 /ug=Hs.20423 /len=3297
Overexpressed in	Favorable	0.59	36090_at	Cluster Incl. AL080162:Homo sapiens mRNA; cDNA DKFZp434N024 (from clone DKFZp434N024) /cds=(94,1437) /gb=AL080162 /gi=5262624 /ug=Hs.52515 /len=2273
Overexpressed in	Unfavorable	0.58	36790_at	Cluster Incl. M19267:Human tropomyosin mRNA, complete cds /cds=(286,1140) /gb=M19267 /gi=339943 /ug=Hs.77899 /len=1633
Overexpressed in	Unfavorable	0.58	33348_at	Cluster Incl. M80627:Human HEB helix-loop-helix protein (HEB) mRNA, complete cds /cds=(213,2261) /gb=M80627 /gi=183929 /ug=Hs.21704 /len=4126
Overexpressed in	Unfavorable	0.58	36638_at	Cluster Incl. X78947:H.sapiens mRNA for connective tissue growth factor /cds=(145,1194) /gb=X78947 /gi=474933 /ug=Hs.75511 /len=2312
Overexpressed in	Unfavorable	0.58	671_at	J03040 /FEATURE= /DEFINITION=HUMSPARC Human SPARC/osteonectin mRNA, complete cds
Overexpressed in	Favorable	0.58	41866_s_at	Cluster Incl. AF022728:Homo sapiens beta-dystrobrevin (BDTN) mRNA, complete cds /cds=(161,2044) /gb=AF022728 /gi=2935182 /ug=Hs.13451 /len=2383
Overexpressed in	Favorable	0.58	38160_at	Cluster Incl. AF011333:Homo sapiens DEC-205 mRNA, complete cds /cds=(53,5221) /gb=AF011333 /gi=3165456 /ug=Hs.153563 /len=6907
Overexpressed in	Favorable	0.58	1523_g_at	U43408 /FEATURE= /DEFINITION=HSU43408 Human tyrosine kinase (Tnk1) mRNA, complete cds
Overexpressed in	Unfavorable	0.57	34303_at	Cluster Incl. AL049949:Homo sapiens mRNA; cDNA DKFZp564L0822 (from clone DKFZp564L0822) /cds=UNKNOWN /gb=AL049949 /gi=4884196 /ug=Hs.28264 /len=2738
Overexpressed in	Unfavorable	0.57	33431_at	Cluster Incl. U05291:Human fibromodulin mRNA, partial cds /cds=(0,177) /gb=U05291 /gi=450854 /ug=Hs.230 /len=1892
Overexpressed in	Unfavorable	0.57	40855_at	Cluster Incl. AB028976:Homo sapiens mRNA for KIAA1053 protein, partial cds /cds=(0,1528) /gb=AB028976 /gi=5689442 /ug=Hs.173571 /len=5896
Overexpressed in	Unfavorable	0.57	39830_at	Cluster Incl. AA044823:zk72a10.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-488346 /clone_end=3  /gb=AA044823 /gi=1523026 /ug=Hs.111611 /len=649
Overexpressed in	Unfavorable	0.57	38653_at	Cluster Incl. D11428:Homo sapiens mRNA for PMP-22(PAS-II/SR13/Gas-3), complete cds /cds=(188,670) /gb=D11428 /gi=220009 /ug=Hs.103724 /len=1806
Overexpressed in	Unfavorable	0.57	36979_at	Cluster Incl. M20681:Human glucose transporter-like protein-III (GLUT3), complete cds /cds=UNKNOWN /gb=M20681 /gi=183684 /ug=Hs.7594 /len=3915
Overexpressed in	Unfavorable	0.57	34246_at	Cluster Incl. AA418437:zv92d11.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-767253 /clone_end=5  /gb=AA418437 /gi=2080284 /ug=Hs.22283 /len=591
Overexpressed in	Unfavorable	0.57	39864_at	Cluster Incl. D78134:Homo sapiens mRNA for CIRP, complete cds /cds=(80,598) /gb=D78134 /gi=1060892 /ug=Hs.119475 /len=1322
Overexpressed in	Unfavorable	0.57	40887_g_at	Cluster Incl. L41498:Homo sapiens longation factor 1-alpha 1 (PTI-1) mRNA, complete cds /cds=(620,1816) /gb=L41498 /gi=927066 /ug=Hs.181165 /len=2106
Overexpressed in	Favorable	0.57	41004_at	Cluster Incl. U43431:Human DNA topoisomerase III mRNA, complete cds /cds=UNKNOWN /gb=U43431 /gi=1292911 /ug=Hs.91175 /len=3755
Overexpressed in	Favorable	0.57	32679_at	Cluster Incl. D13634:Human mRNA for KIAA0009 gene, complete cds /cds=(17,961) /gb=D13634 /gi=285992 /ug=Hs.170198 /len=2480
Overexpressed in	Favorable	0.57	39940_at	Cluster Incl. AL080094:Homo sapiens mRNA; cDNA DKFZp564O1262 (from clone DKFZp564O1262) /cds=UNKNOWN /gb=AL080094 /gi=5262515 /ug=Hs.41185 /len=1062
Overexpressed in	Favorable	0.57	39660_at	Cluster Incl. AI309115:qo71a09.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1913944 /clone_end=3  /gb=AI309115 /gi=4003986 /ug=Hs.32949 /len=450
Overexpressed in	Favorable	0.57	36499_at	Cluster Incl. D87469:Human mRNA for KIAA0279 gene, partial cds /cds=(0,7226) /gb=D87469 /gi=1665820 /ug=Hs.57652 /len=8924
Overexpressed in	Favorable	0.57	31935_s_at	Cluster Incl. U75968:Human clone C3 CHL1 protein (CHLR1) mRNA, alternatively spliced, complete cds /cds=(220,1086) /gb=U75968 /gi=1666894 /ug=Hs.166048 /len=4182
Overexpressed in	Favorable	0.57	501_g_at	U37143 /FEATURE= /DEFINITION=HSU37143 Human cytochrome P450 monooxygenase CYP2J2 mRNA, complete cds
Overexpressed in	Favorable	0.57	38143_at	Cluster Incl. L33404:Human stratum corneum chymotryptic enzyme mRNA, complete cds /cds=(15,776) /gb=L33404 /gi=521214 /ug=Hs.151254 /len=969
Overexpressed in	Unfavorable	0.56	159_at	U43142 /FEATURE= /DEFINITION=HSU43142 Human vascular endothelial growth factor related protein VRP mRNA, complete cds
Overexpressed in	Unfavorable	0.56	34849_at	Cluster Incl. X91257:H.sapiens mRNA for seryl-tRNA synthetase /cds=(75,1619) /gb=X91257 /gi=1050526 /ug=Hs.4888 /len=1846
Overexpressed in	Unfavorable	0.56	1288_s_at	J04617 /FEATURE=cds /DEFINITION=HUMEF1A Human elongation factor EF-1-alpha gene, complete cds
Overexpressed in	Favorable	0.56	1475_s_at	U22376 /FEATURE=cds#4 /DEFINITION=HSU22376 Human (c-myb) gene, complete primary cds, and five complete alternatively spliced cds
Overexpressed in	Unfavorable	0.55	41760_at	Cluster Incl. AA978033:oq55e04.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1590270 /clone_end=3  /gb=AA978033 /gi=3155479 /ug=Hs.182684 /len=524
Overexpressed in	Favorable	0.55	41868_at	Cluster Incl. J04131:Human gamma-glutamyl transpeptidase (GGT) protein mRNA, complete cds /cds=UNKNOWN /gb=J04131 /gi=183137 /ug=Hs.135 /len=2535
Overexpressed in	Favorable	0.55	35210_at	Cluster Incl. AB018296:Homo sapiens mRNA for KIAA0753 protein, complete cds /cds=(104,3007) /gb=AB018296 /gi=3882226 /ug=Hs.28070 /len=4424
Overexpressed in	Favorable	0.55	34519_at	Cluster Incl. M59305:Human atrial natriuretic peptide clearance receptor (ANP C-receptor) mRNA, complete cds /cds=(362,1987) /gb=M59305 /gi=178651 /ug=Hs.123655 /len=2081
Overexpressed in	Favorable	0.55	40837_at	Cluster Incl. M99436:Human transducin-like enhancer protein (TLE2) mRNA, complete cds /cds=(25,2256) /gb=M99436 /gi=307511 /ug=Hs.173063 /len=2271
Overexpressed in	Favorable	0.55	34986_at	Cluster Incl. AF030455:Homo sapiens epithelial V-like antigen precursor (EVA) mRNA, complete cds /cds=(119,766) /gb=AF030455 /gi=3169829 /ug=Hs.151602 /len=1342
Overexpressed in	Favorable	0.55	36438_at	Cluster Incl. U92992:Homo sapiens clone DT1P1A11 mRNA, CAG repeat region /cds=UNKNOWN /gb=U92992 /gi=2781410 /ug=Hs.168303 /len=1173
Overexpressed in	Unfavorable	0.54	32755_at	Cluster Incl. X13839:Human mRNA for vascular smooth muscle alpha-actin /cds=(47,1180) /gb=X13839 /gi=28329 /ug=Hs.195851 /len=1330
Overexpressed in	Unfavorable	0.54	659_g_at	L12350 /FEATURE=mRNA /DEFINITION=HUMTHRSPO Human thrombospondin 2 (THBS2) mRNA, complete cds
Overexpressed in	Unfavorable	0.54	39754_at	Cluster Incl. X53002:Human mRNA for integrin beta-5 subunit /cds=(336,2735) /gb=X53002 /gi=33952 /ug=Hs.149846 /len=3416
Overexpressed in	Unfavorable	0.54	41191_at	Cluster Incl. AB023209:Homo sapiens mRNA for KIAA0992 protein, partial cds /cds=(0,2318) /gb=AB023209 /gi=4589627 /ug=Hs.180347 /len=4347
Overexpressed in	Unfavorable	0.54	33412_at	Cluster Incl. AI535946:vicpro2.D07.r Homo sapiens cDNA, 5  end /clone_end=5  /gb=AI535946 /gi=4450081 /ug=Hs.227751 /len=647
Overexpressed in	Unfavorable	0.54	41763_g_at	Cluster Incl. D64015:Homo sapiens mRNA for T-cluster binding protein, complete cds /cds=(157,954) /gb=D64015 /gi=2281005 /ug=Hs.182741 /len=1737
Overexpressed in	Unfavorable	0.54	34091_s_at	Cluster Incl. Z19554:H.sapiens vimentin gene /cds=(122,1522) /gb=Z19554 /gi=37851 /ug=Hs.2064 /len=1851
Overexpressed in	Favorable	0.54	37221_at	Cluster Incl. M31158:Human cAMP-dependent protein kinase subunit RII-beta mRNA, complete cds /cds=(166,1422) /gb=M31158 /gi=189980 /ug=Hs.77439 /len=3259
Overexpressed in	Unfavorable	0.53	35168_f_at	Cluster Incl. M92642:Homo sapiens alpha-1 type XVI collagen (COL16A1) mRNA, complete cds /cds=(153,4964) /gb=M92642 /gi=180757 /ug=Hs.26208 /len=5368
Overexpressed in	Unfavorable	0.53	34802_at	Cluster Incl. X15882:Human mRNA for collagen VI alpha-2 C-terminal globular domain /cds=(0,1289) /gb=X15882 /gi=30044 /ug=Hs.4217 /len=1585
Overexpressed in	Unfavorable	0.53	38125_at	Cluster Incl. M14083:Human beta-migrating plasminogen activator inhibitor I mRNA, 3  end /cds=(0,1151) /gb=M14083 /gi=189566 /ug=Hs.82085 /len=2937
Overexpressed in	Unfavorable	0.53	32488_at	Cluster Incl. X14420:Human mRNA for pro-alpha-1 type 3 collagen /cds=(102,4502) /gb=X14420 /gi=30057 /ug=Hs.119571 /len=5460
Overexpressed in	Favorable	0.53	39891_at	Cluster Incl. AI246730:qk40b01.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1871401 /clone_end=3  /gb=AI246730 /gi=3842127 /ug=Hs.126901 /len=770
Overexpressed in	Favorable	0.53	39602_at	Cluster Incl. AL050090:Homo sapiens mRNA; cDNA DKFZp586F1018 (from clone DKFZp586F1018) /cds=(0,485) /gb=AL050090 /gi=4884109 /ug=Hs.26970 /len=2638
Overexpressed in	Favorable	0.53	41701_at	Cluster Incl. X72177:H.sapiens C6 gene, exon 1 /cds=(20,2824) /gb=X72177 /gi=312783 /ug=Hs.1282 /len=3535
Overexpressed in	Favorable	0.53	2068_s_at	L22846 /FEATURE= /DEFINITION=HUME2F2A Homo sapiens transcription factor E2F-2 mRNA, complete cds (clone 9)
Overexpressed in	Unfavorable	0.52	31385_at	Cluster Incl. U14969:Human ribosomal protein L28 mRNA, complete cds /cds=(27,440) /gb=U14969 /gi=550018 /ug=Hs.4437 /len=485
Overexpressed in	Unfavorable	0.52	34316_at	Cluster Incl. W52024:zd13a03.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-340492 /clone_end=3  /gb=W52024 /gi=1350030 /ug=Hs.2953 /len=531
Overexpressed in	Favorable	0.52	33942_s_at	Cluster Incl. AF004563:Homo sapiens hUNC18b alternatively-spliced mRNA, complete cds /cds=(120,1931) /gb=AF004563 /gi=3041874 /ug=Hs.6098 /len=3899
