Code	Symbol	Gene name	FC
206227_at	CILP	Cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	2.73
201109_s_at	THBS1	Thrombospondin 1	2.72
207173_x_at	CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	2.69
205907_s_at	OMD	Osteomodulin	2.66
210495_x_at	FN1	Fibronectin 1	2.66
204620_s_at	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	2.65
212354_at	SULF1	Sulfatase 1	2.65
200974_at	ACTA2	Actin, alpha 2, smooth muscle, aorta	2.64
201792_at	AEBP1	AE binding protein 1	2.64
205941_s_at	COL10A1	Collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	2.63
215076_s_at	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	2.63
201744_s_at	LUM	Lumican	2.58
202310_s_at	COL1A1	Collagen, type I, alpha 1	2.58
221541_at	CRISPLD2	Cysteine-rich secretory protein LCCL domain containing 2	2.58
205991_s_at	PRRX1	Paired related homeobox 1	2.56
211719_x_at	FN1	Fibronectin 1	2.55
202998_s_at	LOXL2	Lysyl oxidase-like 2	2.5
221731_x_at	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	2.5
205018_s_at	MBNL2	Muscleblind-like 2 (Drosophila)	2.46
212667_at	SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)	2.46
209466_x_at	PTN	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	2.42
203939_at	NT5E	5’-Nucleotidase, ecto (CD73)	2.41
202450_s_at	CTSK	Cathepsin K (pycnodysostosis)	2.4
203868_s_at	VCAM1	Vascular cell adhesion molecule 1	2.39
211161_s_at	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	2.37
213139_at	SNAI2	Snail homolog 2 (Drosophila)	2.37
213496_at	LPPR4	NA	2.34
208879_x_at	C20orf14	Chromosome 20 open reading frame 14	2.33
212105_s_at	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	2.33
201438_at	COL6A3	Collagen, type VI, alpha 3	2.32
213125_at	OLFML2B	Olfactomedin-like 2B	2.32
212353_at	SULF1	Sulfatase 1	2.3
207172_s_at	CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	2.29
202388_at	RGS2	Regulator of G-protein signaling 2, 24 kd	2.28
201110_s_at	THBS1	Thrombospondin 1	2.27
210139_s_at	PMP22	Peripheral myelin protein 22	2.27
213548_s_at	H41	NA	2.26
205547_s_at	TAGLN	Transgelin	2.25
209365_s_at	ECM1	Extracellular matrix protein 1	2.25
215236_s_at	PICALM	Phosphatidylinositol binding clathrin assembly protein	2.22
210973_s_at	FGFR1	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	2.21
209257_s_at	CSPG6	Chondroitin sulfate proteoglycan 6 (bamacan)	2.19
200906_s_at	KIAA0992	NA	2.18
213872_at	C6orf62	Chromosome 6 open reading frame 62	2.18
203851_at	IGFBP6	Insulin-like growth factor binding protein 6	2.17
209651_at	TGFB1I1	Transforming growth factor beta 1 induced transcript 1	2.17
212154_at	SDC2	Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	2.17
204464_s_at	EDNRA	Endothelin receptor type A	2.15
213909_at	LRRC15	Leucine rich repeat containing 15	2.15
204051_s_at	SFRP4	Secreted frizzled-related protein 4	2.14
203666_at	CXCL12	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	2.12
209758_s_at	MFAP5	Microfibrillar associated protein 5	2.12
200604_s_at	PRKAR1A	Protein kinase, cyclic adenosine monophosphate-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	2.11
203570_at	LOXL1	Lysyl oxidase-like 1	2.1
200841_s_at	EPRS	Glutamyl-prolyl-transfer RNA synthetase	2.09
201617_x_at	CALD1	caldesmon 1	2.09
204114_at	NID2	Nidogen 2 (osteonidogen)	2.08
201506_at	TGFBI	Transforming growth factor, beta-induced, 68 kd	2.07
37005_at	NBL1	Neuroblastoma, suppression of tumorigenicity 1	2.06
212257_s_at	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin	2.05
209465_x_at	PTN	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	2.04
202404_s_at	COL1A2	Collagen, type I, alpha 2	2.03
211277_x_at	APP	Amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	2.03
201476_s_at	RRM1	Ribonucleotide reductase M1 polypeptide	2.01
