Affymetrix ID	Accession	Gene Symbol	Gene Description
211768_at	BC006080	WBSCR5	synonyms: HSPC046, LAB, NTAL, WBSCR15, WSCR5; Homo sapiens Williams-Beuren syndrome chromosome region 5, mRNA (cDNA clone MGC:12566 IMAGE:3621218), complete cds.
242091_at	AI741586	LOC124411	hypothetical protein LOC124411
234101_at	AU156760		CDNA FLJ11044 fis, clone PLACE1004451
238075_at	AA224205	CHEK1	Transcribed sequences
1558154_at	AF289551	LLGL2	lethal giant larvae homolog 2 (Drosophila)
239949_at	AA425220	FLJ10916	hypothetical protein FLJ10916
237996_at	AV650867		Transcribed sequence with weak  similarity to protein sp:P39188 (H.sapiens) ALU1_HUMAN Alu subfamily J sequence contamination warning entry
241464_s_at	AI973033		Transcribed sequence with weak  similarity to protein pir:CGHU6C (H.sapiens) CGHU6C collagen alpha 1
200895_s_at	NM_002014	FKBP4	FK506 binding protein 4, 59kDa
243316_x_at	AA004710	VPS26	zh95a04.s1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA clone IMAGE:429006 3 similar to gb:X02067 H.sapiens mRNA for 7SL RNA pseudogene (HUMAN);, mRNA sequence.
238977_at	R54683	MCM6	yj74f11.s1 Soares breast 2NbHBst Homo sapiens cDNA clone IMAGE:154509 3, mRNA sequence.
1554095_at	BC011923	MGC20460	hypothetical protein MGC20460
226319_s_at	AF047002	THOC4	phosphate cytidylyltransferase 2, ethanolamine
230165_at	N31731	TRIPIN	tripin
213523_at	AI671049	CCNE1	cyclin E1
1569815_x_at	BC036416	STRN	striatin, calmodulin binding protein
215006_at	AK023816		CDNA FLJ13754 fis, clone PLACE3000362
217871_s_at	NM_002415	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
232619_at	AL121906	APBA2BP
213226_at	AI346350	PMSCL1	polymyositis/scleroderma autoantigen 1, 75kDa
235856_at	AI660245	C4A	complement component 4A
218451_at	NM_022842	CDCP1	CUB domain-containing protein 1
220144_s_at	NM_022096	ANKRD5	ankyrin repeat domain 5
229304_s_at	AA460299	KLIP1	KSHV latent nuclear antigen interacting protein 1
1569098_s_at	BU508386	TP53BP1	tumor protein p53 binding protein, 1
1554478_a_at	BC033077	FLJ20718	hypothetical protein FLJ20718
1560550_at	BC037972		Clone IMAGE:5180210, mRNA
200656_s_at	NM_000918	P4HB	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)
216882_s_at	AL157398	NEBL
1554557_at	BC033880	ATP11B	ATPase, Class VI, type 11B
235486_at	AI879661	MGC34830	hypothetical protein MGC34830
225100_at	BF590021	LOC200933	hypothetical protein LOC200933
209325_s_at	U94829	RGS16	regulator of G-protein signalling 16
205393_s_at	NM_001274	CHEK1	CHK1 checkpoint homolog (S. pombe)
241021_at	AW016637		UI-H-BI0p-abn-g-12-0-UI.s1 NCI_CGAP_Sub2 Homo sapiens cDNA clone IMAGE:2712407 3, mRNA sequence.
244840_x_at	AW452588		CDNA FLJ30935 fis, clone FEBRA2007176
202483_s_at	NM_002882	RANBP1	RAN binding protein 1
234932_s_at	AK026028		Homo sapiens cDNA: FLJ22375 fis, clone HRC06785.
219125_s_at	NM_018845	LOC55974	stromal cell protein
1553139_s_at	NM_017514	PLXN3	likely ortholog of mouse plexin 3
210350_x_at	AF044076	ING1	inhibitor of growth family, member 1
218984_at	NM_019042	FLJ20485	hypothetical protein FLJ20485
232746_at	BE552368	CMKOR1	chemokine orphan receptor 1
238921_at	AA523415		Transcribed sequence with moderate similarity to protein pir:S52491 (H.sapiens) S52491 polyadenylate binding protein II - human
232896_at	AK026757	ERBB2IP	erbb2 interacting protein
215771_x_at	X15786	RET	Human ret-II gene.
218979_at	NM_024945	FLJ12888	chromosome 9 open reading frame 76
210046_s_at	U52144	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial
210115_at	L05096	RPL39L	ribosomal protein L39-like
266_s_at	L33930	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)
230091_at	AA046241	SRPK2	SFRS protein kinase 2
209739_s_at	AI814551	DXS1283E	GS2 gene
1566207_at	BQ286789		ik34d03.x1 HR85 islet Homo sapiens cDNA clone IMAGE:5782709 3, mRNA sequence.
210236_at	U22815	PPFIA1	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
242721_at	AW340547		Transcribed sequences
242560_at	AA579890	FANCD2	Fanconi anemia, complementation group D2
1560432_at	AF388367		CDNA FLJ44478 fis, clone UTERU2031834
207499_x_at	NM_017979	SMAP-1	smooth muscle cell associated protein-1
244778_x_at	N63691		Transcribed sequence with weak  similarity to protein sp:P39195 (H.sapiens) ALU8_HUMAN Alu subfamily SX sequence contamination warning entry
205240_at	NM_013296	LGN	G-protein signalling modulator 2 (AGS3-like, C. elegans)
225686_at	BE048371	LOC348235	family with sequence similarity 33, member A
1554572_a_at	BC029360	SUV39H2	suppressor of variegation 3-9 homolog 2 (Drosophila)
242016_at	BE857296		Hypothetical LOC284409 (LOC284409), mRNA
1559491_at	AL390180		MRNA; cDNA DKFZp761L149 (from clone DKFZp761L149)
238982_at	AW665791		Transcribed sequence with strong similarity to protein sp:O43583 (H.sapiens) DENR_HUMAN Density-regulated protein
221061_at	NM_016112	PKD2L1	polycystic kidney disease 2-like 1
227068_at	AA069778	PGK1	phosphoglycerate kinase 1
205975_s_at	NM_024501	HOXD1	homeo box D1
240436_at	AA688101		MRNA; cDNA DKFZp686C1238 (from clone DKFZp686C1238)
225709_at	AI744445		Transcribed sequence with weak  similarity to protein pir:A46302 (H.sapiens) A46302 PTB-associated splicing factor, long form - human
237299_at	T71642	NARF	Transcribed sequence with weak  similarity to protein ref:NP_060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens]
211917_s_at	AF349939	PRLR	prolactin receptor
233280_at	AU159446		CDNA FLJ12275 fis, clone MAMMA1001686
223790_at	BC000612	MGC2599	hypothetical protein MGC2599 similar to katanin p60 subunit A 1 2599
210918_at	AF130075		Clone FLB9413 PRO2532 mRNA, complete cds
220840_s_at	NM_018186	FLJ10706	hypothetical protein FLJ10706
213931_at	AI819238		Transcribed sequence with strong similarity to protein pir:A40227 (H.sapiens) A40227 transcription repressor Id-2 - human
240247_at	AI653240		Transcribed sequences
1562892_at	AK024631	C2orf9	coiled-coil-helix-coiled-coil-helix domain containing 5
219823_at	NM_024674	LIN28	lin-28 homolog (C. elegans)
201614_s_at	NM_003707	RUVBL1	RuvB-like 1 (E. coli)
242506_at	AI138785		CDNA FLJ27105 fis, clone SPL05019
210512_s_at	AF022375	VEGF	vascular endothelial growth factor
219000_s_at	NM_024094	MGC5528	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)
239431_at	AI400110	CGI-109	TRIF-related adaptor molecule
1562259_at	AL832050	LOC161577	Homo sapiens mRNA; cDNA DKFZp313J2410 (from clone DKFZp313J2410).
208962_s_at	BE540552	FADS1	601066683F1 NIH_MGC_10 Homo sapiens cDNA clone IMAGE:3452925 5, mRNA sequence.
241466_at	AI275776		Transcribed sequences
1559021_at	BC041355	FLJ23186	hypothetical protein FLJ23186
201277_s_at	NM_004499	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B
81811_at	AI744451		Transcribed sequences
222036_s_at	AI859865	MCM4	wm21f03.x1 NCI_CGAP_Ut4 Homo sapiens cDNA clone IMAGE:2436605 3 similar to contains Alu repetitive element;, mRNA sequence.
1554588_a_at	BC033795	FLJ30990	hypothetical protein FLJ30990
231818_x_at	AK023965		CDNA FLJ13276 fis, clone OVARC1001040
212800_at	AI740832	STX6	syntaxin 6
209520_s_at	BC001450	NCBP1	nuclear cap binding protein subunit 1, 80kDa
206044_s_at	NM_004333	BRAF	v-raf murine sarcoma viral oncogene homolog B1
202737_s_at	NM_012321	LSM4	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)
231956_at	AA976354	KIAA1618	oq48f08.s1 NCI_CGAP_Kid5 Homo sapiens cDNA clone IMAGE:1589607 3 similar to contains Alu repetitive element;, mRNA sequence.
232353_s_at	AI676056	MK-STYX	map kinase phosphatase-like protein MK-STYX
210854_x_at	U17986	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8
201830_s_at	NM_005863	NET1	neuroepithelial cell transforming gene 1
204768_s_at	NM_004111	FEN1	flap structure-specific endonuclease 1
240773_at	AW449903		Transcribed sequences
235266_at	AI139629	PRO2000	PRO2000 protein
211924_s_at	AY029180	PLAUR	plasminogen activator, urokinase receptor
209032_s_at	AF132811	IGSF4	immunoglobulin superfamily, member 4
213301_x_at	AL538264	TIF1	transcriptional intermediary factor 1
208263_at	NM_018581
1559513_a_at	BC006303	FANCC	Fanconi anemia, complementation group C, mRNA (cDNA clone IMAGE:4100953), partial cds
204391_x_at	NM_015905	TIF1
236134_at	AA769995		CDNA FLJ27162 fis, clone SYN01352
241978_at	AA551756	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)
212551_at	NM_006366	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)
236149_at	AA502999		ng20b07.s1 NCI_CGAP_Ov2 Homo sapiens cDNA clone IMAGE:929941, mRNA sequence.
233780_at	AI003806	NEB	nebulin
225160_x_at	AI952357	MGC5370	hypothetical protein MGC5370
236886_at	AI027546		CDNA FLJ31553 fis, clone NT2RI2001178
220342_x_at	NM_017992	C1orf22	Homo sapiens chromosome 1 open reading frame 22 (C1orf22), mRNA.
224320_s_at	BC005170	MCM8	MCM8 minichromosome maintenance deficient 8 (S. cerevisiae)
210112_at	U96721	HPS1	Hermansky-Pudlak syndrome 1
238412_at	AI344253		Clone IMAGE:6200388, mRNA
232525_at	AK025082		CDNA: FLJ21429 fis, clone COL04205
238797_at	BF059582	TRIM11	tripartite motif-containing 11
201170_s_at	NM_003670	BHLHB2	basic helix-loop-helix domain containing, class B, 2
212342_at	BG500611	MGC21416	hypothetical protein MGC21416
207414_s_at	NM_002570	PACE4	paired basic amino acid cleaving system 4
1560407_at	AI183517	MARK1	MAP/microtubule affinity-regulating kinase 1
204716_at	NM_005436	D10S170	coiled-coil domain containing 6
210057_at	U32581	SMG1	PI-3-kinase-related kinase SMG-1
221079_s_at	NM_018396	METTL2	methyltransferase like 2
229857_s_at	AW117584		CDNA clone IMAGE:30341437, partial cds
211576_s_at	BC003068	SLC19A1	solute carrier family 19 (folate transporter), member 1
