HUGO gene symbol	Gene definition	Clone image	Accession number	Unigene	RefSeq	Start	End	CytoBand	Status
PDK4	Pyruvate dehydrogenase kinase, isozyme 4	594120	AA169469	Hs.8364	NM_ 002612.3	95050749	95063861	7q21.3	UP LOB
PECAM1	Platelet/endothelial cell adhesion molecule (CD31 antigen)	127201	R08228	Hs.652132	NM_ 000442.3	59753596	59817743	17q23.3	UP LOB
PIK3CD	Phosphoinositide-3-kinase, catalytic, delta polypeptide	712401	AA281784	Hs.518451	NM_ 005026.2	9634390	9711556	1p36.22	UP LOB
POU2F2	POU domain, class 2, transcription factor 2	186924	H43361	Hs.646363	NM_ 002698.2	47284513	47328470	19q13.2	UP LOB
RBP4	Retinol binding protein 4, plasma	78644	T61830	Hs.50223	NM_ 006744.3	95341584	95350983	10q23.33	UP LOB
RCSD1	RCSD domain containing 1	309244	N93864	Hs.493867	NM_ 052862.2	165865954	165942109	1q24.2	UP LOB
RPL31	Ribosomal protein L31	309643	N98434	Hs.469473	NM_ 000993.2	100985183	100989312	2q11.2	UP LOB
RPL34	Ribosomal protein L34	178137	H47015	Hs.438227	NM_ 000995.3	109761171	109771086	4q25	UP LOB
SEPP1	Selenoprotein P, plasma, 1	0000013		Hs.652198	NM_ 005410.2	42835740	42847781	5p12	UP LOB
SFRP1	Secreted frizzled-related protein 1	783700	AA446824	Hs.213424	NM_ 003012.3	41238636	41286137	8p11.21	UP LOB
SPARCL1	SPARC-like 1 (mast9, hevin)	289272	N73696	Hs.62886	NM_ 004684.2	88613514	88669530	4q22.1	UP LOB
TEK	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	151501	H02848	Hs.89640	NM_ 000459.2	27099286	27220171	9p21.2	UP LOB
TF	Transferrin	246018	N52306	Hs.518267	NM_ 001063.2	134947925	134980325	3q22.1	UP LOB
TGFBR2	Transforming growth factor, beta receptor II (70/80kDa)	309647	N98436	Hs.82028	NM_ 001024847.1	30622998	30710635	3p24.1	UP LOB
TNFRSF1B	Tumor necrosis factor receptor superfamily, member 1B	307628	N92967	Hs.256278	NM_ 001066.2	12149647	12191863	1p36.22	UP LOB
TNXB	Tenascin XB	124340	R00971	Hs.485104	NM_ 019105.5	32116911	32185131	6p21.32	UP LOB
TUBB6	Tubulin, beta 6	264801	N21031	Hs.193491	NM_ 032525.1	12298257	12316567	18p11.21	UP LOB
TXNIP	Thioredoxin interacting protein	5893349	BQ001703	Hs.533977	NM_ 006472.1	144149939	144153880	1q21.1	UP LOB
VWF	Von Willebrand factor	154475	R54854	Hs.440848	NM_ 000552.3	5928301	6104097	12p13.31	UP LOB
