Spotnum	P value	Well ID	Clone IMAGE	Title	Gene	Map
5291	0	28502	EmptyWell	EmptyWell
1185	0	201826	783698	lipin 1	LPIN1	2p21
7343	0	202926	141959	WW domain-containing protein 1	WWP1	8p22-q21.3
6194	0	27855	877523	APS=adaptor molecule containing PH and SH2 domains that is tyrosine phosphorylated upon B-cell receptor stimulation	APS	7q22
3563	0	208858	590615	integrin-linked kinase	ILK	11p15.5-p15.4
140	0	207467	366481	keratin 6 isoform K6b=KRT6B	KRT6B	12q13
3087	0	208790	781047	BUB1=putative mitotic checkpoint protein ser/thr kinase	BUB1	2q14
6569	0	200349	234736	GATA-binding protein 6	GATA6	18q11.1-q11.2
251	0	202433	115281	CD79A=BCR alpha chain=mb-1	CD79A	19q13.2
7552	0	157189	2006344	EST
5278	0	28440	727192	NFAT4=NFATc3=NFATx	NFATC3	16q13-q24
1862	0	28132	248613	c-myb=myb proto-oncogene	MYB	6q22-q23
2688	0	200295	244355	IL-2/IL-4/IL-7/IL-9/IL-15 receptor common gamma chain	IL2RG	Xq13.1
851	0	27481	510324	SIAH-2=Seven in absentia homolog 2	SIAH2	3q25
2614	0	209315	236034	UCP2=UCPH=Mitochondrial uncoupling protein 2	UCP2	11q13
184	0	208599	344243	uridine monophosphate kinase	UMPK	1p32
1108	0	207468	136676	vesicle-associated membrane protein 2 (synaptobrevin 2)	VAMP2	17p13.1
5868	0	201679	842894	ATPase, Na+/K+ transporting, beta 3 polypeptide	ATP1B3	3q22-q23
228	0	201859	725223	KIAA0077 protein	KIAA0077	2
3311	0	27922	1058657	Myotonic dystrophy protein kinase	DMWD	19q13.3
2280	0	27099	187974	Ndr protein kinase	NDR	6p21
5714	0	27768	1288538	putative oral tumor suppressor protein (doc-1)	CDK2AP1	12q24.31
1158	0	208624	866694	butyrate-induced transcript 1	HSPC121	15
7310	0	201744	843321	keratin 7	KRT7	12q12-q21
3169	0	200194	162211	ATP-binding cassette, sub-family D (ALD), member 3	ABCD3	1p22-p21
1685	0	202074	767345	Homo sapiens clone TCCCTA00151 mRNA sequence		5
3540	0	208476	855390	minichromosome maintenance deficient (mis5, S. pombe) 6	MCM6	2q21
7113	0	27086	187974	Ndr protein kinase	NDR	6p21
1004	0	200900	144932	putative oral tumor suppressor protein (doc-1)	CDK2AP1	12q24.31
4415	0	201581	796994	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)	MCP	1q32
722	0	202095	85682	EST	EST
939	0	28689	115281	CD79A=BCR alpha chain=mb-1	CD79A	19q13.2
555	0	201617	842980	developmentally regulated GTP-binding protein 1	DRG1	22q12.2
5277	0	28438	39884	IMP (inosine monophosphate) dehydrogenase 1	IMPDH1	7q31.3-q32
2378	0	28770	840708	Superoxide dismutase 2, mitochondrial	MGC5618
6277	0	157710	42993	paired basic amino acid cleaving enzyme (furin, membrane associated receptor protein)	PACE	15q25-q26
7660	0	28004	1288834	CXCR5=BLR1=B-cell homing chemokine receptor=L1	BLR1	11
3018	0	203036	470061	seven in absentia (Drosophila) homolog 2	SIAH2	3q25
3589	0	209342	84880	CGI-10 protein	LOC51004	14q22.1-q22.3
1237	0	209514	80292	Homo sapiens clone FLB3344 PRO0845 mRNA, complete cds		8
2588	0	208531	744944	myosin VI	MYO6	6q13
7185	0	28238	300411	ELC=EBI1 ligand chemokine=Exodus-3=MIP-3 beta=CKbeta-11	SCYA19	9p13
2917	0	200722	183462	mannosidase, alpha, class 2C, member 1	MAN2C1	15q11-q13
6973	0	209238	756533	basigin (OK blood group)	BSG	19p13.3
4779	0	28193	199018	P120=proliferating-cell nucleolar protein	NOL1	12p13
6649	0	26969	34783	pre-pro-orphanin FQ=prepronociceptin	PNOC	8p21
5119	0	209570	82225	secreted frizzled-related protein 1	SFRP1	8p12-p11.1
5056	0	209024	487425	centrin, EF-hand protein, 3 (CDC31 yeast homolog)	CETN3	5pter
6777	0	200686	230271	glycosyltransferase AD-017	AD-017	3p24.3
3834	0	28564	504763	Syndecan-4 = amphiglycan = ryudocan core protein	SDC4	20q12
533	0	201537	79629	CXC chemokine receptor 4= fusin=neuropeptide Y receptor=L3	CXCR4	2q21
5104	0	202496	785293	similar to rat HREV107	HREV107	11
1151	0	208598	50888	peroxiredoxin 3	PRDX3	10q25-q26
2654	0	202267	814526	seb4D	HSRNASEB	20p11.23-p11.21
4789	0	28621	265267	HSP70	HSPA1A	6p21.3
6438	0	208463	855487	N-acylsphingosine amidohydrolase (acid ceramidase)	ASAH	8p22-p21.3
5294	0	28508	811792	Glutathione synthetase	GSS	20q11.2
2162	0	202143	85259	heme oxygenase (decycling) 1	HMOX1	22q13.1
3965	0	202681	124405	androgen induced protein	AIG-1	6q23.1-6q25.3
4286	0	28055	1360258	PMS4=DNA mismatch repair protein	PMS2L2	7q11-q22
4426	0	201627	488019	IL-15 receptor alpha chain	IL15RA	10p15-p14
544	0	201571	824070	myotubular myopathy 1	MTM1	Xq28
5088	0	202440	66718	phorbolin (similar to apolipoprotein B mRNA editing protein)		22q13.1
3675	0	200370	823590	sialyltransferase	STHM	17
6297	0	200789	563598	gamma-aminobutyric acid (GABA) A receptor, pi	GABRP	5q33-q34
4004	0	207439	810446	KIAA1522 protein	KIAA1522	1
2431	0	200801	754538	EST	EST
3099	0	209222	949971	activating transcription factor 4 (tax-responsive enhancer element B67)	ATF4	22q13.1
7481	0	202230	813520	HEK2=tyrosine kinase receptor=large erk kinase	EPHB3	3q21-qter
6847	0	201726	767994	nuclear autoantigen	GS2NA	14q13-q21
6243	0	28784	268778	PKA-R1 alpha=cAMP-dependent protein kinase type I-alpha-catalytic regulatory chain	PRKAR1A	17q23-q24
6359	0	201813	753321	KIAA0232 gene product	KIAA0232	4
5976	0	208447	856135	SFRS protein kinase 1	SRPK1	6p21.3-p21.2
2967	0	201686	823590	sialyltransferase	STHM	17
5693	0	27498	510324	SIAH-2=Seven in absentia homolog 2	SIAH2	3q25
2552	0	207811	357138	enhancer of polycomb 1	EPC1	10p11
2157	0	202121	563574	ESTs, Weakly similar to I Chain I, Beta-Galactosidase (Chains I-P) [E.coli]
7286	0	201360	815526	myb-related gene B=B-myb	MYBL2	20q13.1
474	0	28859	342181	BCL-2	BCL2	18q21.3
6976	0	209256	714213	CD95=Fas	TNFRSF6	10q24.1
4834	0	28987	141806	A20=TNF alpha inducible, TRAF1,2 binding inhibitor of NF-kB activation	TNFAIP3	6q23.1-q25.3
2188	0	205123	278501	FYN oncogene related to SRC, FGR, YES	FYN	6q21
1589	0	207642	795744	hypothetical protein FLJ23189	FLJ23189	14q22.1-q24.3
1983	0	201329	243100	acyl-Coenzyme A dehydrogenase, short/branched chain	ACADSB	10q25-q26
835	0	27029	158368	Proteosome chain 7=LMP2=major histocompatibility complex encoded proteasome subunit
1357	0	27658	682013	PrP=prion protein	PRNP	20pter-p12
4880	0	200932	771084	beclin 1 (coiled-coil, myosin-like BCL2-interacting protein)	BECN1	17q21
5876	0	201719	898062	p55CDC	CDC20	9q13-q21
1657	0	209170	868652	complement component 4B	C4B	6p21.3
3757	0	27294	338835	MMP-7=Matrix metalloproteinase 7=PUMP-1=matrilysin=28 kD Stromelysin=matrilysin, uterine	MMP7	11q21-q22
6501	0	209381	877638	DKFZP586N1922 protein	DKFZP586N192	19q13.1
5748	0	28196	202074	Integrin beta 5	ITGB5	3p14.3-p14.1
2812	0	27963	1204957	IGF-I=insulin-like growth factor 1	IGF1	12q22-q23
554	0	201615	592540	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	KRT5	12q13
4405	0	201549	796646	ornithine decarboxylase 1	ODC1	2p25
314	0	157268	2216580	EST
2626	0	209363	69046	dystonia 1, torsion (autosomal dominant; torsin A)	DYT1	9q34
3069	0	208430	491486	hypothetical protein MGC5306	MGC5306	11
6526	0	202279	81331	fatty acid binding protein 5 (psoriasis-associated)
6613	0	157594	2549869	EST	EST
2295	0	27153	259230	Adenylate kinase 2 (adk2)	AK2	1p34
3512	0	207784	321470	ESTs		2
254	0	202451	240505	HCDI protein	HCDI	14q11.2-14q21.3
2354	0	28255	344219	Uridine monophosphate kinase	UMPK	1p32
5304	0	28840	47359	EDN-1=ETN=endothelin-1=secreted vasoconstrictor	EDN1	6p24.1
2095	0	208405	796284	IRS-1=Insulin receptor substrate-1	IRS1	2q36
1216	0	202428	297392	metallothionein 1X	MT1X	16q13
2580	0	208503	854284	hematopoietic protein 1	HEM1	12q13.1
6866	0	202856	488019	IL-15 receptor alpha chain	IL15RA	10p15-p14
4572	0	209215	123264	CD38	CD38	4p15
6651	0	26973	38829	NC-PTPCOM1=Ch-1PTPase delta form=protein-tyrosine phosphatase	PTPRR	12
5555	0	202082	785334	thyroid hormone receptor interactor 4	TRIP4	15q11.2
230	0	201875	811930	KIAA0020 gene product	KIAA0020	9pter-9q22.33
4988	0	207988	210486	Homo sapiens mRNA; cDNA DKFZp564H2416 (from clone DKFZp564H2416)		10
6508	0	209407	61008	likely ortholog of mouse coiled coil forming protein 1	KIAA0203	8p22-q21.13
7613	0	26950	124345	CENP-F kinetochore protein=mitosin=cell-cycle-dependent 350K nuclear protein=AH antigen	CENPF	1q32-q41
7143	0	27590	624760	Lactate dehydrogenase B	LDHB	12p12.2-p12.1
4544	0	208727	45578	mitogen-activated protein kinase kinase 6	MAP2K6	17q24
4121	0	202441	843121	chloride intracellular channel 1	CLIC1	6p22.1-p21.2
4784	0	28215	1272373	Serine hydroxymethyl transferase  mitochondrial precursor=Serine methylase=Glycine hydroxymethyl transferase=SHMT	SHMT2	12q12-q14
955	0	28949	682418	MEF=myeloid elf-1 like factor	ELF4	Xq26
3139	0	202186	877613	dynactin 1 (p150, Glued (Drosophila) homolog)	DCTN1	2p13
3345	0	28771	377560	CD3 delta=T cell surface glycoprotein	CD3D	11q23
6252	0	28754	293925	MIR-7=monocyte/macrophage Ig-related receptor=HM43 monocyte inhibitory receptor (overlaps with lysozyme)=LIR-1	FLJ23356
740	0	202551	121530	hypothetical protein MGC10966	MGC10966	11
538	0	201547	768638	solute carrier family 15 (H+/peptide transporter), member 2	SLC15A2	3p14.3-p14.1
5977	0	208749	510381	CPBP=CBA1=DNA-binding protein	COPEB	10p15
2193	0	205145	417226	c-myc	MYC	8q24.12-q24.13
4240	0	27399	446360	CD40	TNFRSF5	20q12-q13.2
6263	0	28708	140574	CX3C chemokine=orthologue of mouse fractalkine	SCYD1	16q13
6424	0	207823	430186	Homo sapiens mRNA; cDNA DKFZp434B0425 (from clone DKFZp434B0425)		17
4030	0	208031	429434	ESTs		14
2473	0	201737	490306	transmembrane 9 superfamily member 1	TM9SF1	14
3257	0	27130	240997	fyn=syn=slk=Tyrosine protein kinase	FYN	6q21
6066	0	205159	155072	ESTs
3180	0	200228	299388	nuclear transport factor 2 (placental protein 15)	PP15	16q22.1-q22.3
3322	0	28256	344080	Serine hydroxymethyl transferase  mitochondrial precursor=Serine methylase=Glycine hydroxymethyl transferase=SHMT	SHMT2	12q12-q14
5017	0	208586	882497	MORF-related gene X	KIAA0026	Xq22
3321	0	28254	306219	R-PTP-alpha=receptor protein tyrosine phosphatase alpha	PTPRA	20p13
6160	0	27139	2152	PMBP=progesterone membrane binding protein
1486	0	201088	713922	Glutathione S-transferase M1 or M2 or glutathione S-transferase subunit 4 (EC 2.5.1.18)	GSTM1	1p13.3
2054	0	203055	194161	actinin, alpha 4	ACTN4	19q13
6641	0	26941	2156	Pleckstrin
5801	0	28986	141806	A20=TNF alpha inducible, TRAF1,2 binding inhibitor of NF-kB activation	TNFAIP3	6q23.1-q25.3
888	0	27819	797060	RAR-gamma-1=Retinoic acid receptor
7482	0	202232	814576	butyrate response factor 2 (EGF-response factor 2)	BRF2	2p22.3-p21
6844	0	201720	759873	37 kDa leucine-rich repeat (LRR) protein	P37NB	7q22.1-7q31.33
5130	0	156801	800582	ESTs
4306	0	28431	EmptyWell	EmptyWell
4714	0	27067	173406	SRPK1=serine kinase	SRPK1	6p21.3-p21.2
386	0	27651	668262	XPA=Nucleotide excision repair DNA damage binding protein=Mutated in xeroderma pigmentosa A	XPA	9q22.3
4532	0	208679	740941	adipose specific 2	APM2	10
2044	0	203011	365098	BCL2/adenovirus E1B 19kD-interacting protein 3-like	BNIP3L	8p21
1634	0	208692	109863	epithelial membrane protein 2	EMP2	16p13.2
894	0	28131	730921	Glutathione S-transferase M3 (brain)	GSTM3	1p13.3
2183	0	205113	232714	BCL-2	BCL2	18q21.3
1643	0	208722	251936	N-ethylmaleimide-sensitive factor	NSF	17q21
4564	0	209187	472008	C-C chemokine receptor 1=CC CK1=HM145=LD78 receptor=G protein coupled receptor	CCR1	3p21
5103	0	202494	208413	hepsin (transmembrane protease, serine 1)	HPN	19q11-q13.2
4338	0	28843	809828	E2F-5=pRB-binding transcription factor	E2F5	8p22-q21.3
1112	0	207476	268778	PKA-R1 alpha=cAMP-dependent protein kinase type I-alpha-catalytic regulatory chain	PRKAR1A	17q23-q24
5785	0	28918	27544	AC133 antigen=five-transmembrane hematopoietic stem cell antigen	PROML1	4p16.2
5554	0	202080	252185	SL1 transcription factor	TAF1C	16q24
805	0	157390	2220036	ESTs
5725	0	27814	796284	IRS-1=Insulin receptor substrate-1	IRS1	2q36
182	0	208595	430465	small inducible cytokine subfamily A (Cys-Cys), member 19	SCYA19	9p13
537	0	201545	823779	EST	EST
6804	0	201268	770212	chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	1
4921	0	202634	212772	hypothetical protein FLJ21562	FLJ21562	13
6195	0	27857	882183	CXCR2=IL-8 Receptor beta	IL8RB	2q35
7622	0	27280	325880	tubulin-beta	FKBP1A	20p13
4071	0	208965	249603	Ste-20 related kinase	SPAK	2p14-q14.3
2637	0	202209	758329	tryptophan rich basic protein	WRB	21q22.3
5389	0	201606	815501	hypothetical protein MGC2721	MGC2721	19p13.3
1665	0	209198	897164	catenin (cadherin-associated protein), alpha 1 (102kD)	CTNNA1	5q31
2435	0	200821	46284	hypothetical protein CG003	13CDNA73	13
3038	0	207732	271989	ESTs, Weakly similar to KIAA0351 [H.sapiens]
4815	0	28913	1048586	BMI-1	BMI1	10p13
1207	0	201906	809838	EST	EST
5865	0	201673	712668	JAK binding protein	SSI-1	16p13.13
3654	0	200292	50182	Kallmann syndrome 1 sequence	KAL1	Xp22.32
75	0	202597	144740	serologically defined colon cancer antigen 28	SDCCAG28	11q13
1231	0	202482	294487	programmed cell death 4 (neoplastic transformation inhibitor)	PDCD4	10q24
3284	0	27628	665279	CD103 alpha=Integrin alpha-E	ITGAE	17p13
1439	0	28854	724888	Cytochrome P450 IVB1	CYP4B1	1p34-p12
2448	0	201351	788141	xeroderma pigmentosum, complementation group A	XPA	9q22.3
1129	0	208026	416676	pellino (Drosophila) homolog 1	PELI1	2p13.3
6837	0	201694	838389	unc119 (C.elegans) homolog	UNC119	17q11.2
1074	0	205504	279195	fatty acid binding protein 7, brain	FABP7	6q22-q23
4558	0	209163	130242	CAK=cdk7=NRTALRE=sdk=CDK activating kinase	CDK7	2p15-cen
2131	0	209221	586706	carcinoembryonic antigen-related cell adhesion molecule 5	CEACAM5	19q13.1-q13.2
6423	0	207821	365517	ESTs		10
1648	0	209128	47359	EDN-1=ETN=endothelin-1=secreted vasoconstrictor	EDN1	6p24.1
1438	0	28852	123264	CD38	CD38	4p15
5246	0	27740	728609	Phospholipase C, gamma 2 (phosphatidylinositol-specific)	PLCG2	16q24.1
2771	0	26933	202961	CENP-F kinetochore protein=mitosin=cell-cycle-dependent 350K nuclear protein=AH antigen	CENPF	1q32-q41
1683	0	202070	196433	EST	EST
3418	0	201356	49164	CD106=VCAM-1	VCAM1	1p32-p31
4914	0	202608	530662	EST	EST
7612	0	26948	123498	guanosine 5-monophosphate synthase	GMPS	3q24
1195	0	201858	84955	SEC24 (S. cerevisiae) related gene family, member C	SEC24C	10
3358	0	28721	756490	branched chain aminotransferase precursor (BCATm)	BCAT2	19q13
6203	0	27885	967284	IP-10	SCYB10	4q21
3312	0	27924	2417513	Signal recognition particle 9kD	SRP9	1q41
2456	0	201379	486208	transforming growth factor, beta 3	TGFB3	14q24
1476	0	200660	130156	A kinase (PRKA) anchor protein 10	AKAP10	17pter-qter
4672	0	157380	2219726	EST	EST
3033	0	207710	364865	hypothetical protein FLJ21062	FLJ21062	7
1039	0	201522	950682	Phosphofructokinase, platelet	PFKP	10p15.3-p15.2
743	0	202569	66774	hypothetical protein IMPACT	IMPACT	18q11.2-q12.1
441	0	28445	342378	DUSP5=Dual specificity phosphatase induced by serum stimulation and heat shock	DUSP5	10q25
2385	0	28744	796284	IRS-1=Insulin receptor substrate-1	IRS1	2q36
4283	0	28049	1354667	SLAM=signaling lymphocytic activation molecule	SLAM	1q22-q23
4800	0	28655	503617	Mig=Humig=chemokine targeting T cells	MIG	4q21
871	0	27749	740117	IRF-7=interferon regulatory factor-7	IRF7	11p15.5
5665	0	26998	141688	Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	PPP2CA	5q23-q31
848	0	27463	491243	IP-10	SCYB10	4q21
3068	0	208428	502669	histone deacetylase 2	HDAC2	6q21
1682	0	202068	46154	BAP1=BRCA1 associated protein 1	BAP1	3p21.31-p21.2
6450	0	208511	486591	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	SEMA3C	7q21-q31
6173	0	27573	593221	MHC Class II=DQ alpha	HLA-DQA1	6p21.3
1592	0	207660	284160	calcium channel, voltage-dependent, alpha 2/delta subunit 2	CACNA2D2	3p21.3
3912	0	200931	198917	Homo sapiens GT212 mRNA		17
26	0	200867	131653	mitochondrial ribosomal protein S12	MRPS12	19q13.1-q13.2
3026	0	207684	269663	ESTs		1
4778	0	28191	267753	Serine hydroxymethyl transferase  mitochondrial precursor=Serine methylase=Glycine hydroxymethyl transferase=SHMT	SHMT2	12q12-q14
4589	0	202085	840818	filamin B, beta (actin-binding protein-278)	FLNB	3p14.3
4515	0	208321	769890	nucleoside phosphorylase	NP	14q13.1
6786	0	200716	123802	microfibrillar-associated protein 1	MFAP1	15q15-q21
2913	0	200702	210522	phosphodiesterase 7A	PDE7A	8q13
3187	0	200266	44255	mitochondrial ribosomal protein L3	MRPL3	3q21-q23
5159	0	157303	2217682	EST
5441	0	207386	284792	sorting nexin 14	SNX14	6
532	0	201139	813757	folate receptor 2 (fetal)	FOLR2	11q13.3-q13.5
7237	0	157671	30664	aspartylglucosaminidase	AGA	4q32-q33
1705	0	202546	133114	frizzled (Drosophila) homolog 4	FZD4	11q14-q21
5548	0	202056	825399	TNF receptor-associated factor 3	TRAF3	14
5525	0	209162	769857	cystathionine-beta-synthase	CBS	21q22.3
2032	0	202867	248256	KIAA1691 protein	KIAA1691	7p22
4640	0	200183	810017	plasminogen activator, urokinase receptor	PLAUR	19q13
2099	0	208425	878744	tumor susceptibility gene 101	TSG101	11p15
3318	0	28236	299717	leukemia associated gene 1=13q14 gene deleted in CLL	DLEU1	13q14.3
2970	0	201692	949940	ribosomal protein L27a	RPL27A	11p15
859	0	27509	526335	MMP-9=Matrix metalloproteinase 9=92 kD Gelatinase B=92 KD type IV collagenase	MMP9	20q11.2-q13.1
4308	0	28435	47900	interferon-gamma receptor alpha chain
4410	0	201559	33045	neuropeptide Y receptor Y1	NPY1R	4q31.3-q32
2334	0	27891	994958	AIM2=interferon-inducible protein=associated with chromosome 6-mediated suppression of melanoma tumorgenicity	AIM2	1q22
1384	0	28060	1375561	Eph-family protein	EPHB6	7q33-q35
5980	0	208755	140574	CX3C chemokine=orthologue of mouse fractalkine	SCYD1	16q13
1814	0	27460	491155	Ribosomal protein L27	RPL27	17p13.2
4414	0	201579	840687	mucin 1, transmembrane	MUC1	1q21
6923	0	208370	293925	MIR-7=monocyte/macrophage Ig-related receptor=HM43 monocyte inhibitory receptor (overlaps with lysozyme)=LIR-1	FLJ23356
439	0	28441	810331	BPGF-1=bone-derived growth factor=Q6=quiescin=expression is induced by reversible growth arrest, trypsinization and serum starvation and is blocked by SV40 transformation	AKT1	14q32.32
3080	0	208764	866874	heterogeneous nuclear ribonucleoprotein H2 (H)	HNRPH2	Xq22
666	0	208691	773478	activated p21cdc42Hs kinase	ACK1	3
5099	0	202486	502369	TFAR19=may enhance growth factor-induced apoptosis	PDCD5	19q12-q13.1
3927	0	201477	80374	pyruvate dehydrogenase (lipoamide) alpha 1	PDHA1	Xp22.2-p22.1
7298	0	201408	504763	Syndecan-4 = amphiglycan = ryudocan core protein	SDC4	20q12
2341	0	27917	1048526	SOCS-2=STAT induced STAT inhibitor-2=CIS2	STATI2	12q
2547	0	207801	199334	lipopolysaccharide specific response-68 protein	LSR68	14q22.1-q24.3
4546	0	208731	855745	ESTs, Highly similar to G2HU Ig gamma-2 chain C region [H.sapiens]		14
7301	0	201414	797016	Succinate dehydrogenase 1, iron sulphur (Ip) subunit	SDHB	1p36.1-p35
3153	0	205118	267634	v-raf-1 murine leukemia viral oncogene homolog 1	RAF1	3p25
2616	0	209319	742595	CDK5=cell division protein kinase 5 (kinase PSSALRE)	CDK5	7q36
373	0	27409	470074	PrP=prion protein	PRNP	20pter-p12
