Affymetrix ID	Symbol	Description	cluster
160350_at	Gstz1	glutathione transferase zeta 1 (maleylacetoacetate isomerase)	1
160354_at	Ldb3	LIM domain binding 3	1
160375_at	Car3	carbonic anhydrase 3	1
160481_at	Pck1	phosphoenolpyruvate carboxykinase 1, cytosolic	1
160638_at	Cdkn2c	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	1
160711_at	Decr1	2,4-dienoyl CoA reductase 1, mitochondrial	1
160754_at	Pygm	muscle glycogen phosphorylase	1
160761_at	Usmg4	upregulated during skeletal muscle growth 4	1
160851_r_at	Cox8b	cytochrome c oxidase, subunit VIIIb	1
160877_at	Ogn	osteoglycin	1
161184_f_at	---	---	1
161205_at	Cox8b	cytochrome c oxidase, subunit VIIIb	1
161422_f_at	Ucp1	uncoupling protein 1, mitochondrial	1
161569_f_at	Ckm	creatine kinase, muscle	1
161610_at	---	---	1
161815_f_at	Mup1	major urinary protein 1	1
161900_f_at	Adrb3	adrenergic receptor, beta 3	1
162101_f_at	Mylpf	myosin light chain, phosphorylatable, fast skeletal muscle	1
162223_f_at	Atp2a1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	1
162297_s_at	Cav3	caveolin 3	1
162325_f_at	Tnnc2	troponin C2, fast	1
162410_s_at	Cd8b	CD8 antigen, beta chain	1
92202_g_at	Zfp145	zinc finger protein 145	1
92203_s_at	Cd6	CD6 antigen	1
92341_at	B3galt2	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2	1
92441_at	Fap	fibroblast activation protein	1
92536_at	Adrb3	adrenergic receptor, beta 3	1
92537_g_at	Adrb3	adrenergic receptor, beta 3	1
92538_at	Adrb3	adrenergic receptor, beta 3	1
92541_at	Myl1	myosin, light polypeptide 1	1
92582_at	Slc1a5	solute carrier family 1 (neutral amino acid transporter), member 5	1
92592_at	Gpd1	glycerol-3-phosphate dehydrogenase 1 (soluble)	1
92593_at	Postn	periostin, osteoblast specific factor	1
92599_at	Pgam2	phosphoglycerate mutase 2	1
92683_at	Cd3d	CD3 antigen, delta polypeptide	1
92885_at	Tnnt3	troponin T3, skeletal, fast	1
92913_at	Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	1
93028_at	H19	H19 fetal liver mRNA	1
93040_at	Fxyd1	FXYD domain-containing ion transport regulator 1	1
93051_at	Ephx2	epoxide hydrolase 2, cytoplasmic	1
93105_s_at	Tcrb-V13	T-cell receptor beta, variable 13	1
93106_i_at	---	M.musculus mRNA for partial T cell receptor (hybridoma HD13.7; 168 bp)	1
93109_f_at	Serpina1a	serine (or cysteine) proteinase inhibitor, clade A, member 1a	1
93308_s_at	Pcx	pyruvate carboxylase	1
93332_at	Cd36	CD36 antigen	1
93353_at	Lum	lumican	1
93485_at	Ptprd	protein tyrosine phosphatase, receptor type, D	1
93486_at	Slc27a1	solute carrier family 27 (fatty acid transporter), member 1	1
93497_at	C3	complement component 3	1
93511_at	Itm2a	integral membrane protein 2A	1
93517_at	Col6a2	procollagen, type VI, alpha 2	1
93750_at	Gsn	gelsolin	1
93836_at	Bnip3	BCL2/adenovirus E1B 19kDa-interacting protein 1, NIP3	1
93996_at	Cyp2e1	cytochrome P450, family 2, subfamily e, polypeptide 1	1
94214_at	Fabp3	fatty acid binding protein 3, muscle and heart	1
94429_at	Eef1a2	eukaryotic translation elongation factor 1 alpha 2	1
94507_at	Acsl1	acyl-CoA synthetase long-chain family member 1	1
94778_at	Aldh1a7	aldehyde dehydrogenase family 1, subfamily A7	1
94852_at	Glul	glutamate-ammonia ligase (glutamine synthase)	1
95053_s_at	Sdhb	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	1
95471_at	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	1
95523_at	6530401D 17Rik	RIKEN cDNA 6530401D17 gene	1
95546_g_at	Igf1	insulin-like growth factor 1	1
95611_at	Lpl	lipoprotein lipase	1
95646_at	Cpt2	carnitine palmitoyltransferase 2	1
95771_i_at	Fzd4	frizzled homolog 4 (Drosophila)	1
95772_r_at	Fzd4	frizzled homolog 4 (Drosophila)	1
96047_at	Rbp4	retinol binding protein 4, plasma	1
96088_at	Ndrg2	N-myc downstream regulated gene 2	1
96095_i_at	2610207I1 6Rik	RIKEN cDNA 2610207I16 gene	1
96122_at	2310016A 09Rik	RIKEN cDNA 2310016A09 gene	1
96132_at	AB023957	cDNA sequence AB023957	1
96134_at	Dp1l1	deleted in polyposis 1-like 1	1
96172_at	Ian1	immune associated nucleotide 1	1
96205_at	Sh3bgr	SH3-binding domain glutamic acid-rich protein	1
96237_at	BC054059	cDNA sequence BC054059	1
96311_at	Mbp	myelin basic protein	1
96344_at	Eno3	enolase 3, beta muscle	1
96346_at	Cdo1	cysteine dioxygenase 1, cytosolic	1
96348_at	0610039C 21Rik	RIKEN cDNA 0610039C21 gene	1
96588_at	Ptger3	prostaglandin E receptor 3 (subtype EP3)	1
96713_at	Papss2	3-phosphoadenosine 5-phosphosulfate synthase 2	1
96719_i_at	Pva	parvalbumin	1
96720_f_at	Pva	parvalbumin	1
96742_at	Dpt	dermatopontin	1
96803_at	Gbe1	glucan (1,4-alpha-), branching enzyme 1	1
96913_at	Hadhb	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	1
96920_at	Prss11	protease, serine, 11 (Igf binding)	1
97155_at	Gdf8	growth differentiation factor 8	1
97160_at	Sparc	secreted acidic cysteine rich glycoprotein	1
97195_at	Gnai1	guanine nucleotide binding protein, alpha inhibiting 1	1
97235_f_at	Apobec2	apolipoprotein B editing complex 2	1
97317_at	Enpp2	ectonucleotide pyrophosphatase/phosphodi esterase 2	1
97347_at	Ltbp4	latent transforming growth factor beta binding protein 4	1
97498_at	Fhl1	four and a half LIM domains 1	1
97500_g_at	Fhl1	four and a half LIM domains 1	1
97926_s_at	Pparg	peroxisome proliferator activated receptor gamma	1
97990_at	Myh11	myosin heavy chain 11, smooth muscle	1
97994_at	AI465550	expressed sequence AI465550	1
98018_at	Procr	protein C receptor, endothelial	1
98028_at	Twist1	twist gene homolog 1 (Drosophila)	1
98063_at	Glycam1	glycosylation dependent cell adhesion molecule 1	1
98126_s_at	Atp2a1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	1
98308_at	Myh1	myosin, heavy polypeptide 1, skeletal muscle, adult	1
98435_at	Adss	adenylosuccinate synthetase, muscle	1
98447_at	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	1
98488_at	Myh4	myosin, heavy polypeptide 4, skeletal muscle	1
98575_at	Fasn	fatty acid synthase	1
98924_at	Art3	ADP-ribosyltransferase 3	1
98974_at	---	Similar to Ig delta chain C region, membrane-bound form - mouse (LOC382646), mRNA	1
99032_at	Rasd1	RAS, dexamethasone-induced 1	1
99104_at	Acdc	adipocyte, C1Q and collagen domain containing	1
99107_at	Ghr	growth hormone receptor	1
99108_s_at	Ghr	growth hormone receptor	1
99549_at	Ogn	osteoglycin	1
99667_at	Cox6a2	cytochrome c oxidase, subunit VI a, polypeptide 2	1
99669_at	Lgals1	lectin, galactose binding, soluble 1	1
99937_at	Meox2	mesenchyme homeobox 2	1
	Pcx	pyruvate carboxylase /// pyruvate carboxylase	1
100112_at	Cxcl12	chemokine (C-X-C motif) ligand 12	2
100441_s_at	Ank1	ankyrin 1, erythroid	2
100464_at	3110043O 21Rik	RIKEN cDNA 3110043O21 gene	2
100477_at	C630002M 10Rik	RIKEN cDNA C630002M10 gene	2
100508_at	Mfng	manic fringe homolog (Drosophila)	2
100597_at	Gyg1	glycogenin 1	2
100636_at	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1	2
100896_at	Cacng1	calcium channel, voltage-dependent, gamma subunit 1	2
100902_at	2610019F 03Rik	RIKEN cDNA 2610019F03 gene	2
101007_at	Mknk2	MAP kinase-interacting serine/threonine kinase 2	2
101089_at	Pdlim3	PDZ and LIM domain 3	2
101090_at	Fbn1	fibrillin 1	2
101130_at	Col1a2	procollagen, type I, alpha 2	2
101861_at	Sgce	sarcoglycan, epsilon	2
101897_g_at	Cd1d1	CD1d1 antigen	2
102156_f_at	Igk-V21	immunoglobulin kappa chain variable 21 (V21)	2
102282_g_at	Tnfrsf7	tumor necrosis factor receptor superfamily, member 7	2
102302_at	Bckdhb	branched chain ketoacid dehydrogenase E1, beta polypeptide	2
102318_at	Siat8d	sialyltransferase 8 (alpha-2, 8-sialyltransferase) D	2
102704_at	Aqp4	aquaporin 4	2
102707_f_at	Serpina3c	serine (or cysteine) proteinase inhibitor, clade A, member 3C	2
102720_at	Tek	endothelial-specific receptor tyrosine kinase	2
103297_at	Pfkfb1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	2
103499_at	Vwf	Von Willebrand factor homolog	2
103536_at	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2	2
103556_at	Angptl2	angiopoietin-like 2	2
103617_at	Daf1	decay accelerating factor 1	2
103619_at	1810044O 22Rik	RIKEN cDNA 1810044O22 gene	2
103646_at	Crat	carnitine acetyltransferase	2
103773_at	1110020K 19Rik	RIKEN cDNA 1110020K19 gene	2
103935_at	Atp2a3	ATPase, Ca++ transporting, ubiquitous	2
104011_at	Aox1	aldehyde oxidase 1	2
104034_at	AI464131	expressed sequence AI464131	2
104083_at	Cdh5	cadherin 5	2
104098_at	Pxmp2	peroxisomal membrane protein 2	2
104146_at	Rasip1	Ras interacting protein 1	2
104239_at	Phemx	pan hematopoietic expression	2
104371_at	Dgat1	diacylglycerol O-acyltransferase 1	2
104381_at	Nr1h3	nuclear receptor subfamily 1, group H, member 3	2
104406_at	Ptges	prostaglandin E synthase	2
104408_s_at	Sox18	SRY-box containing gene 18	2
104443_at	Ccr7	chemokine (C-C motif) receptor 7	2
104516_at	Cldn5	claudin 5	2
104605_at	D6Ucla1e	DNA segment, Chr 6, University of California at Los Angeles-1, expressed	2
104652_at	Kcnk2	potassium channel, subfamily K, member 2	2
104696_at	Ctse	cathepsin E	2
104746_at	Fkbp7	FK506 binding protein 7	2
104761_at	Antxr2	anthrax toxin receptor 2	2
160173_at	---	---	2
160358_at	Cd34	CD34 antigen	2
160359_at	1190002H 23Rik	RIKEN cDNA 1190002H23 gene	2
160373_i_at	Sdpr	serum deprivation response	2
160479_at	Cat	catalase	2
160726_at	Qk	quaking	2
160862_at	Ptp4a3	protein tyrosine phosphatase 4a3	2
160916_at	2310005P 05Rik	RIKEN cDNA 2310005P05 gene	2
160941_at	Pde8a	phosphodiesterase 8A	2
160989_r_at	B430320C 24Rik	RIKEN cDNA B430320C24 gene	2
161012_at	Cd79b	CD79B antigen	2
161859_f_at	Sncg	synuclein, gamma	2
161984_f_at	Col3a1	procollagen, type III, alpha 1	2
162164_f_at	Actn3	actinin alpha 3	2
162262_f_at	Gyg1	glycogenin 1	2
162358_i_at	Slc25a1	solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1	2
162459_f_at	Col6a1	procollagen, type VI, alpha 1	2
92224_at	Tna	tetranectin (plasminogen binding protein)	2
92316_f_at	2010309G 21Rik	RIKEN cDNA 2010309G21 gene	2
92366_at	Lama2	laminin, alpha 2	2
92403_at	Siat7e	sialyltransferase 7 ((alpha-N-acetylneuraminyl 2,3-betagalactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) E	2
92407_at	Myom1	myomesin 1	2
92429_at	Mc2r	melanocortin 2 receptor	2
92535_at	Ebf1	early B-cell factor 1	2
92581_at	Acadm	acetyl-Coenzyme A dehydrogenase, medium chain	2
92614_at	Idb3	inhibitor of DNA binding 3	2
92722_f_at	Six1	sine oculis-related homeobox 1 homolog (Drosophila)	2
92737_at	Irf4	interferon regulatory factor 4	2
92742_at	Ccl11	small chemokine (C-C motif) ligand 11	2
92773_at	Ier5	immediate early response 5	2
92836_at	Eln	elastin	2
92881_at	Mylpf	myosin light chain, phosphorylatable, fast skeletal muscle	2
93080_at	Bscl2	Bernardinelli-Seip congenital lipodystrophy 2 homolog (human)	2
93143_at	1190005I0 6Rik	RIKEN cDNA 1190005I06 gene	2
93278_at	Scp2	sterol carrier protein 2, liver	2
93319_at	Rasa3	RAS p21 protein activator 3	2
93472_at	AI413331	expressed sequence AI413331	2
93501_f_at	Sucla2	succinate-Coenzyme A ligase, ADP-forming, beta subunit	2
93534_at	Dcn	decorin	2
93563_s_at	Nid2	nidogen 2	2
93583_s_at	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	2
93638_s_at	Igl-V1	immunoglobulin lambda chain, variable 1	2
93826_at	Ppp2r5a	protein phosphatase 2, regulatory subunit B (B56), alpha isoform	2
93896_at	Ptprd	protein tyrosine phosphatase, receptor type, D	2
93940_at	Pon3	paraoxonase 3	2
93994_at	Chpt1	choline phosphotransferase 1	2
94080_at	Sdha	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	2
94223_at	Net1	neuroepithelial cell transforming gene 1	2
94305_at	Col1a1	procollagen, type I, alpha 1	2
94332_at	Ets1	E26 avian leukemia oncogene 1, 5 domain	2
94375_at	Hk2	hexokinase 2	2
94438_at	Pfkm	phosphofructokinase, muscle	2
94777_at	Alb1	albumin 1	2
94806_at	---	Similar to pyruvate dehydrogenase (lipoamide) beta (LOC226294), mRNA	2
94902_at	Sod3	superoxide dismutase 3, extracellular	2
94940_at	Mccc1	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)	2
95016_at	Nrp	neuropilin	2
95026_at	0610039N 19Rik	RIKEN cDNA 0610039N19 gene	2
95064_at	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	2
95079_at	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	2
95148_at	Ak2	adenylate kinase 2	2
95493_at	Col6a1	procollagen, type VI, alpha 1	2
95787_s_at	Scp2	sterol carrier protein 2, liver	2
96096_f_at	2610207I1 6Rik	RIKEN cDNA 2610207I16 gene	2
96114_at	Ppp1r1a	protein phosphatase 1, regulatory (inhibitor) subunit 1A	2
96634_at	5730469M 10Rik	RIKEN cDNA 5730469M10 gene	2
96662_at	Ppap2b	phosphatidic acid phosphatase type 2B	2
96785_at	D17Ertd28 8e	DNA segment, Chr 17, ERATO Doi 288, expressed	2
96895_at	Pon1	paraoxonase 1	2
96947_at	Etfb	electron transferring flavoprotein, beta polypeptide	2
97172_s_at	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	2
97204_s_at	Dnajd1	DnaJ (Hsp40) homolog, subfamily D, member 1	2
97322_at	Ms4a6b	membrane-spanning 4-domains, subfamily A, member 6B	2
97357_at	5430401D 19Rik	RIKEN cDNA 5430401D19 gene	2
97496_f_at	Prkcdbp	protein kinase C, delta binding protein	2
97511_at	Mgll	monoglyceride lipase	2
97549_at	Cfl2	cofilin 2, muscle	2
97773_at	Cd34	CD34 antigen	2
97835_at	Rarres2	retinoic acid receptor responder (tazarotene induced) 2	2
97869_at	Etfdh	electron transferring flavoprotein, dehydrogenase	2
98132_at	Cycs	cytochrome c, somatic	2
98328_at	Tshr	thyroid stimulating hormone receptor	2
98331_at	Col3a1	procollagen, type III, alpha 1	2
98406_at	Ccl5	chemokine (C-C motif) ligand 5	2
98527_at	Dci	dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenyme A isomerase)	2
98594_at	1190002N 15Rik	RIKEN cDNA 1190002N15 gene	2
98859_at	Acp5	acid phosphatase 5, tartrate resistant	2
98892_at	Lpin1	lipin 1	2
98980_at	Cd37	CD37 antigen	2
98984_f_at	Gpd2	glycerol phosphate dehydrogenase 2, mitochondrial	2
99010_at	Islr	immunoglobulin superfamily containing leucine-rich repeat	2
99030_at	Il7r	interleukin 7 receptor	2
99042_s_at	Shox2	short stature homeobox 2	2
99444_at	Ramp2	receptor (calcitonin) activity modifying protein 2	2
99571_at	MGC2997 8	3-ketoacyl-CoA thiolase B	2
99580_s_at	Ugt1a2	UDP-glucuronosyltransferase 1 family, member 2	2
99622_at	Klf4	Kruppel-like factor 4 (gut)	2
99637_at	Col15a1	procollagen, type XV	2
99671_at	Adn	adipsin	2
100017_at	Mybph	myosin binding protein H	3
100069_at	Cyp2f2	cytochrome P450, family 2, subfamily f, polypeptide 2	3
100131_at	Sgne1	secretory granule neuroendocrine protein 1, 7B2 protein	3
100293_at	Cd59b	CD59b antigen	3
100513_at	Ddef1	development and differentiation enhancing	3
100564_at	Ddt	D-dopachrome tautomerase	3
100567_at	Fabp4	fatty acid binding protein 4, adipocyte	3
100595_at	Ptp4a2	protein tyrosine phosphatase 4a2	3
100606_at	Prnp	prion protein	3
100906_at	Itgb7	integrin beta 7	3
100990_g_at	Itgb1bp1	integrin beta 1 binding protein 1	3
101029_f_at	Actc1	actin, alpha, cardiac	3
101040_at	Capn2	calpain 2	3
101073_at	Lrp1	low density lipoprotein receptor-related protein 1	3
101394_at	Sgcg	sarcoglycan, gamma (dystrophin-associated glycoprotein)	3
101565_f_at	Serpina1a	serine (or cysteine) proteinase inhibitor, clade A, member 1a	3
101572_f_at	Serpina1a	serine (or cysteine) proteinase inhibitor, clade A, member 1a	3
101575_i_at	Serpina1a	serine (or cysteine) proteinase inhibitor, clade A, member 1a	3
101835_at	Lrmp	lymphoid-restricted membrane protein	3
101853_f_at	Cfh	complement component factor h	3
101881_g_at	Col18a1	procollagen, type XVIII, alpha 1	3
101903_at	Smyd1	SET and MYND domain containing 1	3
101934_at	Fez2	fasciculation and elongation protein zeta 2 (zygin II)	3
101948_at	Lamb1-1	laminin B1 subunit 1	3
102000_f_at	Uqcrc2	ubiquinol cytochrome c reductase core protein 2	3
102154_f_at	---	Anti-PC rearranged Ig kappa chain V-J region mRNA, hybridoma 31-23-1, partial cds.	3
102217_at	Gprk5	G protein-coupled receptor kinase 5	3
102256_at	Tbx15	T-box 15	3
102295_at	Kcna5	potassium voltage-gated channel, shaker-related subfamily, member 5	3
102344_s_at	Tcea3	transcription elongation factor A (SII), 3	3
102383_at	5730593F 17Rik	RIKEN cDNA 5730593F17 gene	3
102561_at	Atp5k	ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit e	3
102778_at	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	3
102852_at	Cdh2	cadherin 2	3
102907_at	Phldb2	pleckstrin homology-like domain, family B, member 2	3
102939_s_at	Cd22	CD22 antigen	3
102958_at	Ebf2	early B-cell factor 2	3
102975_at	Cd8a	CD8 antigen, alpha chain	3
103001_at	Vegfb	vascular endothelial growth factor B	3
103006_at	Atf5	activating transcription factor 5	3
103030_at	Dnm	dynamin	3
103084_at	Csrp3	cysteine and glycine-rich protein 3	3
103089_at	Cd48	CD48 antigen	3
103223_at	5830406C 15Rik	RIKEN cDNA 5830406C15 gene	3
103231_at	Rhoh	ras homolog gene family, member H	3
103255_at	Traf5	Tnf receptor-associated factor 5	3
103362_at	Ptger4	prostaglandin E receptor 4 (subtype EP4)	3
103404_at	Rere	arginine glutamic acid dipeptide (RE) repeats	3
103416_at	Mapk6	mitogen-activated protein kinase 6	3
103454_at	Spic	Spi-C transcription factor (Spi-1/PU.1 related)	3
103456_at	Ece1	endothelin converting enzyme 1	3
103596_at	Dgka	diacylglycerol kinase, alpha	3
103607_at	Gpx7	glutathione peroxidase 7	3
103611_at	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	3
103673_at	C2	complement component 2 (within H-2S)	3
103697_at	AW06123 4	expressed sequence AW061234	3
103704_at	2010305K 11Rik	RIKEN cDNA 2010305K11 gene	3
103804_at	Reck	reversion-inducing-cysteine-rich protein with kazal motifs	3
103838_at	Mg29	mitsugumin 29	3
104000_at	2210023G 05Rik	RIKEN cDNA 2210023G05 gene	3
104056_at	D16Bwg15 43e	DNA segment, Chr 16, Brigham & Womens Genetics 1543 expressed	3
102217_at	Gprk5	G protein-coupled receptor kinase 5	3
102256_at	Tbx15	T-box 15	3
102295_at	Kcna5	potassium voltage-gated channel, shaker-related subfamily, member 5	3
102344_s_at	Tcea3	transcription elongation factor A (SII), 3	3
102383_at	5730593F 17Rik	RIKEN cDNA 5730593F17 gene	3
102561_at	Atp5k	ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit e	3
102778_at	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	3
102852_at	Cdh2	cadherin 2	3
102907_at	Phldb2	pleckstrin homology-like domain, family B, member 2	3
102939_s_at	Cd22	CD22 antigen	3
102958_at	Ebf2	early B-cell factor 2	3
102975_at	Cd8a	CD8 antigen, alpha chain	3
103001_at	Vegfb	vascular endothelial growth factor B	3
103006_at	Atf5	activating transcription factor 5	3
103030_at	Dnm	dynamin	3
103084_at	Csrp3	cysteine and glycine-rich protein 3	3
103089_at	Cd48	CD48 antigen	3
103223_at	5830406C 15Rik	RIKEN cDNA 5830406C15 gene	3
103231_at	Rhoh	ras homolog gene family, member H	3
103255_at	Traf5	Tnf receptor-associated factor 5	3
103362_at	Ptger4	prostaglandin E receptor 4 (subtype EP4)	3
103404_at	Rere	arginine glutamic acid dipeptide (RE) repeats	3
103416_at	Mapk6	mitogen-activated protein kinase 6	3
103454_at	Spic	Spi-C transcription factor (Spi-1/PU.1 related)	3
103456_at	Ece1	endothelin converting enzyme 1	3
103596_at	Dgka	diacylglycerol kinase, alpha	3
103607_at	Gpx7	glutathione peroxidase 7	3
103611_at	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	3
103673_at	C2	complement component 2 (within H-2S)	3
103697_at	AW06123 4	expressed sequence AW061234	3
103704_at	2010305K 11Rik	RIKEN cDNA 2010305K11 gene	3
103804_at	Reck	reversion-inducing-cysteine-rich protein with kazal motifs	3
103838_at	Mg29	mitsugumin 29	3
104000_at	2210023G 05Rik	RIKEN cDNA 2210023G05 gene	3
104056_at	D16Bwg15 43e	DNA segment, Chr 16, Brigham & Womens Genetics 1543 expressed	3
104135_at	Arl3	ADP-ribosylation factor-like 3	3
104148_at	H6pd	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	3
104153_at	Ivd	isovaleryl coenzyme A dehydrogenase	3
104173_at	Ms4a1	membrane-spanning 4-domains, subfamily A, member 1	3
104260_at	AW11203 7	expressed sequence AW112037	3
104374_at	Serpina3n	serine (or cysteine) proteinase inhibitor, clade A, member 3N	3
104431_at	Prkcq	protein kinase C, theta	3
104491_at	Phtf2	putative homeodomain transcription factor 2	3
104494_at	4921515A 04Rik	RIKEN cDNA 4921515A04 gene	3
104525_at	2810423O 19Rik	RIKEN cDNA 2810423O19 gene	3
104602_at	Waspip	Wiskott-Aldrich syndrome protein interacting protein	3
104661_at	---	12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130071L21 product:unknown EST, full insert sequence	3
104680_at	Ramp1	receptor (calcitonin) activity modifying protein 1	3
104743_at	Cdh13	cadherin 13	3
160088_at	Fmo5	flavin containing monooxygenase 5	3
160127_at	Ccng1	cyclin G1	3
160205_f_at	Rnf11	ring finger protein 11	3
160385_at	5730591C 18Rik	RIKEN cDNA 5730591C18 gene	3
160406_at	Ctsk	cathepsin K	3
160458_at	Mcam	melanoma cell adhesion molecule	3
160511_at	Cxcl12	chemokine (C-X-C motif) ligand 12	3
160571_at	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble	3
160611_at	Cyp4v3	cytochrome P450, family 4, subfamily v, polypeptide 3	3
160629_at	Rgs10	regulator of G-protein signalling 10	3
160637_at	Mocs2	molybdenum cofactor synthesis 2	3
160777_at	AA408451	expressed sequence AA408451	3
160948_at	Ppp3cc	protein phosphatase 3, catalytic subunit, gamma isoform	3
160963_at	9630050M 13Rik	RIKEN cDNA 9630050M13 gene	3
160965_at	Rasa4	RAS p21 protein activator 4	3
160975_at	1700024K 14Rik	RIKEN cDNA 1700024K14 gene	3
