UNIGENE	InputID	Gene Name
Hs.462680	40725_at	GOLGI SNAP RECEPTOR COMPLEX MEMBER 1
Hs.279245	40841_at	TRANSFORMING, ACIDIC COILED-COIL CONTAINING PROTEIN 1
Hs.458986	40937_at	ZINC FINGER PROTEIN 291
Hs.483454	40953_at	CALPONIN 3, ACIDIC
Hs.266728	41118_at	HYPOTHETICAL PROTEIN FLJ13639
Hs.199561	41174_at	RAN BINDING PROTEIN 2
Hs.512050	41174_at	RAN BINDING PROTEIN 2
Hs.465224	41241_at	ASPARAGINYL-TRNA SYNTHETASE
Hs.471779	41320_s_at	LEUCINE RICH REPEAT (IN FLII) INTERACTING PROTEIN 1
Hs.25363	41349_at	PRESENILIN 2 (ALZHEIMER DISEASE 4)
Hs.417022	41431_at	INTESTINAL CELL (MAK-LIKE) KINASE
Hs.117848	41617_at	HEMOGLOBIN, EPSILON 1
Hs.269408	41632_at	E2F TRANSCRIPTION FACTOR 3
Hs.446091	41635_at	WILMS TUMOR 1 ASSOCIATED PROTEIN
Hs.370858	41814_at	FUCOSIDASE, ALPHA-L- 1, TISSUE
Hs.276876	42614_at	TM2 DOMAIN CONTAINING 1
Hs.250181	42809_at	GOLGI REASSEMBLY STACKING PROTEIN 1, 65KDA
Hs.371001	43112_at	EUKARYOTIC TRANSLATION INITIATION FACTOR 3, SUBUNIT 9 ETA, 116KDA
Hs.368264	43124_at	PROTEIN PHOSPHATASE 2, REGULATORY SUBUNIT B (B56), GAMMA ISOFORM
Hs.561449	43359_f_at	THYMOSIN, BETA 10
Hs.446574	43359_f_at	THYMOSIN, BETA 10
Hs.237506	43395_s_at	DNAJ (HSP40) HOMOLOG, SUBFAMILY B, MEMBER 5
Hs.126221	43642_at	TRANSMEMBRANE PROTEIN 1
Hs.58992	44051_at	SMC4 STRUCTURAL MAINTENANCE OF CHROMOSOMES 4-LIKE 1 (YEAST)
Hs.503047	44059_at	MITOCHONDRIAL RIBOSOMAL PROTEIN L21
Hs.516986	44219_at	AMYLOID BETA (A4) PRECURSOR PROTEIN-BINDING, FAMILY A, MEMBER 2 BINDING PROTEIN
Hs.493362	44316_at	ADENYLATE KINASE 3
Hs.308480	44445_at	PROTEIN-L-ISOASPARTATE (D-ASPARTATE) O-METHYLTRANSFERASE DOMAIN CONTAINING 1
Hs.356697	44820_f_at	SYNAPTOTAGMIN-LIKE 1
Hs.469175	44820_f_at	SYNAPTOTAGMIN-LIKE 1
Hs.522605	44827_s_at	MID1 INTERACTING PROTEIN 1 (GASTRULATION SPECIFIC G12-LIKE (ZEBRAFISH))
Hs.532401	45144_at	GOLGI TRANSPORT 1 HOMOLOG A (S. CEREVISIAE)
Hs.38738	45155_at	CLAUDIN 15
Hs.148162	45217_at	SPINAL CORD-DERIVED GROWTH FACTOR; SECRETORY GROWTH FACTOR-LIKE PROTEIN FALLOTEIN
Hs.513145	45233_at	NEUGRIN, NEURITE OUTGROWTH ASSOCIATED
Hs.505652	45254_at	COATOMER PROTEIN COMPLEX, SUBUNIT ZETA 1
Hs.301853	45269_at	RAB34, MEMBER RAS ONCOGENE FAMILY
Hs.515890	45270_at	YIPPEE-LIKE 5 (DROSOPHILA)
Hs.456507	45302_at	KIAA0319-LIKE
Hs.145284	45312_at	NIF3 NGG1 INTERACTING FACTOR 3-LIKE 1 (S. POMBE)
Hs.444468	45342_at	CTD (CARBOXY-TERMINAL DOMAIN, RNA POLYMERASE II, POLYPEPTIDE A) SMALL PHOSPHATASE 1
Hs.514065	45484_at	NON-METASTATIC CELLS 3, PROTEIN EXPRESSED IN
Hs.191186	45489_s_at	TETRATRICOPEPTIDE REPEAT DOMAIN 17
Hs.478000	45583_at	MUSCLEBLIND-LIKE (DROSOPHILA)
Hs.195080	45721_at	ENDOTHELIN CONVERTING ENZYME 1
Hs.472024	45765_at	CHROMOSOME 20 OPEN READING FRAME 30
Hs.43899	45782_at	TRANSMEMBRANE PROTEIN 18
Hs.512627	45800_at	CHROMOSOME 8 OPEN READING FRAME 35
Hs.5268	45807_at	ZINC FINGER, DHHC-TYPE CONTAINING 4
Hs.469879	45816_at	HYPOTHETICAL PROTEIN LOC55677
Hs.355126	46109_at	TRANSMEMBRANE CHANNEL-LIKE 4
Hs.505516	46166_at	DIP2 DISCO-INTERACTING PROTEIN 2 HOMOLOG B (DROSOPHILA)
Hs.532786	46240_at	HYPOTHETICAL PROTEIN LOC339287
Hs.7036	46246_at	N-ACETYLGLUCOSAMINE KINASE
Hs.7953	46287_at	GOLGI AUTOANTIGEN, GOLGIN SUBFAMILY A, 7
Hs.500013	46288_at	DNAJ (HSP40) HOMOLOG, SUBFAMILY B, MEMBER 12
Hs.511251	46305_at	SULFIDE QUINONE REDUCTASE-LIKE (YEAST)
Hs.500674	46307_at	SM-11044 BINDING PROTEIN
Hs.410231	46384_at	CHROMOSOME 14 OPEN READING FRAME 118
Hs.522729	46640_at	ARMADILLO REPEAT CONTAINING, X-LINKED 5
Hs.9315	46694_at	OLFACTOMEDIN-LIKE 3
Hs.298658	46704_at	KRUPPEL-LIKE FACTOR 3 (BASIC)
Hs.492031	46903_at	UBIQUITIN-CONJUGATING ENZYME E2W (PUTATIVE)
Hs.462323	47347_at	NUCLEAR RECEPTOR CO-REPRESSOR 1
Hs.87159	47949_at	CALCIUM BINDING PROTEIN 39-LIKE
Hs.6834	47964_at	FORMIN BINDING PROTEIN 4
Hs.148989	48018_at	CINGULIN-LIKE 1
Hs.567622	48050_at	PAR-6 PARTITIONING DEFECTIVE 6 HOMOLOG GAMMA (C. ELEGANS)
Hs.568347	48372_at	FERRITIN, HEAVY POLYPEPTIDE 1
Hs.308074	48500_at	CHROMOSOME 9 OPEN READING FRAME 5
Hs.435342	48520_at	STEP II SPLICING FACTOR SLU7
Hs.305971	48553_at	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 10
Hs.20573	48696_at	INSULIN-LIKE GROWTH FACTOR 1 RECEPTOR
Hs.279696	48704_at	SULFATASE MODIFYING FACTOR 2
Hs.250905	49175_at	TRANSMEMBRANE PROTEIN 85
Hs.155742	49204_at	GLYOXYLATE REDUCTASE/HYDROXYPYRUVATE REDUCTASE
Hs.486410	49255_at	ENOYL COENZYME A HYDRATASE DOMAIN CONTAINING 1
Hs.505687	49456_at	WITHIN BGCN HOMOLOG (DROSOPHILA)
Hs.292882	49943_at	RING FINGER PROTEIN 19
Hs.505469	50271_at	RAC GTPASE ACTIVATING PROTEIN 1
Hs.278733	50375_at	SON OF SEVENLESS HOMOLOG 1 (DROSOPHILA)
Hs.487471	50391_at	RNA BINDING MOTIF PROTEIN 35A
Hs.497384	50411_at	IMPORTIN 9
Hs.277721	50416_at	NEIGHBOR OF BRCA1 GENE 1
Hs.568154	50416_at	NEIGHBOR OF BRCA1 GENE 1
Hs.546264	50416_at	NEIGHBOR OF BRCA1 GENE 1
Hs.140452	51002_s_at	MANNOSE-6-PHOSPHATE RECEPTOR BINDING PROTEIN 1
Hs.369039	51092_at	PHD FINGER PROTEIN 11
Hs.249591	51188_at	DENN/MADD DOMAIN CONTAINING 4C
Hs.497350	51214_at	PLAKOPHILIN 1 (ECTODERMAL DYSPLASIA/SKIN FRAGILITY SYNDROME)
Hs.239818	51223_at	PHOSPHOINOSITIDE-3-KINASE, CATALYTIC, BETA POLYPEPTIDE
Hs.481342	51939_at	SORBIN AND SH3 DOMAIN CONTAINING 2
Hs.37482	51960_at	COATOMER PROTEIN COMPLEX, SUBUNIT ZETA 2
Hs.417710	52023_at	HYPOTHETICAL PROTEIN MGC15416
Hs.516032	52313_at	HYDROXYACYL-COENZYME A DEHYDROGENASE/3-KETOACYL-COENZYME A THIOLASE/ENOYL-COENZYME A HYDRATASE (TRIFUNCTIONAL PROTEIN), ALPHA SUBUNIT
Hs.558601	52614_at	RIBOSOMAL PROTEIN L37
Hs.80545	52614_at	RIBOSOMAL PROTEIN L37
Hs.112423	52714_at	HYPOTHETICAL PROTEIN DKFZP586I1420
Hs.416049	52915_at	TRANSPORTIN 2 (IMPORTIN 3, KARYOPHERIN BETA 2B)
Hs.386989	52920_at	DEHYDROGENASE/REDUCTASE (SDR FAMILY) MEMBER 7B
Hs.118513	52946_at	MAS-RELATED GPR, MEMBER F
Hs.463089	53108_at	RUN DOMAIN CONTAINING 1
Hs.486993	53339_at	TUBBY LIKE PROTEIN 4
Hs.505946	53392_at	GLUTAMATE RECEPTOR INTERACTING PROTEIN 1
Hs.533339	53766_at	PERIOD HOMOLOG 3 (DROSOPHILA)
Hs.469881	53785_at	LIM AND SENESCENT CELL ANTIGEN-LIKE DOMAINS 2
Hs.526665	53860_at	ZINC FINGER PROTEIN 627
Hs.505625	53911_at	CHROMOSOME 12 OPEN READING FRAME 10
Hs.458609	53935_at	DIPEPTIDYL-PEPTIDASE 8
Hs.518773	54195_at	UBIQUITIN-CONJUGATING ENZYME E2D 3 (UBC4/5 HOMOLOG, YEAST)
Hs.587125	54195_at	UBIQUITIN-CONJUGATING ENZYME E2D 3 (UBC4/5 HOMOLOG, YEAST)
Hs.463375	54290_at	ZINC FINGER PROTEIN 652
Hs.386404	54317_at	UBIQUITINATION FACTOR E4B (UFD2 HOMOLOG, YEAST)
Hs.479703	54320_at	HYPOTHETICAL PROTEIN FLJ21511
Hs.499821	54579_at	THYROID HORMONE RECEPTOR INTERACTOR 8
Hs.30026	55002_at	SSU72 RNA POLYMERASE II CTD PHOSPHATASE HOMOLOG (YEAST)
Hs.534387	55032_at	ACID-INDUCIBLE PHOSPHOPROTEIN
Hs.130293	55032_at	ACID-INDUCIBLE PHOSPHOPROTEIN
Hs.8715	55109_at	CHROMOSOME 4 OPEN READING FRAME 14
Hs.532399	55245_at	ZINC FINGER CCCH-TYPE CONTAINING 11A
Hs.293736	55293_at	ACTIVITY-DEPENDENT NEUROPROTECTOR
Hs.90527	55598_at	COILED-COIL DOMAIN CONTAINING 59
Hs.530291	55664_at	ANNEXIN A11
Hs.372003	56129_at	CHROMOSOME 9 OPEN READING FRAME 10
Hs.293274	56272_at	ADENOMATOSIS POLYPOSIS COLI DOWN-REGULATED 1
Hs.124156	56278_at	HIPPOCAMPUS ABUNDANT TRANSCRIPT 1
Hs.505077	56315_at	HYPOTHETICAL PROTEIN FLJ10630
Hs.106534	56353_at	CHROMOSOME 5 OPEN READING FRAME 14
Hs.370703	56407_at	CRYSTALLIN, LAMBDA 1
Hs.108957	56410_at	RIBOSOMAL PROTEIN S27-LIKE
Hs.239718	57011_g_at	SECERNIN 2
Hs.534483	57198_at	PHD FINGER PROTEIN 23
Hs.513043	57201_at	IMP3, U3 SMALL NUCLEOLAR RIBONUCLEOPROTEIN, HOMOLOG (YEAST)
Hs.356050	57202_at	FUN14 DOMAIN CONTAINING 2
Hs.388188	57204_at	HLA-B ASSOCIATED TRANSCRIPT 5
Hs.6686	57207_at	CHROMOSOME 15 OPEN READING FRAME 44
Hs.316890	57276_at	SORTING NEXIN 5
Hs.515536	57299_s_at	RELATED RAS VIRAL (R-RAS) ONCOGENE HOMOLOG
Hs.505802	57315_r_at	POLYMERASE (DNA-DIRECTED), DELTA INTERACTING PROTEIN 3
Hs.345588	57616_at	FAMILY WITH SEQUENCE SIMILARITY 101, MEMBER B
Hs.353013	57736_at	CHROMOSOME 20 OPEN READING FRAME 11
Hs.507769	57913_s_at	ASPARAGINE-LINKED GLYCOSYLATION 5 HOMOLOG (YEAST, DOLICHYL-PHOSPHATE BETA-GLUCOSYLTRANSFERASE)
Hs.435512	58013_at	PROTEIN PHOSPHATASE 3 (FORMERLY 2B), CATALYTIC SUBUNIT, ALPHA ISOFORM (CALCINEURIN A ALPHA)
Hs.497369	58305_at	HYPOTHETICAL PROTEIN MGC14961
Hs.274415	58471_at	PQ LOOP REPEAT CONTAINING 3
Hs.279761	58474_at	CHROMATIN MODIFYING PROTEIN 4A
Hs.121549	58821_at	CDP-DIACYLGLYCEROL--INOSITOL 3-PHOSPHATIDYLTRANSFERASE (PHOSPHATIDYLINOSITOL SYNTHASE)
Hs.367690	59093_at	CHROMOSOME 15 OPEN READING FRAME 17
Hs.516656	59266_at	EPHRIN-A3
Hs.480073	59396_at	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN D (AU-RICH ELEMENT RNA BINDING PROTEIN 1, 37KDA)
Hs.319128	59619_at	HYPOTHETICAL PROTEIN FLJ38663
Hs.375762	60853_at	CHROMOSOME 15 OPEN READING FRAME 21
Hs.258314	61182_at	BRAIN AND REPRODUCTIVE ORGAN-EXPRESSED (TNFRSF1A MODULATOR)
Hs.127358	61284_r_at	HYPOTHETICAL PROTEIN FLJ25459
Hs.8752	61302_at	TRANSMEMBRANE PROTEIN 4
Hs.406590	61319_at	MOF4 FAMILY ASSOCIATED PROTEIN 1
Hs.428147	61649_at	CELL DIVISION CYCLE 40 HOMOLOG (YEAST)
Hs.531614	61688_at	BTB (POZ) DOMAIN CONTAINING 14B
Hs.525017	61748_at	WD REPEAT DOMAIN 71
Hs.47668	62165_at	CHROMOSOME 17 OPEN READING FRAME 48
Hs.444950	62574_at	TBC1 DOMAIN FAMILY, MEMBER 10A
Hs.437367	62650_at	GLIOBLASTOMA AMPLIFIED SEQUENCE
Hs.505004	62712_r_at	TRANSCRIPTION ELONGATION FACTOR A (SII), 2
Hs.546253	63122_at	FARNESYL-DIPHOSPHATE FARNESYLTRANSFERASE 1
Hs.377155	63141_r_at	METADHERIN
Hs.477537	63163_f_at	INTRAFLAGELLAR TRANSPORT 122 HOMOLOG (CHLAMYDOMONAS)
Hs.517080	63310_at	SOLUTE CARRIER FAMILY 35, MEMBER C2
Hs.445892	63376_at	SEC22 VESICLE TRAFFICKING PROTEIN-LIKE 3 (S. CEREVISIAE)
Hs.75799	634_at	PROTEASE, SERINE, 8 (PROSTASIN)
Hs.21938	63826_at	HYPOTHETICAL PROTEIN FLJ12492
Hs.568210	63826_at	HYPOTHETICAL PROTEIN FLJ12492
Hs.347535	63970_s_at	MITOCHONDRIAL RIBOSOMAL PROTEIN L10
Hs.584795	64163_at	RAB27B, MEMBER RAS ONCOGENE FAMILY
Hs.494419	64344_at	LYSOSOMAL-ASSOCIATED MEMBRANE PROTEIN 1
Hs.57813	64458_at	ZINC RIBBON DOMAIN CONTAINING, 1
Hs.109520	64932_at	VACUOLAR PROTEIN SORTING 36 (YEAST)
Hs.570207	65235_at	RETICULON 4
Hs.429581	65235_at	RETICULON 4
Hs.183428	65647_at	SARCOSPAN (KRAS ONCOGENE-ASSOCIATED GENE)
Hs.20529	65761_at	FAMILY WITH SEQUENCE SIMILARITY 79, MEMBER A
Hs.42806	65879_at	STROMAL CELL DERIVED FACTOR 4
Hs.485262	65899_at	MITOCHONDRIAL CARRIER HOMOLOG 1 (C. ELEGANS)
Hs.449042	65945_at	PROLINE-RICH NUCLEAR RECEPTOR COACTIVATOR 2
Hs.7862	65945_at	PROLINE-RICH NUCLEAR RECEPTOR COACTIVATOR 2
Hs.512636	65945_at	PROLINE-RICH NUCLEAR RECEPTOR COACTIVATOR 2
Hs.97439	738_at	5-NUCLEOTIDASE, CYTOSOLIC II
