Affymetrix ID	Symbol	Description
92871_at	Sel1h	Sel1 (suppressor of lin-12) 1 homolog (C. elegans)
102371_at	Nr4a1	nuclear receptor subfamily 4, group A, member 1
93285_at	Dusp6	dual specificity phosphatase 6
95664_at	Sec14l1	SEC14-like 1 (S. cerevisiae)
92335_at	Ltbp2	latent transforming growth factor beta binding protein 2
92608_at	Csrp1	cysteine and glycine-rich protein 1
97768_at	Dsc2	desmocollin 2
102896_at	Dok1	downstream of tyrosine kinase 1
103412_at	3732412D 22Rik	RIKEN cDNA 3732412D22 gene
93612_at	Mmp15	matrix metalloproteinase 15
96784_at	Anln	anillin, actin binding protein (scraps homolog, Drosophila)
99475_at	Socs2	suppressor of cytokine signaling 2
104697_at	Rhoj	ras homolog gene family, member J
101073_at	Lrp1	low density lipoprotein receptor-related protein 1
97944_f_at	Tcra	T-cell receptor alpha chain
92586_at	Glud	glutamate dehydrogenase
100513_at	Ddef1	development and differentiation enhancing
103362_at	Ptger4	prostaglandin E receptor 4 (subtype EP4)
96825_at	Tenc1	tensin like C1 domain-containing phosphatase
160205_f_at	Rnf11	ring finger protein 11
96920_at	Prss11	protease, serine, 11 (Igf binding)
160711_at	Decr1	2,4-dienoyl CoA reductase 1, mitochondrial
100436_at	Orm1	orosomucoid 1
93454_at	C1qr1	complement component 1, q subcomponent, receptor 1
99622_at	Klf4	Kruppel-like factor 4 (gut)
101178_at	Sema3c	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
93511_at	Itm2a	integral membrane protein 2A
93319_at	Rasa3	RAS p21 protein activator 3
96785_at	D17Ertd28 8e	DNA segment, Chr 17, ERATO Doi 288, expressed
94515_at	Sqrdl	sulfide quinone reductase-like (yeast)
104601_at	Thbd	thrombomodulin
102907_at	Phldb2	pleckstrin homology-like domain, family B, member 2
96634_at	5730469M 10Rik	RIKEN cDNA 5730469M10 gene
102852_at	Cdh2	cadherin 2
160975_at	1700024K 14Rik	RIKEN cDNA 1700024K14 gene
160280_at	Cav	caveolin, caveolae protein
99669_at	Lgals1	lectin, galactose binding, soluble 1
