Affymetrix probe ID	0h	6h	12h	24h	Common	Genbank
238619_at	1.062	0.849	0.406	0.583	FLJ43663	AA417078
232466_at	0.887	0.736	0.427	0.770	CUL4A	AU155661
243835_at	1.022	0.446	0.581	0.687	ZDHHC21	BE467787
206548_at	0.926	0.863	0.367	0.551	FLJ23556	NM_02488 0
1557238_s_a t	0.929	0.645	0.475	0.730	SETD5	BQ446762
1569538_at	1.019	0.903	0.424	0.672		AF130084
232565_at	1.043	0.526	0.400	0.630	RAB6IP2	AK025052
239331_at	1.002	0.682	0.437	0.488	FLJ43663	AW954199
1565620_at	0.874	0.671	0.490	0.616	THEM4	BG621044
1565689_at	0.956	0.979	0.471	0.732		BG400570
1553349_at	0.918	0.725	0.396	0.562	ARID2	NM_15264 1
236322_at	0.827	0.668	0.449	0.573	UBE2J2	AA830854
1562454_at	1.032	0.740	0.381	0.648	TCF7L2	AL832684
232372_at	0.894	0.833	0.394	0.641	CDH4	AL157491
232522_at	0.921	0.803	0.383	0.574	TCF7L2	AK025137
239551_at	0.956	0.622	0.393	0.517	ENO1	AW296303
233315_at	1.037	1.025	0.494	0.911	CTBP2	AK024947
236462_at	0.903	0.710	0.484	0.630	FLJ10201	AA742310
239957_at	0.982	0.656	0.431	0.741	SETD5	AW510793
1560342_at	0.926	0.704	0.465	0.631	ARSB	BC036606
242859_at	1.095	1.058	0.429	0.607	TFCP2	BE156563
231165_at	0.936	0.594	0.429	0.636	PAX7	BE857355
239758_at	0.921	0.759	0.349	0.581	BCR	AI142126
243561_at	1.013	0.895	0.472	0.769	YAF2	AA651631
235894_at	0.996	0.866	0.491	0.546	KHDRBS1	AW444899
242261_at	0.942	0.670	0.422	0.686	PAX5	AW470799
222366_at	1.014	0.685	0.491	0.637	IGHG1	W86781
239946_at	0.876	0.912	0.433	0.747	KIAA0922	AA776723
238558_at	0.995	0.733	0.478	0.607	MBNL1	AI445833
1569302_at	0.948	0.532	0.585	0.453	KIAA1731	BC017394
229307_at	0.758	0.566	0.586	0.386	ANKRD28	N32051
220855_at	1.059	0.875	0.476	0.712	CLTC	NM_01412 7
223036_at	0.963	0.643	0.448	0.592	FARSLB	D84430
238787_at	0.836	0.448	0.714	0.748	C9orf126	AA988769
228623_at	0.988	0.846	0.470	0.626		AI224133
1565821_at	1.007	0.829	0.437	0.591		AF147400
231108_at	1.013	0.777	0.391	0.631		H43040
239264_at	0.902	0.655	0.362	0.683	EXOC4	AW973078
237239_at	0.965	0.667	0.549	0.423	CREBBP	AW183655
243589_at	1.064	1.025	0.453	0.643	LOC284058	AI823453
1558515_at	1.001	0.818	0.438	0.614		AK057701
224567_x_at	0.859	0.478	0.571	0.690	MALAT-1	BG534952
230229_at	0.926	0.633	0.486	0.656	DLG1	AI692879
1569527_at	1.051	1.039	0.425	0.713	PLAT	BC017275
215385_at	0.920	0.782	0.436	0.628	FTO	AK022473
213089_at	1.007	0.759	0.463	0.725	LOC153561	AU158490
239948_at	1.026	0.664	0.472	0.488	NUP153	AA004800
228643_at	0.882	0.572	0.572	0.457		AA699852
1569484_s_a t	0.996	1.014	0.450	0.504	MDN1	AL603301
243981_at	0.916	0.726	0.435	0.627	STK4	AI763206
205511_at	0.923	0.579	0.433	0.539	FLJ10038	NM_01797 6
1559490_at	1.034	0.941	0.487	0.887	MGC4126	AL832278
222311_s_at	1.002	0.828	0.495	0.719	SFRS15	AA648521
235879_at	0.871	0.550	0.448	0.623	MBNL1	AI697540
221683_s_at	0.970	0.421	0.852	0.625	FLJ13615	AF317887
244822_at	0.947	0.701	0.411	0.653	HBG1	AA811244
230064_at	0.865	0.482	0.577	0.481		AW296421
1569181_x_a t	0.998	0.879	0.497	0.762	NSF	BC017896
1562467_at	1.010	0.911	0.391	0.588	PPP3CA	AK097085
1556226_at	0.980	0.744	0.468	0.506		R32470
215201_at	0.912	0.792	0.366	0.675	REPS1	AW166925
1569601_at	0.966	0.652	0.411	0.713	DLC1	BF106979
242688_at	0.926	0.747	0.429	0.626	CDON	AI149880
215281_x_at	0.946	0.790	0.443	0.600	POGZ	AK000199
239818_x_at	1.382	2.105	1.730	1.495	TRIB1	AA576947
214205_x_at	0.888	1.477	2.051	1.348	TXNL2	AK022131
201601_x_at	1.132	2.260	2.111	2.942	IFITM1	NM_00364 1
211559_s_at	1.069	1.516	2.194	2.723	CCNG2	L49506
242398_x_at	1.284	1.344	2.243	1.816	DCTN2	AA605121
203672_x_at	1.064	1.529	2.510	1.386	TPMT	U12387
220232_at	0.959	1.168	3.787	1.692	SCD4	NM_02490 6
234675_x_at	0.893	1.242	9.966	2.121	KIAA1033	AK027219
