Probe set 	GenBank 	Locus Link 	Official Symbol 	Gene name 	Expressed in docetaxel	Docetaxel Resistance
39018_at 	AF026977 	4259	MGST3 	microsomal glutathione S-transferase 3 	Sensitive	Down
39030_at 	AJ133534 	10567	RABAC1 	Rab acceptor 1 (prenylated) 	Sensitive	Down
39076_s_at 	AI991040 	10589	DRAP1 	DR1-associated protein 1 (negative cofactor 2 alpha) 	Sensitive	Down
39180_at 	S62140 	2521	FUS 	"fusion, derived from t(12;16) malignant liposarcoma "	Sensitive	Down
39182_at 	U87947 	2014	EMP3 	epithelial membrane protein 3 	Sensitive	Down
39185_at 	AF091083 	56270	LOC56270: 	hypothetical protein 628 	Sensitive	Down
39347_at 	X97074 	1175	AP2S1 	"adaptor-related protein complex 2, sigma 1 subunit "	Sensitive	Down
39561_at 	AL008583 	10126	DNAL4 	"dynein, axonemal, light polypeptide 4 "	Sensitive	Down
39638_at 	S73885 	7023	TFAP4 	transcription factor AP-4 (activating enhancer binding protein 4) 	Resistant	Up
39724_s_at 	U58087 	8454	CUL1 	cullin 1 	Sensitive	Down
39812_at 	X79865 	6182	MRPL12 	mitochondrial ribosomal protein L12 	Sensitive	Down
40060_r_at 	AF061258 	10611	LIM 	LIM protein (similar to rat protein kinase C-binding enigma) 	Sensitive	Down
40064_at 	AB011121 	66008	ALS2CR3 	"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3 "	Sensitive	Down
40096_at 	D14710 	498	ATP5A1 	"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle "	Sensitive	Down
40118_at 	X07290 	7589	ZNF38 	zinc finger protein 38 (KOX 25) 	Resistant	Up
40463_at 	U70322 	3842	KPNB2 	karyopherin (importin) beta 2 	Sensitive	Down
40465_at 	AF026402 	9416	U5-100K 	"prp28, U5 snRNP 100 kd protein "	Sensitive	Down
40514_at 	AF091085 	51614	SDBCAG84 	serologically defined breast cancer antigen 84 	Sensitive	Down
40535_i_at 	AI254524 	9669	IF2 	translation initiation factor IF2 	Resistant	Up
40619_at 	M91670 	27338	E2-EPF 	ubiquitin carrier protein 	Sensitive	Down
40888_f_at 	W28170 	1915	EEF1A1 	eukaryotic translation elongation factor 1 alpha 1 	Resistant	Up
41198_at 	AF055008 	2896	GRN 	granulin 	Sensitive	Down
41308_at 	U37408 	1487	CTBP1 	C-terminal binding protein 1 	Sensitive	Down
41338_at 	AI951946 		EST 	"Cluster Incl. AI951946:wx39f10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2546059 /clone_end=3 /gb=AI951946 /gi "	Resistant	Up
41413_at 	AF037339 	1209	CLPTM1 	cleft lip and palate associated transmembrane protein 1 	Sensitive	Down
41528_at 	W72239 		EST 	"Cluster Incl. W72239:zd62h08.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-345279 /clone_end=3 /gb=W72239 /gi=1382 "	Sensitive	Down
41551_at 	AW044624 	11079	RER1 	similar to S. cerevisiae RER1 	Sensitive	Down
41552_g_at 	AW044624 	11079	RER1 	similar to S. cerevisiae RER1 	Sensitive	Down
41627_at 	D50645 	6388	SDF2 	stromal cell-derived factor 2 	Sensitive	Down
41672_at 	AF007128 		Unnamed 	Cluster Incl. AF007128:Homo sapiens clone 23870 mRNA sequence /cds=UNKNOWN /gb=AF007128 /gi=2852601 /ug=Hs.1246 	Sensitive	Down
41757_at 	W25933 	9217	VAPB 	VAMP (vesicle-associated membrane protein)-associated protein B and C 	Sensitive	Down
41858_at 	AL049261 	27315	FRAG1 	FGF receptor activating protein 1 	Sensitive	Down
543_g_at 	S74445 	1381	CRABP1 	cellular retinoic acid binding protein 1 	Resistant	Up
607_s_at 	M10321 	7450	VWF 	von Willebrand factor 	Sensitive	Down
646_s_at 	L29218 	1196	CLK2 	CDC-like kinase 2 	Sensitive	Down
691_g_at 	J02783 	5034	P4HB 	"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide "	Sensitive	Down
922_at 	J02902 	5518	PPP2R1A 	"protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform "	Sensitive	Down
