Affymetrix ID	Accession	Gene Symbol	Gene Description
209663_s_at	AF072132	ITGA7	integrin, alpha 7
206730_at	NM_007325	GRIA3	glutamate receptor, ionotrophic, AMPA 3
206201_s_at	NM_005924	MEOX2	mesenchyme homeo box 2 (growth arrest-specific homeo box)
209763_at	AL049176	NRLN1	continued from bA814C6.1.1 in Em:AL591489 match: proteins: Tr:O57472 Sw:Q24025 Tr:O57465 Sw:Q91713; Human DNA sequence from clone RP6-141H5 on chromosome Xq22.1-23 Contains the 3 end of the gene for a novel protein with von Willebrand factor type C domains, complete sequence.
222717_at	BF982174	SDPR	serum deprivation response (phosphatidylserine binding protein)
1559839_at	BC040697	TBX18	T-box 18
232897_at	AK000451		CDNA FLJ20444 fis, clone KAT05128
240927_at	R02287		ye85f09.s1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:124553 3, mRNA sequence.
216289_at	AU148039	GPR144	G protein-coupled receptor 144
239265_at	R56424	FLJ33990	transmembrane protein 20
206065_s_at	NM_001385	DPYS	dihydropyrimidinase
205384_at	NM_005031	FXYD1	FXYD domain containing ion transport regulator 1 (phospholemman)
220751_s_at	NM_016348	C5orf4	chromosome 5 open reading frame 4
230081_at	AI694325		Similar to RIKEN cDNA B130016O10 gene (LOC345557), mRNA
206030_at	NM_000049	ASPA	aspartoacylase (aminoacylase 2, Canavan disease)
242524_at	AA868507	CBLNL1	cerebellin precursor-like 1
206296_x_at	NM_007181	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
223395_at	AB056106	TARSH	target of Nesh-SH3
228335_at	AW264204	CLDN11	xq97e11.x1 NCI_CGAP_Brn53 Homo sapiens cDNA clone IMAGE:2758604 3, mRNA sequence.
209074_s_at	AL050264	TU3A	TU3A protein
239929_at	AA918425	FLJ32569	hypothetical protein FLJ32569
242137_at	H10545		CDNA FLJ36544 fis, clone TRACH2006378
220812_s_at	NM_007072	HHLA2	HERV-H LTR-associating 2
209614_at	AF153821	ADH1B	alcohol dehydrogenase IB (class I), beta polypeptide
228186_s_at	BF589322	THSD2	thrombospondin, type I, domain 2
205883_at	NM_006006	ZNF145	zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)
1556497_a_at	AW130612		Full length insert cDNA clone YW20C06
1562288_at	BC038299		Homo sapiens cDNA clone IMAGE:5262193, partial cds.
232408_at	AB046863	KIAA1643	zinc finger, FYVE domain containing 28
204482_at	NM_003277	CLDN5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)
205794_s_at	NM_002515	NOVA1	neuro-oncological ventral antigen 1
229963_at	AV726956	LOC340542	hypothetical protein LOC340542
236301_at	AA789123		CDNA FLJ46579 fis, clone THYMU3042758
1569156_at	BC037359	LOC162993	hypothetical protein LOC162993
211734_s_at	BC005912	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide
206488_s_at	NM_000072	CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)
238404_x_at	BF316510	PSK-1	601903016F1 NIH_MGC_19 Homo sapiens cDNA clone IMAGE:4135898 5, mRNA sequence.
220117_at	NM_024697	FLJ22419	hypothetical protein FLJ22419
219230_at	NM_018286	FLJ10970	hypothetical protein FLJ10970
1562083_at	BC042007		Clone IMAGE:5311357, mRNA
205619_s_at	NM_004527	MEOX1	mesenchyme homeo box 1
205612_at	NM_007351	MMRN	multimerin 1
1559297_at	AI793125		CDNA FLJ39997 fis, clone STOMA2002367
213436_at	U73304	CNR1	G protein-coupled receptor; Human CB1 cannabinoid receptor (CNR1) gene, complete cds.
204273_at	NM_000115	EDNRB	endothelin receptor type B
228802_at	BE348466	RBPMS2	RNA-binding protein with multiple splicing 2
236657_at	AW014647		Full length insert cDNA YI37C01
1557380_at	AI659151	APM2	KIAA1975 protein similar to MRIP2
208045_at	NM_005129
222905_s_at	AL558164	FLJ10922	hypothetical protein FLJ10922
231181_at	AI683621		Transcribed sequences
227827_at	AW138143		Clone IMAGE:4791597, mRNA
217282_at	AK001970	MAN1A2	mannosidase, alpha, class 1A, member 2
201796_s_at	BE790854	VARS2	valyl-tRNA synthetase 2
205430_at	AL133386	BMP5	continued from bA120K22.1 in Em:AL137178 match: proteins: Tr:Q9YGH7 Sw:P22003 Sw:P22004 Sw:P20722 Tr:Q91403 Sw:P30886 Sw:P49003 Sw:Q04906 Sw:P18075 Sw:P23359; Human DNA sequence from clone RP1-181C24 on chromosome 6p11.1-12.2 Contains the 3 end of the BMP5 gene for bone morphogenetic protein 5, complete sequence.
219965_s_at	NM_024859	FLJ21687	PDZ domain containing, X chromosome
213222_at	AL049593	PLCB1	continued from dJ881E24.1.1 in Em:AL031683 match: proteins: Sw:P10687 Tr:Q9Z1B3 Sw:P10894; Human DNA sequence from clone RP4-654A7 on chromosome 20 Contains the 3 end of two variants of the PLCB1 gene for phospholipase C beta 1 (phosphoinositide-specific), complete sequence.
238488_at	BF511602	IPO11	importin 11
226846_at	AL545998	PHYHD1	phytanoyl-CoA dioxygenase domain containing 1
207542_s_at	NM_000385	AQP1	aquaporin 1 (channel-forming integral protein, 28kDa)
1554660_a_at	BC036200	FLJ32001	hypothetical protein FLJ32001
1554867_a_at	BC038838	LOC51334	mesenchymal stem cell protein DSC54
207449_s_at	NM_015227	C21orf80	chromosome 21 open reading frame 80
1558463_s_at	BI596372		Clone IMAGE:5274294, mRNA
219916_s_at	NM_025236	RNF39	ring finger protein 39
202350_s_at	NM_002380	MATN2	matrilin 2
240935_at	T83380		ye03h05.s1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:116697 3, mRNA sequence.
213197_at	AB006627	ASTN	astrotactin
238332_at	AI307802	LOC147463	hypothetical protein LOC147463
219064_at	NM_030569	ITIH5	inter-alpha (globulin) inhibitor H5
202242_at	NM_004615	TM4SF2	transmembrane 4 superfamily member 2
204011_at	NM_005842	SPRY2	sprouty homolog 2 (Drosophila)
211520_s_at	M64752	GRIA1	glutamate receptor, ionotropic, AMPA 1
203842_s_at	NM_012326	MAPRE3	microtubule-associated protein, RP/EB family, member 3
220266_s_at	NM_004235	KLF4	Kruppel-like factor 4 (gut)
243940_at	AW953679		chromosome 20 open reading frame 17
236451_at	AA825510		CDNA FLJ14635 fis, clone NT2RP2001196
231800_s_at	AI052121	DMRT3	doublesex and mab-3 related transcription factor 3
244203_at	AI082507		Transcribed sequences
214475_x_at	AF127764	CAPN3	calpain 3, (p94)
236234_at	AW614381		CDNA clone IMAGE:5275668, partial cds
209960_at	X16323	HGF	unnamed protein product; HGF (AA 1-728); Human mRNA for hepatocyte growth factor (HGF).
213966_at	N25429	HMG20B	high-mobility group 20B
202861_at	NM_002616	PER1	period homolog 1 (Drosophila)
228632_at	AA700158		CDNA FLJ11465 fis, clone HEMBA1001636
217552_x_at	AI432713	CR1	th43e02.x1 NCI_CGAP_Lym12 Homo sapiens cDNA clone IMAGE:2121050 3 similar to contains Alu repetitive element;, mRNA sequence.
227826_s_at	AW138143		Clone IMAGE:4791597, mRNA
237936_at	AI703186		Transcribed sequences
220282_at	NM_024557	RIC3	RIC3 protein
230218_at	BF476403		Transcribed sequences
226281_at	BF059512	DNER	delta-notch-like EGF repeat-containing transmembrane
239218_at	AI800515		Clone IMAGE:5288238, mRNA
213258_at	BF511231	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
40472_at	AF007155	LOC254531	PlSC domain containing hypothetical protein
206163_at	NM_005584	MAB21L1	mab-21-like 1 (C. elegans)
205591_at	NM_006334	OLFM1	olfactomedin 1
221697_at	AF276659		LC3-like protein 2; Homo sapiens MAP1 light chain 3-like protein 2 mRNA, complete cds.
213045_at	AB011133	KIAA0561	microtubule associated serine/threonine kinase 3
218885_s_at	NM_024642	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)
204154_at	NM_001801	CDO1	cysteine dioxygenase, type I
212750_at	AB020630	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B
203469_s_at	NM_003674	CDK10	cyclin-dependent kinase (CDC2-like) 10
214175_x_at	AI254547	RIL	PDZ and LIM domain 4
231361_at	AI912122	NLGN1	neuroligin 1
205848_at	NM_005256	GAS2	growth arrest-specific 2
214339_s_at	AA744529	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
219436_s_at	NM_016242	EMCN	endomucin
1552425_a_at	NM_152467	KLHL10	kelch-like 10 (Drosophila)
204134_at	NM_002599	PDE2A	phosphodiesterase 2A, cGMP-stimulated
1556209_at	CA447397	CLECSF2	UI-H-EI0-aye-g-15-0-UI.s1 NCI_CGAP_EI0 Homo sapiens cDNA clone UI-H-EI0-aye-g-15-0-UI 3, mRNA sequence.
205382_s_at	NM_001928	DF	D component of complement (adipsin)
232467_at	BE301156	KIRREL	kin of IRRE like (Drosophila)
221841_s_at	BF514079	KLF4	Kruppel-like factor 4 (gut)
213343_s_at	AL041124	PP1665	hypothetical protein PP1665
228060_at	AI809083	SLC35F1	solute carrier family 35, member F1
222773_s_at	AA554045	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)
218484_at	NM_020142	LOC56901	NADH:ubiquinone oxidoreductase MLRQ subunit homolog
216997_x_at	AL358975
220213_at	NM_018692		synonyms: OVC10-2, FLJ33887; ovarian cancer-related protein; go_component: nucleus [goid 0005634] [evidence IEA]; go_function: transcription factor activity [goid 0003700] [evidence IEA]; go_process: regulation of transcription, DNA-dependent [goid 0006355] [evidence IEA]; Homo sapiens chromosome 20 open reading frame 17 (C20orf17), mRNA.
223467_at	AF069506	RASD1	RAS, dexamethasone-induced 1
216626_at	AL050026		Homo sapiens mRNA; cDNA DKFZp566C0224 (from clone DKFZp566C0224).
204115_at	NM_004126	GNG11	guanine nucleotide binding protein (G protein), gamma 11
204271_s_at	M74921	EDNRB	endothelin receptor type B
222073_at	AI694562	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)
236262_at	AA025351	EMILIN3	ze74h03.s1 Soares_fetal_heart_NbHH19W Homo sapiens cDNA clone IMAGE:364757 3 similar to contains OFR.t1 OFR repetitive element ;, mRNA sequence.
220170_at	NM_020482	FHL5	four and a half LIM domains 5
213141_at	AJ272212	PSKH1	protein serine kinase H1
202747_s_at	NM_004867	ITM2A	integral membrane protein 2A
206637_at	NM_014879	GPR105	G protein-coupled receptor 105
209392_at	L35594	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)
228665_at	AI458003	CYYR1	cysteine and tyrosine-rich 1
209636_at	BC002844	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
226674_at	AL522395	LOC149345	chromosome 1 open reading frame 40
218918_at	NM_020379	MAN1C1	mannosidase, alpha, class 1C, member 1
219049_at	NM_018371	ChGn	chondroitin beta1,4 N-acetylgalactosaminyltransferase
222885_at	AF205940	EMCN	endomucin
211499_s_at	U92268	MAPK11	mitogen-activated protein kinase 11
230276_at	AI934342	DKFZP566A1524	hypothetical protein DKFZp566A1524
209147_s_at	AB000888	PPAP2A	phosphatidic acid phosphatase type 2A
211564_s_at	BC003096	RIL	PDZ and LIM domain 4
1561666_a_at	BC036405	KIAA1908	KIAA1908 protein
1559296_at	BC040632		Clone IMAGE:5759975, mRNA
214913_at	AB002364	ADAMTS3	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 3
240049_at	AI809998		discs, large homolog 5 (Drosophila)
207269_at	NM_001925	DEFA4	defensin, alpha 4, corticostatin
224405_at	AF343663	IRTA2	immunoglobulin superfamily receptor translocation associated 2
210305_at	AB042557	PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)
203088_at	NM_006329	FBLN5	fibulin 5
238376_at	AI436581		CDNA FLJ30967 fis, clone HEART2000309, weakly similar to PTB-ASSOCIATED SPLICING FACTOR
233575_s_at	AA705845	TLE4	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)
201328_at	AL575509	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
223168_at	AL096776	ARHU
1557422_at	R49146		yg69h06.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:38818 3, mRNA sequence.
228100_at	AI830073	LOC128344	hypothetical protein LOC128344
1555191_a_at	BC021723	FHL5	four and a half LIM domains 5
220565_at	NM_016602	GPR2	G protein-coupled receptor 2
205554_s_at	NM_004944	DNASE1L3	deoxyribonuclease I-like 3
210168_at	J05064	C6	complement component 6
235759_at	AI095542	EFCBP1	qb29d11.x1 Soares_pregnant_uterus_NbHPU Homo sapiens cDNA clone IMAGE:1697685 3 similar to contains element MER29 repetitive element ;, mRNA sequence.
235044_at	H06649	CYYR1	cysteine and tyrosine-rich 1
243951_at	AA887211	ABCB1	oj53b09.s1 NCI_CGAP_Kid3 Homo sapiens cDNA clone IMAGE:1502009 3, mRNA sequence.
203670_at	NM_015644	ARPC4	tubulin tyrosine ligase-like family, member 3
224973_at	AL078599	C6orf37	Human DNA sequence from clone RP5-991C6 on chromosome 6q14.1-15, complete sequence.
236396_at	AW051952		Transcribed sequences
211355_x_at	U52914	LEPR	leptin receptor
228919_at	AA601031		Transcribed sequence with strong similarity to protein ref:NP_001778.1 (H.sapiens)  cell division cycle 2-like 1, isoform 1; Cell division cycle 2-like 1; PITSLRE protein kinase alpha; p58/GTA protein kinase; galactosyltransferase associated protein kinase; CDC-related protein kinase p58; PITSLRE B [Homo sapiens]
237727_at	H20179		Full length insert cDNA YN61C04
228905_at	BE672700	PCM1	Transcribed sequence with weak  similarity to protein sp:P39195 (H.sapiens) ALU8_HUMAN Alu subfamily SX sequence contamination warning entry
1556784_at	BM980244		Full length insert cDNA clone YI49F05
205862_at	NM_014668	GREB1	GREB1 protein
1556487_a_at	AF497717	AAT1	AAT1-alpha
214279_s_at	W74452	NDRG2	NDRG family member 2
203799_at	NM_014880	DCL-1	type I transmembrane C-type lectin receptor DCL-1
219714_s_at	NM_018398	CACNA2D3	calcium channel, voltage-dependent, alpha 2/delta 3 subunit
233547_x_at	N53248	PDE1A	phosphodiesterase 1A, calmodulin-dependent
236583_at	AA286867		Transcribed sequences
210222_s_at	BC000314	RTN1	reticulon 1
212249_at	AI934473	PIK3R1	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)
235126_at	N51468		LQK1 hypothetical protein short isoform (LQK1) mRNA, complete cds, alternatively spliced
208983_s_at	M37780	PECAM1	platelet/endothelial cell adhesion molecule (CD31 antigen)
204058_at	AL049699	ME1
228062_at	AW025330	DRLM	nucleosome assembly protein 1-like 5
239209_at	AA826931		Transcribed sequence with strong similarity to protein pir:RGHU1A (H.sapiens) RGHU1A regenerating islet lectin 1-alpha precursor - human
225990_at	W72626	BOC	brother of CDO
224229_s_at	AL117525	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
227850_x_at	AW084544	CDC42EP5	CDC42 effector protein (Rho GTPase binding) 5
241536_at	R47946		Full length insert cDNA YO61A08
1552774_a_at	NM_004277	SLC25A27	solute carrier family 25, member 27
209506_s_at	BC004154	NR2F1	nuclear receptor subfamily 2, group F, member 1
1563927_a_at	AK097150		Clone IMAGE:5302822, mRNA
209318_x_at	BG547855	PLAGL1	pleiomorphic adenoma gene-like 1
225123_at	BE883841	SESN3	sestrin 3
210946_at	AF014403	PPAP2A	phosphatidic acid phosphatase type 2A
211602_s_at	U31110
219534_x_at	NM_000076	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
215933_s_at	Z21533	HHEX	hematopoietically expressed homeobox
236226_at	AW294080	BTLA	B and T lymphocyte associated
202746_at	AL021786	ITM2A	Human DNA sequence from clone RP4-696H22 on chromosome Xq21.1-21.2, complete sequence.
237302_at	BF445031		Transcribed sequences
207404_s_at	NM_000865	HTR1E	5-hydroxytryptamine (serotonin) receptor 1E
229404_at	AI086614	TWIST2	twist homolog 2 (Drosophila)
206701_x_at	NM_003991	EDNRB	endothelin receptor type B
211356_x_at	U66495	LEPR	leptin receptor
238906_s_at	BE218803	ARHJ	ras homolog gene family, member J
220005_at	NM_023914	GPR86	G protein-coupled receptor 86
232119_at	BF984227	SYNPO2	synaptopodin 2
212239_at	AI680192	PIK3R1	tw66a10.x1 NCI_CGAP_Ut3 Homo sapiens cDNA clone IMAGE:2264634 3 similar to contains element MER36 repetitive element ;, mRNA sequence.
241560_at	AI927941		Transcribed sequences
218665_at	NM_012193	FZD4	frizzled homolog 4 (Drosophila)
242134_at	AI733194		Transcribed sequences
215388_s_at	X56210	HFL1	H factor (complement)-like 1
212914_at	AV648364	CBX7	chromobox homolog 7
238178_at	BF110268		Transcribed sequences
235155_at	AW136198		Transcribed sequence with weak  similarity to protein ref:NP_060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens]
232282_at	H06509	PRKWNK3	yl78f01.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:44172 3, mRNA sequence.
212859_x_at	BF217861	MT2A	metallothionein 2A
226673_at	AW665063	SH2D3C	SH2 domain containing 3C
205236_x_at	NM_003102	SOD3	superoxide dismutase 3, extracellular
230644_at	AI375083	C14orf146	leucine rich repeat and fibronectin type III domain containing 5
201360_at	NM_000099	CST3	cystatin C (amyloid angiopathy and cerebral hemorrhage)
207761_s_at	NM_014033	DKFZP586A0522	DKFZP586A0522 protein
212706_at	AB011110	POLR2J2	DNA directed RNA polymerase II polypeptide J-related gene
230109_at	AI638433	PDE7B	phosphodiesterase 7B
1557244_a_at	AI668625		Full length insert cDNA YO61D09
228504_at	AI828648	SCN7A	sodium channel, voltage-gated, type VII, alpha
227719_at	AA934610	MADH9	CDNA FLJ37828 fis, clone BRSSN2006575
211066_x_at	BC006439	PCDHGC3	protocadherin gamma subfamily C, 3
238429_at	AI342543	FLJ33069	hypothetical protein FLJ33069
216898_s_at	U02520	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)
235599_at	AW105723		xd51f07.x1 NCI_CGAP_Ov23 Homo sapiens cDNA clone IMAGE:2597317 3, mRNA sequence.
228752_at	N57931	MGC4266	hypothetical protein MGC4266
225820_at	AV646599	JADE1	PHD finger protein 17
239039_at	AI859031		Transcribed sequences
204882_at	NM_014882	KIAA0053
223185_s_at	AI819798	BHLHB3	basic helix-loop-helix domain containing, class B, 3
238081_at	AI694300		CDNA FLJ42672 fis, clone BRAMY2026533
219213_at	NM_021219	JAM2	junctional adhesion molecule 2
232555_at	AI689210	CREB5	cAMP responsive element binding protein 5
208944_at	D50683	TGFBR2	Homo sapiens mRNA for TGF-betaIIR alpha, complete cds.
205288_at	NM_003672	CDC14A	CDC14 cell division cycle 14 homolog A (S. cerevisiae)
217897_at	NM_022003	FXYD6	FXYD domain containing ion transport regulator 6
224184_s_at	AY027658	BOC	brother of CDO
244532_x_at	AW665538		Transcribed sequences
201539_s_at	U29538	FHL1	four and a half LIM domains 1
228007_at	AL133101		Clone IMAGE:5270591, mRNA
241401_at	BG496631		CDNA FLJ42672 fis, clone BRAMY2026533
230943_at	AI821669	SOX17	SRY (sex determining region Y)-box 17
209841_s_at	AL442092	LRRN3	leucine rich repeat neuronal 3
202259_s_at	NM_014887	CG005	phosphonoformate immuno-associated protein 5
222822_s_at	AI075040	EMILIN3	multimerin 2
219777_at	NM_024711	hIAN2	human immune associated nucleotide 2
204223_at	NM_002725	PRELP	proline arginine-rich end leucine-rich repeat protein
229776_at	AW138118	SLCO3A1	solute carrier organic anion transporter family, member 3A1
241193_at	AI797080	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
212886_at	AL080169	DKFZP434C171	DKFZP434C171 protein
204471_at	NM_002045	GAP43	growth associated protein 43
218831_s_at	NM_004107	FCGRT	Fc fragment of IgG, receptor, transporter, alpha
1552658_a_at	NM_014903	NAV3	neuron navigator 3
228845_at	AW451356	LOC196463	hypothetical protein LOC196463
213960_at	T87225		yc81f06.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:22392 3, mRNA sequence.
1552737_s_at	NM_007014	WWP2	Nedd-4-like ubiquitin-protein ligase
204363_at	NM_001993	F3	coagulation factor III (thromboplastin, tissue factor)
218218_at	NM_018171	DIP13B	DIP13 beta
217511_at	W28828	FKSG28	hypothetical protein FKSG28
1565339_at	AJ132089	DNAH10	dynein, axonemal, heavy polypeptide 10
204388_s_at	NM_000240	MAOA	monoamine oxidase A
206283_s_at	NM_003189	TAL1	T-cell acute lymphocytic leukemia 1
244315_at	BE066040	PLSCR1	RC3-BT0319-240200-015-c01 BT0319 Homo sapiens cDNA, mRNA sequence.
204015_s_at	BC002671	DUSP4	dual specificity phosphatase 4
231292_at	AI964053		CDNA clone MGC:27017 IMAGE:4831023, complete cds
228312_at	AI524085	PI16	protease inhibitor 16
210534_s_at	BC002944	EPPB9	B9 protein
207836_s_at	NM_006867	RBPMS	RNA binding protein with multiple splicing
230624_at	AW779950	SLC25A27	solute carrier family 25, member 27
235661_at	T99553		ye65a03.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:122572 5, mRNA sequence.
244539_at	AW665840		Transcribed sequences
209638_x_at	AF030110	RGS12	regulator of G-protein signalling 12
226856_at	BF793701	MGC52022	602255113F1 NIH_MGC_84 Homo sapiens cDNA clone IMAGE:4347363 5, mRNA sequence.
238049_at	AW971198		Transcribed sequence with moderate similarity to protein ref:NP_076416.1 (H.sapiens)  hypothetical protein FLJ21313 [Homo sapiens]
1565325_at	AJ224170	MATR3	matrin 3
229367_s_at	AW130536	hIAN2	human immune associated nucleotide 2
229890_at	AI799702	C6orf31	chromosome 6 open reading frame 31
1552563_a_at	NM_145656	C8orf6
240782_at	AI078486		Transcribed sequences
214834_at	AU118874	SNRPN	small nuclear ribonucleoprotein polypeptide N
216336_x_at	AL031602
213469_at	AV705244	FLJ12377	MRNA; cDNA DKFZp566G0746 (from clone DKFZp566G0746)
241019_at	AW445213		Transcribed sequences
230353_at	AA627075		Transcribed sequences
243782_at	AW207634		Transcribed sequences
235391_at	AW960748	LOC137392	similar to CG6405 gene product
209676_at	J03225	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
226335_at	BG498334	RPS6KA3	CDNA FLJ12807 fis, clone NT2RP2002316
213541_s_at	AI351043	ERG	v-ets erythroblastosis virus E26 oncogene like (avian)
201010_s_at	NM_006472	TXNIP	thioredoxin interacting protein
1553191_at	NM_020388	BPAG1	bullous pemphigoid antigen 1, 230/240kDa
220058_at	NM_024052	MGC3048	hypothetical protein MGC3048
230251_at	AA041523		MRNA; cDNA DKFZp686N23124 (from clone DKFZp686N23124)
205923_at	NM_005045	RELN	reelin
209079_x_at	AF152318	PCDHGC3	protocadherin gamma subfamily C, 3
235106_at	AW847318	MAML2	mastermind-like 2 (Drosophila)
230550_at	AA045175	MS4A6A	membrane-spanning 4-domains, subfamily A, member 6A
204793_at	NM_014710	GASP
215836_s_at	AK026188	PCDHGC3	protocadherin gamma subfamily C, 3
241926_s_at	AA296657	ERG	v-ets erythroblastosis virus E26 oncogene like (avian)
242985_x_at	H05502	LOC285671	hypothetical protein LOC285671
201008_s_at	AA812232	TXNIP	thioredoxin interacting protein
226038_at	BF680438	FLJ23749	hypothetical protein FLJ23749
236712_at	AI668706		Transcribed sequences
227410_at	AW264102	FLJ90022	hypothetical protein FLJ90022
1552318_at	AK091818	IMAP1	immunity associated protein 1
212185_x_at	NM_005953	MT2A	metallothionein 2A
228339_at	AA181256		Transcribed sequences
229910_at	AI797276		CDNA FLJ27494 fis, clone TST03877
209726_at	AB018195	CA11	carbonic anhydrase XI
224022_x_at	AF169963	WNT16	wingless-type MMTV integration site family, member 16
215016_x_at	BC004912	BPAG1	bullous pemphigoid antigen 1, 230/240kDa
227180_at	AW138767	FLJ23563	hypothetical protein FLJ23563
230636_s_at	AI458659	BTEB1	basic transcription element binding protein 1
242494_at	AW628168		Transcribed sequences
235672_at	AI815825	MAP6	au42g11.x1 Schneider fetal brain 00004 Homo sapiens cDNA clone IMAGE:2517476 3 similar to contains element MER4 repetitive element ;, mRNA sequence.
55065_at	AL120554	MARK4	MAP/microtubule affinity-regulating kinase 4
225212_at	BC005163	MCSC	mitochondrial Ca2+-dependent solute carrier
244270_at	AI125785		Transcribed sequences
213620_s_at	AA126728	ICAM2	intercellular adhesion molecule 2
1560327_at	AW172311		Clone IMAGE:5273088, mRNA
201700_at	NM_001760	CCND3	cyclin D3
210247_at	AW139618	SYN2	synapsin II
220326_s_at	NM_018071	FLJ10357
1552785_at	NM_152605	FLJ37549	hypothetical protein FLJ37549
217165_x_at	M10943		human metallothionein-If; Human metallothionein-If gene (hMT-If).
236401_at	AA514370		nf61d03.s1 NCI_CGAP_Co3 Homo sapiens cDNA clone IMAGE:924389 3, mRNA sequence.
202973_x_at	NM_014883	FAM13A1
204046_at	NM_004573	PLCB2	phospholipase C, beta 2
228653_at	AI700341		Transcribed sequences
1566979_at	AF085823		Homo sapiens full length insert cDNA clone YF44H11.
213325_at	AA129716	PVRL3	poliovirus receptor-related 3
49111_at	N80935		MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)
