FeatureID	Gene Symbol	Gene name	Gene Index U Cluster	RefSeq Acc	GenBank Acc	MGI	NSC	ESC	MAPC	K-means clustering	K-means clustering (similarity)
Z00044925-1	Sh3Tc1	SH3 domain and tetratricopeptide repeats 1	U026115	NM_194344.1	AK028482		2.2908	3.249	3.9454	2	0.86434975
Z00024512-1	Grb7	growth factor receptor bound protein 7	U013300	NM_010346.1	AK057640		2.6452	4.2735	3.0915	4	0.756915461
Z00006293-1	Procr	protein C receptor, endothelial	U002706	NM_011171.1	BC028755	MGI:104596	2.7833	3.7338	4.4103	2	0.844527256
Z00009202-1	Kcnk6	potassium inwardly-rectifying channel, subfamily K, member 6	U028349		AK042364	MGI:1891291	1.976	2.9014	3.5288	2	0.791529866
Z00026990-1	2310031A18Rik	RIKEN cDNA 2310031A18 gene	U030397	XM_134539.2	AK009550		1.8843	3.2046	3.4159	2	0.824818787
Z00009042-1	Fbxo15	F-box protein 15	U018974		AF176530	MGI:1354755	2.3842	3.7915	3.8918	2	0.840517699
Z00035440-1	Fhl2	four and a half LIM domains 2	U021280	NM_010212.1	AF055889	MGI:1338762	3.1696	4.2873	4.6607	2	0.758209465
Z00013548-1	Tbx3	T-box 3	U006096	NM_011535.2	AF429310	MGI:98495	2.4617	3.4892	3.9439	2	0.742803334
Z00011697-1	F11R	F11 receptor	U001089	NM_172647.1	AK033574	MGI:1321398	2.5011	3.9768	3.305	4	0.727875258
Z00022893-1	Fabp3	fatty acid binding protein 3, muscle and heart	U060082	NM_010174.1	BC002082	MGI:95476	3.6819	4.9115	5.1518	2	0.767728413
Z00013515-1	Tuba4	tubulin, alpha 4	U021496	NM_009447.2	AK002427	MGI:1095410	3.2846	4.7526	3.97	4	0.685344471
Z00034239-1	Lrrc2	leucine rich repeat containing 2	U011076	NM_028838.1	AJ428068		2.0812	3.5273	2.6882	4	0.653438773
Z00034063-1	Gm719	gene model 719, (NCBI)	U039737	XM_205358.2		MGI:2685565	2.2206	3.3998	3.6641	2	0.74107668
Z00035856-1	Arhgef5	Rho guanine nucleotide exchange factor (GEF) 5	U040655	XM_133067.4	AK008907	MGI:1858952	3.0724	3.8683	4.4978	2	0.70741254
Z00017675-1	2210419I08Rik	RIKEN cDNA 2210419I08 gene	U264259		AK004027		2.0148	3.4348	2.9947	2	0.70351048
Z00055583-1	Psx1	placenta specific homeobox 1	U019795	NM_008955.1	AF017453		2.7369	4.134	3.8021	2	0.696296906
Z00052768-1	4930569K13Rik	RIKEN cDNA 4930569K13 gene	U025757	NM_029948.1	AK019795		2.5146	3.7811	3.91	2	0.739624992
Z00011249-1	Sgk	serum/glucocorticoid regulated kinase	U043055	NM_011361.1	AF139638	MGI:1340062	3.3962	4.7796	4.6099	2	0.719464532
Z00014574-1	S100A6	S100 calcium binding protein A6 (calcyclin)	U003502	NM_011313.1	AF549497	MGI:1339467	4.169	5.5476	4.5162	4	0.579977849
Z00055491-1	Tacstd1	tumor-associated calcium signal transducer 1	U018324	NM_008532.1	BC005618	MGI:106653	2.3911	3.7648	3.1473	4	0.665752719
Z00024804-1	Smad7	MAD homolog 7 (Drosophila)	U018903	NM_008543.1	AF015260	MGI:1100518	2.8173	4.1717	3.7343	2	0.656203781
Z00030719-1	Grem2	gremlin 2 homolog, cysteine knot superfamily (Xenopus laevis)	U022103	NM_011825.1	AB011030	MGI:1344367	2.9209	4.1106	4.2596	2	0.68741548
Z00035455-1	Acta2	actin, alpha 2, smooth muscle, aorta	U038980	NM_007392.2	AK002886	MGI:87909	3.1387	4.4665	3.5165	4	0.545725801
Z00060983-1	Loc433789,Loc245114	PREDICTED: Mus musculus similar to RIKEN cDNA 1700029I01 (LOC433789), mRNA	U254238	XM_142529.4	CG869029		2.9616	4.2865	3.3918	4	0.548891308
Z00052281-1	2410003J06Rik	RIKEN cDNA 2410003J06 gene	U039502	XM_135953.4	AK010362		2.7345	4.0415	3.9961	2	0.697713229
Z00023599-1	Cyr61	cysteine rich protein 61	U024738	NM_010516.1	BC003205	MGI:88613	3.1409	4.0747	4.4432	2	0.615846273
Z00000830-1	Snai1	snail homolog 1 (Drosophila)	U002851	NM_011427.2	BC034857	MGI:98330	2.4815	3.1985	3.7795	2	0.620596726
Z00009785-1	Zfp296	zinc finger protein 296	U007769	NM_022409.1	AF450095		3.0333	4.2953	3.4766	4	0.512521648
Z00001006-1	Lgals3	lectin, galactose binding, soluble 3	U056994	NM_010705.1	AK008593	MGI:96778	2.643	3.9034	3.1183	4	0.518521035
Z00034575-1	Nppb	natriuretic peptide precursor type B	U005080	NM_008726.2	AK003128	MGI:97368	2.5291	3.2277	3.7863	2	0.591955604
Z00015182-1	Klf8	Kruppel-like factor 8	U020339	NM_173780.2	AK031209	MGI:2442430	2.2945	3.2025	3.5383	2	0.574995563
Z00036171-1	Ptgis	prostaglandin I2 (prostacyclin) synthase	U023674	NM_008968.2	AB001607	MGI:1097156	2.5878	3.6247	3.8234	2	0.591201795
Z00061172-1	Ankrd35	ankyrin repeat domain 35	U003605	XM_143418.3	AK028691		2.5207	3.7548	3.6006	2	0.603835099
Z00034439-1	Slc7A7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	U035551	NM_011405.1	AJ012754	MGI:1337120	2.3808	3.6108	3.0489	4	0.572479699
Z00046024-1	1700023A18Rik	RIKEN cDNA 1700023A18 gene	U027963	NM_029595.1	AF307146	MGI:1923650	2.2409	3.4601	3.3508	2	0.604686533
Z00060408-1	Cbx7	chromobox homolog 7	U036418	NM_144811.2	AK005457	MGI:1196439	3.3046	4.523	4.0849	2	0.561435313
Z00017619-1	Rab11Fip1	RAB11 family interacting protein 1 (class I)	U029685	XM_134088.4	AK008412		2.6696	3.5074	3.8877	2	0.553590685
Z00035520-1	Sdfr2	stromal cell derived factor receptor 2	U003778	NM_009146.1	AK075573		2.5837	3.8009	3.5504	2	0.569932054
Z00019929-1	Nid2	nidogen 2	U015355	NM_008695.1	AB017202	MGI:1298229	3.3251	4.1172	4.5349	2	0.54776791
Z00024965-1	Trap1A	tumor rejection antigen P1A	U057089	NM_011635.1	BC051644	MGI:98818	3.2012	4.3729	4.4071	2	0.618937163
Z00034282-1	Trim25	Mus musculus tripartite motif protein 25 (Trim25), mRNA	U013176	NM_009546.1	BC006908	MGI:102749	2.03	3.1413	3.2352	2	0.59676735
Z00035603-1	Mkrn1	makorin, ring finger protein, 1	U027204	NM_018810.1	AB026986		3.4808	4.6672	4.1622	2	0.548286716
Z00036223-1	Ddc	Mus musculus dopa decarboxylase (Ddc), mRNA	U032515	NM_016672.1	AF012881	MGI:94876	2.8166	3.9191	4.0001	2	0.583513124
Z00025631-1	Klf5	Kruppel-like factor 5	U015915	NM_009769.2	AB025099	MGI:1338056	2.6922	3.6457	3.874	2	0.542413237
Z00034206-1	Vill	villin-like	U011133	NM_011700.1	AJ344341	MGI:1201781	2.2043	3.1088	3.3853	2	0.534065828
Z00039330-1	E130012A19Rik	RIKEN cDNA E130012A19 gene	U033343	NM_175332.2	AK051643		3.5923	4.3524	4.759	2	0.517670043
Z00014022-1	2410008K03Rik	RIKEN cDNA 2410008K03 gene	U012270	NM_028022.1	AK010455		2.737	3.9026	3.0435	4	0.432345002
Z00005683-1	Dpp4	dipeptidylpeptidase 4	U022673	NM_010074.2	AK040409	MGI:94919	2.3477	3.0012	3.5084	2	0.524596114
Z00032633-1	Mkrn1-Ps1	makorin, ring finger protein 1, pseudogene 1	U044938		AF494488		2.7479	3.9049	3.3874	2	0.532979342
Z00034453-1	Pou5F1	POU domain, class 5, transcription factor 1	U017906	NM_013633.1	BC068268	MGI:101893	2.6689	3.8045	3.2611	4	0.504336421
Z00007753-1	Sart2	squamous cell carcinoma antigen recognized by T cells 2	U031682	NM_172508.2	AK031737		2.956	3.8184	4.0877	2	0.49744017
Z00058818-1	Ell3	Mus musculus elongation factor RNA polymerase II-like 3 (Ell3), mRNA	U023264	NM_145973.2	BC034181		2.2439	3.3744	2.6346	4	0.426097878
Z00012000-1	Npm3	nucleoplasmin 3	U007097	NM_008723.1	AK011749	MGI:894653	2.7964	3.9256	3.8192	2	0.532856151
Z00005819-1	Socs3	suppressor of cytokine signaling 3	U033671	NM_007707.2	AK047165	MGI:1201791	3.5487	4.4611	4.6609	2	0.493385772
Z00030168-1	2410003L11Rik	RIKEN cDNA 2410003L11 gene	U013274		AK079135		2.4444	3.3238	3.5558	2	0.487018837
Z00018071-1	Amotl2	angiomotin like 2	U010936	NM_019764.1	AF175967	MGI:1929286	3.9633	4.5574	5.0741	2	0.497277114
Z00031151-1	Psx2	placenta specific homeobox 2	U039322	NM_023894.1	AF201698		3.2721	4.3756	3.9244	2	0.488837815
Z00039603-1	Gls2	glutaminase 2 (liver, mitochondrial)	U012175	XM_125928.5	AK039618	MGI:2143539	3.1639	3.9133	4.267	2	0.472119877
Z00030495-1	Tuba6	tubulin, alpha 6	U040483	NM_009448.2	AK013029	MGI:1095409	4.3928	5.2338	5.4881	2	0.471594794
Z00024321-1	Lpin3	lipin 3	U002769	NM_022883.1	AF286724		1.8093	2.7022	2.8874	2	0.469530817
Z00052957-1	Ly6G6E	lymphocyte antigen 6 complex, locus G6E	U017887	NM_027366.1	AJ315550	MGI:1917524	2.3587	3.4336	2.9279	4	0.474081521
Z00024828-1	Serpinb6C	Mus musculus serine (or cysteine) proteinase inhibitor, clade B, member 6c (Serpinb6c), mRNA	U221380	NM_148942.1	AF425084	MGI:2145481	3.5033	4.3112	4.5769	2	0.454029966
Z00044747-1	Bc013481	cDNA sequence BC013481	U026257	NM_139065.1	AK035620		1.8476	2.9196	2.5472	2	0.458864698
Z00006985-1	Cnn2	calponin 2	U011733	NM_007725.1	AK051845	MGI:105093	3.132	3.9552	4.195	2	0.448808432
Z00036504-1	Gcnt2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	U014751	NM_008105.2	AB037596	MGI:1100870	2.9535	4.0104	3.8366	2	0.458608627
Z00022951-1	Lamc2	laminin, gamma 2	U021899	NM_008485.2	L20477	MGI:99913	1.953	2.8519	3.0059	2	0.456520739
Z00057597-1	D030014N22Rik	RIKEN cDNA D030014N22 gene	U028497	NM_178734.2	AK030093		2.9769	4.0295	3.6855	2	0.44384176
Z00039970-1	Zc3Hav1	zinc finger CCCH type, antiviral 1	U027184	NM_028864.1	AK004770	MGI:1926031	2.9394	3.5863	3.9885	2	0.439560429
Z00049474-1	9630033F20Rik	RIKEN cDNA 9630033F20 gene	U027882	NM_177003.2	AK036082		2.3092	3.3516	2.7455	4	0.399984827
Z00006047-1	Elf3	E74-like factor 3	U021793	NM_007921.1	AK019303	MGI:1101781	2.1079	3.1089	3.1491	2	0.482259824
Z00035582-1	Dnmt3L	DNA (cytosine-5-)-methyltransferase 3-like	U011694	NM_019448.2	AF220524	MGI:1859287	3.3544	4.3942	4.3821	2	0.492306143
Z00032319-1	2610206G21Rik	RIKEN cDNA 2610206G21 gene	U031397	XM_356199.2	AK011901		3.4109	4.437	4.2206	2	0.42823593
Z00047677-1	Ahnak	Mus musculus AHNAK nucleoprotein (desmoyokin), mRNA (cDNA clone IMAGE:3711699), partial cds.	U168837		AK003448	MGI:1316648	2.7143	3.6298	3.7389	2	0.445734074
Z00013380-1	Actn1	actinin, alpha 1	U034122		AK014073		3.2523	4.2397	4.272	2	0.467715193
Z00030927-1	Loc238568	PREDICTED: Mus musculus similar to Serpinb6c protein (LOC238568), mRNA	U129835	XM_111521.3			3.0059	3.7559	4.0241	2	0.412832098
Z00048235-1	Bc018510	cDNA sequence BC018510	U051031		AK049401		1.8696	2.8853	2.7291	2	0.429742908
Z00005262-1	Epha2	Eph receptor A2	U005038	NM_010139.2	BC006954	MGI:95278	2.0694	2.8557	3.084	2	0.413443748
Z00035257-1	Gpr124	G protein-coupled receptor 124	U009214	NM_054044.1	AF378759	MGI:1925810	2.8172	3.5751	3.8277	2	0.408127265
Z00035529-1	Rras2	related RAS viral (r-ras) oncogene homolog 2	U029145	NM_025846.1	AK003733	MGI:1914172	3.1084	3.8125	4.1134	2	0.402710815
Z00062074-1	Vcam1	vascular cell adhesion molecule 1	U024564	NM_011693.2	AK016465	MGI:98926	1.9743	2.6107	2.9682	2	0.398862772
Z00011620-1	Gsta4	glutathione S-transferase, alpha 4	U010777	NM_010357.1	AK008189	MGI:1309515	3.6689	4.6624	4.2243	2	0.422519965
Z00019497-1	Rai14	retinoic acid induced 14	U036007	NM_030690.2	AF202315	MGI:1922896	3.8206	4.6117	4.813	2	0.3999788
Z00025717-1	Hist1H3A	histone 1, H3a	U034614	NM_013550.3	AK006742		2.0308	2.5828	3.0222	2	0.412311607
Z00038074-1	1600029D21Rik	RIKEN cDNA 1600029D21 gene	U010457	NM_029639.1	AK002767	MGI:1923759	2.7847	3.7726	3.5432	2	0.398393243
Z00034946-1	Echdc2	enoyl Coenzyme A hydratase domain containing 2	U004614	NM_026728.1	AK005030		3.6458	4.6122	4.633	2	0.445660969
Z00005869-1	Acate2	acyl-Coenzyme A thioesterase 2, mitochondrial	U020349	NM_019736.2	AB028898	MGI:1928939	3.2934	4.179	4.2696	2	0.412170182
Z00034110-1	Gprc5C	G protein-coupled receptor, family C, group 5, member C	U013529	NM_147217.1	AK003946		2.3609	3.0379	3.3344	2	0.380696238
Z00015587-1	Ncoa3	nuclear receptor coactivator 3	U002838	NM_008679.1	AF000581	MGI:1276535	3.2596	4.2329	3.9689	2	0.386568836
Z00055374-1	1810015A11Rik	RIKEN cDNA 1810015A11 gene	U016863	XM_148046.4	AK007503		3.4662	4.4379	4.0876	2	0.391882317
Z00013541-1	Ifi30	interferon gamma inducible protein 30	U029929	NM_023065.2	AF290973	MGI:2137648	3.5102	4.1856	4.4749	2	0.374393039
Z00022807-1	Gmfg	glia maturation factor, gamma	U164801	NM_022024.1	AF297221		2.9282	3.8844	3.3548	4	0.3660838
Z00003330-1	Gpc4	glypican 4	U039381	NM_008150.1	BC006622	MGI:104902	3.1894	3.7773	4.1403	2	0.372814434
Z00035360-1	St3Gal1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	U036247	NM_009177.3	AK031344	MGI:98304	2.7414	3.4202	3.6911	2	0.363586348
Z00060991-1	Atf7Ip2	activating transcription factor 7 interacting protein 2	U043492	XM_148109.3	AK016180		2.0911	3.0313	2.6797	2	0.372910201
Z00048595-1	Pir	pirin	U020384	NM_027153.1	AK009757	MGI:1916906	2.6933	3.6323	3.4582	2	0.367206481
Z00024198-1	Folr1	folate receptor 1 (adult)	U028931	NM_008034.2	AF096319	MGI:95568	2.9563	3.809	3.8946	2	0.383056341
Z00016181-1	Tbx15	T-box 15	U003629	NM_009323.1	AF013282	MGI:1277234	2.8339	3.769	3.6859	2	0.383175287
Z00035742-1	Timp1	tissue inhibitor of metalloproteinase 1	U019754	NM_011593.1	AY622853	MGI:98752	2.8429	3.7746	3.4994	2	0.358083067
Z00021082-1	Mtmr7	myotubularin related protein 7	U029752	NM_019433.1	AF073882		3.2264	3.946	4.157	2	0.352021228
Z00000342-1	Acp5	acid phosphatase 5, tartrate resistant	U030604	NM_007388.1	AK008391	MGI:87883	2.277	3.0355	3.2076	2	0.356771221
Z00009096-1	2210409E12Rik	RIKEN cDNA 2210409E12 gene	U041715	NM_028218.1	AK034163		2.6914	3.4727	3.6202	2	0.359772863
Z00003693-1	St14	suppression of tumorigenicity 14 (colon carcinoma)	U030643	NM_011176.3	AF042822	MGI:1338881	3.1484	4.0739	3.4908	4	0.314792179
Z00005111-1	Tep1	telomerase associated protein 1	U035514	NM_009351.1	AK087740	MGI:109573	2.7949	3.719	3.5942	2	0.364097599
Z00025179-1	Phlda2	pleckstrin homology-like domain, family A, member 2	U029510	NM_009434.2	BC019141	MGI:1202307	2.9247	3.8041	3.8444	2	0.383150117
Z00034296-1	Dok2	docking protein 2	U015831	NM_010071.1	AF030627	MGI:1332623	3.2306	4.0685	4.1496	2	0.368826754
Z00030652-1	Gzmd	granzyme D	U035602	NM_010372.1	M36901	MGI:109255	2.0733	2.9923	2.4113	4	0.310476309
Z00022847-1	Folr2	folate receptor 2 (fetal)	U028930	NM_008035.1	BC022108	MGI:95569	2.1614	2.8752	3.0791	2	0.343009602
Z00008315-1	Anxa7	annexin A7	U035277	NM_009674.1	AK032013	MGI:88031	3.3583	4.1217	4.2758	2	0.34965923
Z00012884-1	9030425E11Rik	RIKEN cDNA 9030425E11 gene	U010357	NM_133733.2	AB040490		3.3698	4.2803	3.8026	4	0.358551612
Z00003413-1	Llglh2	lethal giant larvae homolog 2	U013547	NM_145438.1	AK078901		3.4046	4.308	4.1244	2	0.339215151
Z00007524-1	Gata3	GATA binding protein 3	U022278	NM_008091.2	AK053728	MGI:95663	2.5895	3.1732	3.4924	2	0.336336351
Z00064719-1	Pdlim1	PDZ and LIM domain 1 (elfin)	U066756	NM_016861.1	AF053367	MGI:1860611	2.9907	3.6409	3.8887	2	0.327066486
Z00010419-1	Rab27A	RAB27A, member RAS oncogene family	U010734	NM_023635.2	AB046693		2.916	3.8128	3.2859	4	0.319855967
Z00025797-1	Acate3	acyl-Coenzyme A thioesterase 3, mitochondrial	U036032	NM_022816.1	AB028898	MGI:1928940	2.969	3.7852	3.865	2	0.350630098
Z00013368-1	Bc026657	cDNA sequence BC026657	U001436	XM_487692.1	AB093289		2.1718	3.0637	2.8662	2	0.329705582
Z00024335-1	Mvp	major vault protein	U029271	NM_080638.1	AF210456	MGI:1925638	3.4785	4.3645	4.2841	2	0.344462344
Z00004541-1	Rnase4,Ang1	ribonuclease, RNase A family 4	U015579	NM_007447.2	AB041044	MGI:88022	2.8707	3.7047	3.7565	2	0.351443125
Z00024843-1	Icam1	intercellular adhesion molecule	U010133	NM_010493.2	BC008626	MGI:96392	2.9347	3.8143	3.6189	2	0.320823516
Z00025915-1	Plec1	plectin 1	U036336	NM_011117.1	AF188006	MGI:1277961	3.5416	4.4204	4.3465	2	0.340471665
Z00034612-1	Igf2Bp1	insulin-like growth factor 2, binding protein 1	U033312	NM_009951.2	AF061569	MGI:1890357	3.0843	3.8377	3.9621	2	0.32440547
Z00024444-1	Apobec2	apolipoprotein B editing complex 2	U037899	NM_009694.1	AF161699		2.4933	3.3667	3.1603	2	0.315997298
Z00021669-1	Nmyc1	neuroblastoma myc-related oncogene 1	U033813	NM_008709.2	AK011628	MGI:97357	3.4796	4.353	4.2124	2	0.321633428
Z00015452-1	5830482F20Rik	RIKEN cDNA 5830482F20 gene	U163158	NM_177158.2	AK030993		2.4145	3.2858	2.7241	4	0.281122942
Z00020142-1	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	U038994	NM_013468.2	AF041847	MGI:1097717	3.3457	3.9913	4.2122	2	0.304746647
Z00000967-1	Dock5	dedicator of cytokinesis 5	U035717		AK004325		3.1231	3.9657	3.9888	2	0.345583881
Z00035584-1	Gsto1	glutathione S-transferase omega 1	U019552	NM_010362.1	AK027922	MGI:1342273	3.9	4.7599	4.2025	4	0.274103688
Z00003785-1	Rab4A	RAB4A, member RAS oncogene family	U009947	NM_009003.1	AK183231	MGI:105069	2.7114	3.1912	3.5681	2	0.324346976
Z00025210-1	Manba	mannosidase, beta A, lysosomal	U003890	NM_027288.2	AF306557	MGI:88175	2.9343	3.7892	3.361	4	0.346388505
Z00009061-1	5830411E10Rik	RIKEN cDNA 5830411E10 gene	U021305	NM_028696.1	AK015312		2.7219	3.5639	3.5713	2	0.338540996
Z00012808-1	Tmepai	transmembrane, prostate androgen induced RNA	U023728	NM_022995.2	AF220208	MGI:1929600	3.5319	4.1001	4.381	2	0.297233936
Z00035154-1	Crip1	cysteine-rich protein 1 (intestinal)	U014467	NM_007763.1	AK003075	MGI:88501	2.7484	3.4065	3.5968	2	0.292650809
Z00035554-1	Taf7	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor	U038350	NM_011901.1	AF144562	MGI:1346348	3.4632	4.1999	4.3096	2	0.30282797
Z00014749-1	Zfp339	zinc finger protein 339	U023436	NM_026924.2	AB101294	MGI:1338039	2.4702	3.3101	2.7816	4	0.273602237
Z00016116-1	Htatip2	Mus musculus HIV-1 tat interactive protein 2, homolog (human) (Htatip2), mRNA	U008128	NM_016865.2	AF061972	MGI:1859271	2.98	3.6149	3.8192	2	0.285477901
Z00035873-1	Abcb1B	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	U025902	NM_011075.1	AK030328	MGI:97568	2.7801	3.3282	3.6189	2	0.292557401
Z00025102-1	Ddc8	testis specific protein, Ddc8	U081596	NM_021440.1	AK081522		2.1689	2.8302	3.0049	2	0.284560985
Z00004269-1	Fer1L3	fer-1-like 3, myoferlin (C. elegans)	U039007	XM_283556.3	AK009153		3.3311	4.0599	4.167	2	0.295094518
Z00054439-1	Map4K1	mitogen activated protein kinase kinase kinase kinase 1	U007895	NM_008279.1	AK011024	MGI:1346882	3.034	3.8663	3.5181	2	0.313308532
Z00033671-1	B230112C05Rik	RIKEN cDNA B230112C05 gene	U015152		AK033380		2.7907	3.5521	3.6215	2	0.301092328
Z00034654-1	Nid1	nidogen 1	U014556	NM_010917.1	AK041633	MGI:97342	3.3901	3.936	4.2196	2	0.285700888
Z00009781-1	Trim6	tripartite motif protein 6	U008537	XM_133616.3	AF220031	MGI:2137352	3.1107	3.9383	3.5006	4	0.319682179
Z00034313-1	Fkbp11	FK506 binding protein 11	U036627	NM_024169.2	AK003331		3.4217	3.9214	4.2472	2	0.293151868
Z00022709-1	Cdkn2A	cyclin-dependent kinase inhibitor 2A	U025252	NM_009877.1	AF044335	MGI:104738	2.0874	2.6605	2.9119	2	0.277811655
Z00005340-1	Fst	follistatin	U035199	NM_008046.1	AK079916		2.96	3.3912	3.7835	2	0.31490878
Z00025883-1	Lmod1	leiomodin 1 (smooth muscle)	U000839	NM_053106.1	AF237627	MGI:2135671	1.1741	1.9975	1.6137	2	0.322334432
Z00015588-1	Zfp52	zinc finger protein 52	U017590	NM_144515.1	AK032299	MGI:99199	2.8008	3.621	3.1189	4	0.273427165
Z00001000-1	Anxa5	annexin A5	U023945	NM_009673.1	AK188640	MGI:106008	3.5858	4.2009	4.4044	2	0.270874102
Z00023947-1	Gadd45A	growth arrest and DNA-damage-inducible 45 alpha	U027409	NM_007836.1	BC011141	MGI:107799	3.6291	4.4465	3.9963	4	0.303855033
Z00041840-1	Kcnk7	potassium channel, subfamily K, member 7	U019039	NM_053252.1	AF305087	MGI:1341841	2.6909	3.5083	3.309	2	0.27652947
Z00011048-1	Bc034099	cDNA sequence BC034099	U025421	NM_146256.2	AK043902		2.9563	3.7671	3.5141	2	0.277583799
Z00005976-1	Anxa11	annexin A11	U015403	NM_013469.1	AK044203	MGI:108481	2.8541	3.6643	3.3461	2	0.29288521
Z00035537-1	8430410A17Rik	RIKEN cDNA 8430410A17 gene	U007140	NM_173737.2	AK010550		4.134	4.9437	4.6119	2	0.29701379
Z00011576-1	Cyb561	cytochrome b-561	U033527	NM_007805.2	AK014395		2.1537	2.9253	2.9625	2	0.293904155
Z00010533-1	Cdkl2	cyclin-dependent kinase-like 2 (CDC2-related kinase)	U026399	NM_016912.1	AB029065	MGI:1858227	2.1419	2.9472	2.8934	2	0.287037373
Z00036751-1	Dlc1	deleted in liver cancer 1	U029734	XM_486096.1	AF178078	MGI:1354949	2.7664	3.5633	3.5694	2	0.301191204
Z00016546-1	4631422O05Rik	RIKEN cDNA 4631422O05 gene	U017226	XM_484551.1	AK019472		2.647	3.4499	3.1763	2	0.277013867
Z00004874-1	9130404D14Rik	RIKEN cDNA 9130404D14 gene	U001632	NM_146119.1	AK033735		3.4702	4.0427	4.2666	2	0.256718564
Z00006556-1	Rbms1	RNA binding motif, single stranded interacting protein 1	U022672	NM_020296.1	AB026569	MGI:1861774	3.396	4.1773	4.1904	2	0.291319836
Z00001961-1	Cgnl1	cingulin-like 1	U031071	NM_026599.4	AB186125	MGI:1915428	2.7022	3.4933	3.3596	2	0.259755318
Z00025459-1	Arid3A	AT rich interactive domain 3A (Bright like)	U011730	NM_007880.1	AK034824	MGI:1328360	2.9185	3.4175	3.708	2	0.264453229
Z00005799-1	Serpinb9B	serine (or cysteine) proteinase inhibitor, clade B, member 9b	U014709	NM_011452.1	AK005491	MGI:894668	2.5402	3.328	3.2787	2	0.274246355
Z00031453-1	937308) Mus Musculus Cdna Clone Image:516700 5 Similar To Gb:M74555 Mouse House-Keeping Protein Mrna, Complete Cds (Mouse);, Mrna Sequence	ml63e03.r1 Stratagene mouse testis (	U109461				2.674	3.3054	3.4608	2	0.249515428
Z00022486-1	Edn1	endothelin 1	U014767	NM_010104.2	AB081657	MGI:95283	1.7485	2.3528	2.5329	2	0.246694067
Z00036056-1	Orc1L	origin recognition complex, subunit 1-like (S.cereviaiae)	U004623	NM_011015.1	AJ003133	MGI:1328337	3.1783	3.9287	3.9622	2	0.274952772
Z00051653-1	Rai3	retinoic acid induced 3	U007484	NM_181444.3	BC034063	MGI:1891250	3.1227	3.9035	3.7334	2	0.25045563
Z00049761-1	9130210N20Rik	RIKEN cDNA 9130210N20 gene	U036313	NM_172607.2	AK033661		3.1008	3.8802	3.4353	4	0.27912116
Z00009233-1	Shrm	shroom	U005809	NM_015756.1	AF199421	MGI:1351655	3.607	4.2904	4.3844	2	0.251690679
Z00043680-1	Rnf128	ring finger protein 128	U020251	NM_023270.3	AB041548	MGI:1914139	2.4154	3.1915	3.0481	2	0.247803847
Z00027158-1	Loc236749	PREDICTED: Mus musculus similar to Testis derived transcript (LOC236749), mRNA	U055969	XM_141679.2			2.8791	3.6518	3.4207	2	0.250760718
Z00018318-1	Phf17	PHD finger protein 17	U003202	NM_172303.3	AK021317	MGI:1925835	3.1453	3.918	3.6443	2	0.26056798
Z00035686-1	2810474O19Rik	RIKEN cDNA 2810474O19 gene	U273150	XM_132966.4	AK013408	MGI:1914496	3.6281	4.4	4.0124	2	0.305008076
