Accession No.	Gene Description	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)
BM120053	ectodermal-neural cortex 1	-12.51947257	-3554.3	283.9017363	0.32969	0.124071201
AK002443	diacylglycerol O-acyltransferase 2	-6.431770235	-489.25	76.06770486	0.3316	0.124071201
BB145101	EST	-5.984311224	-5169.7	863.8755249	0.33164	0.124071201
BC003733	transmembrane 4 superfamily member 6	-11.13826541	-1156.95	103.8716495	0.33351	0.124071201
BB807595	(silent mating type information regulation 2, homolog) 2	-4.872826746	-852.025	174.8523074	0.33542	0.124071201
BC024886	coagulation factor III	-7.508470888	-758.8	101.0591919	0.33622	0.124071201
NM_008086	growth arrest specific 1 (Gas1)	-6.654050082	-6749.775	1014.385963	0.3383	0.124071201
BB133079	endothelial differentiation sphingolipid G-protein-coupled receptor 1	-6.1257517	-529.725	86.47510149	0.342	0.124071201
BQ173889	protein phosphatase 3, catalytic subunit	-5.158124219	-941.025	182.4355056	0.34276	0.124071201
BF178348	pleiotrophin	-5.217081707	-9739.375	1866.824318	0.34417	0.124071201
NM_016685	cartilage oligomeric matrix protein (Comp), mRNA	-7.088548215	-160.325	22.61746625	0.35098	0.124071201
BB151715	E26 avian leukemia oncogene 1, 5 domain	-7.831341379	-319.125	40.74972403	0.3518	0.124071201
BB544336	EST	-10.32478118	-713.075	69.06441767	0.35375	0.124071201
BC021657	EST	-6.285272865	-60.35	9.601810661	0.35627	0.124071201
NM_011905	toll-like receptor 2 (Tlr2)	-7.845797829	-237.925	30.32515051	0.36067	0.124071201
AK013376	amyloid beta (A4) precursor-like protein 2	-4.915331898	-1246.85	253.6654749	0.36198	0.124071201
M57683	PDGF alpha receptor (mPDGF-alpha-R)	-5.149508212	-506.4	98.3394878	0.36232	0.124071201
BE632222	protein phosphatase 3, catalytic subunit, alpha isoform	-6.116905787	-1053.625	172.2480347	0.36385	0.124071201
AF305501	equilibrative nitrobenzylthioinosine-sensitive nucleoside transporter ENT1b	-4.768454047	-2703.425	566.9395099	0.36438	0.124071201
BC027413	EST	-4.986320454	-251.75	50.48813094	0.36443	0.124071201
BC026507	EST	-11.1947558	-319.875	28.57364696	0.36618	0.124071201
BC026502	Similar to Spir-2 protein	-13.82918926	-395.025	28.56458123	0.36804	0.124071201
NM_026592	EST	-5.659603879	-1139.85	201.4010211	0.37236	0.124071201
BB523906	EST	-5.933197027	-561.975	94.71706357	0.37685	0.124071201
BC013820	EST	-5.242383395	-402.975	76.86866252	0.37743	0.124071201
BC023470	EST	-5.226666809	-182.975	35.00797098	0.37975	0.124071201
NM_013602	metallothionein 1 (Mt1)	-6.448395472	-655.275	101.6183022	0.38382	0.124071201
BB283754	Tcf4	-5.269270311	-212.125	40.25699717	0.38957	0.124071201
BC026446	snail homolog 2 (Drosophila) (Snai2)	-4.76536322	-1472.125	308.9218874	0.39129	0.124071201
AK005016	heat-responsive protein 12	-5.429010311	-288.075	53.06215746	0.39356	0.124071201
NM_007885	diastrophic dysplasia	-4.86529307	-182.375	37.48489502	0.39446	0.124071201
BC022960	EST	-4.832919828	-542.825	112.3182298	0.39577	0.124071201
BC017615	solute carrier family 24 (sodiumpotassiumcalcium exchanger), member 3	-4.882596433	-840.725	172.1880994	0.39658	0.124071201
BQ179335	SH3-domain binding protein 5 (BTK-associated)	-5.951851741	-190.325	31.97744303	0.39866	0.124071201
