Groups	Unigene	Gene name	Note	Day
Retinoic acid and other nuclear receptor pathways	Hs.118138	Nuclear receptor subfamily 1, group 1, member 2		4, 5, 14up
Retinoic acid and other nuclear receptor pathways	Hs.250505	Retinolc acid receptor, alpha		4, 5up
Retinoic acid and other nuclear receptor pathways	Hs.15589	PPAR binding protein		6, 14down
Ephrin pathway	Hs.89839	EphA1	Mediates developmental events, particularly in the nervous system	2, 5, 14up
Ephrin pathway	Hs.125124	EphB2		4, 5up
Ephrin pathway	Hs.30942	Ephrin-B2	Ephrin ligand	4, 5up
Other differentiation-related molecules	Hs.36137	Hepatocyte nuclear factor 3, gamma		2, 4, 5, 14up
Other differentiation-related molecules	Hs.54452	Zinc finger protein, subfamily 1A, 1 (lkaros)	May play an important role in CD4 versus CD8 lineage commitment decisions	2, 4, 5up
Other differentiation-related molecules	Hs.32425	Early B-cell factor	Participates in the regulation of the pre-B and B lymphocyte-specific MB1 gene	2, 4, 5, 14up
Other differentiation-related molecules	Hs.55967	Short stature homeobox 2	Involved in pattern formation in both invertebrate and vertebrate species	2, 4, 5up
Other differentiation-related molecules	Hs.78061	Transcription factor 21	Important in cell fate determination and tissue differentiation in the embryo	2, 4, 5up
Other differentiation-related molecules	Hs.29397	Zinc finger protein, subfamily 1A, 5 (Pegasus)	Regulator of lymphocyte differentiation	4, 5up
Other differentiation-related molecules	Hs.99348	Distal-less hormobox 5		4, 5up
Other differentiation-related molecules	Hs.23823	Halry/enhancer-of-split related with YRPW motif-like		2, 5, 14up
Other differentiation-related molecules	Hs.22030	Paired box gene 5 (B-cell lineage specific activator protein)	A transcription factor that is expressed at early, but not late, stages of B-cell differentiation during embryogenesis	10, 14up
Other differentiation-related molecules	Hs.241558	Ariadne homolog 2 (Drosophila)	Up-regulated during retinoic acid-induced granulocytic differentiation of acute leukemia cells	2, 4, 5, 6, 14up
Other differentiation-related molecules	Hs.198	Paired box gene 3 (Waardenburg syndrome 1)		2, 4up
Other differentiation-related molecules	Hs.3844	LIM domain only 4		4, 14down
Other differentiation-related molecules	Hs.137064	Cytoplasmic polyadenylation element binding protein	Controls germ cell differentiation by regulating the formation of synaptonemal complexes	2, 5up
