UNIQID	Gene Symbol	Chromosome Map	Gene Description
208074_s_at	AP2S1	chr19q13	adaptor-related protein complex 2 sigma 1 subunit
208308_s_at	GPI	chr19q13	glucose phosphate isomerase
202620_s_at	PLOD2	chr3q23	procollagen-lysine 2-oxoglutarate 5-dioxygenase (
203987_at	FZD6	chr8q22	frizzled homolog 6 (Drosophila)
203256_at	CDH3	chr16q22	cadherin 3 type 1 P-cadherin (placental)
203120_at	TP53BP2	chr1q42	tumor protein p53 binding protein 2
201980_s_at	RSU1	chr10p13	Ras suppressor protein 1
208103_s_at	ANP32E	chr1q21	acidic (leucine-rich) nuclear phosphoprotein 32 fa
202274_at	ACTG2	chr2p13	actin gamma 2 smooth muscle enteric
202504_at	TRIM29	chr11q22	tripartite motif-containing 29
203074_at	ANXA8	chr10q11	annexin A8
201820_at	KRT5	chr12q12	keratin 5 (epidermolysis bullosa simplex Dowling-
205157_s_at	KRT17	chr17q12	keratin 17
202146_at	IFRD1	chr7q22	Interferon-related developmental regulator 1
205044_at	GABRP	chr5q33	gamma-aminobutyric acid (GABA) A receptor pi
213260_at	FOXC1	chr6p25	Forkhead box C1
215729_s_at	VGLL1	chrxq26	vestigial like 1 (Drosophila)
823_at	CX3CL1	chr16q13	chemokine (C-X3-C motif) ligand 1
209291_at	ID4	chr6p22	inhibitor of DNA binding 4 dominant negative heli
213060_s_at	CHI3L2	chr1p13	chitinase 3-like 2
201161_s_at	CSDA	chr12p13	cold shock domain protein A
200824_at	GSTP1	chr11q13	glutathione S-transferase pi
205548_s_at	BTG3	chr21q21	BTG family member 3
201923_at	PRDX4	chrxp22	peroxiredoxin 4
202613_at	CTPS	chr1p34	CTP synthase
208627_s_at	NSEP1	chr1p34	nuclease sensitive element binding protein 1
213523_at	CCNE1	chr19q12	cyclin E1
218051_s_at	FLJ12442	chr3p21	hypothetical protein FLJ12442
204470_at	CXCL1	chr4q21	chemokine (C-X-C motif) ligand 1 (melanoma growth
32128_at	CCL18	chr17q11	chemokine (C-C motif) ligand 18 (pulmonary and act
205350_at	CRABP1	chr15q24	cellular retinoic acid binding protein 1
205347_s_at	TMSNB	chrxq21	thymosin beta identified in neuroblastoma cells
214051_at	MGC39900	chrxq22	hypothetical protein MGC39900
203428_s_at	ASF1A	chr6q22	ASF1 anti-silencing function 1 homolog A (S. cerev
221803_s_at	NRBF2	chr10q21	nuclear receptor binding factor 2
208650_s_at	CD24	chr6q21	CD24 antigen (small cell lung carcinoma cluster 4
200755_s_at	CALU	chr7q32	calumenin
203560_at	GGH	chr8q12	gamma-glutamyl hydrolase (conjugase folylpolygamm
208767_s_at	LAPTM4B	chr8q22	lysosomal associated protein transmembrane 4 beta
204127_at	RFC3	chr13q12	replication factor C (activator 1) 3 38kDa
210691_s_at	SIP	chr1q24	Siah-interacting protein
218728_s_at	HSPC163	chr1q42	HSPC163 protein
219555_s_at	BM039	chr16q23	uncharacterized bone marrow protein BM039
209218_at	SQLE	chr8q24	squalene epoxidase
201489_at	PPIF	chr10q22	peptidylprolyl isomerase F (cyclophilin F)
219347_at	NUDT15	chr13q14	nudix (nucleoside diphosphate linked moiety X)-typ
212481_s_at	TPM4	chr19p13	tropomyosin 4
213988_s_at	SAT	chrxp22	spermidine/spermine N1-acetyltransferase
206348_s_at	PDK3	chrxp22	pyruvate dehydrogenase kinase isoenzyme 3
204238_s_at	C6orf108	chr6p21	chromosome 6 open reading frame 108
221522_at	ANKRD27	chr19q13	ankyrin repeat domain 27 (VPS9 domain)
208854_s_at	STK24	chr13q31	serine/threonine kinase 24 (STE20 homolog yeast)
207469_s_at	PIR	chrxp22	pirin (iron-binding nuclear protein)
204745_x_at	MT1G	chr16q13	metallothionein 1G
219522_at	FJX1	chr11p13	four jointed box 1 (Drosophila)
200700_s_at	KDELR2	chr7p22	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum prote
201645_at	TNC	chr9q33	tenascin C (hexabrachion)
204846_at	CP	chr3q23	ceruloplasmin (ferroxidase)
209357_at	CITED2	chr6q23	Cbp/p300-interacting transactivator with Glu/Asp-
217179_x_at	LOC96610	chr22q11	Hypothetical protein similar to KIAA0187 gene prod
219117_s_at	FKBP11	chr12q13	FK506 binding protein 11 19 kDa
203706_s_at	FZD7	chr2q33	frizzled homolog 7 (Drosophila)
205051_s_at	KIT	chr4q11	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncog
204731_at	TGFBR3	chr1p33	transforming growth factor beta receptor III (bet
218168_s_at	CABC1	chr1q42	chaperone ABC1 activity of bc1 complex like (S. p
209242_at	PEG3	chr19q13	paternally expressed 3
204836_at	GLDC	chr9p22	glycine dehydrogenase (decarboxylating; glycine de
221690_s_at	NALP2	chr19q13	NACHT leucine rich repeat and PYD containing 2
203266_s_at	MAP2K4	chr17p11	mitogen-activated protein kinase kinase 4
203815_at	GSTT1	chr22q11	glutathione S-transferase theta 1
202651_at	FAM34A	chr1p36	Family with sequence similarity 34 member A
204634_at	NEK4	chr3p21	NIMA (never in mitosis gene a)-related kinase 4
204860_s_at	BIRC1	chr5q13	baculoviral IAP repeat-containing 1
203337_x_at	ITGB1BP1	chr2p25	integrin beta 1 binding protein 1
204085_s_at	CLN5	chr13q21	ceroid-lipofuscinosis neuronal 5
202003_s_at	ACAA2	chr18q21	acetyl-Coenzyme A acyltransferase 2 (mitochondrial
202718_at	IGFBP2	chr2q33	insulin-like growth factor binding protein 2 36kD
208886_at	H1F0	chr22q13	H1 histone family member 0
209301_at	CA2	chr8q22	carbonic anhydrase II
202357_s_at	BF	chr6p21	B-factor properdin
201939_at	PLK2	chr5q12	polo-like kinase 2 (Drosophila)
207847_s_at	MUC1	chr1q21	mucin 1 transmembrane
209739_s_at	PNPLA4	chrxp22	patatin-like phospholipase domain containing 4
202054_s_at	ALDH3A2	chr17p11	aldehyde dehydrogenase 3 family member A2
204070_at	RARRES3	chr11q23	retinoic acid receptor responder (tazarotene induc
202139_at	AKR7A2	chr1p35	aldo-keto reductase family 7 member A2 (aflatoxin
201106_at	GPX4	chr19p13	glutathione peroxidase 4 (phospholipid hydroperoxi
40016_g_at	KIAA0303	chr5q12	KIAA0303 protein
203627_at	IGF1R	chr15q26	Insulin-like growth factor 1 receptor
202535_at	FADD	chr11q13	Fas (TNFRSF6)-associated via death domain
203771_s_at	BLVRA	chr7p14	biliverdin reductase A
203801_at	MRPS14	chr1q23	mitochondrial ribosomal protein S14
209123_at	QDPR	chr4p15	quinoid dihydropteridine reductase
202265_at	BMI1	chr10p11	B lymphoma Mo-MLV insertion region (mouse)
202708_s_at	HIST2H2BE	chr1q21	histone 2 H2be
202554_s_at	GSTM3	chr1p13	glutathione S-transferase M3 (brain)
201860_s_at	PLAT	chr8p12	plasminogen activator tissue
203989_x_at	F2R	chr5q13	coagulation factor II (thrombin) receptor
211864_s_at	FER1L3	chr10q24	fer-1-like 3 myoferlin (C. elegans)
201468_s_at	NQO1	chr16q22	NAD(P)H dehydrogenase quinone 1
201454_s_at	NPEPPS	chr17q21	aminopeptidase puromycin sensitive
202814_s_at	HIS1	chr17q21	HMBA-inducible
202850_at	ABCD3	chr1p22	ATP-binding cassette sub-family D (ALD) member 3
201754_at	COX6C	chr8q22	cytochrome c oxidase subunit VIc
212637_s_at	WWP1	chr8q21	WW domain containing E3 ubiquitin protein ligase 1
204045_at	TCEAL1	chrxq22	transcription elongation factor A (SII)-like 1
203453_at	SCNN1A	chr12p13	sodium channel nonvoltage-gated 1 alpha
212099_at	RHOB	chr2p24	ras homolog gene family member B
205376_at	INPP4B	chr4q31	inositol polyphosphate-4-phosphatase type II 105
205355_at	ACADSB	chr10q25	acyl-Coenzyme A dehydrogenase short/branched chai
201413_at	HSD17B4	chr5q21	hydroxysteroid (17-beta) dehydrogenase 4
214440_at	NAT1	chr8p23	N-acetyltransferase 1 (arylamine N-acetyltransfera
200670_at	XBP1	chr22q12	X-box binding protein 1
204623_at	TFF3	chr21q22	trefoil factor 3 (intestinal)
205225_at	ESR1	chr6q25	estrogen receptor 1
209602_s_at	GATA3	chr10p15	GATA binding protein 3
209696_at	FBP1	chr9q22	fructose-16-bisphosphatase 1
202089_s_at	SLC39A6	chr18q12	solute carrier family 39 (zinc transporter) membe
211712_s_at	ANXA9	chr1q21	annexin A9
214552_s_at	RABEP1	chr17p13	rabaptin RAB GTPase binding effector protein 1
219197_s_at	SCUBE2	chr11p15	signal peptide CUB domain EGF-like 2
212148_at	PBX1	chr1q23	Pre-B-cell leukemia transcription factor 1
204199_at	RALGPS1	chr9q34	Ral GEF with PH domain and SH3 binding motif 1
212496_s_at	JMJD2B	chr19p13	jumonji domain containing 2B
204686_at	IRS1	chr2q36	insulin receptor substrate 1
203789_s_at	SEMA3C	chr7q21	sema domain immunoglobulin domain (Ig) short bas
218259_at	MKL2	chr16p13	MKL/myocardin-like 2
214109_at	LRBA	chr4q31	LPS-responsive vesicle trafficking beach and anch
208873_s_at	C5orf18	chr5q22	chromosome 5 open reading frame 18
208712_at	CCND1	chr11q13	cyclin D1 (PRAD1: parathyroid adenomatosis 1)
212209_at	THRAP2	chr12q24	thyroid hormone receptor associated protein 2
212660_at	PHF15	chr5q31	PHD finger protein 15
205624_at	CPA3	chr3q21	carboxypeptidase A3 (mast cell)
212256_at	GALNT10	chr5q33	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-a
214428_x_at	C4A	chr6p21	complement component 4A
218807_at	VAV3	chr1p13	vav 3 oncogene
204179_at	MB	chr22q13	myoglobin
202489_s_at	FXYD3	chr19q13	FXYD domain containing ion transport regulator 3
212686_at	PPM1H	chr12q14	Protein phosphatase 1H (PP2C domain containing)
214433_s_at	SELENBP1	chr1q21	selenium binding protein 1
218309_at	CaMKIINalpha	chr1p36	calcium/calmodulin-dependent protein kinase II
208614_s_at	FLNB	chr3p14	filamin B beta (actin binding protein 278)
209339_at	SIAH2	chr3q25	seven in absentia homolog 2 (Drosophila)
211988_at	SMARCE1	chr17q21	SWI/SNF related matrix associated actin dependen
219722_s_at	MGC4171	chr16p11	hypothetical protein MGC4171
221667_s_at	HSPB8	chr12q24	heat shock 22kDa protein 8
202575_at	CRABP2	chr1q21	cellular retinoic acid binding protein 2
218502_s_at	TRPS1	chr8q24	trichorhinophalangeal syndrome I
204418_x_at	GSTM2	chr1p13	glutathione S-transferase M2 (muscle)
204550_x_at	GSTM1	chr1p13	glutathione S-transferase M1
203131_at	PDGFRA	chr4q11	platelet-derived growth factor receptor alpha pol
211959_at	IGFBP5	chr2q33	insulin-like growth factor binding protein 5
201061_s_at	STOM	chr9q34	stomatin
201369_s_at	ZFP36L2	chr2p22	zinc finger protein 36 C3H type-like 2
218665_at	FZD4	chr11q14	frizzled homolog 4 (Drosophila)
212632_at	STX7	chr6q23	Syntaxin 7
202709_at	FMOD	chr1q32	fibromodulin
205357_s_at	AGTR1	chr3q21	angiotensin II receptor type 1
209869_at	ADRA2A	chr10q24	adrenergic alpha-2A- receptor
218820_at	C14orf132	chr14q32	chromosome 14 open reading frame 132
212736_at	BC008967	chr16p13	hypothetical gene BC008967
221019_s_at	COLEC12	chr18pter	collectin sub-family member 12
213397_x_at	RNASE4	chr14q11	ribonuclease RNase A family 4
209581_at	HRASLS3	chr11q12	HRAS-like suppressor 3
205358_at	GRIA2	chr4q32	glutamate receptor ionotropic AMPA 2
205366_s_at	HOXB6	chr17q21	homeo box B6
203029_s_at	PTPRN2	chr7q36	protein tyrosine phosphatase receptor type N pol
203037_s_at	MTSS1	chr8p22	metastasis suppressor 1
203757_s_at	CEACAM6	chr19q13	carcinoembryonic antigen-related cell adhesion mol
203497_at	PPARBP	chr17q12	PPAR binding protein
210761_s_at	GRB7	chr17q12	growth factor receptor-bound protein 7
216836_s_at	ERBB2	chr17q21	v-erb-b2 erythroblastic leukemia viral oncogene ho
213043_s_at	THRAP4	chr17q21	thyroid hormone receptor associated protein 4
213089_at	LOC153561	chr5q13	hypothetical protein LOC153561
218844_at	FLJ20920	chr17q21	hypothetical protein FLJ20920
206022_at	NDP	chrxp11	Norrie disease (pseudoglioma)
215785_s_at	CYFIP2	chr5q33	cytoplasmic FMR1 interacting protein 2
205513_at	TCN1	chr11q11	transcobalamin I (vitamin B12 binding protein R b
201862_s_at	LRRFIP1	chr2q37	leucine rich repeat (in FLII) interacting protein
204579_at	FGFR4	chr5q35	fibroblast growth factor receptor 4
201931_at	ETFA	chr15q23	electron-transfer-flavoprotein alpha polypeptide
201131_s_at	CDH1	chr16q22	cadherin 1 type 1 E-cadherin (epithelial)
212057_at	KIAA0182	chr16q24	KIAA0182 protein
208737_at	ATP6V1G1	chr9q32	ATPase H+ transporting lysosomal 13kDa V1 subun
221865_at	C9orf91	chr9q32	chromosome 9 open reading frame 91
215696_s_at	KIAA0310	chr9q34	KIAA0310
220690_s_at	DKFZp566O084	chr17p12	DKFZP566O084 protein
205364_at	ACOX2	chr3p14	acyl-Coenzyme A oxidase 2 branched chain
201963_at	ACSL1	chr4q34	acyl-CoA synthetase long-chain family member 1
203060_s_at	PAPSS2	chr10q23	3-phosphoadenosine 5-phosphosulfate synthase 2
203740_at	MPHOSPH6	chr16q23	M-phase phosphoprotein 6
203021_at	SLPI	chr20q12	secretory leukocyte protease inhibitor (antileukop
205030_at	FABP7	chr6q22	fatty acid binding protein 7 brain
212240_s_at	PIK3R1	chr5q13	phosphoinositide-3-kinase regulatory subunit 1 (p
202742_s_at	PRKACB	chr1p36	protein kinase cAMP-dependent catalytic beta
201951_at	ALCAM	chr3q13	Activated leukocyte cell adhesion molecule
201525_at	APOD	chr3q26	apolipoprotein D
204607_at	HMGCS2	chr1p13	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (
205776_at	FMO5	chr1q21	flavin containing monooxygenase 5
208792_s_at	CLU	chr8p21	clusterin (complement lysis inhibitor SP-4040 s
209368_at	EPHX2	chr8p21	epoxide hydrolase 2 cytoplasmic
218552_at	FLJ10948	chr1p32	hypothetical protein FLJ10948
215726_s_at	CYB5	chr18q23	cytochrome b-5
218205_s_at	MKNK2	chr19p13	MAP kinase interacting serine/threonine kinase 2
204014_at	DUSP4	chr8p12	dual specificity phosphatase 4
209522_s_at	CRAT	chr9q34	carnitine acetyltransferase
210319_x_at	MSX2	chr5q34	msh homeo box homolog 2 (Drosophila)
214451_at	TFAP2B	chr6p21	transcription factor AP-2 beta (activating enhance
209624_s_at	MCCC2	chr5q12	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
214269_at	FLJ22269	chr4p16	hypothetical protein FLJ22269
213695_at	PON3	chr7q21	paraoxonase 3
202506_at	SSFA2	chr2q31	sperm specific antigen 2
217889_s_at	CYBRD1	chr2q31	cytochrome b reductase 1
209160_at	AKR1C3	chr10p15	aldo-keto reductase family 1 member C3 (3-alpha h
202203_s_at	AMFR	chr16q21	autocrine motility factor receptor
221973_at	LOC150759	chr2q11	Hypothetical protein LOC150759
