Accession	Name	Correlationa	Count in LOOCVb	Biological process (GO)c
R10604	Spinocerebellar ataxia 2 (olivopontocerebellar ataxia 2, autosomal dominant, ataxin 2)	-0.49	1	mRNA splicing
R95732	DNA (cytosine-5-)-methyltransferase 2	-0.49	1	DNA methylation
AA149096	Hemopoietic cell kinase	-0.49	2	Biological process unknown
AA489714	Chromosome 9 open reading frame 60	-0.49	1	Biological process unknown
AA045587	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20 kDa	-0.49	2	Regulation of transcription, DNA-dependent
AA485443	Ring finger protein 41	-0.48	1	Biological process unknown
AA085676	ADP-ribosylation factor guanine nucleotide factor 6	-0.48	1	Biological process unknown
W58032	Frizzled-related protein	-0.48	1	Wnt receptor signaling pathway
N71653	Aspartoacylase (aminoacylase 2, Canavan disease)	-0.48	2	Aspartate catabolism
AA004324	Hypothetical protein BC007706	-0.48	1	Biological process unknown
AA441935	Achaete-scute complex-like 1 (Drosophila)	-0.48	1	Cell differentiation
R22050	Topoisomerase (DNA) II beta (180kD)	-0.48	1	DNA topological change
W31074	Fatty-acid-Coenzyme A ligase, long-chain 3	-0.48	3	Fatty acid metabolism
T72581	Matrix metalloproteinase 9	-0.48	3	Collagen catabolism
AA453105	Histone 1, H2ac	-0.48	1	Nucleosome assembly
AA988746	WD repeat and SOCS box containing protein 2	-0.48	1	Intracellular signaling cascade
AA495766	Chromosome condensation 1-like	-0.48	1	Biological process unknown
AA489699	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)	-0.48	1	Biological process unknown
T65902	Splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	-0.48	1	mRNA splice site selection
AA446908	Kinesin family member 3C	-0.47	1	Biological process unknown
AA047812	Origin recognition complex, subunit 2-like (yeast)	-0.47	1	DNA replication
AA452566	Peroxisomal membrane protein 3, 35 kDa (Zellweger syndrome)	-0.47	1	Peroxisome organization and biogenesis
R91948	Pantothenate kinase 3	-0.47	1	Coenzyme A biosynthesis
T52894	Myosin light chain 1 slow a	-0.47	1	Muscle development
AA001749	Microtubule-associated protein, RP/EB family, member 1	-0.47	1	Cell proliferation
AA430035	Reticulon 3	-0.47	1	Biological process unknown
N79179	Pyruvate dehydrogenase complex, lipoyl-containing component X; E3-binding protein	-0.47	1	Biological process unknown
R13911	T54 protein	-0.47	1	Biological process unknown
AA447579	Hypothetical protein FLJ11101	-0.47	1	Biological process unknown
AA454639	F-box only protein 9	-0.47	1	Protein modification
AA476460	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1	-0.46	2	One-carbon compound metabolism
AA147642	cDNA: FLJ21949 fis, clone HEP04922	-0.46	1	Biological process unknown
AA479954	Similar to RNA polymerase B transcription factor 3	-0.46	1	Biological process unknown
N80382	Phosphodiesterase 6D, cGMP-specific, rod, delta	-0.46	1	Visual perception
R88246	Adrenergic, beta, receptor kinase 1	-0.45	1	Signal transduction
AA150895	Hypothetical protein MGC26690	-0.45	1	Biological process unknown
AA680407	Similar to ubiquitin binding protein	-0.45	1	Biological process unknown
AA063398	Chromosome 15 open reading frame 15	-0.45	1	Protein biosynthesis
AA459572	Protein phosphatase 1, regulatory subunit 7	-0.45	1	Biological process unknown
AA401429	Dynein light chain 2	-0.45	2	Microtubule-based process
AA434130	Thioredoxin reductase 2	-0.44	1	Response to oxygen radicals
AA453593	BB1=malignant cell expression-enhanced gene/tumor progression-enhanced gene	-0.44	1	Protein arginylation
T77891	ESTs	-0.44	1	Biological process unknown
N48137	Glycophorin E	-0.44	1	Biological process unknown
N30147	CDNA FLJ34899 fis, clone NT2NE2018594.	-0.43	1	Biological process unknown
AA011185	Hypothetical protein FLJ14431	-0.43	1	Metabolism
N58558	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4	-0.43	1	Acute-phase response
AA055221	Apoptosis, caspase activation inhibitor	-0.43	1	Apoptosis
AA280677	Zinc-finger protein 258	-0.43	1	Development
AA026709	Dedicator of cytokinesis 6	-0.43	1	Biological process unknown
AA487070	Similar to CGI-55 protein (LOC152502), mRNA	-0.43	1	Biological process unknown
AA284282	Hypothetical protein FLJ30277	-0.43	1	Biological process unknown
T57859	Natural killer cell group 7 sequence	-0.42	1	Biological process unknown
AA448001	TBP-like 1	-0.42	1	Regulation of transcription
N92085	ESTs	-0.41	1	Biological process unknown
AA423867	Multimerin	-0.41	1	Blood coagulation
AA443302	ras homolog gene family, member E	-0.38	1	Small GTPase mediated signal transduction
H52361	ESTs	-0.37	1	Biological process unknown
AA482198	Mannose phosphate isomerase	-0.36	1	Carbohydrate metabolism
H66030	Centrosomal protein 1	-0.36	1	Biological process unknown
AA458472	Major histocompatibility complex, class II, DQ beta 1	-0.36	1	Immune response
AA447696	Yippee protein	-0.35	1	Biological process unknown
AA419164	Retinoic acid receptor, beta	-0.34	1	Cell growth and/or maintenance
AA453849	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1	-0.32	1	ATP synthesis coupled proton transport
T96688	PBX/knotted 1 hoemobox 1	-0.32	1	Biological process unknown
R41732	Mitogen-activated protein kinase 8 interacting protein 1	0.28	1	Vesicle-mediated transport
AA419622	Hypothetical protein FLJ10134	0.31	1	Biological process unknown
AA128017	Clone DNA100312 VSSW1971 (UNQ1971) mRNA	0.33	1	Biological process unknown
R23810	Full-length insert cDNA YI09H09	0.33	1	Biological process unknown
T90871	EST	0.35	1	Biological process unknown
AA005228	ESTs	0.39	1	Biological process unknown
AA004811	ESTs	0.39	1	Biological process unknown
R54797	ESTs, Weakly similar to reverse transcriptase homolog	0.39	1	Biological process unknown
T95930	ESTs	0.4	1	Biological process unknown
AA058713	ESTs	0.41	1	Biological process unknown
T84865	ESTs	0.41	1	Biological process unknown
N46943	GGA binding partner	0.41	1	Biological process unknown
AA677403	Glycoprotein hormones, alpha polypeptide	0.42	1	Cell–cell signaling
AA872379	SMT3 suppressor of mif two 3 homolog 1 (yeast)	0.42	1	Biological process unknown
T96870	ESTs	0.42	1	Biological process unknown
AA610111	Hypothetical protein FLJ21868	0.43	1	Biological process unknown
AA400121	A-kinase anchoring protein 28	0.44	1	Biological process unknown
H72319	ESTs	0.44	1	Biological process unknown
H23124	Olfactomedin related ER localized protein	0.44	1	Biological process unknown
AA447515	MAX dimerization protein 4	0.44	1	Negative regulation of cell proliferation
N62914	EST	0.44	1	Biological process unknown
T53298	Insulin-like growth factor binding protein 7	0.45	1	Negative regulation of cell proliferation
AA421488	CDNA FLJ26472 fis, clone KDN04506	0.46	1	Biological process unknown
H93837	Apolipoprotein B (including Ag(x) antigen)	0.46	1	Lipid transport
N78306	ESTs	0.46	1	Biological process unknown
N32502	ESTs	0.46	1	Biological process unknown
AA488672	Kruppel-like factor 7 (ubiquitous)	0.47	1	Regulation of transcription from Pol II promoter
AA053815	Hypothetical protein FLJ11767	0.47	1	Biological process unknown
R02716	Hypothetical protein FLJ14639	0.47	1	Biological process unknown
AA701545	Ribonuclease, RNase A family, k6	0.47	1	RNA catabolism
R93069	ESTs	0.47	1	Biological process unknown
T54121	Cyclin E1	0.48	2	Regulation of cell cycle
H57309	Snail homolog 2 (Drosophila)	0.48	1	Development
T56948	Pumilio homolog 1 (Drosophila)	0.48	1	Biological process unknown
N93191	Voltage-dependent calcium channel gamma subunit-like protein	0.48	1	Biological process unknown
W33154	Formin binding protein 1	0.49	1	Biological process unknown
T95113	Viperin	0.49	1	Biological process unknown
AA679177	Butyrate-induced transcript 1	0.49	2	Activation of JUNK
W89074	ESTs	0.49	1	Biological process unknown
R97540	Down syndrome critical region gene 3	0.49	2	Intracellular protein transport
W60581	Brain expressed, X-linked 1	0.49	2	Biological process unknown
AA037352	Paired box gene 1	0.5	2	Biological process unknown
T53389	Fc fragment of IgG binding protein	0.5	1	Biological process unknown
N53480	Clone IMAGE:4794941, mRNA	0.5	3	Biological process unknown
AA410604	CDC16 cell division cycle 16 homolog (S. cerevisiae)	0.5	1	Cell cycle
N22827	Ferredoxin 1	0.5	1	Steroid metabolism
R95893	EST	0.5	1	Biological process unknown
AA872397	Lectin, galactoside-binding, soluble, 2 (galectin 2)	0.5	2	Heterophilic cell adhesion
H72588	ESTs	0.51	2	Biological process unknown
N92048	ESTs	0.51	1	Biological process unknown
N54793	ESTs	0.51	3	Biological process unknown
AA136699	ESTs	0.51	1	Biological process unknown
AA131466	Leukemia inhibitory factor receptor	0.51	4	Cell surface receptor linked signal transduction
N33331	Peroxisome proliferative activated receptor, delta	0.52	3	Lipid metabolism
AA668527	Mucosal vascular addressin cell adhesion molecule 1	0.52	5	Cell adhesion
AA677706	Lactotransferrin	0.52	3	Iron ion transport
AA459390	Hypothetical protein FLJ22169	0.53	6	Biological process unknown
W02624	Kelch repeat and BTB (POZ) domain containing 2	0.53	6	Biological process unknown
AA984940	Ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	0.53	11	RNA catabolism
AA464180	X-linked protein	0.53	9	Biological process unknown
R89765	Full-length insert cDNA clone YP91F02	0.54	11	Biological process unknown
AA102068	F-box and leucine-rich repeat protein 8	0.54	13	Biological process unknown
AA431429	ESTs, Weakly similar to A-kinase anchor protein DAKAP550 [D. melanogaster]	0.54	20	Biological process unknown
AA009671	ESTs	0.54	21	Biological process unknown
AA458965	Natural killer cell transcript 4	0.55	19	Cell adhesion
H51438	ESTs	0.55	24	Biological process unknown
AA447593	Dynein, axonemal, light intermediate polypeptide 1	0.55	26	Cell motility
T98717	ESTs	0.56	26	Biological process unknown
AA485358	Seven transmembrane domain protein	0.56	25	Biological process unknown
AA022935	Formin-like 2	0.56	27	Regulation of transcription, DNA-dependent
H87770	Full-length insert cDNA YI27F12	0.56	25	Biological process unknown
AA024866	Hypothetical protein FLJ32731	0.56	28	Biological process unknown
AA055992	Hypothetical protein MGC17791	0.57	28	Biological process unknown
R92446	Cytokine receptor-like molecule 9	0.57	28	Biological process unknown
AA443971	ESTs	0.57	29	Biological process unknown
N79813	CDNA FLJ45930 fis, clone PLACE7000707	0.59	28	Biological process unknown
W80688	Zinc finger, CW-type with coiled-coil domain 1	0.59	29	Biological process unknown
N72185	ESTs	0.6	30	Biological process unknown
AA136666	CDNA: FLJ22750 fis, clone KAIA0478	0.6	30	Biological process unknown
AA133167	KIAA1644 protein	0.6	30	Biological process unknown
T84703	ESTs	0.61	30	Biological process unknown
AA029997	Collagen, type IV, alpha 5 (Alport syndrome)	0.62	30	Biological process unknown
AA953975	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	0.62	30	I-kappaB kinase/NF-kappaB cascade
W88801	Trans-prenyltransferase	0.63	30	Isoprenoid biosynthesis
N70632	Alcohol dehydrogenase, iron containing, 1	0.65	30	Metabolism
AA701081	Leucine-rich repeat transmembrane neuronal 2 protein	0.65	30	Biological process unknown
W93482	LOC374841 (LOC374841), mRNA	0.67	30	Biological process unknown
R20886	Stanniocalcin 2	0.68	30	Cell–cell signaling
