Spotnr	GenBank_Acc	GENE_SYMBOL	UniGene_Hs	LNCaP_2h	LNCaP_4h	LNCaP_6h	LNCaP_8h
8915	AA004324	LOC90268	Hs.406335	0.15	0.415	0.925	0.86
2129	AA973461	PAK1IP1	Hs.310231	0.1	0.48	1.23	1.03
16987	R62340	PIK3AP1	Hs.310456	-0.15	0.5	1.295	1.16
9862	H16079	CTNNA2	Hs.167368	-0.13		1.24	1.115
6691	AI081274	STRN3	Hs.401843	0.2	0.68	0.985	0.685
101	T66832	PPFIBP2	Hs.16019	0.26	0.53	1	0.7
421	W85832	THRAP3	Hs.160211	0.31	0.35	0.95	0.8
13143	BC042605	FKBP5	Hs.407190	0.255	0.295	0.78	0.59
8664	AA975430	PER1	Hs.445534	0.27	0.325	0.765	0.56
2830	AA663123	SASH1	Hs.193133	0.14	0.89	0.93	0.95
1015	NM_006006	ZBTB16	Hs.356349	0.29	1.12	1.28	1.22
7673	R37234	ANKH	Hs.156727	0.36	1.105	1.39	1.425
4130	AA181179	CAMKK2	Hs.297343	0.215	0.92	1.105	1.155
9840	AA629844	LRRFIP2	Hs.475319	0.17	0.795	1.075	1.02
7367	H93424	APRIN	Hs.369263	0.195	0.765	1.01	0.965
15771	W81129	LEF1	Hs.125132	0.12	0.65	0.86	0.85
11809	N21237	SASH1	Hs.193133	0.105	0.8	1.045	1.06
16142	NM_030806	C1orf21	Hs.12532	0.125	0.84	1.405	1.185
8050	T61050	CYP2U1	Hs.109087	0.16	0.73	1.26	1.125
15305	NM_016121	KCTD3	Hs.239155	0.21	0.855	1.315	1.23
18948	AA043501	MAF	Hs.134859	0.52	1.155	1.15	1.71
4667	AA918646	KIAA0830	Hs.167115	0.24	0.77	0.775	1.09
15778	N45322	KIAA0826	Hs.446102	0.175	0.655	0.71	0.915
5323	AA976544	MLPH	Hs.102406	0.195	0.72	0.845	1.105
10584	T98201	FLJ11127	Hs.528644	0.51	2.245	2.645	3.41
6303	H09959	CHKA	Hs.77221	0.16	0.65	0.76	0.96
3393	AA430409	MGC13170	Hs.256301	0.15	0.52	0.68	0.83
962	H10192	LIFR	Hs.133421	0.32	1.15	1.52	1.99
7229	R82644	NDFIP2	Hs.525093	0.18	0.5	0.64	0.74
7223	H58234	ATAD2	Hs.370834	0.485	1.205	1.53	1.835
13680	AA479302	SLC39A10	Hs.413434	0.305	0.745	1.045	1.215
6091	AA708437	PIK3CB	Hs.239818	0.38	1.035	1.275	1.665
5766	AA165678	ABCC4	Hs.307915	0.15	0.98	1.015	1.375
1655	AA190825	TNFAIP8	Hs.271955	0.07	0.63	0.64	0.81
11738	R26068	PAK1IP1	Hs.310231	0.44	0.84	1.77	1.885
15378	R28188		Hs.107102	0.215	0.545	0.895	0.89
10303	AA455235	ALDH1A3	Hs.459538	0.415	0.97	1.455	1.545
13313	R51052	SPHAR	Hs.511754	0.265	0.805	1.14	1.14
4578	AK127226	CTNNA2	Hs.150917		1.125	2.025	1.98
3697	BC042605	FKBP5	Hs.407190	0.88	1.905	3.175	3.26
13272	R70479	TNFAIP3	Hs.211600	0.35	0.575	1.015	1.22
6429	H12784	KIAA0738	Hs.406492	0.33	0.455	0.835	0.985
16138	AA918648		Hs.126660	0.245	0.48	0.76	0.945
14578	R23241	SOCS2	Hs.485572	0.415	0.92	1.38	1.66
12221	N68465	UAP1	Hs.492859	0.355	0.665	1.02	1.225
17973	T62636	CXCR4	Hs.421986	0.34	0.7	1.12	1.47
12219	AA458682	FNBP1L	Hs.134060	0.38	0.895	1.055	0.89
5291	AA128214	AGPAT5	Hs.490899	0.345	0.715	0.88	0.73
15994	AA425020	RNF103	Hs.469199	0.37	0.67	0.85	0.755
17842	AA599005	LAMC1	Hs.497039	0.62	1.325	1.4	1.585
14002	T91225	C15orf23	Hs.525796	0.395	0.735	0.84	1.03
6624	NM_020859	ShrmL	Hs.408902	0.485	0.91	1.025	1.185
11396	N34436	MAF	Hs.134859	0.66	1.105	1.16	1.45
18520	AA431972	DNM1L	Hs.180628	0.45	0.97	1.155	1.23
2535	N47113	ATAD2	Hs.370834	0.55	1.19	1.51	1.67
16860	AA088701	TMEPAI	Hs.517155	0.345	0.835	1.025	1.145
8832	AA418000	KCNN2	Hs.98280	0.26	0.625	0.75	0.835
17294	R40970	OACT2	Hs.467634	0.55	1.07	1.38	1.61
10141	R72517	SPATA13	Hs.131017	0.35	0.935	1.04	1.06
17475	AI261741	TMPRSS2	Hs.439309	0.89	1.32	1.785	1.76
14688	D90041	NAT1	Hs.458430	0.62	0.96	1.23	1.225
10835	AA425543	MRPS28	Hs.521124	0.55	0.88	1.05	1.18
2270	AI352622	ARHGAP26	Hs.293593	0.43	0.66	0.81	0.88
9345	NM_138348	LOC90268	Hs.406335	0.505	0.735	0.895	0.945
738	H86812	HS3ST1	Hs.507348	0.43	0.66	0.76	0.84
9877	AA708976	CDC42EP3	Hs.369574	1.02	1.6	1.84	1.775
3317	AA490059	ENAH	Hs.497893	-0.03	0.49	0.45	0.76
12662	XM_093839	KIAA0826	Hs.169600	0.095	0.69	0.53	0.82
2623	R33439	SEMA7A	Hs.24640	0	0.7	0.49	0.9
15784	AA009629	CGI-121	Hs.157401	-0.17	0.8	0.74	0.95
16858	BC041856		Hs.444096	0.075	0.73	0.765	0.61
2511	R65775	LRCH1	Hs.507971	0.09	0.99	0.95	0.91
14159	R43666	UHRF2	Hs.493401	0.535	1.07	0.565	0.685
1312	R05934	ZNF589	Hs.19585	0.6	0.94	0.43	0.6
7691	AA991931	SEC24B	Hs.292472	0.615	1.455	1.075	0.96
7329	AA781491	SARG	Hs.32417	0.62	0.935	0.815	0.605
18113	AA491292	SLC39A10	Hs.413434	0.865	0.98	0.86	0.85
9709	AA707871	TIPARP	Hs.12813	1.215	1.755	1.835	1.71
19187	NM_000242	MBL2	Hs.2314	0.635	0.87	0.78	0.79
13844	AI081269		Hs.356481	0.7	0.885	0.9	0.805
11872	AI375353	SGK	Hs.296323	1.49	1.72	1.745	2.085
4002	W72231	MDS006	Hs.47668	0.715	0.79	0.91	0.985
6130	AA935554	RoXaN	Hs.474970	0.82	1.14	1.15	1.35
8530	AA931898	SARG	Hs.32417	0.845	1.28	1.22	1.305
5331	AA969822	LOC285458	Hs.487562	0.845	1.21	1.235	1.32
4704	BC013732	NAT1	Hs.155956		1.16	1.205	1.3
7302	N98509	ACSL3	Hs.471461	0.44	0.6	0.82	0.59
18388	W56300	NFKBIA	Hs.81328	0.63	0.645	0.88	0.69
4336	R70685	JAG1	Hs.224012	0.76	0.855	1.17	0.98
17703	AA115248	CDC42EP3	Hs.369574	0.93	1.005	1.785	1.52
7438	AA664069	LAMC1	Hs.497039	0.555	0.98	1.255	0.725
8230	W72436		Hs.501990	0.38	0.92	0.76	0.86
4922	N70776	FZD1	Hs.94234	0.37	0.905	0.79	0.98
1230	AA495819	KIAA0924	Hs.463375	0.35	0.72	0.59	0.86
6326	AA779417	HMGCR	Hs.11899	0.55	1.06	0.71	1.15
4305	N62766	NSMAF	Hs.372000		2	1.225	1.85
5578	AA404387	PDIR	Hs.477352	0.2	0.45	0.33	0.79
6952	AA278534	MGC34646	Hs.546504	0.275	0.52	0.415	0.82
12226	H74007	SGK	Hs.296323		0.89	0.56	1.31
9438	T63971	GPR116	Hs.362806	0.34	0.59	0.395	0.815
1758	N63447	KIAA1078	Hs.23585	0.15	0.57	0.22	0.67
5386	N32293	SEC24B	Hs.292472	0.045	0.07	0.575	1.05
8852	BX649143	CREB3L2	Hs.59943	0.17	0.13	0.34	0.805
14398	AA424938	PRKCA	Hs.531704	0.155	0.22	0.715	1.15
182	N67017	LIFR	Hs.133421	0.56	0.47	1.45	2.19
8841	R41414		Hs.130744	0.115	0.37	0.29	1.04
