Probe ID	Symbol	Name	P value	M	Fold	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
1424659_at	Slit2	slit homolog 2 (Drosophila)	0.001	1.031	2.0	1656 // metanephros development // inferred from mutant phenotype /// 6935 // chemotaxis // inferred from electronic annotation /// 7186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 7275 // development // inferred from electronic annotation /// 7399 // nervous system development // inferred from electronic annotation /// 7411 // axon guidance // inferred from direct assay /// 7411 // axon guidance // inferred from genetic interaction /// 30154 // cell differentiation // inferred from electronic annotation	5578 // extracellular matrix (sensu Metazoa) // inferred from electronic annotation /// 5615 // extracellular space // inferred from direct assay /// 16021 // integral to membrane // inferred from electronic annotation	4963 // follicle stimulating hormone receptor activity // inferred from electronic annotation /// 5102 // receptor binding // traceable author statement /// 5509 // calcium ion binding // inferred from electronic annotation	---
1432757_at	2900011L18Rik	RIKEN cDNA 2900011L18 gene	0.006	1.026	2.0	---	---	---	---
1443489_at	Vps13b	vacuolar protein sorting 13B (yeast)	0.018	0.981	2.0	6508 // proteolysis // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	8237 // metallopeptidase activity // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation	---
1421752_a_at	Serpinb5	serine (or cysteine) peptidase inhibitor, clade B, member 5	0.006	0.949	1.9	---	---	4867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation	---
1460657_at	Wnt10a	wingless related MMTV integration site 10a	0.001	0.937	1.9	7165 // signal transduction // traceable author statement /// 7223 // frizzled-2 signaling pathway // inferred from electronic annotation /// 7267 // cell-cell signaling // traceable author statement /// 7275 // development // inferred from electronic annotation /// 9887 // organ morphogenesis // traceable author statement /// 16055 // Wnt receptor signaling pathway // inferred from electronic annotation	5576 // extracellular region // Unknown /// 5615 // extracellular space // Unknown /// 5576 // extracellular region // inferred from electronic annotation	4871 // signal transducer activity // inferred from electronic annotation /// 5102 // receptor binding // traceable author statement	Wnt_Signaling // GenMAPP /// Wnt_Signaling // GenMAPP
1437917_at	D530037H12Rik	RIKEN cDNA D530037H12 gene	0.009	0.934	1.9	---	---	---	---
1418061_at	Ltbp2	latent transforming growth factor beta binding protein 2	0.003	0.915	1.9	8152 // metabolism // inferred from electronic annotation	---	5509 // calcium ion binding // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 19838 // growth factor binding // inferred from electronic annotation	---
1460347_at	Krt14	keratin 14	0.005	0.896	1.9	902 // cellular morphogenesis // Unknown /// 7010 // cytoskeleton organization and biogenesis // inferred from electronic annotation /// 8544 // epidermis development // Unknown	5882 // intermediate filament // inferred from electronic annotation /// 45095 // keratin filament // inferred from direct assay	5198 // structural molecule activity // inferred from electronic annotation /// 5200 // structural constituent of cytoskeleton // inferred from electronic annotation	---
1445641_at	Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	0.043	0.863	1.8	30497 // fatty acid elongation // inferred from direct assay	16021 // integral to membrane // Unknown /// 30176 // integral to endoplasmic reticulum membrane // inferred from direct assay /// 16021 // integral to membrane // inferred from electronic annotation	16747 // transferase activity, transferring groups other than amino-acyl groups // inferred from direct assay	---
1453646_at	Efna5	ephrin A5	0.041	0.847	1.8	7275 // development // inferred from electronic annotation /// 7399 // nervous system development // inferred from electronic annotation /// 30154 // cell differentiation // inferred from electronic annotation /// 31290 // retinal ganglion cell axon guidance // inferred from direct assay	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation	45499 // chemorepellant activity // inferred from direct assay /// 48503 // GPI anchor binding // inferred from electronic annotation	---
1443161_at	Trps1	trichorhinophalangeal syndrome I (human)	0.024	0.833	1.8	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 45892 // negative regulation of transcription, DNA-dependent // inferred from physical interaction	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // Unknown /// 5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 8270 // zinc ion binding // inferred from electronic annotation /// 16564 // transcriptional repressor activity // inferred from physical interaction /// 43565 // sequence-specific DNA binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
1427178_at	Tmc4	transmembrane channel-like gene family 4	0.003	0.822	1.8	---	16021 // integral to membrane // inferred from electronic annotation	---	---
1440068_at	Rfxdc2	regulatory factor X domain containing 2 homolog (human)	0.020	0.813	1.8	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from electronic annotation	---
1456159_at	Setd5	SET domain containing 5	0.015	0.807	1.7	---	---	---	---
1439327_at	Ccbe1	collagen and calcium binding EGF domains 1	0.001	0.805	1.7	6817 // phosphate transport // inferred from electronic annotation	5737 // cytoplasm // inferred from electronic annotation	5509 // calcium ion binding // inferred from electronic annotation	---
1416579_a_at	Tacstd1	tumor-associated calcium signal transducer 1	0.008	0.799	1.7	6952 // defense response // inferred from electronic annotation	5615 // extracellular space // Unknown /// 5886 // plasma membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown	---	---
1439586_at	Zbtb20	zinc finger and BTB domain containing 20	0.019	0.768	1.7	---	5634 // nucleus // inferred from direct assay /// 5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from direct assay /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	---
1422324_a_at	Pthlh	parathyroid hormone-like peptide	0.003	0.747	1.7	1501 // skeletal development // inferred from mutant phenotype /// 2076 // osteoblast development // inferred from mutant phenotype /// 7189 // G-protein signaling, adenylate cyclase activating pathway // inferred from sequence or structural similarity /// 7595 // lactation // inferred from electronic annotation /// 30282 // bone mineralization // inferred from mutant phenotype /// 30855 // epithelial cell differentiation // inferred from mutant phenotype /// 43129 // surfactant homeostasis // inferred from mutant phenotype /// 48286 // alveolus development // inferred from mutant phenotype /// 6874 // calcium ion homeostasis // traceable author statement	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // Unknown /// 5615 // extracellular space // traceable author statement /// 5634 // nucleus // inferred from electronic annotation	5179 // hormone activity // traceable author statement /// 5509 // calcium ion binding // inferred from electronic annotation /// 5179 // hormone activity // inferred from electronic annotation	---
1458075_at	Dst	dystonin	0.013	0.740	1.7	7050 // cell cycle arrest // Unknown /// 7155 // cell adhesion // inferred from electronic annotation /// 8090 // retrograde axon cargo transport // inferred from mutant phenotype /// 45104 // intermediate filament cytoskeleton organization and biogenesis // inferred from sequence or structural similarity /// 7050 // cell cycle arrest // inferred from electronic annotation	5856 // cytoskeleton // inferred from electronic annotation /// 16023 // cytoplasmic membrane-bound vesicle // inferred from sequence or structural similarity /// 30056 // hemidesmosome // inferred from direct assay /// 5737 // cytoplasm // inferred from sequence or structural similarity	3779 // actin binding // inferred from electronic annotation /// 5198 // structural molecule activity // inferred from electronic annotation /// 5509 // calcium ion binding // Unknown /// 5515 // protein binding // inferred from sequence or structural similarity /// 5515 // protein binding // inferred from physical interaction /// 5200 // structural constituent of cytoskeleton // inferred from sequence or structural similarity /// 5515 // protein binding // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from electronic annotation	---
1458263_at	Cugbp2	CUG triplet repeat, RNA binding protein 2	0.043	0.729	1.7	6376 // mRNA splice site selection // inferred from direct assay	5625 // soluble fraction // inferred from direct assay /// 5634 // nucleus // inferred from direct assay /// 5634 // nucleus // inferred from sequence or structural similarity	3723 // RNA binding // inferred from electronic annotation /// 166 // nucleotide binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation	mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP /// mRNA_processing_Reactome // GenMAPP
1441437_at	Rbms1	RNA binding motif, single stranded interacting protein 1	0.022	0.722	1.6	6260 // DNA replication // Unknown /// 6260 // DNA replication // inferred from electronic annotation	5634 // nucleus // Unknown /// 5634 // nucleus // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 3690 // double-stranded DNA binding // Unknown /// 3697 // single-stranded DNA binding // Unknown /// 3723 // RNA binding // Unknown /// 3723 // RNA binding // inferred from electronic annotation	mRNA_processing_binding_Reactome // GenMAPP
1456344_at	Tnc	tenascin C	0.019	0.720	1.6	7528 // neuromuscular junction development // inferred from mutant phenotype	5604 // basement membrane // inferred from direct assay /// 5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	1968 // fibronectin binding // inferred from sequence or structural similarity	---
1446860_at	Gab2	growth factor receptor bound protein 2-associated protein 2	0.007	0.720	1.6	7229 // integrin-mediated signaling pathway // inferred from direct assay /// 16477 // cell migration // inferred from direct assay	---	4872 // receptor activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction	---
1446906_at	C81615	expressed sequence C81615	0.009	0.716	1.6	---	---	---	---
1418736_at	B3galnt1	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1	0.002	0.710	1.6	6486 // protein amino acid glycosylation // Unknown /// 9312 // oligosaccharide biosynthesis // inferred from direct assay /// 6486 // protein amino acid glycosylation // inferred from electronic annotation	5615 // extracellular space // Unknown /// 16020 // membrane // Unknown /// 16021 // integral to membrane // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	287 // magnesium ion binding // inferred from electronic annotation /// 8378 // galactosyltransferase activity // Unknown /// 8499 // UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity // inferred from direct assay /// 16740 // transferase activity // inferred from electronic annotation /// 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 47273 // galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity // inferred from electronic annotation /// 8378 // galactosyltransferase activity // inferred from electronic annotation	---
1456983_at	Trps1	trichorhinophalangeal syndrome I (human)	0.028	0.704	1.6	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 45892 // negative regulation of transcription, DNA-dependent // inferred from physical interaction	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // Unknown /// 5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 8270 // zinc ion binding // inferred from electronic annotation /// 16564 // transcriptional repressor activity // inferred from physical interaction /// 43565 // sequence-specific DNA binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
1450716_at	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	0.007	0.703	1.6	1542 // ovulation (sensu Mammalia) // inferred from mutant phenotype /// 1822 // kidney development // inferred from mutant phenotype /// 6508 // proteolysis // inferred from electronic annotation /// 7229 // integrin-mediated signaling pathway // inferred from electronic annotation /// 16525 // negative regulation of angiogenesis // inferred from sequence or structural similarity	5578 // extracellular matrix (sensu Metazoa) // inferred from electronic annotation /// 5604 // basement membrane // inferred from direct assay /// 31012 // extracellular matrix // inferred from direct assay /// 31410 // cytoplasmic vesicle // inferred from direct assay /// 31012 // extracellular matrix // inferred from electronic annotation	4222 // metalloendopeptidase activity // inferred from direct assay /// 4222 // metalloendopeptidase activity // inferred from mutant phenotype /// 4222 // metalloendopeptidase activity // inferred from sequence or structural similarity /// 5515 // protein binding // inferred from physical interaction /// 8201 // heparin binding // inferred from direct assay /// 8233 // peptidase activity // inferred from electronic annotation /// 8237 // metallopeptidase activity // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 4222 // metalloendopeptidase activity // inferred from electronic annotation /// 8201 // heparin binding // inferred from electronic annotation	---
1444515_at	Myo1d	myosin ID	0.039	0.692	1.6	7010 // cytoskeleton organization and biogenesis // inferred from electronic annotation	5856 // cytoskeleton // inferred from electronic annotation /// 16459 // myosin // Unknown /// 16459 // myosin // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 3774 // motor activity // Unknown /// 3779 // actin binding // inferred from electronic annotation /// 5516 // calmodulin binding // inferred from electronic annotation /// 5524 // ATP binding // Unknown /// 3774 // motor activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation	---
1418076_at	St14	suppression of tumorigenicity 14 (colon carcinoma)	0.003	0.678	1.6	6508 // proteolysis // inferred from electronic annotation /// 16477 // cell migration // traceable author statement	5576 // extracellular region // inferred from direct assay /// 5887 // integral to plasma membrane // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 19897 // extrinsic to plasma membrane // inferred from direct assay /// 16021 // integral to membrane // inferred from electronic annotation	4252 // serine-type endopeptidase activity // inferred from electronic annotation /// 4263 // chymotrypsin activity // Unknown /// 8233 // peptidase activity // inferred from electronic annotation /// 8236 // serine-type peptidase activity // inferred from direct assay /// 16787 // hydrolase activity // inferred from electronic annotation	---
1440905_at	Hs2st1	heparan sulfate 2-O-sulfotransferase 1	0.020	0.674	1.6	15014 // heparan sulfate proteoglycan biosynthesis, polysaccharide chain biosynthesis // inferred from mutant phenotype /// 30202 // heparin metabolism // inferred from mutant phenotype	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4394 // heparan sulfate 2-O-sulfotransferase activity // inferred from mutant phenotype /// 16740 // transferase activity // inferred from electronic annotation	---
1457191_at	NA	NA	0.029	0.656	1.6	---	---	---	---
1430152_at	Eps15	epidermal growth factor receptor pathway substrate 15	0.038	0.655	1.6	---	---	4872 // receptor activity // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction	---
1427387_a_at	Itgb4	integrin beta 4	0.004	0.649	1.6	7155 // cell adhesion // inferred from mutant phenotype /// 7155 // cell adhesion // Unknown /// 7160 // cell-matrix adhesion // Unknown /// 7229 // integrin-mediated signaling pathway // Unknown /// 7275 // development // Unknown /// 46847 // filopodium formation // inferred from mutant phenotype /// 7154 // cell communication // inferred from electronic annotation /// 7155 // cell adhesion // inferred from electronic annotation /// 7160 // cell-matrix adhesion // inferred from electronic annotation /// 7229 // integrin-mediated signaling pathway // inferred from electronic annotation	8305 // integrin complex // inferred from direct assay /// 8305 // integrin complex // Unknown /// 9925 // basal plasma membrane // inferred from direct assay /// 16021 // integral to membrane // Unknown /// 8305 // integrin complex // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4872 // receptor activity // Unknown /// 5515 // protein binding // inferred from electronic annotation	Integrin-mediated_cell_adhesion_KEGG // GenMAPP /// Integrin-mediated_cell_adhesion_KEGG // GenMAPP
1451190_a_at	Sbk1	SH3-binding kinase 1	0.006	0.646	1.6	6468 // protein amino acid phosphorylation // Unknown /// 6468 // protein amino acid phosphorylation // inferred from electronic annotation	---	166 // nucleotide binding // inferred from electronic annotation /// 4672 // protein kinase activity // Unknown /// 4674 // protein serine/threonine kinase activity // inferred from sequence or structural similarity /// 4674 // protein serine/threonine kinase activity // Unknown /// 4713 // protein-tyrosine kinase activity // Unknown /// 5524 // ATP binding // Unknown /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 4672 // protein kinase activity // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation	---
1430191_at	Ddef1	development and differentiation enhancing	0.015	0.641	1.6	6355 // regulation of transcription, DNA-dependent // Unknown /// 43087 // regulation of GTPase activity // inferred from electronic annotation	5634 // nucleus // Unknown /// 16020 // membrane // inferred from electronic annotation	3677 // DNA binding // Unknown /// 3700 // transcription factor activity // Unknown /// 5096 // GTPase activator activity // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction	---
1446304_at	Lrrc8d	leucine rich repeat containing 8D	0.044	0.635	1.6	---	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	---	---
1442069_at	D5Wsu178e	DNA segment, Chr 5, Wayne State University 178, expressed	0.041	0.633	1.6	8654 // phospholipid biosynthesis // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	8430 // selenium binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	---
1456960_at	Adk	adenosine kinase	0.033	0.621	1.5	6166 // purine ribonucleoside salvage // inferred from direct assay /// 6166 // purine ribonucleoside salvage // inferred from electronic annotation	5634 // nucleus // inferred from direct assay	287 // magnesium ion binding // inferred from electronic annotation /// 4001 // adenosine kinase activity // inferred from direct assay /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 4001 // adenosine kinase activity // inferred from electronic annotation	Purine metabolism // KEGG
1422053_at	Inhba	inhibin beta-A	0.001	0.618	1.5	40007 // growth // inferred from electronic annotation	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // Unknown	5179 // hormone activity // inferred from electronic annotation /// 8083 // growth factor activity // inferred from electronic annotation	TGF_Beta_Signaling_Pathway // GenMAPP
1457044_at	4732474O15Rik	RIKEN cDNA 4732474O15 gene	0.030	0.616	1.5	---	---	---	---
1430033_at	5330431K02Rik	RIKEN cDNA 5330431K02 gene	0.036	0.613	1.5	---	---	---	---
1427095_at	Cdcp1	CUB domain containing protein 1	0.017	0.610	1.5	---	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	---	---
1437385_at	Ccbe1	collagen and calcium binding EGF domains 1	0.039	0.598	1.5	6817 // phosphate transport // inferred from electronic annotation	5737 // cytoplasm // inferred from electronic annotation	5509 // calcium ion binding // inferred from electronic annotation	---
1459571_at	Sh3bgrl	SH3-binding domain glutamic acid-rich protein like	0.041	0.592	1.5	---	---	---	---
1441769_at	Arl15	ADP-ribosylation factor-like 15	0.038	0.587	1.5	---	---	5525 // GTP binding // inferred from electronic annotation	---
1417757_at	Unc13b	unc-13 homolog B (C. elegans)	0.026	0.583	1.5	6887 // exocytosis // inferred from electronic annotation /// 7242 // intracellular signaling cascade // Unknown /// 7268 // synaptic transmission // inferred from mutant phenotype /// 16082 // synaptic vesicle priming // inferred from mutant phenotype /// 7242 // intracellular signaling cascade // inferred from electronic annotation	19717 // synaptosome // inferred from electronic annotation /// 45202 // synapse // inferred from electronic annotation	1566 // non-kinase phorbol ester receptor activity // traceable author statement /// 8270 // zinc ion binding // inferred from electronic annotation /// 19992 // diacylglycerol binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
1460474_at	2610028L16Rik	RIKEN cDNA 2610028L16 gene	0.041	0.582	1.5	---	---	---	---
1444890_at	AA536749	expressed sequence AA536749	0.043	0.575	1.5	---	5856 // cytoskeleton // inferred from electronic annotation	3779 // actin binding // inferred from electronic annotation	---
1453140_at	9030612M13Rik	RIKEN cDNA 9030612M13 gene	0.021	0.572	1.5	6355 // regulation of transcription, DNA-dependent // Unknown /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5622 // intracellular // Unknown /// 5634 // nucleus // inferred from electronic annotation /// 5622 // intracellular // inferred from electronic annotation	3676 // nucleic acid binding // Unknown /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation	---
1460190_at	Ap1m2	adaptor protein complex AP-1, mu 2 subunit	0.028	0.569	1.5	6810 // transport // inferred from electronic annotation /// 6886 // intracellular protein transport // traceable author statement /// 15031 // protein transport // inferred from electronic annotation /// 16192 // vesicle-mediated transport // traceable author statement /// 6886 // intracellular protein transport // inferred from electronic annotation	5802 // Golgi trans face // traceable author statement /// 5905 // coated pit // inferred from electronic annotation /// 30125 // clathrin vesicle coat // inferred from electronic annotation	---	---
1440977_at	Akap13	A kinase (PRKA) anchor protein 13	0.032	0.568	1.5	7242 // intracellular signaling cascade // inferred from electronic annotation /// 35023 // regulation of Rho protein signal transduction // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation	16301 // kinase activity // inferred from electronic annotation /// 5089 // Rho guanyl-nucleotide exchange factor activity // inferred from electronic annotation	---
