Probe.Set.ID	Chromosome	Cytoband	Gene.Symbol	LogFold
202080_s_at	3	p22.1	TRAK1	-0.65
214924_s_at	3	p22.1	TRAK1	-0.73
218078_s_at	3	p21.31	ZDHHC3	1.35
218437_s_at	3	p21.31	LZTFL1	-1.55
222125_s_at	3	p21.31	PH-4	-1.2
217734_s_at	3	p21.31	WDR6	-0.88
209177_at	3	p21.31	C3orf60	-0.59
216264_s_at	3	p21.31	LAMB2	-1.32
204294_at	3	p21.31	AMT	-1.31
205614_x_at	3	p21.31	MST1	-1.5
216320_x_at	3	p21.31	MST1	-1.51
209730_at	3	p21.31	SEMA3F	-0.74
35666_at	3	p21.31	SEMA3F	-0.77
203071_at	3	p21.31	SEMA3B	-1.89
203245_s_at	3	p21.31	FLJ35348	-1.07
216267_s_at	3	p21.31	TMEM115	-1
204811_s_at	3	p21.31	CACNA2D2	-2.49
219114_at	3	p21.31	C3orf18	-0.88
210006_at	3	p21.1	ABHD14A	-0.94
218051_s_at	3	p21.1	NT5DC2	3.23
218147_s_at	3	p21.1	GLT8D1	-0.75
208613_s_at	3	p14.3	FLNB	-1.26
208614_s_at	3	p14.3	FLNB	-1.88
222372_at	3	p14.1	MAGI1	-1.67
215221_at	3	p14.1	FOXP1	-1.4
213194_at	3	p12.3	ROBO1	1.4
205383_s_at	3	q13.31	ZBTB20	-0.95
222357_at	3	q13.31	ZBTB20	-1.22
202057_at	3	q21.1	KPNA1	-1.33
201124_at	3	q21.2	ITGB5	-1.61
212010_s_at	3	q22.1	CDV3	-0.74
219414_at	3	q23	CLSTN2	-4.19
208836_at	3	q23	ATP1B3	0.8
212061_at	3	q23	SR140	-0.81
205357_s_at	3	q24	AGTR1	-6.49
208016_s_at	3	q24	AGTR1	-4.55
205509_at	3	q24	CPB1	-10.15
209339_at	3	q25.1	SIAH2	-2.04
213923_at	3	q25.2	RAP2B	1.21
203435_s_at	3	q25.2	MME	-0.99
214431_at	3	q25.31	GMPS	0.83
204784_s_at	3	q25.32	MLF1	-0.94
205352_at	3	q26.1	SERPINI1	-1.72
201636_at	3	q26.33	FXR1	-0.75
221904_at	3	q27.1	C3orf40	-0.99
211248_s_at	3	q27.1	CHRD	-1.51
202822_at	3	q28	LPP	-0.66
203839_s_at	3	q29	TNK2	-1.09
208691_at	3	q29	TFRC	1.45
207332_s_at	3	q29	TFRC	1.38
205059_s_at	4	p16.3	IDUA	-1.66
203600_s_at	4	p16.3	C4orf8	-0.96
219686_at	4	p16.2	STK32B	-2.79
202908_at	4	p16.1	WFS1	-1
209004_s_at	4	p15.33	FBXL5	-0.82
212311_at	4	p15.2	KIAA0746	2.77
212314_at	4	p15.2	KIAA0746	2.78
220917_s_at	4	p14	WDR19	-1.6
212970_at	4	p14		-0.72
218095_s_at	4	q12	TPARL	1.15
208004_at	4	q13.3	PROL1	-4.02
202769_at	4	q21.1	CCNG2	-1.07
213359_at	4	q21.22	HNRPD	-1
209068_at	4	q21.22	HNRPDL	-0.88
218042_at	4	q21.22	COPS4	-1
212606_at	4	q21.23	WDFY3	-0.72
204201_s_at	4	q21.3	PTPN13	-1.13
203688_at	4	q22.1	PKD2	-0.6
213684_s_at	4	q22.3	PDLIM5	-1.2
210523_at	4	q22.3	BMPR1B	-2.31
200853_at	4	q23	H2AFZ	0.62
211569_s_at	4	q25	HADHSC	-0.89
201036_s_at	4	q25	HADHSC	-0.88
219023_at	4	q25	C4orf16	-1.08
212779_at	4	q27	KIAA1109	-0.59
203822_s_at	4	q31.1	ELF2	-0.71
212956_at	4	q31.21	TBC1D9	-1.95
212960_at	4	q31.21	TBC1D9	-2.7
214109_at	4	q31.3	LRBA	-2.07
212692_s_at	4	q31.3	LRBA	-1.1
209146_at	4	q32.3	SC4MOL	1.18
201572_x_at	4	q35.1	DCTD	-0.59
210137_s_at	4	q35.1	DCTD	-0.64
218179_s_at	4	q35.1	FLJ12716	-0.79
208696_at	5	p15.2	CCT5	0.63
201976_s_at	5	p15.1	MYO10	1.59
221727_at	5	p13.3		-1.71
205798_at	5	p13.2	IL7R	2.86
206550_s_at	5	p13.2	NUP155	0.6
221750_at	5	p12	HMGCS1	1.02
205822_s_at	5	p12	HMGCS1	0.65
202783_at	5	p12	NNT	-0.85
202784_s_at	5	p12	NNT	-1.01
218398_at	5	p12	MRPS30	-3.87
222275_at	5	p12		-3
212195_at	5	q11.2	IL6ST	-1.5
212196_at	5	q11.2	IL6ST	-1.33
211000_s_at	5	q11.2	IL6ST	-2.05
40016_g_at	5	q12.3	MAST4	-1.24
210958_s_at	5	q12.3	MAST4	-1.17
214800_x_at	5	q13.2	BTF3	-0.73
209662_at	5	q14.3	CETN3	-1.2
203791_at	5	q23.1	DMXL1	-1.36
210260_s_at	5	q23.1	TNFAIP8	1.44
203024_s_at	5	q31.1	C5orf15	-0.81
200719_at	5	q31.1	SKP1A	-1.3
200711_s_at	5	q31.1	SKP1A	-0.66
207974_s_at	5	q31.1	SKP1A	-0.61
212660_at	5	q31.1	PHF15	-1.6
203538_at	5	q31.1	CAMLG	-0.91
202227_s_at	5	q31.2	BRD8	-0.89
202892_at	5	q31.2	CDC23	-0.59
201643_x_at	5	q31.2	JMJD1B	-0.69
210878_s_at	5	q31.2	JMJD1B	-0.89
204020_at	5	q31.3	PURA	-0.63
214919_s_at	5	q31.3	EIF4EBP3, MASK-BP3	-0.96
204650_s_at	5	q31.3	APBB3	-0.82
217800_s_at	5	q31.3	NDFIP1	-0.71
208866_at	5	q33.1	CSNK1A1	-1.09
218134_s_at	5	q33.1	RBM22	-0.62
218013_x_at	5	q33.1	DCTN4	-1.02
218588_s_at	5	q33.2	C5orf3	-0.81
213160_at	5	q35.1	DOCK2	2.17
205044_at	5	q35.1	GABRP	-2.41
203047_at	5	q35.1	STK10	1.29
203438_at	5	q35.2	STC2	-2.37
203439_s_at	5	q35.2	STC2	-3.29
218262_at	5	q35.3	RMND5B	-0.6
220341_s_at	5	q35.3	LOC51149	-0.61
221897_at	5	q35.3	TRIM52	-0.74
209723_at	6	p25.2	SERPINB9	1.86
200889_s_at	6	p24.3	SSR1	1.12
221253_s_at	6	p24.3	TXNDC5	0.97
204653_at	6	p24.3	TFAP2A	-1.07
204654_s_at	6	p24.3	TFAP2A	-0.94
213712_at	6	p24.2	ELOVL2	-5.81
213838_at	6	p23	NOL7	-0.98
212551_at	6	p22.3	CAP2	-2.04
212554_at	6	p22.3	CAP2	-1.48
203420_at	6	p22.3	FAM8A1	-0.66
204820_s_at	6	p22.1	BTN3A3, BTN3A2	0.95
209787_s_at	6	p22.1	HMGN4	-0.86
201702_s_at	6	p21.33	PPP1R10	1.06
211714_x_at	6	p21.33	TUBB	0.59
209826_at	6	p21.32	EGFL8, LOC653870	-0.87
209110_s_at	6	p21.32	RGL2	-0.63
202928_s_at	6	p21.32	PHF1	-0.8
40446_at	6	p21.32	PHF1	-0.59
221488_s_at	6	p21.32	CUTA	-0.7
206074_s_at	6	p21.31	HMGA1	1.01
207494_s_at	6	p21.31	ZNF76	-0.61
213208_at	6	p21.1	KIAA0240	-0.69
38892_at	6	p21.1	KIAA0240	-1.15
210513_s_at	6	p21.1	VEGF	0.97
219833_s_at	6	p12.2	EFHC1	-1.59
212991_at	6	p12.1	FBXO9	-1.73
217954_s_at	6	q12	PHF3	-0.8
217952_x_at	6	q12	PHF3	-0.59
218191_s_at	6	q13	LMBRD1	-0.92
203476_at	6	q14.1	TPBG	-0.8
217834_s_at	6	q14.3	SYNCRIP	0.67
209024_s_at	6	q14.3	SYNCRIP	1.24
209025_s_at	6	q14.3	SYNCRIP	1.57
217825_s_at	6	q15	UBE2J1	0.93
202511_s_at	6	q21	ATG5	1.35
201914_s_at	6	q21	SEC63	1.02
210648_x_at	6	q21	SNX3	0.67
200067_x_at	6	q21	SNX3	0.76
201668_x_at	6	q22.1	MARCKS	2.78
213002_at	6	q22.1	MARCKS	1.4
212631_at	6	q23.2	STX7	1.13
204798_at	6	q23.3	MYB	-2.02
203430_at	6	q23.3	HEBP2	0.91
218195_at	6	q25.1	C6orf211	-2.12
205225_at	6	q25.1	ESR1	-4.38
215552_s_at	6	q25.1	ESR1	-2.1
217234_s_at	6	q25.3	VIL2	1.23
222010_at	6	q25.3	TCP1	0.98
201392_s_at	6	q25.3	IGF2R	0.91
214124_x_at	6	q27		-0.89
90265_at	7	p22.3	CENTA1	-0.62
200700_s_at	7	p22.1	KDELR2	1.27
213546_at	7	p15.1	DKFZp586I1420	-0.68
215380_s_at	7	p15.1	C7orf24	1.37
213424_at	7	p14.2	KIAA0895	-0.65
214435_x_at	7	p14.1	RALA	2.05
205201_at	7	p14.1	GLI3	-1.56
213245_at	7	p13	ADCY1	-6.14
201816_s_at	7	p11.2	GBAS	-0.76
210087_s_at	7	q11.21	MPZL1	1.31
210891_s_at	7	q11.23	GTF2I, GTF2IP1, LOC649791	-0.76
201065_s_at	7	q11.23	GTF2I, GTF2IP1, LOC649791	-0.59
221191_at	7	q11.23	DKFZP434A0131	-0.71
208928_at	7	q11.23	POR	1.06
213142_x_at	7	q11.23	LOC54103	-1.1
222150_s_at	7	q11.23	LOC54103	-1.22
208920_at	7	q21.12	SRI	-1.56
219455_at	7	q21.13	FLJ21062	-1.16
34031_i_at	7	q21.2	KRIT1	-0.66
214718_at	7	q21.2	GATAD1	-0.82
208503_s_at	7	q21.2	GATAD1	-0.84
213018_at	7	q21.2	GATAD1	-1.49
214808_at	7	q22.1		-0.79
212706_at	7	q22.1	RASA4, FLJ21767	-1.2
208540_x_at	7	q22.1	S100A11	0.74
202719_s_at	7	q31.2	TES	1.11
218507_at	7	q32.1	HIG2	2.77
200756_x_at	7	q32.1	CALU	1.12
200757_s_at	7	q32.1	CALU	0.68
214845_s_at	7	q32.1	CALU	1.35
209465_x_at	7	q33	PTN	-3.27
217842_at	7	q34	LUC7L2	-0.88
219028_at	7	q34	HIPK2	-0.95
221778_at	7	q34	KIAA1718	1.08
211796_s_at	7	q34	TRBV21-1, TRBV19, TRBV5-4, TRBV3-1, TRBC1, LOC647353	2.82
210915_x_at	7	q34	TRBV19, TRBC1	4.42
213193_x_at	7	q34	TRBV19, TRBC1	3.62
206827_s_at	7	q34	TRPV6	1.55
213367_at	7	q36.1	LOC155060	-0.66
204099_at	7	q36.1	SMARCD3	-1.13
212825_at	7	q36.2	PAXIP1	-1.29
202561_at	8	p23.1	TNKS	-2.31
222368_at	8	p23.1	LOC389634	-1.73
209228_x_at	8	p22	TUSC3	-1.03
213423_x_at	8	p22	TUSC3	-1.21
218250_s_at	8	p22	CNOT7	-0.76
202174_s_at	8	p22	PCM1	-0.98
214937_x_at	8	p22	PCM1	-0.99
214118_x_at	8	p22	PCM1	-0.87
210980_s_at	8	p22	ASAH1	-0.86
213902_at	8	p22	ASAH1	-1.11
214440_at	8	p22	NAT1	-3.99
219049_at	8	p21.3	ChGn	2.19
212166_at	8	p21.3	XPO7	-0.77
212110_at	8	p21.3	SLC39A14	-0.91
209253_at	8	p21.3	SORBS3	-0.67
212866_at	8	p21.3	R3HCC1	-0.62
35156_at	8	p21.3	R3HCC1	-0.73
218823_s_at	8	p21.2	KCTD9	-0.94
202313_at	8	p21.2	PPP2R2A	-1.16
221479_s_at	8	p21.2	BNIP3L	-0.76
221478_at	8	p21.2	BNIP3L	-1.04
209368_at	8	p21.1	EPHX2	-1.67
218149_s_at	8	p21.1	ZNF395	-1.66
221123_x_at	8	p21.1	ZNF395	-1.57
219683_at	8	p21.1	FZD3	-0.68
203941_at	8	p21.1	RC74	-0.63
202962_at	8	p21.1	KIF13B	-2.23
203261_at	8	p12	DCTN6	-0.9
205770_at	8	p12	GSR	1.37
205667_at	8	p12	WRN	-0.79
221543_s_at	8	p12	SPFH2	-2.01
212690_at	8	p12	DDHD2	-1.32
222164_at	8	p12	FGFR1	-2.89
211535_s_at	8	p12	FGFR1	-1.27
202037_s_at	8	p11.21	SFRP1	-1.82
202423_at	8	p11.21	MYST3	-0.75
201860_s_at	8	p11.21	PLAT	-1.74
209342_s_at	8	p11.21	IKBKB	-1.23
209341_s_at	8	p11.21	IKBKB	-1.42
203616_at	8	p11.21	POLB	-0.7
209471_s_at	8	p11.21	FNTA	-0.63
212141_at	8	q11.21	MCM4	1.45
202034_x_at	8	q11.23	RB1CC1	-0.74
221959_at	8	q12.1	C8orf72	-1.75
203207_s_at	8	q13.1	MTFR1	3.4
220038_at	8	q13.1	SGK3	-4.53
203449_s_at	8	q21.11	TERF1	-0.8
203448_s_at	8	q21.11	TERF1	-1.32
212637_s_at	8	q21.3	WWP1	-1.65
212638_s_at	8	q21.3	WWP1	-1.04
218273_s_at	8	q22.1	PPM2C	3.49
202350_s_at	8	q22.1	MATN2	-2.22
201754_at	8	q22.2	COX6C	-1.63
208883_at	8	q22.3	EDD1	-0.87
218692_at	8	q23.2	FLJ20366	-1.56
218502_s_at	8	q23.3	TRPS1	-1.58
201985_at	8	q24.13	KIAA0196	-0.73
215474_at	8	q24.13	C8orf36	-1.26
206483_at	8	q24.22	LRRC6	-3.35
205089_at	8	q24.3	ZNF7	-1.26
213005_s_at	9	p24.3	ANKRD15	-0.89
206544_x_at	9	p24.3	SMARCA2	-1.16
206542_s_at	9	p24.3	SMARCA2	-0.85
217707_x_at	9	p24.3	SMARCA2	-0.73
209122_at	9	p22.1	ADFP	1.47
219174_at	9	p21.2	IFT74	-1.02
211475_s_at	9	p13.3	BAG1	-2.08
202387_at	9	p13.3	BAG1	-2.85
218085_at	9	p13.3	CHMP5	-0.9
210072_at	9	p13.3	CCL19	3.36
208628_s_at	9	p13.3	YBX1	0.75
208627_s_at	9	p13.3	YBX1	1.01
219001_s_at	9	p13.2	WDR32	-2.31
204479_at	9	q21.13	OSTF1	0.78
203222_s_at	9	q21.31	TLE1	1.47
221795_at	9	q21.33	NTRK2	-4.2
221796_at	9	q21.33	NTRK2	-3.21
203139_at	9	q21.33	DAPK1	2
203574_at	9	q22.31	NFIL3	2.5
209696_at	9	q22.32	FBP1	-1.51
209520_s_at	9	q22.33	NCBP1	1.09
203133_at	9	q22.33	SEC61B	0.61
208959_s_at	9	q31.1	TXNDC4	0.76
214855_s_at	9	q31.2	GARNL1	-0.79
203971_at	9	q32	SLC31A1	0.87
47553_at	9	q32	DFNB31	-1.18
210825_s_at	9	q33.2	PEBP1	-0.59
217808_s_at	9	q33.3	MAPKAP1	0.8
208611_s_at	9	q34.11	SPTAN1	-0.78
214925_s_at	9	q34.11	SPTAN1	-1.26
215235_at	9	q34.11	SPTAN1	-0.65
212712_at	9	q34.3	CAMSAP1	0.63
218862_at	10	p15.1	ASB13	-1.76
209604_s_at	10	p14	GATA3	-1.97
209602_s_at	10	p14	GATA3	-2.7
209603_at	10	p14	GATA3	-3.19
201980_s_at	10	p13	RSU1	0.65
211421_s_at	10	q11.21	RET	-2.48
217653_x_at	10	q11.22	LOC653471, LOC654000	-0.62
218976_at	10	q21.3	DNAJC12	-3.07
212453_at	10	q21.3	KIAA1279	-0.88
213463_s_at	10	q22.2	KIAA0974	-0.63
211668_s_at	10	q22.2	PLAU	2.22
212452_x_at	10	q22.2	MYST4	-1.46
212462_at	10	q22.2		-1.43
214496_x_at	10	q22.2	MYST4	-1.06
212267_at	10	q23.2	WAPAL	-0.72
203571_s_at	10	q23.2	C10orf116	-1.25
204284_at	10	q23.32	PPP1R3C	-2.99
201798_s_at	10	q23.33	FER1L3	-0.76
211864_s_at	10	q23.33	FER1L3	-1.03
221858_at	10	q23.33	TBC1D12	-0.93
218087_s_at	10	q23.33	SORBS1	-1.48
212738_at	10	q24.1	ARHGAP19	-0.76
37577_at	10	q24.1	ARHGAP19	-0.7
219889_at	10	q24.1	FRAT1	-0.6
212838_at	10	q24.2	DNMBP	-0.8
221519_at	10	q24.32	FBXW4	-0.9
214857_at	10	q24.32	C10orf95	-0.75
202641_at	10	q24.32	ARL3	-0.98
206874_s_at	10	q25.1		-0.98
210461_s_at	10	q25.3	ABLIM1	0.82
203638_s_at	10	q26.13	FGFR2	-2.6
208228_s_at	10	q26.13	FGFR2	-2.11
203639_s_at	10	q26.13	FGFR2	-1.36
203187_at	10	q26.2	DOCK1	-0.86
209080_x_at	10	q26.3	TXNL2	0.69
221951_at	11	p15.5	TMEM80	-0.97
65630_at	11	p15.5	TMEM80	-1.12
204981_at	11	p15.4	SLC22A18	-1.59
219557_s_at	11	p15.4	NRIP3	-4.71
219197_s_at	11	p15.4	SCUBE2	-3.67
202060_at	11	p15.3	CTR9	-0.96
203675_at	11	p15.1	NUCB2	-1.3
218330_s_at	11	p15.1	NAV2	-1.53
221568_s_at	11	p14.1	LIN7C	-0.71
211975_at	11	p11.2	ZNF289	-0.75
210252_s_at	11	p11.2	MADD	-0.81
218834_s_at	11	q12.2	TMEM132A	1.39
202218_s_at	11	q12.2	FADS2	2.78
219188_s_at	11	q13.1	LRP16	-1.33
219922_s_at	11	q13.1	LTBP3	-1.04
212484_at	11	q13.1	FAM89B	0.69
203188_at	11	q13.1	B3GNT1	-0.88
218471_s_at	11	q13.1	BBS1	-0.83
203657_s_at	11	q13.1	CTSF	-1.19
219786_at	11	q13.2	MTL5	-1.81
200747_s_at	11	q13.4	NUMA1	-0.68
209504_s_at	11	q13.4	PLEKHB1	-2.34
204663_at	11	q14.2	ME3	-2.76
202458_at	11	q14.2	PRSS23	-2
201487_at	11	q14.2	CTSC	1.51
219806_s_at	11	q21	C11orf75	2.12
213342_at	11	q22.1	YAP1	0.73
203533_s_at	11	q22.3	CUL5	-0.65
214724_at	11	q23.1	DIXDC1	-1.12
209030_s_at	11	q23.2	IGSF4	-1.94
209031_at	11	q23.2	IGSF4	-2.57
209032_s_at	11	q23.2	IGSF4	-1.14
204156_at	11	q23.3	KIAA0999	-2.42
213034_at	11	q23.3	KIAA0999	-1.8
56256_at	11	q23.3	SIDT2	-0.68
208850_s_at	11	q23.3	THY1	1.64
219099_at	12	p13.32	C12orf5	2.39
218045_x_at	12	p13.31	PTMS	-0.77
40489_at	12	p13.31	ATN1	-0.72
218983_at	12	p13.31	C1RL	-0.87
203244_at	12	p13.31	PEX5	-0.94
201990_s_at	12	p13.1	CREBL2	-1.29
201989_s_at	12	p13.1	CREBL2	-0.59
209112_at	12	p13.1	CDKN1B	-1.17
218450_at	12	p13.1	HEBP1	-0.82
213234_at	12	p13.1	KIAA1467	-1.37
220936_s_at	12	p12.3	H2AFJ	-3.86
220952_s_at	12	p12.3	PLEKHA5	-1.18
212943_at	12	p12.1	KIAA0528	-0.71
202660_at	12	p11.23	ITPR2	-1.95
202661_at	12	p11.23	ITPR2	-3.9
202662_s_at	12	p11.23	ITPR2	-1.89
216614_at	12	p11.23	ITPR2	-2.65
217974_at	12	p11.23	TM7SF3	-0.76
210355_at	12	p11.22	PTHLH	-0.9
220615_s_at	12	p11.22	MLSTD1	3.6
218135_at	12	p11.22	ERGIC2	1.05
