Affymetrix ID	Accession	Gene Symbol	Gene Description
202712_s_at	NM_020990	CKMT1	creatine kinase, mitochondrial 1 (ubiquitous)
204482_at	NM_003277	CLDN5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)
222043_at	AI982754	CLU	clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)
205538_at	NM_003389	CORO2A	coronin, actin binding protein, 2A
208146_s_at	NM_031311	CPVL	carboxypeptidase, vitellogenic-like
202575_at	NM_001878	CRABP2	cellular retinoic acid binding protein 2
209522_s_at	BC000723	CRAT	carnitine acetyltransferase
226455_at	AL563283	CREB3L4	cAMP responsive element binding protein 3-like 4
205159_at	AV756141	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
210554_s_at	BC002486	CTBP2	C-terminal binding protein 2
202902_s_at	NM_004079	CTSS	cathepsin S
207850_at	NM_002090	CXCL3	chemokine (C-X-C motif) ligand 3
217028_at	AJ224869	---	Homo sapiens CXCR4 gene encoding receptor CXCR4.
202437_s_at	NM_000104	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1
206754_s_at	NM_000767	CYP2B6	cytochrome P450, family 2, subfamily B, polypeptide 6
210272_at	M29873	CYP2B7	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene
210576_at	AF133298	CYP4F8	cytochrome P450, family 4, subfamily F, polypeptide 8
210764_s_at	AF003114	CYR61	cysteine-rich, angiogenic inducer, 61
202149_at	AL136139	NEDD9	match: proteins: Tr:Q61140 Tr:Q63766 Tr:O35177 Tr:Q14511 Tr:Q9YHC0; Human DNA sequence from clone RP4-761I2 on chromosome 6 Contains 3 part of the gene for enhancer of filamentation (HEF1), ESTs, STSs and CpG islands, complete sequence.
204602_at	NM_012242	DKK1	dickkopf homolog 1 (Xenopus laevis)
208370_s_at	NM_004414	DSCR1	Down syndrome critical region gene 1
201041_s_at	NM_004417	DUSP1	dual specificity phosphatase 1
208892_s_at	BC003143	DUSP6	dual specificity phosphatase 6
208891_at	BC003143	DUSP6	dual specificity phosphatase 6
213848_at	AI655015	DUSP7	dual specificity phosphatase 7
2028_s_at	M96577	E2F1	E2F transcription factor 1
205419_at	NM_004951	EBI2	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)
91826_at	AI219073	EPS8L1	EPS8-like 1
221665_s_at	BC004907	EPS8L1	EPS8-like 1
218779_x_at	NM_017729	EPS8L1	EPS8-like 1
38158_at	D79987	ESPL1	extra spindle poles like 1 (S. cerevisiae)
217838_s_at	NM_016337	EVL	Enah/Vasp-like
205620_at	NM_000504	F10	coagulation factor X
217047_s_at	AK027138	FAM13A1	family with sequence similarity 13, member A1
231543_at	AI806107	FAPP2	phosphoinositol 4-phosphate adaptor protein-2
211734_s_at	BC005912	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide
200895_s_at	NM_002014	FKBP4	FK506 binding protein 4, 59kDa
215440_s_at	AL523320	FLJ10097	hypothetical protein FLJ10097
220840_s_at	NM_018186	FLJ10706	hypothetical protein FLJ10706
220967_s_at	NM_030895	FLJ14129	hypothetical protein FLJ14129
219990_at	NM_024680	FLJ23311	FLJ23311 protein
232945_at	BF514791	FLJ32312	hypothetical protein FLJ32312
209189_at	BC004490	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog
237086_at	AI693336	FOXA1	forkhead box A1
1559101_at	AK090692	FYN	FYN oncogene related to SRC, FGR, YES
206525_at	NM_002042	GABRR1	gamma-aminobutyric acid (GABA) receptor, rho 1
209602_s_at	AI796169	GATA3	GATA binding protein 3
204472_at	NM_005261	GEM	GTP binding protein overexpressed in skeletal muscle
208579_x_at	NM_017445	H2BFS	H2B histone family, member S
218662_s_at	NM_022346	HCAP-G	chromosome condensation protein G
217168_s_at	AF217990	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
209806_at	BC000893	HIST1H2BK	histone 1, H2bk
206110_at	NM_003536	HIST1H3H	histone 1, H3h
202708_s_at	NM_003528	HIST2H2BE	histone 2, H2be
202948_at	NM_000877	IL1R1	interleukin 1 receptor, type I
223631_s_at	AF213678	IMUP	immortalization-upregulated protein
208084_at	NM_000888	ITGB6	integrin, beta 6
208083_s_at	NM_000888	ITGB6	integrin, beta 6
221004_s_at	NM_030926	ITM2C	integral membrane protein 2C
201466_s_at	NM_002228	JUN	v-jun sarcoma virus 17 oncogene homolog (avian)
212314_at	AB018289	KIAA0746	KIAA0746 protein
211519_s_at	AY026505	KIF2C	kinesin family member 2C
218355_at	NM_012310	KIF4A	kinesin family member 4A
220266_s_at	NM_004235	KLF4	Kruppel-like factor 4 (gut)
219306_at	NM_020242	KNSL7	kinesin-like 7
209016_s_at	BC002700	KRT7	keratin 7
209894_at	U50748	LEPR	leptin receptor
204298_s_at	NM_002317	LOX	lysyl oxidase
209348_s_at	AF055376	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
228885_at	AI862120	MAMDC2	MAM domain containing 2
204179_at	NM_005368	MB	myoglobin
220606_s_at	NM_020233	MDS006	x 006 protein
222804_x_at	N58163	MGC10765	hypothetical protein MGC10765
219001_s_at	NM_024345	MGC10765	hypothetical protein MGC10765
221756_at	AL540260	MGC17330	HGFL gene
219000_s_at	NM_024094	MGC5528	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)
226066_at	AL117653	MITF	microphthalmia-associated transcription factor
212021_s_at	AU132185	MKI67	antigen identified by monoclonal antibody Ki-67
207677_s_at	NM_013416	NCF4	neutrophil cytosolic factor 4, 40kDa
209159_s_at	AV724216	NDRG4	NDRG family member 4
202150_s_at	U64317	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
1569020_at	BC020686	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
208196_x_at	NM_006162	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
209505_at	AI951185	NR2F1	nuclear receptor subfamily 2, group F, member 1
214111_at	AF070577	OPCML	opioid binding protein/cell adhesion molecule-like
206179_s_at	NM_007030	p25	brain-specific protein p25 alpha
205934_at	NM_006226	PLCL1	phospholipase C-like 1
204887_s_at	NM_014264	STK18	polo-like kinase 4 (Drosophila)
202075_s_at	NM_006227	PLTP	phospholipid transfer protein
212541_at	AL562282	PP591	FAD-synthetase
218009_s_at	NM_003981	PRC1	protein regulator of cytokinesis 1
215894_at	AI460323	PTGDR	prostaglandin D2 receptor (DP)
205127_at	NM_000962	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
50965_at	AI690165	RAB26	RAB26, member RAS oncogene family
219562_at	NM_014353	RAB26	synonym: V46133; go_component: cellular_component unknown [goid 0008372] [evidence ND]; go_function: GTP binding [goid 0005525] [evidence NAS] [pmid 11043516]; go_function: small monomeric GTPase activity [goid 0003925] [evidence IEA]; go_process: small GTPase mediated signal transduction [goid 0007264] [evidence IEA]; Homo sapiens RAB26, member RAS oncogene family (RAB26), mRNA.
217268_at	AK024417	RAB7	RAB7, member RAS oncogene family
210255_at	U84138	RAD51L1	RAD51-like 1 (S. cerevisiae)
219494_at	NM_012415	RAD54B	RAD54 homolog B (S. cerevisiae)
209568_s_at	AF186779	RGL	ral guanine nucleotide dissociation stimulator-like 1
209773_s_at	BC001886	RRM2	ribonucleotide reductase M2 polypeptide
203535_at	NM_002965	S100A9	S100 calcium binding protein A9 (calgranulin B)
216899_s_at	AC_003999	---	Homo sapiens, SKAP55 homologue, clone MGC:10411 IMAGE:3940826, mRNA, complete cds.; H_DJ1139P01.1 This gene was based on gi(12804080 16753211) Continues from H_NH0232C20.1; Homo sapiens PAC clone RP5-1139P1 from 7, complete sequence.
220778_x_at	NM_020241	SEMA6B	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B
214790_at	AK001406	SUSP1	SUMO1/sentrin specific protease 6
202376_at	NM_001085	SERPINA3	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
226898_s_at	AI439021	SFPQ	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)
201739_at	NM_005627	SGK	serum/glucocorticoid regulated kinase
221268_s_at	NM_030791	SGPP1	sphingosine-1-phosphate phosphatase 1
211576_s_at	BC003068	SLC19A1	solute carrier family 19 (folate transporter), member 1
203373_at	NM_003877	SOCS2	suppressor of cytokine signaling 2
203372_s_at	AB004903	SOCS2	suppressor of cytokine signaling 2
221057_at	NM_022354	SPATA1	spermatogenesis associated 1
214404_x_at	AI435670	SPDEF	SAM pointed domain containing ets transcription factor
208079_s_at	NM_003158	STK6	synonyms: AIK, ARK1, AURA, BTAK, STK15, MGC34538; aurora-A; IPL1-related kinase; serine/threonine kinase 15; breast-tumor-amplified kinase; aurora/IPL1-like kinase; aurora-related kinase 1; go_component: spindle pole body [goid 0005816] [evidence E]; go_component: spindle [goid 0005819] [evidence TAS] [pmid 9153231]; go_component: nucleus [goid 0005634] [evidence TAS] [pmid 9153231]; go_function: protein kinase activity [goid 0004672] [evidence E] [pmid 9153231]; go_function: cAMP-dependent protein kinase activity [goid 0004691] [evidence IEA]; go_function: protein kinase CK2 activity [goid 0004682] [evidence IEA]; go_function: protein-tyrosine kinase activity [goid 0004713] [evidence IEA]; go_function: ATP binding [goid 0005524] [evidence IEA]; go_function: protein serine/threonine kinase activity [goid 0004674] [evidence IEA]; go_function: transferase activity [goid 0016740] [evidence IEA]; go_process: oncogenesis [goid 0007048] [evidence E]; go_process: mitosis [goid 0007067] [evidence TAS] [pmid 9153231]; go_process: protein amino acid phosphorylation [goid 0006468] [evidence TAS] [pmid 9153231]; go_process: cell cycle [goid 0007049] [evidence IEA]; Homo sapiens serine/threonine kinase 6 (STK6), transcript variant 2, mRNA.
204092_s_at	NM_003600	STK6	serine/threonine kinase 6
201110_s_at	NM_003246	THBS1	thrombospondin 1
201109_s_at	AV726673	THBS1	thrombospondin 1
203046_s_at	NM_003920	TIMELESS	timeless homolog (Drosophila)
201292_at	AL561834	TOP2A	topoisomerase (DNA) II alpha 170kDa
201291_s_at	AU159942	TOP2A	topoisomerase (DNA) II alpha 170kDa
219434_at	NM_018643	TREM1	triggering receptor expressed on myeloid cells 1
210579_s_at	AF220122	TRIM10	tripartite motif-containing 10
226071_at	AF217974	TSRC1	thrombospondin repeat containing 1
202589_at	NM_001071	TYMS	thymidylate synthetase
224221_s_at	AF118886	VAV3	vav 3 oncogene
218807_at	NM_006113	VAV3	vav 3 oncogene
201367_s_at	AI356398	ZFP36L2	zinc finger protein 36, C3H type-like 2
41660_at	AL031588	CELSR1
241060_x_at	H37807	---	yp57c03.s1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:191524 3 similar to contains L1 repetitive element ;, mRNA sequence.
237195_at	AA700650	---	Transcribed sequences
235363_at	BF108778	---	Transcribed sequences
233996_x_at	AL050329	---
229599_at	AA675917	---	Clone IMAGE:5166045, mRNA
228929_at	AI341246	---	MRNA; cDNA DKFZp686H0155 (from clone DKFZp686H0155)
228632_at	AA700158	---	CDNA FLJ11465 fis, clone HEMBA1001636
226192_at	T68445	---	yc42e04.s1 Stratagene liver (#937224) Homo sapiens cDNA clone IMAGE:83358 3, mRNA sequence.
225685_at	AI801777	---	CDNA FLJ31353 fis, clone MESAN2000264
224973_at	AL078599	C6orf37	Human DNA sequence from clone RP5-991C6 on chromosome 6q14.1-15, complete sequence.
223168_at	AL096776	ARHU
216173_at	AK025360	---	Homo sapiens cDNA: FLJ21707 fis, clone COL09953.
215304_at	U79293	---	Human clone 23948 mRNA sequence
214858_at	AF070536	---	Clone 24566 mRNA sequence
203628_at	H05812	IGF1R	yl77f04.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:44149 3, mRNA sequence.
1570143_at	BC014363	---	Clone IMAGE:3932570, mRNA
1567997_x_at	D17262	---	Human HepG2 3 region MboI cDNA, clone hmd5f04m3.
1562921_at	BC040700	---	Similar to KIAA0563 gene product (LOC391335), mRNA
1559724_at	BC041394	---	Homo sapiens cDNA clone IMAGE:5277116, partial cds.
1559361_at	AF086401	---	MRNA full length insert cDNA clone EUROIMAGE 2344436
