Agilent Accession	aAverage Fold Difference	p-value (n=3)	Genbank Accession	Gene Description and Symbol
A_51_P165087	0.116	1.31E-05	NM_011427	Mus musculus snail homolog 1 (Drosophila) (Snai1), mRNA [NM_011427]
A_51_P305052	0.238	5.47E-03	NM_172900	Mus musculus sialic acid binding Ig-like lectin 10 (Siglec10), mRNA [NM_172900]
A_52_P220573	4.341	8.46E-03	NM_009250	Mus musculus serine (or cysteine) proteinase inhibitor, clade I, member 1 (Serpini1), mRNA [NM_009250]
A_51_P287069	0.277	6.66E-06	NM_009825	Mus musculus serine (or cysteine) proteinase inhibitor, clade H, member 1 (Serpinh1), mRNA [NM_009825]
A_51_P376238	0.038	4.40E-02	NM_009776	Mus musculus serine (or cysteine) proteinase inhibitor, clade G, member 1 (Serping1), mRNA [NM_009776]
A_52_P35048	0.092	3.54E-07	NM_011340	Mus musculus serine (or cysteine) proteinase inhibitor, clade F, member 1 (Serpinf1), mRNA [NM_011340]
A_51_P517075	0.023	6.47E-08	NM_011340	Mus musculus serine (or cysteine) proteinase inhibitor, clade F, member 1 (Serpinf1), mRNA [NM_011340]
A_51_P183571	0.016	2.27E-05	NM_008871	Mus musculus serine (or cysteine) proteinase inhibitor, clade E, member 1 (Serpine1), mRNA [NM_008871]
A_51_P101146	0.055	4.71E-03	NM_011111	Mus musculus serine (or cysteine) proteinase inhibitor, clade B, member 2 (Serpinb2), mRNA [NM_011111]
A_51_P181297	0.248	4.39E-03	NM_025429	Mus musculus serine (or cysteine) proteinase inhibitor, clade B, member 1a (Serpinb1a), mRNA [NM_025429]
A_51_P358012	0.091	1.55E-02	NM_009253	Mus musculus serine (or cysteine) proteinase inhibitor, clade A, member 3M (Serpina3m), mRNA [NM_009253]
A_51_P157112	0.137	3.19E-03	NM_008458	Mus musculus serine (or cysteine) proteinase inhibitor, clade A, member 3C (Serpina3c), mRNA [NM_008458]
A_51_P457196	3.848	1.89E-02	NM_016687	Mus musculus secreted frizzled-related sequence protein 4 (Sfrp4), mRNA [NM_016687]
A_51_P520849	0.009	1.83E-04	NM_009144	Mus musculus secreted frizzled-related sequence protein 2 (Sfrp2), mRNA [NM_009144]
A_51_P317887	0.386	7.63E-03	NM_026907	Mus musculus secreted and transmembrane 1 (Sectm1), mRNA [NM_026907]
A_52_P101852	0.037	1.90E-07	NM_009242	Mus musculus secreted acidic cysteine rich glycoprotein (Sparc), mRNA [NM_009242]
A_51_P431087	0.015	1.96E-08	NM_009242	Mus musculus secreted acidic cysteine rich glycoprotein (Sparc), mRNA [NM_009242]
A_52_P27864	0.210	1.03E-05	NM_011360	Mus musculus sarcoglycan, epsilon (Sgce), mRNA [NM_011360]
A_51_P311137	0.225	6.90E-06	NM_011360	Mus musculus sarcoglycan, epsilon (Sgce), mRNA [NM_011360]
A_51_P389004	0.190	2.21E-02	NM_011891	Mus musculus sarcoglycan, delta (dystrophin-associated glycoprotein) (Sgcd), mRNA [NM_011891]
A_51_P384306	0.066	1.78E-02	NM_015788	Mus musculus sacsin (Sacs), mRNA [NM_015788]
A_51_P105078	0.033	1.79E-07	NM_011311	Mus musculus S100 calcium binding protein A4 (S100a4), mRNA [NM_011311]
A_51_P474518	0.262	7.88E-06	NM_033590	Mus musculus protocadherin gamma subfamily A, 7 (Pcdhga7), mRNA [NM_033590]
A_51_P470769	0.285	2.72E-04	NM_033590	Mus musculus protocadherin gamma subfamily A, 7 (Pcdhga7), mRNA [NM_033590]
A_51_P126258	0.108	3.16E-02	NM_033584	Mus musculus protocadherin gamma subfamily A, 1 (Pcdhga1), mRNA [NM_033584]
A_51_P184223	0.127	1.70E-02	NM_053132	Mus musculus protocadherin beta 7 (Pcdhb7), mRNA [NM_053132]
A_52_P110741	0.071	2.91E-03	NM_053130	Mus musculus protocadherin beta 5 (Pcdhb5), mRNA [NM_053130]
A_51_P257292	0.263	4.75E-04	NM_053130	Mus musculus protocadherin beta 5 (Pcdhb5), mRNA [NM_053130]
A_51_P109295	0.158	2.71E-02	NM_053128	Mus musculus protocadherin beta 3 (Pcdhb3), mRNA [NM_053128]
A_51_P268469	0.195	1.12E-02	NM_053144	Mus musculus protocadherin beta 19 (Pcdhb19), mRNA [NM_053144]
A_51_P511918	0.355	2.38E-05	NM_053143	Mus musculus protocadherin beta 18 (Pcdhb18), mRNA [NM_053143]
A_52_P180741	0.221	9.76E-07	NM_053142	Mus musculus protocadherin beta 17 (Pcdhb17), mRNA [NM_053142]
A_51_P337771	0.193	9.95E-05	NM_053142	Mus musculus protocadherin beta 17 (Pcdhb17), mRNA [NM_053142]
A_52_P24851	0.123	4.91E-03	NM_053141	Mus musculus protocadherin beta 16 (Pcdhb16), mRNA [NM_053141]
A_51_P191743	0.207	1.42E-02	NM_053141	Mus musculus protocadherin beta 16 (Pcdhb16), mRNA [NM_053141]
A_51_P240421	0.093	1.51E-04	NM_053139	Mus musculus protocadherin beta 14 (Pcdhb14), mRNA [NM_053139]
A_51_P264708	0.308	4.98E-02	NM_053138	Mus musculus protocadherin beta 13 (Pcdhb13), mRNA [NM_053138]
A_51_P173114	0.122	4.52E-02	NM_130878	Mus musculus protocadherin 21 (Pcdh21), mRNA [NM_130878]
A_51_P120275	3.124	2.60E-02	NM_017378	Mus musculus protocadherin 12 (Pcdh12), mRNA [NM_017378]
A_52_P465012	9.842	2.48E-02	NM_028392	Mus musculus protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform (Ppp2r2b), transcript variant 2, mRNA [NM_028392]
A_51_P220278	5.831	1.59E-03	NM_028392	Mus musculus protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform (Ppp2r2b), transcript variant 2, mRNA [NM_028392]
A_52_P679105	0.027	7.48E-05	NM_029614	Mus musculus protease, serine, 23 (Prss23), mRNA [NM_029614]
A_51_P283818	0.063	7.68E-03	NM_029614	Mus musculus protease, serine, 23 (Prss23), mRNA [NM_029614]
A_51_P258570	0.147	9.62E-03	NM_011177	Mus musculus protease, serine, 18 (Prss18), mRNA [NM_011177]
A_51_P225224	0.145	1.21E-08	NM_019564	Mus musculus protease, serine, 11 (Igf binding) (Prss11), mRNA [NM_019564]
A_51_P240448	0.087	4.14E-03	NM_053191	Mus musculus protease inhibitor 15 (Pi15), mRNA [NM_053191]
A_52_P224760	0.095	2.61E-02	NM_011198	Mus musculus prostaglandin-endoperoxide synthase 2 (Ptgs2), mRNA [NM_011198]
A_51_P254855	0.055	4.16E-04	NM_011198	Mus musculus prostaglandin-endoperoxide synthase 2 (Ptgs2), mRNA [NM_011198]
A_51_P372819	0.069	1.24E-03	NM_008968	Mus musculus prostaglandin I2 (prostacyclin) synthase (Ptgis), mRNA [NM_008968]
A_51_P202408	0.376	7.63E-05	NM_008967	Mus musculus prostaglandin I receptor (IP) (Ptgir), mRNA [NM_008967]
A_52_P153019	0.052	4.17E-02	NM_008966	Mus musculus prostaglandin F receptor (Ptgfr), mRNA [NM_008966]
A_51_P312327	0.368	2.14E-03	NM_022415	Mus musculus prostaglandin E synthase (Ptges), mRNA [NM_022415]
A_51_P144303	0.303	1.26E-02	NM_013641	Mus musculus prostaglandin E receptor 1 (subtype EP1) (Ptger1), mRNA [NM_013641]
A_52_P220912	0.066	2.59E-02	NM_177161	Mus musculus procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III (P4ha3), mRNA [NM_177161]
A_52_P663413	0.035	1.83E-07	NM_011031	Mus musculus procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide (P4ha2), mRNA [NM_011031]
A_52_P593723	0.265	2.76E-06	NM_011030	Mus musculus procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide (P4ha1), mRNA [NM_011030]
A_51_P458067	0.298	1.85E-08	NM_011030	Mus musculus procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide (P4ha1), mRNA [NM_011030]
A_51_P372172	0.395	4.33E-05	NM_011962	Mus musculus procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 (Plod3), mRNA [NM_011962]
A_51_P291062	0.278	1.40E-05	NM_028266	Mus musculus procollagen, type XVI, alpha 1 (Col16a1), mRNA [NM_028266]
A_52_P170882	0.134	1.88E-03	NM_009928	Mus musculus procollagen, type XV (Col15a1), mRNA [NM_009928]
A_51_P159792	0.392	3.76E-02	NM_009928	Mus musculus procollagen, type XV (Col15a1), mRNA [NM_009928]
A_51_P326529	3.036	6.55E-04	NM_181277	Mus musculus procollagen, type XIV, alpha 1 (Col14a1), mRNA [NM_181277]
A_52_P475805	0.035	7.02E-03	NM_007730	Mus musculus procollagen, type XII, alpha 1 (Col12a1), mRNA [NM_007730]
A_51_P255395	0.075	2.99E-05	NM_007738	Mus musculus procollagen, type VII, alpha 1 (Col7a1), mRNA [NM_007738]
A_51_P279639	0.143	1.49E-04	NM_146007	Mus musculus procollagen, type VI, alpha 2 (Col6a2), mRNA [NM_146007]
A_51_P474496	0.082	6.30E-08	NM_009933	Mus musculus procollagen, type VI, alpha 1 (Col6a1), mRNA [NM_009933]
A_52_P503796	0.185	3.19E-02	NM_016919	Mus musculus procollagen, type V, alpha 3 (Col5a3), mRNA [NM_016919]
A_51_P241995	0.038	1.92E-06	NM_016919	Mus musculus procollagen, type V, alpha 3 (Col5a3), mRNA [NM_016919]
A_51_P247883	0.003	2.34E-05	NM_007737	Mus musculus procollagen, type V, alpha 2 (Col5a2), mRNA [NM_007737]
A_51_P414637	0.006	7.15E-06	NM_015734	Mus musculus procollagen, type V, alpha 1 (Col5a1), mRNA [NM_015734]
A_52_P496142	0.341	4.07E-04	NM_009932	Mus musculus procollagen, type IV, alpha 2 (Col4a2), mRNA [NM_009932]
A_51_P491350	0.355	4.30E-04	NM_009932	Mus musculus procollagen, type IV, alpha 2 (Col4a2), mRNA [NM_009932]
A_52_P518827	0.292	4.43E-04	NM_009931	Mus musculus procollagen, type IV, alpha 1 (Col4a1), mRNA [NM_009931]
A_51_P124254	0.262	1.71E-04	NM_009931	Mus musculus procollagen, type IV, alpha 1 (Col4a1), mRNA [NM_009931]
A_52_P684242	0.203	7.45E-05	NM_009930	Mus musculus procollagen, type III, alpha 1 (Col3a1), mRNA [NM_009930]
A_51_P515605	0.011	1.67E-09	NM_009930	Mus musculus procollagen, type III, alpha 1 (Col3a1), mRNA [NM_009930]
A_51_P317141	0.063	4.07E-05	NM_031163	Mus musculus procollagen, type II, alpha 1 (Col2a1), mRNA [NM_031163]
A_51_P182303	0.024	1.27E-06	NM_007743	Mus musculus procollagen, type I, alpha 2 (Col1a2), mRNA [NM_007743]
A_52_P658611	0.050	4.09E-03	NM_007742	Mus musculus procollagen, type I, alpha 1 (Col1a1), mRNA [NM_007742]
A_52_P525107	0.005	1.12E-05	NM_007742	Mus musculus procollagen, type I, alpha 1 (Col1a1), mRNA [NM_007742]
A_51_P377094	0.027	9.02E-08	NM_007742	Mus musculus procollagen, type I, alpha 1 (Col1a1), mRNA [NM_007742]
A_51_P371942	0.007	1.30E-05	NM_008788	Mus musculus procollagen C-proteinase enhancer protein (Pcolce), mRNA [NM_008788]
A_51_P466229	0.156	3.78E-06	NM_026840	Mus musculus platelet-derived growth factor receptor-like (Pdgfrl), mRNA [NM_026840]
A_51_P150964	0.004	3.56E-10	NM_008809	Mus musculus platelet derived growth factor receptor, beta polypeptide (Pdgfrb), mRNA [NM_008809]
A_52_P264283	0.371	3.00E-02	NM_011058	Mus musculus platelet derived growth factor receptor, alpha polypeptide (Pdgfra), mRNA [NM_011058]
A_51_P345649	0.011	3.22E-09	NM_011058	Mus musculus platelet derived growth factor receptor, alpha polypeptide (Pdgfra), mRNA [NM_011058]
A_52_P409833	0.180	3.94E-07	NM_008872	Mus musculus plasminogen activator, tissue (Plat), mRNA [NM_008872]
A_51_P301566	0.070	2.81E-04	NM_008872	Mus musculus plasminogen activator, tissue (Plat), mRNA [NM_008872]
A_52_P495729	0.152	3.95E-07	NM_011019	Mus musculus oncostatin M receptor (Osmr), mRNA [NM_011019]
A_51_P319460	0.087	8.73E-09	NM_011019	Mus musculus oncostatin M receptor (Osmr), mRNA [NM_011019]
A_51_P176352	0.023	4.19E-03	NM_013864	Mus musculus N-myc downstream regulated gene 2 (Ndrg2), mRNA [NM_013864]
A_51_P405606	0.307	1.01E-04	NM_010884	Mus musculus N-myc downstream regulated gene 1 (Ndrg1), mRNA [NM_010884]
A_52_P93910	0.136	7.66E-07	BC057028	Mus musculus neuropilin 2, mRNA (cDNA clone IMAGE:6827742) [BC057028]
A_52_P371237	0.071	1.55E-04	NM_008737	Mus musculus neuropilin 1 (Nrp1), mRNA [NM_008737]
A_51_P469285	0.099	9.89E-05	NM_008737	Mus musculus neuropilin 1 (Nrp1), mRNA [NM_008737]
A_51_P145948	0.031	6.46E-04	NM_144946	Mus musculus neuropilin (NRP) and tolloid (TLL)-like 1 (Neto1), mRNA [NM_144946]
A_52_P684037	0.052	2.59E-02	NM_010875	Mus musculus neural cell adhesion molecule 1 (Ncam1), mRNA [NM_010875]
A_52_P382754	0.115	2.46E-07	NM_010875	Mus musculus neural cell adhesion molecule 1 (Ncam1), mRNA [NM_010875]
A_52_P291924	0.106	6.33E-03	NM_010875	Mus musculus neural cell adhesion molecule 1 (Ncam1), mRNA [NM_010875]
A_52_P598895	3.291	1.73E-03	NM_001029836	Mus musculus nephronectin (Npnt), transcript variant 2, mRNA [NM_001029836]
A_52_P382785	3.271	4.35E-04	NM_033525	Mus musculus nephronectin (Npnt), mRNA [NM_033525]
A_51_P205481	0.397	2.19E-07	NM_144843	Mus musculus myotubularin related protein 6 (Mtmr6), mRNA [NM_144843]
A_51_P313711	0.307	1.03E-02	NM_022410	Mus musculus myosin, heavy polypeptide 9, non-muscle (Myh9), transcript variant 1, mRNA [NM_022410]
A_52_P680681	0.242	8.10E-04	NM_175260	Mus musculus myosin, heavy polypeptide 10, non-muscle (Myh10), mRNA [NM_175260]
A_51_P193612	0.333	3.57E-03	NM_175260	Mus musculus myosin, heavy polypeptide 10, non-muscle (Myh10), mRNA [NM_175260]
A_51_P469942	0.012	4.68E-03	NM_146386	Mus musculus myocardin (Myocd), transcript variant B, mRNA [NM_146386]
A_52_P557424	0.039	6.94E-03	NM_145136	Mus musculus myocardin (Myocd), transcript variant A, mRNA [NM_145136]
A_51_P494361	0.292	1.83E-04	NM_175341	Mus musculus muscleblind-like 2 (Mbnl2), transcript variant 1, mRNA [NM_175341]
A_51_P189269	0.329	2.01E-04	NM_175341	Mus musculus muscleblind-like 2 (Mbnl2), transcript variant 1, mRNA [NM_175341]
A_52_P122871	0.379	8.61E-03	AF055908	Mus musculus multidrug resistant protein (Mdr) mRNA, partial cds. [AF055908]
A_52_P222775	0.292	3.96E-07	NM_016693	Mus musculus mitogen-activated protein kinase kinase kinase 6 (Map3k6), mRNA [NM_016693]
A_51_P170807	0.284	1.44E-04	NM_016693	Mus musculus mitogen-activated protein kinase kinase kinase 6 (Map3k6), mRNA [NM_016693]
A_52_P549427	0.071	2.10E-04	BC053704	Mus musculus midline 1, mRNA (cDNA clone MGC:60591 IMAGE:30058736), complete cds. [BC053704]
A_51_P510284	0.148	3.51E-06	NM_010797	Mus musculus midline 1 (Mid1), mRNA [NM_010797]
A_52_P652316	0.346	7.44E-04	NM_153058	Mus musculus microtubule-associated protein, RP/EB family, member 2 (Mapre2), mRNA [NM_153058]
A_51_P438149	0.170	3.80E-04	NM_153058	Mus musculus microtubule-associated protein, RP/EB family, member 2 (Mapre2), mRNA [NM_153058]
A_51_P476689	5.021	8.50E-03	NM_010838	Mus musculus microtubule-associated protein tau (Mapt), mRNA [NM_010838]
A_52_P885499	0.113	1.44E-06	NM_010837	Mus musculus microtubule-associated protein 6 (Mtap6), mRNA [NM_010837]
A_51_P497263	0.147	3.12E-06	NM_010837	Mus musculus microtubule-associated protein 6 (Mtap6), mRNA [NM_010837]
A_52_P244572	0.293	5.86E-05	NM_008633	Mus musculus microtubule-associated protein 4 (Mtap4), mRNA [NM_008633]
A_51_P465445	0.358	1.47E-04	NM_008633	Mus musculus microtubule-associated protein 4 (Mtap4), mRNA [NM_008633]
A_51_P205139	0.345	8.02E-03	NM_008634	Mus musculus microtubule-associated protein 1 B (Mtap1b), mRNA [NM_008634]
A_51_P196113	3.575	1.92E-03	NM_019945	Mus musculus microtubule associated serine/threonine kinase 1 (Mast1), mRNA [NM_019945]
A_51_P356760	0.063	3.50E-04	NM_138315	Mus musculus microtubule associated monoxygenase, calponin and LIM domain containing 1 (Mical1), mRNA [NM_138315]
