UNIQID	Gene Symbol	Chromosome Map	Gene Description
219454_at	EGFL6	chrxp22	EGF-like-domain multiple 6
213113_s_at	SLC43A3	chr11q11	solute carrier family 43 member 3
214038_at	CCL8	chr17q11	chemokine (C-C motif) ligand 8
216598_s_at	CCL2	chr17q11	chemokine (C-C motif) ligand 2
202644_s_at	TNFAIP3	chr6q23	tumor necrosis factor alpha-induced protein 3
203868_s_at	VCAM1	chr1p32	vascular cell adhesion molecule 1
209795_at	CD69	chr12p13	CD69 antigen (p60 early T-cell activation antigen
201137_s_at	HLA-DPB1	chr6p21	major histocompatibility complex class II DP bet
204961_s_at	NCF1	chr7q11	neutrophil cytosolic factor 1 (47kDa chronic gran
206134_at	ADAMDEC1	chr8p21	ADAM-like decysin 1
205495_s_at	GNLY	chr2p12	granulysin
204613_at	PLCG2	chr16q24	phospholipase C gamma 2 (phosphatidylinositol-spe
205569_at	LAMP3	chr3q26	lysosomal-associated membrane protein 3
202531_at	IRF1	chr5q31	interferon regulatory factor 1
202307_s_at	TAP1	chr6p21	transporter 1 ATP-binding cassette sub-family B
204279_at	PSMB9	chr6p21	proteasome (prosome macropain) subunit beta type
202269_x_at	GBP1	chr1p22	guanylate binding protein 1 interferon-inducible
204533_at	CXCL10	chr4q21	chemokine (C-X-C motif) ligand 10
209969_s_at	STAT1	chr2q32	signal transducer and activator of transcription 1
210163_at	CXCL11	chr4q21	chemokine (C-X-C motif) ligand 11
206082_at	HCP5	chr6p21	HLA complex P5
204806_x_at	HLA-F	chr6p21	major histocompatibility complex class I F
208729_x_at	HLA-B	chr6p21	major histocompatibility complex class I B
211911_x_at	HLA-C	chr6p21	major histocompatibility complex class I C
211799_x_at	HLA-A	chr6p21	major histocompatibility complex class I A
209040_s_at	PSMB8	chr6p21	proteasome (prosome macropain) subunit beta type
204205_at	APOBEC3G	chr22q13	apolipoprotein B mRNA editing enzyme catalytic po
200629_at	WARS	chr14q32	tryptophanyl-tRNA synthetase
210029_at	INDO	chr8p12	indoleamine-pyrrole 23 dioxygenase
210164_at	GZMB	chr14q11	granzyme B (granzyme 2 cytotoxic T-lymphocyte-ass
201858_s_at	PRG1	chr10q22	proteoglycan 1 secretory granule
207571_x_at	C1orf38	chr1p35	chromosome 1 open reading frame 38
204588_s_at	SLC7A7	chr14q11	solute carrier family 7 (cationic amino acid trans
204959_at	MNDA	chr1q22	myeloid cell nuclear differentiation antigen
203922_s_at	CYBB	chrxp21	cytochrome b-245 beta polypeptide (chronic granul
202902_s_at	CTSS	chr1q21	cathepsin S
203416_at	CD53	chr1p13	CD53 antigen
203471_s_at	PLEK	chr2p13	pleckstrin
201422_at	IFI30	chr19p13	interferon gamma-inducible protein 30
201720_s_at	LAPTM5	chr1p34	Lysosomal-associated multispanning membrane protei
204232_at	FCER1G	chr1q23	Fc fragment of IgE high affinity I receptor for;
202802_at	DHPS	chr19p13	deoxyhypusine synthase
210895_s_at	CD86	chr3q21	CD86 antigen (CD28 antigen ligand 2 B7-2 antigen)
213160_at	DOCK2	chr5q35	dedicator of cytokinesis 2
202953_at	C1QB	chr1p36	complement component 1 q subcomponent beta polyp
218232_at	C1QA	chr1p36	complement component 1 q subcomponent alpha poly
203645_s_at	CD163	chr12p13	CD163 antigen
219607_s_at	MS4A4A	chr11q12	membrane-spanning 4-domains subfamily A member 4
209906_at	C3AR1	chr12p13	complement component 3a receptor 1
202957_at	HCLS1	chr3q13	hematopoietic cell-specific Lyn substrate 1
211742_s_at	EVI2B	chr17q11	ecotropic viral integration site 2B
212588_at	PTPRC	chr1q31	protein tyrosine phosphatase receptor type C
203932_at	HLA-DMB	chr6p21	major histocompatibility complex class II DM bet
217478_s_at	HLA-DMA	chr6p21	major histocompatibility complex class II DM alp
215193_x_at	HLA-DRB1	chr6p21	major histocompatibility complex class II DR bet
210982_s_at	HLA-DRA	chr6p21	major histocompatibility complex class II DR alp
206420_at	IGSF6	chr16p12	immunoglobulin superfamily member 6
211795_s_at	FYB	chr5p13	FYN binding protein (FYB-120/130)
219386_s_at	SLAMF8	chr1q23	SLAM family member 8
206715_at	TFEC	chr7q31	transcription factor EC
220330_s_at	SAMSN1	chr21q11	SAM domain SH3 domain and nuclear localisation si
204563_at	SELL	chr1q23	selectin L (lymphocyte adhesion molecule 1)
203879_at	PIK3CD	chr1p36	phosphoinositide-3-kinase catalytic delta polype
207339_s_at	LTB	chr6p21	lymphotoxin beta (TNF superfamily member 3)
209083_at	CORO1A	chr16p11	coronin actin binding protein 1A
1405_i_at	CCL5	chr17q11	chemokine (C-C motif) ligand 5
213915_at	NKG7	chr19q13	natural killer cell group 7 sequence
206991_s_at	CCR5	chr3p21	chemokine (C-C motif) receptor 5
205269_at	LCP2	chr5q33	lymphocyte cytosolic protein 2 (SH2 domain contain
204118_at	CD48	chr1q21	CD48 antigen (B-cell membrane protein)
204220_at	GMFG	chr19q13	glia maturation factor gamma
204912_at	IL10RA	chr11q23	interleukin 10 receptor alpha
219243_at	GIMAP4	chr7q36	GTPase IMAP family member 4
209606_at	PSCDBP	chr2q11	pleckstrin homology Sec7 and coiled-coil domains
205758_at	CD8A	chr2p12	CD8 antigen alpha polypeptide (p32)
206666_at	GZMK	chr5q11	granzyme K (serine protease granzyme 3; tryptase
207651_at	GPR171	chr3q25	G protein-coupled receptor 171
206978_at	CCR2	chr3p21	chemokine (C-C motif) receptor 2
205488_at	GZMA	chr5q11	granzyme A (granzyme 1 cytotoxic T-lymphocyte-ass
205831_at	CD2	chr1p13	CD2 antigen (p50) sheep red blood cell receptor /
211796_s_at		chr7q34	T cell receptor beta locus
204891_s_at	LCK	chr1p34	lymphocyte-specific protein tyrosine kinase
213539_at	CD3D	chr11q23	CD3D antigen delta polypeptide (TiT3 complex)
210116_at	SH2D1A	chrxq25	SH2 domain protein 1A Duncans disease (lymphopro
211339_s_at	ITK	chr5q31	IL2-inducible T-cell kinase
210279_at	GPR18	chr13q32	G protein-coupled receptor 18
209685_s_at	PRKCB1	chr16p11	protein kinase C beta 1
205159_at	CSF2RB	chr22q13	colony stimulating factor 2 receptor beta low-af
213888_s_at	T3JAM	chr1q32	TRAF3-interacting Jun N-terminal kinase (JNK)-acti
218870_at	ARHGAP15	chr2q22	Rho GTPase activating protein 15
204834_at	FGL2	chr7q11	fibrinogen-like 2
217933_s_at	LAP3	chr4p15	leucine aminopeptidase 3
219777_at	GIMAP6	chr7q36	GTPase IMAP family member 6
217143_s_at	TRDD3	chr14q11	T cell receptor delta diversity 3
213603_s_at	RAC2	chr22q13	ras-related C3 botulinum toxin substrate 2 (rho fa
209829_at	C6orf32	chr6p22	chromosome 6 open reading frame 32
34210_at	CDW52	chr1p36	CDW52 antigen (CAMPATH-1 antigen)
221903_s_at	CYLD	chr16q12	cylindromatosis (turban tumor syndrome)
210260_s_at	TNFAIP8	chr5q23	tumor necrosis factor alpha-induced protein 8
211368_s_at	CASP1	chr11q23	caspase 1 apoptosis-related cysteine protease (in
38241_at	BTN3A3	chr6p21	butyrophilin subfamily 3 member A3
203915_at	CXCL9	chr4q21	chemokine (C-X-C motif) ligand 9
219836_at	ZBED2	chr3q13	zinc finger BED domain containing 2
205242_at	CXCL13	chr4q21	chemokine (C-X-C motif) ligand 13 (B-cell chemoatt
219159_s_at	SLAMF7	chr1q23	SLAM family member 7
213566_at	RNASE6	chr14q11	ribonuclease RNase A family k6
219666_at	MS4A6A	chr11q12	membrane-spanning 4-domains subfamily A member 6
213309_at	PLCL2	chr3p24	phospholipase C-like 2
202748_at	GBP2	chr1p22	guanylate binding protein 2 interferon-inducible
209546_s_at	APOL1	chr22q13	apolipoprotein L 1
221087_s_at	APOL3	chr22q13	apolipoprotein L 3
209619_at	CD74	chr5q32	CD74 antigen (invariant polypeptide of major histo
212998_x_at	HLA-DQB1	chr6p21	major histocompatibility complex class II DQ bet
205419_at	EBI2	chr13q32	Epstein-Barr virus induced gene 2 (lymphocyte-spec
219947_at	CLECSF6	chr12p13	C-type (calcium dependent carbohydrate-recognitio
213975_s_at	LYZ	chr12q15	lysozyme (renal amyloidosis)
208146_s_at	CPVL	chr7p15	carboxypeptidase vitellogenic-like
214467_at	GPR65	chr14q31	G protein-coupled receptor 65
221059_s_at	COTL1	chr16q24	coactosin-like 1 (Dictyostelium)
212501_at	CEBPB	chr20q13	CCAAT/enhancer binding protein (C/EBP) beta
212288_at	FNBP1	chr9q34	formin binding protein 1
205890_s_at	UBD	chr6p21	ubiquitin D
210538_s_at	BIRC3	chr11q22	baculoviral IAP repeat-containing 3
205237_at	FCN1	chr9q34	ficolin (collagen/fibrinogen domain containing) 1
210072_at	CCL19	chr9p13	chemokine (C-C motif) ligand 19
206637_at	P2RY14	chr3q21	purinergic receptor P2Y G-protein coupled 14
219014_at	PLAC8	chr4q21	placenta-specific 8
209392_at	ENPP2	chr8q24	ectonucleotide pyrophosphatase/phosphodiesterase 2
218322_s_at	ACSL5	chr10q25	acyl-CoA synthetase long-chain family member 5
205798_at	IL7R	chr5p13	interleukin 7 receptor
211748_x_at	PTGDS	chr9q34	prostaglandin D2 synthase 21kDa (brain)
209846_s_at	BTN3A2	chr6p22	butyrophilin subfamily 3 member A2
204224_s_at	GCH1	chr14q22	GTP cyclohydrolase 1 (dopa-responsive dystonia)
213618_at	CENTD1	chr4p14	centaurin delta 1
219505_at	CECR1	chr22q11	cat eye syndrome chromosome region candidate 1
218345_at	HCA112	chr7q36	hepatocellular carcinoma-associated antigen 112
220532_s_at	LR8	chr7q36	LR8 protein
213537_at	HLA-DPA1	chr6p21	major histocompatibility complex class II DP alp
217767_at	C3	chr19p13	complement component 3
205273_s_at	PITRM1	chr10p15	pitrilysin metalloproteinase 1
221561_at	SOAT1	chr1q25	sterol O-acyltransferase (acyl-Coenzyme A: cholest
218404_at	SNX10	chr7p15	sorting nexin 10
212314_at	KIAA0746	chr4p15	KIAA0746 protein
209310_s_at	CASP4	chr11q22	caspase 4 apoptosis-related cysteine protease
201998_at	SIAT1	chr3q27	sialyltransferase 1 (beta-galactoside alpha-26-si
213106_at	ATP8A1	chr4p14	ATPase aminophospholipid transporter (APLT) Clas
216250_s_at	LPXN	chr11q12	leupaxin
214439_x_at	BIN1	chr2q14	bridging integrator 1
210314_x_at	TNFSF13	chr17p13	tumor necrosis factor (ligand) superfamily member
205692_s_at	CD38	chr4p15	CD38 antigen (p45)
205267_at	POU2AF1	chr11q23	POU domain class 2 associating factor 1
206641_at	TNFRSF17	chr16p13	tumor necrosis factor receptor superfamily member
217179_x_at	LOC96610	chr22q11	Hypothetical protein similar to KIAA0187 gene prod
221286_s_at	PACAP	chr5q23	proapoptotic caspase adaptor protein
209374_s_at	IGHM	chr14q32	immunoglobulin heavy constant mu
217148_x_at	IGLJ3	chr22q11	Immunoglobulin lambda joining 3
211644_x_at	IGKC	chr2p11	HRV Fab 027-VL
216207_x_at	IGKV1D-13	chr2p12	immunoglobulin kappa variable 1D-13
211430_s_at	IGHG1	chr14q32	immunoglobulin heavy constant gamma 1 (G1m marker)
214677_x_at	IGLC2	chr22q11	immunoglobulin lambda constant 2 (Kern-Oz- marker)
215946_x_at	LOC91316	chr22q11	similar to bK246H3.1 (immunoglobulin lambda-like p
219117_s_at	FKBP11	chr12q13	FK506 binding protein 11 19 kDa
212592_at	IGJ	chr4q21	Immunoglobulin J polypeptide linker protein for i
217022_s_at	MGC27165	chr14q32	hypothetical protein MGC27165
202073_at	OPTN	chr10p13	optineurin
213375_s_at	CG018	chr13q12	hypothetical gene CG018
216321_s_at	NR3C1	chr5q31	nuclear receptor subfamily 3 group C member 1 (g
200953_s_at	CCND2	chr12p13	cyclin D2
219563_at	C14orf139	chr14q32	chromosome 14 open reading frame 139
210095_s_at	IGFBP3	chr7p13	insulin-like growth factor binding protein 3
221011_s_at	LBH	chr2p23	likely ortholog of mouse limb-bud and heart gene /
203434_s_at	MME	chr3q25	membrane metallo-endopeptidase (neutral endopeptid
205666_at	FMO1	chr1q23	flavin containing monooxygenase 1
212224_at	ALDH1A1	chr9q21	aldehyde dehydrogenase 1 family member A1
218764_at	PRKCH	chr14q22	protein kinase C eta
213620_s_at	ICAM2	chr17q23	intercellular adhesion molecule 2
217028_at	CXCR4	chr2q21	chemokine (C-X-C motif) receptor 4
211075_s_at	CD47	chr3q13	CD47 antigen (Rh-related antigen integrin-associa
200766_at	CTSD	chr11p15	cathepsin D (lysosomal aspartyl protease)
214770_at	MSR1	chr8p22	macrophage scavenger receptor 1
205695_at	SDS	chr12q24	serine dehydratase
203665_at	HMOX1	chr22q13	heme oxygenase (decycling) 1
206028_s_at	MERTK	chr2q14	c-mer proto-oncogene tyrosine kinase
219403_s_at	HPSE	chr4q21	heparanase
220146_at	TLR7	chrxp22	toll-like receptor 7
218627_at	FLJ11259	chr12q23	hypothetical protein FLJ11259
212820_at	RC3	chr15q21	rabconnectin-3
222150_s_at	LOC54103	chr7q11	hypothetical protein LOC54103
208918_s_at	FLJ13052	chr1p36	NAD kinase
212681_at	EPB41L3	chr18p11	erythrocyte membrane protein band 4.1-like 3
210371_s_at	RBBP4	chr1p35	retinoblastoma binding protein 4
213135_at	TIAM1	chr21q22	T-cell lymphoma invasion and metastasis 1
212624_s_at	CHN1	chr2q31	chimerin (chimaerin) 1
205316_at	SLC15A2	chr3q13	Solute carrier family 15 (H+/peptide transporter)
203386_at	TBC1D4	chr13q22	TBC1 domain family member 4
202388_at	RGS2	chr1q31	regulator of G-protein signalling 2 24kDa
200790_at	ODC1	chr2p25	ornithine decarboxylase 1
219850_s_at	EHF	chr11p12	ets homologous factor
205470_s_at	KLK11	chr19q13	kallikrein 11
203196_at	ABCC4	chr13q32	ATP-binding cassette sub-family C (CFTR/MRP) mem
215498_s_at	MAP2K3	chr17q11	mitogen-activated protein kinase kinase 3
202558_s_at	STCH	chr21q11	stress 70 protein chaperone microsome-associated
206348_s_at	PDK3	chrxp22	pyruvate dehydrogenase kinase isoenzyme 3
201675_at	AKAP1	chr17q21	A kinase (PRKA) anchor protein 1
202979_s_at	ZF	chr11q14	HCF-binding transcription factor Zhangfei
205053_at	PRIM1	chr12q13	primase polypeptide 1 49kDa
202016_at	MEST	chr7q32	mesoderm specific transcript homolog (mouse)
203145_at	SPAG5	chr17q11	sperm associated antigen 5
212281_s_at	MAC30	chr17q11	hypothetical protein MAC30
205345_at	BARD1	chr2q34	BRCA1 associated RING domain 1
205449_at	SHD1	chr11q13	likely ortholog of mouse Sac3 homology domain 1 (S
209845_at	MKRN1	chr7q34	makorin ring finger protein 1
213301_x_at	TIF1	chr7q32	transcriptional intermediary factor 1
210793_s_at	NUP98	chr11p15	nucleoporin 98kDa
218326_s_at	GPR48	chr11p14	G protein-coupled receptor 48
203960_s_at	C1orf41	chr1p32	chromosome 1 open reading frame 41
218073_s_at	FLJ10407	chr1p32	hypothetical protein FLJ10407
212640_at	PTPLB	chr3q21	protein tyrosine phosphatase-like (proline instead
218972_at	TTC17	chr11p12	tetratricopeptide repeat domain 17
220197_at	ATP6V0A4	chr7q33	ATPase H+ transporting lysosomal V0 subunit a is
203632_s_at	GPRC5B	chr16p12	G protein-coupled receptor family C group 5 mem
204042_at	WASF3	chr13q12	WAS protein family member 3
200637_s_at	PTPRF	chr1p34	protein tyrosine phosphatase receptor type F
202936_s_at	SOX9	chr17q24	SRY (sex determining region Y)-box 9 (campomelic d
202219_at	SLC6A8	chrxq28	solute carrier family 6 (neurotransmitter transpor
220161_s_at	EPB41L4B	chr9q31	erythrocyte membrane protein band 4.1 like 4B
209529_at	PPAP2C	chr19p13	phosphatidic acid phosphatase type 2C
212688_at	PIK3CB	chr3q22	phosphoinositide-3-kinase catalytic beta polypep
215695_s_at	GYG2	chrxp22	glycogenin 2
200920_s_at	BTG1	chr12q22	B-cell translocation gene 1 anti-proliferative
206510_at	SIX2	chr2p16	sine oculis homeobox homolog 2 (Drosophila)
218507_at	HIG2	chr7q32	hypoxia-inducible protein 2
221009_s_at	ANGPTL4	chr19p13	angiopoietin-like 4
