Affy probe ID	Gene name	GenBank Accession Number	Result
212212_s_at	DKFZP586J0619 protein	BF055496	Overexpressed genes in patients who remained disease-free
33132_at	Cleavage and polyadenylation specific factor 1, 160 kDa	U37012	Overexpressed genes in patients who remained disease-free
214494_s_at		NM_005200	Overexpressed genes in patients who remained disease-free
201464_x_at	v-jun sarcoma virus 17 oncogene homolog (avian)	BG491844	Overexpressed genes in patients who remained disease-free
201314_at	Serine/threonine kinase 25 (STE20 homolog, yeast)	NM_006374	Overexpressed genes in patients who remained disease-free
212796_s_at	KIAA1055 protein	BF195608	Overexpressed genes in patients who remained disease-free
211996_s_at		BG256504	Overexpressed genes in patients who remained disease-free
217223_s_at	Split hand/foot malformation (ectrodactyly) type 3 pseudogene 1	U07000	Overexpressed genes in patients who remained disease-free
221899_at	Phosphonoformate immuno-associated protein 5	AI809961	Overexpressed genes in patients who remained disease-free
201480_s_at	Suppressor of Ty 5 homolog (S. cerevisiae)	NM_003169	Overexpressed genes in patients who remained disease-free
220762_s_at	Guanine nucleotide binding protein (G protein), beta polypeptide 1-like	NM_022446	Overexpressed genes in patients who remained disease-free
219053_s_at	Hypothetical protein FLJ20847	NM_017966	Overexpressed genes in patients who remained disease-free
202573_at	Casein kinase 1, gamma 2	AL530441	Overexpressed genes in patients who remained disease-free
201553_s_at	Lysosomal-associated membrane protein 1	NM_005561	Overexpressed genes in patients who remained disease-free
222210_at	CASK interacting protein 2	AK025262	Overexpressed genes in patients who remained disease-free
217931_at	Trinucleotide repeat containing 5	BC004423	Overexpressed genes in patients who remained disease-free
200759_x_at	Nuclear factor (erythroid-derived 2)-like 1	NM_003204	Overexpressed genes in patients who remained disease-free
205546_s_at	Tyrosine kinase 2	NM_003331	Overexpressed genes in patients who remained disease-free
200799_at	Heat shock 70 kDa protein 1A	NM_005345	Overexpressed genes in patients who remained disease-free
203317_at	Pleckstrin and Sec7 domain containing 4	NM_012455	Overexpressed genes in patients who remained disease-free
210622_x_at	Cyclin-dependent kinase (CDC2-like) 10	AF153430	Overexpressed genes in patients who remained disease-free
222219_s_at	Transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	AC_007766	Overexpressed genes in patients who remained disease-free
212280_x_at	APG4 autophagy 4 homolog B (S. cerevisiae)	AA532726	Overexpressed genes in patients who remained disease-free
203469_s_at	Cyclin-dependent kinase (CDC2-like) 10	NM_003674	Overexpressed genes in patients who remained disease-free
204158_s_at	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein a isoform 3	NM_006019	Overexpressed genes in patients who remained disease-free
221214_s_at	Nasal embryonic LHRH factor	NM_015537	Overexpressed genes in patients who remained disease-free
205583_s_at	Hypothetical protein FLJ23018	NM_024810	Overexpressed genes in patients who remained disease-free
222131_x_at	ras homolog gene family, member T2	BC004327	Overexpressed genes in patients who remained disease-free
211962_s_at	Zinc-finger protein 36, C3lH type-like 1	BG250310	Overexpressed genes in patients who remained disease-free
207743_at	PRO1880 protein	NM_014104	Overexpressed genes in patients who remained disease-free
203624_at	DNA segment on chromosome X and Y (unique) 155 expressed sequence	NM_005088	Overexpressed genes in patients who remained disease-free
201466_s_at	v-jun sarcoma virus 17 oncogene homolog (avian)	NM_002228	Overexpressed genes in patients who remained disease-free
215235_at	Spectrin, alpha, nonerythrocytic 1 (alpha-fodrin)	AL110273	Overexpressed genes in patients who remained disease-free
221800_s_at	Hypothetical protein FLJ22175	AA551370	Overexpressed genes in patients who remained disease-free
37028_at	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	U83981	Overexpressed genes in patients who remained disease-free
