ID	SYMBOL	DESCRIPTION	UNIGENE (189)	IMAGE ID	GENBANK	Fold Change	localfdr(%)
HSI023C04	PDZRN3	PDZ domain containing RING finger 3	Hs.434900	142812	BX112613	1.50	0.00
HSI076F07	OSBPL8	Oxysterol binding protein-like 8	Hs.430849	758491	BX116965	1.50	0.00
HSI072H11	MXRA5	Matrix-remodelling associated 5	Hs.369422	742056	BX089471	1.50	0.14
HSI011B09	VSIG4	V-set and immunoglobulin domain containing 4	Hs.8904	26928	BX117487	1.50	0.00
HSI124E03	ELOVL2	Elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	Hs.408557	41873	R67267	1.50	0.00
HSI084A05	TTTY11	Testis-specific transcript, Y-linked 11	Hs.122396	1391626	BX088819	1.49	0.00
HSI026F04	PROS1	Protein S (alpha)	Hs.64016	151134	BX096589	1.49	0.00
HSI077A07	MOXD1	Monooxygenase, DBH-like 1	Hs.6909	767181	BX096257	1.49	0.00
HSI044H04	ACSL1	Acyl-CoA synthetase long-chain family member 1	Hs.406678	243824	BX092207	1.49	0.00
HSI075B03	EPS15	Epidermal growth factor receptor pathway substrate 15	Hs.83722	753976	BX105794	1.49	0.10
HSI062C08	TP73L	Tumor protein p73-like	Hs.137569	357801	BX103828	1.49	0.00
HSI056E01	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	Hs.418668	307720	N92990	1.49	0.00
HSI020E10	BHLHB3	Basic helix-loop-helix domain containing, class B, 3	Hs.177841	137785	BX100861	1.49	0.00
HSI166H03	EST	Transcribed locus	Hs.524340	795349	AA453261	1.49	0.00
HSI038H11	RASA1	RAS p21 protein activator (GTPase activating protein) 1	Hs.553501	201797	BX119633	1.49	0.00
HSI024E02	ATP10D	ATPase, Class V, type 10D	Hs.437241	148974	BX095565	1.49	0.00
HSI153A04	PAPLN	Papilin, proteoglycan-like sulfated glycoprotein	Hs.458428	279572	BX117708	1.49	0.00
HSI164C03	ZNF135	Zinc finger protein 78-like 1 (pT3)	Hs.85863	754529	BX090120	1.49	0.00
HSI130B12	IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	Hs.532082	152305	BX105322	1.49	0.05
HSI102C10	CYYR1	Cysteine/tyrosine-rich 1	Hs.37445	501987	BX100308	1.49	0.00
HSI003E02	PPT1	Palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	Hs.3873	24177	BX115398	1.48	0.00
HSI075C09	MGC13114	Hypothetical protein MGC13114	Hs.239500	753472	BX104467	1.48	0.00
HSI081C11	NCOA2	Nuclear receptor coactivator 2	Hs.446678	810036	BX113045	1.48	0.00
HSI021F04	SLC1A3	Solute carrier family 1 (glial high affinity glutamate transporter), member 3	Hs.481918	136088	BX093926	1.48	0.00
HSI121H08	EST	Transcribed locus	Hs.26261	31417	BX091312	1.48	0.00
HSI150E05	EIF4B	Eukaryotic translation initiation factor 4B	Hs.556281	273714	BX113532	1.48	0.00
HSI071F02	CENTB2	Centaurin, beta 2	Hs.478746	730859	AA416865	1.48	0.06
HSI183F03	PCOLCE	Procollagen C-endopeptidase enhancer	Hs.202097	878652	AA670200	1.48	0.00
HSI079D07	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	Hs.371240	784772	BX103040	1.48	0.00
HSI108E04	CLTCL1	Clathrin, heavy polypeptide-like 1	Hs.368266	384851	BX117519	1.48	0.00
HSI148D06	SYNCRIP	Synaptotagmin binding, cytoplasmic RNA interacting protein	Hs.485877	258073	BX090444	1.48	0.00
HSI041E07	LDB2	LIM domain binding 2	Hs.23748	214858	BX100960	1.48	0.00
HSI164A03	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	Hs.440829	754332	BX095334	1.48	0.33
HSI037B12	RHOA	Ras homolog gene family, member A	Hs.247077	193725	BX116719	1.48	0.00
HSI007B04	SENP8	SUMO/sentrin specific peptidase family member 8	Hs.513002	123692	BX110934	1.48	0.00
HSI022G10	PRKCH	Protein kinase C, eta	Hs.333907	138849	BX118538	1.48	0.00
HSI019F09	FRZB	Frizzled-related protein	Hs.128453	131669	BX109993	1.48	0.00
HSI161E09	NPAL2	NIPA-like domain containing 2	Hs.309489	731603	BX101014	1.48	0.00
HSI113G02	THSD1P	Thrombospondin, type I, domain containing 1 pseudogene	Hs.553878	108374	BX103448	1.48	0.09
HSI150D01	EST	Transcribed locus	Hs.439682	267465	BX104636	1.48	0.05
HSI125G05	MBNL1	Muscleblind-like (Drosophila)	Hs.478000	136114	BX115270	1.47	0.00
HSI141A04	CCDC75	Coiled-coil domain containing 75	Hs.546523	208844	BX111461	1.47	0.00
HSI182H05	CMKOR1	Chemokine orphan receptor 1	Hs.471751	246786	N53172	1.47	0.00
