Symbol	Description
ARL15	adp-ribosylation factor-like 15
ARL3	adp-ribosylation factor-like 3
ARMC1	armadillo repeat containing 1
ARMC9	hypothetical protein flj23510
ARMCX2	armadillo repeat containing, x-linked 2
ARMCX3	armadillo repeat containing, x-linked 3
ARMCX5	armadillo repeat containing, x-linked 5
ARMCX6	armadillo repeat containing, x-linked 6
ARNT	aryl hydrocarbon receptor nuclear translocator
ARS2	ars2 protein
ASB1	ankyrin repeat and socs box-containing 1
ASCC3	activating signal cointegrator 1 complex subunit 3
ASCC3L1	activating signal cointegrator 1 complex subunit 3-like 1
ASF1B	asf1 anti-silencing function 1 homolog b (s. cerevisiae)
ASNA1	arsa arsenite transporter, atp-binding, homolog 1 (bacterial)
ASPM	hypothetical protein flj10517
ATAD2	atpase family, aaa domain containing 2
ATAD3A	atpase family, aaa domain containing 3a
ATF5	activating transcription factor 5
ATG12	atg12 autophagy related 12 homolog (s. cerevisiae)
ATG3	atg3 autophagy related 3 homolog (s. cerevisiae)
ATP13A1	atpase type 13a1
ATP5G1	atp synthase, h+ transporting, mitochondrial f0 complex, subunit c1 (subunit 9)
ATP6AP2	atpase, h+ transporting, lysosomal accessory protein 2
ATP6V0B	atpase, h+ transporting, lysosomal 21kda, v0 subunit b
ATP6V1G1	atpase, h+ transporting, lysosomal 13kda, v1 subunit g1
ATP7A	atpase, cu++ transporting, alpha polypeptide (menkes syndrome)
ATP8B2	atpase, class i, type 8b, member 2
AURKA	aurora kinase a
AURKB	aurora kinase b
AYTL2	acyltransferase like 2
B4GALT4	udp-gal:betaglcnac beta 1,4- galactosyltransferase, polypeptide 4
BACH2	btb and cnc homology 1, basic leucine zipper transcription factor 2
BAG2	bcl2-associated athanogene 2
BANF1	barrier to autointegration factor 1
BAPX1	bagpipe homeobox homolog 1 (drosophila)
BARD1	brca1 associated ring domain 1
BAT2D1	bat2 domain containing 1
BAX	bcl2-associated x protein
BCL10	b-cell cll/lymphoma 10
BET1	bet1 homolog (s. cerevisiae)
BGN	biglycan
BICD1	bicaudal d homolog 1 (drosophila)
BICD2	bicaudal d homolog 2 (drosophila)
BIRC2	baculoviral iap repeat-containing 2
BIRC4	baculoviral iap repeat-containing 4
BIRC5	baculoviral iap repeat-containing 5 (survivin)
BLZF1	basic leucine zipper nuclear factor 1 (jem-1)
BMP2K	bmp2 inducible kinase
BRCA1	breast cancer 1, early onset
BRCA2	breast cancer 2, early onset
BRD8	bromodomain containing 8
BRF2	brf2, subunit of rna polymerase iii transcription initiation factor, brf1-like
BRWD1	bromodomain and wd repeat domain containing 1
BSCL2	bernardinelli-seip congenital lipodystrophy 2 (seipin)
BTAF1	btaf1 rna polymerase ii, b-tfiid transcription factor-associated, 170kda (mot1 homolog, s. cerevisiae)
BTBD3	btb (poz) domain containing 3
BTN3A3	butyrophilin, subfamily 3, member a3
BUB1	bub1 budding uninhibited by benzimidazoles 1 homolog (yeast)
BUB1B	bub1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)
BUB3	bub3 budding uninhibited by benzimidazoles 3 homolog (yeast)
BXDC2	brix domain containing 2
C10orf137	chromosome 10 open reading frame 137
C10orf18	chromosome 10 open reading frame 18
C11orf10	chromosome 11 open reading frame 10
C11orf49	chromosome 11 open reading frame 49
C12orf47	chromosome 12 open reading frame 47
C12orf48	chromosome 12 open reading frame 48
C12orf52	chromosome 12 open reading frame 52
C14orf130	chromosome 14 open reading frame 130
C14orf135	chromosome 14 open reading frame 135
C14orf143	chromosome 14 open reading frame 143
C16orf53	chromosome 16 open reading frame 53
C17orf25	chromosome 17 open reading frame 25
C17orf42	chromosome 17 open reading frame 42
C17orf62	chromosome 17 open reading frame 62
C17orf71	chromosome 17 open reading frame 71
C17orf75	chromosome 17 open reading frame 75
C18orf24	chromosome 18 open reading frame 24
C19orf10	chromosome 19 open reading frame 10
C19orf2	chromosome 19 open reading frame 2
C19orf29	chromosome 19 open reading frame 29
C19orf6	chromosome 19 open reading frame 6
C1D	nuclear dna-binding protein
C1orf112	chromosome 1 open reading frame 112
C1orf149	chromosome 1 open reading frame 149
C1orf156	chromosome 1 open reading frame 156
C1orf165	chromosome 1 open reading frame 165
C1orf174	chromosome 1 open reading frame 174
C1orf175	chromosome 1 open reading frame 175
C1orf2	chromosome 1 open reading frame 2
C1orf41	chromosome 1 open reading frame 41
C1orf54	chromosome 1 open reading frame 54
C1orf63	chromosome 1 open reading frame 63
C1orf77	chromosome 1 open reading frame 77
C1orf82	chromosome 1 open reading frame 82
C1orf9	chromosome 1 open reading frame 9
C20orf11	chromosome 20 open reading frame 11
C20orf20	chromosome 20 open reading frame 20
C21orf45	chromosome 21 open reading frame 45
C21orf66	gc-rich sequence dna-binding factor candidate
C2orf17	chromosome 2 open reading frame 17
C3orf14	chromosome 3 open reading frame 14
C4orf15	chromosome 4 open reading frame 15
C4orf16	chromosome 4 open reading frame 16
C4orf8	chromosome 4 open reading frame 8
C5orf13	chromosome 5 open reading frame 13
C5orf15	hypothetical protein 23851
C6orf111	chromosome 6 open reading frame 111
C6orf211	chromosome 6 open reading frame 211
C6orf62	chromosome 6 open reading frame 62
C7orf28B	dkfzp586i1023 protein
C8orf32	chromosome 8 open reading frame 32
C9orf39	chromosome 9 open reading frame 39
C9orf40	chromosome 9 open reading frame 40
C9orf86	chromosome 9 open reading frame 86
CA12	carbonic anhydrase xii
CABYR	calcium binding tyrosine-(y)-phosphorylation regulated (fibrousheathin 2)
CACYBP	calcyclin binding protein
CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
CALM3	calmodulin 1 (phosphorylase kinase, delta)
CALR	calreticulin
CALU	calumenin
CANT1	calcium activated nucleotidase 1
CAPZA1	capping protein (actin filament) muscle z-line, alpha 1
CAPZA2	capping protein (actin filament) muscle z-line, alpha 2
CASK	calcium/calmodulin-dependent serine protein kinase (maguk family)
CASP3	caspase 3, apoptosis-related cysteine peptidase
CASP6	caspase 6, apoptosis-related cysteine peptidase
CASP8AP2	casp8 associated protein 2
CASP9	caspase 9, apoptosis-related cysteine peptidase
CBWD2	hypothetical protein from clone 1659351
CBX1	chromobox homolog 1 (hp1 beta homolog drosophila )
CBX3	chromobox homolog 3 (hp1 gamma homolog, drosophila)
CCDC14	coiled-coil domain containing 14
CCDC41	coiled-coil domain containing 41
CCDC6	coiled-coil domain containing 6
CCDC76	coiled-coil domain containing 76
CCHCR1	coiled-coil alpha-helical rod protein 1
CCNA2	cyclin a2
CCNB1	cyclin b1
CCNB2	cyclin b2
CCNE1	cyclin e1
CCNE2	cyclin e2
CCNF	cyclin f
CCNL2	cyclin l2
CCNT2	cyclin t2
CCRK	cell cycle related kinase
CCT5	chaperonin containing tcp1, subunit 5 (epsilon)
CCT6A	chaperonin containing tcp1, subunit 6a (zeta 1)
CCT8	chaperonin containing tcp1, subunit 8 (theta)
CD2BP2	cd2 antigen (cytoplasmic tail) binding protein 2
CD47	cd47 antigen (rh-related antigen, integrin-associated signal transducer)
CDC2	cell division cycle 2, g1 to s and g2 to m
CDC20	cdc20 cell division cycle 20 homolog (s. cerevisiae)
CDC23	cdc23 (cell division cycle 23, yeast, homolog)
CDC25B	cell division cycle 25b
CDC25C	cell division cycle 25c
CDC27	cell division cycle 27
CDC2L2	cell division cycle 2-like 1 (pitslre proteins)
CDC2L6	cell division cycle 2-like 6 (cdk8-like)
CDC42	cell division cycle 42 (gtp binding protein, 25kda)
CDC5L	cdc5 cell division cycle 5-like (s. pombe)
CDC6	cdc6 cell division cycle 6 homolog (s. cerevisiae)
CDC7	cdc7 cell division cycle 7 (s. cerevisiae)
CDCA3	cell division cycle associated 3
CDCA4	cell division cycle associated 4
CDCA8	cell division cycle associated 8
CDH2	cadherin 2, type 1, n-cadherin (neuronal)
CDK10	cyclin-dependent kinase (cdc2-like) 10
CDK2	cyclin-dependent kinase 2
CDK5	cyclin-dependent kinase 5
CDKN2A	cyclin-dependent kinase inhibitor 2a (melanoma, p16, inhibits cdk4)
CDKN3	cyclin-dependent kinase inhibitor 3 (cdk2-associated dual specificity phosphatase)
CDS1	cdp-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
CDT1	dna replication factor
CENPA	centromere protein a, 17kda
CENPE	centromere protein e, 312kda
CENPF	centromere protein f, 350/400ka (mitosin)
CENTB2	centaurin, beta 2
CEP152	centrosomal protein 152kda
CEP170	centrosomal protein 170kda
CEP192	centrosomal protein 192kda
CEP55	centrosomal protein 55kda
CEP57	centrosomal protein 57kda
CEP70	centrosomal protein 70kda
CEP76	centrosomal protein 76kda
CETN3	centrin, ef-hand protein, 3 (cdc31 homolog, yeast)
CHAF1A	chromatin assembly factor 1, subunit a (p150)
CHD1L	chromodomain helicase dna binding protein 1-like
CHD8	chromodomain helicase dna binding protein 8
CHEK1	chk1 checkpoint homolog (s. pombe)
CHERP	calcium homeostasis endoplasmic reticulum protein
CHIC2	cysteine-rich hydrophobic domain 2
CHMP5	chromatin modifying protein 5
CHST1	carbohydrate (keratan sulfate gal-6) sulfotransferase 1
CIT	citron (rho-interacting, serine/threonine kinase 21)
CITED1	cbp/p300-interacting transactivator, with glu/asp-rich carboxy-terminal domain, 1
CIZ1	cdkn1a interacting zinc finger protein 1
CKAP2	cytoskeleton associated protein 2
CKAP4	cytoskeleton-associated protein 4
CKAP5	cytoskeleton associated protein 5
CKS2	cdc28 protein kinase regulatory subunit 2
CLEC4A	c-type lectin domain family 4, member a
CLGN	calmegin
CLIC4	chloride intracellular channel 4
CLK2	cdc-like kinase 2
CLPTM1	cleft lip and palate associated transmembrane protein 1
CLSTN1	calsyntenin 1
CLTC	clathrin, heavy polypeptide (hc)
CMTM6	cklf-like marvel transmembrane domain containing 6
CNOT6	ccr4-not transcription complex, subunit 6
CNOT7	ccr4-not transcription complex, subunit 7
CNTNAP1	contactin associated protein 1
CNTNAP2	contactin associated protein-like 2
COIL	coilin
COL13A1	collagen, type xiii, alpha 1
COL16A1	collagen, type xvi, alpha 1
COL1A1	collagen, type i, alpha 1
COL1A2	collagen, type i, alpha 2
COL21A1	collagen, type xxi, alpha 1
COL3A1	collagen, type iii, alpha 1 (ehlers-danlos syndrome type iv, autosomal dominant)
COL6A1	collagen, type vi, alpha 1
COL6A2	collagen, type vi, alpha 2
COL6A3	collagen, type vi, alpha 3
COL7A1	collagen, type vii, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)
COMMD8	comm domain containing 8
COPB2	coatomer protein complex, subunit beta 2 (beta prime)
COPG	coatomer protein complex, subunit gamma
COPS3	cop9 constitutive photomorphogenic homolog subunit 3 (arabidopsis)
COPS4	cop9 constitutive photomorphogenic homolog subunit 4 (arabidopsis)
COPS7B	cop9 constitutive photomorphogenic homolog subunit 7b (arabidopsis)
COPS8	cop9 constitutive photomorphogenic homolog subunit 8 (arabidopsis)
COQ2	coenzyme q2 homolog, prenyltransferase (yeast)
CP110	cp110 protein
CPNE1	copine i
CPNE9	copine family member ix
CPOX	coproporphyrinogen oxidase
CPSF3L	cleavage and polyadenylation specific factor 3-like
CRABP2	cellular retinoic acid binding protein 2
CROP	acid-inducible phosphoprotein
CROT	carnitine o-octanoyltransferase
CRSP2	cofactor required for sp1 transcriptional activation, subunit 2, 150kda
CRSP3	cofactor required for sp1 transcriptional activation, subunit 3, 130kda
CRSP6	cofactor required for sp1 transcriptional activation, subunit 6, 77kda
CRSP7	cofactor required for sp1 transcriptional activation, subunit 7, 70kda
CSE1L	cse1 chromosome segregation 1-like (yeast)
CSGlcA-T	chondroitin sulfate glucuronyltransferase
CSNK1G2	casein kinase 1, gamma 2
CSNK1G3	casein kinase 1, gamma 3
CSTF1	cleavage stimulation factor, 3 pre-rna, subunit 1, 50kda
CSTF3	cleavage stimulation factor, 3 pre-rna, subunit 3, 77kda
CTPS2	ctp synthase ii
CTTN	cortactin
CUGBP1	cug triplet repeat, rna binding protein 1
CUL7	cullin 7
CXorf45	chromosome x open reading frame 45
DAP	death-associated protein
DAPK3	death-associated protein kinase 3
DAXX	death-associated protein 6
DBF4	dbf4 homolog (s. cerevisiae)
DBN1	drebrin 1
DCC1	defective in sister chromatid cohesion homolog 1 (s. cerevisiae)
DCHS1	dachsous 1 (drosophila)
DCK	deoxycytidine kinase
DCLRE1C	dna cross-link repair 1c (pso2 homolog, s. cerevisiae)
DCN	decorin
DCP2	dcp2 decapping enzyme homolog (s. cerevisiae)
DCTN3	dynactin 3 (p22)
DCTN5	dynactin 5 (p25)
DDEF1	development and differentiation enhancing factor 1
DDEFL1	development and differentiation enhancing factor-like 1
DDOST	dolichyl-diphosphooligosaccharide-protein glycosyltransferase
DDX39	dead (asp-glu-ala-asp) box polypeptide 39
DDX46	dead (asp-glu-ala-asp) box polypeptide 46
DDX49	dead (asp-glu-ala-asp) box polypeptide 49
DEK	dek oncogene (dna binding)
DENR	density-regulated protein
DEPDC1	dep domain containing 1
DFFB	dna fragmentation factor, 40kda, beta polypeptide (caspase-activated dnase)
DGCR2	kiaa0163 gene product
DGCR8	digeorge syndrome critical region gene 8
DGUOK	deoxyguanosine kinase
DHFR	dihydrofolate reductase
DHPS	deoxyhypusine synthase
DHX15	deah (asp-glu-ala-his) box polypeptide 15
DHX29	deah (asp-glu-ala-his) box polypeptide 29
DHX40	deah (asp-glu-ala-his) box polypeptide 40
DHX8	deah (asp-glu-ala-his) box polypeptide 8
DIABLO	diablo homolog (drosophila)
DIAPH1	diaphanous homolog 1 (drosophila)
DIDO1	death inducer-obliterator 1
DIRAS3	diras family, gtp-binding ras-like 3
DKC1	dyskeratosis congenita 1, dyskerin
DKFZp762E1312	hypothetical protein dkfzp762e1312
DLEU2	deleted in lymphocytic leukemia, 2
DLG7	discs, large homolog 7 (drosophila)
DLGAP4	discs, large (drosophila) homolog-associated protein 4
DMTF1	cyclin d binding myb-like transcription factor 1
DMXL1	dmx-like 1
DNA2L	dna2 dna replication helicase 2-like (yeast)
DNAJC10	dnaj (hsp40) homolog, subfamily c, member 10
DNAJC13	dnaj (hsp40) homolog, subfamily c, member 13
DNAJC16	dnaj (hsp40) homolog, subfamily c, member 16
DNAJC7	dnaj (hsp40) homolog, subfamily c, member 7
DNAJC9	dnaj (hsp40) homolog, subfamily c, member 9
DNM1	dynamin 1
DNM2	dynamin 2
DNMT1	dna (cytosine-5-)-methyltransferase 1
DNMT3B	dna (cytosine-5-)-methyltransferase 3 beta
DOCK10	kiaa0694 gene product
DOLPP1	dolichyl pyrophosphate phosphatase 1
DONSON	downstream neighbor of son
DPAGT1	dolichyl-phosphate (udp-n-acetylglucosamine) n-acetylglucosaminephosphotransferase 1 (glcnac-1-p transferase)
DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
DPM2	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit
DPY19L1	dpy-19-like 1 (c. elegans)
DPY19L4	dpy-19-like 4 (c. elegans)
DPYSL3	dihydropyrimidinase-like 3
DTL	denticleless homolog (drosophila)
DTX2	kiaa1528 protein
DTYMK	deoxythymidylate kinase (thymidylate kinase)
DUS4L	dihydrouridine synthase 4-like (s. cerevisiae)
DVL3	dishevelled, dsh homolog 3 (drosophila)
DYNLT1	dynein, light chain, tctex-type 1
DYRK1A	dual-specificity tyrosine-(y)-phosphorylation regulated kinase 1a
DYRK2	dual-specificity tyrosine-(y)-phosphorylation regulated kinase 2
DZIP1	daz interacting protein 1
E2F3	e2f transcription factor 3
E2F8	e2f transcription factor 8
EBP	emopamil binding protein (sterol isomerase)
ECT2	epithelial cell transforming sequence 2 oncogene
EDG2	endothelial differentiation, lysophosphatidic acid g-protein-coupled receptor, 2
EEA1	early endosome antigen 1, 162kd
EED	embryonic ectoderm development
EEF1E1	eukaryotic translation elongation factor 1 epsilon 1
EFNA4	ephrin-a4
EFS	embryonal fyn-associated substrate
EHMT2	euchromatic histone-lysine n-methyltransferase 2
EIF1AX	eukaryotic translation initiation factor 1a, x-linked
EIF2AK1	eukaryotic translation initiation factor 2-alpha kinase 1
EIF2B5	eukaryotic translation initiation factor 2b, subunit 5 epsilon, 82kda
EIF4E	eukaryotic translation initiation factor 4e
EIF4E2	eukaryotic translation initiation factor 4e member 2
EIF4G3	eukaryotic translation initiation factor 4 gamma, 3
ELF2	e74-like factor 2 (ets domain transcription factor)
ELF4	e74-like factor 4 (ets domain transcription factor)
ELMO2	engulfment and cell motility 2
ELOVL2	elongation of very long chain fatty acids (fen1/elo2, sur4/elo3, yeast)-like 2
ELOVL4	elongation of very long chain fatty acids (fen1/elo2, sur4/elo3, yeast)-like 4
ENDOGL1	endonuclease g-like 1
ENSA	endosulfine alpha
EPHA7	eph receptor a7
EPHB2	eph receptor b2
EPHB3	eph receptor b3
EPM2AIP1	epm2a (laforin) interacting protein 1
EPS15L1	epidermal growth factor receptor pathway substrate 15-like 1
ERBB2IP	erbb2 interacting protein
ERCC3	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group b complementing)
ESM1	endothelial cell-specific molecule 1
ESPL1	extra spindle poles like 1 (s. cerevisiae)
ETNK1	ethanolamine kinase 1
ETV1	ets variant gene 1
ETV5	ets variant gene 5 (ets-related molecule)
EVC	ellis van creveld syndrome
EVL	enah/vasp-like
EXOSC10	exosome component 10
EXOSC8	exosome component 8
EXOSC9	exosome component 9
EXTL2	exostoses (multiple)-like 2
EZH2	enhancer of zeste homolog 2 (drosophila)
FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)
FAM106A	family with sequence similarity 106, member a
FAM111A	family with sequence similarity 111, member a
FAM18B	family with sequence similarity 18, member b
FAM48A	family with sequence similarity 48, member a
FAM64A	family with sequence similarity 64, member a
FANCE	fanconi anemia, complementation group e
FANCG	fanconi anemia, complementation group g
FANCL	fanconi anemia, complementation group l
FARP1	ferm, rhogef (arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)
FBL	fibrillarin
FBXL11	f-box and leucine-rich repeat protein 11
FBXL6	f-box and leucine-rich repeat protein 6
FBXO38	hypothetical protein flj13962
FBXO5	f-box protein 5
FCGR1A	fc fragment of igg, high affinity ia, receptor (cd64)
FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)
FEM1B	fem-1 homolog b (c. elegans)
FEN1	flap structure-specific endonuclease 1
FGD1	fyve, rhogef and ph domain containing 1 (faciogenital dysplasia)
FGD6	fyve, rhogef and ph domain containing 6
FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, pfeiffer syndrome)
FGFR1OP	fgfr1 oncogene partner
FIBP	fibroblast growth factor (acidic) intracellular binding protein
FIP1L1	fip1 like 1 (s. cerevisiae)
FKBP10	fk506 binding protein 10, 65 kda
FLCN	hypothetical protein mgc23445
FLJ10159	hypothetical protein flj10159
FLJ10781	hypothetical protein flj10781
FLJ12886	hypothetical protein flj12886
FLJ20105	flj20105 protein
FLJ20294	hypothetical protein flj20294
FLJ21908	hypothetical protein flj21908
FLJ36166	hypothetical protein flj36166
FLJ37644	hypothetical gene supported by ak094963
FMR1	fragile x mental retardation 1
FN1	fibronectin 1
FOLH1	folate hydrolase (prostate-specific membrane antigen) 1
FOXM1	forkhead box m1
FPGT	fucose-1-phosphate guanylyltransferase
FSCN1	fascin homolog 1, actin-bundling protein (strongylocentrotus purpuratus)
FTSJ1	ftsj homolog 1 (e. coli)
FTSJ2	ftsj homolog 2 (e. coli)
FUBP1	far upstream element (fuse) binding protein 1
FUS	fusion (involved in t(12;16) in malignant liposarcoma)
FUSIP1	fus interacting protein (serine/arginine-rich) 1
FZD7	frizzled homolog 7 (drosophila)
FZR1	homolog of yeast cdh1/hct1
G3BP2	ras-gtpase activating protein sh3 domain-binding protein 2
GABPA	ga binding protein transcription factor, alpha subunit 60kda
GAL3ST4	galactose-3-o-sulfotransferase 4
GALNT7	udp-n-acetyl-alpha-d-galactosamine:polypeptide n-acetylgalactosaminyltransferase 7 (galnac-t7)
GANAB	glucosidase, alpha; neutral ab
GAPVD1	gtpase activating protein and vps9 domains 1
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GBA	glucosidase, beta; acid (includes glucosylceramidase)
GBF1	golgi-specific brefeldin a resistance factor 1
GBP1	guanylate binding protein 1, interferon-inducible, 67kda
GDF11	growth differentiation factor 11
GDI1	gdp dissociation inhibitor 1
GGA1	golgi associated, gamma adaptin ear containing, arf binding protein 1
GGA2	golgi associated, gamma adaptin ear containing, arf binding protein 2
GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
GLMN	glomulin, fkbp associated protein
GLT25D1	glycosyltransferase 25 domain containing 1
GLT8D1	glycosyltransferase 8 domain containing 1
GM632	kiaa1196 protein
GMDS	gdp-mannose 4,6-dehydratase
GMNN	geminin, dna replication inhibitor
GMPS	guanine monphosphate synthetase
GNAI3	guanine nucleotide binding protein (g protein), alpha inhibiting activity polypeptide 3
GNL1	guanine nucleotide binding protein-like 1
GNPDA1	glucosamine-6-phosphate deaminase 1
GOLGA2	golgi autoantigen, golgin subfamily a, 2
GOLGA5	golgi autoantigen, golgin subfamily a, 5
GOLPH2	golgi phosphoprotein 2
GOLPH3	golgi phosphoprotein 3 (coat-protein)
GOLT1B	golgi transport 1 homolog b (s. cerevisiae)
GON4L	gon-4-like (c.elegans)
GPR107	g protein-coupled receptor 107
GPR161	g protein-coupled receptor 161
GPR177	mesoderm induction early response 1 homolog (xenopus laevis)
GPR23	g protein-coupled receptor 23
GPR89A	g protein-coupled receptor 89a
GPSM2	g-protein signalling modulator 2 (ags3-like, c. elegans)
GPX7	glutathione peroxidase 7
GRSF1	g-rich rna sequence binding factor 1
GRWD1	glutamate-rich wd repeat containing 1
GSS	glutathione synthetase
GTF2E1	general transcription factor iie, polypeptide 1, alpha 56kda
GTF3C1	general transcription factor iiic, polypeptide 1, alpha 220kda
GTPBP8	gtp-binding protein 8 (putative)
GTSE1	g-2 and s-phase expressed 1
GUCY1A2	guanylate cyclase 1, soluble, alpha 2
GUCY1B3	guanylate cyclase 1, soluble, beta 3
GUF1	guf1 gtpase homolog (s. cerevisiae)
H1F0	h1 histone family, member 0
H2AFX	h2a histone family, member x
H2AFY	h2a histone family, member y
H2AFZ	h2a histone family, member z
HARS2	histidyl-trna synthetase 2
HDAC1	histone deacetylase 1
HDAC2	histone deacetylase 2
HDAC3	histone deacetylase 3
HDAC6	histone deacetylase 6
HDGF	hepatoma-derived growth factor (high-mobility group protein 1-like)
HELLS	helicase, lymphoid-specific
HGS	hepatocyte growth factor-regulated tyrosine kinase substrate
HIBADH	3-hydroxyisobutyrate dehydrogenase
HIP2	huntingtin interacting protein 2
HISPPD1	histidine acid phosphatase domain containing 1
HIST1H2BD	histone 1, h2bd
HIST1H2BH	histone 1, h2bh
HIST1H4H	h4 histone, family 2
HIST2H2BE	histone 1, h2bb
HMG20B	high-mobility group 20b
HMGB2	high-mobility group box 2
HMGB3	high-mobility group box 3
HMGN1	high-mobility group nucleosome binding domain 1
HMGN2	high-mobility group nucleosomal binding domain 2
HMGN3	high mobility group nucleosomal binding domain 3
HMGN4	high mobility group nucleosomal binding domain 4
HMMR	hyaluronan-mediated motility receptor (rhamm)
HN1	hematological and neurological expressed 1
HNRPA2B1	heterogeneous nuclear ribonucleoprotein a2/b1
HNRPA3	heterogeneous nuclear ribonucleoprotein a3
HNRPA3P1	heterogeneous nuclear ribonucleoprotein a3 pseudogene 1
HNRPD	heterogeneous nuclear ribonucleoprotein d (au-rich element rna binding protein 1, 37kda)
HNRPK	heterogeneous nuclear ribonucleoprotein k
HNRPL	heterogeneous nuclear ribonucleoprotein l
HNRPR	heterogeneous nuclear ribonucleoprotein r
HNRPUL1	heterogeneous nuclear ribonucleoprotein u-like 1
HOMER3	homer homolog 3 (drosophila)
HOXA10	homeobox a10
HOXA9	homeobox a9
HPRT1	hypoxanthine phosphoribosyltransferase 1 (lesch-nyhan syndrome)
HS2ST1	heparan sulfate 2-o-sulfotransferase 1
HSF2	heat shock transcription factor 2
HSPA14	heat shock 70kda protein 14
HSPA4	heat shock 70kda protein 4
