Image Clone ID	UniGene Cluster ID	UniGene Title
949932	Hs.74497	nuclease sensitive element binding protein 1
898062	Hs.82906	cell division cycle 20, S.cerevisiae homolog
245099	Hs.69855	NRAS-related gene
132911	Hs.21537	protein phosphatase 1, catalytic subunit, beta isoform
815534	Hs.173274	integrin cytoplasmic domain-associated protein 1
839736	Hs.1940	crystallin, alpha B
246304	Hs.77311	BTG family, member 3
686172	Hs.77695	KIAA0008 gene product
44666	Hs.197345	thyroid autoantigen 70kD (Ku antigen)
45291	Hs.169488	dentatorubral-pallidoluysian atrophy (atrophin-1)
712604	Hs.239138	pre-B-cell colony-enhancing factor
788721	Hs.154797	KIAA0090 protein
34355	Hs.182278	calmodulin 2 (phosphorylase kinase, delta)
324210	Hs.24447	sigma receptor (SR31747 binding protein 1)
843076	Hs.153487	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1
345208	Hs.12379	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)
756847	Hs.6574	suppressin (nuclear deformed epidermal autoregulatory factor-1 (DEAF-1)-related)
46182	Hs.251871	CTP synthase
293977	Hs.6820	ESTs, Weakly similar to putative [C.elegans]
231302	Hs.1189	E2F transcription factor 3
45840	Hs.76122	splicing factor, arginine/serine-rich 4
73531	Hs.9908	nitrogen fixation cluster-like
46936	Hs.404	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 3
814270	Hs.91728	polymyositis/scleroderma autoantigen 1 (75kD)
788247	Hs.82919	cullin 2
196866	Hs.117741	ESTs, Weakly similar to ORF YDL040c [S.cerevisiae]
563444	Hs.155591	forkhead box F1
774754	Hs.171271	catenin (cadherin-associated protein), beta 1 (88kD)
813280	Hs.75527	adenylosuccinate lyase
26082	Hs.73729	very low density lipoprotein receptor
284592	Hs.74615	platelet-derived growth factor receptor, alpha polypeptide
247818	Hs.239666	ESTs
75009	Hs.155227	EphB4
711826	Hs.250759	KIAA0019 gene product
28012	Hs.100293	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
244955	Hs.9884	spindle pole body protein
38763	Hs.250595	S-phase response (cyclin-related)
810899	Hs.77550	CDC28 protein kinase 1
191603	Hs.179661	Homo sapiens clone 24703 beta-tubulin mRNA, complete cds
366647	Hs.85155	butyrate response factor 1 (EGF-response factor 1)
840702	Hs.124027	SELENOPHOSPHATE SYNTHETASE ; Human selenium donor protein
127099	Hs.20100	ESTs, Moderately similar to atypical PKC specific binding protein [R.norvegicus]
502369	Hs.166468	programmed cell death 5
37760	Hs.155314	KIAA0095 gene product
204299	Hs.1608	replication protein A3 (14kD)
43960	Hs.75551	Ras suppressor protein 1
897646	Hs.76122	splicing factor, arginine/serine-rich 4
31866	Hs.77897	splicing factor 3a, subunit 3, 60kD
767817	Hs.46405	polymerase (RNA) II (DNA directed) polypeptide F
687397	Hs.75551	Ras suppressor protein 1
42888	Hs.75117	interleukin enhancer binding factor 2, 45kD
248531	Hs.5398	guanine-monophosphate synthetase
362332	Hs.79194	cAMP responsive element binding protein 1
563598	Hs.70725	gamma-aminobutyric acid (GABA) A receptor, pi
307843	Hs.91604	ESTs
366824	Hs.95577	cyclin-dependent kinase 4
811930	Hs.2471	KIAA0020 gene product
291057	Hs.4854	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
130371	Hs.23255	nucleoporin 155kD
246524	Hs.20295	CHK1 (checkpoint, S.pombe) homolog
770066	Hs.13421	KIAA0056 protein
950092	Hs.167460	splicing factor, arginine/serine-rich 3
81331	Hs.153179	fatty acid binding protein 5 (psoriasis-associated)
667598	Hs.82110	PC4 and SFRS1 interacting protein 1
488413	Hs.149436	kinesin family member 5B
548957	Hs.169921	general transcription factor II, i, pseudogene 1
212198	Hs.44585	tumor protein p53-binding protein, 2
233365	Hs.203445	ESTs, Weakly similar to !!!! ALU SUBFAMILY J WARNING ENTRY !!!! [H.sapiens]
32790	Hs.78934	mutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1)
376285	Hs.177766	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)
711450	Hs.1540	nuclear matrix protein p84
47884	Hs.73798	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
137638	Hs.108642	ESTs
235008	Hs.182874	ESTs
364716	Hs.3248	mutS (E. coli) homolog 6
239958	Hs.15832	DKFZP586P2220 protein
564803	Hs.239	forkhead box M1
39781	Hs.76294	CD63 antigen (melanoma 1 antigen)
29054	Hs.153961	ARP1 (actin-related protein 1, yeast) homolog A (centractin alpha)
49788	Hs.12068	carnitine acetyltransferase
842785	Hs.75140	low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1)
809981	Hs.2706	glutathione peroxidase 4 (phospholipid hydroperoxidase)
823940	Hs.178137	transducer of ERBB2, 1
244307	Hs.82085	plasminogen activator inhibitor, type I
812227	Hs.170222	solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitive)
140635	Hs.95893	ESTs
841641	Hs.82932	cyclin D1 (PRAD1: parathyroid adenomatosis 1)
898138	Hs.811	ubiquitin-conjugating enzyme E2B (RAD6 homolog)
38393	Hs.75511	connective tissue growth factor
509682	Hs.6975	histone deacetylase 3
838568	Hs.74649	cytochrome c oxidase subunit VIc
841617	Hs.125078	Human mRNA for ornithine decarboxylase antizyme, ORF 1 and ORF 2
365147	Hs.173664	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)
141768	Hs.173664	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)
783729	Hs.173664	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)
38471	Hs.82380	menage a trois 1 (CAK assembly factor)
32198	Hs.6551	ATPase, H+ transporting, lysosomal (vacuolar proton pump), subunit 1
236129	Hs.202955	Homo sapiens mRNA; cDNA DKFZp434B1935 (from clone DKFZp434B1935)
183200	Hs.73875	fumarylacetoacetate
136769	Hs.1179	TATA box binding protein (TBP)-associated factor, RNA polymerase II, A, 250kD
141959	Hs.223014	protease, serine, 15
788654	Hs.6289	growth factor receptor-bound protein 2
768370	Hs.245188	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)
29054	Hs.153961	ARP1 (actin-related protein 1, yeast) homolog A (centractin alpha)
31842	Hs.154073	UDP-galactose transporter related
245198	Hs.23106	KIAA0130 gene product
130895	Hs.90790	ESTs
361692	Hs.50984	sarcoma amplified sequence
82991	Hs.11951	phosphodiesterase I/nucleotide pyrophosphatase 1 (homologous to mouse Ly-41 antigen)
784224	Hs.165950	fibroblast growth factor receptor 4
50413	Hs.171900	armadillo repeat gene deletes in velocardiofacial syndrome
752631	Hs.1420	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)
345645	Hs.1976	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)
199381	Hs.37331	Homo sapiens vav 3 oncogene (VAV3) mRNA
143887	Hs.154737	serine protease, umbilical endothelium
740476	Hs.80645	interferon regulatory factor 1
123926	Hs.83942	cathepsin K (pycnodysostosis)
