Probe ID	Symbol	Name	P value	M	Fold	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
1454903_at	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16)	0.000	0.770	1.7	6629 // lipid metabolism // Unknown /// 6915 // apoptosis // inferred from electronic annotation /// 6917 // induction of apoptosis // inferred from direct assay /// 7165 // signal transduction // inferred from electronic annotation /// 7275 // development // inferred from electronic annotation /// 7399 // nervous system development // inferred from electronic annotation /// 7411 // axon guidance // inferred from mutant phenotype /// 7417 // central nervous system development // inferred from mutant phenotype /// 30154 // cell differentiation // inferred from electronic annotation	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	3824 // catalytic activity // Unknown /// 4872 // receptor activity // inferred from electronic annotation /// 5035 // death receptor activity // inferred from direct assay /// 5515 // protein binding // inferred from physical interaction /// 5515 // protein binding // inferred from electronic annotation	Apoptosis_KEGG // GenMAPP /// Apoptosis_KEGG // GenMAPP /// Apoptosis_KEGG // GenMAPP
1440381_at	2410085M17Rik	RIKEN cDNA 2410085M17 gene	0.000	0.738	1.7	---	---	---	---
1453646_at	Efna5	ephrin A5	0.041	0.707	1.6	7275 // development // inferred from electronic annotation /// 7399 // nervous system development // inferred from electronic annotation /// 30154 // cell differentiation // inferred from electronic annotation /// 31290 // retinal ganglion cell axon guidance // inferred from direct assay	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation	45499 // chemorepellant activity // inferred from direct assay /// 48503 // GPI anchor binding // inferred from electronic annotation	---
1430388_a_at	Sulf2	sulfatase 2	0.003	0.636	1.6	6790 // sulfur metabolism // inferred from sequence or structural similarity /// 8152 // metabolism // Unknown /// 30201 // heparan sulfate proteoglycan metabolism // inferred from sequence or structural similarity /// 8152 // metabolism // inferred from electronic annotation	5615 // extracellular space // inferred from sequence or structural similarity /// 5783 // endoplasmic reticulum // inferred from electronic annotation /// 9986 // cell surface // inferred from sequence or structural similarity	4065 // arylsulfatase activity // inferred from sequence or structural similarity /// 8449 // N-acetylglucosamine-6-sulfatase activity // inferred from sequence or structural similarity /// 8484 // sulfuric ester hydrolase activity // Unknown /// 16787 // hydrolase activity // inferred from electronic annotation /// 8484 // sulfuric ester hydrolase activity // inferred from electronic annotation	---
1422185_a_at	Cyb5r3	cytochrome b5 reductase 3	0.006	0.625	1.5	6118 // electron transport // inferred from electronic annotation /// 6694 // steroid biosynthesis // inferred from electronic annotation /// 6695 // cholesterol biosynthesis // inferred from electronic annotation /// 8610 // lipid biosynthesis // inferred from electronic annotation /// 16126 // sterol biosynthesis // inferred from electronic annotation	5625 // soluble fraction // inferred from sequence or structural similarity /// 5743 // mitochondrial inner membrane // inferred from direct assay /// 5783 // endoplasmic reticulum // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	4128 // cytochrome-b5 reductase activity // inferred from sequence or structural similarity /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 50660 // FAD binding // inferred from electronic annotation /// 51287 // NAD binding // inferred from electronic annotation /// 4128 // cytochrome-b5 reductase activity // inferred from electronic annotation	---
1444671_at	Rasal2	RAS protein activator like 2	0.019	0.598	1.5	51056 // regulation of small GTPase mediated signal transduction // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation	5096 // GTPase activator activity // inferred from electronic annotation	---
1437917_at	D530037H12Rik	RIKEN cDNA D530037H12 gene	0.005	0.587	1.5	---	---	---	---
1456657_at	Wiz	widely-interspaced zinc finger motifs	0.049	0.576	1.5	---	5634 // nucleus // inferred from electronic annotation /// 5622 // intracellular // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
1448690_at	Kcnk1	potassium channel, subfamily K, member 1	0.022	0.573	1.5	6810 // transport // inferred from electronic annotation /// 6811 // ion transport // inferred from electronic annotation /// 6813 // potassium ion transport // Unknown /// 6813 // potassium ion transport // inferred from electronic annotation	5768 // endosome // inferred from direct assay /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	5216 // ion channel activity // inferred from electronic annotation /// 5244 // voltage-gated ion channel activity // inferred from electronic annotation /// 5267 // potassium channel activity // inferred from direct assay /// 5267 // potassium channel activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 30955 // potassium ion binding // inferred from electronic annotation	---
1426615_s_at	Ndrg4	N-myc downstream regulated gene 4	0.005	0.569	1.5	7275 // development // inferred from electronic annotation /// 30154 // cell differentiation // inferred from electronic annotation	---	---	---
1425303_at	Gck	glucokinase	0.002	0.563	1.5	1678 // cell glucose homeostasis // inferred from mutant phenotype /// 6096 // glycolysis // inferred from electronic annotation	5625 // soluble fraction // inferred from direct assay /// 5739 // mitochondrion // inferred from direct assay	166 // nucleotide binding // inferred from electronic annotation /// 4340 // glucokinase activity // inferred from direct assay /// 4396 // hexokinase activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 4340 // glucokinase activity // inferred from electronic annotation	Glycolysis_and_Gluconeogenesis // GenMAPP /// Glycolysis / Gluconeogenesis // KEGG /// Fructose and mannose metabolism // KEGG /// Galactose metabolism // KEGG /// Starch and sucrose metabolism // KEGG /// Streptomycin biosynthesis // KEGG /// Aminosugars metabolism // KEGG /// Glycolysis / Gluconeogenesis // KEGG /// Galactose metabolism // KEGG /// Starch and sucrose metabolism // KEGG /// Streptomycin biosynthesis // KEGG /// Insulin signaling pathway // KEGG /// Type II diabetes mellitus // KEGG /// Maturity onset diabetes of the young // KEGG
1460474_at	2610028L16Rik	RIKEN cDNA 2610028L16 gene	0.032	0.557	1.5	---	---	---	---
1450135_at	Fzd3	frizzled homolog 3 (Drosophila)	0.004	0.550	1.5	1736 // establishment of planar polarity // inferred from genetic interaction /// 1843 // neural tube closure // inferred from genetic interaction /// 7165 // signal transduction // inferred from electronic annotation /// 7166 // cell surface receptor linked signal transduction // inferred from electronic annotation /// 7186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 7275 // development // inferred from electronic annotation /// 16055 // Wnt receptor signaling pathway // inferred from electronic annotation /// 42472 // inner ear morphogenesis // inferred from genetic interaction	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 45177 // apical part of cell // inferred from direct assay /// 16021 // integral to membrane // inferred from electronic annotation	4871 // signal transducer activity // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 4926 // non-G-protein coupled 7TM receptor activity // inferred from electronic annotation /// 4930 // G-protein coupled receptor activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction	Wnt_Signaling // GenMAPP
1421134_at	Areg	amphiregulin	0.044	0.547	1.5	---	5615 // extracellular space // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	5125 // cytokine activity // inferred from electronic annotation /// 8083 // growth factor activity // inferred from electronic annotation	---
1416612_at	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1	0.019	-0.541	-1.5	6118 // electron transport // inferred from electronic annotation	5615 // extracellular space // Unknown /// 5783 // endoplasmic reticulum // inferred from electronic annotation /// 5792 // microsome // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	4497 // monooxygenase activity // inferred from electronic annotation /// 5506 // iron ion binding // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 20037 // heme binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 50381 // unspecific monooxygenase activity // inferred from electronic annotation	---
1417785_at	Pla1a	phospholipase A1 member A	0.002	-0.541	-1.5	6629 // lipid metabolism // Unknown /// 16042 // lipid catabolism // inferred from electronic annotation /// 6629 // lipid metabolism // inferred from electronic annotation	5615 // extracellular space // Unknown	3824 // catalytic activity // Unknown /// 3824 // catalytic activity // inferred from electronic annotation	---
1422050_at	Nkx1-2	NK1 transcription factor related, locus 2 (Drosophila)	0.021	-0.542	-1.5	6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 7275 // development // inferred from electronic annotation /// 45449 // regulation of transcription // inferred from electronic annotation	5634 // nucleus // inferred from electronic annotation /// 5667 // transcription factor complex // inferred from electronic annotation	3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation /// 43565 // sequence-specific DNA binding // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction	---
1460449_at	Anks1b	ankyrin repeat and sterile alpha motif domain containing 1B	0.002	-0.548	-1.5	---	---	---	---
1425546_a_at	Trf	transferrin	0.004	-0.549	-1.5	6810 // transport // inferred from electronic annotation /// 6811 // ion transport // inferred from electronic annotation /// 6826 // iron ion transport // Unknown /// 6879 // iron ion homeostasis // Unknown /// 6826 // iron ion transport // inferred from electronic annotation /// 6879 // iron ion homeostasis // inferred from electronic annotation	5576 // extracellular region // Unknown /// 5615 // extracellular space // Unknown /// 5768 // endosome // inferred from direct assay /// 30139 // endocytic vesicle // inferred from direct assay /// 30139 // endocytic vesicle // inferred from sequence or structural similarity /// 5576 // extracellular region // inferred from electronic annotation	5506 // iron ion binding // inferred from electronic annotation /// 8199 // ferric iron binding // Unknown /// 46872 // metal ion binding // inferred from electronic annotation /// 8199 // ferric iron binding // inferred from electronic annotation	---
1458236_at	NA	NA	0.007	-0.552	-1.5	---	---	---	---
1434642_at	Dhrs8	dehydrogenase/reductase (SDR family) member 8	0.000	-0.552	-1.5	6694 // steroid biosynthesis // inferred from electronic annotation /// 8152 // metabolism // Unknown /// 8610 // lipid biosynthesis // inferred from electronic annotation /// 8152 // metabolism // inferred from electronic annotation	---	16491 // oxidoreductase activity // inferred from electronic annotation	---
1416676_at	Kng1	kininogen 1	0.025	-0.554	-1.5	6954 // inflammatory response // inferred from electronic annotation /// 7596 // blood coagulation // inferred from electronic annotation /// 42311 // vasodilation // inferred from electronic annotation /// 50880 // regulation of blood vessel size // inferred from electronic annotation	5615 // extracellular space // Unknown	4866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 4869 // cysteine protease inhibitor activity // inferred from electronic annotation	ACE-Inhibitor_pathway_PharmGKB // GenMAPP
1417951_at	Eno3	enolase 3, beta muscle	0.000	-0.561	-1.5	6096 // glycolysis // inferred from electronic annotation	15 // phosphopyruvate hydratase complex // inferred from electronic annotation	287 // magnesium ion binding // inferred from electronic annotation /// 4634 // phosphopyruvate hydratase activity // inferred from electronic annotation /// 16829 // lyase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	Glycolysis_and_Gluconeogenesis // GenMAPP
1434046_at	AA467197	expressed sequence AA467197	0.001	-0.563	-1.5	---	5634 // nucleus // inferred from electronic annotation /// 5634 // nucleus // inferred from sequence or structural similarity	---	---
1418097_a_at	Tpte2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	0.003	-0.569	-1.5	---	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4872 // receptor activity // inferred from electronic annotation /// 4896 // hematopoietin/interferon-class (D200-domain) cytokine receptor activity // inferred from electronic annotation	---
1452114_s_at	Igfbp5	insulin-like growth factor binding protein 5	0.044	-0.588	-1.5	1558 // regulation of cell growth // inferred from electronic annotation	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // Unknown /// 16942 // insulin-like growth factor binding protein complex // Unknown	5520 // insulin-like growth factor binding // inferred from electronic annotation /// 5520 // insulin-like growth factor binding // inferred from physical interaction /// 19838 // growth factor binding // inferred from electronic annotation	Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1435314_at	Tph2	tryptophan hydroxylase 2	0.019	-0.591	-1.5	6587 // serotonin biosynthesis from tryptophan // Unknown /// 8152 // metabolism // inferred from electronic annotation /// 9072 // aromatic amino acid family metabolism // inferred from electronic annotation /// 42427 // serotonin biosynthesis // inferred from electronic annotation /// 6587 // serotonin biosynthesis from tryptophan // inferred from electronic annotation	---	4497 // monooxygenase activity // inferred from electronic annotation /// 4510 // tryptophan 5-monooxygenase activity // inferred from direct assay /// 5506 // iron ion binding // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 16597 // amino acid binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 4510 // tryptophan 5-monooxygenase activity // inferred from electronic annotation	---
1424966_at	Tmem40	transmembrane protein 40	0.002	-0.606	-1.5	---	16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	---	---
1428767_at	Gsdmdc1	gasdermin domain containing 1	0.002	-0.619	-1.5	---	---	---	---
1420043_s_at	Thoc1	THO complex 1	0.021	-0.637	-1.6	398 // nuclear mRNA splicing, via spliceosome // inferred from electronic annotation /// 6397 // mRNA processing // inferred from electronic annotation /// 6406 // mRNA export from nucleus // inferred from electronic annotation /// 6810 // transport // inferred from electronic annotation /// 6915 // apoptosis // Unknown /// 7165 // signal transduction // Unknown /// 42981 // regulation of apoptosis // Unknown /// 7165 // signal transduction // inferred from electronic annotation	5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from electronic annotation /// 3723 // RNA binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	---
1416613_at	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1	0.041	-0.642	-1.6	6118 // electron transport // inferred from electronic annotation	5615 // extracellular space // Unknown /// 5783 // endoplasmic reticulum // inferred from electronic annotation /// 5792 // microsome // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	4497 // monooxygenase activity // inferred from electronic annotation /// 5506 // iron ion binding // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 20037 // heme binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 50381 // unspecific monooxygenase activity // inferred from electronic annotation	---
1458659_at	Anxa11	annexin A11	0.015	-0.647	-1.6	---	5634 // nucleus // inferred from electronic annotation /// 5635 // nuclear envelope // inferred from sequence or structural similarity /// 5654 // nucleoplasm // inferred from sequence or structural similarity	5509 // calcium ion binding // inferred from direct assay /// 5544 // calcium-dependent phospholipid binding // inferred from direct assay /// 8429 // phosphatidylethanolamine binding // inferred from direct assay /// 5515 // protein binding // inferred from sequence or structural similarity /// 5509 // calcium ion binding // inferred from electronic annotation /// 5544 // calcium-dependent phospholipid binding // inferred from electronic annotation	---
1451461_a_at	Aldoc	aldolase 3, C isoform	0.000	-0.663	-1.6	6096 // glycolysis // inferred from electronic annotation /// 8152 // metabolism // inferred from electronic annotation	5739 // mitochondrion // inferred from direct assay	4332 // fructose-bisphosphate aldolase activity // inferred from electronic annotation /// 16829 // lyase activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 3824 // catalytic activity // inferred from electronic annotation /// 4332 // fructose-bisphosphate aldolase activity // non-traceable author statement	Glycolysis_and_Gluconeogenesis // GenMAPP /// Glycolysis / Gluconeogenesis // KEGG /// Pentose phosphate pathway // KEGG /// Inositol metabolism // KEGG /// Fructose and mannose metabolism // KEGG /// Carbon fixation // KEGG
1436448_a_at	Ptgs1	prostaglandin-endoperoxide synthase 1	0.008	-0.670	-1.6	1516 // prostaglandin biosynthesis // inferred from mutant phenotype /// 6633 // fatty acid biosynthesis // inferred from electronic annotation /// 8217 // blood pressure regulation // inferred from mutant phenotype /// 8610 // lipid biosynthesis // inferred from electronic annotation /// 1516 // prostaglandin biosynthesis // inferred from electronic annotation /// 30216 // keratinocyte differentiation // non-traceable author statement	5615 // extracellular space // Unknown /// 5634 // nucleus // inferred from direct assay /// 5737 // cytoplasm // inferred from direct assay /// 5792 // microsome // inferred from direct assay /// 16020 // membrane // inferred from electronic annotation	4601 // peroxidase activity // inferred from electronic annotation /// 4666 // prostaglandin-endoperoxide synthase activity // inferred from electronic annotation /// 5506 // iron ion binding // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 16702 // oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	Eicosanoid_Synthesis // GenMAPP /// Prostaglandin_synthesis_regulation // GenMAPP /// Eicosanoid_Synthesis // GenMAPP /// Prostaglandin_synthesis_regulation // GenMAPP /// Arachidonic acid metabolism // KEGG
1424214_at	9130213B05Rik	RIKEN cDNA 9130213B05 gene	0.002	-0.678	-1.6	---	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	---	---
1435917_at	NA	NA	0.000	-0.700	-1.6	---	---	---	---
1453317_a_at	Khdrbs3	KH domain containing, RNA binding, signal transduction associated 3	0.001	-0.720	-1.6	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // Unknown /// 3723 // RNA binding // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 3676 // nucleic acid binding // inferred from electronic annotation	---
1441917_s_at	Tmem40	transmembrane protein 40	0.001	-0.731	-1.7	---	16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	---	---
1425506_at	Mylk	myosin, light polypeptide kinase	0.000	-0.739	-1.7	7010 // cytoskeleton organization and biogenesis // inferred from electronic annotation /// 6468 // protein amino acid phosphorylation // inferred from electronic annotation	5856 // cytoskeleton // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 287 // magnesium ion binding // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from electronic annotation /// 5516 // calmodulin binding // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 4672 // protein kinase activity // inferred from electronic annotation	---
1424842_a_at	Arhgap24	Rho GTPase activating protein 24	0.003	-0.741	-1.7	7165 // signal transduction // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation	5096 // GTPase activator activity // inferred from electronic annotation	---
1449009_at	Tgtp	T-cell specific GTPase	0.001	-0.755	-1.7	9615 // response to virus // inferred from direct assay /// 6955 // immune response // non-traceable author statement	5622 // intracellular // non-traceable author statement	5525 // GTP binding // inferred from sequence or structural similarity /// 3924 // GTPase activity // inferred from direct assay	---
1460667_at	U90926	cDNA sequence U90926	0.000	-0.758	-1.7	---	5615 // extracellular space // Unknown	---	---
1428891_at	9130213B05Rik	RIKEN cDNA 9130213B05 gene	0.005	-0.824	-1.8	---	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	---	---
1418497_at	Fgf13	fibroblast growth factor 13	0.001	-0.836	-1.8	165 // MAPKKK cascade // inferred from sequence or structural similarity	5737 // cytoplasm // inferred from sequence or structural similarity	5515 // protein binding // inferred from sequence or structural similarity /// 8083 // growth factor activity // inferred from electronic annotation /// 30295 // protein kinase activator activity // inferred from sequence or structural similarity	---
1423429_at	Rhox5	reproductive homeobox 5	0.002	-0.857	-1.8	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 30317 // sperm motility // inferred from mutant phenotype /// 35234 // germ cell programmed cell death // inferred from mutant phenotype /// 45449 // regulation of transcription // inferred from electronic annotation	5634 // nucleus // inferred from direct assay /// 5737 // cytoplasm // inferred from direct assay /// 5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation /// 43565 // sequence-specific DNA binding // inferred from electronic annotation	---
1452707_at	4631423F02Rik	RIKEN cDNA 4631423F02 gene	0.000	-0.861	-1.8	---	---	5515 // protein binding // Unknown /// 5515 // protein binding // inferred from electronic annotation	---
1422592_at	Ctnnd2	catenin (cadherin associated protein), delta 2	0.000	-0.886	-1.8	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 7155 // cell adhesion // inferred from electronic annotation /// 7275 // development // inferred from electronic annotation /// 7612 // learning // inferred from mutant phenotype /// 48167 // regulation of synaptic plasticity // inferred from mutant phenotype	5634 // nucleus // inferred from electronic annotation /// 5856 // cytoskeleton // inferred from electronic annotation	5198 // structural molecule activity // inferred from electronic annotation /// 5488 // binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	---
1419735_at	Csn3	casein kappa	0.003	-0.938	-1.9	---	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // Unknown	---	---
1439689_at	9030224M15Rik	RIKEN cDNA 9030224M15 gene	0.002	-0.989	-2.0	---	---	---	---
1434170_at	Wdr40b	WD repeat domain 40B	0.001	-1.080	-2.1	---	---	---	---
1419555_at	Elf5	E74-like factor 5	0.000	-1.170	-2.3	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // Unknown /// 7398 // ectoderm development // inferred from mutant phenotype /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5634 // nucleus // Unknown /// 5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // Unknown /// 3700 // transcription factor activity // Unknown /// 43565 // sequence-specific DNA binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation	---
1429184_at	Gvin1	GTPase, very large interferon inducible 1	0.000	-1.209	-2.3	---	---	---	---
1417275_at	Mal	myelin and lymphocyte protein, T-cell differentiation protein	0.001	-1.262	-2.4	6917 // induction of apoptosis // inferred from direct assay	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	---	---
1444020_at	Cspg3	chondroitin sulfate proteoglycan 3	0.003	-1.542	-2.9	7155 // cell adhesion // inferred from electronic annotation	5615 // extracellular space // Unknown	5509 // calcium ion binding // inferred from electronic annotation /// 5529 // sugar binding // inferred from electronic annotation /// 5540 // hyaluronic acid binding // inferred from electronic annotation	---
1416203_at	Aqp1	aquaporin 1	0.001	-1.598	-3.0	6810 // transport // inferred from electronic annotation /// 6833 // water transport // traceable author statement	5615 // extracellular space // Unknown /// 5887 // integral to plasma membrane // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 19867 // outer membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	5215 // transporter activity // inferred from electronic annotation /// 15250 // water channel activity // traceable author statement /// 15288 // porin activity // inferred from electronic annotation	---
