Probe set	UG	Symbol	Title	Fold Increase	P-value	Adj. P-value
93011_at	Mm.14638	Gabarapl1	Gamma-aminobutyric acid (GABA(A)) receptor-associated protein-like 1	13.33	<0.0001	0.000
96300_f_at	Mm.270283	Rps27	Ribosomal protein S27	13.16	<0.0001	0.000
102767_at	Unknown	Unknown	Unknown	12.82	0.0198	0.062
160104_at	Mm.157103	Hsd3b7	Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	12.35	0.0003	0.014
98946_at	Mm.307022	Wsb1	WD repeat and SOCS box-containing 1	12.05	<0.0001	0.001
104108_at	Mm.21904	Rab6ip1	Rab6 interacting protein 1	12.05	<0.0001	0.005
93626_at	Mm.333096	Abcg2	ATP-binding cassette, sub-family G (WHITE), member 2	12.05	0.0060	0.074
160575_at	Mm.10160	Cggbp1	CGG triplet repeat binding protein 1	11.76	<0.0001	0.000
94270_at	Mm.22479	Krt1-18	Keratin complex 1, acidic, gene 18	11.63	0.0001	0.003
104716_at	Mm.279741	Rbp1	Retinol binding protein 1, cellular	11.36	<0.0001	0.001
98010_at	Mm.255151	Nfe2	Nuclear factor, erythroid derived 2	11.36	0.0029	0.049
98059_s_at	Mm.243014	Lmna	Lamin A	11.36	0.0247	0.146
101922_at	Mm.181880	Kdelr2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	10.99	<0.0001	0.003
103916_at	Mm.257952	8430420C20Rik	RIKEN cDNA 8430420C20 gene	10.64	0.0186	0.078
97885_at	Mm.28385	1810009M01Rik	RIKEN cDNA 1810009M01 gene	10.53	0.0001	0.006
98038_at	Mm.336087	Hmgb3	High mobility group box 3	10.42	<0.0001	0.003
93316_at	Mm.259470	Osbpl1a	Oxysterol binding protein-like 1A	10.42	0.0323	0.132
96640_at	Mm.277864	3110001A13Rik	RIKEN cDNA 3110001A13 gene	10.31	<0.0001	0.001
96057_at	Mm.284446	Aldh2	Aldehyde dehydrogenase 2, mitochondrial	10.20	0.0001	0.004
161073_at	Mm.200446	C630002B14Rik	RIKEN cDNA C630002B14 gene	10.20	0.0005	0.017
101958_f_at	Unknown	Unknown	Unknown	10.20	0.0006	0.008
160138_at	Mm.2154	Mxi1	Max interacting protein 1	10.20	0.0094	0.075
103308_at	Mm.21144	C79407	Expressed sequence C79407	10.10	0.0028	0.031
98790_s_at	Mm.356578	Meis1	Myeloid ecotropic viral integration site 1	10.00	0.0001	0.008
103503_at	Mm.192699	Plcg2	Phospholipase C, gamma 2	9.90	0.0184	0.131
97973_at	Mm.239869	Tal1	T-cell acute lymphocytic leukemia 1	9.62	0.0007	0.018
100629_at	Mm.282351	Gstm5	Glutathione S-transferase, mu 5	9.62	0.0257	0.159
92926_at	Mm.4864	Mpl	Myeloproliferative leukemia virus oncogene	9.43	<0.0001	0.001
104725_at	Mm.826	Rhoq	Ras homolog gene family, member Q	9.43	0.0045	0.055
99563_at	Mm.188432	Spin	Spindlin	9.35	0.0035	0.051
102860_at	Mm.264709	Serpina3g	Serine (or cysteine) proteinase inhibitor, clade A, member 3G	9.35	0.0039	0.052
93315_at	Mm.18494	Map2k3	Mitogen activated protein kinase kinase 3	9.01	0.0005	0.012
100297_at	Mm.289082	Wdr26	WD repeat domain 26	9.01	0.0256	0.128
97925_at	Mm.30199	Csnk1e	Casein kinase 1, epsilon	8.85	0.0227	0.050
103783_at	Mm.266215	Xpr1	Xenotropic and polytropic retrovirus receptor 1	8.85	0.0253	0.159
93707_f_at	Unknown	Unknown	Unknown	8.70	0.0167	0.051
98088_at	Mm.3460	Cd14	CD14 antigen	8.62	0.0025	0.004
100571_at	Mm.197518	Laptm4b	Lysosomal-associated protein transmembrane 4B	8.62	0.0070	0.055
93728_at	Mm.153272	Tgfb1i4	Transforming growth factor beta 1 induced transcript 4	8.62	0.0222	0.150
160543_at	Mm.277870	Snx3	Sorting nexin 3	8.55	0.0015	0.029
104533_at	Mm.328931	Pim1	Proviral integration site 1	8.47	0.0006	0.002
95661_at	Mm.210676	Cd9	CD9 antigen	8.33	0.0001	0.005
94899_at	Mm.2402	AA536749	Expressed sequence AA536749	8.33	0.0028	0.047
98855_r_at	Mm.369045	Unknown	Transcribed locus	8.33	0.0072	0.079
93568_i_at	Mm.321089	2610042L04Rik	RIKEN cDNA 2610042L04 gene	8.26	0.0018	0.033
100630_f_at	Mm.282351	Gstm5	Glutathione S-transferase, mu 5	8.20	0.0180	0.095
96007_at	Mm.232728	Ssr3	Signal sequence receptor, gamma	8.13	<0.0001	0.000
160977_at	Mm.320978	Arhgef5	Rho guanine nucleotide exchange factor (GEF) 5	8.13	0.0092	0.095
98018_at	Mm.3243	Procr	Protein C receptor, endothelial	7.81	0.0004	0.014
104398_at	Mm.225289	1300010A20Rik	RIKEN cDNA 1300010A20 gene	7.81	0.0263	0.162
97421_at	Mm.2999	Smc2l1	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	7.75	0.0007	0.015
104155_f_at	Mm.2706	Atf3	Activating transcription factor 3	7.75	0.0093	0.086
93768_f_at	Unknown	MGC90611	Similar to hypothetical protein FLJ10342	7.69	0.0166	0.116
97527_at	Mm.222228	Cks2	CDC28 protein kinase regulatory subunit 2	7.58	0.0028	0.046
101590_at	Mm.486	Lamp2	Lysosomal membrane glycoprotein 2	7.52	0.0018	0.037
104735_at	Mm.246466	Kctd12	Potassium channel tetramerisation domain containing 12	7.46	0.0030	0.041
103038_at	Mm.16224	Guca1a	Guanylate cyclase activator 1a (retina)	7.46	0.0035	0.026
95674_r_at	Mm.29586	Basp1	Brain abundant, membrane attached signal protein 1	7.46	0.0136	0.095
160321_at	Mm.292405	Za20d2	Zinc finger, A20 domain containing 2	7.41	0.0002	0.010
100596_at	Mm.196558	Selenbp1	Selenium binding protein 1	7.35	0.0252	0.152
95520_at	Mm.261182	2310061B02Rik	RIKEN cDNA 2310061B02 gene	7.25	<0.0001	0.000
95295_s_at	Mm.194	Flt3	FMS-like tyrosine kinase 3	7.19	0.0115	0.031
161127_i_at	Mm.107869	Rpl24	Ribosomal protein L24	7.14	<0.0001	0.005
101093_at	Mm.738	Col4a1	Procollagen, type IV, alpha 1	7.14	0.0318	0.134
104569_at	Mm.2389	Mll	Myeloid/lymphoid or mixed-lineage leukemia	7.09	0.0007	0.022
104386_f_at	Mm.227	Itgav	Integrin alpha V	7.04	0.0192	0.087
160493_at	Mm.371552	Cd63	Cd63 antigen	6.99	0.0001	0.004
160894_at	Mm.347407	Cebpd	CCAAT/enhancer binding protein (C/EBP), delta	6.90	0.0064	0.016
93237_s_at	Mm.268395	Tyms	Thymidylate synthase	6.90	0.0098	0.058
162138_s_at	Mm.38438	Cbx6	Chromobox homolog 6	6.80	0.0149	0.112
94479_at	Mm.259326	D1Ertd161e	DNA segment, Chr 1, ERATO Doi 161, expressed	6.80	0.0290	0.166
96426_at	Mm.142729	Tmsb4x	Thymosin, beta 4, X chromosome	6.76	<0.0001	0.004
93454_at	Mm.681	C1qr1	Complement component 1, q subcomponent, receptor 1	6.76	0.0053	0.065
93101_s_at	Unknown	Unknown	Unknown	6.71	<0.0001	0.001
160979_at	Mm.373522	Ctbp2	C-terminal binding protein 2	6.71	0.0180	0.088
103518_at	Mm.358584	Ctla2b	Cytotoxic T lymphocyte-associated protein 2 beta	6.54	0.0014	0.031
97352_f_at	Mm.359024	Cox6b2	Cytochrome c oxidase subunit VIb polypeptide 2	6.37	0.0022	0.042
94340_at	Mm.25042	Xpot	Exportin, tRNA (nuclear export receptor for tRNAs)	6.37	0.0268	0.116
160502_at	Mm.294885	Creg1	Cellular repressor of E1A-stimulated genes 1	6.33	0.0022	0.040
160817_at	Mm.29739	Tmem40	Transmembrane protein 40	6.21	0.0001	0.007
98129_at	Mm.3532	Tmsb10	Thymosin, beta 10	6.21	0.0004	0.014
160358_at	Mm.29798	Cd34	CD34 antigen	6.21	0.0034	0.037
96896_at	Mm.259045	Actr2	ARP2 actin-related protein 2 homolog (yeast)	6.13	0.0056	0.071
95356_at	Mm.305152	Apoe	Apolipoprotein E	6.10	0.0212	0.147
95722_at	Mm.25844	Glrx1	Glutaredoxin 1 (thioltransferase)	6.06	0.0017	0.028
103892_r_at	Mm.21288	Ell2	Elongation factor RNA polymerase II 2	5.95	0.0001	0.006
94377_at	Mm.25547	Gng11	Guanine nucleotide binding protein (G protein), gamma 11	5.92	0.0006	0.007
103695_f_at	Mm.290704	C330007P06Rik	RIKEN cDNA C330007P06 gene	5.92	0.0176	0.024
101869_s_at	Unknown	Hbb-b1	Hemoglobin, beta adult major chain	5.92	0.0255	0.120
97895_f_at	Mm.272472	Hat1	Histone aminotransferase 1	5.88	0.0078	0.059
96594_at	Mm.239865	Hspa4	Heat shock protein 4	5.85	0.0004	0.014
92676_at	Mm.4509	Runx2	Runt related transcription factor 2	5.75	0.0421	0.073
97798_at	Mm.279287	4930504E06Rik	RIKEN cDNA 4930504E06 gene	5.68	0.0009	0.023
100522_s_at	Mm.512	Wbp5	WW domain binding protein 5	5.68	0.0109	0.104
101963_at	Mm.930	Ctsl	Cathepsin L	5.65	0.0023	0.014
96019_at	Mm.246304	Sypl	Synaptophysin-like protein	5.62	0.0002	0.010
94254_at	Mm.257765	Clic4	Chloride intracellular channel 4 (mitochondrial)	5.62	0.0063	0.014
101972_at	Mm.9495	Napsa	Napsin A aspartic peptidase	5.59	0.0010	0.007
98408_at	Mm.33896	Hhex	Hematopoietically expressed homeobox	5.59	0.0129	0.100
102279_at	Mm.277125	Ube1l	Ubiquitin-activating enzyme E1-like	5.49	0.0002	0.009
96146_at	Mm.2823	Btg3	B-cell translocation gene 3	5.46	0.0001	0.006
100903_at	Mm.281482	Parp2	Poly (ADP-ribose) polymerase family, member 2	5.41	0.0142	0.053
161067_at	Mm.276018	Trib3	Tribbles homolog 3 (Drosophila)	5.38	0.0133	0.088
162358_i_at	Mm.229291	Slc25a1	Solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1	5.35	<0.0001	0.001
99056_at	Mm.39473	Pcbd1	Pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 1	5.35	0.0393	0.150
97468_at	Mm.3049	Cks1b	CDC28 protein kinase 1b	5.32	0.0025	0.035
97844_at	Mm.28262	Rgs2	Regulator of G-protein signaling 2	5.32	0.0218	0.134
98564_f_at	Mm.261679	Rps26	Ribosomal protein S26	5.18	0.0001	0.007
98451_at	Mm.248776	Dnajb10	DnaJ (Hsp40) homolog, subfamily B, member 10	5.18	0.0327	0.167
94963_at	Mm.279361	Vcl	Vinculin	5.18	0.0437	0.091
160684_at	Mm.246241	8430410A17Rik	RIKEN cDNA 8430410A17 gene	5.10	0.0429	0.211
93627_at	Mm.37660	Ankrd28	Ankyrin repeat domain 28	5.05	0.0025	0.037
96128_at	Mm.28130	Pctk3	PCTAIRE-motif protein kinase 3	5.05	0.0110	0.091
94224_s_at	Mm.261270	Ifi203	Interferon activated gene 203	5.03	0.0450	0.210
96273_at	Mm.335065	Nrgn	Neurogranin	5.00	0.0095	0.049
102863_at	Mm.213114	Zkscan1	Zinc finger with KRAB and SCAN domains 1	4.98	0.0025	0.043
95139_at	Mm.29432	2510001I10Rik	RIKEN cDNA 2510001I10 gene	4.98	0.0074	0.083
161997_f_at	Unknown	Unknown	Unknown	4.90	0.0076	0.086
96935_at	Mm.30181	MGI:1914432	Membrane-associated protein 17	4.88	0.0017	0.004
103321_at	Unknown	B230364F10	Hypothetical protein B230364F10	4.88	0.0125	0.047
99580_s_at	Mm.300095	Ugt1a2	UDP-glucuronosyltransferase 1 family, member 2	4.88	0.0134	0.057
94796_at	Mm.260539	Psmd11	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	4.88	0.0337	0.177
99578_at	Mm.4237	Top2a	Topoisomerase (DNA) II alpha	4.85	<0.0001	0.006
93608_at	Mm.256798	Ebi3	Epstein-Barr virus induced gene 3	4.83	0.0356	0.188
93503_at	Mm.19155	Sfrp2	Secreted frizzled-related sequence protein 2	4.78	0.0092	0.082
97502_at	Mm.3131	Dld	Dihydrolipoamide dehydrogenase	4.76	0.0473	0.124
96628_at	Mm.154511	Eprs	Glutamyl-prolyl-tRNA synthetase	4.74	0.0052	0.048
96736_at	Mm.209385	Lpp	LIM domain containing preferred translocation partner in lipoma	4.72	0.0165	0.121
98127_at	Mm.262039	Capza2	Capping protein (actin filament) muscle Z-line, alpha 2	4.63	0.0260	0.145
99936_at	Mm.4345	Tie1	Tyrosine kinase receptor 1	4.63	0.0453	0.121
99537_at	Mm.42195	Ruvbl1	RuvB-like protein 1	4.57	0.0070	0.012
160547_s_at	Mm.271877	Txnip	Thioredoxin interacting protein	4.55	0.0020	0.029
93495_at	Mm.247542	Prdx4	Peroxiredoxin 4	4.55	0.0046	0.059
160256_at	Mm.291868	Tomm7	Translocase of outer mitochondrial membrane 7 homolog (yeast)	4.52	0.0057	0.064
95506_at	Mm.234502	Myo1c	Myosin IC	4.48	0.0001	0.008
93095_at	Mm.16421	Hmgb1	High mobility group box 1	4.48	0.0298	0.122
97447_at	Mm.196239	Map1lc3a	Microtubule-associated protein 1 light chain 3 alpha	4.46	<0.0001	0.003
93561_at	Mm.20313	Chchd6	Coiled-coil-helix-coiled-coil-helix domain containing 6	4.46	0.0267	0.101
99335_at	Mm.196605	Hk1	Hexokinase 1	4.42	0.0002	0.011
93569_f_at	Mm.321089	2610042L04Rik	RIKEN cDNA 2610042L04 gene	4.42	0.0015	0.035
93187_at	Mm.5510	Trim47	Tripartite motif protein 47	4.42	0.0185	0.137
160391_at	Mm.30158	Fads1	Fatty acid desaturase 1	4.41	<0.0001	0.001
101001_at	Mm.6766	5031439A09Rik	RIKEN cDNA 5031439A09 gene	4.41	0.0059	0.074
160449_at	Mm.303534	Dr1	Down-regulator of transcription 1	4.41	0.0097	0.011
104050_at	Mm.273496	Zfr	Zinc finger RNA binding protein	4.41	0.0354	0.181
92579_at	Mm.10508	Ssb	Sjogren syndrome antigen B	4.39	0.0216	0.083
104187_at	Mm.27443	D10Wsu93e	DNA segment, Chr 10, Wayne State University 93, expressed	4.37	0.0026	0.029
102302_at	Mm.12819	Bckdhb	Branched chain ketoacid dehydrogenase E1, beta polypeptide	4.37	0.0384	0.178
94492_at	Mm.28919	Dstn	Destrin	4.35	0.0498	0.211
94374_at	Mm.284162	Wdr13	WD repeat domain 13	4.33	0.0354	0.178
160688_at	Unknown	Unknown	Unknown	4.31	0.0002	0.007
96728_at	Mm.305725	Wdrx1	WD repeat domain, X-linked 1	4.31	0.0007	0.021
94839_at	Mm.258923	Nucb1	Nucleobindin 1	4.31	0.0027	0.048
96876_at	Mm.30071	Laptm4a	Lysosomal-associated protein transmembrane 4A	4.29	0.0293	0.172
160362_at	Mm.29815	Mat2a	Methionine adenosyltransferase II, alpha	4.27	0.0001	0.006
104188_at	Mm.254017	Notch2	Notch gene homolog 2 (Drosophila)	4.26	0.0013	0.022
94948_at	Mm.27063	Trip6	Thyroid hormone receptor interactor 6	4.26	0.0186	0.121
97816_at	Mm.30521	2600011C06Rik	RIKEN cDNA 2600011C06 gene	4.26	0.0233	0.141
161499_f_at	Unknown	Unknown	Unknown	4.24	0.0148	0.061
160335_at	Mm.348081	Gclm	Glutamate-cysteine ligase , modifier subunit	4.24	0.0219	0.146
98617_at	Mm.141197	Wbp11	WW domain binding protein 11	4.20	0.0021	0.025
103841_at	Mm.2095	Zfp64	Zinc finger protein 64	4.20	0.0081	0.049
160546_at	Mm.7729	Aldoc	Aldolase 3, C isoform	4.20	0.0296	0.169
93621_at	Mm.315625	Tgif2	TGFB-induced factor 2	4.12	0.0111	0.053
97647_at	Mm.702	Rps16	Ribosomal protein S16	4.10	<0.0001	0.004
97696_r_at	Mm.282053	Rpl7	Ribosomal protein L7	4.10	<0.0001	0.004
104371_at	Mm.22633	Dgat1	Diacylglycerol O-acyltransferase 1	4.07	0.0479	0.211
98407_at	Mm.3374	Efnb1	Ephrin B1	4.05	0.0310	0.156
98635_at	Mm.38802	D11Moh35	DNA segment, Chr 11, KL Mohlke 35	4.05	0.0341	0.152
95059_at	Mm.29159	Pnrc2	Proline-rich nuclear receptor coactivator 2	4.03	0.0130	0.099
97506_at	Mm.31512	Rnf2	Ring finger protein 2	4.02	0.0305	0.110
102599_at	Mm.296922	Tpt1	Tumor protein, translationally-controlled 1	3.97	0.0008	0.010
104541_at	Mm.2364	Prtn3	Proteinase 3	3.97	0.0013	0.022
160082_s_at	Mm.297768	Arf4	ADP-ribosylation factor 4	3.95	0.0002	0.009
95417_at	Mm.206642	Mgat2	Mannoside acetylglucosaminyltransferase 2	3.92	0.0146	0.109
101129_at	Mm.4419	Rpl5	Ribosomal protein L5	3.91	0.0022	0.041
98055_at	Mm.34330	Blcap	Bladder cancer associated protein homolog (human)	3.91	0.0139	0.089
93021_at	Mm.336245	LOC406217	RIKEN cDNA 2410004M13 gene	3.89	0.0311	0.164
94814_at	Mm.271703	Gnai3	Guanine nucleotide binding protein, alpha inhibiting 3	3.86	0.0002	0.010
93619_at	Mm.7373	Per1	Period homolog 1 (Drosophila)	3.86	0.0219	0.110
160850_at	Mm.3830	Fpgs	Folylpolyglutamyl synthetase	3.86	0.0274	0.152
103935_at	Mm.6306	Atp2a3	ATPase, Ca++ transporting, ubiquitous	3.85	0.0024	0.044
98002_at	Mm.334861	Icsbp1	Interferon consensus sequence binding protein 1	3.83	0.0045	0.063
103379_at	Mm.143768	Fbxo3	F-box only protein 3	3.83	0.0172	0.132
103771_at	Mm.24777	1110061N23Rik	RIKEN cDNA 1110061N23 gene	3.80	0.0012	0.023
160360_at	Mm.29812	MGI:1927947	Selenoprotein	3.79	0.0035	0.039
95377_at	Mm.269011	Fgf11	Fibroblast growth factor 11	3.77	0.0060	0.068
103598_at	Mm.20000	Dhx9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	3.75	0.0305	0.170
101577_at	Mm.325584	Rps6	Ribosomal protein S6	3.73	0.0005	0.020
96157_at	Mm.290924	Zfp91	Zinc finger protein 91	3.73	0.0024	0.046
160393_at	Mm.272548	Etnk1	Ethanolamine kinase 1	3.70	0.0015	0.029
96123_at	Mm.218846	Lbp	Lipopolysaccharide binding protein	3.70	0.0091	0.083
99970_at	Mm.4420	Ptpn21	Protein tyrosine phosphatase, non-receptor type 21	3.66	0.0289	0.037
95135_at	Mm.29429	Mid1ip1	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	3.66	0.0304	0.022
92577_f_at	Mm.10474	Rpl37	Ribosomal protein L37	3.64	0.0020	0.042
100123_f_at	Mm.263396	Itgb1	Integrin beta 1 (fibronectin receptor beta)	3.62	0.0260	0.165
96267_at	Mm.29842	Ndufv1	NADH dehydrogenase (ubiquinone) flavoprotein 1	3.62	0.0392	0.185
93806_at	Mm.260760	Sh3bgrl	SH3-binding domain glutamic acid-rich protein like	3.61	0.0001	0.009
161899_f_at	Unknown	Unknown	Unknown	3.58	<0.0001	0.006
92569_f_at	Mm.220367	Nol5	Nucleolar protein 5	3.57	<0.0001	0.004
92568_at	Mm.293529	Tfb2m	Transcription factor B2, mitochondrial	3.57	0.0035	0.002
95120_at	Mm.254663	Tm4sf13	Transmembrane 4 superfamily member 13	3.52	0.0002	0.007
160084_at	Mm.34102	Odc1	Ornithine decarboxylase, structural 1	3.48	0.0463	0.201
101325_r_at	Mm.334244	Fbs1	Fibrosin 1	3.47	0.0402	0.184
160669_at	Mm.2152	Htatsf1	HIV TAT specific factor 1	3.47	0.0441	0.130
93139_at	Mm.5162	Sdsl	Serine dehydratase-like	3.45	0.0081	0.071
94767_at	Unknown	Unknown	Unknown	3.44	0.0010	0.028
96657_at	Mm.2734	Sat1	Spermidine/spermine N1-acetyl transferase 1	3.44	0.0021	0.041
97821_at	Mm.234204	Pak2	P21 (CDKN1A)-activated kinase 2	3.44	0.0091	0.087
160225_at	Mm.271756	Gtf2b	General transcription factor IIB	3.44	0.0436	0.212
94054_at	Unknown	Unknown	Unknown	3.42	0.0057	0.071
95507_at	Mm.287178	Prps1	Phosphoribosyl pyrophosphate synthetase 1	3.41	0.0497	0.215
160794_at	Mm.156895	Smyd2	SET and MYND domain containing 2	3.38	0.0193	0.140
95693_at	Mm.246432	Idh2	Isocitrate dehydrogenase 2 (NADP+), mitochondrial	3.37	0.0404	0.202
97302_at	Mm.33764	Ivns1abp	Influenza virus NS1A binding protein	3.36	0.0002	0.010
101585_at	Mm.9052	Pgrmc1	Progesterone receptor membrane component 1	3.34	0.0028	0.048
160512_at	Mm.27182	BC017643	CDNA sequence BC017643	3.34	0.0089	0.085
98000_at	Mm.3177	Ly64	Lymphocyte antigen 64	3.34	0.0386	0.188
97351_i_at	Unknown	Unknown	Unknown	3.32	0.0157	0.078
162066_f_at	Mm.2402	AA536749	Expressed sequence AA536749	3.29	0.0024	0.046
94823_at	Mm.244304	Rpl23a	Ribosomal protein L23a	3.29	0.0032	0.050
104316_at	Mm.193925	Gna13	Guanine nucleotide binding protein, alpha 13	3.29	0.0060	0.070
99093_at	Mm.275810	Rps10	Ribosomal protein S10	3.28	<0.0001	0.000
101402_at	Mm.246493	Thrap4	Thyroid hormone receptor associated protein 4	3.28	0.0027	0.038
160267_at	Mm.73608	0610009E20Rik	RIKEN cDNA 0610009E20 gene	3.28	0.0056	0.072
95395_at	Mm.23834	Ythdf3	YTH domain family 3	3.26	0.0104	0.097
98085_f_at	Mm.200920	Unknown	B6-derived CD11 +ve dendritic cells cDNA, RIKEN full-length enriched library, clone:F730014O09	3.25	0.0042	0.062
103007_at	Mm.15675	Efna1	Ephrin A1	3.25	0.0334	0.087
99985_at	Mm.210155	Txnrd1	Thioredoxin reductase 1	3.24	0.0033	0.033
98574_at	Mm.3757	Prpf8	Pre-mRNA processing factor 8	3.24	0.0035	0.053
160633_at	Mm.1886	Thoc4	THO complex 4	3.21	0.0002	0.003
160826_at	Mm.3059	Nsmaf	Neutral sphingomyelinase (N-SMase) activation associated factor	3.19	0.0088	0.077
93702_at	Mm.123884	Ptpn23	Protein tyrosine phosphatase, non-receptor type 23	3.19	0.0206	0.092
98030_at	Mm.295578	Trim30	Tripartite motif protein 30	3.16	0.0034	0.055
101484_at	Mm.784	Nbr1	Neighbor of Brca1 gene 1	3.15	0.0072	0.084
100138_f_at	Mm.276338	Rbm14	RNA binding motif protein 14	3.15	0.0218	0.115
95118_r_at	Mm.370289	Kif22	Kinesin family member 22	3.13	0.0096	0.020
94261_at	Mm.236211	Thrap3	Thyroid hormone receptor associated protein 3	3.11	0.0005	0.014
96875_r_at	Mm.50424	Tax1bp1	Tax1 (human T-cell leukemia virus type I) binding protein 1	3.11	0.0273	0.115
96042_at	Mm.290876	Sod2	Superoxide dismutase 2, mitochondrial	3.10	0.0073	0.054
94978_at	Mm.296240	2310037I24Rik	RIKEN cDNA 2310037I24 gene	3.09	0.0425	0.175
93966_at	Mm.288924	Ube4b	Ubiquitination factor E4B, UFD2 homolog (S. cerevisiae)	3.08	0.0030	0.052
101019_at	Mm.322945	Ctsc	Cathepsin C	3.08	0.0099	0.022
161799_r_at	Mm.261168	Kcnj9	Potassium inwardly-rectifying channel, subfamily J, member 9	3.06	0.0185	0.115
95721_at	Mm.221235	Mapkapk2	MAP kinase-activated protein kinase 2	3.05	0.0073	0.050
160187_at	Mm.373536	Pafah1b2	Platelet-activating factor acetylhydrolase, isoform 1b, alpha2 subunit	3.05	0.0375	0.197
101955_at	Mm.330160	Hspa5	Heat shock 70kD protein 5 (glucose-regulated protein)	3.05	0.0486	0.172
161510_f_at	Unknown	Unknown	Unknown	3.04	0.0108	0.095
97366_at	Mm.29689	Lemd2	LEM domain containing 2	3.03	0.0370	0.197
103499_at	Mm.22339	Vwf	Von Willebrand factor homolog	3.03	0.0375	0.003
96290_f_at	Mm.371575	Rpl21	Ribosomal protein L21	3.01	0.0307	0.176
96762_at	Mm.173286	Tnpo1	Transportin 1	3.00	0.0003	0.014
161969_f_at	Mm.18626	Capg	Capping protein (actin filament), gelsolin-like	3.00	0.0280	0.170
95514_at	Unknown	Unknown	Unknown	2.99	0.0016	0.028
160995_at	Mm.219183	Repin1	Replication initiator 1	2.99	0.0088	0.088
98073_at	Mm.320317	Cutl1	Cut-like 1 (Drosophila)	2.97	<0.0001	0.000
99661_r_at	Mm.43786	Cox7c	Cytochrome c oxidase, subunit VIIc	2.96	0.0001	0.009
160081_at	Mm.371576	Rpl36a	Ribosomal protein L36a	2.96	0.0009	0.025
