Gene symbol	Gene name	Gene description	Gene Specific Factor
g6453817_3p_a_at	KIF22	kinesin family member 22	Cyclophosphamide 35 probesets
g7110634_3p_at	C22orf5	chromosome 22 open reading frame 5	Cyclophosphamide 35 probesets
g7657539_3p_a_at	SCHIP1	schwannomin interacting protein 1	Cyclophosphamide 35 probesets
g7662049_3p_s_at	ARNT2	aryl-hydrocarbon receptor nuclear translocator 2	Cyclophosphamide 35 probesets
Hs.110156.0.A1_3p_at	NA	FLJ26187	Cyclophosphamide 35 probesets
Hs.133476.0.A1_3p_s_at	LPP	LIM containing translocation partner in lipoma	Cyclophosphamide 35 probesets
Hs.137476.0.S1_3p_at	PEG10	paternally expressed 10	Cyclophosphamide 35 probesets
Hs.14896.S1_3p_at	NA	NA	Cyclophosphamide 35 probesets
Hs.64742.0.S1_3p_at	NBEAL2	neurobeachin-like 2	Cyclophosphamide 35 probesets
Hs.69388.1.S1_3p_at	C6orf145	chromosome 6 open reading frame 145	Cyclophosphamide 35 probesets
Hs.93005.0.S2_3p_at	SNAI2	snail homologue 2	Cyclophosphamide 35 probesets
Hs.99766.0.S1_3p_at	CD59	CD59, complement regulatory protein	Cyclophosphamide 35 probesets
