Affy ID	Accession	Gene Symbol	Description	BC mean	BC SD	SD/mean BC	TC+KC mean	TC+KC SD	SD/mean TC+KC	BC/(TC+KC)	direction	P-value
237768_x_at	AA825925	TAF15	---	0.88	0.24	0.27	1.3	0.25	0.2	0.68	down	0.000705
1555372_at	AF455755	BCL2L11; BAM; BIM; BOD; BimL; BimEL	BCL2-like 11 (apoptosis facilitator)	0.98	0.25	0.26	1.33	0.41	0.31	0.74	down	0.00139
228549_at	AI491983	KIAA0792	KIAA0792 gene product	0.9	0.24	0.27	1.2	0.31	0.26	0.76	down	0.0287
233014_at	AK022980		isopentenyl-diphosphate delta isomerase	0.9	0.16	0.18	1.08	0.24	0.22	0.83	down	0.0381
203408_s_at	NM_002971	SATB1	special AT-rich sequence binding protein 1 (binto nuclear matrix/scaffold-associating DNAs) /// special AT-rich sequence binding protein 1 (binto nuclear matrix/scaffold-associating DNAs)	0.91	0.27	0.3	1.18	0.25	0.21	0.77	down	0.0239
207163_s_at	NM_005163	AKT1	v-akt murine thymoma viral oncogene homolog 1 /// v-akt murine thymoma viral oncogene homolog 1	0.83	0.16	0.19	1.08	0.19	0.18	0.77	down	0.0481
223031_s_at	AL136921	RFWD1	ring finger and WD repeat domain 1	0.91	0.2	0.22	1.09	0.2	0.19	0.83	down	0.036
217950_at	NM_015953	NOSIP	nitric oxide synthase interacting protein	0.88	0.29	0.33	1.25	0.22	0.18	0.7	down	0.0239
208804_s_at	AL031681		splicing factor, arginine/serine-rich 6	0.86	0.21	0.24	1.11	0.19	0.17	0.77	down	0.016
232034_at	AL117607	LOC203274	hypothetical protein LOC203274	0.98	0.31	0.32	1.3	0.62	0.48	0.75	down	0.0172
1556053_at	AL556987	DNAJC7	DnaJ (Hsp40) homolog, subfamily C, member 7	0.86	0.31	0.35	1.16	0.21	0.18	0.74	down	0.00128
238142_at	AW029203		CDNA FLJ37584 fis, clone BRCOC2004950	0.91	0.24	0.26	1.14	0.13	0.11	0.8	down	8.48E-05
207064_s_at	NM_009590	AOC2	amine oxidase, copper containing 2 (retina-specific) /// amine oxidase, copper containing 2 (retina-specific)	0.87	0.18	0.21	1.18	0.3	0.25	0.74	down	0.0064
212191_x_at	AW574664	RPL13	ribosomal protein L13	0.9	0.21	0.23	1.1	0.18	0.17	0.82	down	0.0198
236002_at	BE178502		STE20-like kinase	0.95	0.25	0.26	1.22	0.22	0.18	0.78	down	0.0036
238999_at	AI610347		Transcribed sequences	0.93	0.36	0.39	1.12	0.32	0.29	0.83	down	0.0254
208322_s_at	NM_003033	SIAT4A	sialyltransferase 4A (beta-galactoside alpha-2,3-sialyltransferase) /// sialyltransferase 4A (beta-galactoside alpha-2,3-sialyltransferase)	0.95	0.22	0.24	1.15	0.14	0.12	0.83	down	0.0123
239122_at	AI638155	IL24	interleukin 24	0.95	0.25	0.26	1.2	0.31	0.26	0.79	down	0.0123
217317_s_at	AB002391	MN7	similar to KIAA0393 protein	0.94	0.32	0.34	1.16	0.34	0.29	0.81	down	0.036
202731_at	NM_014456	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor) /// programmed cell death 4 (neoplastic transformation inhibitor)	1.08	0.24	0.22	0.93	0.15	0.16	1.15	up	0.0198
201164_s_at	BG474429	PUM1	pumilio homolog 1 (Drosophila)	0.87	0.19	0.22	1.22	0.2	0.17	0.72	down	0.000426
226156_at	BE866854	AKT2	v-akt murine thymoma viral oncogene homolog 2	0.82	0.22	0.27	1.17	0.15	0.13	0.7	down	0.00139
230097_at	AI207338	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	0.99	0.35	0.35	1.12	0.23	0.21	0.88	down	0.0123
235508_at	AW291023		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only	0.84	0.21	0.25	1.59	1.49	0.93	0.53	down	0.000705
213347_x_at	AW132023	RPS4X	ribosomal protein S4, X-linked	0.88	0.17	0.2	1.13	0.21	0.18	0.78	down	0.00256
203723_at	NM_002221	ITPKB	inositol 1,4,5-trisphosphate 3-kinase B /// inositol 1,4,5-trisphosphate 3-kinase B	0.88	0.28	0.31	1.17	0.19	0.16	0.75	down	0.0287
225656_at	AI564473	EFHC1	EF-hand domain (C-terminal) containing 1	0.86	0.21	0.25	1.09	0.1	0.09	0.79	down	0.000856
225204_at	AA521311	TA-PP2C	T-cell activation protein phosphatase 2C	0.87	0.25	0.29	1.22	0.33	0.27	0.71	down	0.000939
213588_x_at	AA838274	RPL14	ribosomal protein L14	0.87	0.22	0.25	1.1	0.17	0.16	0.79	down	0.0107
201591_s_at	NM_007184	NISCH	nischarin /// nischarin	0.85	0.15	0.18	1.26	0.22	0.17	0.67	down	0.000383
227122_at	AI807498		Transcribed sequence with moderate similarity to protein sp:P39191 (H.sapiens) ALU4_HUMAN Alu subfamily SB2 sequence contamination warning entry	0.96	0.13	0.13	1.2	0.22	0.18	0.8	down	0.016
214731_at	AB037854	DKFZp547A023	hypothetical protein DKFZp547A023	0.9	0.13	0.14	1.13	0.24	0.21	0.8	down	0.00256
238549_at	AI420611	CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	0.92	0.26	0.28	1.07	0.21	0.2	0.86	down	0.0304
202510_s_at	NM_006291	TNFAIP2	tumor necrosis factor, alpha-induced protein 2 /// tumor necrosis factor, alpha-induced protein 2	0.89	0.21	0.24	1.27	0.44	0.35	0.7	down	0.0304
201685_s_at	NM_014828	C14orf92	chromosome 14 open reading frame 92	0.91	0.18	0.2	1.13	0.21	0.19	0.8	down	0.016
239243_at	AA279654	NP_220	NP220 nuclear protein	0.94	0.32	0.34	1.32	0.31	0.24	0.71	down	0.000383
40446_at	4884570_RC		PHD finger protein 1	0.91	0.17	0.19	1.14	0.13	0.11	0.8	down	0.027
222544_s_at	AI697751	WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1	0.91	0.3	0.33	1.15	0.15	0.13	0.8	down	0.000426
219155_at	NM_012417	PITPNC1	phosphatidylinositol transfer protein, cytoplasmic 1 /// phosphatidylinositol transfer protein, cytoplasmic 1	0.9	0.23	0.26	1.12	0.12	0.11	0.8	down	0.0198
233248_at	AK022028		CDNA FLJ11966 fis, clone HEMBB1001114	0.87	0.23	0.26	1.07	0.17	0.16	0.82	down	0.00115
235786_at	AI806781		Transcribed sequences	0.8	0.27	0.34	1.22	0.27	0.22	0.66	down	0.0036
1559467_at	BI520422		CDNA FLJ36734 fis, clone UTERU2012890	0.93	0.17	0.19	1.18	0.26	0.22	0.79	down	0.00237
243249_at	AL040360		Transcribed sequence with moderate similarity to protein sp:P39193 (H.sapiens) ALU6_HUMAN Alu subfamily SP sequence contamination warning entry	0.92	0.2	0.22	1.24	0.25	0.2	0.74	down	0.000587
208929_x_at	BC004954	RPL13	ribosomal protein L13	0.92	0.16	0.18	1.09	0.17	0.16	0.84	down	0.0123
201154_x_at	NM_000968	RPL4	ribosomal protein L4	0.85	0.17	0.2	1.06	0.17	0.16	0.8	down	0.00282
212933_x_at	AA961748	RPL13	ribosomal protein L13	0.88	0.19	0.21	1.06	0.13	0.13	0.83	down	0.0381
226692_at	AI092931	SERF2	small EDRK-rich factor 2	0.9	0.11	0.12	1.19	0.17	0.15	0.75	down	0.00812
211073_x_at	BC006483	RPL3	ribosomal protein L3 /// ribosomal protein L3	0.92	0.18	0.2	1.08	0.15	0.14	0.85	down	0.0455
202561_at	AF070613	TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase /// tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	0.93	0.17	0.19	1.11	0.19	0.17	0.84	down	0.0198
202579_x_at	NM_006353	HMGN4	high mobility group nucleosomal binding domain 4	1.02	0.22	0.21	0.94	0.24	0.25	1.09	up	0.036
231907_at	AK025877		v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	0.94	0.13	0.14	1.08	0.17	0.15	0.87	down	0.0172
202466_at	NM_006999	POLS	polymerase (DNA directed) sigma /// polymerase (DNA directed) sigma	0.94	0.17	0.18	1.2	0.24	0.2	0.78	down	0.00139
235292_at	BE875232	na	CDNA FLJ32255 fis, clone PROST1000226	0.84	0.23	0.28	1.49	0.66	0.44	0.56	down	0.00139
214771_x_at	AK025604	RHOIP3	myosin phosphatase-Rho interacting protein	0.88	0.16	0.18	1.2	0.24	0.2	0.74	down	0.00282
225157_at	AW245631	MONDOA	Transcribed sequence with weak  similarity to protein sp:P39189 (H.sapiens) ALU2_HUMAN Alu subfamily SB sequence contamination warning entry	0.89	0.18	0.2	1.19	0.19	0.16	0.75	down	0.00542
211710_x_at	BC005817	RPL4	ribosomal protein L4 /// ribosomal protein L4	0.87	0.18	0.2	1.07	0.17	0.16	0.82	down	0.0101
200809_x_at	NM_000976	RPL12	ribosomal protein L12 /// ribosomal protein L12	0.94	0.18	0.2	1.11	0.15	0.14	0.85	down	0.00938
200095_x_at	AA320764	RPS10	ribosomal protein S10 /// ribosomal protein S10	0.94	0.16	0.17	1.08	0.12	0.11	0.87	down	0.0481
200674_s_at	NM_000994	RPL32	ribosomal protein L32 /// ribosomal protein L32	0.97	0.2	0.21	1.08	0.13	0.12	0.89	down	0.0381
235513_at	AW131450		Transcribed sequence with moderate similarity to protein sp:P39192 (H.sapiens) ALU5_HUMAN Alu subfamily SC sequence contamination warning entry	0.83	0.22	0.27	1.11	0.17	0.15	0.75	down	0.00218
222380_s_at	AI907083		programmed cell death 6	0.85	0.22	0.26	1.26	0.28	0.22	0.67	down	4.29E-05
209058_at	AB002282	EDF1	endothelial differentiation-related factor 1 /// endothelial differentiation-related factor 1	0.86	0.15	0.17	1.11	0.15	0.13	0.77	down	0.00115
204096_s_at	AL136771	DKFZp434I1916	elongation factor RNA polymerase II /// elongation factor RNA polymerase II	0.91	0.28	0.3	1.18	0.37	0.31	0.77	down	0.015
231876_at	AL512757	TRIM56	tripartite motif-containing 56	0.87	0.14	0.16	1.19	0.36	0.31	0.73	down	0.0239
208913_at	AA868560	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	0.92	0.17	0.19	1.1	0.19	0.17	0.84	down	0.0123
225740_x_at	AA961420	MDM4	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)	0.94	0.21	0.22	1.19	0.18	0.15	0.79	down	0.0123
227093_at	AU152298		ubiquitin specific protease 36	0.87	0.18	0.21	1.17	0.2	0.17	0.74	down	0.0036
230296_at	AU145642	LOC146174	hypothetical protein LOC146174	0.95	0.34	0.36	1.3	0.22	0.17	0.73	down	0.000315
234050_at	AK025272	TAGAP; FKSG15; FLJ32631; FLJ39771; MGC27381	T-cell activation GTPase activating protein	0.88	0.32	0.36	1.21	0.36	0.29	0.72	down	0.014
211927_x_at	BE963164	EEF1G	eukaryotic translation elongation factor 1 gamma	0.93	0.18	0.2	1.09	0.14	0.13	0.85	down	0.0254
242646_at	AA702946	CGI-85	CGI-85 protein	0.83	0.18	0.22	1.2	0.2	0.17	0.7	down	3.59E-06
212734_x_at	AI186735	RPL13	ribosomal protein L13	0.92	0.15	0.16	1.09	0.13	0.12	0.85	down	0.0131
218154_at	NM_024736	FLJ12150	gasdermin domain containing 1	0.9	0.21	0.24	1.39	0.48	0.34	0.65	down	0.00139
220712_at	NM_024984		Transcribed sequence with moderate similarity to protein sp:P39188 (H.sapiens) ALU1_HUMAN Alu subfamily J sequence contamination warning entry	0.94	0.21	0.22	1.27	0.41	0.32	0.74	down	0.00237
229141_at	AW275379		WD repeat domain 33	0.9	0.26	0.29	1.22	0.37	0.3	0.74	down	0.00218
229871_at	W74622	na	hypothetical protein FLJ10211	0.91	0.22	0.24	1.09	0.19	0.17	0.84	down	0.0341
201665_x_at	NM_001021	RPS17	ribosomal protein S17 /// ribosomal protein S17	0.94	0.15	0.16	1.09	0.18	0.16	0.86	down	0.0239
200819_s_at	NM_001018	RPS15	ribosomal protein S15 /// ribosomal protein S15	0.95	0.16	0.17	1.09	0.13	0.12	0.87	down	0.036
232931_at	AK021583	U5-200KD	U5 snRNP-specific protein, 200-KD	0.9	0.24	0.27	1.3	0.32	0.25	0.69	down	0.00104
200909_s_at	NM_001004	RPLP2	ribosomal protein, large P2 /// ribosomal protein, large P2	0.93	0.18	0.19	1.1	0.13	0.12	0.85	down	0.0101
233274_at	AU145144		CDNA FLJ11615 fis, clone HEMBA1004024	1	0.28	0.28	1.14	0.26	0.23	0.88	down	0.0172
204633_s_at	AF074393	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	0.85	0.22	0.26	1.22	0.27	0.22	0.7	down	0.000705
233358_at	AK024373	FLJ14311	hypothetical gene FLJ14311	0.92	0.15	0.17	1.06	0.23	0.22	0.87	down	0.0211
236379_at	AW771958		Transcribed sequence with moderate similarity to protein sp:P39191 (H.sapiens) ALU4_HUMAN Alu subfamily SB2 sequence contamination warning entry	0.8	0.27	0.34	1.18	0.23	0.19	0.68	down	0.000234
201748_s_at	NM_002967	SAFB	scaffold attachment factor B /// scaffold attachment factor B	0.88	0.15	0.17	1.17	0.17	0.14	0.75	down	0.000234
238295_at	N22706	FLJ22729	hypothetical protein FLJ22729	0.88	0.23	0.26	1.25	0.3	0.24	0.71	down	0.000343
212050_at	AK026913	WIRE	WIRE protein	0.92	0.22	0.24	1.17	0.29	0.25	0.79	down	0.00588
200933_x_at	NM_001007	RPS4X	ribosomal protein S4, X-linked /// ribosomal protein S4, X-linked	0.93	0.14	0.15	1.08	0.16	0.15	0.86	down	0.0254
81811_at	4830372_RC		programmed cell death 6	0.87	0.22	0.25	1.19	0.21	0.17	0.73	down	0.000164
225383_at	BF793625	ZNF275	zinc finger protein 275	0.88	0.22	0.25	1.11	0.16	0.15	0.79	down	0.00152
212329_at	D83782	SCAP	SREBP CLEAVAGE-ACTIVATING PROTEIN	0.81	0.14	0.18	1.23	0.18	0.15	0.65	down	2.46E-05
203385_at	NM_001345	DGKA	diacylglycerol kinase, alpha 80kDa /// diacylglycerol kinase, alpha 80kDa	0.87	0.18	0.21	1.24	0.31	0.25	0.7	down	0.0198
214085_x_at	AI912583	HRB2	GLI pathogenesis-related 1 (glioma)	0.93	0.22	0.23	1.22	0.23	0.19	0.76	down	0.00128
228173_at	AA810695	GNAS	GNAS complex locus	0.9	0.27	0.29	1.27	0.26	0.2	0.71	down	6.35E-05
214833_at	AB007958	KIAA0792	KIAA0792 gene product	0.84	0.2	0.24	1.16	0.26	0.23	0.73	down	0.000939
211487_x_at	BC004886		---	0.96	0.17	0.17	1.14	0.18	0.16	0.84	down	0.016
211975_at	BE299671		zinc finger protein 289, ID1 regulated	0.86	0.14	0.17	1.22	0.16	0.14	0.71	down	0.000145
202031_s_at	NM_015610	DKFZP434J154	DKFZP434J154 protein	0.83	0.13	0.16	1.18	0.2	0.17	0.71	down	0.000164
217659_at	AA457019		Transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry	0.92	0.26	0.28	1.17	0.26	0.22	0.79	down	0.0172
223980_s_at	AF280095	SP110	SP110 nuclear body protein	0.94	0.19	0.21	1.32	0.66	0.49	0.71	down	0.00152
213034_at	AB023216	KIAA0999	KIAA0999 protein	0.88	0.14	0.15	1.13	0.23	0.2	0.77	down	0.00218
222244_s_at	AK000749	FLJ20618	hypothetical protein FLJ20618	0.89	0.19	0.21	1.19	0.16	0.13	0.75	down	0.00754
212790_x_at	BF942308	RPL13A	ribosomal protein L13a	0.96	0.16	0.17	1.12	0.14	0.13	0.86	down	0.0131
218659_at	NM_018263	KIAA1685	additional sex combs like 2 (Drosophila)	0.92	0.22	0.24	1.1	0.2	0.18	0.84	down	0.00308
238055_at	BG505277	ATP8B1	ATPase, Class I, type 8B, member 1	0.86	0.24	0.28	1.39	0.46	0.33	0.62	down	0.000164
211345_x_at	AF119850		eukaryotic translation elongation factor 1 gamma	0.94	0.18	0.19	1.07	0.14	0.13	0.88	down	0.0481
223494_at	AF307332	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	0.92	0.26	0.28	1.12	0.2	0.18	0.82	down	0.00218
221619_s_at	AF189289	MTCH1	mitochondrial carrier homolog 1 (C. elegans) /// mitochondrial carrier homolog 1 (C. elegans)	0.89	0.14	0.15	1.17	0.21	0.18	0.76	down	0.0064
208825_x_at	U43701	RPL23A	ribosomal protein L23a /// ribosomal protein L23a	0.94	0.14	0.15	1.08	0.15	0.14	0.87	down	0.036
65635_at	4871130_RC		endo-beta-N-acetylglucosaminidase	0.88	0.15	0.17	1.08	0.15	0.14	0.81	down	0.0184
219350_s_at	NM_019887	SMAC	diablo homolog (Drosophila) /// diablo homolog (Drosophila)	0.87	0.13	0.15	1.14	0.16	0.14	0.77	down	0.0046
234574_at	AK024563		CDNA: FLJ20910 fis, clone ADSE00492	0.89	0.22	0.25	1.17	0.22	0.19	0.76	down	0.000705
200019_s_at	NM_001997	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30 /// Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30 /// Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30	0.98	0.16	0.16	1.11	0.14	0.12	0.88	down	0.0239
225839_at	AW290882	LOC155435	hypothetical protein LOC155435	0.84	0.14	0.17	1.25	0.17	0.14	0.67	down	5.20E-06
200725_x_at	NM_006013	RPL10	ribosomal protein L10	0.96	0.18	0.18	1.11	0.15	0.13	0.87	down	0.0481
213672_at	AA621558	MARS	methionine-tRNA synthetase	0.94	0.21	0.23	1.16	0.23	0.2	0.81	down	0.0322
223051_at	AF277178	HSPC182	HSPC182 protein	0.97	0.2	0.21	1.11	0.15	0.14	0.87	down	0.0172
230761_at	AI972599	USP7	ubiquitin specific protease 7 (herpes virus-associated)	0.94	0.15	0.16	1.13	0.18	0.16	0.83	down	0.000315
201049_s_at	NM_022551	na	ribosomal protein S18 /// ribosomal protein S18	0.96	0.16	0.16	1.12	0.15	0.13	0.86	down	0.0107
230733_at	H98113		Transcribed sequences	0.94	0.14	0.15	1.05	0.22	0.21	0.9	down	0.0287
206567_s_at	NM_016436	C20orf104	chromosome 20 open reading frame 104 /// chromosome 20 open reading frame 104	0.91	0.16	0.18	1.11	0.11	0.1	0.82	down	0.00754
202029_x_at	NM_000999	RPL38	ribosomal protein L38	0.93	0.15	0.17	1.09	0.13	0.12	0.86	down	0.00308
229434_at	AA865357		Transcribed sequence with weak  similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry	0.93	0.25	0.27	1.18	0.14	0.12	0.78	down	0.000426
208692_at	U14990	RPS3	ribosomal protein S3 /// ribosomal protein S3	0.91	0.19	0.21	1.1	0.14	0.12	0.83	down	0.002
229563_s_at	BG231561	RPL10A	ribosomal protein L10a	0.97	0.17	0.18	1.13	0.14	0.13	0.86	down	0.0184
1557562_at	AI984118		---	0.92	0.19	0.21	1.14	0.27	0.23	0.81	down	0.00588
210646_x_at	BC001675	RPL13A	ribosomal protein L13a	0.95	0.14	0.15	1.07	0.13	0.13	0.88	down	0.015
213666_at	AK026589	6-Sep	septin 6	0.88	0.25	0.28	1.27	0.24	0.19	0.69	down	0.00139
232145_at	AU147777		CDNA FLJ42818 fis, clone BRCAN2015371	1	0.15	0.15	1.16	0.23	0.2	0.86	down	0.00588
240155_x_at	AI122756	LOC115648	similar to hypothetical protein FLJ13659	1.01	0.27	0.27	1.21	0.2	0.17	0.84	down	0.0064
225135_at	AI433017	SIN3A	SIN3 homolog A, transcriptional regulator (yeast)	0.9	0.18	0.2	1.04	0.09	0.09	0.87	down	0.0046
242946_at	AW293276	CD53	CD53 antigen	1.05	0.32	0.3	1.08	0.2	0.18	0.97	down	0.036
200716_x_at	NM_012423	RPL13A	ribosomal protein L13a /// ribosomal protein L13a	0.94	0.18	0.19	1.09	0.12	0.11	0.86	down	0.0115
220704_at	NM_018563	ZNFN1A1	zinc finger protein, subfamily 1A, 1 (Ikaros)	0.93	0.23	0.24	1.18	0.28	0.24	0.79	down	0.0036
242837_at	AI435248		Transcribed sequence with weak  similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry	0.9	0.16	0.17	1.21	0.19	0.16	0.74	down	3.77E-05
1565651_at	BI868311		CDNA FLJ33210 fis, clone ADRGL2008535	0.94	0.14	0.15	1.13	0.25	0.22	0.83	down	0.0198
210162_s_at	U08015	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1 /// nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	0.91	0.22	0.24	1.13	0.2	0.18	0.81	down	0.00812
202157_s_at	U69546	CUGBP2	CUG triplet repeat, RNA binding protein 2 /// CUG triplet repeat, RNA binding protein 2	0.9	0.13	0.14	1.14	0.23	0.2	0.8	down	0.000528
200997_at	NM_002896	RBM4	RNA binding motif protein 4 /// RNA binding motif protein 4	0.89	0.23	0.26	1.22	0.28	0.23	0.73	down	0.00128
234969_s_at	AK024117		enhancer of polycomb homolog 1 (Drosophila)	0.95	0.2	0.21	1.17	0.17	0.14	0.81	down	0.00256
232583_at	AW136457		CDNA FLJ11435 fis, clone HEMBA1001208	0.85	0.34	0.4	1.33	0.29	0.22	0.64	down	6.35E-05
232455_x_at	AU145408	LOC340085	hypothetical protein LOC340085	0.93	0.23	0.25	1.17	0.2	0.17	0.8	down	0.00256
1569257_at	BC042925	FMNL	formin-like 1	0.89	0.21	0.23	1.12	0.19	0.17	0.79	down	0.00423
203568_s_at	NM_006355	TRIM38	tripartite motif-containing 38	0.91	0.29	0.32	1.27	0.39	0.31	0.72	down	0.00104
200051_at	NM_005146	SART1	squamous cell carcinoma antigen recognised by T cells /// squamous cell carcinoma antigen recognised by T cells /// squamous cell carcinoma antigen recognised by T cells	0.93	0.22	0.24	1.18	0.35	0.3	0.79	down	0.00812
1557718_at	AL834350	PPP2R5C	protein phosphatase 2, regulatory subunit B (B56), gamma isoform	0.83	0.35	0.42	1.23	0.24	0.19	0.67	down	2.46E-05
235123_at	AI951144		Transcribed sequence with weak  similarity to protein ref:NP_060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens]	0.98	0.36	0.36	1.22	0.33	0.27	0.8	down	0.00333
204771_s_at	AI632304	TTF1	transcription termination factor, RNA polymerase I	0.87	0.21	0.25	1.23	0.13	0.11	0.71	down	0.000145
210649_s_at	AF231056	SMARCF1	AT rich interactive domain 1A (SWI- like) /// AT rich interactive domain 1A (SWI- like)	0.87	0.28	0.33	1.16	0.17	0.15	0.75	down	0.0036
