Print Order	Name	ID	Name
5383	HNRPAB	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B
3182	Homo sapiens chromosome X clone LL0XNC01-138D3	LL0XNC01-138D3	Homo sapiens chromosome X clone LL0XNC01-138D3
8680	Homo sapiens X BAC RP11-323F16	RP11-323F16	Homo sapiens X BAC RP11-323F16
3990	HPN	H62163	hepsin (transmembrane protease, serine 1)
9366	HRH1	AI122972	histamine receptor H1
9153	HSP105B	AA485151	heat shock 105kD
8516	HSPE1	AA448396	heat shock 10kD protein 1 (chaperonin 10)
193	Human DNA sequence from clone RP11-383C12	RP11-383C12	Human DNA sequence from clone RP11-383C12
50	IGF2	N54596	insulin-like growth factor 2 (somatomedin A)
5136	IL6ST	AI360116	interleukin 6 signal transducer (gp130, oncostatin M receptor)
9018	INADL	AI271880	PDZ domain protein (Drosophila inaD-like)
8824	INSR	INSR	insulin receptor
4258	ITGA9	AA865557	integrin, alpha 9
7865	ITGB1BP1	AA457038	integrin beta 1 binding protein 1 (ICAP1)
7013	ITPR1	AA215397	inositol 1,4,5-triphosphate receptor, type 1
7761	KCNG1	AI674491	potassium voltage-gated channel, subfamily G, member 1
5591	KIAA0009	AA459109	KIAA0009 gene product
4284	KIAA0220	AA449463	KIAA0220 protein
8137	KIAA0220	R97226	KIAA0220 protein
8007	KIAA0324	SRM300	SRM300
10331	Kifap3	AI090702	smg GDS-ASSOCIATED PROTEIN (smap)
5466	KPNA2	AA489087	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
10123	KRT7	AA485959	keratin 7
1774	LAD1	T97710	ladinin 1
8132	LRP2	R76808	low density lipoprotein-related protein 2
9080	LTBR	AA454646	lymphotoxin beta receptor (TNFR superfamily, member 3
5980	LTF	AA677706	lactotransferrin
6173	LTF	AA677706	lactotransferrin
6203	LTF	AA677706	lactotransferrin
6473	LTF	AA677706	lactotransferrin
8920	LTF	AA677706	lactotransferrin
6237	MAD2L1	AA481076	MAD2 (mitotic arrest deficient, yeast, homolog)-like 1
4610	MEST	AA598610	mesoderm specific transcript (mouse) homolog
6876	MGC9515	KIAA0220	KIAA0220 protein
9548	MKNK1	AA431885	MAP kinase-interacting serine/threonine kinase 1
1191	MMP11	AA045500	matrix metalloproteinase 11 (stromelysin 3)
989	MMP15	AA443300	matrix metalloproteinase 15 (membrane-inserted)
5525	MMP3	W51794	matrix metalloproteinase 3 (stromelysin 1, progelatinase)
9927	MUC2	AA857748	mucin 2, intestinal/tracheal
819	MYB	N49284	v-myb avian myeloblastosis viral oncogene homolog
1958	MYB	N49284	v-myb avian myeloblastosis viral oncogene homolog
2258	MYB	N49284	v-myb avian myeloblastosis viral oncogene homolog
2439	MYB	N49284	v-myb avian myeloblastosis viral oncogene homolog
4874	MYB	N49284	v-myb avian myeloblastosis viral oncogene homolog
4904	MYB	N49284	v-myb avian myeloblastosis viral oncogene homolog
5174	MYB	N49284	v-myb avian myeloblastosis viral oncogene homolog
6335	MYB	N49526	v-myb avian myeloblastosis viral oncogene homolog
6813	MYB	N49284	v-myb avian myeloblastosis viral oncogene homolog
7822	MYBL2	AA457034	v-myb avian myeloblastosis viral oncogene homolog-like 2
1484	NAT1	T67128	N-acetyltransferase 1 (arylamine N-acetyltransferase)
2842	NAT1	R91803	N-acetyltransferase 1 (arylamine N-acetyltransferase)
4359	NDP	AA670439	Norrie disease (pseudoglioma)
6517	NFIA	NFIA	nuclear factor I/A
2903	NFIC	N20996	nuclear factor I/C (CCAAT-binding transcription factor)
4925	NFIC	N20996	nuclear factor I/C (CCAAT-binding transcription factor)
3248	NFIX	AA406269	nuclear factor I/X (CCAAT-binding transcription factor)
7234	NGB	H94877	G protein-binding protein CRFG
2843	NPIP	LOC339047	Nuclear pore complex interacting protein NPIP
2638	NRG1	H24357	neuregulin 1
5773	OXTR	AI126365	oxytocin receptor
1122	PAICS	N33274	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
8172	PCSK2	AA069517	proprotein convertase subtilisin/kexin type 2
2694	PDCD4	N71003	programmed cell death 4
5230	PIK3CA	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide
7458	PITX2	T64905	paired-like homeodomain transcription factor 2
2602	PLAG1	AA418251	pleiomorphic adenoma gene 1
5684	PLAG1	AA418251	pleiomorphic adenoma gene 1
1346	PPP2R5A	R59165	protein phosphatase 2, regulatory subunit B (B56), alpha isoform
2664	PSMA5	AA598815	PROTEASOME SUBUNIT, ALPHA-TYPE, 5
25	PSMD12	AA497055	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12
6851	PTHLH	AA131693	parathyroid hormone-like hormone
2294	PTP4A1	R61007	protein tyrosine phosphatase type IVA, member 1
1195	PTPN7	AA262719	protein tyrosine phosphatase, non-receptor type 7
2225	RAB22A	H87195	RAB22A, member RAS oncogene family
1702	RAE1	AA504128	RAE1 (RNA export 1, S.pombe) homolog
928	RBM5	AA456007	RNA binding motif protein 5
8894	REG1A	AA625655	regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)
9688	CHM	AI126362	choroideremia (Rab escort protein 1)
4261	RGS16	AA453774	regulator of G-protein signalling 16
3031	RP11-152B5	RP11-152B5	RP11-152B5
4603	RP11-415L23	RP11-415L23	Homo sapiens BAC clone RP11-415L23 from 4
8819	RPL10	T67270	ribosomal protein L10
9948	RPL18	AA775874	ribosomal protein L18
4118	RPS24	AI005519	ribosomal protein S24
9127	S100A2	AA458884	S100 calcium-binding protein A2
1438	S100A8	AA086471	S100 calcium-binding protein A8 (calgranulin A)
8251	SC4MOL	AA157955	sterol-C4-methyl oxidase-like
3618	SCAP1	R01170	Src family associated phosphoprotein 1
3086	SIAT2	AA598652	sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase)
3989	R85840	R85840	similar to nuclear pore complex interacting protein
2693	SLC2A1	H58873	solute carrier family 2 (facilitated glucose transporter), member 1
7994	SMT3H2	AA775415	SMT3 (suppressor of mif two 3, yeast) homolog 2
5185	SNCA	AA455067	synuclein, alpha (non A4 component of amyloid precursor)
6980	STHM	AA497051	sialyltransferase
8801	STK15/STK6	R19158	serine/threonine kinase 15
1489	T68445	T68445	Chr X EST WI-20403
1687	TAL1	T51236	T-cell acute lymphocytic leukemia 1
6814	TFAP2C	AA394236	transcription factor AP-2 gamma (activating enhancer-binding protein 2 gamma)
6405	TGFB2	W47556	transforming growth factor, beta 2
2012	TIMP2	AA486280	tissue inhibitor of metalloproteinase 2
8169	TITF1	T60168 | AI821353	thyroid transcription factor 1
7808	UBCH10	AA430504	ubiquitin carrier protein E2-C
4406	WASF2	AA429572	WAS protein family, member 2
1666	WEE1	AA465202	WEE1 homolog (S. pombe)
7680	YWHAQ	AA633997	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
942	ZIC2	AI364359	Zic family member 2 (odd-paired Drosophila homolog)
46	ZNF217	ZNF217	zinc finger protein 217
1291	ZNF217	ZNF217	zinc finger protein 217
1638	ZNF217	ZNF217	zinc finger protein 217
1668	ZNF217	ZNF217	zinc finger protein 217
1938	ZNF217	ZNF217	zinc finger protein 217
3411	ZNF217	ZNF217	zinc finger protein 217
4230	ZNF217	ZNF217	zinc finger protein 217
4260	ZNF217	ZNF217	zinc finger protein 217
4530	ZNF217	ZNF217	zinc finger protein 217
5682	ZNF217	ZNF217	zinc finger protein 217
6332	ZNF217	ZNF217	zinc finger protein 217
6978	ZNF217	ZNF217	zinc finger protein 217
2989	ZNF258	AA280677	zinc finger protein 258
