Category	Affymetrix ID	GeneBank	Gene name	Gene description	Fold differences^a C(+) vs C(-)	Fold differences^a C(-) vs NM	Fold differences^a C(+) vs NM	Expression
 Extracellular signaling	41356_at	W27619	BCL11A	B-cell, CLL/lymphoma 11A	3.2			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	34280_at	Y09765	GABRE	GABAA receptor epsilon	3.1			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	32207_at	M64925	MPP1	Membrane protein, palmitoylated 1	2.9			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	41073_at	AI743745	GPR49	G protein–coupled receptor 49	2.9		14.6	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	34618_at	L38517	IHH	Indian hedgehog homolog	2.7			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	35980_at	AB011153	PLCB1	Phospholipase C - 1	2.7		4	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	1291_s_at	L03840	FGFR4	Fibroblast growth factor receptor 4	2.7			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	35769_at	AJ011001	GPR56	Epidermal growth factor-TM7–like protein	2.4		3.3	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	39824_at	AI391564	PTP4A3	Protein tyrosine phosphatase	2.4		3.1	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	34450_at	M73489	GUCY2C	Guanylate cyclase 2C	2.4	-3.1		GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	39361_f_at	AF043906	TM4SF6	Transmembr 4 superfamily member 6	2.4			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	1603_g_at	L33881	PRKCI	Protein kinase C, iota	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	33213_g_at	AF006751	RRBP1	Ribosome binding protein 1	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	32182_at	AB023182	NDR2	Serine/threonine kinase 38 like	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Extracellular signaling	35348_at	AF022116	PRKAB1	AMP-activated protein kinase	2			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transcription	31355_at	U77629	ASCL2	Achaete-scute complex-like 2	3.3		17.4	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transcription	36957_at	W22296	RACK-7	Protein kinase C binding protein 1	3.1			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transcription	32588_s_at	X78992	ERF-2	Zinc finger protein 36	2.6	-2.4		GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transcription	32583_at	J04111	JUN	c-jun proto-oncogene	2.5			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transcription	40061_at	D83784	PLAGL2	Pleiomorphic adenoma gene-like 2	2.4			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transcription	41713_at	U09848	ZNF36	Zinc finger protein 36	2.3			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transcription	36899_at	M97287	SATB1	AT-rich sequence binding protein 1	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transcription	34195_at	AL121073	ODAG	Ocular development–associated	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transcription	34217_at	AB015132	KLF7	Kruppel-like factor	2			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transcription	35614_at	AB012124	TCFL5	Transcription factor–like 5	2		5.3	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Nuclear	34713_at	AB002357	KIF3B	Kinesin family member 3B	2.2			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Nuclear	818_s_at	U72936	ATRX	RAD54 homolog, S cerevisiae	2.1		2.1	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Nuclear	35221_at	X91648	PURA	Purine-rich binding protein A	2	-2.1		GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Nuclear	39035_at	AF006010	DD5	Progestin induced protein	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Nuclear	33845_at	W28483	HNRPH1	Heterogeneous ribonucleoprotein H1	2.5	-2.1		GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Structural	35415_at	X12901	VIL1	Villin 1	2.5			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Structural	33917_at	AB002336	EPB41L1	Erythrocyte membr prot band 4.1-like 1	2.2			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Structural	32148_at	AI701049	FARP1	P63RhoGEF	2.2			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Structural	35362_at	AB018342	MYO10	Myosin X	2.2			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Structural	40020_at	AB011536	CELSR3	Cadherin seven-pass G-type rec. 3	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Structural	36061_at	AF009314	FLJ12815	Similar to semaphorin 5A	2.1	-2.6		GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Structural	39598_at	X04325	GJB1	Connexin 32	2			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transmembrane	41188_at	W28186	LAPTM4B	Lysosomal associated protein	3.1		3.8	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transmembrane	35906_at	L29339	SLC5A1	Na+ glucose cotransporter	2.7		2.5	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transmembrane	35164_at	AF084481	WFS1	Wolfram syndrome 1	2.5		4	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transmembrane	37413_at	J05257	DPEP1	Dipeptidase 1	2.4		5.8	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Transmembrane	40885_s_at	N30151	STX16	Syntaxin 16	2.3			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Trafficking	34484_at	AI961669	ARFGEF2	Guanine nucleotide-exchange factor 2	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Trafficking	37751_at	D87444	TM9SF4	Transmember 9 superfamily member 4	2			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Unknown	40951_at	AL049250	KIAA0220	KIAA0220 protein	3.4			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Unknown	38043_at	X55448	FAM3A		2.2			GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Unknown	32502_at	AL041124	PP1665	Hypothetical protein	2.1		3.8	GENES MORE HIGHLY EXPRESSED IN MMR(+) COLON CANCERS
 Nuclear	35201_at	X16135	HNRPL	Heterog, nuclear ribonucleoprotein L	3.6	3.6		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Nuclear	31858_at	X07315	NUTF2	Nuclear transport factor 2	3.2	8.7		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Nuclear	39959_at	AL031983	UBD	Ubiquitin D	2.6	16.3		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Nuclear	40348_s_at	W25866	ANP32E	Acidic nuclear phosphoprotein 32 E	2.2	4.2		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Nuclear	37899_at	X02308	TYMS	Thymidylate synthase	2.1	2.8		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Signaling	1788_s_at	U48807	DUSP4	Mitogen-activated protein kinase phosphatase 2	4.1	26.2		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Signaling	36014_at	AL033377	GPR126	G protein–coupled receptor 126	2.8			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Signaling	38489_at	M60047	FGFBP1	Fibroblast growth factor binding protein 1	2.3			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Signaling	656_at	L08488	INPP1	Inositol polyphosphate 1-phosphatase	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Signaling	41169_at	X74039	uPAR	Urokinase plasminogen activator rec	2.1	2.9		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Signaling	33232_at	AI017574	CRIP1	Cysteine-rich protein 1	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Signaling	35349_at	AF031647	COPS3	COP9 complex subunit 3	2.1	2.1		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Signaling	960_g_at	HG2463	CDC42	Gvanosine triphosphate binding protein, 25 kilodaltons	2			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Apoptosis	38871_at	AJ006288	BCL10	B-cell CLL/lymphoma 10	2.4			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Apoptosis	998_s_at	X59770	IL1R2	Interleukin-1 receptor, type II	2.3		-3.8	GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Apoptosis	31874_at	Y07846	GAS2L1	Growth arrest–specific 2 like 1	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Apoptosis	1240_at	U13022	CASP2	Apoptosis-related protease	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Immune response	35000_at	U03398	4-1 BBL	Tumor necrosis factor superfamily member 9	2.4	33.8		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Immune response	35937_at	U65416	MICB	Major histocompatibility complex class I chain-related gene B	2.3	3.6		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Immune response	40757_at	M18737	GZMA	Granzyme A	2.3			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Immune response	37200_at	J04162	FCGR3A	Immunoglobulin Fc receptor IIIa gene	2.2			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Immune response	37220_at	M63835	FCGR1A	Immunoglobulin Fc receptor Ia gene	2.1	6.5		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Extracellular	1482_g_at	L23808	MMP12	Matrix metalloproteinase 12	2.7			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Extracellular	2092_s_at	J04765	SPP1	Osteopontin	2.4			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Transcription	37141_at	U39840	FOXA1	Hepatocyte nuclear factor-3-	2.7			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Transcription	869_at	U14193	GTF2A2	General transcription factor IIA	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Others	36130_f_at	R92331	MT1E	Metallothionein 1E	2.5		-5.6	GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Others	31623_f_at	K01383	MT1A	Metallothionein I A	2.6		-5	GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Others	34775_at	AF065388	TSPAN-1	Tetraspan 1	2.4			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Others	847_at	U17969	EIF5A	Euk translation initiation factor 5A	2.4	2.8		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Others	37976_at	AL034397	VSIG4	V-set and Ig domain containing 4	2.4			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Others	37552_at	U33632	KCNK1	Potassium channel	2.3			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Others	37351_at	X90858	UPP1	Uridine phosphorylase 1	2.1			GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Others	717_at	D87119	TRIB2	Tribbles homolog 2	2	5		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
 Unknown	38250_at	D26488	KIAA0007	KIAA0007 protein	2.7	4.7		GENES MORE HIGHLY EXPRESSED IN MMR(-) COLON CANCERS
