Symbol	UGCluster	Cytoband	log2D	p-value	q-value
ATP6V0A4	Hs.98967	7q33-q34	0.5536492	0.00416	0.223302969
MYRIP	Hs.371395	3p22.2-p22.1	0.2666016	0.00429	0.22747288
PIGV	Hs.259605	1p36.11	-0.5702483	0.00438	0.229446905
FANCA	Hs.284153	16q24.3	0.347698	0.00444	0.229821085
DKFZp761P0423	Hs.29068	8p23.1	-0.5513016	0.00465	0.232662461
PPFIA1	Hs.530749	11q13.3	0.3770805	0.00468	0.232662461
NUCKS	Hs.213061	1q32.1	0.824426	0.00494	0.232662461
FBXL6	Hs.12271	8q24.3	0.4837453	0.00495	0.232662461
GAJ	Hs.294088	4q31.3	0.6773521	0.00495	0.232662461
GOLGB1	Hs.213389	3q13	0.3798557	0.00498	0.232662461
ANGPTL4	Hs.9613	19p13.3	0.3657651	0.005	0.232662461
MBP	Hs.501262	18q23	0.3158712	0.005	0.232662461
PKMYT1	Hs.77783	16p13.3	0.6649339	0.005	0.232662461
CDH11	Hs.116471	16q22.1	-0.7785451	0.00503	0.232662461
SRPK1	Hs.443861	6p21.3-p21.2	0.3426835	0.00524	0.236547398
NDUFS6	Hs.408257	5p15.33	0.4736341	0.00525	0.236547398
ZWINT	Hs.42650	10q21-q22	0.3499655	0.00525	0.236547398
ZMYND11	Hs.292265	10p14	-0.4199509	0.00534	0.236919805
CDK11	Hs.192316	1p36	0.5455212	0.00566	0.241599269
LRRC17	Hs.552582	7q22.1	-0.9734399	0.00566	0.241599269
FLJ23311	Hs.523526	11p15.1	0.5389724	0.00577	0.241599269
PIP5K3	Hs.173939	2q34	0.5383764	0.00578	0.241599269
LOXL1	Hs.65436	15q24-q25	-0.6040729	0.00583	0.241599269
PCNT2	Hs.474069	21q22.3	0.4732485	0.00584	0.241599269
FLJ13855	Hs.514297	17q21.32	0.4120994	0.00587	0.241599269
TIGA1	Hs.12082	5q21-q22	-0.4724118	0.00589	0.241599269
NASP	Hs.319334	1p34.1	0.2960713	0.00599	0.243404852
GAS6	Hs.369201	13q34	-0.5617798	0.00641	0.248508773
PLN	Hs.170839	6q22.1	-0.6344168	0.00642	0.248508773
C1R	Hs.524224	12p13	-0.3521192	0.00643	0.248508773
HIBADH	Hs.406758	7p15.2	-0.3513922	0.00646	0.248508773
FLJ10292	Hs.104650	12p13.2	0.3011366	0.00648	0.248508773
C20orf114	Hs.65551	20q11.21	0.6215458	0.00648	0.248508773
CTSK	Hs.523594	1q21	-0.5398397	0.00652	0.248508773
TINP1	Hs.482526	5q13.3	-0.4860349	0.00662	0.248508773
KIAA0992	Hs.151220	4q32.3	-0.5971781	0.00663	0.248508773
WIPI49	Hs.463964	17q24.2	-0.4036013	0.00678	0.250192308
SQLE	Hs.71465	8q24.1	0.4698965	0.00679	0.250192308
THC1931787			0.4198344	0.00685	0.250282103
CPNE4	Hs.199877	3q22.1	0.2038788	0.00712	0.257979344
PTPRF	Hs.272062	1p34	0.3090133	0.00741	0.26441292
KCTD8	Hs.479644	4p13	-0.219199	0.00745	0.26441292
TPSB1	Hs.405479	16p13.3	-0.6687395	0.00748	0.26441292
MRPL13	Hs.333823	8q22.1-q22.3	0.2868655	0.00765	0.265034132
GSDML	Hs.306777	17q21.1	0.34187	0.00776	0.265034132
DDX39	Hs.311609	19p13.12	0.4404847	0.0078	0.265034132
CGI-77	Hs.30532	8q21.3	0.4335901	0.00782	0.265034132
CKMT1	Hs.425633	15q15	0.4124332	0.00789	0.265034132
CBX7	Hs.356416	22q13.1	-0.446313	0.00793	0.265034132
ROPN1L	Hs.381089	5p15.2	-0.4135477	0.00801	0.265034132
CTSL2	Hs.87417	9q22.2	0.5997172	0.00812	0.265034132
C9orf58	Hs.4944	9q34.13-q34.3	0.4622019	0.00815	0.265034132
RAD54L	Hs.523220	1p32	0.582573	0.00815	0.265034132
FLJ10569	Hs.512627	8p21.3	-0.3929724	0.00824	0.265034132
NP_511171	Hs.553573	14q11.2	0.3825264	0.00827	0.265034132
A2M	Hs.212838	12p13.3-p12.3	-0.4402805	0.00829	0.265034132
LOC143903	Hs.503831	11q23.1	-0.4030908	0.00859	0.268278782
LUM	Hs.406475	12q21.3-q22	-0.6558767	0.0086	0.268278782
OR5B12	Hs.553754	11q12.1	0.4846818	0.00863	0.268278782
EIF4EBP1	Hs.411641	8p12	0.3480215	0.00864	0.268278782
TNNI2	Hs.523403	11p15.5	0.4844863	0.0087	0.268278782
BRCA1	Hs.194143	17q21	0.2610385	0.0088	0.269451443
TESK1	Hs.79358	9p13	0.3447974	0.0091	0.274391938
TAF1C	Hs.153022	16q24	0.3128495	0.00916	0.274391938
HCAP-G	Hs.479270	4p15.33	0.5275808	0.00918	0.274391938
LOC389903	Hs.546591	Xq28	1.1136929	0.00922	0.274391938
THC2005204			-0.4108787	0.0093	0.274391938
ITSN2	Hs.432562	2pter-p25.1	0.3635862	0.00934	0.274391938
C6orf54	Hs.225962	6q27	0.3217873	0.00947	0.276013314
DUSP5	Hs.2128	10q25	-0.3669933	0.00955	0.276013314
ADCK5	Hs.283374	8q24.3	0.5592268	0.00967	0.276013314
EDN3	Hs.1408	20q13.2-q13.3	0.6086291	0.00969	0.276013314
THC1819195			-0.3624769	0.00979	0.276013314
MCM3	Hs.179565	6p12	0.4014075	0.00982	0.276013314
SFRS15	Hs.17255	21q22.1	0.307516	0.0099	0.276013314
FLJ30726	Hs.48832	17p13.2	0.358445	0.00997	0.276013314
MAD2L1	Hs.533185	4q27	0.5774922	0.01002	0.276013314
GPR56	Hs.513633	16q13	0.490695	0.01003	0.276013314
NUDT10	Hs.375178	Xp11.23	-0.5081806	0.01017	0.27762171
CLCN2	Hs.552569	3q27-q28	0.3841293	0.01027	0.27762171
CLN5	Hs.30213	13q21.1-q32	-0.3669452	0.01028	0.27762171
ETFB	Hs.74047	19q13.3	0.4340996	0.01035	0.277786746
PPIC	Hs.110364	5q23.2	-0.5978164	0.01063	0.28158259
FLJ10706	Hs.443551	1q24.2	0.331986	0.01064	0.28158259
B3GNT3	Hs.69009	19p13.1	0.5532052	0.01074	0.28158259
AXUD1	Hs.370950	3p22	0.3571417	0.01081	0.28158259
SH3BGRL	Hs.108029	Xq13.3	-0.622528	0.01081	0.28158259
FLJ22457	Hs.552603	1p13.3	-0.4639824	0.01088	0.28158259
SLC35B1	Hs.154073	17q21.33	0.3282923	0.01101	0.282500308
RGC32	Hs.507866	13q14.11	-0.4700001	0.01111	0.282500308
SFRP4	Hs.105700	7p14.1	-0.8856073	0.01124	0.282500308
RIC8	Hs.19306	11p15.5	-0.2265752	0.01124	0.282500308
RPL3	Hs.119598	22q13	-0.4338609	0.0113	0.282500308
SLC25A25	Hs.5476	9q34.11	0.4149373	0.01145	0.282500308
PMP22	Hs.372031	17p12-p11.2	-0.479356	0.01155	0.282500308
RAB22A	Hs.529044	20q13.32	0.3859596	0.01155	0.282500308
CDC2	Hs.334562	10q21.1	0.3353275	0.0117	0.282500308
FBN1	Hs.146447	15q21.1	-0.5812412	0.01184	0.282500308
SPDEF	Hs.485158	6p21.3	0.4268639	0.01184	0.282500308
BMP7	Hs.473163	20q13	0.6215834	0.01189	0.282500308
C3orf18	Hs.517860	3p21.3	-0.4378541	0.01189	0.282500308
LUC7L	Hs.16803	16p13.3	-0.8357929	0.01192	0.282500308
SLC30A6	Hs.552598	2p22.3	0.3042314	0.01193	0.282500308
FGF7	Hs.122006	15q15-q21.1	-0.7725323	0.012	0.282500308
MGC7036	Hs.488173	12q24.31	-0.4141166	0.01202	0.282500308
CHPT1	Hs.293077	12q	-0.2366248	0.01222	0.284890886
COCH	Hs.21016	14q12-q13	0.2811067	0.01222	0.284890886
SGTB	Hs.287971	5q12.3	0.58136	0.01303	0.299229282
SHANK3	Hs.149035	22q13.3	-0.5643788	0.01307	0.299229282
A_23_P170808			-0.3902814	0.0132	0.299229282
EEF1E1	Hs.88977	6p24.3-p25.1	0.5718483	0.0132	0.299229282
Pfs2	Hs.433180	16q24.1	0.5007723	0.01326	0.299229282
PLEKHK1	Hs.58559	10q21.2	0.6488446	0.01331	0.299229282
APPBP1	Hs.460978	16q22	0.3881976	0.0134	0.299229282
BSPRY	Hs.494870	9q32	-0.4860413	0.01342	0.299229282
DSCR2	Hs.473838	21q22.3	0.3617639	0.01356	0.300808292
PSMD7	Hs.440604	16q23-q24	0.2689099	0.01368	0.30088349
DTYMK	Hs.471873	2q37.3	0.5454687	0.01372	0.30088349
EPHA2	Hs.171596	1p36	0.2697583	0.01405	0.30088349
LIPF	Hs.523130	10q23.31	0.5657012	0.01406	0.30088349
