Agilent accession	Genbank accession	Average fold difference	P (n = 3)	Gene description and symbol
A_52_P282058	NM_007739	0.336306323	0.972	Mus musculus procollagen, type VIII, 1 (Col8a1), mRNA [NM_007739]
A_51_P112405	NM_011113	0.34067499	0.993	Mus musculus urokinase plasminogen activator receptor (Plaur), mRNA [NM_011113]
A_52_P327236	NM_148922	0.353719653	0.996	Mus musculus transformed mouse 3T3 cell double minute 1 (Mdm1), transcript variant 2, mRNA [NM_148922]
A_52_P646684	NM_178381	0.362261213	0.961	Mus musculus Trp53 inducible protein 5 (Trp53i5), mRNA [NM_178381]
A_52_P70255	NM_009283	0.37297335	0.979	Mus musculus signal transducer and activator of transcription 1 (Stat1), mRNA [NM_009283]
A_51_P144303	NM_013641	0.375085977	0.998	Mus musculus prostaglandin E receptor 1 (subtype EP1; Ptger1), mRNA [NM_013641]
A_51_P230382	NM_008815	0.375166887	0.984	Mus musculus ets variant gene 4 (E1A enhancer binding protein, E1AF; Etv4), mRNA [NM_008815]
A_51_P419226	NM_025393	0.38857333	0.98	Mus musculus S100 calcium binding protein A14 (S100a14), mRNA [NM_025393]
A_52_P213932	NM_009621	0.39318495	0.982	Mus musculus a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1 (Adamts1), mRNA [NM_009621]
A_52_P76988	NM_030220	0.399363717	0.973	Mus musculus Sp2 transcription factor (Sp2), mRNA [NM_030220]
A_51_P493649	NM_023135	0.399434357	0.994	Mus musculus sulfotransferase family 1E, member 1 (Sult1e1), mRNA [NM_023135]
A_51_P187491	NM_053087	0.402711757	0.968	Mus musculus epithelial mitogen (Epgn), mRNA [NM_053087]
A_51_P500813	NM_010708	0.415638603	0.997	Mus musculus lectin, galactose binding, soluble 9 (Lgals9), mRNA [NM_010708]
A_52_P651298	NM_183417	0.42817818	0.99	Mus musculus cyclin-dependent kinase 2 (Cdk2), transcript variant 1, mRNA [NM_183417]
A_51_P311038	NM_001024139	2.017729033	0.999	Mus musculus a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 15 (Adamts15), mRNA [NM_001024139]
A_52_P680941	NM_010284	2.125057033	0.933	Mus musculus growth hormone receptor (Ghr), mRNA [NM_010284]
A_52_P534870	NM_009741	2.1289126	0.567	Mus musculus B-cell leukemia/lymphoma 2 (Bcl2), transcript variant 1, mRNA [NM_009741]
A_52_P672803	NM_008906	2.129077267	0.88	Mus musculus protective protein for �-galactosidase (Ppgb), mRNA [NM_008906]
A_52_P433889	NM_007798	2.130360467	0.951	Mus musculus cathepsin B (Ctsb), mRNA [NM_007798]
A_51_P417077	NM_011700	2.135687533	1	Mus musculus villin-like (Vill), mRNA [NM_011700]
A_52_P404533	NM_013560	2.158545233	0.995	Mus musculus heat shock protein 1 (Hspb1), mRNA [NM_013560]
A_51_P390480	NM_178020	2.162897367	0.821	Mus musculus hyaluronidase 3 (Hyal3), mRNA [NM_178020]
A_51_P319460	NM_011019	2.174328267	0.984	Mus musculus oncostatin M receptor (Osmr), mRNA [NM_011019]
A_51_P196605	NM_026880	2.177814133	0.995	Mus musculus PTEN induced putative kinase 1 (Pink1), mRNA [NM_026880]
A_52_P93910	NM_010939	2.1833415	0.951	Mus musculus neuropilin 2, mRNA (cDNA clone IMAGE:6827742) [BC057028]
A_52_P533809	NM_010495	2.189329533	0.938	Mus musculus inhibitor of DNA binding 1 (Id1), mRNA [NM_010495]
A_51_P291361	NM_001013365	2.193070567	0.991	Mus musculus oncostatin M (Osm), mRNA [NM_001013365]
A_51_P220062	NM_008609	2.213941267	0.876	Mus musculus matrix metalloproteinase 15 (Mmp15), mRNA [NM_008609]
A_51_P263965	NM_010442	2.263528067	0.996	Mus musculus heme oxygenase (decycling) 1 (Hmox1), mRNA [NM_010442]
A_52_P183088	NM_008714	2.342757133	0.835	Mus musculus Notch gene homologue 1 (Drosophila; Notch1), mRNA [NM_008714]
A_52_P144173	NM_008317	2.352243767	0.898	Mus musculus hyaluronidase 1 (Hyal1), mRNA [NM_008317]
A_52_P925197	NM_007570	2.3584059	0.826	Mus musculus B-cell translocation gene 2, antiproliferative (Btg2), mRNA [NM_007570]
A_51_P479865		2.463538333	0.849	Mus musculus galactosidase, � 1-like, mRNA (cDNA clone MGC:28635 IMAGE:4222994), complete cds. [BC021773]
A_52_P162957	NM_177603	2.464996233	0.973	Mus musculus frequently rearranged in advanced T-cell lymphomas 2 (Frat2), mRNA [NM_177603]
A_52_P329207	NM_007969	2.482193867	0.863	Mus musculus extracellular proteinase inhibitor (Expi), mRNA [NM_007969]
A_51_P500984	NM_008655	2.5388139	0.643	Mus musculus growth arrest and DNA-damage-inducible 45� (Gadd45b), mRNA [NM_008655]
A_51_P345649	NM_011058	2.5982837	0.28	Mus musculus platelet-derived growth factor receptor, polypeptide (Pdgfra), mRNA [NM_011058]
A_51_P494430	NM_031166	2.665149833	0.996	Mus musculus inhibitor of DNA binding 4 (Id4), mRNA [NM_031166]
A_52_P58208	NM_013605	2.704789033	0.243	Mus musculus mucin 1, transmembrane (Muc1), mRNA [NM_013605]
A_51_P398723	NM_010228	2.726919833	0.976	Mus musculus FMS-like tyrosine kinase 1 (Flt1), mRNA [NM_010228]
A_51_P175580	NM_021897	2.754532467	0.852	Mus musculus transformation related protein 53 inducible nuclear protein 1 (Trp53inp1), mRNA [NM_021897]
A_51_P369311	NM_015760	2.764042933	0.912	Mus musculus NADPH oxidase 4 (Nox4), mRNA [NM_015760]
A_52_P273891	NM_018881	2.8159229	0.592	Mus musculus flavin containing monooxygenase 2 (Fmo2), mRNA [NM_018881]
A_51_P266683	NM_010107	2.866408533	0.89	Mus musculus ephrin A1 (Efna1), mRNA [NM_010107]
A_51_P293087	NM_008606	2.9066167	0.808	Mus musculus matrix metalloproteinase 11 (Mmp11), mRNA [NM_008606]
A_52_P465012	NM_028392	3.0081877	0.901	Mus musculus protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), � isoform (Ppp2r2b), transcript variant 2, mRNA [NM_028392]
A_51_P343833	NM_009421	3.230854067	0.484	Mus musculus Tnf receptor-associated factor 1 (Traf1), mRNA [NM_009421]
A_51_P355906	NM_021099	3.2519368	0.323	Mus musculus kit oncogene (Kit), mRNA [NM_021099]
A_51_P463765	NM_011595	3.285614467	0.571	Mus musculus tissue inhibitor of metalloproteinase 3 (Timp3), mRNA [NM_011595]
A_52_P15388	NM_008522	3.340970833	0.865	Mus musculus lactotransferrin (Ltf), mRNA [NM_008522]
A_51_P137991	NM_009525	3.3973666	0.885	Mus musculus wingless-related MMTV integration site 5B (Wnt5b), mRNA [NM_009525]
A_52_P363110	NM_010207	3.4384949	0.822	Mus musculus fibroblast growth factor receptor 2, mRNA (cDNA clone MGC:102519 IMAGE:5349249), complete cds [BC091652]
A_51_P444447	NM_007679	3.797682933	0.968	Mus musculus CCAAT/enhancer binding protein (C/EBP), (Cebpd), mRNA [NM_007679]
A_51_P204153	NM_010518	3.8213841	0.399	Mus musculus insulin-like growth factor binding protein 5 (Igfbp5), mRNA [NM_010518]
A_52_P384394	NM_138313	3.8343365	0.822	Mus musculus Bcl2 modifying factor, mRNA (cDNA clone MGC:90616 IMAGE:6847314), complete cds. [BC079650]
A_52_P584188	NM_008043	4.0804498	0.669	Mus musculus frequently rearranged in advanced T-cell lymphomas (Frat1), mRNA [NM_008043]
A_51_P452629	NM_011905	4.686056867	0.814	Mus musculus toll-like receptor 2 (Tlr2), mRNA [NM_011905]
A_52_P472324	NM_011414	4.766305433	0.407	Mus musculus secretory leukocyte protease inhibitor (Slpi), mRNA [NM_011414]
A_52_P540219	NM_011594	4.911111233	0.324	Mus musculus tissue inhibitor of metalloproteinase 2 (Timp2), mRNA [NM_011594]
A_51_P321341	NM_133670	5.3052078	0.765	Mus musculus sulfotransferase family 1A, phenol-preferring, member 1 (Sult1a1), mRNA [NM_133670]
A_51_P470935	NM_027208	7.642287667	0.294	Mus musculus dehydrogenase/reductase (SDR family) member 6 (Dhrs6), mRNA [NM_027208]
A_51_P453909	NM_007817	11.02520367	0.265	Mus musculus cytochrome P450, family 2, subfamily of, polypeptide 2 (Cyp2f2), mRNA [NM_007817]
A_51_P110301	NM_009778	12.12553833	0.729	Mus musculus complement component 3 (C3), mRNA [NM_009778]
