CLID	Gene Name	Gene Symbol	Accession number
AGI_MM_OLIGO_A_51_P433870	Vascular endothelial growth factor C	Vegfc	NM_009506
AGI_MM_OLIGO_A_51_P512754	Nicolin 1	Nicn1	NM_025449
AGI_MM_OLIGO_A_51_P312348			AK137217
AGI_MM_OLIGO_A_51_P234404	Tight junction protein 3	Tjp3	NM_013769
AGI_MM_OLIGO_A_51_P302831	Deleted in bladder cancer chromosome region candidate 1 (human)	Dbccr1	NM_019967
AGI_MM_OLIGO_A_51_P338664	Histone 3, H2ba	Hist3h2ba	NM_030082
AGI_MM_OLIGO_A_51_P268094	Serine (or cysteine) proteinase inhibitor, clade E, member 2	Serpine2	NM_009255
AGI_MM_OLIGO_A_51_P425962	KH domain containing, RNA binding, signal transduction associated 3	Khdrbs3	NM_010158
AGI_MM_OLIGO_A_51_P174314	Roundabout homolog 1 (Drosophila)	Robo1	NM_019413
AGI_MM_OLIGO_A_51_P245084	Aquaporin 3	Aqp3	NM_016689
AGI_MM_OLIGO_A_51_P256827	S100 calcium binding protein A8 (calgranulin A)	S100a8	NM_013650
AGI_MM_OLIGO_A_51_P371942	Procollagen C-proteinase enhancer protein	Pcolce	NM_008788
AGI_MM_OLIGO_A_51_P157083	Growth arrest specific 1	Gas1	NM_008086
AGI_MM_OLIGO_A_51_P392837	RIKEN cDNA 4930443F05 gene	4930443F05Rik	BC063103
AGI_MM_OLIGO_A_51_P317941	PERP, TP53 apoptosis effector	Perp	NM_022032
AGI_MM_OLIGO_A_51_P230439	Protein tyrosine phosphatase, receptor-type, F interacting protein, binding protein 2	Ppfibp2	NM_008905
AGI_MM_OLIGO_A_51_P202911	RIKEN cDNA 2810022L02 gene	2810022L02Rik	NM_144882
AGI_MM_OLIGO_A_51_P361158	Adaptor protein complex AP-1, mu 2 subunit	Ap1m2	NM_009678
AGI_MM_OLIGO_A_51_P337101	RIKEN cDNA 4732452J19 gene	4732452J19Rik	NM_172448
AGI_MM_OLIGO_A_51_P172054	Growth arrest specific 6	Gas6	NM_019521
AGI_MM_OLIGO_A_51_P206676	Procollagen, type IX, alpha 3	Col9a3	NM_009936
AGI_MM_OLIGO_A_51_P303079	RIKEN cDNA 1810017F10 gene	1810017F10Rik	NM_025452
AGI_MM_OLIGO_A_51_P404463	RIKEN cDNA 1500015O10 gene	1500015O10Rik	NM_024283
AGI_MM_OLIGO_A_51_P334942	RIKEN cDNA E030003E18 gene	Aldh1a1	NM_013467
AGI_MM_OLIGO_A_51_P102471	Peptidoglycan recognition protein 2	Pglyrp2	NM_021319
AGI_MM_OLIGO_A_51_P239386	Protein phosphatase 1, regulatory (inhibitor) subunit 14c	Ppp1r14c	NM_133485
AGI_MM_OLIGO_A_51_P345649	Platelet derived growth factor receptor, alpha polypeptide	Pdgfra	NM_011058
AGI_MM_OLIGO_A_51_P236846	Coagulation factor III	F3	NM_010171
AGI_MM_OLIGO_A_51_P324814	Keratin complex 1, acidic, gene 18	Krt1-18	NM_010664
AGI_MM_OLIGO_A_51_P279437			NM_029662
AGI_MM_OLIGO_A_51_P303217	RIKEN cDNA 1110017I16 gene	1110017I16Rik	NM_026754
AGI_MM_OLIGO_A_51_P131195	Prolactin receptor	Prlr	X73372
AGI_MM_OLIGO_A_51_P108226	RIKEN cDNA 1100001G20 gene	1100001G20Rik	NM_183249
AGI_MM_OLIGO_A_51_P517075	Serine (or cysteine) proteinase inhibitor, clade F, member 1	Serpinf1	NM_011340
AGI_MM_OLIGO_A_51_P326439	Carbonic anhydrase 6	Car6	NM_009802
AGI_MM_OLIGO_A_51_P191700	Procollagen, type XVIII, alpha 1	Col18a1	NM_009929
AGI_MM_OLIGO_A_51_P472839	Tumor-associated calcium signal transducer 1	Tacstd1	NM_008532
AGI_MM_OLIGO_A_51_P181474	Glycosylation dependent cell adhesion molecule 1	Glycam1	NM_008134
AGI_MM_OLIGO_A_51_P465210	WAP four-disulfide core domain 2	Wfdc2	NM_026323
AGI_MM_OLIGO_A_51_P483617	RIKEN cDNA 0610040J01 gene	0610040J01Rik	NM_029554
AGI_MM_OLIGO_A_51_P225224	Protease, serine, 11 (Igf binding)	Prss11	NM_019564
AGI_MM_OLIGO_A_51_P369338			NM_146868
AGI_MM_OLIGO_A_51_P377443	Vomeronasal 1 receptor, E7	V1re7	NM_134196
AGI_MM_OLIGO_A_51_P365153	Heparan sulfate (glucosamine) 3-O-sulfotransferase 1	Hs3st1	NM_010474
AGI_MM_OLIGO_A_51_P385697	Mannoside acetylglucosaminyltransferase 3	Mgat3	NM_010795
AGI_MM_OLIGO_A_51_P495000	RIKEN cDNA 2310061A22 gene	2310061A22Rik	NM_025872
AGI_MM_OLIGO_A_51_P453909	Cytochrome P450, family 2, subfamily f, polypeptide 2	Cyp2f2	NM_007817
AGI_MM_OLIGO_A_51_P306287	Solute carrier family 30 (zinc transporter), member 2	Slc30a2	AK031425
AGI_MM_OLIGO_A_51_P185882	Similar to CTCL tumor antigen se57-1	MGC54896	NM_201362
AGI_MM_OLIGO_A_51_P266009	Expressed sequence R74740	R74740	BU851393
AGI_MM_OLIGO_A_51_P362328	Transcription factor CP2-like 3	Tcfcp2l3	NM_026496
AGI_MM_OLIGO_A_51_P146560	Mesothelin	Msln	NM_018857
AGI_MM_OLIGO_A_51_P375538	Myeloblastosis oncogene	Myb	NM_033597
AGI_MM_OLIGO_A_51_P467108	Dipeptidylpeptidase 4	Dpp4	X58384
AGI_MM_OLIGO_A_51_P477682	Protease, serine, 12 neurotrypsin (motopsin)	Prss12	NM_008939
AGI_MM_OLIGO_A_51_P184484	Matrix metalloproteinase 13	Mmp13	NM_008607
AGI_MM_OLIGO_A_51_P304170	RIKEN cDNA 5830458K16 gene	5830458K16Rik	NM_023386
AGI_MM_OLIGO_A_51_P265806	Chloride channel calcium activated 2	Clca2	NM_030601
AGI_MM_OLIGO_A_51_P433194	Breast carcinoma amplified sequence 1	Bcas1	NM_029815
AGI_MM_OLIGO_A_51_P249749	Cocoacrisp protein	Cocoacrisp	NM_031402
AGI_MM_OLIGO_A_51_P392277	RIKEN cDNA 4933405I11 gene	Muc4	AF218265
AGI_MM_OLIGO_A_51_P277336	Serum deprivation response	Sdpr	NM_138741
AGI_MM_OLIGO_A_51_P153423			XM_985863
AGI_MM_OLIGO_A_51_P432567	RIKEN cDNA 3110039M20 gene	Foxg1	NM_008241
AGI_MM_OLIGO_A_51_P217498	Solute carrier family 2 (facilitated glucose transporter), member 4	Slc2a4	NM_009204
AGI_MM_OLIGO_A_51_P413752	Rho guanine nucleotide exchange factor (GEF) 16	Arhgef16	BC044805
AGI_MM_OLIGO_A_51_P407248	RIKEN cDNA 9530013L04 gene	Antxr1	NM_054041
AGI_MM_OLIGO_A_51_P457244	X-linked lymphocyte-regulated 4	Xlr4	NM_021365
AGI_MM_OLIGO_A_51_P483659	Tripartite motif protein 3	Trim3	NM_018880
AGI_MM_OLIGO_A_51_P456465	Claudin 10	Cldn10	NM_021386
AGI_MM_OLIGO_A_51_P409349	Tripartite motif protein 29	Trim29	NM_023655
AGI_MM_OLIGO_A_51_P227275			ENSMUST00000001667
AGI_MM_OLIGO_A_51_P268625	Fibulin 2	Fbln2	NM_007992
AGI_MM_OLIGO_A_51_P436839	Liver-specific bHLH-Zip transcription factor	Lisch7	NM_017405
AGI_MM_OLIGO_A_51_P122321	RIKEN cDNA 9230117N10 gene	9230117N10Rik	NM_133775
AGI_MM_OLIGO_A_51_P450186	ADP-ribosyltransferase 4	Art4	NM_026639
AGI_MM_OLIGO_A_51_P157902	Claudin 3	Cldn3	NM_009902
AGI_MM_OLIGO_A_51_P183668	Transmembrane protein 30B	Tmem30b	NM_178715
AGI_MM_OLIGO_A_51_P145453	Inactive X specific transcripts	Xist	L04961
AGI_MM_OLIGO_A_51_P304397			BC100404
AGI_MM_OLIGO_A_51_P408382	Integrin beta 4	Itgb4	NM_001005608
AGI_MM_OLIGO_A_51_P216549	Transformation related protein 63	Trp63	NM_011641
AGI_MM_OLIGO_A_51_P475574	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	Edg2	NM_010336
AGI_MM_OLIGO_A_51_P186101	Cathepsin C	Ctsc	NM_009982
AGI_MM_OLIGO_A_51_P316673	RIKEN cDNA 2210407C18 gene	2210407C18Rik	NM_144544
AGI_MM_OLIGO_A_51_P175018			AK157407
AGI_MM_OLIGO_A_51_P518600	ATPase, H+ transporting, V1 subunit C, isoform 2	Atp6v1c2	NM_133699
AGI_MM_OLIGO_A_51_P179809	Phospholipase C, beta 4	Plcb4	BB694813
AGI_MM_OLIGO_A_51_P367530	Synaptotagmin 6	Syt6	NM_018800
AGI_MM_OLIGO_A_51_P231036	Procollagen, type IX, alpha 1	Col9a1	NM_007740
AGI_MM_OLIGO_A_51_P452711	RIKEN cDNA 9430022A07 gene	Kcnmb4	NM_021452
AGI_MM_OLIGO_A_51_P330016	Dickkopf homolog 3 (Xenopus laevis)	Dkk3	NM_015814
AGI_MM_OLIGO_A_51_P255395	Procollagen, type VII, alpha 1	Col7a1	NM_007738
AGI_MM_OLIGO_A_51_P295315	Ankyrin repeat domain 2 (stretch responsive muscle)	Ankrd2	NM_020033
AGI_MM_OLIGO_A_51_P471791	Sialyltransferase 8 (alpha-2, 8-sialyltransferase) F	Siat8f	NM_145838
AGI_MM_OLIGO_A_51_P338072			NM_010855
AGI_MM_OLIGO_A_51_P479181	Amphiregulin	Areg	NM_009704
AGI_MM_OLIGO_A_51_P124254	Procollagen, type IV, alpha 1	Col4a1	NM_009931
AGI_MM_OLIGO_A_51_P387239	Interferon inducible GTPase 1	Iigp1	NM_021792
AGI_MM_OLIGO_A_51_P359822	Surfactant associated protein D	Sftpd	NM_009160
AGI_MM_OLIGO_A_51_P174943	Laminin, gamma 2	Lamc2	NM_008485
AGI_MM_OLIGO_A_51_P438619	RIKEN cDNA 5330439J01 gene	5330439J01Rik	BC058972
AGI_MM_OLIGO_A_51_P220681			NM_009657
AGI_MM_OLIGO_A_51_P520849	Secreted frizzled-related sequence protein 2	Sfrp2	NM_009144
AGI_MM_OLIGO_A_51_P156955	Adipsin	Adn	NM_013459
AGI_MM_OLIGO_A_51_P337412	Epidermal growth factor-containing fibulin-like extracellular matrix protein 1	Efemp1	NM_146015
AGI_MM_OLIGO_A_51_P150120	Microsomal glutathione S-transferase 2	Mgst2	NM_174995
AGI_MM_OLIGO_A_51_P494822	Stromal antigen 3	Stag3	NM_016964
AGI_MM_OLIGO_A_51_P468071	Gamma-glutamyltransferase 1	Ggt1	NM_008116
AGI_MM_OLIGO_A_51_P376127	Autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	Aire	NM_009646
AGI_MM_OLIGO_A_51_P497350	Serine protease inhibitor, Kunitz type 2	Spint2	NM_011464
AGI_MM_OLIGO_A_51_P302327	Lectin, galactose binding, soluble 7	Lgals7	NM_008496
AGI_MM_OLIGO_A_51_P291260			XM_976153
AGI_MM_OLIGO_A_51_P484526	Wnt inhibitory factor 1	Wif1	NM_011915
AGI_MM_OLIGO_A_51_P164296	ADAM-like, decysin 1	Adamdec1	NM_021475
AGI_MM_OLIGO_A_51_P101460	Desmoplakin	Dsp	AK077574
AGI_MM_OLIGO_A_51_P481721	Sulfotransferase family 1D, member 1	Sult1d1	NM_016771
AGI_MM_OLIGO_A_51_P494125	Alkaline phosphatase 2, liver	Akp2	NM_007431
AGI_MM_OLIGO_A_51_P240614	Transmembrane 4 superfamily member 1	Tm4sf1	NM_008536
AGI_MM_OLIGO_A_51_P129360	Parathyroid hormone-like peptide	Pthlh	NM_008970
AGI_MM_OLIGO_A_51_P164504	Apolipoprotein C-I	Apoc1	NM_007469
AGI_MM_OLIGO_A_51_P378795	Chemokine (C-X-C motif) ligand 13	Cxcl13	NM_018866
AGI_MM_OLIGO_A_51_P147034	RIKEN cDNA 1700030B17 gene	1700030B17Rik	NM_027407
AGI_MM_OLIGO_A_51_P233153	Ca2+-dependent activator protein for secretion 2	Cadps2	NM_153163
AGI_MM_OLIGO_A_51_P282833	Suppression of tumorigenicity 14 (colon carcinoma)	St14	NM_011176
AGI_MM_OLIGO_A_51_P438853	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 11	Serpinb11	NM_025867
AGI_MM_OLIGO_A_51_P187602	Serine (or cysteine) proteinase inhibitor, clade B, member 5	Serpinb5	NM_009257
AGI_MM_OLIGO_A_51_P451338	Jagged 2	Jag2	NM_010588
AGI_MM_OLIGO_A_51_P412508	Iroquois related homeobox 4 (Drosophila)	Irx4	NM_018885
AGI_MM_OLIGO_A_51_P168894	Expressed sequence AU040576	AU040576	AK052589
AGI_MM_OLIGO_A_51_P492528	DNA segment, Chr 3, Brigham & Womens Genetics 0562 expressed	D3Bwg0562e	NM_177664
AGI_MM_OLIGO_A_51_P499540	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6	Galnt6	NM_172451
AGI_MM_OLIGO_A_51_P357983	Transcriptional regulator, SIN3B (yeast)	Sin3b	NM_009188
AGI_MM_OLIGO_A_51_P165185	Claudin 7	Cldn7	NM_016887
AGI_MM_OLIGO_A_51_P183581	POU domain, class 2, associating factor 1	Pou2af1	NM_011136
AGI_MM_OLIGO_A_51_P139780	Peptidoglycan recognition protein 1	Pglyrp1	NM_009402
AGI_MM_OLIGO_A_51_P344770			AK051922
AGI_MM_OLIGO_A_51_P105660	Ets homologous factor	Ehf	NM_007914
AGI_MM_OLIGO_A_51_P363749	Interferon regulatory factor 6	Irf6	NM_016851
AGI_MM_OLIGO_A_51_P118230	Junction adhesion molecule 4	Jam4	NM_028078
AGI_MM_OLIGO_A_51_P451574	Cytosolic acyl-CoA thioesterase 1	Cte1	NM_012006
AGI_MM_OLIGO_A_51_P242400	Keratin complex 2, basic, gene 8	Krt2-8	NM_031170
AGI_MM_OLIGO_A_51_P489488			NM_001039376
AGI_MM_OLIGO_A_51_P188141	Lactotransferrin	Ltf	NM_008522
AGI_MM_OLIGO_A_51_P430929	CDNA sequence BC029169	BC029169	NM_153782
AGI_MM_OLIGO_A_51_P483324	Protein tyrosine phosphatase, non-receptor type 8	Ptpn8	NM_008979
AGI_MM_OLIGO_A_51_P212782	Interleukin 1 beta	Il1b	NM_008361
AGI_MM_OLIGO_A_51_P512211	Myosin, heavy polypeptide 6, cardiac muscle, alpha	Myh6	NM_010856
AGI_MM_OLIGO_A_51_P426270	Matrix gamma-carboxyglutamate (gla) protein	Mglap	NM_008597
AGI_MM_OLIGO_A_51_P157255	RIKEN cDNA 4833414L08 gene	Sdc2	NM_008304
AGI_MM_OLIGO_A_51_P515882	Placenta-specific 8	Plac8	NM_139198
AGI_MM_OLIGO_A_51_P137336	Cadherin 1	Cdh1	NM_009864
AGI_MM_OLIGO_A_51_P343517	Lymphocyte antigen 6 complex, locus D	Ly6d	NM_010742
AGI_MM_OLIGO_A_51_P295085	Osteoglycin	Ogn	NM_008760
AGI_MM_OLIGO_A_51_P451588	Pleckstrin homology domain containing, family B (evectins) member 1	Plekhb1	NM_013746
AGI_MM_OLIGO_A_51_P304407	Nuclear factor I/B	Nfib	NM_008687
AGI_MM_OLIGO_A_51_P423308	Insulin-like growth factor binding protein 2	Igfbp2	NM_008342
AGI_MM_OLIGO_A_51_P309917	Integrin alpha 8	Itga8	NM_001001309
AGI_MM_OLIGO_A_51_P288315	High mobility group AT-hook 2	Hmga2	NM_010441
AGI_MM_OLIGO_A_51_P382849	Embigin	Emb	NM_010330
AGI_MM_OLIGO_A_51_P373589	RIKEN cDNA E030034P13 gene	E030034P13Rik	AK034869
AGI_MM_OLIGO_A_51_P510152	Lipocalin 2	Lcn2	NM_008491
AGI_MM_OLIGO_A_51_P311038			NM_001024139
AGI_MM_OLIGO_A_51_P505617	Interleukin 18 receptor 1	Il18r1	NM_008365
AGI_MM_OLIGO_A_51_P366811	Apolipoprotein D	Apod	NM_007470
AGI_MM_OLIGO_A_51_P379997	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3	Galnt3	NM_015736
AGI_MM_OLIGO_A_51_P334190	Kyphoscoliosis	Ky	NM_024291
AGI_MM_OLIGO_A_51_P270834	Twist gene homolog 1 (Drosophila)	Twist1	M63650
AGI_MM_OLIGO_A_51_P258817	Tocopherol (alpha) transfer protein	Ttpa	NM_015767
AGI_MM_OLIGO_A_51_P160754	Apolipoprotein B editing complex 1	Apobec1	NM_031159
AGI_MM_OLIGO_A_51_P132185	Stefin A1	Stfa1	NM_001001332
AGI_MM_OLIGO_A_51_P167292	Chitinase 3-like 3	Chi3l3	NM_009892
AGI_MM_OLIGO_A_51_P352384	RIKEN cDNA 5430433G21 gene	5430433G21Rik	XM_283765
AGI_MM_OLIGO_A_51_P107686	Forkhead box C1	Foxc1	NM_008592
AGI_MM_OLIGO_A_51_P125265	GATA binding protein 3	Gata3	NM_008091
AGI_MM_OLIGO_A_51_P291062	Procollagen, type XVI, alpha 1	Col16a1	NM_028266
AGI_MM_OLIGO_A_51_P173971	Olfactory receptor 935	Olfr935	NM_146746
AGI_MM_OLIGO_A_51_P216108	Ribosomal protein S6 kinase-like 1	Rps6kl1	NM_146244
AGI_MM_OLIGO_A_51_P478172	T-cell receptor beta, variable 13	Tcrb-V13	U07661
AGI_MM_OLIGO_A_51_P234359	Secretin	Sct	NM_011328
AGI_MM_OLIGO_A_51_P463765	Tissue inhibitor of metalloproteinase 3	Timp3	NM_011595
AGI_MM_OLIGO_A_51_P107315	Solute carrier family 5 (iodide transporter), member 8	Slc5a8	NM_145423
AGI_MM_OLIGO_A_51_P325318	Tumor differentially expressed 2-like	Tde2l	NM_172702
AGI_MM_OLIGO_A_51_P374726	Pentaxin related gene	Ptx3	NM_008987
AGI_MM_OLIGO_A_51_P511000	RIKEN cDNA C130090K23 gene	C130090K23Rik	NM_145560
AGI_MM_OLIGO_A_51_P383293	RIKEN cDNA 3110079O15 gene	3110079O15Rik	AK014261
AGI_MM_OLIGO_A_51_P370996	Protein tyrosine phosphatase, receptor type Z, polypeptide 1	Ptprz1	AJ133130
AGI_MM_OLIGO_A_51_P155843			XM_887155
AGI_MM_OLIGO_A_51_P355906	Kit oncogene	Kit	NM_021099
AGI_MM_OLIGO_A_51_P115441	Dihydropyrimidinase-like 3	Dpysl3	NM_009468
AGI_MM_OLIGO_A_51_P358765	Secreted phosphoprotein 1	Spp1	NM_009263
AGI_MM_OLIGO_A_51_P192031	Coxsackievirus and adenovirus receptor	Cxadr	NM_009988
AGI_MM_OLIGO_A_51_P339796	Interleukin 1 receptor-like 1	Il1rl1	NM_010743
AGI_MM_OLIGO_A_51_P223656	Laminin, beta 3	Lamb3	NM_008484
AGI_MM_OLIGO_A_51_P381683	Apoptosis-associated tyrosine kinase	Aatk	NM_007377
AGI_MM_OLIGO_A_51_P243513	RIKEN cDNA 4732474O15 gene	4732474O15Rik	XM_138397
AGI_MM_OLIGO_A_51_P106779			NM_080285
AGI_MM_OLIGO_A_51_P293938	RAS-like, family 11, member B	Rasl11b	AK004534
AGI_MM_OLIGO_A_51_P482503	Tumor protein D52-like 1	Tpd52l1	NM_009413
AGI_MM_OLIGO_A_51_P401907	Similar to RIKEN cDNA 2010005H15		AK089257
AGI_MM_OLIGO_A_51_P418820	Transcription factor AP-2, gamma	Tcfap2c	NM_009335
AGI_MM_OLIGO_A_51_P268331	Ring finger protein 128	Rnf128	NM_023270
AGI_MM_OLIGO_A_51_P501457	Membrane-spanning 4-domains, subfamily A, member 8A	Ms4a8a	NM_022430
AGI_MM_OLIGO_A_51_P161812	Ectodysplasin-A receptor	Edar	NM_010100
AGI_MM_OLIGO_A_51_P137708	Calmodulin-like 3	Calml3	NM_027416
AGI_MM_OLIGO_A_51_P173043	Early growth response 2	Egr2	NM_010118
AGI_MM_OLIGO_A_51_P358700	Olfactory receptor 1221	Olfr1221	NM_146902
AGI_MM_OLIGO_A_51_P136084	Solute carrier family 6 (neurotransmitter transporter), member 15	Slc6a15	NM_175328
AGI_MM_OLIGO_A_51_P455866	E74-like factor 5	Elf5	NM_010125
AGI_MM_OLIGO_A_51_P126702	DNA-damage-inducible transcript 4-like	Ddit4l	NM_030143
AGI_MM_OLIGO_A_51_P432641	Chemokine (C-X-C motif) ligand 10	Cxcl10	NM_021274
AGI_MM_OLIGO_A_51_P305547	Snail homolog 2 (Drosophila)	Snai2	NM_011415
AGI_MM_OLIGO_A_51_P206203	MAS-related GPR, member F	Mrgprf	NM_145379
AGI_MM_OLIGO_A_51_P433450	Keratin complex 1, acidic, gene 17	Krt1-17	NM_010663
AGI_MM_OLIGO_A_51_P494430	Inhibitor of DNA binding 4	Idb4	NM_031166
AGI_MM_OLIGO_A_51_P421559	B-box and SPRY domain containing	Bspry	NM_138653
AGI_MM_OLIGO_A_51_P246001	Carboxypeptidase E	Cpe	NM_013494
AGI_MM_OLIGO_A_51_P481257	Transcription factor CP2-like 1	Tcfcp2l1	NM_023755
AGI_MM_OLIGO_A_51_P353247			AK170453
AGI_MM_OLIGO_A_51_P333923	RIKEN cDNA 9030418M05 gene	9030418M05Rik	NM_133681
AGI_MM_OLIGO_A_51_P315681	RIKEN cDNA C330012H03 gene	C330012H03Rik	NM_183029
AGI_MM_OLIGO_A_51_P459477	Procollagen, type XI, alpha 1	Col11a1	NM_007729
AGI_MM_OLIGO_A_51_P255456	Cytochrome P450, family 1, subfamily b, polypeptide 1	Cyp1b1	NM_009994
AGI_MM_OLIGO_A_51_P207591	Annexin A8	Anxa8	NM_013473
AGI_MM_OLIGO_A_51_P301435	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	B3galt5	NM_033149
AGI_MM_OLIGO_A_51_P171883	Expressed sequence C77368	Palmd	NM_023245
AGI_MM_OLIGO_A_51_P478774	ADP-ribosyltransferase 1	Art1	AK033068
AGI_MM_OLIGO_A_51_P258690	Scrapie responsive gene 1	Scrg1	NM_009136
AGI_MM_OLIGO_A_51_P434483	Hepsin	Hpn	NM_008281
AGI_MM_OLIGO_A_51_P492366	Bone morphogenetic protein 7	Bmp7	NM_007557
AGI_MM_OLIGO_A_51_P518001	CAMP responsive element binding protein 3-like 3	Creb3l3	NM_145365
AGI_MM_OLIGO_A_51_P383369	Odd Oz/ten-m homolog 3 (Drosophila)	Odz3	NM_011857
AGI_MM_OLIGO_A_51_P103237	Hormonally upregulated Neu-associated kinase	Hunk	NM_015755
AGI_MM_OLIGO_A_51_P445370	Serine (or cysteine) proteinase inhibitor, clade B, member 1b	Serpinb1b	NM_173052
AGI_MM_OLIGO_A_51_P453635	Midkine	Mdk	NM_010784
AGI_MM_OLIGO_A_51_P276264			NM_019866
AGI_MM_OLIGO_A_51_P264695	Crystallin, mu	Crym	NM_016669
AGI_MM_OLIGO_A_51_P142258	RIKEN cDNA 1810019J16 gene	1810019J16Rik	NM_133707
AGI_MM_OLIGO_A_51_P394115	Arylacetamide deacetylase (esterase)	Aadac	NM_023383
AGI_MM_OLIGO_A_51_P490071	X-linked lymphocyte-regulated 3b	Xlr3b	NM_011727
AGI_MM_OLIGO_A_51_P443443	RIKEN cDNA 5830417I10 gene	5830417I10Rik	AY040842
AGI_MM_OLIGO_A_51_P489192	Periostin, osteoblast specific factor	Postn	NM_015784
AGI_MM_OLIGO_A_51_P303160	Arginase 1, liver	Arg1	NM_007482
AGI_MM_OLIGO_A_51_P352296	Secreted frizzled-related sequence protein 1	Sfrp1	NM_013834
AGI_MM_OLIGO_A_51_P246166	Extracellular proteinase inhibitor	Expi	NM_007969
AGI_MM_OLIGO_A_51_P124535	Mesoderm specific transcript	Mest	NM_008590
AGI_MM_OLIGO_A_51_P482535	Unc-51 like kinase 1 (C. elegans)	Ulk1	NM_009469
AGI_MM_OLIGO_A_51_P286780	Mus musculus, clone IMAGE:1244192, mRNA		BC028808
AGI_MM_OLIGO_A_51_P384894	Stefin A1	Stfa1	NM_001001332
AGI_MM_OLIGO_A_51_P225134			NM_001039545
AGI_MM_OLIGO_A_51_P248243	Nuclear factor, erythroid derived 2, like 3	Nfe2l3	NM_010903
AGI_MM_OLIGO_A_51_P281089	S100 calcium binding protein A6 (calcyclin)	S100a6	NM_011313
AGI_MM_OLIGO_A_51_P270904	RIKEN cDNA 9930023K05 gene	9930023K05Rik	NM_172641
AGI_MM_OLIGO_A_51_P494342	RIKEN cDNA 2410004M13 gene	LOC406217	NM_212457
AGI_MM_OLIGO_A_51_P265495	Lymphocyte antigen 6 complex, locus A	Ly6a	NM_010738
AGI_MM_OLIGO_A_51_P417720	Integrin, alpha 11	Itga11	NM_176922
AGI_MM_OLIGO_A_51_P380078			ENSMUST00000076648
AGI_MM_OLIGO_A_51_P257951	Resistin like alpha	Retnla	NM_020509
