Spotnum	P value	Well ID	Clone IMAGE	Title	Gene	Map
7217	0	28759	273546	ADE2H1 encoding SAICAR synthetase and AIR carboxylase of the purine pathway (EC 6.3.2.6, EC 4.1.1.21)	ADE2H1	8
542	0	201567	814615	NAD-dependent methylenetetrahydrofolate dehydrogenase	MTHFD2	2p24.3-p24.1
4308	0	28435	47900	interferon-gamma receptor alpha chain
2875	0	28593	786067	cdc25B=M-phase inducer phosphatase 2	CDC25B	20p13
2131	0	209221	586706	carcinoembryonic antigen-related cell adhesion molecule 5	CEACAM5	19q13.1-q13.2
3540	0	208476	855390	minichromosome maintenance deficient (mis5, S. pombe) 6	MCM6	2q21
848	0	27463	491243	IP-10	SCYB10	4q21
7699	0	28550	815526	myb-related gene B=B-myb	MYBL2	20q13.1
5069	0	201886	742125	lysyl oxidase-like 1	LOXL1	15q22
479	0	28881	309288	replication factor C	RFC4	3q27
3809	0	28370	725161	E2A=E12/E47 HLH transcription factors	TCF3	19p13.3
2354	0	28255	344219	Uridine monophosphate kinase	UMPK	1p32
722	0	202095	85682	Unknown
2043	0	203009	308633	helicase, lymphoid-specific	HELLS	10q23-q24
4589	0	202085	840818	filamin B, beta (actin-binding protein-278)	FLNB	3p14.3
4947	0	205518	343990	COPZ2 for nonclathrin coat protein zeta-COP	LOC51226	17q21.3
5796	0	28964	365681	GATA-3=T-cell specific transcription factor	GATA3	10p15
7583	0	157599	2550009	EST
959	0	28969	469297	DEC1=basic helix-loop-helix protein	BHLHB2	3p26
6160	0	27139	2152	PMBP=progesterone membrane binding protein
1887	0	28614	898062	p55CDC	CDC20	9q13-q21
6777	0	200686	230271	glycosyltransferase AD-017	AD-017	3p24.3
5748	0	28196	202074	Integrin beta 5	ITGB5	3p14.3-p14.1
2638	0	202211	898108	adenovirus 5 E1A binding protein	BS69	10p14
6150	0	27095	195630	Topoisomerase II alpha (170kD)	TOP2A	17q21-q22
657	0	208649	49567	Human clone 23948 mRNA sequence		15
4211	0	27185	276483	2-5 oligoadenylate synthetase E	OAS1	12q24.1
6194	0	27855	877523	APS=adaptor molecule containing PH and SH2 domains that is tyrosine phosphorylated upon B-cell receptor stimulation	APS	7q22
3928	0	201479	773215	core binding factor alpha1b subunit=CBF alpha1=PEBP2aA1 transcription factor =AML1 Proto-oncogene=translocated in acute myeloid leukemia	RUNX1	21q22.3
1518	0	201596	786067	cdc25B=M-phase inducer phosphatase 2	CDC25B	20p13
5088	0	202440	66718	phorbolin (similar to apolipoprotein B mRNA editing protein)		22q13.1
7675	0	28358	202961	CENP-F kinetochore protein=mitosin=cell-cycle-dependent 350K nuclear protein=AH antigen	CENPF	1q32-q41
4778	0	28191	267753	Serine hydroxymethyl transferase  mitochondrial precursor=Serine methylase=Glycine hydroxymethyl transferase=SHMT	SHMT2	12q12-q14
533	0	201537	79629	CXC chemokine receptor 4= fusin=neuropeptide Y receptor=L3	CXCR4	2q21
7706	0	28576	773215	core binding factor alpha1b subunit=CBF alpha1=PEBP2aA1 transcription factor =AML1 Proto-oncogene=translocated in acute myeloid leukemia	RUNX1	21q22.3
7286	0	201360	815526	myb-related gene B=B-myb	MYBL2	20q13.1
7613	0	26950	124345	CENP-F kinetochore protein=mitosin=cell-cycle-dependent 350K nuclear protein=AH antigen	CENPF	1q32-q41
5194	0	27240	302185	mitotic feedback control protein Madp2 homolog	MAD2L1	4q27
7226	0	28729	304908	E2F-3=pRB-binding transcription factor=KIAA0075	E2F3	6p22
1629	0	208670	49963	butyrophilin, subfamily 2, member A2	BTN2A2	6p22.1
6845	0	201722	380263	ESTs
1036	0	201516	898123	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	GART	21q22.11
2378	0	28770	840708	Superoxide dismutase 2, mitochondrial	MGC5618
6210	0	27911	1047276	mitotic feedback control protein Madp2 homolog	MAD2L1	4q27
4714	0	27067	173406	SRPK1=serine kinase	SRPK1	6p21.3-p21.2
492	0	200603	120881	RAB31, member RAS oncogene family	RAB31	18p11.3
2095	0	208405	796284	IRS-1=Insulin receptor substrate-1	IRS1	2q36
3805	0	28350	1303401	2-5 oligoadenylate synthetase E	OAS1	12q24.1
5252	0	28052	1357243	lamin B1	LMNB1	5q23.3-q31.1
264	0	202483	841282	frizzled related protein frpHE	SFRP4	7p14.3-p14.1
3177	0	200222	754600	nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	19p13.3
3478	0	202940	825470	topoisomerase (DNA) II alpha (170kD)	TOP2A	17q21-q22
2474	0	201739	814701	mitotic feedback control protein Madp2 homolog	MAD2L1	4q27
6325	0	201385	842846	tissue inhibitor of metalloproteinase 2	TIMP2	17q25
2216	0	200247	809557	minichromosome maintenance deficient (S. cerevisiae) 3	MCM3	6p12
839	0	27049	49950	FLAP endonuclease-1=Maturation factor 1=MF1=DNA structure-specific endonuclease FEN1=DNase IV=nuclear 42 kda 5 -> 3 exonuclease=rad2 homologue	FEN1	11q12
7481	0	202230	813520	HEK2=tyrosine kinase receptor=large erk kinase	EPHB3	3q21-qter
1427	0	28806	781047	BUB1=putative mitotic checkpoint protein ser/thr kinase	BUB1	2q14
4825	0	28957	241029	ARK2=aurora-related kinase 2	STK12	17p13.1
6423	0	207821	365517	ESTs		10
534	0	201539	897646	collagen, type IX, alpha 3	COL9A3	20q13.3
3912	0	200931	198917	Homo sapiens GT212 mRNA		17
3934	0	201503	789182	PCNA=proliferating cell nuclear antigen	PCNA	20pter-p12
1672	0	202024	564803	MPP2=putative M phase phosphoprotein 2	FOXM1	12p13
3020	0	203052	134948	KIAA1481 protein	KIAA1481	4
5539	0	209214	530185	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	CD83	6p23
6727	0	28529	771196	Cell division cycle 42 (GTP-binding protein, 25kD)	ARHGAP1
4660	0	157044	1984923	Unknown
4784	0	28215	1272373	Serine hydroxymethyl transferase  mitochondrial precursor=Serine methylase=Glycine hydroxymethyl transferase=SHMT	SHMT2	12q12-q14
6967	0	208830	345626	fatty acid binding protein 7, brain	FABP7	6q22-q23
961	0	28973	754106	TIMP-3=Tissue inhibitor of metalloproteinase 3	TIMP3	22q12.3
849	0	27465	501897	Adenylosuccinate lyase	ADSL	22q13.2
5108	0	209524	69935	adrenergic, alpha-2A-, receptor	ADRA2A	10q24-q26
6970	0	209232	740801	branched chain keto acid dehydrogenase E1, alpha polypeptide (maple syrup urine disease)	BCKDHA	19q13.1-q13.2
4284	0	28051	1356974	SIP-110=signaling inositol polyphosphate 5 phosphatase	INPP5D	2q36-q37
5677	0	27046	48174	SAK=serine/threonine protein kinase	STK18	4q27-q28
4420	0	201603	194182	Leptin receptor gene-related protein	HSOBRGRP	1
2870	0	28571	EmptyWell	EmptyWell
5725	0	27814	796284	IRS-1=Insulin receptor substrate-1	IRS1	2q36
3333	0	28302	502761	Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	GART	21q22.11
2644	0	202235	786213	AU RNA-binding protein/enoyl-Coenzyme A hydratase	AUH	9p24.1-q22.33
7432	0	208852	287749	Cdc7-related kinase	CDC7L1	1p22
7026	0	205132	309776	CASP8 and FADD-like apoptosis regulator	CFLAR	2q33-q34
7243	0	157695	39285	glutamate dehydrogenase 1	GLUD1	10q23.3
1237	0	209514	80292	Homo sapiens clone FLB3344 PRO0845 mRNA, complete cds		8
1233	0	209506	49222	f-box and leucine-rich repeat protein 2	FBXL2	3p24.3
222	0	201835	815530	PAK-interacting exchange factor beta	P85SPR	13
6359	0	201813	753321	KIAA0232 gene product	KIAA0232	4
6641	0	26941	2156	Pleckstrin
2925	0	200750	261828	RAD50 (S. cerevisiae) homolog	RAD50	5q31
6519	0	202253	81289	actin, gamma 2, smooth muscle, enteric	ACTG2	2p13.1
6976	0	209256	714213	CD95=Fas	TNFRSF6	10q24.1
4532	0	208679	740941	adipose specific 2	APM2	10
180	0	208579	304908	E2F-3=pRB-binding transcription factor=KIAA0075	E2F3	6p22
