Probeset ID	Gene Title	Gene Symbol	RefSeq Transcript ID	p-value(hcc vs. control)_comp1	FC (hcc vs. control) comp 1	p-value(tumor vs. hep) comp 2	FC (tumor vs. hep) comp 2	a	b	c
1446720_at	Activated leukocyte cell adhesion molecule	Alcam	NM_009655	0.0388	1.9299	0.3973	1.1234	Yes	No	No
1429521_at	alkB, alkylation repair homolog 8 (E. coli)	Alkbh8	NM_026303	0.0038	1.7802	0.0094	1.3457	Yes	No	No
1435778_at	ankyrin repeat domain 11	Ankrd11	XM_001004409	0.0058	1.5654	0.2585	1.045	Yes	No	No
1447903_x_at	adaptor-related protein complex 1, sigma 2 subunit	Ap1s2	NM_026887	0.0095	1.8044	0.0217	1.3729	Yes	No	No
1448308_at	adaptor-related protein complex 3, mu 1 subunit	Ap3m1	NM_018829	0.0283	2.0427	0.4486	1.0983	Yes	No	No
1416374_at	adaptor-related protein complex 3, mu 1 subunit /// similar to AP-3 complex subu	Ap3m1	NM_018829	0.0358	1.8449	0.1098	1.3076	Yes	No	No
1425954_a_at	apurinic/apyrimidinic endonuclease 2	Apex2	NM_029943	0.02	-1.5268	0.1729	-1.1086	Yes	No	No
1420621_a_at	amyloid beta (A4) precursor protein	App	NM_007471	0.0137	2.1825	0.0525	1.3709	Yes	No	No
1454982_at	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibi	Arfgef2	XM_130646	0.0473	1.5279	0.9509	-1.0054	Yes	No	No
1426623_a_at	Rho GTPase activating protein 17	Arhgap17	NM_144529	0.0353	1.6812	0.084	1.3027	Yes	No	No
1436171_at	Rho GTPase activating protein 30	Arhgap30	NM_001005508	0.0476	1.567	0.0864	1.3015	Yes	No	No
1423902_s_at	Rho guanine nucleotide exchange factor (GEF) 12	Arhgef12	NM_027144	0.0046	1.5637	0.0368	-1.1344	Yes	No	No
1434950_a_at	armadillo repeat containing 8	Armc8	NM_028768	0.0478	-1.7237	0.4968	1.0867	Yes	No	No
1426239_s_at	arrestin, beta 2	Arrb2	NM_145429	0.0051	1.596	0.006	1.4208	Yes	No	No
1418292_at	arsA (bacterial) arsenite transporter, ATP-binding, homolog 1	Asna1	NM_019652	0.0234	1.5681	0.2144	1.1079	Yes	No	No
1439036_a_at	ATPase, Na+/K+ transporting, beta 1 polypeptide	Atp1b1	NM_009721	0.0167	1.9372	0.7498	1.0261	Yes	No	No
1449870_a_at	ATPase, H+ transporting, lysosomal V0 subunit A2	Atp6v0a2	NM_011596	0.0378	1.8044	0.4382	1.0968	Yes	No	No
1418774_a_at	ATPase, Cu++ transporting, alpha polypeptide	Atp7a	NM_009726	0.0419	1.7267	0.2291	1.1749	Yes	No	No
1423586_at	AXL receptor tyrosine kinase	Axl	NM_009465	0.0175	2.7482	0.0314	1.8382	No	No	Yes
1427511_at	Beta-2 microglobulin	B2m	NM_009735	0.0111	2.0878	0.0238	1.5026	No	No	Yes
1426234_s_at	cDNA sequence BC002199	BC002199	NM_145964	0.0254	1.5433	0.3133	-1.0799	Yes	No	No
1460696_at	cDNA sequence BC026585	BC026585	NM_001033284	0.0055	1.5616	0.0071	1.3772	Yes	No	No
1455781_at	cDNA sequence BC027231	BC027231	NM_145972	0.0148	1.5573	0.0778	1.162	Yes	No	No
1433963_a_at	cDNA sequence BC032204	BC032204	NM_153795	0.0019	2.5767	0.0034	1.7809	No	No	Yes
1434459_at	cDNA sequence BC057627	BC057627	NM_198631	0.0398	1.6211	0.758	-1.0289	Yes	No	No
1451681_at	cDNA sequence BC089597	BC089597	NM_145424	0.0069	-3.2558	0.012	-2.0657	No	No	Yes
1421818_at	B-cell leukemia/lymphoma 6	Bcl6	NM_009744	0.5335	1.0932	0.038	1.6269	No	Yes	No
1440533_at	Bifunctional apoptosis regulator	Bfar	NM_025976	0.0059	1.7888	0.0381	1.2002	Yes	No	No
1417493_at	B lymphoma Mo-MLV insertion region 1	Bmi1	NM_007552	0.0108	1.5162	0.13	-1.0931	Yes	No	No
1428669_at	brain expressed myelocytomatosis oncogene	Bmyc	NM_023326	0.0113	1.6859	0.0176	1.4066	Yes	No	No
1434821_at	bromodomain containing 1	Brd1	NM_001033274	0.0415	1.6569	0.6054	1.054	Yes	No	No
1458708_at	Bromodomain containing 4	Brd4	NM_020508	0.0262	1.9059	0.1908	1.1845	Yes	No	No
1452351_at	RIKEN cDNA C030027K23 gene /// poly (ADP-ribose) polymerase family, member 4	C030027K23Rik	XM_978866	0.0319	1.6941	0.3416	1.1025	Yes	No	No
1417381_at	complement component 1, q subcomponent, alpha polypeptide	C1qa	NM_007572	0.0411	2.1287	0.0611	1.647	Yes	No	No
1417063_at	complement component 1, q subcomponent, beta polypeptide	C1qb	NM_009777	0.0277	2.4326	0.0547	1.6589	Yes	No	No
1449401_at	complement component 1, q subcomponent, C chain	C1qc	NM_007574	0.017	2.2689	0.0406	1.5283	No	No	Yes
1419958_at	RIKEN cDNA C330003B14 gene	C330003B14Rik	NM_175342	0.0093	-1.5665	0.6465	-1.0193	Yes	No	No
1433685_a_at	RIKEN cDNA C330011F01 gene /// RIKEN cDNA 6430706D22 gene	C330011F01Rik	NM_198652	0.0179	1.522	0.2202	1.0858	Yes	No	No
1454686_at	RIKEN cDNA C330011F01 gene /// RIKEN cDNA 6430706D22 gene	C330011F01Rik	NM_198652	0.0194	1.6268	0.1459	1.1388	Yes	No	No
1419482_at	complement component 3a receptor 1	C3ar1	NM_009779	0.0312	1.8875	0.0428	1.5531	No	No	Yes
1454736_at	RIKEN cDNA C820004L04 gene	C820004L04Rik	XM_884335	0.0205	1.573	0.2896	-1.0795	Yes	No	No
1427472_a_at	complement component 8, beta subunit	C8b	NM_133882	0.0157	-1.9473	0.0435	-1.3775	Yes	No	No
1439745_at	calcium channel, voltage-dependent, gamma subunit 7	Cacng7	NM_133189	0.0403	-1.554	0.5646	-1.0523	Yes	No	No
1425846_a_at	calneuron 1	Caln1	NM_021371	0.0088	-1.5812	0.5831	-1.0233	Yes	No	No
1438643_at	Calcium/calmodulin-dependent protein kinase ID	Camk1d	NM_177343	0.043	2.3497	0.0766	1.6632	Yes	No	No
1417461_at	CAP, adenylate cyclase-associated protein 1 (yeast)	Cap1	NM_007598	0.0411	1.7752	0.2976	1.1469	Yes	No	No
1450355_a_at	capping protein (actin filament), gelsolin-like	Capg	NM_007599	0.0056	1.9793	0.0047	1.8328	No	No	Yes
1449297_at	caspase 12	Casp12	NM_009808	0.0313	11.302	0.8041	-1.1067	Yes	No	No
1418126_at	chemokine (C-C motif) ligand 5	Ccl5	NM_013653	0.018	2.528	0.0202	2.0409	No	No	Yes
1416037_a_at	chaperonin subunit 2 (beta)	Cct2	NM_007636	0.0201	1.5168	0.2767	1.0755	Yes	No	No
1419144_at	CD163 antigen	Cd163	NM_053094	0.0378	-3.1394	0.3929	-1.2241	Yes	No	No
1417223_at	CD2 antigen (cytoplasmic tail) binding protein 2	Cd2bp2	NM_027353	0.0264	1.5353	0.3496	1.0726	Yes	No	No
1423166_at	CD36 antigen	Cd36	NM_007643	0.0021	1.902	0.0777	1.0847	Yes	No	No
1423760_at	CD44 antigen	Cd44	NM_001039150	0.0031	3.0642	0.0081	1.7619	No	No	Yes
1434376_at	CD44 antigen	Cd44	NM_001039150	0.0137	2.9918	0.0592	1.5153	Yes	No	No
1448617_at	CD53 antigen	Cd53	NM_007651	0.0384	2.3694	0.1007	1.5115	Yes	No	No
1435338_at	cyclin-dependent kinase 6	Cdk6	NM_009873	0.0333	1.7569	0.3743	1.1028	Yes	No	No
1424638_at	cyclin-dependent kinase inhibitor 1A (P21)	Cdkn1a	NM_007669	0.0246	1.8366	0.3542	-1.0993	Yes	No	No
1452832_s_at	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2	Cds2	NM_138651	0.049	1.5497	0.1787	1.1828	Yes	No	No
1436037_at	ceramide kinase-like	Cerkl	NM_001033295	0.0306	1.9848	0.0661	1.4492	Yes	No	No
1450876_at	complement component factor h	Cfh	NM_009888	0.0061	-1.6415	0.0029	-1.8085	No	No	Yes
1423153_x_at	complement component factor h	Cfh	NM_009888	0.0224	-1.585	0.0116	-1.6918	No	No	Yes
1448346_at	cofilin 1, non-muscle	Cfl1	NM_007687	0.0345	1.766	0.0988	1.2969	Yes	No	No
1452309_at	cingulin-like 1 /// similar to cingulin-like 1 isoform 1	Cgnl1	NM_026599	0.0499	1.7666	0.9059	-1.0145	Yes	No	No
1455106_a_at	creatine kinase, brain	Ckb	NM_021273	0.0012	1.7059	0.0019	1.4174	Yes	No	No
1428722_at	creatine kinase, mitochondrial 2	Ckmt2	NM_198415	0.0029	-2.2517	0.5555	-1.0257	Yes	No	No
1452265_at	CLIP associating protein 1	Clasp1	XM_884205	0.0219	1.5	0.2212	1.0912	Yes	No	No
1417852_x_at	chloride channel calcium activated 1	Clca1	NM_009899	0.0448	2.9526	0.9796	1.0056	Yes	No	No
1417743_at	CDC-like kinase 2	Clk2	NM_007712	0.0477	1.6853	0.332	1.1305	Yes	No	No
1427312_at	cardiomyopathy associated 5	Cmya5	---	0.0083	-1.7006	0.1765	-1.0854	Yes	No	No
1455269_a_at	coronin, actin binding protein 1A	Coro1a	NM_009898	0.022	4.0278	0.0534	2.0391	Yes	No	No
1416246_a_at	coronin, actin binding protein 1A	Coro1a	NM_009898	0.0265	3.8731	0.0659	1.9719	Yes	No	No
1448351_at	coronin, actin binding protein 1B	Coro1b	NM_011778	0.0196	1.5966	0.143	1.1368	Yes	No	No
1418709_at	cytochrome c oxidase, subunit VIIa 1	Cox7a1	NM_009944	0.0296	-2.3563	0.874	1.0224	Yes	No	No
1449218_at	cytochrome c oxidase, subunit VIIIb	Cox8b	NM_007751	0.0034	-2.4563	0.0608	-1.1811	Yes	No	No
1455009_at	carboxypeptidase D	Cpd	NM_007754	0.4653	1.1034	0.0255	-1.7333	No	Yes	No
1417960_at	cytoplasmic polyadenylation element binding protein 1	Cpeb1	NM_007755	0.0413	1.805	0.357	1.1276	Yes	No	No
1435224_at	CREB binding protein	Crebbp	NM_001025432	0.0449	1.6116	0.6412	1.0474	Yes	No	No
1415948_at	cellular repressor of E1A-stimulated genes 1	Creg1	NM_011804	0.0016	1.697	0.0039	1.3222	Yes	No	No
1448406_at	CREBBP/EP300 inhibitory protein 1	Cri1	NM_025613	0.0214	2.3941	0.5863	1.0706	Yes	No	No
1426951_at	cysteine rich transmembrane BMP regulator 1 (chordin like)	Crim1	NM_015800	0.0045	1.7975	0.1462	1.0772	Yes	No	No
1416201_at	v-crk sarcoma virus CT10 oncogene homolog (avian)	Crk	NM_133656	0.0084	1.5994	0.1305	-1.0924	Yes	No	No
1419037_at	casein kinase II, alpha 1 polypeptide	Csnk2a1	NM_007788	0.0218	1.5438	0.6086	1.0326	Yes	No	No
1422507_at	cystatin B	Cstb	NM_007793	0.0463	3.1613	0.1518	1.6074	Yes	No	No
1422450_at	catenin (cadherin associated protein), delta 1	Ctnnd1	NM_007615	0.0101	1.9199	0.4031	1.0586	Yes	No	No
1437448_s_at	catenin (cadherin associated protein), delta 1	Ctnnd1	NM_007615	0.0103	1.8719	0.5237	1.0407	Yes	No	No
1448591_at	cathepsin S	Ctss	NM_021281	0.0049	2.1795	0.0172	1.3983	Yes	No	No
1449195_s_at	chemokine (C-X-C motif) ligand 16	Cxcl16	NM_023158	0.0492	2.4958	0.0699	1.8513	Yes	No	No
1425832_a_at	chemokine (C-X-C motif) receptor 6	Cxcr6	NM_030712	0.049	2.3206	0.0806	1.6853	Yes	No	No
1437351_at	CXXC finger 4	Cxxc4	NM_001004367	0.0333	-1.5422	0.2484	-1.1121	Yes	No	No
1454268_a_at	cytochrome b-245, alpha polypeptide	Cyba	NM_007806	0.014	2.1436	0.0237	1.6052	No	No	Yes
1422230_s_at	cytochrome P450, family 2, subfamily a, polypeptide 4 /// cytochrome P450, famil	Cyp2a4	NM_007812	0.0173	2.2517	0.0991	1.2963	Yes	No	No
1421363_at	cytochrome P450, family 2, subfamily c, polypeptide 39	Cyp2c39	NM_010003	0.0166	1.6055	0.2426	-1.0862	Yes	No	No
1419523_at	cytochrome P450, family 3, subfamily a, polypeptide 13	Cyp3a13	NM_007819	0.0083	-1.6882	0.0138	-1.3926	Yes	No	No
1457823_at	cysteine rich protein 61	Cyr61	NM_010516	0.0234	1.6783	0.0323	1.4304	Yes	No	No
1423879_at	RIKEN cDNA D030056L22 gene	D030056L22Rik	NM_177640	0.0344	1.6777	0.5168	1.0648	Yes	No	No
1424778_at	DNA segment, Chr 10, University of California at Los Angeles 1	D10Ucla1	NM_178606	0.0458	1.5	0.2669	1.1186	Yes	No	No
1433696_at	DNA segment, Chr 17, ERATO Doi 441, expressed	D17Ertd441e	NM_198937	0.0119	1.6285	0.9352	-1.004	Yes	No	No
1455757_at	DNA segment, Chr 3, ERATO Doi 254, expressed	D3Ertd254e	XR_001558	0.0329	2.2454	0.2817	1.1967	Yes	No	No
1435366_at	RIKEN cDNA D430042O09 gene	D430042O09Rik	XM_001002577	0.04	1.7381	0.7893	1.0288	Yes	No	No
1456131_x_at	dystroglycan 1	Dag1	NM_010017	0.0051	1.5226	0.048	1.1147	Yes	No	No
1418028_at	dopachrome tautomerase	Dct	NM_010024	0.0032	-2.8157	0.0988	1.1524	Yes	No	No
1435376_at	DDHD domain containing 2	Ddhd2	XM_356065	0.0398	1.5503	0.1827	1.1596	Yes	No	No
1452546_x_at	defensin beta 11	Defb11	NM_139221	0.0199	-1.5053	0.645	-1.0259	Yes	No	No
1422677_at	diacylglycerol O-acyltransferase 2	Dgat2	NM_026384	0.0259	1.5828	0.3841	1.0705	Yes	No	No
1438969_x_at	DEAH (Asp-Glu-Ala-His) box polypeptide 30	Dhx30	NM_133347	0.0452	2.1871	0.5946	1.0922	Yes	No	No
1436337_at	cyclin D binding myb-like transcription factor 1 /// RIKEN cDNA 4930420K17 gene	Dmtf1	NM_011806	0.0192	1.8119	0.9112	1.0087	Yes	No	No
1438801_at	dynamin 3	Dnm3	NM_001038619	0.0019	-1.7789	0.0731	-1.0733	Yes	No	No
1427033_at	dynamin binding protein	Dnmbp	NM_028029	0.0383	1.6404	0.2838	1.1254	Yes	No	No
1422808_s_at	dedicator of cyto-kinesis 2	Dock2	NM_033374	0.0161	1.6122	0.0212	1.4026	Yes	No	No
1454785_at	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	Dusp11	NM_028099	0.0079	1.5184	0.66	-1.0157	Yes	No	No
1434292_at	RIKEN cDNA E130013N09 gene	E130013N09Rik	---	0.0225	4.0841	0.0766	1.8148	Yes	No	No
1448425_at	eukaryotic translation initiation factor 3, subunit 10 (theta)	Eif3s10	NM_010123	0.0085	1.5551	0.3503	-1.0408	Yes	No	No
1417978_at	eukaryotic translation initiation factor 4E member 3	Eif4e3	NM_025829	0.0381	2.7435	0.5897	1.111	Yes	No	No
1417084_at	eukaryotic translation initiation factor 4E binding protein 2	Eif4ebp2	NM_010124	0.0496	1.8551	0.695	1.0543	Yes	No	No
1426833_at	eukaryotic translation initiation factor 4 gamma, 3	Eif4g3	NM_172703	0.0276	2.0202	0.0904	1.3516	Yes	No	No
1431037_a_at	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	Elavl1	NM_010485	0.0284	1.5279	0.5026	1.0496	Yes	No	No
1418275_a_at	E74-like factor 2	Elf2	NM_023502	0.0177	1.7502	0.5515	1.0446	Yes	No	No
1417403_at	ELOVL family member 6, elongation of long chain fatty acids (yeast)	Elovl6	NM_130450	0.0184	1.521	0.0047	1.9815	No	No	Yes
1417404_at	ELOVL family member 6, elongation of long chain fatty acids (yeast)	Elovl6	NM_130450	0.023	1.7423	0.0126	1.8566	No	No	Yes
1417104_at	epithelial membrane protein 3	Emp3	NM_010129	0.0926	1.3684	0.0338	1.5607	No	Yes	No
1438317_a_at	endonuclease G	Endog	NM_007931	0.0456	-1.6888	0.5122	-1.0774	Yes	No	No
1433763_at	ectonucleoside triphosphate diphosphohydrolase 5	Entpd5	NM_001026214	0.05	1.991	0.0993	1.4665	Yes	No	No
1416129_at	ERBB receptor feedback inhibitor 1	Errfi1	NM_133753	0.4779	1.0443	0.0091	-1.5316	No	Yes	No
1460591_at	estrogen receptor 1 (alpha)	Esr1	NM_007956	0.0194	-2.0813	0.0743	-1.3392	Yes	No	No
1422986_at	estrogen related receptor, beta	Esrrb	NM_011934	0.0034	-1.5037	0.0629	-1.0782	Yes	No	No
1416023_at	fatty acid binding protein 3, muscle and heart	Fabp3	NM_010174	0.0398	-1.8674	0.4709	1.0969	Yes	No	No
1440444_at	fatty acid desaturase 1	Fads1	NM_146094	0.0305	1.9814	0.4934	1.0865	Yes	No	No
1423828_at	fatty acid synthase	Fasn	NM_007988	0.1109	1.2488	0.0136	1.7499	No	Yes	No
1425462_at	F-box and WD-40 domain protein 11	Fbxw11	NM_134015	0.0346	1.6217	0.3797	1.0877	Yes	No	No
1418340_at	Fc receptor, IgE, high affinity I, gamma polypeptide	Fcer1g	NM_010185	0.0225	2.1757	0.079	1.3827	Yes	No	No
1448620_at	Fc receptor, IgG, low affinity III	Fcgr3	NM_010188	0.0334	2.163	0.1331	1.3359	Yes	No	No
1423136_at	fibroblast growth factor 1	Fgf1	NM_010197	0.0636	-1.5999	0.0404	-1.6329	No	Yes	No
1423663_at	folliculin	Flcn	NM_146018	0.0228	1.6592	0.8437	-1.0144	Yes	No	No
1417429_at	flavin containing monooxygenase 1	Fmo1	NM_010231	0.0044	2.4041	0.0444	1.2418	Yes	No	No
1426983_at	formin binding protein 1	Fnbp1	NM_001038700	0.0313	1.6917	0.0518	1.389	Yes	No	No
1434123_at	fucosyltransferase 11	Fut11	NM_028428	0.0113	1.6771	0.3031	1.0643	Yes	No	No
1423237_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase	Galnt1	NM_013814	0.0493	1.6696	0.2953	1.1451	Yes	No	No
1423569_at	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	Gatm	NM_025961	0.0314	2.1924	0.0502	1.6484	Yes	No	No
1452223_s_at	granule cell antiserum positive 14	Gcap14	NM_027045	0.0218	1.5305	0.2418	1.0897	Yes	No	No
1429081_at	GRIP and coiled-coil domain containing 2	Gcc2	NM_027375	0.03	1.7642	0.6335	-1.0468	Yes	No	No
1456061_at	GTPase, IMAP family member 8	Gimap8	NM_212486	0.0326	1.5369	0.1099	1.1961	Yes	No	No
1422556_at	guanine nucleotide binding protein, alpha 13	Gna13	NM_010303	0.0027	2.169	0.048	1.1546	Yes	No	No
1417432_a_at	guanine nucleotide binding protein, beta 1	Gnb1	NM_008142	0.0196	1.5922	0.0652	1.2232	Yes	No	No
1420394_s_at	glycoprotein 49 A /// leukocyte immunoglobulin-like receptor, subfamily B, membe	Gp49a	NM_008147	0.011	2.303	0.0288	1.5126	No	No	Yes
1460276_a_at	G protein-coupled receptor 175	Gpr175	NM_011906	0.0213	1.5199	0.382	1.0579	Yes	No	No
1454958_at	glycogen synthase kinase 3 beta	Gsk3b	NM_019827	0.0032	1.7112	0.0276	1.1599	Yes	No	No
1427473_at	glutathione S-transferase, mu 3	Gstm3	NM_010359	0.0254	5.2725	0.1176	1.7959	Yes	No	No
1427474_s_at	glutathione S-transferase, mu 3	Gstm3	NM_010359	0.0368	3.5174	0.1767	1.5152	Yes	No	No
1438858_x_at	Histocompatibility 2, class II antigen A, alpha	H2-Aa	NM_010378	0.0317	4.3334	0.0605	2.3336	Yes	No	No
1452431_s_at	histocompatibility 2, class II antigen A, alpha /// histocompatibility 2, class	H2-Aa	NM_010378	0.015	6.3997	0.0402	2.481	No	No	Yes
1450648_s_at	histocompatibility 2, class II antigen A, beta 1	H2-Ab1	NM_207105	0.0043	4.4153	0.014	1.954	No	No	Yes
1425477_x_at	histocompatibility 2, class II antigen A, beta 1	H2-Ab1	NM_207105	0.0193	4.508	0.0377	2.3824	No	No	Yes
1426324_at	histocompatibility 2, D region locus 1	H2-D1	NM_010380	0.0363	2.1287	0.0764	1.5091	Yes	No	No
1451784_x_at	histocompatibility 2, D region locus 1 /// histocompatibility 2, D region /// si	H2-D1	NM_001034908	0.0433	1.531	0.3927	1.0842	Yes	No	No
1417025_at	histocompatibility 2, class II antigen E beta	H2-Eb1	NM_010382	0.0039	3.7882	0.0095	1.9999	No	No	Yes
1419196_at	hepcidin antimicrobial peptide 1	Hamp1	NM_032541	0.0126	5.1302	0.6622	1.0797	Yes	No	No
1419197_x_at	hepcidin antimicrobial peptide 1	Hamp1	NM_032541	0.0315	5.0473	0.685	1.1194	Yes	No	No
1443828_x_at	HERPUD family member 2	Herpud2	NM_020586	0.0275	-1.6906	0.1892	-1.1522	Yes	No	No
1451162_at	heat shock factor binding protein 1	Hsbp1	NM_024219	0.0361	1.5834	0.0921	1.2527	Yes	No	No
1455078_at	Heat shock protein 90kDa alpha (cytosolic), class A member 1	Hsp90aa1	NM_010480	0.0293	1.5637	0.3157	1.0888	Yes	No	No
1423120_at	insulin degrading enzyme	Ide	NM_031156	0.0002	1.6777	0.003	1.1227	Yes	No	No
1422476_at	interferon gamma inducible protein 30	Ifi30	NM_023065	0.0016	1.5438	0.0015	1.4447	Yes	No	No
1418293_at	interferon-induced protein with tetratricopeptide repeats 2	Ifit2	NM_008332	0.022	2.968	0.0651	1.6462	Yes	No	No
1423028_at	interferon alpha family, gene 2	Ifna2	NM_010503	0.0395	-1.8687	0.6955	-1.0484	Yes	No	No
1417141_at	interferon gamma induced GTPase	Igtp	NM_018738	0.0137	1.7758	0.0479	1.2777	Yes	No	No
1454690_at	inhibitor of kappaB kinase gamma	Ikbkg	NM_010547	0.0171	1.7255	0.015	1.6097	No	No	Yes
1425625_at	interleukin 13 receptor, alpha 1	Il13ra1	NM_133990	0.0322	-1.615	0.0877	-1.2533	Yes	No	No
1416296_at	interleukin 2 receptor, gamma chain	Il2rg	NM_013563	0.0329	2.0364	0.029	1.858	No	No	Yes
1452416_at	interleukin 6 receptor, alpha	Il6ra	NM_010559	0.0354	-1.3808	0.0103	-1.6446	No	Yes	No
1417379_at	IQ motif containing GTPase activating protein 1	Iqgap1	NM_016721	0.0056	2.1585	0.0733	1.1781	Yes	No	No
1417380_at	IQ motif containing GTPase activating protein 1	Iqgap1	NM_016721	0.016	2.514	0.038	1.6183	No	No	Yes
1434998_at	IQ motif containing GTPase activating protein 1	Iqgap1	NM_016721	0.0196	2.752	0.124	1.3523	Yes	No	No
1433634_at	interferon regulatory factor 2 binding protein 2 /// similar to interferon regul	Irf2bp2	XM_001002526	0.0046	2.3867	0.7395	-1.0186	Yes	No	No
1433632_at	interferon regulatory factor 2 binding protein 2 /// similar to interferon regul	Irf2bp2	XM_001002526	0.0272	1.7453	0.1066	-1.2395	Yes	No	No
1452338_s_at	intersectin 1 (SH3 domain protein 1A)	Itsn1	NM_010587	0.0455	1.7771	0.8482	-1.0227	Yes	No	No
1450738_at	kinesin family member 21A	Kif21a	NM_016705	0.0062	1.6541	0.4448	1.0312	Yes	No	No
1418427_at	kinesin family member 5B	Kif5b	NM_008448	0.0392	1.7845	0.6049	-1.0604	Yes	No	No
1421372_at	kallikrein 1-related pepidase b4	Klk1b4	NM_010915	0.3816	-1.1301	0.045	1.5057	No	Yes	No
1427073_at	lactation elevated 1	Lace1	NM_145743	0.0062	1.5422	0.0247	1.191	Yes	No	No
1418449_at	ladinin	Lad1	NM_133664	0.0099	3.4366	0.0559	1.5055	Yes	No	No
1423885_at	laminin, gamma 1	Lamc1	NM_010683	0.0373	1.7189	0.1345	1.2395	Yes	No	No
1447742_at	lysosomal-associated protein transmembrane 5	Laptm5	NM_010686	0.0072	-1.7339	0.7264	1.0157	Yes	No	No
1436905_x_at	lysosomal-associated protein transmembrane 5	Laptm5	NM_010686	0.0213	1.9239	0.0356	1.5027	No	No	Yes
1448160_at	lymphocyte cytosolic protein 1	Lcp1	NM_008879	0.019	2.0634	0.0703	1.3421	Yes	No	No
1415983_at	lymphocyte cytosolic protein 1	Lcp1	NM_008879	0.0191	2.3875	0.19	1.2155	Yes	No	No
1426808_at	lectin, galactose binding, soluble 3	Lgals3	NM_010705	0.0015	2.1735	0.007	1.3448	Yes	No	No
1448380_at	lectin, galactoside-binding, soluble, 3 binding protein	Lgals3bp	NM_011150	0.0233	1.7267	0.0251	1.5388	No	No	Yes
1425186_at	LMBR1 domain containing 1	Lmbrd1	NM_026719	0.0225	1.561	0.1398	1.1413	Yes	No	No
1455018_at	lemur tyrosine kinase 2	Lmtk2	XM_001001626	0.0102	1.59	0.9698	-1.0017	Yes	No	No
1427553_at	hypothetical protein LOC628926	LOC628926	---	0.0162	-1.5152	0.081	-1.1551	Yes	No	No
1433811_at	similar to myeloid/lymphoid or mixed lineage-leukemia translocation to 6 homolog	LOC639490	XM_915937	0.0128	1.6369	0.0392	1.2524	Yes	No	No
1426516_a_at	lipin 1	Lpin1	NM_015763	0.0381	1.554	0.1203	1.2085	Yes	No	No
1452837_at	lipin 2	Lpin2	NM_022882	0.0368	1.7213	0.11	1.2736	Yes	No	No
1434330_at	leucine rich repeat containing 35	Lrrc35	NM_173038	0.0171	2.0569	0.1519	1.1939	Yes	No	No
1451985_at	leucine-rich repeat kinase 1	Lrrk1	NM_146191	0.0029	2.3555	0.0072	1.549	No	No	Yes
1436165_at	LUC7-like 2 (S. cerevisiae)	Luc7l2	NM_138680	0.0371	2.3867	0.9618	1.0076	Yes	No	No
1422903_at	lymphocyte antigen 86	Ly86	NM_010745	0.0096	2.805	0.0309	1.5874	No	No	Yes
1423547_at	lysozyme	Lyzs	NM_017372	0.021	3.2188	0.0438	1.9115	No	No	Yes
1434054_at	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)	Mafg	NM_010756	0.0292	1.5503	0.9385	-1.0055	Yes	No	No
