Genesymbol	UniGenea	GenBankb	Gene description	Clusterc	ZR-75·1	MCF-7	Functione
ESTs AI807483	Hs.112222	Hs.365365	ESTs AI807483	3			Unnamed
TNFRSF12A f	Hs.10086	Hs.355899	Tumor necrosis factor receptor superfamily, member 12A	3	SAGE		Cell communication, adhesion or motility
ESTs AL050331	Hs.237225	Hs.381074	Homo sapiens, clone MGC:24302 IMAGE:3996246, mRNA, complete cds	3			Unnamed
ANXA9	Hs.279928	AW016464	Annexin A9	3			Cell communication, adhesion or motility
APOD	Hs.75736	J02611	Apolipoprotein D	3		A	Transporters
CPT2	Hs.274336	U09648	Carnitine palmitoyltransferase II	3	SAGE	A	Lipid metabolism
HSU15552	Hs.85769	U15552	Acidic 82 kDa protein mRNA	3		A	Unknown
G1P3	Hs.265827	U22970	Interferon, alpha-inducible protein (clone IFI-6-16)	3			Unknown
IL1RL2	Hs.102865	U49065	Interleukin 1 receptor-like	3			Signal transduction
TCF7	Hs.169294	X59871	Transcription factor 7 (T-cell specific, HMG-box)	3			Transcription
FLJ11796	Hs.284186	AA977661	Homo sapiens cDNA FLJ11796 fis, clone HEMBA1006158, highly similar to Homo sapiens transcription factor forkhead-like 7 (FKHL7) gene	4		A	Unnamed
SSI-3	Hs.345728	AB006967	STAT induced STAT inhibitor 3	4		C	Transcription
STC2	Hs.155223	AB012664	Stanniocalcin 2	4		SAGE, A, D, E	Hormones
HIP12	Hs.96731	AB014555	Huntingtin interacting protein 12	4			Unknown
MYH11	Hs.78344	AF001548	Myosin, heavy polypeptide 11, smooth muscle	4	SAGE		Cell communication, adhesion or motility
TIEG	Hs.82173	AF050110	TGFB inducible early growth response	4	PCR		Transcription
IER3	Hs.76095	AI185199	Immediate early response 3	4			Cell death
FLJ14299	Hs.288042	AI348071	Hypothetical protein FLJ14299	4	PCR		Unnamed
JUN	Hs.78465	AI598150	V-jun sarcoma virus 17 oncogene homolog (avian)	4		SAGE, A	Transcription
MYC	Hs.79070	K02276	V-myc myelocytomatosis viral oncogene homolog (avian)	4		A,B,C,	Transcription
CYP1A1	Hs.72912	K03191	Cytochrome P450, subfamily I (aromatic compound-inducible), polypeptide 1	4			Xenobiotic metabolism
EGR1	Hs.326035	M80583	Early growth response 1	4		A, F	Transcription
TXNIP	Hs.179526	S73591	Thioredoxin interacting protein; upregulated by 1,25-dihydroxyvitamin D3	4		C	Unknown
SLC16A6	Hs.114924	U79745	Solute carrier family 16 (monocarboxylic acid transporters), member 6	4			Transporters
FOS	Hs.25647	V01512	V-fos FBJ murine osteosarcoma viral oncogene homolog	4		A	Transcription
FLJ21425	Hs.302738	AA194161	Homo sapiens cDNA: FLJ21425 fis, clone COL04162	5	PCR	A	Unnamed
AKAP1	Hs.78921	AA868550	A kinase (PRKA) anchor protein 1	5		SAGE, A, B, F	Signal transduction
HSPA5	Hs.75410	AI878886	Heat shock 70 kDa protein 5 (glucose-regulated protein, 78 kDa)	5			Protein folding
HSPA8	Hs.180414	AL044172	Heat shock 70 kDa protein 8	5		SAGE, A	Protein folding
SDF1	Hs.237356	L36033	Stromal cell-derived factor 1	5		A,B,C, F	Signal transduction
SFRS7	Hs.184167	L41887	Homo sapiens splicing factor, arginine/serine-rich 7 (SFRS7) gene, complete cds	5		F	RNA splicing
RET	Hs.350321	M31213	Ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)	5		A, C	Signal transduction
HSP70-1	Hs.75452	M59828	Human MHC class III HSP70-1 gene (HLA), complete cds	5			Protein folding
IGFBP4	Hs.1516	M62403	Insulin-like growth factor binding protein 4	5	SAGE	D, E	Signal transduction
EIF3S9	Hs.57783	U78525	Eukaryotic translation initiation factor 3, subunit 9 (eta, 116 kDa)	5		C, D	Protein biosynthesis
ACTG1	Hs.14376	X04098	Actin, gamma 1	5		C	Cell communication, adhesion or motility
ACTN1	Hs.119000	X15804	Actinin, alpha 1	5			Cell communication, adhesion or motility
CD44	Hs.169610	X55150	CD44 antigen (homing function and Indian blood group system)	5	PCR	A	Cell communication, adhesion or motility
CCND1	Hs.82932	X59798	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	5	RNase	SAGE, A, B, C, F	Cell cycle
NOLC1	Hs.75337	Z34289	Nucleolar and coiled-body phosphoprotein 1	5			Unknown
MST4	Hs.23643	AA191319	Mst3 and SOK1-related kinase	6		A, F	Other enzymes
COPS3	Hs.6076	AA287305	COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)	6			Signal transduction
VRK1	Hs.422789	AA312869	Vaccinia related kinase 1	6		C	Protein kinase
HAT1	Hs.13340	AF030424	Histone acetyltransferase 1	6	PCR	SAGE	Transcription
XPOT	Hs.85951	AF039022	Exportin, tRNA (nuclear export receptor for tRNAs)	6		SAGE, D	Transporters
GFRA1	Hs.105445	AF058999	GDNF family receptor alpha 1	6		A, C	Signal transduction
EXO1	Hs.47504	AF091754	Exonuclease 1	6			DNA replication and repair
FHX	Hs.120844	AF155132	FOXJ2 forkhead factor	6			Transcription
TULP1	Hs.93537	AI380477	Tubby like protein 1	6			Transcription
AGR2	Hs.413945	AI800451	Anterior gradient 2 homolog (Xenopus laevis)	6		A	Unknown
MY038	Hs.374853	AI972375	Hypothetical brain protein my038	6			Unnamed
HNRPA2B1	Hs.232400	D28877	Heterogeneous nuclear ribonucleoprotein A2/B1	6			mRNA processing
OLFM1	Hs.74376	D82343	Olfactomedin 1	6		A	Unknown
PGAM1	Hs.181013	J04173	Phosphoglycerate mutase 1 (brain)	6			Glycid metabolism
DNAJA1	Hs.94	L08069	DnaJ (Hsp40) homolog, subfamily A, member 1	6		SAGE, F	Protein folding
HSPA9B	Hs.3069	L15189	Heat shock 70 kDa protein 9B (mortalin-2)	6			Cell death
HSPCB	Hs.74335	M16660	Heat shock 90 kDa protein 1, beta	6		SAGE	Protein folding
HSPD1	Hs.79037	M34664	Heat shock 60 kDa protein 1 (chaperonin)	6		SAGE	Protein folding
NCL	Hs.79110	M60858	Nucleolin	6			Transcription
SNRPF	Hs.105465	T24772	Small nuclear ribonucleoprotein polypeptide F	6		SAGE, A	mRNA processing
EIF5	Hs.433702	U49436	Eukaryotic translation initiation factor 5	6		SAGE, F	Protein biosynthesis
KPNB2	Hs.168075	U72069	Karyopherin (importin) beta 2	6		A	Transporters
PLOD2	Hs.41270	U84573	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	6		A	Other enzymes
TRIP13	Hs.6566	U96131	Thyroid hormone receptor interactor 13	6		A, B, F	Transcription
PRC1	Hs.344037	W02418	Protein regulator of cytokinesis 1	6		A	Cell cycle
HMG2	Hs.80684	X62534	High-mobility group (nonhistone chromosomal) protein 2	6			Transcription
ABCE1	Hs.12013	X76388	ATP-binding cassette, sub-family E (OABP), member 1	6	SAGE		RNAse L inhibitor
CDC2	Hs.334562	Y00272	Cell division cycle 2, G1 to S and G2 to M	6		A	Cell cycle
FLJ20811	Hs.83530	AA015605	FLJ20811 Hypothetical protein	7		A	Unnamed
PSME3	Hs.152978	AA100392	Proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	7		A	Protein degradation
SKB1	Hs.12912	AA152011	SKB1 homolog (S. pombe)	7		SAGE, A	Cell cycle
BLVRB	Hs.76289	AA280097	Biliverdin reductase B (flavin reductase (NADPH))	7		A, C	Xenobiotic metabolism
MEST	Hs.79284	AA305098	Mesoderm specific transcript homolog (mouse)	7		SAGE	Unknown
EIF2S1	Hs.151777	AA306546	Eukaryotic translation initiation factor 2, sub. 1 (alpha, 35kD)	7			Protein biosynthesis
NP	Hs.75514	AA311617	Nucleoside phosphorylase	7			Purine/pyrimidine metabolism
CCT7	Hs.108809	AA314436	Chaperonin containing TCP1, subunit 7 (eta)	7		SAGE	Protein folding
DDX39	Hs.311609	AA315491	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 39	7		SAGE	mRNA processing
RNF3	Hs.8834	AA403225	Ring finger protein 3	7	SAGE		Unknown
RFC5	Hs.171075	AA460085	Replication factor C (activator 1) 5 (36.5kD)	7		SAGE, F	DNA replication and repair
UMPK	Hs.95734	AA468735	Uridine monophosphate kinase	7			Purine/pyrimidine metabolism
PWP2H	Hs.79380	AB001517	PWP2 periodic tryptophan protein Homolog (yeast)	7		SAGE	Unknown
ADCY3	Hs.8402	AB011083	Adenylate cyclase 3	7		SAGE	Signal transduction
FBP17	Hs.301763	AB011126	Formin-binding protein 17	7			Unnamed
STK12	Hs.180655	AB011450	Serine/threonine kinase 12	7		B, F	Cell cycle
SLC3A2	Hs.79748	AB018010	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	7		SAGE, A, D	Transporters
HNRPR	Hs.15265	AF000364	Heterogeneous nuclear ribonucleoprotein R	7			mRNA processing
EIF1AY	Hs.155103	AF000987	Eukaryotic translation initiation factor 1A, Y chromosome	7			Protein
STXBP1	Hs.239356	AF004562	Syntaxin binding protein 1	7			Exocytosis
SLC9A3R1	Hs.184276	AF015926	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	7		A, C	Transporters
NRP1	Hs.69285	AF016050	Neuropilin 1	7	PCR		Signal transduction
TCERG1	Hs.13063	AF017789	Transcription elongation regulator 1 (CA150)	7			Transcription
MTM1	Hs.75302	AF020676	Myotubular myopathy 1	7			Signal transduction
SLC22A1LS	Hs.300076	AF035407	Solute carrier family 22 (organic cation transporter), member 1-like antisense	7			Transporters
NSAP1	Hs.373499	AF037448	NS1-associated protein 1	7			mRNA processing
ABCG1	Hs.10237	AF038175	ATP-binding cassette, sub-family G (WHITE), member 1	7	SAGE		Transporters
ITGB4BP	Hs.406444	AF047433	Integrin beta 4 binding protein	7		C	Cell communication, adhesion or motility
BUB1B	Hs.36708	AF053306	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	7	SAGE		Cell cycle
MGC19606	Hs.91579	AF054996	MGC19606 Similar to hypothetical 34.0 kDa protein ZK795.3 in chromosome IV	7		C, D	Unnamed
LOC51257	Hs.132744	AF070529	Hypothetical protein LOC51257	7			Unnamed
SQLE	Hs.71465	AF098865	Squalene epoxidase	7	SAGE	A	Sterol metabolism
PA2G4	Hs.343258	AF104670	Proliferation-associated 2G4, 38kDa	7		SAGE, C	Cell cycle
SNRPA	Hs.173255	AI125327	Small nuclear ribonucleoprotein polypeptide A	7		F	mRNA processing
RANBP1	Hs.24763	AI160997	RAN binding protein 1	7		A, F	Cell cycle
ALY	Hs.241520	AI357591	Transcriptional coactivator	7	SAGE	C	Transcription
VGF	Hs.171014	AI520764	VGF nerve growth factor inducible	7		C	Signal transduction
E2-EPF	Hs.174070	AI571293	Ubiquitin carrier protein	7			Protein degradation
SLC39A4	Hs.352415	AI634653	Solute carrier family 39 (zinc transporter), member 4	7		C	Transporters
GTF3A	Hs.75113	AI686944	General transcription factor IIIA	7		F	Transcription
ZWINT	Hs.42650	AI739390	ZW10 interactor	7		A	Unknown
GSTTLp28	Hs.11465	AI752707	Glutathione-S-transferase like; glutathione transferase omega	7		A	Cell death
MCM2	Hs.57101	AI814040	Minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	7		F	DNA replication and repair
RERG	Hs.21594	AI971219	RAS-like, estrogen-regulated, growth-inhibitor	7		A	Signal transduction
TPBG	Hs.82128	AJ012159	Trophoblast glycoprotein	7			Cell communication, adhesion or motility
NXF1	Hs.323502	AJ132712	Nuclear RNA export factor 1	7			Transporters
RNP24	Hs.75914	AL036166	Coated vesicle membrane protein	7	SAGE		Intracellular protein traffic
HSPC242	Hs.25199	AW006373	Hypothetical protein HSPC242	7	SAGE	C	Unnamed
NSEP1 f	Hs.74497	BF512252	Nuclease sensitive element binding protein 1	7		F	Transcription
PTDSS1	Hs.77329	D14694	Phosphatidylserine synthase 1	7			Lipid metabolism
PFKP	Hs.99910	D25328	Phosphofructokinase, platelet	7		A, F	Glycid metabolism
KIAA0007	Hs.90315	D26488	KIAA0007 protein	7			Unnamed
KIAA0095	Hs.155314	D42085	KIAA0095 gene product	7		A, E	Unnamed
MCM7	Hs.77152	D55716	Minichromosome maintenance deficient 7 (S. cerevisiae)	7		A, B, F	DNA replication and repair
YWHAH	Hs.349530	D78577	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	7	SAGE	A, C	Signal transduction
OAZIN	Hs.223014	D88674	Ornithine decarboxylase antizyme inhibitor	7		SAGE	ornithine decarboxylase inhibitor
PMAIP1	Hs.96	D90070	Phorbol-12-myristate-13-acetate-induced protein 1	7		A, D	Unknown
UMPS	Hs.2057	J03626	Uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5?-decarboxylase)	7			Purine/pyrimidine metabolism
MTHFD1	Hs.172665	J04031	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	7		A	Folate metabolism
C1QBP	Hs.78614	L04636	Complement component 1, q subcomponent binding protein	7	SAGE		Unknown
GNL1	Hs.83147	L25665	Guanine nucleotide binding protein-like 1	7			Signal transduction
F12	Hs.1321	M11723	Coagulation factor XII (Hageman factor)	7	SAGE		Other enzymes
G6PD	Hs.80206	M12996	Glucose-6-phosphate dehydrogenase	7		SAGE	Glycid metabolism
PGC	Hs.1867	M18667	Progastricsin (pepsinogen C)	7			Other enzymes
AMD1	Hs.262476	M21154	S-adenosylmethionine decarboxylase 1	7		A, F	Other enzymes
GOT2	Hs.170197	M22632	Glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	7			Other enzymes
AREG	Hs.270833	M30704	Amphiregulin (schwannoma-derived growth factor)	7			Signal transduction
HLX1	Hs.74870	M60721	H2.0-like homeo box 1 (Drosophila)	7			Transcription
TUBG1	Hs.21635	M61764	Tubulin, gamma 1	7	SAGE	A, B, F	Cell communication, adhesion or motility
CTSD	Hs.343475	M63138	Cathepsin D (lysosomal aspartyl protease)	7	SAGE	A,B,C, D, F	Other enzymes
SFRS1	Hs.352256	M72709	Splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	7		SAGE, A, F	RNA splicing
LTF	Hs.105938	M73700	Lactotransferrin	7			Transporters
SLC7A5	Hs.184601	M80244	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	7	SAGE	SAGE, A, C, D	Transporters
CSTF2	Hs.693	M85085	Cleavage stimulation factor, 3?pre-RNA, subunit 2, 64 kDa	7			mRNA processing
STIP1	Hs.355930	M86752	Stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)	7			Protein folding
FKBP4	Hs.848	M88279	FK506 binding protein 4 (59 kDa)	7	SAGE	SAGE, A, C	Protein folding
MVK	Hs.130607	M88468	Mevalonate kinase (mevalonic aciduria)	7			Sterol metabolism
VARS2	Hs.159637	M98326	Valyl-tRNA synthetase 2	7		C	Protein biosynthesis
HAX1	Hs.15318	N28312	HS1 binding protein	7		D	Cell death
SERPINB6	Hs.41072	S69272	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	7		A	Protease inhibitors
CDC20	Hs.82906	U05340	CDC20 cell division cycle 20 homolog (S. cerevisiae)	7		B, F	Cell cycle
TMPO	Hs.406660	U09086	Thymopoietin	7		A	Unknown
ATP5G3	Hs.429	U09813	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	7	SAGE	A	Electron transport and oxidative phosphorylation
TRAP1	Hs.376253	U12595	Heat shock protein 75	7		C, F	Signal transduction
FOXF1	Hs.155591	U13219	Forkhead box F1	7			Transcription
CENPA	Hs.1594	U14518	Centromere protein A (17kD)	7	SAGE		Cell cycle
MYB	Hs.1334	U22376	V-myb myeloblastosis viral oncogene Homolog (avian)	7	PCR	B, F	Transcription
SHMT2	Hs.75069	U23143	Serine hydroxymethyltransferase 2 (mitochondrial)	7		D	Other enzymes
SERPINA5	Hs.76353	U35464	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	7		A	Protease inhibitors
HCCS	Hs.211571	U36787	Holocytochrome c synthase (cytochrome c heme-lyase)	7			Electron transport and oxidative phosphorylation
TPD52L1	Hs.16611	U44427	Tumor protein D52-like 1	7	PCR	SAGE, A, C, D	Expressed in breast cancer
HSU53209	Hs.130829	U53209	Transformer-2 alpha (htra-2 alpha)	7			RNA splicing
DKC1	Hs.4747	U59151	Dyskeratosis congenita 1, dyskerin	7		SAGE	Ribosome biogenesis
SFRS10	Hs.30035	U61267	Splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	7		SAGE, A, F	RNA splicing
ORP150	Hs.277704	U65785	Oxygen regulated protein (150 kDa)	7		A	Protein folding
FKBP5	Hs.7557	U71321	FK506 binding protein 5	7		A, F	Protein folding
YARS	Hs.239307	U89436	Tyrosyl-tRNA synthetase	7		A, D	Protein biosynthesis
LDHA	Hs.2795	X02152	Lactate dehydrogenase A	7		SAGE, B, F	Glycid metabolism
NRAS	Hs.260523	X02751	Neuroblastoma RAS viral (v-ras) oncogene homolog	7			Signal transduction
TFF1	Hs.350470	X05030	Trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	7		SAGE, C, D, E	Expressed in breast cancer
MRPL3	Hs.79086	X06323	Mitochondrial ribosomal protein L3	7			Ribosome biogenesis
TUBA1	Hs.75318	X06956	Tubulin, alpha 1 (testis specific)	7	SAGE	A	Cell communication, adhesion or motility
MYBL2	Hs.179718	X13293	V-myb myeloblastosis viral oncogene homolog (avian)-like 2	7		A, B, F	Transcription
GLA	Hs.69089	X14448	Galactosidase, alpha	7	SAGE	A	Other enzymes
MTHFD2	Hs.154672	X16396	Methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	7		A, D	Folate metabolism
HSPA6	Hs.3268	X51757	Heat shock 70 kDa protein 6 (HSP70B?)	7			Protein folding
RRM1	Hs.2934	X59543	Ribonucleotide reductase M1 polypeptide	7		A	Purine/pyrimidine metabolism
WARS	Hs.82030	X62570	Tryptophanyl-tRNA synthetase	7	SAGE	D	Protein biosynthesis
EGR3	Hs.74088	X63741	Early growth response 3	7		A, C	Transcription
PMSCL2	Hs.75584	X66113	Polymyositis/scleroderma autoantigen 2 (100 kDa)	7			Protein kinase
TPI1	Hs.83848	X69723	Triosephosphate isomerase 1	7	SAGE		Glycid metabolism
FEN1	Hs.4756	X76771	Flap structure-specific endonuclease 1	7		SAGE, A, B, F	DNA replication and repair
TSN	Hs.75066	X78627	Translin	7			DNA replication and repair
TUBB	Hs.336780	X79535	Tubulin, beta polypeptide	7		B	Cell communication, adhesion or motility
FXYD2	Hs.19520	X86400	FXYD domain-containing ion transport regulator 2	7			Transporters
PCK2	Hs.75812	X92720	Phosphoenolpyruvate carboxykinase 2 (mitochondrial)	7		C, D	Glycid metabolism
MARS	Hs.279946	X94754	Methionine-tRNA synthetase	7			Protein biosynthesis
SEC23B	Hs.173497	X97065	Sec23 homolog B (S. cerevisiae)	7			Transporters
NUP88	Hs.172108	Y08612	Nucleoporin 88kDa	7			mRNA processing
UNG	Hs.78853	Y09008	Uracil-DNA glycosylase	7		B, C, F	DNA replication and repair
COX5A	Hs.296585	Y12065	Cytochrome c oxidase subunit Va	7	SAGE		Ribosome biogenesis
LGALS1	Hs.382367	AA035793	Lectin, galactoside-binding, soluble, 1 (galectin 1)	8		C	Cell communication, adhesion or motility
ARL3	Hs.182215	AA046366	ADP-ribosylation factor-like 3	8	SAGE	B, G	Signal transduction
NPM1	Hs.355719	AA173870	Nucleophosmin (nucleolar phosphoprotein B23, numatrin)	8	SAGE	SAGE	Ribosome biogenesis
PPIA	Hs.401787	AA304657	Peptidylprolyl isomerase A (cyclophilin A)	8			Protein folding
SNRPB	Hs.83753	AA313910	Small nuclear ribonucleoprotein polypeptides B and B1	8	SAGE	B, C, F	mRNA processing
SLC25A5	Hs.79172	AA314562	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	8			Transporters
ITGAE	Hs.851	AA425588	Integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	8		F	Cell communication, adhesion or motility
PTTG1	Hs.252587	AA430241	Pituitary tumor-transforming 1	8	SAGE	SAGE, A, D	Signal transduction
PDCD5	Hs.166468	AA452724	Programmed cell death 5	8		SAGE	Cell death
RPA3	Hs.1608	AA461254	Replication protein A3 (14 kDa)	8		A	DNA replication and repair
ESTs AA528121	Hs.121557	AA528121	ESTs, Weakly similar to DP1_HUMAN POLYPOSIS LOCUS PROTEIN 1 (H. sapiens)	8			Unnamed
RPS3	Hs.414990	AA593872	Ribosomal protein S3	8			Ribosome biogenesis
HMGCR	Hs.11899	AA602498	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	8			Sterol metabolism
LOC51321	Hs.268122	AA885882	Hypothetical protein LOC51321	8			Unnamed
FLJ32241	Hs.352359	AA948729	Homo sapiens cDNA FLJ32241 fis, clone PLACE6005231	8		SAGE, A	DNA replication and repair
ESTs AA975298	Hs.32058	AA975298	C1orf19 Chromosome 1 open reading frame 19	8		SAGE, A	Unnamed
KNSL4	Hs.119324	AB017430	Kinesin-like 4	8			Cell cycle
PSMD11	Hs.90744	AF001212	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	8		A	Protein degradation
STK15	Hs.250822	AF011468	Serine/threonine kinase 15	8	SAGE	A, B, F	Cell cycle
ICAP-1A	Hs.173274	AF012023	Integrin cytoplasmic domain-associated protein 1	8			Cell communication, adhesion or motility
cig5	Hs.17518	AF026941	Vipirin; similar to inflammatory response protein 6	8			Unknown
RAD51C	Hs.11393	AF029669	RAD51 homolog C (S. cerevisiae)	8		F	DNA replication and repair
RAN	Hs.10842	AF054183	RAN, member RAS oncogene family	8		SAGE	Cell cyle
BCRP1	Hs.433759	AF068235	Breakpoint cluster region protein, uterine leiomyoma, 1; barrier to autointegration factor	8	PCR	SAGE	Cell cycle
H2AV	Hs.301005	AF081192	Histone H2A.F/Z variant	8		A	Cell cycle
