Probe set	UG	Symbol	Title	Fold Increase	P-value	Adj. P-value
103080_at	Mm.248478	Samhd1	SAM domain and HD domain, 1	12.18	0.0147	0.121
97241_at	Mm.27839	D19Ertd721e	DNA segment, Chr 19, ERATO Doi 721, expressed	12.08	0.0039	0.057
100548_at	Mm.544	Pea15	Phosphoprotein enriched in astrocytes 15	12.05	0.0132	0.106
100990_g_at	Mm.273333	Itgb1bp1	Integrin beta 1 binding protein 1	12.02	0.0064	0.072
94453_at	Mm.259614	1810046J19Rik	RIKEN cDNA 1810046J19 gene	11.94	0.0121	0.094
92780_f_at	Unknown	Unknown	Unknown	11.93	0.0066	0.074
94850_at	Mm.268710	MGI:1928939	Acyl-Coenzyme A thioesterase 2, mitochondrial	11.90	0.0190	0.091
92472_f_at	Mm.278689	Slfn2	Schlafen 2	11.89	<0.0001	0.000
99356_r_at	Mm.173286	Tnpo1	Transportin 1	11.82	0.0159	0.125
102940_at	Mm.1715	Ltb	Lymphotoxin B	11.58	<0.0001	0.004
99458_i_at	Mm.258986	Mark2	MAP/microtubule affinity-regulating kinase 2	11.35	0.0003	0.010
160944_at	Mm.350037	Pkp3	Plakophilin 3	11.35	<0.0001	0.000
97864_at	Mm.28327	2510049I19Rik	RIKEN cDNA 2510049I19 gene	11.33	0.0010	0.026
103198_at	Mm.154486	6330512M04Rik	RIKEN cDNA 6330512M04 gene	11.25	<0.0001	0.001
101465_at	Mm.277406	Stat1	Signal transducer and activator of transcription 1	10.98	0.0127	0.080
104396_at	Mm.286149	D6Ertd365e	DNA segment, Chr 6, ERATO Doi 365, expressed	10.97	0.0018	0.035
102263_at	Mm.10815	Zfp143	Zinc finger protein 143	10.88	0.0067	0.051
102254_f_at	Unknown	Unknown	Unknown	10.64	<0.0001	0.000
102924_at	Mm.1645	Dtx1	Deltex 1 homolog (Drosophila)	10.49	<0.0001	0.000
104099_at	Mm.21855	Pglyrp1	Peptidoglycan recognition protein 1	10.46	0.0047	0.051
101507_at	Mm.182944	Scnm1	Sodium channel modifier 1	10.08	0.0156	0.096
100013_at	Mm.45558	Ifi35	Interferon-induced protein 35	10.08	0.0073	0.071
102815_at	Mm.294083	Anxa11	Annexin A11	10.00	0.0010	0.004
102264_at	Mm.10948	Slfn1	Schlafen 1	9.85	<0.0001	0.004
161765_f_at	Mm.18635	Rgs10	Regulator of G-protein signalling 10	9.79	0.0071	0.081
104058_at	Mm.271817	1110018J12Rik	RIKEN cDNA 1110018J12 gene	9.63	0.0067	0.052
104578_f_at	Mm.253564	Actn1	Actinin, alpha 1	9.48	0.0145	0.102
104430_at	Mm.29204	Cd96	CD96 antigen	9.43	0.0044	0.055
97113_at	Mm.3355	Tnfsf6	Tumor necrosis factor (ligand) superfamily, member 6	9.40	0.0048	0.065
103028_at	Mm.339927	Itk	IL2-inducible T-cell kinase	9.38	<0.0001	0.000
102414_i_at	Mm.12616	Dnajc3	DnaJ (Hsp40) homolog, subfamily C, member 3	9.28	0.0041	0.058
97108_at	Mm.215818	Recql5	RecQ protein-like 5	9.23	0.0178	0.131
95447_at	Mm.24601	1810034K20Rik	RIKEN cDNA 1810034K20 gene	9.22	0.0132	0.026
102838_at	Mm.1461	Sell	Selectin, lymphocyte	9.17	0.0168	0.110
161265_f_at	Mm.293753	Lck	Lymphocyte protein tyrosine kinase	9.12	<0.0001	0.001
95363_at	Mm.21981	Gzmm	Granzyme M (lymphocyte met-ase 1)	9.07	<0.0001	0.002
95358_at	Mm.313977	Pip5k2a	Phosphatidylinositol-4-phosphate 5-kinase, type II, alpha	9.04	<0.0001	0.000
96553_at	Mm.207528	Gpr65	G-protein coupled receptor 65	9.01	0.0231	0.131
100906_at	Mm.58	Itgb7	Integrin beta 7	8.81	0.0001	0.005
96115_at	Mm.280075	Dp1	Deleted in polyposis 1	8.79	0.0005	0.017
104671_at	Unknown	Unknown	Unknown	8.76	0.0002	0.008
93583_s_at	Mm.342177	Igh-6	Immunoglobulin heavy chain 6 (heavy chain of IgM)	8.63	<0.0001	0.000
97797_at	Mm.285783	2210409M21Rik	RIKEN cDNA 2210409M21 gene	8.48	0.0291	0.134
104457_at	Unknown	Unknown	Unknown	8.43	0.0209	0.145
103089_at	Mm.1738	Cd48	CD48 antigen	8.37	0.0001	0.007
160741_at	Mm.27407	Recql	RecQ protein-like	8.29	0.0004	0.015
160836_at	Mm.33903	Sema4d	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	8.27	0.0006	0.020
161853_f_at	Mm.329993	Prkcq	Protein kinase C, theta	8.27	0.0099	0.092
103574_at	Mm.217161	Ablim1	Actin-binding LIM protein 1	8.19	0.0098	0.098
94972_at	Mm.259667	Rbms1	RNA binding motif, single stranded interacting protein 1	8.19	0.0002	0.011
94173_at	Mm.12876	Cxcr3	Chemokine (C-X-C motif) receptor 3	8.12	<0.0001	0.000
100902_at	Mm.5727	2610019F03Rik	RIKEN cDNA 2610019F03 gene	8.11	<0.0001	0.001
93582_at	Mm.20634	Coq7	Demethyl-Q 7	8.09	0.0069	0.063
103311_at	Mm.21199	Osbpl5	Oxysterol binding protein-like 5	8.08	0.0044	0.044
95541_at	Mm.258484	D6Wsu176e	DNA segment, Chr 6, Wayne State University 176, expressed	7.99	0.0012	0.022
103595_at	Mm.19974	Zfp524	Zinc finger protein 524	7.94	0.0002	0.004
94958_at	Mm.274708	1110013L07Rik	RIKEN cDNA 1110013L07 gene	7.93	0.0317	0.150
102962_at	Mm.18	38596	Septin 1	7.93	<0.0001	0.000
99057_at	Mm.3951	Thy1	Thymus cell antigen 1, theta	7.92	0.0170	0.102
100057_at	Mm.4467	Nsmce1	Non-SMC element 1 homolog (S. cerevisiae)	7.92	0.0079	0.055
100958_at	Mm.149776	Spata13	Spermatogenesis associated 13	7.90	0.0106	0.057
97274_at	Mm.218198	Psmd14	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	7.90	0.0355	0.176
104353_at	Unknown	Unknown	Unknown	7.89	0.0047	0.064
102415_r_at	Mm.12616	Dnajc3	DnaJ (Hsp40) homolog, subfamily C, member 3	7.81	0.0046	0.063
102237_at	Mm.255003	Cd28	CD28 antigen	7.75	<0.0001	0.004
160394_at	Mm.132006	Ttc15	Tetratricopeptide repeat domain 15	7.71	0.0426	0.212
93931_at	Mm.240313	Prf1	Perforin 1 (pore forming protein)	7.66	<0.0001	0.000
99398_at	Unknown	Unknown	Unknown	7.64	0.0170	0.130
97863_at	Mm.28326	D8Ertd354e	DNA segment, Chr 8, ERATO Doi 354, expressed	7.63	0.0044	0.052
92204_at	Mm.290897	Cd6	CD6 antigen	7.58	<0.0001	0.000
160652_at	Mm.2065	Ctps2	Cytidine 5-triphosphate synthase 2	7.53	0.0355	0.189
97265_at	Mm.27900	1810013D10Rik	RIKEN cDNA 1810013D10 gene	7.50	0.0002	0.010
160983_at	Mm.229265	1810044D09Rik	RIKEN cDNA 1810044D09 gene	7.49	0.0131	0.085
99086_g_at	Mm.38976	Usp3	Ubiquitin specific protease 3	7.41	0.0324	0.176
100489_at	Mm.296814	Pde7a	Phosphodiesterase 7A	7.30	0.0327	0.182
96059_at	Mm.227275	Mrpl48	Mitochondrial ribosomal protein L48	7.18	0.0183	0.131
99327_at	Mm.226595	Prss19	Protease, serine, 19 (neuropsin)	7.16	0.0130	0.106
104270_at	Mm.254144	Adrbk1	Adrenergic receptor kinase, beta 1	7.05	0.0084	0.089
103282_at	Unknown	Rasgrp2	RAS, guanyl releasing protein 2	6.93	0.0005	0.015
101558_s_at	Mm.8911	Psmb5	Proteasome (prosome, macropain) subunit, beta type 5	6.89	0.0002	0.012
101279_f_at	Unknown	LOC243784	Similar to T cell receptor beta-chain	6.85	0.0027	0.047
104477_at	Mm.29940	Unknown	Transcribed locus	6.85	0.0410	0.164
96098_at	Mm.26775	Mrpl36	Mitochondrial ribosomal protein L36	6.84	0.0028	0.039
100674_f_at	Mm.14112	Klra6	Killer cell lectin-like receptor, subfamily A, member 6	6.83	<0.0001	0.000
99451_at	Mm.4065	C230093N12Rik	RIKEN cDNA C230093N12 gene	6.81	<0.0001	0.001
103526_at	Mm.2296	Padi2	Peptidyl arginine deiminase, type II	6.78	0.0003	0.010
102944_at	Mm.39631	MGI:1351465	Ras-GTPase-activating protein SH3-domain binding protein	6.75	0.0157	0.125
95706_at	Mm.248615	Lgals3	Lectin, galactose binding, soluble 3	6.74	<0.0001	0.003
104699_at	Mm.194127	Pik3c3	Phosphoinositide-3-kinase, class 3	6.74	0.0066	0.078
96284_at	Mm.29873	Csnk1g2	Casein kinase 1, gamma 2	6.73	0.0307	0.154
98493_at	Mm.284491	3200002M19Rik	RIKEN cDNA 3200002M19 gene	6.72	0.0245	0.114
93786_i_at	Mm.354171	Mrpl18	Mitochondrial ribosomal protein L18	6.68	0.0403	0.205
97911_at	Mm.206901	0910001L09Rik	RIKEN cDNA 0910001L09 gene	6.61	0.0298	0.076
92779_f_at	Unknown	Unknown	Unknown	6.57	0.0201	0.126
160667_at	Mm.238841	Evl	Ena-vasodilator stimulated phosphoprotein	6.56	0.0085	0.053
103710_at	Mm.311219	3110048L19Rik	RIKEN cDNA 3110048L19 gene	6.53	0.0392	0.057
97296_at	Mm.238455	Mrpl44	Mitochondrial ribosomal protein L44	6.53	0.0131	0.087
103671_at	Mm.20801	Htatip2	HIV-1 tat interactive protein 2, homolog (human)	6.50	<0.0001	0.006
92685_at	Mm.4545	Tbxa2r	Thromboxane A2 receptor	6.47	<0.0001	0.001
93780_at	Mm.2125	Them2	Thioesterase superfamily member 2	6.47	0.0191	0.012
161808_f_at	Mm.238841	Evl	Ena-vasodilator stimulated phosphoprotein	6.41	0.0017	0.037
92185_at	Mm.27968	Arl7	ADP-ribosylation factor-like 7	6.41	0.0019	0.014
99988_at	Mm.173826	Dym	Dymeclin	6.33	0.0077	0.028
103231_at	Mm.358763	Rhoh	Ras homolog gene family, member H	6.33	0.0131	0.108
100579_s_at	Mm.298875	Clta	Clathrin, light polypeptide (Lca)	6.32	0.0046	0.063
103835_f_at	Mm.20937	Hpcal1	Hippocalcin-like 1	6.29	<0.0001	0.004
160302_at	Mm.278477	1200003C05Rik	RIKEN cDNA 1200003C05 gene	6.28	0.0019	0.038
97489_at	Mm.222584	Pygb	Brain glycogen phosphorylase	6.28	0.0131	0.091
100527_at	Mm.52	D11Ertd99e	DNA segment, Chr 11, ERATO Doi 99, expressed	6.28	0.0134	0.107
160513_at	Mm.296610	2210016F16Rik	RIKEN cDNA 2210016F16 gene	6.27	0.0075	0.085
99084_s_at	Mm.38976	Usp3	Ubiquitin specific protease 3	6.23	0.0455	0.135
103608_at	Mm.370248	Fars1	Phenylalanine-tRNA synthetase 1 (mitochondrial)	6.19	0.0051	0.063
160285_at	Mm.260627	Dhx40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	6.12	0.0164	0.125
98388_at	Unknown	Unknown	Unknown	6.10	0.0368	0.181
101866_at	Mm.87720	Arfrp1	ADP-ribosylation factor related protein 1	6.08	0.0258	0.161
95046_s_at	Mm.29394	Eif2b4	Eukaryotic translation initiation factor 2B, subunit 4 delta	6.07	0.0011	0.026
99445_at	Mm.148425	1110028E10Rik	RIKEN cDNA 1110028E10 gene	6.03	0.0032	0.042
96222_at	Mm.288151	BC003993	CDNA sequence BC003993	6.00	0.0416	0.197
100059_at	Mm.271671	Cyba	Cytochrome b-245, alpha polypeptide	5.94	0.0012	0.026
102287_at	Mm.217308	Cd3z	CD3 antigen, zeta polypeptide	5.93	<0.0001	0.000
99085_at	Mm.38976	Usp3	Ubiquitin specific protease 3	5.92	0.0423	0.205
94995_at	Mm.294708	A030007L17Rik	RIKEN cDNA A030007L17 gene	5.91	0.0025	0.024
101486_at	Mm.787	Psmb10	Proteasome (prosome, macropain) subunit, beta type 10	5.89	0.0065	0.077
102250_at	Mm.38386	Il27ra	Interleukin 27 receptor, alpha	5.88	0.0224	0.151
104348_at	Mm.249822	Bre	Brain and reproductive organ-expressed protein	5.87	0.0014	0.029
160840_at	Mm.248606	Arhgef3	Rho guanine nucleotide exchange factor (GEF) 3	5.77	0.0103	0.077
100286_at	Mm.8369	Mst1	Macrophage stimulating 1 (hepatocyte growth factor-like)	5.76	0.0209	0.145
95010_at	Mm.27431	Traf3	Tnf receptor-associated factor 3	5.64	0.0266	0.130
92406_at	Mm.4100	Cd7	CD7 antigen	5.63	<0.0001	0.003
95309_at	Mm.254797	Dnahc8	Similar to axonemal dynein heavy chain 8 Dnahc8	5.61	0.0221	0.150
101424_at	Mm.7491	Nmi	N-myc (and STAT) interactor	5.60	0.0042	0.034
100932_at	Mm.6221	Capn1	Calpain 1	5.60	<0.0001	0.004
101587_at	Mm.9075	Ephx1	Epoxide hydrolase 1, microsomal	5.58	0.0001	0.007
103529_at	Mm.2312	2600017J23Rik	RIKEN cDNA 2600017J23 gene	5.56	0.0033	0.052
99154_s_at	Mm.41583	1810020D17Rik	RIKEN cDNA 1810020D17 gene	5.55	0.0020	0.037
93603_at	Mm.20918	Mrpl40	Mitochondrial ribosomal protein L40	5.53	0.0167	0.076
102914_s_at	Mm.244917	Bcl2a1a	B-cell leukemia/lymphoma 2 related protein A1a	5.52	<0.0001	0.005
102353_at	Mm.1137	Itgb2	Integrin beta 2	5.52	0.0054	0.042
92428_at	Mm.41475	Asna1	ArsA (bacterial) arsenite transporter, ATP-binding, homolog 1	5.51	0.0057	0.060
103424_at	Mm.341747	6330442E10Rik	RIKEN cDNA 6330442E10 gene	5.49	0.0001	0.002
92301_at	Mm.271824	Ikbke	Inhibitor of kappaB kinase epsilon	5.48	0.0124	0.085
160617_at	Mm.240473	Klf13	Kruppel-like factor 13	5.43	<0.0001	0.001
97945_at	Mm.213248	Tcra	T-cell receptor alpha chain	5.32	<0.0001	0.001
103567_at	Unknown	2010313D22Rik	RIKEN cDNA 2010313D22 gene	5.29	0.0071	0.000
100894_at	Mm.21724	Orc5l	Origin recognition complex, subunit 5-like (S. cerevisiae)	5.26	0.0005	0.016
95796_g_at	Mm.622	Supt4h1	Suppressor of Ty 4 homolog 1 (S. cerevisiae)	5.22	0.0449	0.209
94909_at	Mm.249809	Mrps17	Mitochondrial ribosomal protein S17	5.19	0.0041	0.020
97857_at	Mm.28300	Zdhhc3	Zinc finger, DHHC domain containing 3	5.18	0.0304	0.156
103366_at	Mm.227198	Arhgap9	Rho GTPase activating protein 9	5.15	0.0045	0.062
101847_at	Mm.290906	Sp100	Nuclear antigen Sp100	5.15	0.0062	0.065
160432_at	Mm.34790	U2af1l4	U2 small nuclear RNA auxiliary factor 1-like 4	5.15	0.0310	0.177
93016_at	Unknown	Unknown	Unknown	5.13	0.0344	0.188
101499_at	Mm.274846	Ilk	Integrin linked kinase	5.09	0.0041	0.060
102895_at	Mm.240329	4933421G18Rik	RIKEN cDNA 4933421G18 gene	5.09	0.0250	0.052
94048_at	Mm.344779	Cdc34	Cell division cycle 34 homolog (S. cerevisiae)	5.08	0.0020	0.039
92561_at	Mm.10211	Entpd5	Ectonucleoside triphosphate diphosphohydrolase 5	5.07	0.0299	0.173
101070_at	Mm.270484	Mkrn1	Makorin, ring finger protein, 1	5.07	0.0099	0.031
92489_at	Mm.252599	Gimap1	GTPase, IMAP family member 1	5.03	<0.0001	0.000
160630_at	Mm.18652	Sms	Spermine synthase	5.02	0.0155	0.073
97341_at	Mm.28850	Praf2	PRA1 domain family 2	5.02	0.0093	0.095
95544_at	Mm.27687	Rusc1	RUN and SH3 domain containing 1	5.01	0.0049	0.062
104268_at	Mm.2856	Il6ra	Interleukin 6 receptor, alpha	4.87	0.0111	0.106
96750_at	Mm.337240	Ilkap	Integrin-linked kinase-associated serine/threonine phosphatase 2C	4.86	0.0104	0.065
102635_at	Mm.258637	Vti1a	Vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	4.86	0.0491	0.224
96221_at	Mm.29770	AI429613	Expressed sequence AI429613	4.78	<0.0001	0.000
160788_at	Mm.28659	Pes1	Pescadillo homolog 1, containing BRCT domain (zebrafish)	4.77	0.0002	0.009
95787_s_at	Mm.209568	Scp2	Sterol carrier protein 2, liver	4.76	0.0022	0.018
100500_at	Mm.5126	Fadd	Fas (TNFRSF6)-associated via death domain	4.74	0.0051	0.068
95692_at	Mm.29655	Srp68	Signal recognition particle 68	4.72	0.0312	0.178
104334_at	Mm.22511	2310004I24Rik	RIKEN cDNA 2310004I24 gene	4.70	0.0034	0.023
104087_at	Mm.21793	D10Ertd641e	DNA segment, Chr 10, ERATO Doi 641, expressed	4.69	0.0058	0.052
104544_at	Mm.23690	4930517K11Rik	RIKEN cDNA 4930517K11 gene	4.69	0.0306	0.165
94080_at	Mm.158231	Sdha	Succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	4.67	0.0371	0.195
101053_at	Mm.292001	2610031L17Rik	RIKEN cDNA 2610031L17 gene	4.64	0.0317	0.130
103554_at	Mm.89940	Adam19	A disintegrin and metalloproteinase domain 19 (meltrin beta)	4.63	0.0019	0.039
98015_at	Mm.257052	Scamp3	Secretory carrier membrane protein 3	4.58	0.0032	0.027
102400_at	Mm.260403	LOC433702	Nuclear cap binding protein subunit 1, 80kDa	4.58	0.0037	0.052
95612_at	Mm.27997	Rfc5	Replication factor C (activator 1) 5	4.52	0.0012	0.030
93138_at	Mm.141150	2410012H22Rik	RIKEN cDNA 2410012H22 gene	4.51	0.0493	0.168
99499_at	Mm.251593	Mettl1	Methyltransferase-like 1	4.50	0.0052	0.068
104200_at	Mm.205463	Slc5a6	Solute carrier family 5 (sodium-dependent vitamin transporter), member 6	4.48	0.0066	0.076
93184_at	Mm.36746	Tbl2	Transducin (beta)-like 2	4.46	0.0269	0.167
94253_at	Mm.196220	Eif2s1	Eukaryotic translation initiation factor 2, subunit 1 alpha	4.42	0.0006	0.017
160893_at	Mm.46299	Gngt2	Guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	4.42	0.0009	0.007
93956_at	Mm.271850	Ifit3	Interferon-induced protein with tetratricopeptide repeats 3	4.42	0.0031	0.052
95086_at	Mm.196005	2310036O22Rik	RIKEN cDNA 2310036O22 gene	4.38	0.0238	0.145
95011_at	Mm.292423	1810063B07Rik	RIKEN cDNA 1810063B07 gene	4.34	0.0089	0.089
97204_s_at	Mm.248046	Dnajd1	DnaJ (Hsp40) homolog, subfamily D, member 1	4.30	0.0418	0.203
96814_r_at	Mm.142827	DXImx46e	DNA segment, Chr X, Immunex 46, expressed	4.30	0.0038	0.041
97916_at	Mm.30116	5730494N06Rik	RIKEN cDNA 5730494N06 gene	4.29	0.0170	0.132
97407_at	Mm.247824	Ubadc1	Ubiquitin associated domain containing 1	4.29	0.0002	0.009
95462_at	Mm.288669	Bzw2	Basic leucine zipper and W2 domains 2	4.27	0.0337	0.156
95629_at	Unknown	Unknown	Unknown	4.25	0.0237	0.030
92411_at	Mm.309954	Hs1bp3	HS1 binding protein 3	4.24	0.0034	0.051
98434_at	Mm.244068	Arhgef7	Rho guanine nucleotide exchange factor (GEF7)	4.22	0.0004	0.014
161885_f_at	Mm.24356	9130427A09Rik	RIKEN cDNA 9130427A09 gene	4.20	0.0002	0.010
97927_at	Mm.259795	Rhog	Ras homolog gene family, member G	4.19	0.0485	0.218
103488_at	Mm.332590	Selpl	Selectin, platelet (p-selectin) ligand	4.15	0.0069	0.031
103315_at	Mm.102305	Tnrc6a	Trinucleotide repeat containing 6a	4.15	0.0265	0.165
99583_at	Mm.299292	Gstp1	Glutathione S-transferase, pi 1	4.14	0.0199	0.143
94460_at	Mm.255075	Stk38	Serine/threonine kinase 38	4.11	0.0059	0.009
160418_at	Mm.214545	Mclc	Mid-1-related chloride channel 1	4.10	0.0334	0.185
93953_at	Mm.9431	Prss12	Protease, serine, 12 neurotrypsin (motopsin)	4.07	0.0163	0.128
102317_at	Mm.10699	Vamp4	Vesicle-associated membrane protein 4	4.03	0.0015	0.017
95914_at	Mm.156909	6720461J16Rik	RIKEN cDNA 6720461J16 gene	4.02	0.0135	0.118
102019_at	Mm.236795	Mrpl13	Mitochondrial ribosomal protein L13	4.01	0.0092	0.095
160587_at	Mm.273724	Tssc1	Tumor suppressing subtransferable candidate 1	4.00	0.0170	0.131
102892_at	Mm.302496	Kcnab2	Potassium voltage-gated channel, shaker-related subfamily, beta member 2	3.99	0.0152	0.124
160723_at	Mm.24937	1500001M20Rik	RIKEN cDNA 1500001M20 gene	3.98	0.0192	0.090
160341_at	Mm.370317	MGI:2385237	JTV1 gene	3.98	0.0125	0.113
96607_at	Mm.214765	1500003O03Rik	RIKEN cDNA 1500003O03 gene	3.97	0.0062	0.040
99186_at	Mm.4189	Ccna2	Cyclin A2	3.95	0.0402	0.026
94980_at	Mm.24007	Dusp11	Dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	3.94	0.0033	0.050
101356_at	Mm.183110	Tk2	Thymidine kinase 2, mitochondrial	3.93	0.0078	0.087
160635_at	Mm.18959	Stx18	Syntaxin 18	3.92	0.0001	0.009
162193_f_at	Mm.58	Itgb7	Integrin beta 7	3.92	0.0015	0.030
94494_at	Mm.28922	Farslb	Phenylalanine-tRNA synthetase-like, beta subunit	3.91	0.0001	0.006
101180_at	Mm.5088	Atm	Ataxia telangiectasia mutated homolog (human)	3.91	0.0140	0.120
95529_at	Mm.256925	Dbnl	Drebrin-like	3.90	0.0068	0.074
98528_at	Unknown	Unknown	Unknown	3.88	0.0124	0.076
162499_f_at	Mm.180052	Ube2d2	Ubiquitin-conjugating enzyme E2D 2	3.87	0.0001	0.004
99164_at	Mm.41680	MGI:1932697	Mitogen activated protein binding protein interacting protein	3.87	0.0390	0.161
104559_at	Mm.262300	BC003940	CDNA sequence BC003940	3.83	0.0031	0.051
