Probe Set ID	Upregulated in	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
215379_x_at	Medullary	IGL@ /// IGLC1 /// IGLC2 /// IGLV2-14 /// IGLJ3	immunoglobulin lambda locus /// immunoglobulin lambda constant 1 (Mcg marker) /// immunoglobulin lambda constant 2 (Kern-Oz- marker) /// immunoglobulin lambda variable 2-14 /// immunoglobulin lambda joining 3		22q11.1-q11.2 /// 22q11.2
221696_s_at	Medullary	STYK1	serine/threonine/tyrosine kinase 1 /// serine/threonine/tyrosine kinase 1	NM_018423	12p13.2
211623_s_at	Medullary	FBL	fibrillarin /// fibrillarin	NM_001436	19q13.1
223307_at	Medullary	CDCA3	cell division cycle associated 3	NM_031299	12p13
228217_s_at	Medullary	LOC389362	hypothetical LOC389362	XM_374159	6p25.2
206359_at	Medullary	SOCS3	suppressor of cytokine signaling 3	NM_003955	17q25.3
217497_at	Medullary	ECGF1	endothelial cell growth factor 1 (platelet-derived)	NM_001953	22q13|22q13.33
202580_x_at	Medullary	FOXM1	forkhead box M1	NM_021953 /// NM_202002 /// NM_202003	12p13
207039_at	Medullary	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	NM_000077 /// NM_058195 /// NM_058197	9p21
227103_s_at	Medullary	MGC2408	hypothetical protein MGC2408	NM_032331	3q27.1
200628_s_at	Medullary	WARS	tryptophanyl-tRNA synthetase	NM_004184 /// NM_173701 /// NM_213645 /// NM_213646	14q32.31
226748_at	Medullary	MGC35274	hypothetical protein MGC35274	NM_153374	15q21.2
229152_at	Medullary	C4orf7	chromosome 4 open reading frame 7	NM_152997	4q13|4q13
207571_x_at	Medullary	C1orf38	chromosome 1 open reading frame 38	NM_004848	1p35.3
203920_at	Medullary	NR1H3	nuclear receptor subfamily 1, group H, member 3	NM_005693	11p11.2
202902_s_at	Medullary	CTSS	cathepsin S	NM_004079	1q21
223767_at	Medullary	GPR84	G protein-coupled receptor 84	NM_020370	12q13.13
223586_at	Medullary	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	NM_020183	12p12.2-p11.2
203508_at	Medullary	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	NM_001066	1p36.3-p36.2
209138_x_at	Medullary	IGLC2	Immunoglobulin lambda variable 3-21		22q11.2
48659_at	Medullary	FLJ12438	hypothetical protein FLJ12438	NM_021933	1p36.22
220651_s_at	Medullary	MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	NM_018518 /// NM_182751	10p13
208747_s_at	Medullary	C1S	complement component 1, s subcomponent	NM_001734 /// NM_201442	12p13
210785_s_at	Medullary	C1orf38	chromosome 1 open reading frame 38	NM_004848	1p35.3
205174_s_at	Medullary	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	NM_012413	2p22.2
220658_s_at	Medullary	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	NM_020183	12p12.2-p11.2
203028_s_at	Medullary	CYBA	cytochrome b-245, alpha polypeptide	NM_000101	16q24
223774_at	Medullary	LOC85028	PNAS-123	XM_378848	1p35.3
214677_x_at	Medullary	IGL@ /// IGLC1 /// IGLC2 /// IGLV2-14 /// IGLJ3	immunoglobulin lambda locus /// immunoglobulin lambda constant 1 (Mcg marker) /// immunoglobulin lambda constant 2 (Kern-Oz- marker) /// immunoglobulin lambda variable 2-14 /// immunoglobulin lambda joining 3		22q11.1-q11.2 /// 22q11.2
226436_at	Medullary	RASSF4	Ras association (RalGDS/AF-6) domain family 4	NM_032023 /// NM_178145	10q11.21
213038_at	Medullary	IBRDC3	IBR domain containing 3	NM_153341	1p35.1
215121_x_at	Medullary	IGL@ /// IGLC1 /// IGLC2 /// IGLV2-14	immunoglobulin lambda locus /// immunoglobulin lambda constant 1 (Mcg marker) /// immunoglobulin lambda constant 2 (Kern-Oz- marker) /// immunoglobulin lambda variable 2-14		22q11.1-q11.2 /// 22q11.2
200629_at	Medullary	WARS	tryptophanyl-tRNA synthetase	NM_004184 /// NM_173701 /// NM_213645 /// NM_213646	14q32.31
210073_at	Medullary	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	NM_003034	12p12.1-p11.2
219295_s_at	Medullary	PCOLCE2	procollagen C-endopeptidase enhancer 2	NM_013363	3q21-q24
41037_at	Medullary	TEAD4	TEA domain family member 4	NM_003213 /// NM_201441 /// NM_201443	12p13.2-p13.3
204087_s_at	Medullary	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	NM_021095	2p23
221578_at	Medullary	RASSF4	Ras association (RalGDS/AF-6) domain family 4	NM_032023 /// NM_178145	10q11.21
203490_at	Medullary	ELF4	E74-like factor 4 (ets domain transcription factor)	NM_001421	Xq26
219944_at	Medullary	RSNL2	restin-like 2	NM_024692	2p23.2
213378_s_at	Medullary	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	NM_004399 /// NM_030653 /// NM_030655	12p11
210563_x_at	Medullary	CFLAR	CASP8 and FADD-like apoptosis regulator	NM_003879	2q33-q34
238629_x_at	Medullary		PREDICTED: Homo sapiens similar to Olfactory receptor 2I2 (LOC442197), mRNA
203868_s_at	Medullary	VCAM1	vascular cell adhesion molecule 1	NM_001078 /// NM_080682	1p32-p31
218627_at	Medullary	FLJ11259	hypothetical protein FLJ11259	NM_018370	12q23.3
211269_s_at	Medullary	IL2RA	interleukin 2 receptor, alpha	NM_000417	10p15-p14
205067_at	Medullary	IL1B	interleukin 1, beta	NM_000576	2q14
228245_s_at	Medullary	OVOS2	ovostatin 2	XM_495917	12p11.21
209040_s_at	Medullary	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)	NM_004159 /// NM_148919	6p21.3
216253_s_at	Medullary	PARVB	parvin, beta	NM_001003828 /// NM_013327	22q13.2-q13.33
221807_s_at	Medullary	PP2447	hypothetical protein PP2447	NM_025204	22q13.33
205180_s_at	Medullary	ADAM8	a disintegrin and metalloproteinase domain 8 /// a disintegrin and metalloproteinase domain 8	NM_001109	10q26.3
222592_s_at	Medullary	ACSL5	acyl-CoA synthetase long-chain family member 5	NM_016234 /// NM_203379 /// NM_203380	10q25.1-q25.2
204702_s_at	Medullary	NFE2L3	nuclear factor (erythroid-derived 2)-like 3	NM_004289	7p15-p14
224204_x_at	Medullary	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	NM_020183	12p12.2-p11.2
217933_s_at	Medullary	LAP3	leucine aminopeptidase 3	NM_015907	4p15.32
222427_s_at	Medullary	LARS	leucyl-tRNA synthetase	NM_020117	5q32
238531_x_at	Medullary		PREDICTED: Homo sapiens similar to Olfactory receptor 2I2 (LOC442197), mRNA
213698_at	Medullary	ZNF258	zinc finger protein 258	NM_007167 /// NM_145310	1p34.2
223779_at	Medullary	MGC10981	hypothetical protein MGC10981		4p16.1
201774_s_at	Medullary	CNAP1	chromosome condensation-related SMC-associated protein 1	NM_014865	12p13.3
204770_at	Medullary	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	NM_000544 /// NM_018833	6p21.3
242457_at	Medullary		Transcribed locus
215946_x_at	Medullary		PREDICTED: Homo sapiens similar to omega protein (LOC91353), mRNA
208103_s_at	Medullary	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E /// acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	NM_030920	1q21.2
224450_s_at	Medullary	RIOK1	RIO kinase 1 (yeast) /// RIO kinase 1 (yeast)	NM_031480 /// NM_153005	6p24.3
230563_at	Medullary	RASGEF1A	RasGEF domain family, member 1A	NM_145313	10q11.21
37966_at	Medullary	PARVB	parvin, beta	NM_001003828 /// NM_013327	22q13.2-q13.33
206445_s_at	Medullary	HRMT1L2	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	NM_001536 /// NM_198318 /// NM_198319	19q13.3
222666_s_at	Medullary	RCL1	RNA terminal phosphate cyclase-like 1	NM_005772	9p24.1-p23
205010_at	Medullary	GNL3L	guanine nucleotide binding protein-like 3 (nucleolar)-like	NM_019067	Xp11.22
201859_at	Medullary	PRG1	proteoglycan 1, secretory granule	NM_002727	10q22.1
221210_s_at	Medullary	NPL	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase) /// N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	NM_030769	1q25
207351_s_at	Medullary	SH2D2A	SH2 domain protein 2A	NM_003975	1q21
222000_at	Medullary	LOC339448	hypothetical protein LOC339448	NM_207356	1p36.32
38241_at	Medullary	BTN3A3	butyrophilin, subfamily 3, member A3	NM_006994 /// NM_197974	6p21.3
1564224_x_at	Medullary	LOC283314	hypothetical protein LOC283314		12p13.31
1555784_s_at	Medullary	IRAK1	interleukin-1 receptor-associated kinase 1	NM_001569	Xq28
203964_at	Medullary	NMI	N-myc (and STAT) interactor	NM_004688	2p24.3-q21.3
214797_s_at	Medullary	PCTK3	PCTAIRE protein kinase 3	NM_002596 /// NM_212502 /// NM_212503	1q31-q32
207196_s_at	Medullary	TNIP1	TNFAIP3 interacting protein 1	NM_006058	5q32-q33.1
209716_at	Medullary	CSF1	colony stimulating factor 1 (macrophage)	NM_000757 /// NM_172210 /// NM_172211 /// NM_172212	1p21-p13
202074_s_at	Medullary	OPTN	optineurin	NM_001008211 /// NM_001008212 /// NM_001008213 /// NM_021980	10p13
200881_s_at	Medullary	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	NM_001539	9p13-p12
218542_at	Medullary	C10orf3	chromosome 10 open reading frame 3	NM_018131	10q23.33
204269_at	Medullary	PIM2	pim-2 oncogene	NM_006875	Xp11.23
219924_s_at	Medullary	ZNF258	zinc finger protein 258	NM_007167 /// NM_145310	1p34.2
224374_s_at	Medullary	EMILIN2	elastin microfibril interfacer 2 /// elastin microfibril interfacer 2	NM_032048	18p11.3
222327_x_at	Medullary	OR7E156P	olfactory receptor, family 7, subfamily E, member 156 pseudogene		13q21.31
235651_at	Medullary		Transcribed locus, moderately similar to NP_872301.1 hypothetical protein FLJ25224 [Homo sapiens]
229390_at	Medullary	LOC441168	similar to RIKEN cDNA A630077B13 gene; RIKEN cDNA 2810048G17	XM_496823	6q22.1
1553681_a_at	Medullary	PRF1	perforin 1 (pore forming protein)	NM_005041	10q22
214527_s_at	Medullary	PQBP1	polyglutamine binding protein 1	NM_005710 /// NM_144494 /// NM_144495	Xp11.23
204533_at	Medullary	CXCL10	chemokine (C-X-C motif) ligand 10	NM_001565	4q21
204281_at	Medullary	TEAD4	TEA domain family member 4	NM_003213 /// NM_201441 /// NM_201443	12p13.2-p13.3
210206_s_at	Medullary	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	NM_004399 /// NM_030653 /// NM_030655	12p11
221652_s_at	Medullary	C12orf11	chromosome 12 open reading frame 11	NM_018164	12p11.23
31845_at	Medullary	ELF4	E74-like factor 4 (ets domain transcription factor)	NM_001421	Xq26
212816_s_at	Medullary	CBS	cystathionine-beta-synthase	NM_000071	21q22.3
204785_x_at	Medullary	IFNAR2	interferon (alpha, beta and omega) receptor 2	NM_000874 /// NM_207584 /// NM_207585	21q22.1|21q22.11
209644_x_at	Medullary	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	NM_000077 /// NM_058195 /// NM_058197	9p21
212860_at	Medullary	ZDHHC18	zinc finger, DHHC domain containing 18	NM_032283	1p36.11
211063_s_at	Medullary	NCK1	NCK adaptor protein 1 /// NCK adaptor protein 1	NM_006153	3q21
213088_s_at	Medullary	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	NM_015190	10q22.2
223861_at	Medullary	HORMAD1	HORMA domain containing 1	NM_032132	1q21.2
217436_x_at	Medullary
210423_s_at	Medullary	SLC11A1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	NM_000578	2q35
220030_at	Medullary	STYK1	serine/threonine/tyrosine kinase 1	NM_018423	12p13.2
213932_x_at	Medullary	HLA-A	Major histocompatibility complex, class I, A	/// NM_002116	6p21.3
201720_s_at	Medullary	LAPTM5	lysosomal associated multispanning membrane protein 5	NM_006762	1p34
211135_x_at	Medullary	LILRB2 /// LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 /// leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	NM_005874 /// NM_006864	19q13.4
221505_at	Medullary	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	NM_030920	1q21.2
214398_s_at	Medullary	IKBKE	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon	NM_014002	1q32.1
222464_s_at	Medullary	C10orf119	chromosome 10 open reading frame 119	NM_024834	10q26.12
205569_at	Medullary	LAMP3	lysosomal-associated membrane protein 3	NM_014398	3q26.3-q27
214431_at	Medullary	GMPS	guanine monphosphate synthetase	NM_003875	3q24
209933_s_at	Medullary	CD300A	CD300A antigen	NM_007261	17q25.1
204821_at	Medullary	BTN3A3	butyrophilin, subfamily 3, member A3	NM_006994 /// NM_197974	6p21.3
204806_x_at	Medullary	HLA-F	major histocompatibility complex, class I, F	NM_018950	6p21.3
211799_x_at	Medullary	HLA-C	Major histocompatibility complex, class I, C	/// NM_002117	6p21.3
203712_at	Medullary	KIAA0020	KIAA0020	NM_014878	9p24.2
213338_at	Medullary	RIS1	Ras-induced senescence 1	NM_015444	3p21.3
207697_x_at	Medullary	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	NM_005874	19q13.4
223428_s_at	Medullary	KIAA1160	KIAA1160 protein	NM_020701	3q21.3
216226_at	Medullary	TAF4B	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa	XM_290809	18q11.2
200901_s_at	Medullary	M6PR	mannose-6-phosphate receptor (cation dependent)	NM_002355	12p13
230499_at	Medullary	BIRC3	Baculoviral IAP repeat-containing 3	NM_001165 /// NM_182962	11q22
235229_at	Medullary		PREDICTED: Homo sapiens similar to Olfactory receptor 2I2 (LOC442197), mRNA
211862_x_at	Medullary	CFLAR	CASP8 and FADD-like apoptosis regulator	NM_003879	2q33-q34
220890_s_at	Medullary	DDX47	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	NM_016355 /// NM_201224	12p13.2
205585_at	Medullary	ETV6	ets variant gene 6 (TEL oncogene)	NM_001987	12p13
202188_at	Medullary	NUP93	nucleoporin 93kDa	NM_014669	16q13
203079_s_at	Medullary	CUL2	cullin 2	NM_003591	10p11.21
201858_s_at	Medullary	PRG1	proteoglycan 1, secretory granule	NM_002727	10q22.1
235574_at	Medullary	GBP4	guanylate binding protein 4	NM_052941	1p22.2
210202_s_at	Medullary	BIN1	bridging integrator 1	NM_004305 /// NM_139343 /// NM_139344 /// NM_139345 /// NM_139346 /// NM_139347 /// NM_139348 /// NM_139349 /// NM_139350 /// NM_139351	2q14
201725_at	Medullary	C10orf7	chromosome 10 open reading frame 7	NM_006023	10p13
201422_at	Medullary
1555943_at	Medullary	MGC5352	Bcl-XL-binding protein v68	NM_138575	12q24.33
209140_x_at	Medullary	HLA-B	major histocompatibility complex, class I, B	/// NM_005514	6p21.3
36564_at	Medullary	IBRDC3	IBR domain containing 3	NM_153341	1p35.1
211529_x_at	Medullary	HLA-G	HLA-G histocompatibility antigen, class I, G	/// NM_002127	6p21.3
204780_s_at	Medullary	FAS	Fas (TNF receptor superfamily, member 6)	NM_000043 /// NM_152871 /// NM_152872 /// NM_152873 /// NM_152874 /// NM_152875 /// NM_152876 /// NM_152877	10q24.1
230788_at	Medullary	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	NM_001491 /// NM_145649 /// NM_145655	6p24
225267_at	Medullary	KPNA4	karyopherin alpha 4 (importin alpha 3)	NM_002268	3q25.33
216484_x_at	Medullary	HDGF	Hepatoma-derived growth factor (high-mobility group protein 1-like)	NM_004494	1q21-q23
1566342_at	Medullary		CDNA clone IMAGE:4711494, partial cds
223570_at	Medullary	MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	NM_018518 /// NM_182751	10p13
209193_at	Medullary	PIM1	pim-1 oncogene /// pim-1 oncogene	NM_002648	6p21.2
211075_s_at	Medullary	CD47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer) /// CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	NM_001777 /// NM_198793	3q13.1-q13.2
224206_x_at	Medullary	MYNN	myoneurin	NM_018657	3q26.2
202244_at	Medullary	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	NM_002796	1q21
221875_x_at	Medullary	HLA-F	major histocompatibility complex, class I, F	NM_018950	6p21.3
241869_at	Medullary	APOL6	apolipoprotein L, 6	NM_030641	22q12.3
222411_s_at	Medullary	SSR3	signal sequence receptor, gamma (translocon-associated protein gamma)	NM_007107	3q25.31
205044_at	Medullary	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	NM_014211	5q33-q34
210564_x_at	Medullary	CFLAR	CASP8 and FADD-like apoptosis regulator	NM_003879	2q33-q34
211530_x_at	Medullary	HLA-G	HLA-G histocompatibility antigen, class I, G	/// NM_002127	6p21.3
211317_s_at	Medullary	CFLAR	CASP8 and FADD-like apoptosis regulator	NM_003879	2q33-q34
229391_s_at	Medullary	LOC441168	similar to RIKEN cDNA A630077B13 gene; RIKEN cDNA 2810048G17	XM_496823	6q22.1
222803_at	Medullary	PRTFDC1	phosphoribosyl transferase domain containing 1	NM_020200	10p12.1
213137_s_at	Medullary	PTPN2	protein tyrosine phosphatase, non-receptor type 2	NM_002828 /// NM_080422 /// NM_080423	18p11.3-p11.2
224655_at	Medullary	AK3	adenylate kinase 3	NM_016282	9p24.1-p24.3
205085_at	Medullary	ORC1L	origin recognition complex, subunit 1-like (yeast)	NM_004153	1p32
236565_s_at	Medullary	FLJ11196	acheron	NM_018357 /// NM_197958	15q23
203388_at	Medullary	ARRB2	arrestin, beta 2	NM_004313 /// NM_199004	17p13
225973_at	Medullary	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	NM_000544 /// NM_018833	6p21.3
223773_s_at	Medullary	LOC85028	PNAS-123	XM_378848	1p35.3
208829_at	Medullary	TAPBP	TAP binding protein (tapasin)	NM_003190 /// NM_172208 /// NM_172209	6p21.3
233110_s_at	Medullary	BCL2L12	BCL2-like 12 (proline rich)	NM_052842 /// NM_138639	19q13.3
223405_at	Medullary	NPL	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	NM_030769	1q25
209939_x_at	Medullary
236471_at	Medullary	NFE2L3	nuclear factor (erythroid-derived 2)-like 3	NM_004289	7p15-p14
209034_at	Medullary	PNRC1	proline-rich nuclear receptor coactivator 1	NM_006813	6q15
217848_s_at	Medullary	PP	pyrophosphatase (inorganic)	NM_021129	10q11.1-q24
208729_x_at	Medullary	HLA-B	major histocompatibility complex, class I, B	/// NM_005514	6p21.3
206785_s_at	Medullary	KLRC1 /// KLRC2	killer cell lectin-like receptor subfamily C, member 1 /// killer cell lectin-like receptor subfamily C, member 2	NM_002259 /// NM_002260 /// NM_007328 /// NM_213657 /// NM_213658	12p13
209382_at	Medullary	POLR3C	polymerase (RNA) III (DNA directed) polypeptide C (62kD)	NM_006468	1q21.1
212255_s_at	Medullary	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	NM_001001485 /// NM_001001486 /// NM_001001487 /// NM_014382	3q22.1
225597_at	Medullary	KIAA1126	KIAA1126 protein	XM_050325	8q24.3
217371_s_at	Medullary	IL15	interleukin 15	NM_000585 /// NM_172174 /// NM_172175	4q31
205565_s_at	Medullary	FXN	frataxin	NM_000144 /// NM_181425	9q13-q21.1
204319_s_at	Medullary	RGS10	regulator of G-protein signalling 10	NM_001005339 /// NM_002925	10q25
204655_at	Medullary	CCL5	chemokine (C-C motif) ligand 5 /// chemokine (C-C motif) ligand 5	NM_002985	17q11.2-q12
218544_s_at	Medullary	RCL1	RNA terminal phosphate cyclase-like 1	NM_005772	9p24.1-p23
