ID	Name	Symbol	Accession	UniGene	Gene	Ensembl	aveA	P400vsEGFP.M	P400vsEGFP.AdjP	P400vsEGFP.FDR	P400vsEGFP.B	Description	Coordinates	A	D	C	B
A_51_P167535	fatty acid binding protein 3, muscle and heart	Fabp3	NM_010174	Mm.388886	14077	ENSMUST00000070532	14.246	-1.034	1	0.001	1.481	Mus musculus fatty acid binding protein 3, muscle and heart (Fabp3), mRNA [NM_010174]	chr4:129760011-129760070	-0.969	1.424	-0.859	0.882
A_52_P223508	RIKEN cDNA 6720401G13 gene	6720401G13Rik	AK081581	Mm.336056	103012		8.824	-1.026	0.085	0	5.077	Mus musculus 16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130046P11 product:unclassifiable, full insert sequence. [AK081581]	chrX:045650591-045650532	-1.069	1.044	-1.12	0.873
A_52_P97889	beta-1,4-N-acetyl-galactosaminyl transferase 4	B4galnt4	NM_177897	Mm.133741	330671	ENSMUST00000048002	9.709	-1.015	0.023	0	6.486	Mus musculus beta-1,4-N-acetyl-galactosaminyl transferase 4 (B4galnt4), mRNA [NM_177897]	chr7:137488920-137488979	-1.017	1.039	-0.974	1.029
A_51_P316311	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	Ppfia4	XM_129443	Mm.295105	68507	ENSMUST00000027729	10.386	-1.009	1	0.003	0.124	PREDICTED: Mus musculus protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4, transcript variant 1 (Ppfia4), mRNA [XM_129443]	chr1:134188240-134188181	-0.836	0.78	-1.496	0.922
A_52_P290152	RIKEN cDNA 6720401G13 gene	6720401G13Rik	BC066100	Mm.336056	103012	ENSMUST00000101590	11.158	-1.007	0.395	0.001	3.388	Mus musculus cDNA clone IMAGE:30533623 [BC066100]	chrX:45655539-45655480	-0.868	0.934	-1.254	0.972
A_52_P84037	suppressor of cytokine signaling 2	Socs2	AK033206	Mm.4132	216233	ENSMUST00000057750	9.312	-1.006	0.318	0	3.629	Mus musculus 15 days embryo male testis cDNA, RIKEN full-length enriched library, clone:8030460M17 product:hypothetical SH2 motif/SOCS protein, C-terminal/Src homology 2 (SH2) domain profile/SOCS box domain profile containing protein, full insert sequence. [AK033206]	chr10:94949157-94949098	-1.038	1.005	-1.186	0.797
A_51_P107039	RIKEN cDNA 4930555G01 gene	4930555G01Rik	NM_175393	Mm.396152	108978	ENSMUST00000096158	10.55	-1.004	0.625	0.001	2.873	Mus musculus RIKEN cDNA 4930555G01 gene (4930555G01Rik), mRNA [NM_175393]	chr14:4924597-4924538	-1.231	0.851	-0.841	1.093
A_52_P193440	RIKEN cDNA E130102H24 gene	E130102H24Rik	XM_976118	Mm.137053	77866		7.527	-1.002	0.999	0.001	2.343	PREDICTED: Mus musculus RIKEN cDNA E130102H24 gene (E130102H24Rik), mRNA [XM_976118]	chr4:100723152-100723093	-0.817	1.054	-1.282	0.855
A_52_P472302	FXYD domain-containing ion transport regulator 6	Fxyd6	NM_022004	Mm.208287	59095	ENSMUST00000085939	15.281	-0.99	0.094	0	4.973	Mus musculus FXYD domain-containing ion transport regulator 6 (Fxyd6), mRNA [NM_022004]	chr9:45354272-45354331	-0.85	0.995	-1.022	1.091
A_52_P338833	ring finger protein (C3HC4 type) 19	Rnf19	NM_013923	Mm.5181	30945	ENSMUST00000022890	8.976	-0.989	1	0.002	1.242	Mus musculus ring finger protein (C3HC4 type) 19 (Rnf19), mRNA [NM_013923]	chr15:36350248-36350189	-1.029	0.765	-1.343	0.819
A_51_P489788	solute carrier family 38, member 1	Slc38a1	AK162429	Mm.430778	105727		8.929	-0.987	1	0.002	1.033	Mus musculus 12 days embryo embryonic body between diaphragm region and neck cDNA, RIKEN full-length enriched library, clone:9430020E10 product:hypothetical protein, full insert sequence. [AK162429]	chr15:96573378-96573319	-0.616	1.071	-1.265	0.997
A_52_P259214			L78075		NA		9.194	-0.983	0.312	0	3.652	MUSCDC42B Mus musculus Cdc42 gene, complete cds [L78075]	chr4:136700241-136700208	-0.761	1.048	-1.015	1.107
A_51_P451759	RAB3A interacting protein (rabin3)-like 1	Rab3il1	BC020147	Mm.281969	74760		7.287	-0.978	0.536	0.001	3.046	Mus musculus RAB3A interacting protein (rabin3)-like 1, mRNA (cDNA clone MGC:28059 IMAGE:3708973), complete cds. [BC020147]	chr19:9715455-9715514	-0.779	0.961	-1.209	0.963
A_51_P185882	coiled-coil domain containing 68	Ccdc68	NM_201362	Mm.266831	381175	ENSMUST00000043929	9.287	-0.967	1	0.003	0.155	Mus musculus coiled-coil domain containing 68 (Ccdc68), mRNA [NM_201362]	chr18:70360904-70360963	-1.194	0.832	-1.253	0.59
A_51_P396696	RIKEN cDNA C030039L03 gene	C030039L03Rik	NM_198417	Mm.145362	112415	ENSMUST00000076421	8.136	-0.964	1	0.001	2.283	Mus musculus RIKEN cDNA C030039L03 gene (C030039L03Rik), mRNA [NM_198417]	chr7:24625420-24625479	-1.117	1.142	-0.888	0.709
A_52_P460050			TC1483835		NA		9.752	-0.959	1	0.003	0.307	Q6P8V1 (Q6P8V1) D17Ertd288e protein, partial (82%) [TC1483835]	chr17:31896433-31896492	-0.765	1.364	-0.698	1.01
A_52_P195809	3-hydroxybutyrate dehydrogenase, type 2	Bdh2	NM_027208	Mm.45121	69772	ENSMUST00000029817	9.625	-0.958	0.535	0.001	3.048	Mus musculus 3-hydroxybutyrate dehydrogenase, type 2 (Bdh2), mRNA [NM_027208]	chr3:135085430-135089614	-1.013	1.159	-0.755	0.904
A_52_P195235	RIKEN cDNA 4930555G01 gene	4930555G01Rik	NM_175393	Mm.396152	108978	ENSMUST00000072422	9.92	-0.957	0.585	0.001	2.947	Mus musculus RIKEN cDNA 4930555G01 gene (4930555G01Rik), mRNA [NM_175393]	chr14:4924577-4924518	-1.118	0.738	-0.897	1.076
A_51_P407351	lymphocyte antigen 75	Ly75	NM_013825	Mm.2074	17076		11.143	-0.955	1	0.002	0.422	Mus musculus lymphocyte antigen 75 (Ly75), mRNA [NM_013825]	chr2:60222913-60222854	-1.082	0.771	-1.306	0.663
A_52_P577388	ependymin related protein 2 (zebrafish)	Epdr2	NM_134065	Mm.275054	105298	ENSMUST00000002885	10.302	-0.954	0.694	0.001	2.755	Mus musculus ependymin related protein 2 (zebrafish) (Epdr2), mRNA [NM_134065]	chr13:18959332-18959273	-0.698	0.961	-1.116	1.039
A_51_P353776	gap junction membrane channel protein beta 3	Gjb3	NM_008126	Mm.90003	14620	ENSMUST00000046532	10.632	-0.954	1	0.001	1.859	Mus musculus gap junction membrane channel protein beta 3 (Gjb3), mRNA [NM_008126]	chr4:126770392-126770333	-0.649	1.137	-1.094	0.935
A_52_P135885			TC1521899		NA		9.544	-0.953	0.444	0.001	3.257	Q96CB9 (Q96CB9) MGC22960 protein, partial (14%) [TC1521899]	chr4:115422265-115422206	-0.803	0.825	-1.096	1.088
A_51_P258817	tocopherol (alpha) transfer protein	Ttpa	NM_015767	Mm.24375	50500		8.667	-0.952	1	0.001	1.383	Mus musculus tocopherol (alpha) transfer protein (Ttpa), mRNA [NM_015767]	chr4:20065617-20065675	-0.915	0.671	-1.262	0.959
A_52_P1130990	tripartite motif-containing 67	Trim67	BC094596	Mm.422769	330863	ENSMUST00000041106	6.946	-0.951	1	0.003	0.18	Mus musculus tripartite motif-containing 67, mRNA (cDNA clone MGC:106451 IMAGE:5705515), complete cds. [BC094596]	chr8:123422023-123422082	-1.257	0.626	-0.761	1.159
A_51_P101719	tetratricopeptide repeat domain 14	Ttc14	AK031605	Mm.275710	67120	ENSMUST00000099153	10.171	-0.939	0.848	0.001	2.529	Mus musculus 13 days embryo male testis cDNA, RIKEN full-length enriched library, clone:6030458P06 product:similar to CDNA FLJ31422 FIS, CLONE NT2NE2000384, WEAKLY SIMILAR TO MICRONUCLEAR LINKER HISTONE POLYPROTEIN [Homo sapiens], full insert sequence. [AK031605]	chr3:33616041-33616100	-1.009	0.892	-0.707	1.149
A_52_P277654	pyruvate dehydrogenase kinase, isoenzyme 1	Pdk1	AK165090	Mm.34411	228026		11.176	-0.939	1	0.003	0.015	Mus musculus 2 days pregnant adult female ovary cDNA, RIKEN full-length enriched library, clone:E330005M21 product:hypothetical protein, full insert sequence. [AK165090]	chr2:71747473-71747532	-0.519	1.176	-0.89	1.169
A_51_P497502			AK033258	Mm.428865	NA		8.893	-0.936	0.217	0	4.056	Mus musculus 15 days embryo male testis cDNA, RIKEN full-length enriched library, clone:8030476K19 product:mitochondria located 1 homolog (human), full insert sequence [AK033258]	chr17:69077834-69077775	-0.785	0.981	-1.077	0.901
A_52_P196057			AK012612		NA		8.842	-0.933	0.079	0	5.167	Mus musculus 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2700094O04 product:Warning: possibly reversed clone, full insert sequence. [AK012612]	chr12:108063905-108062437	-0.832	0.93	-1.016	0.953
A_51_P244950	dihydropyrimidinase	Dpys	BC029718	Mm.275974	64705		12.24	-0.932	0.547	0.001	3.024	Mus musculus dihydropyrimidinase, mRNA (cDNA clone IMAGE:5053571), partial cds. [BC029718]	chr15:39781503-39781444	-1.071	1.074	-0.824	0.759
A_51_P399853	zinc finger protein 704	Zfp704	NM_133218	Mm.383708	170753		9.412	-0.932	0.741	0.001	2.681	Mus musculus zinc finger protein 704 (Zfp704), mRNA [NM_133218]	chr3:9433443-9433384	-0.711	1.138	-0.895	0.983
A_51_P356467	claudin 4	Cldn4	NM_009903	Mm.7339	12740		8.295	-0.926	1	0.001	1.875	Mus musculus claudin 4 (Cldn4), mRNA [NM_009903]	chr5:133916816-133916757	-0.934	1.166	-0.651	0.952
A_52_P255268	WD repeat domain 35	Wdr35	NM_172470	Mm.87389	74682	ENSMUST00000085745	9.65	-0.925	0.488	0.001	3.151	Mus musculus WD repeat domain 35 (Wdr35), mRNA [NM_172470]	chr12:9053800-9053859	-1.148	0.779	-0.886	0.885
A_51_P325173	tropomyosin 1, alpha	Tpm1	AK077713	Mm.121878	22003		11.681	-0.923	0.595	0.001	2.929	Mus musculus 8 days embryo whole body cDNA, RIKEN full-length enriched library, clone:5730544G20 product:tropomyosin 1, alpha, full insert sequence. [AK077713]	chr9:67061176-67059621	-1.037	1.086	-0.83	0.738
A_52_P555537	RIKEN cDNA 2810008D09 gene	2810008D09Rik	AK035703	Mm.393072	76972		12.664	-0.921	0.249	0	3.904	Mus musculus adult male urinary bladder cDNA, RIKEN full-length enriched library, clone:9530092L13 product:unclassifiable, full insert sequence [AK035703]	chr11:117187819-117187877	-0.936	1.061	-0.931	0.755
A_52_P558259	dystrobrevin alpha	Dtna	NM_207650	Mm.94371	13527		7.222	-0.917	0.287	0	3.744	Mus musculus dystrobrevin alpha (Dtna), transcript variant 1, mRNA [NM_207650]	chr18:24043808-24043867	-0.896	0.914	-1.088	0.769
A_52_P596201	transformed mouse 3T3 cell double minute 4	Mdm4	AK046448	Mm.18706	17248		8.415	-0.915	0.733	0.001	2.693	Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230385P13 product:inferred: transformed mouse 3T3 cell double minute 4, full insert sequence. [AK046448]	chr1:132889609-132889550	-1.045	0.668	-1.024	0.921
A_52_P1133481	hypothetical protein LOC675467	LOC675467	XM_982330		675467		12.544	-0.912	0.659	0.001	2.813	PREDICTED: Mus musculus hypothetical protein LOC675467 (LOC675467), mRNA [XM_982330]	chr14:3668520-3668579	-0.893	0.685	-1.01	1.061
A_51_P103000	phosphatidylinositol membrane-associated 1	Pitpnm1	NM_008851	Mm.1860	18739	ENSMUST00000100022	9.737	-0.912	1	0.002	0.937	Mus musculus phosphatidylinositol membrane-associated 1 (Pitpnm1), mRNA [NM_008851]	chr19:4008695-4008754	-0.576	0.917	-1.18	0.974
A_52_P37681	FK506 binding protein 9	Fkbp9	NM_012056	Mm.20943	27055	ENSMUST00000031795	12.888	-0.91	0.264	0	3.837	Mus musculus FK506 binding protein 9 (Fkbp9), mRNA [NM_012056]	chr6:56842575-56842634	-0.789	0.816	-1.032	1.004
A_51_P302626	transcription factor 1	Tcf1	NM_009327	Mm.332607	21405		10.644	-0.91	1	0.001	2.173	Mus musculus transcription factor 1 (Tcf1), mRNA [NM_009327]	chr5:114169899-114169842	-0.64	1.05	-1.051	0.899
A_52_P386075	RIKEN cDNA 2610042L04 gene	2610042L04Rik	AK084071	Mm.425845	545015	ENSMUST00000090647	12.373	-0.909	0.5	0.001	3.125	Mus musculus 12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130083G05 product:hypothetical protein, full insert sequence. [AK084071]	chr14:4716767-4716708	-0.989	0.868	-0.713	1.066
A_51_P204492	similar to zinc finger protein 64 (predicted)	LOC622675	XM_891788	Mm.48724	622675	ENSMUST00000098614	9.142	-0.907	0.558	0.001	3.001	PREDICTED: Mus musculus similar to zinc finger protein 64 (predicted), transcript variant 1 (LOC622675), mRNA [XM_891788]	chr8:77733282-77733341	-0.781	1.098	-0.774	0.976
A_51_P314517	ankyrin repeat domain 47	Ankrd47	NM_030697	Mm.196330	80880	ENSMUST00000087565	12.911	-0.904	0.593	0.001	2.932	Mus musculus ankyrin repeat domain 47 (Ankrd47), mRNA [NM_030697]	chr17:31896737-31896796	-0.771	0.824	-1.133	0.888
A_51_P400217	pre-B lymphocyte gene 1	Vpreb1	NM_016982	Mm.57574	22362	ENSMUST00000075017	9.729	-0.904	1	0.001	1.725	Mus musculus pre-B lymphocyte gene 1 (Vpreb1), mRNA [NM_016982]	chr16:16418206-16418147	-0.799	0.908	-1.196	0.711
A_51_P262766	cyclin D1	Ccnd1	NM_007631	Mm.273049	12443		9.66	-0.9	0.159	0	4.399	Mus musculus cyclin D1 (Ccnd1), mRNA [NM_007631]	chr7_random:7568179-7568238	-0.975	0.926	-0.945	0.754
A_51_P288406	insulin-like 3	Insl3	NM_013564	Mm.249645	16336	ENSMUST00000046935	9.588	-0.9	1	0.001	1.449	Mus musculus insulin-like 3 (Insl3), mRNA [NM_013564]	chr8:70157953-70158012	-0.612	0.926	-1.154	0.906
A_52_P540045			AK083897	Mm.428291	NA		8.773	-0.898	0.534	0.001	3.051	Mus musculus 12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130053N18 product:unclassifiable, full insert sequence [AK083897]	chr14:73245441-73245382	-0.763	0.972	-0.779	1.079
A_52_P363013	RIKEN cDNA E230002P03 gene	E230002P03Rik	AK085279	Mm.229153	320352		7.913	-0.898	1	0.002	0.456	Mus musculus 0 day neonate kidney cDNA, RIKEN full-length enriched library, clone:D630004H18 product:unclassifiable, full insert sequence. [AK085279]	chr3:30510200-30510141	-0.5	1.101	-0.985	1.006
A_52_P1082736	zinc finger protein 553	Zfp553	AK011173	Mm.18	233887		7.715	-0.896	1	0.002	0.887	Mus musculus 10 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2600009K23 product:hypothetical protein, full insert sequence. [AK011173]	chr7:123329072-123329013	-0.53	1.014	-0.967	1.071
A_52_P517683	transgelin	Tagln	NM_011526	Mm.283283	21345	ENSMUST00000034590	8.662	-0.895	0.254	0	3.883	Mus musculus transgelin (Tagln), mRNA [NM_011526]	chr9:45889015-45888956	-0.894	0.757	-0.88	1.048
A_52_P46986	crystallin, zeta (quinone reductase)-like 1	Cryzl1	AK010433	Mm.109823	66609		6.975	-0.895	0.262	0	3.848	Mus musculus ES cells cDNA, RIKEN full-length enriched library, clone:2410006O11 product:hypothetical Zinc-containing alcohol dehydrogenase superfamily containing protein, full insert sequence. [AK010433]	chr16:91744750-91744691	-0.733	1.026	-0.909	0.913
A_52_P234127	odd Oz/ten-m homolog 3 (Drosophila)	Odz3	AK031268	Mm.42191	23965		7.885	-0.886	1	0.001	1.952	Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5932402A14 product:odd Oz/ten-m homolog 3 (Drosophila), full insert sequence. [AK031268]	chr8:46999458-46999399	-0.679	0.761	-1.072	1.033
A_51_P312885	GRAM domain containing 1A	Gramd1a	NM_027898	Mm.27366	52857		10.597	-0.886	1	0.001	1.378	Mus musculus GRAM domain containing 1A (Gramd1a), mRNA [NM_027898]	chr7:28072383-28072324	-0.804	0.782	-1.216	0.743
A_52_P22474	fucosyltransferase 9	Fut9	NM_010243	Mm.39101	14348	ENSMUST00000084770	7.356	-0.878	0.126	0	4.654	Mus musculus fucosyltransferase 9 (Fut9), mRNA [NM_010243]	chr4:25686475-25686416	-0.758	0.917	-0.941	0.896
A_51_P298190	SET binding factor 2	Sbf2	BC015069	Mm.102970	319934		9.438	-0.871	1	0.002	1.118	Mus musculus SET binding factor 2, mRNA (cDNA clone IMAGE:3668035), partial cds. [BC015069]	chr7:106223488-106223429	-0.949	0.587	-1.128	0.818
A_51_P364391	RIKEN cDNA 2610528K11 gene	2610528K11Rik	NM_175184	Mm.254914	72543	ENSMUST00000041555	9.077	-0.866	1	0.001	1.699	Mus musculus RIKEN cDNA 2610528K11 gene (2610528K11Rik), mRNA [NM_175184]	chr2:33737459-33737400	-0.721	0.773	-1.161	0.808
A_52_P268206	melanoma cell adhesion molecule	Mcam	NM_023061	Mm.275003	84004	ENSMUST00000098852	7.846	-0.863	0.415	0.001	3.333	Mus musculus melanoma cell adhesion molecule (Mcam), mRNA [NM_023061]	chr9:44074728-44074787	-0.89	0.709	-0.828	1.025
A_51_P106144	zinc finger protein 64	Zfp64	NM_009564	Mm.2095	22722	ENSMUST00000045842	12.357	-0.861	0.585	0.001	2.947	Mus musculus zinc finger protein 64 (Zfp64), mRNA [NM_009564]	chr2:168718159-168718100	-0.925	0.679	-1.02	0.818
A_52_P640474	guanine nucleotide binding protein, beta 4	Gnb4	NM_013531	Mm.139192	14696	ENSMUST00000029212	8.772	-0.857	1	0.002	1.117	Mus musculus guanine nucleotide binding protein, beta 4 (Gnb4), mRNA [NM_013531]	chr3:32393084-32393025	-0.957	0.576	-1.096	0.8
A_51_P295594	RIKEN cDNA 2410146L05 gene	2410146L05Rik	NM_026480	Mm.26883	67968	ENSMUST00000034900	13.419	-0.853	0.314	0	3.646	Mus musculus RIKEN cDNA 2410146L05 gene (2410146L05Rik), mRNA [NM_026480]	chr9:78453866-78453807	-0.688	0.934	-0.855	0.934
