Operon Probe	U133A	Symbol	Description	Map	Genbank	Biological process	Recurrence  P value	Recurrence  HR	Ca-related death  P value	Ca-related death  HR
H200010677	209616_s_at	C1QC	Homo sapiens, Similar to complement component 1, q subcomponent, c polypeptide, clone MGC:17279 IMAG	1p36.11	AK057792	transcription, cellular process & metabolism; energy & transport; immune response	0.009	2.04	0.0067	6.67
H200017383		FTL	Ferritin, light polypeptide	19q13.3-q13.4	BF541376	transcription, cellular process & metabolism; energy & transport	0.0106	3.23	0.0075	3.7
H200006122		NP	Nucleoside phosphorylase	14q13.1	NM_000270	transcription, cellular process & metabolism	0.0246	2.86	0.0011	9.09
H200018744	216682_s_at	SLC37A1	Solute carrier family 37 (glycerol-3-phosphate member 1	21q22.3	AL512755	transcription, cellular process & metabolism	0.0606	2.27	0.0089	3.85
H200010009	209347_s_at	FXYD3	FXYD domain-containing ion transport regulator 3	19q13.11-q13.12	NM_021910	transcription, cellular process & metabolism; energy & transport	0.0065	0.38	0.0065	0.36
H200004624	200892_s_at	TRPM1	Transient receptor potential cation channel, subfamily M, member 1	15q13-q14	NM_002420	transcription, cellular process & metabolism	0.0092	0.31	0.0092	0.33
H200020321	205542_at	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	3q27	BC015334	transcription, cellular process & metabolism; energy & transport	0.0122	0.5	0.0075	0.45
H200007110	203505_at	AMDHD1	Amidohydrolase domain containing 1	12q23.1	AK054617	transcription, cellular process & metabolism	0.0135	0.24	0.0057	0.17
H200013129	214820_at	RPL15	Ribosomal protein L15	3p24.2	AK055501	transcription, cellular process & metabolism	0.0227	0.31	0.0099	0.26
H200015956	221160_s_at	TRPC5	Transient receptor potential cation channel, subfamily C, member 5	Xq23	NM_012471	transcription, cellular process & metabolism	0.0472	0.43	0.0028	0.23
H200006313	220840_s_at	CES1	Carboxylesterase 1 (monocyte/macrophage serine esterase 1)	16q13-q22.1	NM_001266	transcription, cellular process & metabolism	0.0009	25	0.0026	16.67
H200017604		EML2	Echinoderm microtubule associated protein like 2	19q13.32	AK024984	transcription, cellular process & metabolism	0.0057	2.86	0.0156	5.56
H200003992		MAF	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	16q22-q23	AF055376	transcription, cellular process & metabolism	0.0055	4.55	0.0233	3.7
H200013241	218060_s_at	BRWD1	Bromodomain and WD repeat domain containing 1	21q22.2	AJ238555	transcription, cellular process & metabolism	0.0126	0.38	0.0006	0.18
H200008524	203672_x_at	CTSS	Cathepsin S	1q21	AK024855	transcription, cellular process & metabolism; immune response	0.0062	3.7	0.0156	3.23
H200013549	218587_s_at	HERC2P7	Hect domain and RLD 2 pseudogene 7	15q11-q13	AF071178	unknown	0.0006	4.35	0.004	3.03
H200012538			Homo sapiens clone 24854 mRNA sequence	10q22-q23	AF131835	unknown	0.0008	3.57	0.0098	2.56
H200016975	218361_at	C1orf112	Chromosome 1 open reading frame 112	1q24.2	NM_018186	unknown	0.0009	5.88	0.0142	5.26
H200020457		MGC16037	Homo sapiens cDNA FLJ30346 fis, clone BRACE2007527	9q34.3	AK054908	unknown	0.0017	3.7	0.0234	2.94
H200020776		FLJ31943	Homo sapiens cDNA FLJ31943 fis, clone NT2RP7006853	11q25	AK056505	unknown	0.0019	3.23	0.0024	3.03
H200018286			Homo sapiens mRNA; cDNA DKFZp566P2324		AL117560	unknown	0.0034	4.35	0.0001	8.33
H200019282			Homo sapiens cDNA FLJ31674 fis, clone NT2RI2005069		AK056236	unknown	0.0044	4.35	0.0073	4.17
H200020676	209902_at		Homo sapiens cDNA FLJ32893 fis, clone TESTI2004993	4q28.1	AK057455	unknown	0.0049	6.25	0.0024	7.14
H200015847			Homo sapiens cDNA FLJ12360 fis, clone MAMMA1002356		AK022422	unknown	0.0072	3.85	0.0242	3.23
H200013097		C16orf57	Chromosome 16 open reading frame 57	16q13	BC010099	unknown	0.009	7.69	0.0049	10
H200009993			Homo sapiens cDNA FLJ11892 fis, clone HEMBA1007281	7q21.11	AK021954	unknown	0.011	3.7	0.0091	4
H200020092		LOC129285	Smooth muscle myosin heavy chain 11 isoform SM1-like	2p16.3	BC011978	unknown	0.0115	5.56	0.0075	5.26
H200020905			Homo sapiens cDNA FLJ30450 fis, clone BRACE2009275	10p11.23	AK055012	unknown	0.0144	3.7	0.0022	5.56
H200009962	203400_s_at		Homo sapiens cDNA FLJ14016 fis, clone HEMBA1000459	3q22-q24	AK024078	unknown	0.0203	3.03	0.0036	4
H200018547			Homo sapiens cDNA: FLJ21401 fis, clone COL03678	2q33.1	AK025054	unknown	0.0679	2.33	0.0076	3.13
H200021066		C1orf86	Chromosome 1 open reading frame 86	1p36.33	AK054818	unknown	0.074	2.44	0.0093	4.35
H200009288		RP11-308B5.5	Homo sapiens cDNA: FLJ23156, similar to MGC17347	Xq26.3	AK026809	unknown	0.0007	0.09	0.0007	0.13
H200002091		PGBD5	Piggybac transposable element derived 5	1q42.13	NM_024554	unknown	0.0012	0.25	0.0036	0.26
H200018643			Homo sapiens cDNA: FLJ23085 fis, clone LNG06916	18q12.1	AK026738	unknown	0.0012	0.29	0.007	0.32
H200007511	216297_at	CSMD2	Cub and sushi multiple domains 2	1p35.1-p34.3	AK022620	unknown	0.0017	0.09	0.0039	0.11
H200012891			Homo sapiens mRNA; cDNA DKFZp434O1214		AL137279	unknown	0.0039	0.18	0.0332	0.31
H200014983	216820_at		Homo sapiens cDNA FLJ11510 fis, clone HEMBA1002185		AK021572	unknown	0.004	0.12	0.0026	0.1
H200021323			Homo sapiens cDNA: FLJ21782 fis, clone HEP00266		AK025435	unknown	0.0049	0.31	0.0008	0.19
H200012029		PIN1L	Protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1-like	1p31.1	NM_006222	unknown	0.0063	0.21	0.0491	0.33
H200010539		LOC144438	hypothetical protein LOC144438	12q13.12	AK002085	unknown	0.0069	0.5	0.0546	0.6
H200018762	219225_at	C14orf155	Chromosome 14 open reading frame 155	14q21.3	NM_032135	unknown	0.0092	0.38	0.0947	0.52
H200018782	207582_at		Human DNA sequence from clone RP11-51N22		AL390857	unknown	0.0133	0.49	0.0036	0.41
H200018332	205761_s_at		Homo sapiens mRNA; cDNA DKFZp434J197		AL137305	unknown	0.0141	0.34	0.005	0.26
H200019188		PRO1051	Hypothetical protein PRO1051	6p22.2	NM_018572	unknown	0.0142	0.27	0.0069	0.25
H200012552	205979_at	ZNF302	Zinc finger protein 302	19q13.11	NM_018675	unknown	0.023	0.3	0.0087	0.26
H200017317		LOC92482	Homo sapiens mRNA; cDNA DKFZp564C156	10q25.2	AL049314	unknown	0.0245	0.24	0.0058	0.13
H200019250	218490_s_at	LOC642776	hypothetical protein LOC642776	Xq23	BC003645	unknown	0.142	0.5	0.0035	0.21
