ProbeID	Description	GeneBank/RefSeq Id
A_23_P61149	inositol polyphosphate-5-phosphatase, 145kDa	NM_005541
A_23_P33733	inositol polyphosphate-5-phosphatase, 145kDa	X98429
A_23_P120955	kraken-like A	L450314
A_23_P58606	cyclin G1	NM_004060
A_23_P255263	stomatin B	C010703
A_23_P31677	Homo sapiens LOC347076 (LOC347076), mRNA A	K074467
A_23_P23947	mitogen-activated protein kinase kinase kinase 8	NM_005204
A_23_P254512	ephrin-A1	NM_004428
A_23_P105926	deiodinase, iodothyronine, type III	S79854
A_23_P251937	cytoplasmic polyadenylation element binding protein 4	NM_030627
A_23_P30813	histone 1, H4k	NM_003541
A_23_P68759	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	NM_003225
A_23_P213840	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e	NM_003945
A_23_P42257	immediate early response 3	NM_003897
A_23_P169518	Fos-related antigen A	K026935
A_23_P12514	ras homolog gene family, member C	NM_175744
A_23_P134693		M60484
A_23_P205592	chromosome 14 open reading frame 37 B	C013707
A_23_P62959	pleckstrin homology-like domain, family A, member 3 A	K075179
A_23_P5392	tumor protein p53 inducible protein 3	NM_004881
A_23_P137016	spermidine/spermine N1-acetyltransferase	NM_002970
A_23_P151209	chromosome 12 open reading frame 22	NM_030809
A_23_P3361	furin (paired basic amino acid cleaving enzyme)	X17094
A_23_P10194	type I transmembrane receptor (seizure-related protein)	NM_012410
A_23_P62620	chloride channel, calcium activated, family member 2 A	B026833
A_23_P80974	tryptophan 2,3-dioxygenase	NM_005651
A_23_P169137	ninjurin 1	NM_004148
A_23_P56170	thyroid hormone receptor-associated protein, 95-kD subunit	NM_005481
A_23_P203891	nuclear receptor co-repressor 2	NM_006312
A_23_P38015	fibrosin 1	NM_022452
A_23_P44663		M19685
A_23_P11633	protein kinase, AMP-activated, beta 2 non-catalytic subunit A	J224538
A_23_P56898	kynureninase (L-kynurenine hydrolase)	NM_003937
A_23_P218928	hypothetical protein DKFZp434L142	NM_016613
A_23_P252817	somatostatin	NM_001048
A_23_P806	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	X85019
A_23_P141074	ATP-binding cassette, sub-family C (CFTR/MRP), member 11 A	Y040219
A_23_P44569	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	U49248
A_23_P105206	A	F399470
A_23_P164368	KIAA1582 protein A	K000022
A_23_P165935	stathmin-like 3 B	C009381
A_23_P83388	epiplakin 1	NM_031308
A_23_P139895	hypothetical protein MGC5370	NM_032739
A_23_P31810	KIAA0146 protein	NM_005195
A_23_P1461	optineurin	NM_021980
A_23_P150016	dual specificity phosphatase 5	U15932
A_23_P3237	elongation factor RNA polymerase II-like 3	NM_025165
A_23_P63896	tumor necrosis factor receptor superfamily, member 6	NM_000043
A_23_P108835	yippee protein	NM_016061
A_23_P27835	suppressor of Ty 5 homolog (S. cerevisiae)	Y12790
A_23_P83768	ubiquitin specific protease 3 A	F073344
A_23_P20275	pleckstrin homology domain containing, family F (with FYVE domain) member 2	NM_024613
A_23_P51861	dual specificity phosphatase 10 B	C031405
A_23_P33173	golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	NM_004487
A_23_P51327	KIAA0040 gene product A	L049799
A_23_P136172	hypothetical protein FLJ32370	NM_152417
A_23_P113111	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	NM_000044
A_23_P114708	cytochrome P450, family 4, subfamily B, polypeptide 1	J02871
A_23_P94683	nuclear transcription factor, X-box binding 1	NM_002504
