Probe Set ID	Upregulated in	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
209354_at	Medullary	TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator) /// tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	BC002794	1p36.3-p36.2
228245_s_at	Medullary	OVOS2	ovostatin 2	AW594320	12p11.22
212023_s_at	Medullary	MKI67	antigen identified by monoclonal antibody Ki-67	AU147044	10q25-qter
203868_s_at	Medullary	VCAM1	vascular cell adhesion molecule 1 /// vascular cell adhesion molecule 1	NM_001078	1p32-p31
221699_s_at	Medullary	DDX50	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50 /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 50	AF334103	10q22.1
218542_at	Medullary	C10orf3	chromosome 10 open reading frame 3	NM_018131	10q23.33
217848_s_at	Medullary	PP	pyrophosphatase (inorganic) /// pyrophosphatase (inorganic)	NM_021129	10q11.1-q24
207414_s_at	Medullary	PACE4	paired basic amino acid cleaving system 4 /// paired basic amino acid cleaving system 4	NM_002570	15q26
201160_s_at	Medullary	CSDA	cold shock domain protein A	AL556190	12p13.1
219295_s_at	Medullary	PCOLCE2	procollagen C-endopeptidase enhancer 2 /// procollagen C-endopeptidase enhancer 2	NM_013363	3q21-q24
205488_at	Medullary	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3) /// granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	NM_006144	5q11-q12
202902_s_at	Medullary	CTSS	cathepsin S /// cathepsin S	NM_004079	1q21
205875_s_at	Medullary	TREX1	three prime repair exonuclease 1	NM_016381	3p21.3-p21.2
217933_s_at	Medullary	LAP3	leucine aminopeptidase 3 /// leucine aminopeptidase 3	NM_015907	4p15.33
202964_s_at	Medullary	RFX5	regulatory factor X, 5 (influences HLA class II expression)	NM_000449	1q21
235574_at	Medullary	GBP4	guanylate binding protein 4	AW392952	1p22.2
201489_at	Medullary	PPIF	peptidylprolyl isomerase F (cyclophilin F) /// peptidylprolyl isomerase F (cyclophilin F)	BC005020	10q22-q23
235256_s_at	Medullary	GALM	galactose mutarotase (aldose 1-epimerase)	BE788984	2p22.3
201161_s_at	Medullary	CSDA	cold shock domain protein A	NM_003651	12p13.1
209969_s_at	Medullary	STAT1	signal transducer and activator of transcription 1, 91kDa	BC002704	2q32.2
210153_s_at	Medullary	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial	M55905	18q21
239835_at	Medullary	TA-KRP	T-cell activation kelch repeat protein	AA669114	3p14
205205_at	Medullary	RELB	v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian) /// v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	NM_006509	19q13.32
206785_s_at	Medullary	KLRC1	killer cell lectin-like receptor subfamily C, member 1 /// killer cell lectin-like receptor subfamily C, member 1	NM_002260	12p13
210538_s_at	Medullary	BIRC3	baculoviral IAP repeat-containing 3 /// baculoviral IAP repeat-containing 3	U37546	11q22
221477_s_at	Medullary	MGC5618	hypothetical protein MGC5618	BF575213	na
225360_at	Medullary	PP2447	hypothetical protein PP2447	AL449244	22q13.33
203973_s_at	Medullary	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta /// CCAAT/enhancer binding protein (C/EBP), delta	NM_005195	8p11.2-p11.1
204924_at	Medullary	TLR2	toll-like receptor 2 /// toll-like receptor 2	NM_003264	4q32
204183_s_at	Medullary	ADRBK2	adrenergic, beta, receptor kinase 2	AI478542	22q12.1
204618_s_at	Medullary	GABPB2	GA binding protein transcription factor, beta subunit 2, 47kDa /// GA binding protein transcription factor, beta subunit 2, 47kDa	NM_005254	15q21.2
205180_s_at	Medullary	ADAM8	a disintegrin and metalloproteinase domain 8 /// a disintegrin and metalloproteinase domain 8	NM_001109	10q26.3
204281_at	Medullary	TEAD4	TEA domain family member 4	NM_003213	12p13.2-p13.3
221652_s_at	Medullary	FLJ10637	hypothetical protein FLJ10637	AF274950	12p12.1
205692_s_at	Medullary	CD38	CD38 antigen (p45) /// CD38 antigen (p45)	NM_001775	4p15
227607_at	Medullary	AMSH-LP	associated molecule with the SH3 domain of STAM (AMSH) like protein	AI638611	10q23.32
227211_at	Medullary	PHF19	PHD finger protein 19	BE544837	9q34.11
217371_s_at	Medullary	IL15	interleukin 15	Y09908	4q31
203206_at	Medullary	KIAA0140	KIAA0140	NM_014661	10q26.2
200039_s_at	Medullary	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2 /// proteasome (prosome, macropain) subunit, beta type, 2 /// proteasome (prosome, macropain) subunit, beta type, 2	NM_002794	1p34.2
203382_s_at	Medullary	APOE	apolipoprotein E /// apolipoprotein E	NM_000041	19q13.2
218594_at	Medullary	FLJ10359	protein BAP28	NM_018072	1q42.3
203508_at	Medullary	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B /// tumor necrosis factor receptor superfamily, member 1B	NM_001066	1p36.3-p36.2
202307_s_at	Medullary	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	NM_000593	6p21.3
202906_s_at	Medullary	NBS1	Nijmegen breakage syndrome 1 (nibrin)	AF049895	8q21
204279_at	Medullary	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2) /// proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	NM_002800	6p21.3
238802_at	Medullary	TYSND1	trypsin domain containing 1	AA470128	10q22.2
225978_at	Medullary	KIAA1238	KIAA1238 protein	AW409794	12p13.31
222962_s_at	Medullary	MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	AB042719	10p13
201600_at	Medullary	REA	repressor of estrogen receptor activity /// repressor of estrogen receptor activity	NM_007273	12p13
209233_at	Medullary	C2F	C2f protein	U72514	12p13
205992_s_at	Medullary	IL15	interleukin 15 /// interleukin 15	NM_000585	4q31
203927_at	Medullary	NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon /// nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	NM_004556	6p21.1
202580_x_at	Medullary	FOXM1	forkhead box M1	NM_021953	12p13
222427_s_at	Medullary	LARS	leucyl-tRNA synthetase	AK021413	5q32
238581_at	Medullary	GBP5	guanylate binding protein 5	BG271923	1p22.2
205890_s_at	Medullary	UBD	ubiquitin D /// ubiquitin D	NM_006398	6p21.3
205790_at	Medullary	SCAP1	src family associated phosphoprotein 1 /// src family associated phosphoprotein 1	NM_003726	17q21.32
224204_x_at	Medullary	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	AF231339	12p12.2-p11.2
212528_at	Medullary	na	Clone IMAGE:3605655, mRNA	AI348009	na
209075_s_at	Medullary	ISCU	iron-sulfur cluster assembly enzyme	AY009128	12q24.1
209770_at	Medullary	BTN3A1	butyrophilin, subfamily 3, member A1	U90552	6p22.1
214097_at	Medullary	RPS21	ribosomal protein S21	AW024383	20q13.3
216253_s_at	Medullary	PARVB	parvin, beta	N73272	22q13.2-q13.33
218992_at	Medullary	C9orf46	chromosome 9 open reading frame 46	NM_018465	9p24.1
209045_at	Medullary	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	AF195530	10q25.3
215217_at	Medullary	na	CDNA FLJ26296 fis, clone DMC07192, highly similar to Ig kappa chain V-III region HAH precursor	AA476303	na
218670_at	Medullary	PUS1	pseudouridylate synthase 1 /// pseudouridylate synthase 1	NM_025215	12q24.33
243259_at	Medullary	na	Transcribed sequences	AW081604	na
204269_at	Medullary	PIM2	pim-2 oncogene /// pim-2 oncogene	NM_006875	xp11.23
225415_at	Medullary	BBAP	rhysin 2	AA577672	3q21.1
217794_at	Medullary	DKFZP564J157	DKFZp564J157 protein /// DKFZp564J157 protein	NM_018457	12q12
228217_s_at	Medullary	na	MRNA; cDNA DKFZp686P09209 (from clone DKFZp686P09209)	BF973374	6p25.2
206513_at	Medullary	AIM2	absent in melanoma 2 /// absent in melanoma 2	NM_004833	1q22
229695_at	Medullary	na	CDNA FLJ13432 fis, clone PLACE1002537	AU156189	na
212875_s_at	Medullary	C21orf25	chromosome 21 open reading frame 25	AP_001745	21q22.3
204862_s_at	Medullary	NME3	non-metastatic cells 3, protein expressed in /// non-metastatic cells 3, protein expressed in	NM_002513	16q13
227458_at	Medullary	PDCD1LG1	programmed cell death 1 ligand 1	AI608902	9p24
204629_at	Medullary	PARVB	parvin, beta	NM_013327	22q13.2-q13.33
216841_s_at	Medullary	SOD2	superoxide dismutase 2, mitochondrial /// superoxide dismutase 2, mitochondrial	X15132	6q25.3
206486_at	Medullary	LAG3	lymphocyte-activation gene 3 /// lymphocyte-activation gene 3	NM_002286	12p13.32
224461_s_at	Medullary	AMID	apoptosis-inducing factor (AIF)-like mitochondrion-associated inducer of death /// apoptosis-inducing factor (AIF)-like mitochondrion-associated inducer of death	BC006121	10q22.2
204702_s_at	Medullary	NFE2L3	nuclear factor (erythroid-derived 2)-like 3 /// nuclear factor (erythroid-derived 2)-like 3	NM_004289	7p15-p14
215379_x_at	Medullary	IGLJ3	immunoglobulin lambda joining 3	AV698647	22q11.1-q11.2
200901_s_at	Medullary	M6PR	mannose-6-phosphate receptor (cation dependent) /// mannose-6-phosphate receptor (cation dependent)	NM_002355	12p13
219033_at	Medullary	FLJ21308	hypothetical protein FLJ21308	NM_024615	5q11.2
211623_s_at	Medullary	FBL	fibrillarin /// fibrillarin	M30448	19q13.1
213106_at	Medullary	ATP8A1	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1	AI769688	4p14-p12
202406_s_at	Medullary	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	NM_003252	10q
220091_at	Medullary	SLC2A6	solute carrier family 2 (facilitated glucose transporter), member 6 /// solute carrier family 2 (facilitated glucose transporter), member 6	NM_017585	9q34
1564224_x_at	Medullary	LOC283314	hypothetical protein LOC283314	AK091792	12p13.31
227228_s_at	Medullary	KIAA1509	KIAA1509	AB040942	14q32.12
203734_at	Medullary	FOXJ2	forkhead box J2 /// forkhead box J2	NM_018416	12p13.31
38241_at	Medullary	BTN3A3	butyrophilin, subfamily 3, member A3	U90548	6p21.3
222681_at	Medullary	MDS010	x 010 protein	AV682567	3q13.33
212816_s_at	Medullary	CBS	cystathionine-beta-synthase	BE613178	21q22.3
214527_s_at	Medullary	PQBP1	polyglutamine binding protein 1	AB041836	xp11.23
238010_at	Medullary	LOC339448	hypothetical protein LOC339448	BF970340	1p36.32
243196_s_at	Medullary	FLN29	FLN29 gene product	BF223703	12q
204343_at	Medullary	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3 /// ATP-binding cassette, sub-family A (ABC1), member 3	NM_001089	16p13.3
224225_s_at	Medullary	ETV7	ets variant gene 7 (TEL2 oncogene)	AF218365	6p21
212884_x_at	Medullary	APOE	apolipoprotein E	AI358867	19q13.2
243161_x_at	Medullary	ZFP42	zinc finger protein 42	N32798	4q35.2
1552584_at	Medullary	IL12RB1	interleukin 12 receptor, beta 1	NM_153701	19p13.1
216365_x_at	Medullary	IGLJ3	immunoglobulin lambda joining 3	AF047245	22q11.1-q11.2
228771_at	Medullary	ADRBK2	adrenergic, beta, receptor kinase 2	AI651212	22q12.1
230563_at	Medullary	RASGEF1A	RasGEF domain family, member 1A	BF446578	10q11.21
238629_x_at	Medullary	OR2I1P	olfactory receptor, family 2, subfamily I, member 1 pseudogene	AI240943	6p21.31-22.2
209860_s_at	Medullary	ANXA7	annexin A7 /// annexin A7	J04543	10q21.1-q21.2
206247_at	Medullary	MICB	MHC class I polypeptide-related sequence B /// MHC class I polypeptide-related sequence B	NM_005931	6p21.3
218793_s_at	Medullary	SCML1	sex comb on midleg-like 1 (Drosophila) /// sex comb on midleg-like 1 (Drosophila)	NM_006746	xp22.2-p22.1
203828_s_at	Medullary	NK4	natural killer cell transcript 4 /// natural killer cell transcript 4	NM_004221	16p13.3
233500_x_at	Medullary	LLT1	lectin-like NK cell receptor	AF285089	12p13
222613_at	Medullary	C12orf4	chromosome 12 open reading frame 4	AA195410	12p13.3
54970_at	Medullary	DKFZp761I2123	hypothetical protein DKFZp761I2123	AA868332	7p13
236471_at	Medullary	NFE2L3	nuclear factor (erythroid-derived 2)-like 3	AI949827	7p15-p14
218544_s_at	Medullary	RCL1	RNA terminal phosphate cyclase-like 1 /// RNA terminal phosphate cyclase-like 1	NM_005772	9p24.1-p23
209339_at	Medullary	SIAH2	seven in absentia homolog 2 (Drosophila) /// seven in absentia homolog 2 (Drosophila)	U76248	3q25
209585_s_at	Medullary	MINPP1	multiple inositol polyphosphate histidine phosphatase, 1 /// multiple inositol polyphosphate histidine phosphatase, 1	AF084943	10q23
209138_x_at	Medullary	IGLJ3	immunoglobulin lambda joining 3	M87790	22q11.1-q11.2
238531_x_at	Medullary	OR2I1P	olfactory receptor, family 2, subfamily I, member 1 pseudogene	AI912965	6p21.31-22.2
214017_s_at	Medullary	DHX34	DEAH (Asp-Glu-Ala-His) box polypeptide 34	AA039439	19q13.3
220012_at	Medullary	ERO1LB	ERO1-like beta (S. cerevisiae) /// ERO1-like beta (S. cerevisiae)	NM_019891	1q42.2-q43
208815_x_at	Medullary	HSPA4	heat shock 70kDa protein 4	AB023420	5q31.1-q31.2
223774_at	Medullary	LOC85028	PNAS-123	AF277181	1p35.2
201330_at	Medullary	RARS	arginyl-tRNA synthetase /// arginyl-tRNA synthetase	NM_002887	5q35.1
243454_at	Medullary	na	Transcribed sequences	AW207866	na
1555870_at	Medullary	FLJ32096	hypothetical protein FLJ32096	AK056658	1p36.23
214011_s_at	Medullary	HSPC111	hypothetical protein HSPC111	BE314601	5q35.3
200871_s_at	Medullary	PSAP	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	NM_002778	10q21-q22
37965_at	Medullary	PARVB	parvin, beta	AA181053	22q13.2-q13.33
227983_at	Medullary	MGC7036	hypothetical protein MGC7036	AI810244	12q24.31
227697_at	Medullary	SOCS3	suppressor of cytokine signaling 3	AI244908	17q25.3
204096_s_at	Medullary	ELL	elongation factor RNA polymerase II /// elongation factor RNA polymerase II	AL136771	19p13.1
221869_at	Medullary	KIAA1196	KIAA1196 protein	AL118506	20q13.33
219067_s_at	Medullary	C10orf86	chromosome 10 open reading frame 86	NM_017615	10q26.13
202637_s_at	Medullary	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	AI608725	19p13.3-p13.2
214677_x_at	Medullary	IGLJ3	immunoglobulin lambda joining 3	X57812	22q11.1-q11.2
229813_x_at	Medullary	DAZAP1	DAZ associated protein 1	BF512907	19p13.3
205013_s_at	Medullary	ADORA2A	adenosine A2a receptor /// adenosine A2a receptor	NM_000675	22q11.23
214912_at	Medullary	na	CDNA FLJ12005 fis, clone HEMBB1001565	AK022067	na
225051_at	Medullary	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	AA522435	1p33-p32
201859_at	Medullary	PRG1	proteoglycan 1, secretory granule /// proteoglycan 1, secretory granule	NM_002727	10q22.1
203028_s_at	Medullary	CYBA	cytochrome b-245, alpha polypeptide /// cytochrome b-245, alpha polypeptide	NM_000101	16q24
201458_s_at	Medullary	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast) /// BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	NM_004725	10q26
226896_at	Medullary	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	AI992290	10q22.3
202188_at	Medullary	NUP93	nucleoporin 93kDa	NM_014669	16q13
206359_at	Medullary	SOCS3	suppressor of cytokine signaling 3	BG035761	17q25.3
202659_at	Medullary	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10 /// proteasome (prosome, macropain) subunit, beta type, 10	NM_002801	16q22.1
212295_s_at	Medullary	SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	AA148507	13q12-q14
203381_s_at	Medullary	APOE	apolipoprotein E	N33009	19q13.2
224206_x_at	Medullary	MYNN	myoneurin	AF155508	3q26.31
205467_at	Medullary	CASP10	caspase 10, apoptosis-related cysteine protease /// caspase 10, apoptosis-related cysteine protease	NM_001230	2q33-q34
218682_s_at	Medullary	SLC4A1AP	solute carrier family 4 (anion exchanger), member 1, adaptor protein	NM_018158	2p23.3
235175_at	Medullary	GBP4	guanylate binding protein 4	BG260886	1p22.2
212322_at	Medullary	SGPL1	sphingosine-1-phosphate lyase 1	BE999972	10q21
209175_at	Medullary	SEC23IP	SEC23 interacting protein /// SEC23 interacting protein	AK001135	10q25-q26
212886_at	Medullary	DKFZP434C171	DKFZP434C171 protein	AL080169	5q33.1
229723_at	Medullary	TAGAP	T-cell activation GTPase activating protein	BF591040	6q25.3
223570_at	Medullary	MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	AL136840	10p13
1553102_a_at	Medullary	DKFZP434C171	DKFZP434C171 protein	BC016647	5q33.1
228522_at	Medullary	na	CDNA clone IMAGE:4025174, partial cds	BF732919	na
217168_s_at	Medullary	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	AF217990	16q12.2-q13
201422_at	Medullary	IFI30	interferon, gamma-inducible protein 30 /// interferon, gamma-inducible protein 30	NM_006332	19p13.1
233177_s_at	Medullary	MR-1	myofibrillogenesis regulator 1	AB033010	2q35
202670_at	Medullary	MAP2K1	mitogen-activated protein kinase kinase 1	AI571419	15q22.1-q22.33
218889_at	Medullary	C10orf117	chromosome 10 open reading frame 117	NM_022451	10q23.33
1558201_s_at	Medullary	SLC4A1AP	solute carrier family 4 (anion exchanger), member 1, adaptor protein	AI889922	2p23.3
235965_at	Medullary	MIST1	class II bHLH protein MIST1	BF513674	7q22.1
208747_s_at	Medullary	C1S	complement component 1, s subcomponent /// complement component 1, s subcomponent	M18767	12p13
202901_x_at	Medullary	CTSS	cathepsin S	BC002642	1q21
228332_s_at	Medullary	SELH	selenoprotein H	AA526939	11q12.1
208315_x_at	Medullary	TRAF3	TNF receptor-associated factor 3	NM_003300	14q32.33
