Gene Symbol	Probe_ID	P1	P2	P3	P4	Status
---	62671_at	6.38	7.13	5.74	11.03	Upregulated Transcripts
BIRC6	46558_at	5.67	8.59	7.5	5.92	Upregulated Transcripts
MAP4K4	51474_at	4.86	4.32	8.7	8.52	Upregulated Transcripts
MLLT2	53300_at	4.65	3.99	9.39	8.1	Upregulated Transcripts
---	52851_at	8.71	5.94	6.35	6.25	Upregulated Transcripts
MRRF	51635_at	4.23	4.87	7.39	8.23	Upregulated Transcripts
ACAS2	62783_at	4.29	6.14	7.02	5.9	Upregulated Transcripts
---	60658_at	3.4	6.84	5.19	9.1	Upregulated Transcripts
SUMO1	49551_at	4.05	7.2	4.77	7.75	Upregulated Transcripts
AR	1578_g_at	7.56	4.86	5.32	6.37	Upregulated Transcripts
GALNT7	59101_at	8.41	4.12	5.11	6.54	Upregulated Transcripts
GPR75	44203_at	5.14	8.32	3.9	6.31	Upregulated Transcripts
TBL1XR1	65001_r_at	3.53	12.3	4.06	7.19	Upregulated Transcripts
HSD17B12	43292_at	4.74	8.88	3.64	6.28	Upregulated Transcripts
MRPS28	43095_at	5.79	5.39	5.58	5.14	Upregulated Transcripts
FN1	64719_at	27.07	6.02	4.05	4.93	Upregulated Transcripts
GPR158	44214_at	7.21	3.33	4.32	6.62	Upregulated Transcripts
---	48069_at	6.27	9.88	3.38	4.55	Upregulated Transcripts
FLJ21657	58778_at	4.34	5.6	6.17	5.18	Upregulated Transcripts
MLL5	43301_at	4.76	3.61	5.87	10.34	Upregulated Transcripts
---	55761_at	3.78	4.88	5.65	6.93	Upregulated Transcripts
DLG1	47231_at	3.4	4.77	6.22	5.7	Upregulated Transcripts
MYO5B	63281_r_at	3.29	6.17	4.29	6.84	Upregulated Transcripts
---	49268_at	3.55	19.86	3.61	6.75	Upregulated Transcripts
FUS	43501_at	3.93	3.78	6.42	8.97	Upregulated Transcripts
CCDC35	54684_at	4.9	8.14	3.55	5.43	Upregulated Transcripts
---	43435_at	6.85	4.83	4.82	5.49	Upregulated Transcripts
SMA4	32921_at	4.68	5.53	5.74	4.26	Upregulated Transcripts
NCOA1	45953_at	6.53	4.13	3.58	6.06	Upregulated Transcripts
S100A8	41096_at	4.22	5.89	3.8	22.58	Upregulated Transcripts
PRKCBP1	53493_at	4.65	7.37	4.5	5.35	Upregulated Transcripts
RNPC2	65083_at	3.18	3.96	6.01	9.19	Upregulated Transcripts
CAMSAP1	62630_at	4.45	5.8	3.36	5.36	Upregulated Transcripts
EEF1G	41903_at	5.19	4.58	4.31	5.34	Upregulated Transcripts
EIF5	51379_at	3.44	4.08	5.62	11.07	Upregulated Transcripts
MAML3	49879_at	3.39	3.22	10.27	5.87	Upregulated Transcripts
C21orf106	59651_at	3.19	4.02	5.23	6.44	Upregulated Transcripts
VCIP135	42715_at	3.37	3.61	5.52	8.55	Upregulated Transcripts
FOXO3A	55502_at	3.48	4.37	6.97	4.74	Upregulated Transcripts
C7orf20	49143_s_at	4.23	4.62	4.41	5.78	Upregulated Transcripts
GNMT	46482_at	3.59	4.84	4.24	4.64	Upregulated Transcripts
DONSON	48549_at	4.1	3.58	4.66	5.28	Upregulated Transcripts
---	43436_g_at	4.98	3.75	3.58	5.09	Upregulated Transcripts
PKP4	66327_at	3.31	3.88	4.56	6.2	Upregulated Transcripts
PCBP2	55393_at	3.73	3.19	4.36	6.29	Upregulated Transcripts
CPEB4	57169_at	3.7	3.92	4.14	4.48	Upregulated Transcripts
CUGBP1	34683_at	4.26	3.76	3.13	4.78	Upregulated Transcripts
FALZ	47458_at	4.21	3.65	3.82	4.09	Upregulated Transcripts
---	51586_at	3.51	4	4.99	3.89	Upregulated Transcripts
RALA	39253_s_at	3.92	4.3	3.29	3.85	Upregulated Transcripts
MLL5	45092_at	4.36	3.21	4.48	3.39	Upregulated Transcripts
PABPC1	44806_at	3.74	3.98	4.2	3.07	Upregulated Transcripts
EIF1AX	34278_at	3.99	3.47	3.84	3.19	Upregulated Transcripts
C7orf2	42173_at	3.15	3.27	5.07	4.04	Upregulated Transcripts
---	63147_at	3.25	5.4	3.12	4.04	Upregulated Transcripts
RAD23B	41157_at	3.2	3.46	3.64	4.45	Upregulated Transcripts
---	61037_at	3.44	3.56	3.47	3.73	Upregulated Transcripts
NFATC1	39143_at	3.13	3.21	9.06	3.78	Upregulated Transcripts
JARID1A	50532_at	3.22	3.32	3.54	4.12	Upregulated Transcripts
PDLIM5	37366_at	3.02	3.58	3.42	3.16	Upregulated Transcripts
NEFH	33767_at	-117.15	-147.36	-9.9	-17.18	Downregulated Transcripts
C10orf116	32527_at	-35.49	-29.63	-46.85	-66.5	Downregulated Transcripts
KLK11	40035_at	-23.65	-19.24	-39.73	-62.15	Downregulated Transcripts
FAM3B	59657_at	-15.81	-27.92	-26.09	-25.97	Downregulated Transcripts
PGM5	52140_at	-23.87	-26.5	-44.27	-17.72	Downregulated Transcripts
MRGPRF	52946_at	-15.61	-18.57	-30.59	-70.95	Downregulated Transcripts
KRT15	37582_at	-21.85	-20.74	-19.22	-33.68	Downregulated Transcripts
PTN	34820_at	-11.62	-31.95	-10.24	-27.11	Downregulated Transcripts
SELM	64449_at	-6.36	-8.4	-29.23	-39.36	Downregulated Transcripts
MYLK	46276_at	-5.87	-15.22	-22.57	-20.86	Downregulated Transcripts
SYNPO2	50361_at	-15.14	-15.77	-20.15	-84.14	Downregulated Transcripts
KRT5	613_at	-13.21	-11.12	-22.66	-32.96	Downregulated Transcripts
FOS	2094_s_at	-10.72	-25.75	-13.72	-16.45	Downregulated Transcripts
PKP1	51214_at	-11.57	-16.34	-11.83	-17.85	Downregulated Transcripts
---	42921_at	-9.96	-11.67	-15.61	-16.5	Downregulated Transcripts
RAB34	45269_at	-14.36	-11.54	-17.49	-10.35	Downregulated Transcripts
---	48927_at	-10.61	-14.93	-8.77	-21.91	Downregulated Transcripts
ALOX15B	37430_at	-12.47	-12.41	-14.17	-9.1	Downregulated Transcripts
FOS	1915_s_at	-7.59	-26.38	-11.03	-12.11	Downregulated Transcripts
TMEM16G	62387_at	-9.63	-13.32	-12.59	-9.93	Downregulated Transcripts
---	64676_at	-17.3	-9.39	-6.32	-13.05	Downregulated Transcripts
SFRP1	32521_at	-13.1	-5.73	-8.29	-16.73	Downregulated Transcripts
NDFIP2	60510_at	-7.2	-9.23	-11.72	-15.15	Downregulated Transcripts
FHOD3	50298_at	-9.96	-12.84	-5.59	-10.96	Downregulated Transcripts
WNT5B	61292_s_at	-8.72	-11.85	-5.42	-13.92	Downregulated Transcripts
SYNPO2	48039_at	-11.04	-8.8	-12.64	-9.34	Downregulated Transcripts
BOC	64423_s_at	-3.63	-8.16	-11.8	-54.66	Downregulated Transcripts
SLC20A2	1137_at	-9.27	-5.08	-10.51	-12.61	Downregulated Transcripts
COL8A2	52652_g_at	-7.95	-9.99	-11.56	-9.75	Downregulated Transcripts
---	52678_at	-9.69	-9.99	-3.76	-17.93	Downregulated Transcripts
FOS	1916_s_at	-7.58	-21.81	-6.93	-11.58	Downregulated Transcripts
ARGBP2	51939_at	-7.77	-13.86	-10.4	-8.71	Downregulated Transcripts
CTGF	64342_at	-4.21	-4.15	-20.44	-14.87	Downregulated Transcripts
EPHB6	39930_at	-8.61	-9.66	-8.32	-19.41	Downregulated Transcripts
SYNPO2	60532_at	-9.77	-5.54	-8.77	-9.03	Downregulated Transcripts
NR4A1	280_g_at	-8.68	-13.49	-5.82	-8.58	Downregulated Transcripts
DKFZP564O0823	54033_at	-4.67	-3.72	-11.83	-20	Downregulated Transcripts
GSTO2	45609_at	-4.73	-6.81	-9.6	-16.18	Downregulated Transcripts
---	49321_at	-7.91	-8.41	-9.24	-3.88	Downregulated Transcripts
EGR3	40375_at	-9.89	-7.71	-8.49	-6.44	Downregulated Transcripts
SYNPO2	61681_at	-7.85	-8.33	-4.56	-18.57	Downregulated Transcripts
PI15	58361_at	-3.59	-4.26	-12.77	-11.74	Downregulated Transcripts
FOSB	36669_at	-8.81	-6.27	-7.6	-8.39	Downregulated Transcripts
OGN	43507_g_at	-3.56	-8.26	-7.19	-25.54	Downregulated Transcripts
MOXD1	36834_at	-5.4	-11.7	-10	-3.85	Downregulated Transcripts
LSAMP	43930_at	-3.05	-7.62	-9.76	-7.67	Downregulated Transcripts
EGR2	37863_at	-7.7	-5.52	-7.23	-15.41	Downregulated Transcripts
DKFZp686D0853	49770_at	-10.18	-7.66	-7.16	-4.39	Downregulated Transcripts
LGP1	52826_at	-13.75	-5.94	-3.83	-8.11	Downregulated Transcripts
ME3	35216_at	-7.45	-9.26	-6.54	-5.32	Downregulated Transcripts
PPP1R14A	58774_at	-6.68	-6.14	-7.31	-7.87	Downregulated Transcripts
FLJ22386	50198_at	-6.8	-3.64	-6.98	-6.65	Downregulated Transcripts
NR4A1	279_at	-5.31	-8.04	-5.11	-8.48	Downregulated Transcripts
WFDC1	64111_at	-3.79	-11.21	-6.64	-6.66	Downregulated Transcripts
ZFP36	40448_at	-6.39	-6.86	-7.25	-3.61	Downregulated Transcripts
CACHD1	43554_at	-6.68	-3.34	-17.46	-6.57	Downregulated Transcripts
RLN1	35070_at	-6.78	-11.78	-5.14	-6.39	Downregulated Transcripts
---	49975_at	-6.43	-6.16	-6.74	-10.11	Downregulated Transcripts
CYBRD1	65852_at	-6.43	-4.79	-6.7	-7.23	Downregulated Transcripts
PER3	53766_at	-15.43	-6.79	-5.56	-6.29	Downregulated Transcripts
MN1	37283_at	-4.47	-7.36	-5.55	-7.48	Downregulated Transcripts
DNCI2	35788_at	-4.2	-8.68	-3.02	-10.64	Downregulated Transcripts
MRVI1	43966_at	-6.76	-5.28	-12.19	-6.09	Downregulated Transcripts
AZGP1	35834_at	-6.32	-3.86	-38.18	-6.18	Downregulated Transcripts
MGC14839	48949_at	-8.96	-4.19	-8.25	-3.61	Downregulated Transcripts
SMTN	64499_s_at	-5.2	-15.22	-7.18	-4.42	Downregulated Transcripts
HSPC157	50179_at	-5.66	-3.18	-6.63	-8.09	Downregulated Transcripts
WFDC2	33933_at	-5.3	-6.5	-5.73	-6.81	Downregulated Transcripts
BTG2	36634_at	-6.99	-3.13	-9.25	-5.22	Downregulated Transcripts
AXIN2	64129_at	-4.97	-6.97	-7.18	-4.2	Downregulated Transcripts
PDGFC	45217_at	-4.32	-7.53	-8.81	-3.97	Downregulated Transcripts
MLLT10	63345_at	-7.2	-5.85	-5.9	-3.84	Downregulated Transcripts
BMP7	49273_g_at	-4.58	-4.89	-6.82	-13.13	Downregulated Transcripts
MCC	49504_r_at	-5.9	-5.71	-5.08	-5.84	Downregulated Transcripts
HEXA	39340_at	-8.15	-5.65	-4.18	-5.88	Downregulated Transcripts
GSTT2	1099_s_at	-6.47	-5.05	-6.8	-4.66	Downregulated Transcripts
SSPN	65647_at	-5.4	-5.88	-3.12	-17.61	Downregulated Transcripts
UPK3A	36379_at	-5.37	-4.71	-5.81	-6.91	Downregulated Transcripts
PDE5A	54668_at	-4.44	-5.17	-5.87	-9.56	Downregulated Transcripts
PSD3	63832_at	-3.19	-6.04	-4.98	-6.58	Downregulated Transcripts
ALDH7A1	61965_at	-5.85	-5.14	-5.88	-3.13	Downregulated Transcripts
FMOD	33431_at	-7.62	-4.3	-4.9	-6.04	Downregulated Transcripts
TSPAN2	53693_at	-6.38	-4.49	-4.54	-6.77	Downregulated Transcripts
DKFZP586H2123	40017_at	-6.52	-6.49	-4.32	-3.91	Downregulated Transcripts
EFS	33883_at	-5.43	-3.58	-6.35	-5.18	Downregulated Transcripts
PODN	63953_at	-4.16	-5.3	-4.84	-4.98	Downregulated Transcripts
DUSP1	1005_at	-6.53	-16.66	-3.02	-3.19	Downregulated Transcripts
SLC22A17	58898_s_at	-4.93	-5.81	-4.66	-4.44	Downregulated Transcripts
CDH10	47535_at	-4.87	-3.19	-8.27	-4.65	Downregulated Transcripts
---	64163_at	-3.66	-5.03	-4.79	-4.7	Downregulated Transcripts
---	42587_at	-4.68	-4.62	-4.9	-3.45	Downregulated Transcripts
TSPAN2	57331_at	-4.44	-8.06	-3.42	-4.71	Downregulated Transcripts
SORBS1	56409_at	-5.45	-5.7	-3.17	-3.53	Downregulated Transcripts
C21orf63	50658_s_at	-4.54	-3.36	-4.15	-5.31	Downregulated Transcripts
NBL1	37005_at	-3.34	-4.27	-4.31	-6.36	Downregulated Transcripts
CIRBP	39864_at	-4.38	-3.53	-4.19	-6.8	Downregulated Transcripts
KLF4	48587_at	-3.77	-3.62	-4.57	-12.5	Downregulated Transcripts
ZCSL2	45320_at	-3.1	-3.19	-5.88	-5.13	Downregulated Transcripts
C12orf10	53911_at	-3.62	-4.44	-3.86	-6.46	Downregulated Transcripts
CERKL	60314_at	-4.68	-3.03	-7.37	-3.62	Downregulated Transcripts
NOV	39250_at	-3.2	-3.9	-4.38	-7.37	Downregulated Transcripts
EPB41L5	60293_at	-4.33	-4.97	-3.06	-3.92	Downregulated Transcripts
WNT5B	66142_s_at	-3.94	-3.87	-4.49	-4.16	Downregulated Transcripts
ACYP2	64090_s_at	-3.36	-4.33	-3.68	-5.82	Downregulated Transcripts
C9orf103	56186_at	-3.14	-4.62	-4.03	-3.73	Downregulated Transcripts
FBXO2	57811_at	-3.51	-3.37	-4.16	-5.33	Downregulated Transcripts
CD38	40323_at	-3.25	-3.37	-4.27	-4.27	Downregulated Transcripts
BCAS1	37821_at	-4.96	-3.19	-4.26	-3.34	Downregulated Transcripts
TMSL8	36491_at	-3.03	-4.11	-3.45	-7.67	Downregulated Transcripts
ISL1	39990_at	-3.12	-3.78	-3.61	-3.91	Downregulated Transcripts
HSPB8	56474_at	-3.45	-3.87	-3.04	-7.5	Downregulated Transcripts
B3GALT3	53879_at	-3.04	-4.02	-3.77	-3.48	Downregulated Transcripts
CYBRD1	50955_at	-3.7	-3.51	-3.21	-5.6	Downregulated Transcripts
EFEMP2	63644_at	-3.25	-3.91	-3.28	-3.97	Downregulated Transcripts
TU3A	45260_at	-3.14	-3.94	-3.22	-4.82	Downregulated Transcripts
LOC57228	34176_at	-3.68	-5.3	-3.41	-3.16	Downregulated Transcripts
IER2	36097_at	-4.79	-3.2	-3.11	-3.88	Downregulated Transcripts
DKFZP564K1964	65860_at	-3.53	-3.11	-3.52	-4.62	Downregulated Transcripts
