Genbank	0.01mM NS Ratio	0.01mM NS P-value	Description
BU567864	2.41	0.010	Chromosome 11 open reading frame 60
NM_005559	2.41	0.008	laminin, alpha 1
NM_170776	2.41	0.007	G protein-coupled receptor 97
NM_021021	2.40	0.042	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa)
NM_182485	2.40	0.012	cytoplasmic polyadenylation element binding protein 2
NM_019065	2.40	0.023	EF-hand calcium binding protein 2
NM_003739	2.39	0.002	aldo-keto reductase family 1, member C3
NM_001163	2.39	0.005	amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)
NM_014330	2.38	0.0002	protein phosphatase 1, regulatory (inhibitor) subunit 15A
NM_002243	2.38	0.020	potassium inwardly-rectifying channel, subfamily J, member 15
BG182768	2.38	0.003	Pelota homolog (Drosophila)
NM_012244	2.36	0.017	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
BM683309	2.36	0.019	Hydroxysteroid (11-beta) dehydrogenase 1
BM852634	2.35	0.032	Regulatory factor X, 2 (influences HLA class II expression)
NM_020142	2.34	0.001	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2
NM_012263	2.32	0.040	tubulin tyrosine ligase-like family, member 1
BX648466	2.32	0.002	kelch-like 24 (Drosophila)
AB021641	2.31	0.035	zinc finger protein 461
AB075819	2.30	0.025	ATPase, Class I, type 8B, member 4
NM_000361	2.30	0.019	thrombomodulin
NM_016201	2.30	0.016	angiomotin like 2
AV645920	2.30	0.040	Chromosome 4 open reading frame 8
NM_015071	2.29	0.028	Rho GTPase activating protein 26
AW136909	2.29	0.018	Cullin 3
NM_000071	2.28	0.023	cystathionine-beta-synthase
BE467142	2.27	0.024	Annexin A13
AF372214	2.25	0.008	interleukin 6 (interferon, beta 2)
BG541109	2.25	0.027	Telomeric repeat binding factor 2, interacting protein
NM_032621	2.24	0.002	brain expressed X-linked 2
NM_144686	2.24	0.004	transmembrane channel-like 4
NM_002198	2.24	0.027	interferon regulatory factor 1
BM929354	2.24	0.032	RAD50 homolog (S. cerevisiae)
NM_003353	2.23	0.049	urocortin
AK128065	2.23	0.022	dynein, axonemal, heavy chain 17
NM_003806	2.23	0.019	harakiri, BCL2 interacting protein (contains only BH3 domain)
NM_032883	2.23	0.001	chromosome 20 open reading frame 100
NM_004213	2.23	0.041	solute carrier family 28 (sodium-coupled nucleoside transporter), member 1
BG939615	2.22	0.006	Ferritin, heavy polypeptide 1
NM_002837	2.22	0.020	protein tyrosine phosphatase, receptor type, B
NM_138280	2.21	0.002	citrate lyase beta like
NM_004614	2.21	0.022	thymidine kinase 2, mitochondrial
NM_152495	2.21	0.004	cornichon homolog 3 (Drosophila)
AK097035	2.20	0.036	Immunoglobulin lambda locus
NM_176885	2.20	0.010	taste receptor, type 2, member 44
NM_173505	2.20	0.037	ankyrin repeat domain 29
NM_003956	2.19	0.048	cholesterol 25-hydroxylase
NM_153607	2.19	0.012	adult retina protein
BC042080	2.19	0.021	Gon-4-like (C.elegans)
NM_032203	2.18	0.011	general transcription factor II i repeat domain 2 alpha
AF367017	2.18	0.040	caspase-1 dominant-negative inhibitor pseudo-ICE
BC048252	2.18	0.036	GTF2I repeat domain containing 2B
AI692651	2.18	0.021	Inhibitor of growth family, member 1
NM_152467	2.17	0.037	kelch-like 10 (Drosophila)
AW938887	2.17	0.0003	Signal-induced proliferation-associated 1 like 2
NM_016621	2.17	0.013	PHD finger protein 21A
BX094187	2.17	0.043	Phosphodiesterase 11A
NM_013439	2.16	0.025	paired immunoglobin-like type 2 receptor alpha
NM_019060	2.16	0.048	chromosome 1 open reading frame 42
NM_032257	2.16	0.030	zinc finger, MYND-type containing 12
NM_152436	2.15	0.025	GLI pathogenesis-related 1 like 2
CD517963	2.15	0.003	High-mobility group box 1
NM_003376	2.15	0.036	vascular endothelial growth factor
NM_002374	2.14	0.011	microtubule-associated protein 2
NM_020370	2.14	0.001	G protein-coupled receptor 84
NM_025195	2.14	0.034	tribbles homolog 1 (Drosophila)
NM_173554	2.13	0.005	chromosome 10 open reading frame 107
BG562946	2.13	0.040	Pre-B-cell colony enhancing factor 1
NM_006850	2.12	0.008	interleukin 24
NM_024763	2.12	0.038	WD repeat domain 78
NM_003786	2.12	0.005	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
AK093190	2.11	0.044	hypothetical protein LOC286149
BX103731	2.11	0.028	Ankyrin repeat domain 15
NM_023037	2.10	0.041	furry homolog (Drosophila)
NM_006022	2.10	0.005	TSC22 domain family, member 1
AA348553	2.10	0.002	Calreticulin
AI631715	2.10	0.003	Eukaryotic translation initiation factor 3, subunit 8, 110kDa
NM_017983	2.09	0.013	WD repeat domain, phosphoinositide interacting 1
NM_017573	2.09	0.010	proprotein convertase subtilisin/kexin type 4
NM_016535	2.09	0.043	zinc finger protein 581
NM_003803	2.08	0.017	myomesin 1 (skelemin) 185kDa
AW270928	2.08	0.036	Smcy homolog, Y-linked (mouse)
NM_017679	2.07	0.033	breast carcinoma amplified sequence 3
BM468332	2.07	0.003	Dedicator of cytokinesis 2
NM_018399	2.07	0.0005	vanin 3
NM_002483	2.07	0.024	carcinoembryonic antigen-related cell adhesion molecule 6
AK000652	2.03	0.020	chromosome 20 open reading frame 57
NM_003726	2.03	0.046	src family associated phosphoprotein 1
NM_000243	2.03	0.021	Mediterranean fever
NM_022162	2.03	0.033	caspase recruitment domain family, member 15
BG759321	2.03	0.0001	POU domain, class 2, transcription factor 2
NM_002801	2.03	0.011	proteasome (prosome, macropain) subunit, beta type, 10
NM_022052	2.03	0.028	nuclear RNA export factor 3
AI963999	2.02	0.015	Annexin A13
NM_001570	2.02	0.032	interleukin-1 receptor-associated kinase 2
AA593226	2.02	0.008	Synaptotagmin-like 3
AK021598	2.01	0.003	Ribonuclease L (2,5-oligoisoadenylate synthetase-dependent)
NM_004235	2.01	0.011	Kruppel-like factor 4 (gut)
NM_017923	2.01	0.001	membrane-associated ring finger (C3HC4) 1
BU621703	0.49	0.026	2-5-oligoadenylate synthetase 3, 100kDa
BQ778334	0.49	0.011	Integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)
AI866521	0.49	0.019	Phosphomannomutase 2
AW183530	0.49	0.026	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2
NM_001360	0.49	0.035	7-dehydrocholesterol reductase
AV650911	0.49	0.0005	RAB6A, member RAS oncogene family
AK026802	0.49	0.012	c-mer proto-oncogene tyrosine kinase
NM_013339	0.49	0.036	asparagine-linked glycosylation 6 homolog
AA331551	0.49	0.003	Solute carrier family 36 (proton/amino acid symporter), member 4
NM_005916	0.49	0.040	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)
R02198	0.49	0.004	Opsin 1 (cone pigments), short-wave-sensitive (color blindness, tritan)
NM_024844	0.49	0.041	nucleoporin 85kDa
NM_182513	0.49	0.012	spindle pole body component 24 homolog (S. cerevisiae)
AW895031	0.49	0.015	Integral membrane protein 2A
NM_032174	0.49	0.049	translocase of outer mitochondrial membrane 40 homolog-like (yeast)
NM_018124	0.49	0.037	ring finger and WD repeat domain 3
NM_003063	0.49	0.048	sarcolipin
NM_000527	0.48	0.037	low density lipoprotein receptor (familial hypercholesterolemia)
AA339800	0.48	0.027	Tumor necrosis factor receptor superfamily, member 19-like
BQ009614	0.48	0.012	Hypothetical gene supported by BC006119
NM_024918	0.48	0.005	chromosome 20 open reading frame 172
NM_004464	0.48	0.049	fibroblast growth factor 5
NM_014917	0.48	0.002	netrin G1
CB162075	0.48	0.041	SFRS protein kinase 2
R14723	0.48	0.002	Dpy-19-like 1 (C. elegans)
CA773752	0.48	0.015	Integral membrane protein 2A
NM_024087	0.48	0.036	ankyrin repeat and SOCS box-containing 9
NM_000268	0.48	0.011	neurofibromin 2 (bilateral acoustic neuroma)
NM_004169	0.48	0.017	serine hydroxymethyltransferase 1 (soluble)
BQ350534	0.48	0.024	Homeobox A9
BM454950	0.48	0.006	Ets variant gene 1
BX111556	0.48	0.012	Tripartite motif-containing 36
NM_015595	0.48	0.046	Src homology 3 domain-containing guanine nucleotide exchange factor
BM929906	0.48	0.025	Forkhead box P1
AA662240	0.48	0.001	Cancer susceptibility candidate 5
NM_001412	0.48	0.045	eukaryotic translation initiation factor 1A, X-linked
NM_144999	0.48	0.028	leucine rich repeat containing 45
NM_014176	0.47	0.004	ubiquitin-conjugating enzyme E2T (putative)
NM_003784	0.47	0.015	serpin peptidase inhibitor, clade B (ovalbumin), member 7
AL138377	0.47	0.002	S-adenosylhomocysteine hydrolase-like 1
AW295847	0.47	0.017	Exonuclease 1
NM_032525	0.47	0.027	tubulin, beta 6
NM_032834	0.47	0.010	asparagine-linked glycosylation 10 homolog
AI341563	0.47	0.024	RAD54 homolog B (S. cerevisiae)
AI640472	0.47	0.005	Lipase-like, ab-hydrolase domain containing 3
NM_032881	0.47	0.032	LSM10, U7 small nuclear RNA associated
NM_139075	0.47	0.008	two pore segment channel 2
NM_020792	0.47	0.0004	arylacetamide deacetylase-like 1
AW864012	0.47	0.013	Inter-alpha (globulin) inhibitor H5
NM_004452	0.47	0.006	estrogen-related receptor beta
NM_030760	0.47	0.008	endothelial differentiation, sphingolipid G-protein-coupled receptor, 8
AW298047	0.47	0.002	Kinesin family member C1
NM_002176	0.47	0.045	interferon, beta 1, fibroblast
NM_012427	0.47	0.038	kallikrein 5
NM_012291	0.47	0.011	extra spindle poles like 1 (S. cerevisiae)
NM_032735	0.47	0.025	vitelliform macular dystrophy 2-like 3
AW237309	0.47	0.023	Zinc finger protein 451
NM_006479	0.47	0.028	RAD51 associated protein 1
NM_004497	0.46	0.011	forkhead box A3
NM_144579	0.46	0.029	sideroflexin 5
NM_152329	0.46	0.019	peptidylprolyl isomerase (cyclophilin)-like 5
NM_018663	0.46	0.028	peroxisomal membrane protein 2, 22kDa
NM_006176	0.46	0.024	neurogranin (protein kinase C substrate, RC3)
C16479	0.46	0.002	S-phase kinase-associated protein 1A (p19A)
BC020389	0.46	0.00004	tyrosine kinase, non-receptor, 2
NM_006675	0.46	0.009	tetraspanin 9
NM_139075	0.46	0.010	two pore segment channel 2
NM_002691	0.46	0.005	polymerase (DNA directed), delta 1, catalytic subunit 125kDa
AI276699	0.46	0.015	Oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
NM_024053	0.46	0.007	centromere protein M
NM_005857	0.46	0.030	zinc metallopeptidase (STE24 homolog, yeast)
NM_004217	0.46	0.045	aurora kinase B
CF139543	0.46	0.003	Cyclin A2
NM_000465	0.46	0.004	BRCA1 associated RING domain 1
NM_053001	0.46	0.047	odd-skipped related 2 (Drosophila)
NM_000565	0.46	0.044	interleukin 6 receptor
NM_003239	0.46	0.027	transforming growth factor, beta 3
AI524371	0.46	0.022	Lamin B1
NM_003114	0.46	0.019	sperm associated antigen 1
NM_032270	0.46	0.035	leucine rich repeat containing 8 family, member C
NM_025080	0.46	0.019	asparaginase like 1
NM_004523	0.46	0.019	kinesin family member 11
NM_007057	0.45	0.007	ZW10 interactor
NM_003500	0.45	0.007	acyl-Coenzyme A oxidase 2, branched chain
BC032027	0.45	0.005	Neuronal cell adhesion molecule
NM_002689	0.45	0.035	polymerase (DNA directed), alpha 2 (70kD subunit)
NM_004481	0.45	0.0005	UDP-N-acetyl-alpha-D-galactosamine
AA604922	0.45	0.012	Zinc finger protein 83
NM_016240	0.45	0.019	scavenger receptor class A, member 3
NM_152308	0.45	0.015	chromosome 16 open reading frame 75
AW294571	0.45	0.008	Mitogen-activated protein kinase kinase kinase 14
NM_006088	0.45	0.028	tubulin, beta 2C
BF765033	0.45	0.028	Ubiquitin protein ligase E3A (human papilloma virus E6-associated protein)
NM_148170	0.44	0.022	cathepsin C
NM_023915	0.44	0.004	G protein-coupled receptor 87
NM_152633	0.44	0.030	Fanconi anemia, complementation group B
NM_017858	0.44	0.022	TIMELESS interacting protein
NM_024571	0.44	0.027	chromosome 16 open reading frame 33
AK022738	0.44	0.002	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
NM_005348	0.44	0.031	heat shock protein 90kDa alpha (cytosolic), class A member 1
AK123319	0.44	0.150	Neuropilin (NRP) and tolloid (TLL)-like 1
NM_153840	0.44	0.002	G protein-coupled receptor 110
NM_020402	0.44	0.042	cholinergic receptor, nicotinic, alpha 10
AI014682	0.44	0.011	Enolase superfamily member 1
NM_001878	0.44	0.049	cellular retinoic acid binding protein 2
NM_024857	0.44	0.004	chromosome 17 open reading frame 41
AA972506	0.44	0.040	Lipase-like, ab-hydrolase domain containing 3
NM_012428	0.44	0.003	neuroplastin
NM_007370	0.43	0.037	replication factor C (activator 1) 5, 36.5kDa
AI273417	0.43	0.006	Leucine rich repeat (in FLII) interacting protein 2
NM_138635	0.43	0.001	H2A histone family, member V
BX111501	0.43	0.018	Ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)
NM_007173	0.43	0.004	protease, serine, 23
NM_002482	0.43	0.020	nuclear autoantigenic sperm protein (histone-binding)
NM_003362	0.43	0.047	uracil-DNA glycosylase
NM_024945	0.43	0.002	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)
BF508354	0.43	0.035	Chromosome 21 open reading frame 58
NM_138419	0.43	0.021	family with sequence similarity 54, member A
NM_007086	0.43	0.005	WD repeat and HMG-box DNA binding protein 1
NM_020675	0.43	0.009	spindle pole body component 25 homolog (S. cerevisiae)
NM_032043	0.42	0.012	BRCA1 interacting protein C-terminal helicase 1
D31765	0.42	0.040	processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)
NM_001379	0.42	0.010	DNA (cytosine-5-)-methyltransferase 1
NM_018674	0.42	0.005	amiloride-sensitive cation channel 4, pituitary
NM_005563	0.42	0.017	stathmin 1/oncoprotein 18
NM_018685	0.42	0.010	anillin, actin binding protein
CD723798	0.42	0.010	Family with sequence similarity 20, member C
NM_005497	0.42	0.001	gap junction protein, alpha 7, 45kDa (connexin 45)
NM_003016	0.42	0.030	splicing factor, arginine/serine-rich 2
NM_002185	0.42	0.021	interleukin 7 receptor
BG251472	0.42	0.007	Keratin associated protein 2-1
NM_032319	0.42	0.005	chromosome 2 open reading frame 7
NM_005329	0.42	0.004	hyaluronan synthase 3
NM_033027	0.42	0.003	AXIN1 up-regulated 1
NM_032160	0.42	0.044	chromosome 18 open reading frame 4
NM_014109	0.42	0.004	ATPase family, AAA domain containing 2
BG033282	0.42	0.005	E2F transcription factor 7
BM014093	0.42	0.035	LMBR1 domain containing 2
NM_003983	0.42	0.016	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
NM_001948	0.42	0.034	dUTP pyrophosphatase
R42627	0.42	0.012	Centromere protein O
AI732359	0.41	0.036	Ras association (RalGDS/AF-6) domain family 1
AF075058	0.41	0.033	Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
NM_002997	0.41	0.026	syndecan 1
BX111520	0.41	0.012	COBL-like 1
CD366050	0.41	0.038	Plexin A1
NM_002914	0.41	0.024	replication factor C (activator 1) 2, 40kDa
NM_006596	0.41	0.002	polymerase (DNA directed), theta
AU127142	0.41	0.046	Coiled-coil domain containing 80
NM_007296	0.41	0.003	breast cancer 1, early onset
BM543270	0.40	0.0004	Polymerase (DNA directed), alpha 2 (70kD subunit)
AK001795	0.40	0.010	kinesin family member 24
NM_018108	0.40	0.018	chromosome 14 open reading frame 130
CD653868	0.40	0.003	Microtubule associated monoxygenase, calponin and LIM domain containing 3
NM_005654	0.40	0.008	nuclear receptor subfamily 2, group F, member 1
NM_006733	0.40	0.007	centromere protein I
NM_015895	0.40	0.009	geminin, DNA replication inhibitor
NM_003579	0.40	0.002	RAD54-like (S. cerevisiae)
NM_002923	0.40	0.002	regulator of G-protein signalling 2, 24kDa
BX106478	0.40	0.043	Zinc finger protein 530
NM_138460	0.40	0.038	CKLF-like MARVEL transmembrane domain containing 5
NM_005226	0.40	0.007	endothelial differentiation, sphingolipid G-protein-coupled receptor, 3
BM929598	0.39	0.018	Transcribed locus
NM_002895	0.39	0.0003	retinoblastoma-like 1 (p107)
NM_030796	0.39	0.001	EGFR-coamplified and overexpressed protein
BM991890	0.39	0.005	BH-protocadherin (brain-heart)
NM_007243	0.39	0.026	nurim (nuclear envelope membrane protein)
NM_007011	0.39	0.026	abhydrolase domain containing 2
NM_024092	0.39	0.041	transmembrane protein 109
NM_138340	0.39	0.037	abhydrolase domain containing 3
NM_014321	0.39	0.020	origin recognition complex, subunit 6 like (yeast)
NM_017828	0.39	0.0003	COMM domain containing 4
NM_006622	0.39	0.011	polo-like kinase 2 (Drosophila)
AI439143	0.39	0.029	Ecotropic viral integration site 1
AL359559	0.39	0.002	alkylglycerone phosphate synthase
AL713694	0.38	0.019	Polymerase (DNA directed), epsilon
NM_005225	0.38	0.006	E2F transcription factor 1
NM_005769	0.38	0.030	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4
BE326257	0.38	0.048	Peroxisomal biogenesis factor 14
AA977081	0.37	0.049	Collagen, type XXII, alpha 1
NM_153226	0.37	0.012	transmembrane protein 20
D81992	0.37	0.007	Solute carrier family 16, member 10
BQ002165	0.37	0.031	Tenascin C (hexabrachion)
NM_005573	0.37	0.016	lamin B1
BQ020597	0.37	0.028	Homo sapiens, clone IMAGE:4158072, mRNA
NM_013290	0.37	0.003	PSMC3 interacting protein
NM_032844	0.37	0.010	microtubule associated serine/threonine kinase-like
NM_000135	0.37	0.005	Fanconi anemia, complementation group A
NM_024591	0.37	0.044	chromatin modifying protein 6
NM_007173	0.37	0.016	protease, serine, 23
NM_138484	0.37	0.027	shugoshin-like 1 (S. pombe)
NM_018186	0.37	0.004	chromosome 1 open reading frame 112
NM_017770	0.37	0.004	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2
NM_005483	0.36	0.021	chromatin assembly factor 1, subunit A (p150)
NM_024680	0.36	0.028	E2F transcription factor 8
CA440225	0.36	0.009	Espin
NM_025108	0.36	0.009	chromosome 16 open reading frame 59
NM_002875	0.35	0.015	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)
NM_003529	0.35	0.018	histone 1, H3a
BQ446634	0.35	0.011	Myosin VIIA and Rab interacting protein
NM_002692	0.34	0.017	polymerase (DNA directed), epsilon 2 (p59 subunit)
NM_003979	0.34	0.011	G protein-coupled receptor, family C, group 5, member A
NM_182626	0.34	0.031	chromosome 2 open reading frame 48
AA722287	0.34	0.002	RPA interacting protein
NM_004233	0.33	0.012	CD83 molecule
AA676864	0.33	0.041	RAS p21 protein activator 4
NM_003258	0.33	0.029	thymidine kinase 1, soluble
NM_005329	0.33	0.008	hyaluronan synthase 3
AW853157	0.33	0.003	BRI3 binding protein
BI257441	0.33	0.015	Helicase, lymphoid-specific
NM_001798	0.33	0.021	cyclin-dependent kinase 2
NM_001262	0.32	0.040	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
NM_005431	0.32	0.021	X-ray repair complementing defective repair in Chinese hamster cells 2
NM_197941	0.32	0.003	ADAM metallopeptidase with thrombospondin type 1 motif, 6
NM_024908	0.32	0.026	WD repeat domain 76
NM_018154	0.31	0.008	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)
AK098016	0.31	0.010	Scotin
NM_031908	0.31	0.037	C1q and tumor necrosis factor related protein 2
NM_006739	0.31	0.007	MCM5 minichromosome maintenance deficient 5, cell division cycle 46
NM_019018	0.31	0.006	family with sequence similarity 105, member A
NM_003504	0.31	0.041	CDC45 cell division cycle 45-like (S. cerevisiae)
AA947258	0.30	0.0003	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
CB851702	0.30	0.039	RAB6A, member RAS oncogene family
NM_003686	0.30	0.046	exonuclease 1
NM_016095	0.30	0.038	GINS complex subunit 2 (Psf2 homolog)
NM_004203	0.29	0.019	protein kinase, membrane associated tyrosine/threonine 1
NM_144707	0.29	0.001	prominin 2
BF514016	0.28	0.016	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
NM_005602	0.28	0.005	claudin 11 (oligodendrocyte transmembrane protein)
NM_004111	0.28	0.011	flap structure-specific endonuclease 1
NM_197941	0.28	0.006	ADAM metallopeptidase with thrombospondin type 1 motif, 6
NM_012242	0.28	0.024	dickkopf homolog 1 (Xenopus laevis)
NM_002388	0.28	0.003	MCM3 minichromosome maintenance deficient 3
AI290464	0.27	0.021	Williams-Beuren syndrome chromosome region 17
NM_005915	0.26	0.038	MCM6 minichromosome maintenance deficient 6
NM_006021	0.26	0.001	deleted in lymphocytic leukemia, 2
AA490158	0.25	0.044	Protein kinase C binding protein 1
BE156039	0.25	0.001	Carboxypeptidase A4
NM_001034	0.24	0.025	ribonucleotide reductase M2 polypeptide
NM_005914	0.24	0.021	MCM4 minichromosome maintenance deficient 4
NM_005130	0.24	0.001	fibroblast growth factor binding protein 1
BX118770	0.24	0.028	Apelin, AGTRL1 ligand
NM_016448	0.23	0.013	denticleless homolog (Drosophila)
NM_052943	0.22	0.014	family with sequence similarity 46, member B
NM_004702	0.21	0.005	cyclin E2
AK021443	0.21	0.006	Helicase, lymphoid-specific
AF274048	0.21	0.019	ubiquitin-like, containing PHD and RING finger domains, 1
BU959813	0.20	0.008	Thrombospondin 1
NM_018518	0.19	0.004	MCM10 minichromosome maintenance deficient 10
NM_004091	0.11	0.001	E2F transcription factor 2
