ProbeID	Description	GeneBank/RefSeq Id
A_23_P102109	tubulin, alpha 4	NM_025019
A_23_P65110	Rac GTPase activating protein 1	NM_013277
A_23_P49972	CDC6 cell division cycle 6 homolog (S. cerevisiae)	NM_001254
A_23_P65307	hypothetical protein FLJ22774	NM_032229
A_23_P251421	cell division cycle associated 7	NM_031942
A_23_P23303	exonuclease 1	NM_003686
A_23_P165937	chromosome 20 open reading frame 172	NM_024918
A_23_P76388	uracil-DNA glycosylase	Y09008
A_23_P68102	thymosin, beta 10 B	C016731
A_23_P213166		NM_138698
A_23_P157795	catenin (cadherin-associated protein), alpha-like 1	NM_003798
A_23_P9571	epithelial cell transforming sequence 2 oncogene B	C006838
A_23_P258174	mutS homolog 5 (E. coli) A	J245661
A_23_P94422	maternal embryonic leucine zipper kinase	NM_014791
A_23_P12816	helicase, lymphoid-specific	NM_018063
A_23_P71644	Fanconi anemia, complementation group G	NM_004629
A_23_P133147	H2A histone family, member Z B	C018002
A_23_P117852	KIAA0101 gene product	NM_014736
A_23_P136222	ribonucleotide reductase M2 polypeptide	X59618
A_23_P112341	hypothetical protein FLJ12888	NM_024945
A_23_P152136	hypothetical protein FLJ13912	NM_022770
A_23_P139312	hypothetical protein LOC200895	NM_176815
A_23_P252740	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	NM_024094
A_23_P90612	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	NM_005915
A_23_P215208	fidgetin-like 1	NM_022116
A_23_P155989	leucine zipper protein FKSG14	NM_022145
A_23_P151150	forkhead box M1	NM_021953
A_23_P2355	chromobox homolog 5 (HP1 alpha homolog, Drosophila)	NM_012117
A_23_P117494	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	NM_005956
A_23_P42630	hypothetical protein FLJ20257 B	C016396
A_23_P8241	F-box only protein 5	NM_012177
A_23_P135364	deoxythymidylate kinase (thymidylate kinase)	NM_012145
A_23_P79429	hypothetical protein DKFZp762E1312 A	L162048
A_23_P143184	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	X13293
A_23_P250313	KIAA1524 protein A	K022912
A_23_P216068	PRO2000 protein	NM_014109
A_23_P92441	MAD2 mitotic arrest deficient-like 1 (yeast)	NM_002358
A_23_P106544	DC13 protein	NM_020188
A_23_P96328	hypothetical protein FLJ20105 A	K000112
A_23_P136817	kinetochore associated 1	NM_014708
A_23_P18196	replication factor C (activator 1) 4, 37kDa	NM_002916
A_23_P161607	polymerase (DNA-directed), alpha (70kD) B	C002990
A_23_P102231	small nuclear ribonucleoprotein polypeptide G B	C022432
A_23_P74458	KIAA0907 protein A	B020714
A_23_P118246	HSPC037 protein	NM_016095
A_23_P151405	cytoskeleton associated protein 2	NM_018204
A_23_P11862	hypothetical protein FLJ10706	NM_018186
A_23_P206544	likely ortholog of mouse Shc SH2-domain binding protein 1 A	K025662
A_23_P32707	extra spindle poles like 1 (S. cerevisiae)	NM_012291
A_23_P215976	cyclin E2 B	C007015
A_23_P258493	lamin B1	NM_005573
A_23_P122197	cyclin B1	NM_031966
A_23_P40445	carbonyl reductase 3 B	C002812
A_23_P65040	Rac GTPase activating protein 1 B	C032754
A_23_P109453	CHK2 checkpoint homolog (S. pombe) B	C004207
A_23_P145904	histone H2A.F/Z variant	NM_012412
A_23_P254654	chloride intracellular channel 3	NM_004669
A_23_P12343	glutathione S-transferase M3 (brain)	NM_000849
A_23_P88740	uncharacterized bone marrow protein BM039	NM_018455
A_23_P99292	RAD51-interacting protein	NM_006479
A_23_P104372	DnaJ (Hsp40) homolog, subfamily C, member 9	NM_015190
A_23_P88731	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	NM_002875
A_23_P130626	leukocyte receptor cluster (LRC) member 5	NM_024075
A_23_P103159	chromosome 22 open reading frame 18 A	L160131
A_23_P82738	RAD54B homolog	NM_012415
A_23_P254612	activator of S phase kinase A	B028070
A_23_P163027	ADP-ribosyltransferase (NAD+; poly(ADP-ribose) polymerase)-like 2	NM_005484
A_23_P119254	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	NM_018154
A_23_P10385	RA-regulated nuclear matrix-associated protein	NM_016448
A_23_P76761	vaccinia related kinase 1 B	C005970
A_23_P98891	cyclin-dependent kinase 2 B	C003065
A_23_P71140	polymerase (DNA directed), delta 2, regulatory subunit 50kDa B	C000459
A_23_P138016	Homo sapiens, clone MGC:32686 IMAGE:4051739, mRNA, complete cds B	C029430
A_23_P157038	hypothetical protein MGC40499	NM_152755
A_23_P102202	mutS homolog 6 (E. coli)	NM_000179
A_23_P255376	hypothetical protein FLJ20647	NM_017918
A_23_P88362	peptidylprolyl isomerase (cyclophilin) like 5 A	Y052405
A_23_P31866	TRAP/Mediator complex component	NM_080651
A_23_P70785	absent in melanoma 1	U83115
A_23_P65448	chromosome 14 open reading frame 94 B	C001916
A_23_P30275	hypothetical protein MGC3265	NM_024028
A_23_P25019	primase, polypeptide 1, 49kDa	NM_000946
A_23_P150667	kinesin family member 18A	NM_031217
A_23_P63402	LGN protein	NM_013296
A_23_P216517	hypothetical protein FLJ14642 B	C033666
A_23_P113429	hypothetical protein FLJ31579 A	K056141
A_23_P375	cell division cycle associated 8	NM_018101
A_23_P401	centromere protein F, 350/400ka (mitosin)	NM_016343
A_23_P118894	hypothetical protein MGC11242	NM_024320
A_23_P120315	methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase B	C017054
A_23_P27490	DNA (cytosine-5-)-methyltransferase 1	X63692
A_23_P155968	serine/threonine kinase 18 A	B006972
A_23_P205281	chromosome 14 open reading frame 2	NM_004894
A_23_P205456		U82938
A_23_P97161	transcription termination factor, RNA polymerase II	NM_003594
A_23_P22033	MYC-associated zinc finger protein (purine-binding transcription factor)	M94046
A_23_P8640	G protein-coupled receptor 30	NM_001505
A_23_P25873	AND-1 protein	NM_007086
A_23_P89801	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) A	K054673
A_23_P252335	chromosome 21 open reading frame 45	NM_018944
A_23_P60271	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	NM_006444
A_23_P14062	nuclear pore complex protein	NM_020401
A_23_P102471	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	NM_000251
A_23_P49878	hypothetical protein FLJ10156	NM_019013
A_23_P133954	kinesin family member C1 B	C000712
A_23_P137514	influenza virus NS1A binding protein A	K093912
A_23_P156739	chromosome 6 open reading frame 125	NM_032340
A_23_P148807	CDC7 cell division cycle 7 (S. cerevisiae)	NM_003503
A_23_P43425	hypothetical protein FLJ10110	NM_017998
A_23_P21167	hypothetical protein MGC33212 B	C021177
A_23_P129188	ceroid-lipofuscinosis, neuronal 6, late infantile, variant A	F308287
A_23_P259641	enhancer of zeste homolog 2 (Drosophila)	NM_004456
A_23_P89020	alanyl-tRNA synthetase	D32050
A_23_P167553	mutS homolog 3 (E. coli)	NM_002439
A_23_P200829	formin binding protein 2 A	B007925
A_23_P51069	cytochrome c oxidase subunit Vb	NM_001862
A_23_P149239	hepatoma-derived growth factor (high-mobility group protein 1-like)	D16431
A_23_P51966	TAL1 (SCL) interrupting locus	NM_003035
A_23_P7732	centrin, EF-hand protein, 3 (CDC31 homolog, yeast)	NM_004365
A_23_P99604	hypothetical protein FLJ20333	NM_017769
A_23_P50344	tubulin, beta, 5 B	C006570
A_23_P201731	TNF receptor-associated factor 5	NM_004619
A_23_P165819	calmodulin 2 (phosphorylase kinase, delta) B	C008437
A_23_P125265	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	NM_002266
A_23_P212284	DKFZP434C245 protein	NM_015426
A_23_P11652	ubiquitin specific protease 1	NM_003368
A_23_P26777	pericentrin 1	NM_024844
A_23_P20615	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	NM_006401
A_23_P99138	mitochondrial ribosomal protein L51	NM_016497
A_23_P50456	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	NM_002691
A_23_P162805	high-mobility group box 1 B	C030981
A_23_P163099	polymerase (DNA directed), epsilon 2 (p59 subunit)	NM_002692
A_23_P253752	DUF729 domain containing 1	NM_138419
A_23_P136805	KIAA0013 gene product B	C039563
A_23_P129614	cleavage and polyadenylation specific factor 5, 25 kDa	NM_007006
A_23_P251695	NTF2-like export factor 1	NM_013248
A_23_P89941	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	NM_001800
A_23_P96872	HSPCO34 protein	NM_016126
A_23_P12643	Cyt19 protein	NM_020682
A_23_P80068	BTG family, member 3	NM_006806
A_23_P59147	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae) A	J245416
A_23_P167227	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	NM_005327
A_23_P201030	glucosidase, beta; acid (includes glucosylceramidase) B	C003356
A_23_P169446	A	J271804
A_23_P93750	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	NM_012322
A_23_P81914	beta 5-tubulin A	F070600
A_23_P99930	timeless-interacting protein	NM_017858
A_23_P212196	8-oxoguanine DNA glycosylase	NM_016821
A_23_P87769	hypothetical protein FLJ20641	NM_017915
A_23_P55769	ubiquitin carrier protein	M91670
A_23_P164826	ribonuclease H2, large subunit	NM_006397
A_23_P118142	ADP-ribosylation factor-like 6 interacting protein B	C010281
A_23_P169189	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	NM_003640
A_23_P43157	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	X66087
A_23_P116387	inner centromere protein antigens 135/155kDa	NM_020238
A_23_P89709	hypothetical protein FLJ10352 A	L136818
A_23_P93823	replication factor C (activator 1) 2, 40kDa	NM_181471
A_23_P74034	Siah-interacting protein A	F057356
A_23_P134295	nudix (nucleoside diphosphate linked moiety X)-type motif 1	NM_002452
A_23_P160934	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E A	Y057381
A_23_P149668	kinesin family member 14	D26361
A_23_P11295	mature T-cell proliferation 1	NM_014221
A_23_P70233	aldehyde dehydrogenase 7 family, member A1	S74728
A_23_P206441	Fanconi anemia, complementation group A	NM_000135
A_23_P166336	hypothetical protein DKFZp434N035	NM_032262
A_23_P161474	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae) A	B042719
A_23_P67708	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	M65214
A_23_P93329	mutS homolog 5 (E. coli) A	F048986
A_23_P14636	microfibrillar-associated protein 1	NM_005926
A_23_P62768	beta-casein-like protein	NM_033504
A_23_P67771	BRCA1 associated RING domain 1	NM_000465
A_23_P139334	hypothetical protein FLJ11848 A	K021910
A_23_P80817	neuronal protein	NM_013259
A_23_P14193	replication factor C (activator 1) 3, 38kDa	NM_002915
A_23_P107073	replication protein A1, 70kDa	NM_002945
A_23_P100127	AF15q14 protein	NM_020380
A_23_P149535	solute carrier family 27 (fatty acid transporter), member 3 B	C009916
A_23_P259438	deoxycytidine kinase	NM_000788
A_23_P108042	natural cytotoxicity triggering receptor 1	NM_004829
A_23_P253524	centromere protein E, 312kDa	NM_001813
A_23_P57588	G-2 and S-phase expressed 1	NM_016426
A_23_P118582		L38933
A_23_P52161	likely ortholog of rat SNF1/AMP-activated protein kinase	NM_030952
A_23_P148194	SIPL protein A	K001775
A_23_P201979	cAMP responsive element modulator	NM_001881
A_23_P57347	pericentrin 2 (kendrin)	NM_006031
A_23_P258221	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	NM_005688
A_23_P162719	diaphanous homolog 3 (Drosophila)	NM_030932
A_23_P34794	nuclear autoantigenic sperm protein (histone-binding)	M97856
A_23_P142045	peroxiredoxin 2	NM_005809
A_23_P136787	hypothetical protein MGC14799	NM_032336
A_23_P256956	kinesin family member 20A	NM_005733
A_23_P170751	polymerase (DNA directed), epsilon	U49356
A_23_P78664	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	NM_138998
A_23_P73763	DNA segment on chromosome X (unique) 9879 expressed sequence	NM_006014
A_23_P111288	chromosome 6 open reading frame 53	NM_016462
A_23_P168637	hypothetical protein MGC10911 B	C004308
A_23_P162822	Opa-interacting protein 2	NM_181503
A_23_P132863	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae) A	F182418
A_23_P7679	nucleoporin 155kDa	NM_153485
A_23_P37954	cyclin F	U17105
A_23_P94174	mitochondrial ribosomal protein L15	NM_014175
A_23_P213745	chemokine (C-X-C motif) ligand 14	NM_004887
A_23_P201988	hypothetical protein FLJ14813 A	K027719
A_23_P78149	homolog of yeast Mis12 B	C000229
A_23_P109539	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	U61083
A_23_P26557	hypothetical protein FLJ13909	NM_025108
A_23_P16339	SUMO-1 activating enzyme subunit 1 A	K055481
A_23_P133694	solute carrier family 29 (nucleoside transporters), member 1	NM_004955
A_23_P126757	hypothetical protein FLJ21919	NM_023015
A_23_P146456	cathepsin L2	NM_001333
A_23_P7101	stem-loop (histone) binding protein	NM_006527
A_23_P1254	glutathione S-transferase omega 1	NM_004832
A_23_P128734	enhancer of rudimentary homolog (Drosophila)	NM_004450
A_23_P206901	nudE nuclear distribution gene E homolog 1 (A. nidulans)	NM_017668
A_23_P252306	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	NM_002165
A_23_P58321	cyclin A2	NM_001237
A_23_P24997	cyclin-dependent kinase 4	NM_000075
A_23_P69720	annexin A5	NM_001154
A_23_P122233	mitochondrial ribosomal protein L22	NM_014180
A_23_P256432	protein phosphatase 2, regulatory subunit B (B56), alpha isoform	NM_006243
A_23_P60488	outer dense fiber of sperm tails 2	NM_002540
A_23_P131706	hypothetical gene supported by BC028282; BC028282; BC028282 B	C042036
A_23_P91619	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	NM_002415
A_23_P131383	PHD finger protein 9	NM_018062
A_23_P147782	scratch homolog 1, zinc finger protein (Drosophila)	NM_031309
A_23_P80098	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	NM_000819
A_23_P29595	ribosomal protein L39-like B	C012328
A_23_P130149	enolase 3, (beta, muscle)	NM_001976
A_23_P91590	RAN binding protein 1	NM_002882
A_23_P162481	cell division cycle associated 3 B	C002551
A_23_P112673	hypothetical protein FLJ10036 A	K000898
A_23_P99985	high-mobility group box 1	NM_002128
A_23_P71727	CDC28 protein kinase regulatory subunit 2	NM_001827
A_23_P156852	peroxisomal D3,D2-enoyl-CoA isomerase	NM_006117
A_23_P157405	16.7Kd protein	NM_016139
A_23_P216355	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2	NM_013432
A_23_P255286	hypothetical protein FLJ20297	NM_017751
A_23_P99452	breast cancer 2, early onset	NM_000059
A_23_P121602	sin3-associated polypeptide, 30kDa	NM_003864
A_23_P128388	vacuolar protein sorting 29 (yeast) B	C000880
A_23_P250025	chromosome 14 open reading frame 2 B	C001944
A_23_P168651	cyclin-dependent kinase 6	NM_001259
A_23_P42045	origin recognition complex, subunit 3-like (yeast)	NM_181837
A_23_P48099	nucleoporin Nup37	NM_024057
A_23_P105028	DKFZP564J0863 protein	NM_015459
A_23_P107653	electron-transfer-flavoprotein, beta polypeptide	NM_001985
A_23_P42695	chromosome 7 open reading frame 24	NM_024051
A_23_P15727	FK506 binding protein 10, 65 kDa	NM_021939
A_23_P140088	hypothetical protein FLJ11712	NM_024570
A_23_P159833	zinc finger protein 183 (RING finger, C3HC4 type)	NM_004541
A_23_P94795	TEA domain family member 4	NM_003213
A_23_P13512	DKFZP564M082 protein B	C005156
A_23_P122876	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	NM_005641
A_23_P127460	signal-induced proliferation-associated gene 1	NM_153253
A_23_P46767	hypothetical protein FLJ20147 A	K000154
A_23_P214594	chromosome 6 open reading frame 135	NM_024839
A_23_P25069	hypothetical protein DKFZp434C0631	NM_173498
A_23_P1549	hypothetical protein LOC114971 B	C020242
A_23_P6514		NM_021024
A_23_P56567	gem (nuclear organelle) associated protein 6	NM_024775
A_23_P132138	chromosome 21 open reading frame 58	NM_058180
A_23_P100486	hypothetical protein IMAGE3455200	NM_024006
A_23_P85969	hypothetical protein FLJ20403 B	C038454
A_23_P148980	hypothetical protein FLJ10514 A	K001376
A_23_P76961	ribosomal protein S29	NM_001032
A_23_P94009	LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae) B	C002742
A_23_P110802	centromere protein H	NM_022909
A_23_P202594	hypothetical protein FLJ13081	NM_024834
A_23_P203949	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	NM_004399
A_23_P140423	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	NM_004545
A_23_P152297	polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa A	F060223
A_23_P146284	squalene epoxidase	NM_003129
A_23_P117558	FK506 binding protein 3, 25kDa	NM_002013
