Affy ID	Accession	Gene Symbol	Description	BC mean	BC SD	SD/mean BC	ctrl mean	ctrl SD	SD/mean ctrl	BC/ctrl	direction	P-value
233014_at	AK022980		isopentenyl-diphosphate delta isomerase	0.95	0.15	0.16	1.17	0.2	0.17	0.81	down	0.01467616
203408_s_at	NM_002971	SATB1	special AT-rich sequence binding protein 1 (binto nuclear matrix/scaffold-associating DNAs) /// special AT-rich sequence binding protein 1 (binto nuclear matrix/scaffold-associating DNAs)	1	0.33	0.33	1.22	0.22	0.18	0.82	down	0.006992892
207163_s_at	NM_005163	AKT1	v-akt murine thymoma viral oncogene homolog 1 /// v-akt murine thymoma viral oncogene homolog 1	1	0.24	0.24	1.22	0.27	0.22	0.82	down	0.015718787
223031_s_at	AL136921	RFWD1	ring finger and WD repeat domain 1	0.95	0.19	0.2	1.16	0.22	0.19	0.82	down	0.018018373
217950_at	NM_015953	NOSIP	nitric oxide synthase interacting protein	1.05	0.35	0.33	1.28	0.39	0.3	0.82	down	0.011846416
208804_s_at	AL031681		splicing factor, arginine/serine-rich 6	0.97	0.25	0.26	1.18	0.26	0.22	0.82	down	0.022000545
232034_at	AL117607	LOC203274	hypothetical protein LOC203274	1.17	0.39	0.33	1.42	0.57	0.4	0.82	down	0.036191734
1556053_at	AL556987	DNAJC7	DnaJ (Hsp40) homolog, subfamily C, member 7	0.96	0.34	0.35	1.17	0.18	0.15	0.82	down	0.012741388
238142_at	AW029203		CDNA FLJ37584 fis, clone BRCOC2004950	1.02	0.28	0.27	1.24	0.2	0.16	0.82	down	0.002309612
207064_s_at	NM_009590	AOC2	amine oxidase, copper containing 2 (retina-specific) /// amine oxidase, copper containing 2 (retina-specific)	0.98	0.25	0.25	1.19	0.29	0.24	0.82	down	0.022000545
212191_x_at	AW574664	RPL13	ribosomal protein L13	0.97	0.23	0.24	1.17	0.17	0.15	0.82	down	0.002105193
236002_at	BE178502		STE20-like kinase	1	0.27	0.27	1.2	0.25	0.21	0.83	down	0.004658583
238999_at	AI610347		Transcribed sequences	1.09	0.47	0.43	1.32	0.46	0.35	0.83	down	0.032094185
208322_s_at	NM_003033	SIAT4A	sialyltransferase 4A (beta-galactoside alpha-2,3-sialyltransferase) /// sialyltransferase 4A (beta-galactoside alpha-2,3-sialyltransferase)	1.04	0.25	0.24	1.25	0.28	0.22	0.83	down	0.003609678
239122_at	AI638155	IL24	interleukin 24	0.97	0.26	0.27	1.17	0.17	0.15	0.83	down	0.001916633
217317_s_at	AB002391	MN7	similar to KIAA0393 protein	1.09	0.4	0.37	1.31	0.34	0.26	0.83	down	0.005964279
202731_at	NM_014456	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor) /// programmed cell death 4 (neoplastic transformation inhibitor)	0.92	0.21	0.23	1.11	0.18	0.16	0.83	down	0.032073358
201164_s_at	BG474429	PUM1	pumilio homolog 1 (Drosophila)	0.97	0.23	0.23	1.17	0.24	0.21	0.83	down	0.028380669
226156_at	BE866854	AKT2	v-akt murine thymoma viral oncogene homolog 2	0.9	0.27	0.3	1.08	0.19	0.18	0.83	down	0.021984286
230097_at	AI207338	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	1.07	0.36	0.34	1.28	0.36	0.28	0.83	down	0.008160128
235508_at	AW291023		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only	1.02	0.27	0.26	1.23	0.26	0.21	0.83	down	0.015718787
213347_x_at	AW132023	RPS4X	ribosomal protein S4, X-linked	0.98	0.21	0.22	1.18	0.18	0.15	0.83	down	0.002534309
203723_at	NM_002221	ITPKB	inositol 1,4,5-trisphosphate 3-kinase B /// inositol 1,4,5-trisphosphate 3-kinase B	0.99	0.35	0.35	1.19	0.2	0.17	0.84	down	0.018018373
225656_at	AI564473	EFHC1	EF-hand domain (C-terminal) containing 1	0.96	0.25	0.26	1.15	0.19	0.17	0.84	down	0.008807338
225204_at	AA521311	TA-PP2C	T-cell activation protein phosphatase 2C	0.99	0.3	0.3	1.18	0.17	0.15	0.84	down	0.005067366
213588_x_at	AA838274	RPL14	ribosomal protein L14	1.04	0.28	0.27	1.24	0.24	0.19	0.84	down	0.011024637
201591_s_at	NM_007184	NISCH	nischarin /// nischarin	0.97	0.2	0.21	1.16	0.26	0.23	0.84	down	0.043092809
227122_at	AI807498		Transcribed sequence with moderate similarity to protein sp:P39191 (H.sapiens) ALU4_HUMAN Alu subfamily SB2 sequence contamination warning entry	0.98	0.14	0.14	1.16	0.19	0.17	0.84	down	0.007553592
214731_at	AB037854	DKFZp547A023	hypothetical protein DKFZp547A023	0.98	0.16	0.16	1.16	0.24	0.21	0.84	down	0.006985679
238549_at	AI420611	CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	1.02	0.29	0.29	1.21	0.27	0.23	0.85	down	0.011846416
202510_s_at	NM_006291	TNFAIP2	tumor necrosis factor, alpha-induced protein 2 /// tumor necrosis factor, alpha-induced protein 2	0.94	0.24	0.25	1.11	0.18	0.16	0.85	down	0.020589577
201685_s_at	NM_014828	C14orf92	chromosome 14 open reading frame 92	0.96	0.22	0.23	1.13	0.24	0.21	0.85	down	0.034071627
239243_at	AA279654	NP_220	NP220 nuclear protein	1.05	0.36	0.35	1.24	0.34	0.28	0.85	down	0.012730241
40446_at	4884570_RC		PHD finger protein 1	0.95	0.2	0.21	1.12	0.14	0.13	0.85	down	0.003614061
222544_s_at	AI697751	WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1	1.02	0.33	0.32	1.2	0.3	0.25	0.85	down	0.028361428
219155_at	NM_012417	PITPNC1	phosphatidylinositol transfer protein, cytoplasmic 1 /// phosphatidylinositol transfer protein, cytoplasmic 1	1.01	0.29	0.29	1.19	0.2	0.17	0.85	down	0.004658583
233248_at	AK022028		CDNA FLJ11966 fis, clone HEMBB1001114	1.03	0.29	0.28	1.21	0.24	0.2	0.85	down	0.008807338
235786_at	AI806781		Transcribed sequences	1.01	0.37	0.37	1.19	0.23	0.19	0.85	down	0.043092809
1559467_at	BI520422		CDNA FLJ36734 fis, clone UTERU2012890	1.02	0.21	0.21	1.19	0.3	0.25	0.85	down	0.020589577
243249_at	AL040360		Transcribed sequence with moderate similarity to protein sp:P39193 (H.sapiens) ALU6_HUMAN Alu subfamily SP sequence contamination warning entry	0.98	0.23	0.23	1.15	0.17	0.15	0.85	down	0.006992892
208929_x_at	BC004954	RPL13	ribosomal protein L13	0.95	0.18	0.19	1.11	0.11	0.1	0.85	down	0.001742896
201154_x_at	NM_000968	RPL4	ribosomal protein L4	0.96	0.21	0.21	1.13	0.2	0.18	0.86	down	0.030171071
212933_x_at	AA961748	RPL13	ribosomal protein L13	0.97	0.23	0.23	1.13	0.21	0.18	0.86	down	0.036191734
226692_at	AI092931	SERF2	small EDRK-rich factor 2	0.96	0.13	0.14	1.13	0.12	0.1	0.86	down	0.002309612
211073_x_at	BC006483	RPL3	ribosomal protein L3 /// ribosomal protein L3	0.94	0.2	0.22	1.1	0.11	0.1	0.86	down	0.003308497
202561_at	AF070613	TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase /// tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	0.98	0.2	0.2	1.14	0.17	0.15	0.86	down	0.014663846
202579_x_at	NM_006353	HMGN4	high mobility group nucleosomal binding domain 4	0.94	0.19	0.2	1.1	0.19	0.17	0.86	down	0.038369689
231907_at	AK025877		v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	0.99	0.17	0.17	1.15	0.15	0.13	0.86	down	0.001301052
202466_at	NM_006999	POLS	polymerase (DNA directed) sigma /// polymerase (DNA directed) sigma	1.02	0.21	0.21	1.18	0.22	0.18	0.86	down	0.010232337
235292_at	BE875232	na	CDNA FLJ32255 fis, clone PROST1000226	1.08	0.31	0.29	1.26	0.25	0.2	0.86	down	0.005964279
214771_x_at	AK025604	RHOIP3	myosin phosphatase-Rho interacting protein	0.98	0.21	0.21	1.14	0.23	0.2	0.86	down	0.016836046
225157_at	AW245631	MONDOA	Transcribed sequence with weak  similarity to protein sp:P39189 (H.sapiens) ALU2_HUMAN Alu subfamily SB sequence contamination warning entry	0.98	0.2	0.21	1.14	0.26	0.23	0.86	down	0.032094185
211710_x_at	BC005817	RPL4	ribosomal protein L4 /// ribosomal protein L4	0.99	0.22	0.22	1.14	0.18	0.15	0.86	down	0.025024684
200809_x_at	NM_000976	RPL12	ribosomal protein L12 /// ribosomal protein L12	1	0.2	0.2	1.16	0.19	0.17	0.87	down	0.006985679
200095_x_at	AA320764	RPS10	ribosomal protein S10 /// ribosomal protein S10	0.96	0.16	0.17	1.11	0.12	0.11	0.87	down	0.004283246
200674_s_at	NM_000994	RPL32	ribosomal protein L32 /// ribosomal protein L32	0.99	0.21	0.21	1.15	0.14	0.12	0.87	down	0.005957871
235513_at	AW131450		Transcribed sequence with moderate similarity to protein sp:P39192 (H.sapiens) ALU5_HUMAN Alu subfamily SC sequence contamination warning entry	1.02	0.3	0.3	1.18	0.26	0.22	0.87	down	0.045648446
222380_s_at	AI907083		programmed cell death 6	1.08	0.27	0.25	1.25	0.35	0.28	0.87	down	0.045622534
209058_at	AB002282	EDF1	endothelial differentiation-related factor 1 /// endothelial differentiation-related factor 1	0.99	0.18	0.18	1.14	0.23	0.2	0.87	down	0.030171071
204096_s_at	AL136771	DKFZp434I1916	elongation factor RNA polymerase II /// elongation factor RNA polymerase II	1.14	0.37	0.32	1.32	0.34	0.25	0.87	down	0.015718787
231876_at	AL512757	TRIM56	tripartite motif-containing 56	1.03	0.21	0.2	1.18	0.2	0.17	0.87	down	0.006454409
208913_at	AA868560	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	0.96	0.18	0.19	1.11	0.24	0.21	0.87	down	0.023455726
225740_x_at	AA961420	MDM4	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)	1.03	0.25	0.24	1.19	0.26	0.22	0.87	down	0.02664114
227093_at	AU152298		ubiquitin specific protease 36	1.04	0.26	0.25	1.2	0.23	0.2	0.87	down	0.014663846
230296_at	AU145642	LOC146174	hypothetical protein LOC146174	1.08	0.38	0.35	1.24	0.29	0.23	0.87	down	0.036169262
234050_at	AK025272	TAGAP; FKSG15; FLJ32631; FLJ39771; MGC27381	T-cell activation GTPase activating protein	1	0.4	0.4	1.14	0.21	0.18	0.87	down	0.034071627
211927_x_at	BE963164	EEF1G	eukaryotic translation elongation factor 1 gamma	0.97	0.19	0.2	1.1	0.18	0.16	0.88	down	0.028380669
242646_at	AA702946	CGI-85	CGI-85 protein	0.95	0.21	0.22	1.08	0.13	0.12	0.88	down	0.023455726
212734_x_at	AI186735	RPL13	ribosomal protein L13	0.94	0.16	0.17	1.07	0.09	0.08	0.88	down	0.006454409
218154_at	NM_024736	FLJ12150	gasdermin domain containing 1	0.98	0.21	0.21	1.12	0.12	0.11	0.88	down	0.006454409
220712_at	NM_024984		Transcribed sequence with moderate similarity to protein sp:P39188 (H.sapiens) ALU1_HUMAN Alu subfamily J sequence contamination warning entry	1.04	0.25	0.24	1.19	0.27	0.22	0.88	down	0.038369689
229141_at	AW275379		WD repeat domain 33	1.08	0.34	0.32	1.22	0.36	0.3	0.88	down	0.045648446
229871_at	W74622	na	hypothetical protein FLJ10211	0.98	0.26	0.27	1.11	0.1	0.09	0.88	down	0.005957871
201665_x_at	NM_001021	RPS17	ribosomal protein S17 /// ribosomal protein S17	0.99	0.15	0.15	1.12	0.17	0.15	0.88	down	0.008160128
200819_s_at	NM_001018	RPS15	ribosomal protein S15 /// ribosomal protein S15	0.97	0.16	0.17	1.1	0.13	0.12	0.88	down	0.006454409
232931_at	AK021583	U5-200KD	U5 snRNP-specific protein, 200-KD	1.11	0.34	0.31	1.26	0.21	0.17	0.88	down	0.011846416
200909_s_at	NM_001004	RPLP2	ribosomal protein, large P2 /// ribosomal protein, large P2	1.01	0.2	0.2	1.15	0.17	0.15	0.88	down	0.006985679
233274_at	AU145144		CDNA FLJ11615 fis, clone HEMBA1004024	1.06	0.28	0.27	1.2	0.27	0.22	0.88	down	0.030171071
204633_s_at	AF074393	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	1.04	0.32	0.31	1.17	0.16	0.14	0.88	down	0.02664114
233358_at	AK024373	FLJ14311	hypothetical gene FLJ14311	0.96	0.19	0.2	1.09	0.13	0.12	0.88	down	0.005494224
236379_at	AW771958		Transcribed sequence with moderate similarity to protein sp:P39191 (H.sapiens) ALU4_HUMAN Alu subfamily SB2 sequence contamination warning entry	1.04	0.38	0.36	1.18	0.16	0.14	0.88	down	0.013668535
201748_s_at	NM_002967	SAFB	scaffold attachment factor B /// scaffold attachment factor B	0.94	0.19	0.2	1.06	0.18	0.17	0.88	down	0.048269105
238295_at	N22706	FLJ22729	hypothetical protein FLJ22729	1.07	0.3	0.28	1.2	0.29	0.24	0.89	down	0.038369689
212050_at	AK026913	WIRE	WIRE protein	1.02	0.27	0.26	1.15	0.19	0.17	0.89	down	0.023455726
200933_x_at	NM_001007	RPS4X	ribosomal protein S4, X-linked /// ribosomal protein S4, X-linked	1.03	0.17	0.16	1.16	0.16	0.14	0.89	down	0.004658583
81811_at	4830372_RC		programmed cell death 6	0.96	0.24	0.25	1.08	0.14	0.13	0.89	down	0.036169262
225383_at	BF793625	ZNF275	zinc finger protein 275	1.02	0.27	0.27	1.15	0.17	0.15	0.89	down	0.025024684
212329_at	D83782	SCAP	SREBP CLEAVAGE-ACTIVATING PROTEIN	1.06	0.24	0.22	1.19	0.24	0.2	0.89	down	0.048269105
203385_at	NM_001345	DGKA	diacylglycerol kinase, alpha 80kDa /// diacylglycerol kinase, alpha 80kDa	0.98	0.25	0.26	1.1	0.19	0.18	0.89	down	0.036191734
214085_x_at	AI912583	HRB2	GLI pathogenesis-related 1 (glioma)	1.03	0.24	0.24	1.16	0.21	0.18	0.89	down	0.034071627
228173_at	AA810695	GNAS	GNAS complex locus	1.09	0.34	0.31	1.22	0.2	0.17	0.89	down	0.005061696
214833_at	AB007958	KIAA0792	KIAA0792 gene product	1.02	0.27	0.27	1.15	0.2	0.18	0.89	down	0.011846416
211487_x_at	BC004886		---	0.97	0.17	0.18	1.09	0.16	0.15	0.89	down	0.009506378
211975_at	BE299671		zinc finger protein 289, ID1 regulated	0.98	0.17	0.17	1.1	0.13	0.12	0.89	down	0.012741388
202031_s_at	NM_015610	DKFZP434J154	DKFZP434J154 protein	1.01	0.17	0.17	1.13	0.22	0.19	0.89	down	0.038369689
217659_at	AA457019		Transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry	0.94	0.29	0.31	1.05	0.17	0.16	0.89	down	0.034071627
223980_s_at	AF280095	SP110	SP110 nuclear body protein	1.03	0.23	0.22	1.15	0.2	0.18	0.89	down	0.015718787
213034_at	AB023216	KIAA0999	KIAA0999 protein	0.95	0.19	0.2	1.07	0.16	0.15	0.89	down	0.028380669
222244_s_at	AK000749	FLJ20618	hypothetical protein FLJ20618	0.97	0.24	0.25	1.08	0.15	0.14	0.9	down	0.043092809
212790_x_at	BF942308	RPL13A	ribosomal protein L13a	0.99	0.17	0.17	1.1	0.11	0.1	0.9	down	0.006992892
218659_at	NM_018263	KIAA1685	additional sex combs like 2 (Drosophila)	1.03	0.27	0.26	1.15	0.21	0.18	0.9	down	0.036191734
238055_at	BG505277	ATP8B1	ATPase, Class I, type 8B, member 1	1.01	0.31	0.3	1.12	0.17	0.15	0.9	down	0.028380669
211345_x_at	AF119850		eukaryotic translation elongation factor 1 gamma	1.02	0.2	0.19	1.13	0.22	0.19	0.9	down	0.040676371
223494_at	AF307332	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	1.07	0.31	0.29	1.19	0.19	0.16	0.9	down	0.015718787
221619_s_at	AF189289	MTCH1	mitochondrial carrier homolog 1 (C. elegans) /// mitochondrial carrier homolog 1 (C. elegans)	0.99	0.16	0.16	1.1	0.16	0.14	0.9	down	0.043092809
208825_x_at	U43701	RPL23A	ribosomal protein L23a /// ribosomal protein L23a	0.96	0.15	0.16	1.06	0.09	0.09	0.9	down	0.030171071
65635_at	4871130_RC		endo-beta-N-acetylglucosaminidase	1.02	0.21	0.2	1.12	0.17	0.15	0.9	down	0.030171071
219350_s_at	NM_019887	SMAC	diablo homolog (Drosophila) /// diablo homolog (Drosophila)	1.02	0.16	0.15	1.13	0.18	0.16	0.91	down	0.045648446
234574_at	AK024563		CDNA: FLJ20910 fis, clone ADSE00492	1.03	0.3	0.29	1.14	0.2	0.18	0.91	down	0.048269105
200019_s_at	NM_001997	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30 /// Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30 /// Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30	1.03	0.15	0.15	1.14	0.19	0.17	0.91	down	0.020589577
225839_at	AW290882	LOC155435	hypothetical protein LOC155435	1.02	0.23	0.23	1.12	0.2	0.18	0.91	down	0.038369689
200725_x_at	NM_006013	RPL10	ribosomal protein L10	0.99	0.2	0.2	1.09	0.13	0.12	0.91	down	0.016836046
213672_at	AA621558	MARS	methionine-tRNA synthetase	1	0.26	0.26	1.1	0.19	0.17	0.91	down	0.048269105
223051_at	AF277178	HSPC182	HSPC182 protein	0.97	0.11	0.11	1.06	0.16	0.15	0.91	down	0.022000545
230761_at	AI972599	USP7	ubiquitin specific protease 7 (herpes virus-associated)	1.04	0.2	0.19	1.14	0.12	0.11	0.91	down	0.008807338
201049_s_at	NM_022551	na	ribosomal protein S18 /// ribosomal protein S18	1.01	0.17	0.17	1.1	0.11	0.1	0.91	down	0.02664114
230733_at	H98113		Transcribed sequences	0.99	0.16	0.16	1.08	0.17	0.15	0.92	down	0.038369689
206567_s_at	NM_016436	C20orf104	chromosome 20 open reading frame 104 /// chromosome 20 open reading frame 104	1.03	0.2	0.2	1.12	0.16	0.14	0.92	down	0.036169262
202029_x_at	NM_000999	RPL38	ribosomal protein L38	1.02	0.17	0.17	1.11	0.14	0.13	0.92	down	0.043092809
229434_at	AA865357		Transcribed sequence with weak  similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry	1.05	0.29	0.28	1.14	0.16	0.14	0.92	down	0.019268589
208692_at	U14990	RPS3	ribosomal protein S3 /// ribosomal protein S3	1.03	0.23	0.22	1.11	0.19	0.17	0.92	down	0.036191734
229563_s_at	BG231561	RPL10A	ribosomal protein L10a	1.01	0.19	0.19	1.09	0.13	0.11	0.92	down	0.043092809
1557562_at	AI984118		---	1.04	0.25	0.24	1.13	0.18	0.16	0.92	down	0.02664114
210646_x_at	BC001675	RPL13A	ribosomal protein L13a	0.99	0.15	0.15	1.08	0.1	0.09	0.92	down	0.013668535
213666_at	AK026589	6-Sep	septin 6	1.04	0.33	0.32	1.13	0.15	0.13	0.92	down	0.022000545
232145_at	AU147777		CDNA FLJ42818 fis, clone BRCAN2015371	1.06	0.17	0.16	1.15	0.18	0.16	0.92	down	0.019283461
240155_x_at	AI122756	LOC115648	similar to hypothetical protein FLJ13659	1.09	0.31	0.28	1.18	0.22	0.19	0.92	down	0.023455726
225135_at	AI433017	SIN3A	SIN3 homolog A, transcriptional regulator (yeast)	1.02	0.22	0.22	1.1	0.17	0.15	0.93	down	0.034071627
242946_at	AW293276	CD53	CD53 antigen	1.16	0.37	0.32	1.26	0.24	0.19	0.93	down	0.030171071
200716_x_at	NM_012423	RPL13A	ribosomal protein L13a /// ribosomal protein L13a	1	0.2	0.2	1.08	0.12	0.11	0.93	down	0.045622534
220704_at	NM_018563	ZNFN1A1	zinc finger protein, subfamily 1A, 1 (Ikaros)	1.05	0.27	0.25	1.12	0.2	0.18	0.93	down	0.048269105
242837_at	AI435248		Transcribed sequence with weak  similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry	1.04	0.19	0.19	1.11	0.13	0.11	0.93	down	0.01467616
1565651_at	BI868311		CDNA FLJ33210 fis, clone ADRGL2008535	1.01	0.2	0.2	1.08	0.1	0.09	0.94	down	0.013668535
210162_s_at	U08015	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1 /// nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	0.98	0.25	0.25	1.05	0.07	0.07	0.94	down	0.025006967
202157_s_at	U69546	CUGBP2	CUG triplet repeat, RNA binding protein 2 /// CUG triplet repeat, RNA binding protein 2	1.02	0.18	0.18	1.09	0.12	0.11	0.94	down	0.048269105
200997_at	NM_002896	RBM4	RNA binding motif protein 4 /// RNA binding motif protein 4	1.03	0.22	0.21	1.1	0.14	0.13	0.94	down	0.036169262
234969_s_at	AK024117		enhancer of polycomb homolog 1 (Drosophila)	1.06	0.24	0.23	1.13	0.14	0.12	0.94	down	0.036191734
232583_at	AW136457		CDNA FLJ11435 fis, clone HEMBA1001208	1.16	0.45	0.39	1.23	0.24	0.2	0.94	down	0.010232337
232455_x_at	AU145408	LOC340085	hypothetical protein LOC340085	1.05	0.27	0.25	1.11	0.12	0.11	0.95	down	0.010232337
1569257_at	BC042925	FMNL	formin-like 1	1.03	0.29	0.28	1.08	0.16	0.15	0.95	down	0.034071627
203568_s_at	NM_006355	TRIM38	tripartite motif-containing 38	1.07	0.36	0.33	1.11	0.19	0.17	0.96	down	0.040700539
200051_at	NM_005146	SART1	squamous cell carcinoma antigen recognised by T cells /// squamous cell carcinoma antigen recognised by T cells /// squamous cell carcinoma antigen recognised by T cells	1.08	0.25	0.23	1.12	0.11	0.1	0.96	down	0.020589577
1557718_at	AL834350	PPP2R5C	protein phosphatase 2, regulatory subunit B (B56), gamma isoform	1.12	0.49	0.44	1.16	0.21	0.18	0.97	down	0.023455726
235123_at	AI951144		Transcribed sequence with weak  similarity to protein ref:NP_060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens]	1.14	0.43	0.37	1.17	0.19	0.16	0.97	down	0.038369689
