Gene Name	P-value	Common	Genbank	Description
	0.000896	NCE2	NM_080678.1	Homo sapiens NEDD8-conjugating enzyme (NCE2), mRNA.
	0.000895	ERAF	NM_016633.1	Homo sapiens erythroid associated factor (ERAF), mRNA.
	0.000893	SCGF	NM_002975.2	Homo sapiens stem cell growth factor; lymphocyte secreted C-type lectin (SCGF), mRNA.
	0.000889	COL7A1	NM_000094.2	Homo sapiens collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive) (COL7A1), mRNA.
	0.000887	hmm24937	null	Gnomon gene hmm24937 , RefSeq build 34
	0.000886	LOC376836	XM_352422.1	Homo sapiens similar to D-dopachrome tautomerase (Phenylpyruvate tautomerase II) (LOC376836), mRNA.
	0.000883	LOC401163	XM_379294.1	Homo sapiens similar to hypothetical protein DKFZp762K222 (LOC401163), mRNA.
Hs.404306	0.000879		null	Cluster 404306 , UniGene build 163
	0.000878	MGC10120	NM_173809.1	Homo sapiens hypothetical protein MGC10120 (MGC10120), mRNA.
	0.000878	SIAT4B	NM_006927.2	Homo sapiens sialyltransferase 4B (beta-galactoside alpha-2,3-sialyltransferase) (SIAT4B), mRNA.
	0.000873	FLJ32096	NM_173795.2	Homo sapiens hypothetical protein FLJ32096 (FLJ32096), mRNA.
	0.000867	LOC375417	XM_351595.1	Homo sapiens similar to hypothetical protein DKFZp566M1046 (LOC375417), mRNA.
	0.000865	DKFZP547L112	XM_375153.1	Homo sapiens hypothetical protein DKFZp547L112 (DKFZP547L112), mRNA.
	0.000854	UNQ430	NM_205545.1	Homo sapiens RGTR430 (UNQ430), mRNA.
	0.000841	ZNF195	NM_007152.1	Homo sapiens zinc finger protein 195 (ZNF195), mRNA.
	0.000838	MGC45386	NM_198527.1	Homo sapiens Similar to RIKEN cDNA 1110033O09 gene (MGC45386), mRNA.
	0.000821	COP	NM_052889.1	Homo sapiens CARD only protein (COP), mRNA.
	0.000811	BFAR	NM_016561.1	Homo sapiens bifunctional apoptosis regulator (BFAR), mRNA.
	0.000804	hmm20344	null	Gnomon gene hmm20344 , RefSeq build 34
	0.000796	HARC	NM_017913.1	Homo sapiens Hsp90-associating relative of Cdc37 (HARC), mRNA.
	0.000792	ZNF274	NM_016324.2	Homo sapiens zinc finger protein 274 (ZNF274), transcript variant ZNF274b, mRNA.
	0.000787	hmm19634	null	Gnomon gene hmm19634 , RefSeq build 34
	0.000762	IL12RB1	NM_153701.1	Homo sapiens interleukin 12 receptor, beta 1 (IL12RB1), transcript variant 2, mRNA.
	0.000744	PRKRA	NM_003690.3	Homo sapiens protein kinase, interferon-inducible double stranded RNA dependent activator (PRKRA), mRNA.
Hs.210386	0.000723		null	Cluster 210386 , UniGene build 163
	0.000709	PANK2	NM_153637.1	Homo sapiens pantothenate kinase 2 (Hallervorden-Spatz syndrome) (PANK2), transcript variant 6, mRNA.
	0.000674	NDUFV1	NM_007103.2	Homo sapiens NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa (NDUFV1), mRNA.
	0.000668	FLJ36766	NM_182623.1	Homo sapiens hypothetical protein FLJ36766 (FLJ36766), mRNA.
	0.000667	XRN2	NM_012255.2	Homo sapiens 5-3 exoribonuclease 2 (XRN2), mRNA.
	0.000658	STAG2	NM_006603.3	Homo sapiens stromal antigen 2 (STAG2), mRNA.
	0.000656	ARHT1	NM_018307.2	Homo sapiens ras homolog gene family, member T1 (ARHT1), mRNA.
Hs.372494	0.000655		null	Cluster 372494 , UniGene build 163
	0.000648	hmm26891	null	Gnomon gene hmm26891 , RefSeq build 34
	0.000643	ID4	NM_001546.2	Homo sapiens inhibitor of DNA binding 4, dominant negative helix-loop-helix protein (ID4), mRNA.
Hs.464699	0.000634		null	Cluster 464699 , UniGene build 163
	0.000634	SCYL1	NM_020680.2	Homo sapiens SCY1-like 1 (S. cerevisiae) (SCYL1), mRNA.
	0.000627	LOC391353	XM_372917.1	Homo sapiens similar to Cerebellar-degeneration-related antigen 1 (CDR34) (LOC391353), mRNA.
	0.000621	RPA1	NM_002945.2	Homo sapiens replication protein A1, 70kDa (RPA1), mRNA.
	0.000617	HLA-DMA	NM_006120.2	Homo sapiens major histocompatibility complex, class II, DM alpha (HLA-DMA), mRNA.
	0.000605	C14orf123	NM_014169.2	Homo sapiens chromosome 14 open reading frame 123 (C14orf123), mRNA.
	0.000604	TPM1	NM_000366.4	Homo sapiens tropomyosin 1 (alpha) (TPM1), mRNA.
	0.000602	FLJ10634	NM_018163.1	Homo sapiens hypothetical protein FLJ10634 (FLJ10634), mRNA.
	0.000593	TNFAIP2	NM_006291.2	Homo sapiens tumor necrosis factor, alpha-induced protein 2 (TNFAIP2), mRNA.
	0.00058	GATA5	NM_080473.3	Homo sapiens GATA binding protein 5 (GATA5), mRNA.
	0.000572	C19orf10	NM_019107.1	Homo sapiens chromosome 19 open reading frame 10 (C19orf10), mRNA.
	0.000559	FLJ31614	NM_152573.1	Homo sapiens hypothetical protein FLJ31614 (FLJ31614), mRNA.
	0.000554	SLIC1	NM_153337.1	Homo sapiens selectin ligand interactor cytoplasmic-1 (SLIC1), mRNA.
	0.000549	GALK1	NM_000154.1	Homo sapiens galactokinase 1 (GALK1), mRNA.
	0.000529	LOC376780	XM_352385.1	Homo sapiens similar to dJ1187J4.2 (novel protein similar to rat RYF3) (LOC376780), mRNA.
	0.000509	DNCI2	NM_001378.1	Homo sapiens dynein, cytoplasmic, intermediate polypeptide 2 (DNCI2), mRNA.
	0.000506	LOC388016	XM_373608.1	Homo sapiens LOC400251 (LOC388016), mRNA.
	0.000505	OPA1	NM_130831.1	Homo sapiens optic atrophy 1 (autosomal dominant) (OPA1), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.
	0.000501	CKLFSF7	NM_181472.1	Homo sapiens chemokine-like factor super family 7 (CKLFSF7), transcript variant 2, mRNA.
	0.000495	CKLFSF7	NM_138410.2	Homo sapiens chemokine-like factor super family 7 (CKLFSF7), transcript variant 1, mRNA.
	0.000493	FAM10A4	NM_153290.1	Homo sapiens family with sequence similarity 10, member A4 (FAM10A4), mRNA.
Hs.373948	0.000489		null	Cluster 373948 , UniGene build 163
	0.000484	NDUFS7	NM_024407.3	Homo sapiens NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase) (NDUFS7), mRNA.
	0.000479	DKFZp434K1815	NM_152892.1	Homo sapiens hypothetical protein DKFZp434K1815 (DKFZp434K1815), mRNA.
	0.000473	PEPP-2	NM_032498.1	Homo sapiens PEPP subfamily gene 2 (PEPP-2), mRNA.
Hs.480170	0.000471		null	Cluster 480170 , UniGene build 163
	0.000454	GRPEL1	NM_025196.2	Homo sapiens GrpE-like 1, mitochondrial (E. coli) (GRPEL1), mRNA.
	0.000454	NRF	NM_017544.1	Homo sapiens NF-kappa B-repressing factor (NRF), mRNA.
	0.000452	LOC144363	XM_370685.2	Homo sapiens hypothetical protein LOC144363 (LOC144363), mRNA.
	0.000447	MGC3262	NM_024029.3	Homo sapiens hypothetical protein MGC3262 (MGC3262), mRNA.
	0.000444	hmm20126	null	Gnomon gene hmm20126 , RefSeq build 34
	0.000439	NPR1	NM_000906.2	Homo sapiens natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A) (NPR1), mRNA.
	0.000439	CENPC1	NM_001812.1	Homo sapiens centromere protein C 1 (CENPC1), mRNA.
Hs.462873	0.000437		null	Cluster 462873 , UniGene build 163
	0.000433	C6orf11	NM_005452.4	Homo sapiens chromosome 6 open reading frame 11 (C6orf11), mRNA.
	0.000431	SORT1	NM_002959.3	Homo sapiens sortilin 1 (SORT1), mRNA.
	0.000431	TCFL1	NM_005997.1	Homo sapiens transcription factor-like 1 (TCFL1), mRNA.
	0.000421	AKR1A1	NM_153326.1	Homo sapiens aldo-keto reductase family 1, member A1 (aldehyde reductase) (AKR1A1), transcript variant 2, mRNA.
Hs.485453	0.000418		null	Cluster 485453 , UniGene build 163
	0.00041	HLA-DRB1	NM_002124.1	Homo sapiens major histocompatibility complex, class II, DR beta 1 (HLA-DRB1), mRNA.
	0.000404	POLG2	NM_007215.1	Homo sapiens polymerase (DNA directed), gamma 2, accessory subunit (POLG2), mRNA.
	0.00038	APLP1	NM_005166.2	Homo sapiens amyloid beta (A4) precursor-like protein 1 (APLP1), mRNA.
	0.000376	MAP2K1IP1	NM_021970.2	Homo sapiens mitogen-activated protein kinase kinase 1 interacting protein 1 (MAP2K1IP1), mRNA.
	0.000373	C6orf200	NM_032519.2	Homo sapiens chromosome 6 open reading frame 200 (C6orf200), mRNA.
	0.00037	C20orf106	XM_351371.1	Homo sapiens chromosome 20 open reading frame 106 (C20orf106), mRNA.
	0.000369	ZNF551	NM_138347.2	Homo sapiens zinc finger protein 551 (ZNF551), mRNA.
	0.000365	GPR112	NM_153834.1	Homo sapiens G protein-coupled receptor 112 (GPR112), mRNA.
Hs.464393	0.000361		null	Cluster 464393 , UniGene build 163
	0.000357	MAP3K5	NM_005923.3	Homo sapiens mitogen-activated protein kinase kinase kinase 5 (MAP3K5), mRNA.
	0.000356	FLJ38663	NM_152269.1	Homo sapiens hypothetical protein FLJ38663 (FLJ38663), mRNA.
	0.000355	LOC285812	XM_212055.1	Homo sapiens hypothetical protein LOC285812 (LOC285812), mRNA.
	0.000345	C14orf139	NM_024633.2	Homo sapiens chromosome 14 open reading frame 139 (C14orf139), mRNA.
	0.000329	FLJ20308	NM_017758.2	Homo sapiens hypothetical protein FLJ20308 (FLJ20308), mRNA.
	0.000328	MGC15677	NM_032878.2	Homo sapiens hypothetical protein MGC15677 (MGC15677), transcript variant 2, mRNA.
	0.000308	hmm28672	null	Gnomon gene hmm28672 , RefSeq build 34
	0.000305	LOC348262	XM_371098.2	Homo sapiens hypothetical protein LOC348262 (LOC348262), mRNA.
	0.000304	ARHGAP15	NM_018460.2	Homo sapiens Rho GTPase activating protein 15 (ARHGAP15), mRNA.
	0.000302	LOC400930	XM_376019.1	Homo sapiens similar to hypothetical protein (LOC400930), mRNA.
	0.000302	LOC375811	XM_353506.1	Homo sapiens LOC375811 (LOC375811), mRNA.
	0.000299	MRPL37	NM_016491.2	Homo sapiens mitochondrial ribosomal protein L37 (MRPL37), nuclear gene encoding mitochondrial protein, mRNA.
Hs.478809	0.000294		null	Cluster 478809 , UniGene build 163
	0.000293	RGS20	NM_003702.2	Homo sapiens regulator of G-protein signalling 20 (RGS20), mRNA.
	0.000289	MBTD1	NM_017643.1	Homo sapiens mbt domain containing 1 (MBTD1), mRNA.
	0.000285	NEDD5	NM_004404.2	Homo sapiens neural precursor cell expressed, developmentally down-regulated 5 (NEDD5), mRNA.
	0.000281	PHKB	NM_000293.1	Homo sapiens phosphorylase kinase, beta (PHKB), mRNA.
	0.000276	hmm32567	null	Gnomon gene hmm32567 , RefSeq build 34
	0.000275	FLJ30999	NM_152461.1	Homo sapiens hypothetical protein FLJ30999 (FLJ30999), mRNA.
	0.000271	KIDINS220	XM_291015.2	Homo sapiens likely homolog of rat kinase D-interacting substance of 220 kDa (KIDINS220), mRNA.
	0.000267	FGG	NM_000509.3	Homo sapiens fibrinogen, gamma polypeptide (FGG), transcript variant gamma-A, mRNA.
	0.000259	MGC14425	NM_032903.2	Homo sapiens hypothetical protein MGC14425 (MGC14425), mRNA.
	0.000259	ZXDA	NM_007156.2	Homo sapiens zinc finger, X-linked, duplicated A (ZXDA), mRNA.
	0.000257	hmm26588	null	Gnomon gene hmm26588 , RefSeq build 34
	0.000256	GPR2	NM_016602.1	Homo sapiens G protein-coupled receptor 2 (GPR2), mRNA.
	0.000245	MGC15619	NM_032369.1	Homo sapiens hypothetical protein MGC15619 (MGC15619), mRNA.
	0.000238	TSSC4	NM_005706.2	Homo sapiens tumor suppressing subtransferable candidate 4 (TSSC4), mRNA.
	0.000238	IVNS1ABP	NM_006469.2	Homo sapiens influenza virus NS1A binding protein (IVNS1ABP), mRNA.
	0.000236	UCN3	NM_053049.2	Homo sapiens urocortin 3 (stresscopin) (UCN3), mRNA.
	0.000231	PIK3CD	NM_005026.2	Homo sapiens phosphoinositide-3-kinase, catalytic, delta polypeptide (PIK3CD), mRNA.
	0.000227	LOC57168	NM_020437.3	Homo sapiens similar to aspartate beta hydroxylase (ASPH) (LOC57168), mRNA.
	0.000226	hmm20254	null	Gnomon gene hmm20254 , RefSeq build 34
	0.000222	SMYD2	NM_020197.1	Homo sapiens SET and MYND domain containing 2 (SMYD2), mRNA.
	0.000221	RAD21	NM_006265.1	Homo sapiens RAD21 homolog (S. pombe) (RAD21), mRNA.
	0.000212	VAMP8	NM_003761.2	Homo sapiens vesicle-associated membrane protein 8 (endobrevin) (VAMP8), mRNA.
	0.000212	BCL2L2	NM_004050.2	Homo sapiens BCL2-like 2 (BCL2L2), mRNA.
	0.000206	FLJ13236	NM_024902.2	Homo sapiens hypothetical protein FLJ13236 (FLJ13236), mRNA.
	0.000201	LOC286523	XM_212332.1	Homo sapiens LOC286523 (LOC286523), mRNA.
	0.000197	MGC29784	NM_173659.1	Homo sapiens hypothetical protein MGC29784 (MGC29784), mRNA.
	0.00019	FUSIP1	NM_054016.1	Homo sapiens FUS interacting protein (serine-arginine rich) 1 (FUSIP1), transcript variant 2, mRNA.
	0.000174	KIAA0562	NM_014704.1	Homo sapiens glycine-, glutamate-, thienylcyclohexylpiperidine-binding protein (KIAA0562), mRNA.
	0.00017	KIAA0409	NM_015324.2	Homo sapiens KIAA0409 protein (KIAA0409), mRNA.
	0.000167	GPR10	NM_004248.1	Homo sapiens G protein-coupled receptor 10 (GPR10), mRNA.
	0.000162	XRCC4	NM_003401.2	Homo sapiens X-ray repair complementing defective repair in Chinese hamster cells 4 (XRCC4), transcript variant 1, mRNA.
	0.000157	hmm28136	null	Gnomon gene hmm28136 , RefSeq build 34
	0.00015	SEZ6L	NM_021115.2	Homo sapiens seizure related 6 homolog (mouse)-like (SEZ6L), mRNA.
	0.000148	DXS9928E	NM_004699.1	Homo sapiens DNA segment on chromosome X (unique) 9928 expressed sequence (DXS9928E), mRNA.
	0.000146	HSGT1	NM_007265.1	Homo sapiens suppressor of S. cerevisiae gcr2 (HSGT1), mRNA.
	0.000142	HSPC182	NM_014188.1	Homo sapiens HSPC182 protein (HSPC182), mRNA.
	0.00014	FLJ23235	NM_024943.1	Homo sapiens hypothetical protein FLJ23235 (FLJ23235), mRNA.
	0.000139	RASA4	NM_006989.3	Homo sapiens RAS p21 protein activator 4 (RASA4), mRNA.
	0.000137	FLJ13614	NM_139076.1	Homo sapiens hypothetical protein FLJ13614 (FLJ13614), mRNA.
	0.000137	hmm25629	null	Gnomon gene hmm25629 , RefSeq build 34
	0.000127	C14orf9	NM_144568.1	Homo sapiens chromosome 14 open reading frame 9 (C14orf9), mRNA.
	0.00012	LDHA	NM_005566.1	Homo sapiens lactate dehydrogenase A (LDHA), mRNA.
	0.000101	hmm21799	null	Gnomon gene hmm21799 , RefSeq build 34
Hs.253280	0.0001		null	Cluster 253280 , UniGene build 163
	9.96E-05	BSPRY	NM_017688.1	Homo sapiens B-box and SPRY domain containing (BSPRY), mRNA.
Hs.485087	9.65E-05		null	Cluster 485087 , UniGene build 163
	9.31E-05	SPINT1	NM_003710.2	Homo sapiens serine protease inhibitor, Kunitz type 1 (SPINT1), transcript variant 2, mRNA.
Hs.474368	9.27E-05		null	Cluster 474368 , UniGene build 163
	8.95E-05	NONO	NM_007363.3	Homo sapiens non-POU domain containing, octamer-binding (NONO), mRNA.
	8.94E-05	FLJ11286	NM_018381.1	Homo sapiens hypothetical protein FLJ11286 (FLJ11286), mRNA.
	8.57E-05	FLJ36166	NM_182634.1	Homo sapiens hypothetical protein FLJ36166 (FLJ36166), mRNA.
	8.41E-05	TOMM20	NM_014765.1	Homo sapiens translocase of outer mitochondrial membrane 20 homolog (yeast) (TOMM20), mRNA.
	7.93E-05	DKFZp762C186	XM_170658.1	Homo sapiens tangerin (DKFZp762C186), mRNA.
	7.22E-05	hmm12269	null	Gnomon gene hmm12269 , RefSeq build 34
	7.07E-05	KIAA1666	XM_351388.1	Homo sapiens KIAA1666 protein (KIAA1666), mRNA.
	6.63E-05	LOC286215	XM_212228.1	Homo sapiens LOC286215 (LOC286215), mRNA.
Hs.514274	5.85E-05		null	Cluster 514274 , UniGene build 163
	5.53E-05	CINP	NM_032630.2	Homo sapiens cyclin-dependent kinase 2-interacting protein (CINP), mRNA.
	5.25E-05	HELIC1	NM_006828.1	Homo sapiens helicase, ATP binding 1 (HELIC1), mRNA.
	5.23E-05	C19orf24	NM_017914.2	Homo sapiens chromosome 19 open reading frame 24 (C19orf24), mRNA.
	4.73E-05	COG7	NM_153603.1	Homo sapiens component of oligomeric golgi complex 7 (COG7), mRNA.
	4.66E-05	MRPS12	NM_033363.1	Homo sapiens mitochondrial ribosomal protein S12 (MRPS12), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA.
	4.62E-05	hmm28547	null	Gnomon gene hmm28547 , RefSeq build 34
	4.54E-05	MPHOSPH9	NM_022782.2	Homo sapiens M-phase phosphoprotein 9 (MPHOSPH9), mRNA.
	4.53E-05	LOC283597	XM_208748.1	Homo sapiens similar to hypothetical protein (LOC283597), mRNA.
	4.18E-05	LOC90495	XM_032166.2	Homo sapiens LOC90495 (LOC90495), mRNA.
	3.37E-05	TAF6L	NM_006473.2	Homo sapiens TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa (TAF6L), mRNA.
	3.30E-05	CROC4	NM_006365.1	Homo sapiens transcriptional activator of the c-fos promoter (CROC4), mRNA.
Hs.128020	3.30E-05		null	Cluster 128020 , UniGene build 163
	3.03E-05	hmm32034	null	Gnomon gene hmm32034 , RefSeq build 34
	2.87E-05	NCBP2	NM_007362.2	Homo sapiens nuclear cap binding protein subunit 2, 20kDa (NCBP2), mRNA.
	2.20E-05	SCAMP3	NM_052837.1	Homo sapiens secretory carrier membrane protein 3 (SCAMP3), transcript variant 2, mRNA.
Hs.416112	2.11E-05		null	Cluster 416112 , UniGene build 163
	2.06E-05	hmm33356	null	Gnomon gene hmm33356 , RefSeq build 34
Hs.385886	1.13E-05		null	Cluster 385886 , UniGene build 163
	1.01E-05	FMO1	NM_002021.1	Homo sapiens flavin containing monooxygenase 1 (FMO1), mRNA.
Hs.314246	8.44E-06		null	Cluster 314246 , UniGene build 163
	6.06E-06	SRP	NM_033199.2	Homo sapiens stresscopin-related peptide (SRP), mRNA.
	5.63E-06	TDE2	NM_020755.2	Homo sapiens tumor differentially expressed 2 (TDE2), mRNA.
	5.04E-06	SIL1	NM_022464.3	Homo sapiens endoplasmic reticulum chaperone SIL1, homolog of yeast (SIL1), mRNA.
	2.80E-06	C17orf35	NM_003876.1	Homo sapiens chromosome 17 open reading frame 35 (C17orf35), mRNA.
	2.13E-06	WRB	NM_004627.2	Homo sapiens tryptophan rich basic protein (WRB), mRNA.
	8.49E-07	PSMB7	NM_002799.2	Homo sapiens proteasome (prosome, macropain) subunit, beta type, 7 (PSMB7), mRNA.
	3.27E-07	ATP6V0B	NM_004047.2	Homo sapiens ATPase, H+ transporting, lysosomal 21kDa, V0 subunit c (ATP6V0B), mRNA.
	9.77E-08	LOC113655	NM_138431.1	Homo sapiens hypothetical protein BC011982 (LOC113655), mRNA.
	1.15E-08	CDK5	NM_004935.2	Homo sapiens cyclin-dependent kinase 5 (CDK5), mRNA.
