Affymetrix ID	Symbol	Description	cluster
102154_f_at	---	Anti-PC rearranged Ig kappa chain V-J region mRNA, hybridoma 31-23-1, partial cds.	6
102372_at	Igj	immunoglobulin joining chain	6
102708_at	Btn1a1	butyrophilin, subfamily 1, member A1	6
102793_at	Krtap8-1	keratin associated protein 8-1	6
104597_at	Gbp2	guanylate nucleotide binding protein 2	6
161968_f_at	Ccr5	chemokine (C-C motif) receptor 5	6
92858_at	Slpi	secretory leukocyte protease inhibitor	6
93085_at	Psmb9	proteosome (prosome, macropain) subunit, beta type 9 (large multifunctional protease 2)	6
93927_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	6
95974_at	Gbp1	guanylate nucleotide binding protein 1	6
96764_at	AW11192 2	expressed sequence AW111922	6
96963_s_at	---	Anti-PC rearranged Ig kappa chain V-J region mRNA, hybridoma 31-23-1, partial cds.	6
96973_f_at	AI324046	expressed sequence AI324046	6
96974_at	---	Recombinant antineuraminidase single chain Ig VH and VL domains (LOC56304), mRNA	6
97008_f_at	---	---	6
97563_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	6
97574_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	6
97575_f_at	Igh-VJ558	immunoglobulin heavy chain (J558 family)	6
97576_f_at	AI324046	expressed sequence AI324046	6
98765_f_at	---	Clone L2MZB-5.6 immunoglobulin heavy chain variable region mRNA, partial cds	6
99405_at	---	Igkappa gene for immunoglobulin kappa chain, partial cds, strain:BDF1.	6
