Up in M	Gene Name	Gene Symbol	p53mA	p53mB	p53hetA	p53hetB	Mean Diff
1435193_at	RIKEN cDNA A230050P20 gene	A230050P20Rik	7.41	7.96	6.79	6.39	1.10
1435324_x_at	high mobility group box 1	Hmgb1	12.19	12.09	11.28	10.68	1.16
1435369_at	NA	C78212	8.09	8.34	7.36	6.93	1.07
1435376_at	DDHD domain containing 2	Ddhd2	9.43	9.66	8.33	8.67	1.05
1435414_s_at	growth factor receptor bound protein 2	Grb2	10.18	10.00	8.93	8.83	1.21
1435524_at	RIKEN cDNA 2010109N14 gene	2010109N14Rik	13.26	13.30	12.17	12.27	1.06
1435634_at	RIKEN cDNA A030012M09 gene	A030012M09Rik	8.07	8.99	6.63	6.61	1.91
1435998_at	gene model 288, (NCBI)	Gm288	4.77	3.72	2.59	2.63	1.63
1436149_at	cytochrome c oxidase, subunit Vb	Cox5b	8.97	8.81	7.03	7.56	1.60
1436343_at	chromodomain helicase DNA binding protein 4	Chd4	10.02	10.30	8.79	7.15	2.19
1436505_at	peptidyl-prolyl isomerase G (cyclophilin G)	Ppig	7.96	8.50	6.92	6.63	1.46
1436522_at	RIKEN cDNA 0610025L06 gene	0610025L06Rik	5.45	5.97	4.39	4.39	1.32
1436567_a_at	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (B14.5a)	Ndufa7	4.81	4.73	3.33	4.01	1.10
1436746_at	protein kinase, lysine deficient 1	Prkwnk1	9.42	9.92	8.46	8.67	1.11
1436872_at	transforming, acidic coiled-coil containing protein 3	Tacc3	8.83	8.77	7.38	8.12	1.05
1436898_at	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	Sfpq	11.81	12.37	10.81	11.18	1.09
1437082_at	A kinase (PRKA) anchor protein (yotiao) 9	Akap9	10.00	9.70	8.82	8.75	1.06
1437205_at	DNA segment, Chr 8, ERATO Doi 325, expressed	D8Ertd325e	9.20	9.39	8.29	8.29	1.00
1437210_a_at	bromodomain containing 2	Brd2	10.48	10.52	9.37	8.09	1.77
1437564_at	polymerase (DNA directed), gamma	Polg	5.34	5.82	4.24	4.60	1.16
1437696_at	cDNA sequence BC049807	BC049807	7.97	8.39	7.09	6.62	1.32
1437716_x_at	kinesin family member 22	Kif22	10.25	9.98	9.15	8.76	1.16
1437958_at	xenotropic and polytropic retrovirus receptor 1	Xpr1	9.32	8.73	7.99	7.78	1.14
1438009_at	histone 1, H2ae	Hist1h2ae	6.67	6.60	4.83	3.64	2.40
1438034_at	RIKEN cDNA 2410005O16 gene	2410005O16Rik	8.98	8.83	7.96	7.77	1.04
1438176_x_at	RIKEN cDNA 1110031B06 gene	1110031B06Rik	9.83	9.96	8.61	8.87	1.15
1438390_s_at	pituitary tumor-transforming 1	Pttg1	12.19	12.18	10.15	9.40	2.41
1438403_s_at	receptor (calcitonin) activity modifying protein 2	Ramp2	12.66	12.53	11.39	10.55	1.63
1438418_at	RIKEN cDNA 4932432K03 gene	4932432K03Rik	7.50	7.40	6.37	6.15	1.19
1438620_x_at	secreted frizzled-related sequence protein 1	Sfrp1	7.65	6.73	4.33	4.62	2.72
1438736_at	RIKEN cDNA 6330441O12 gene	6330441O12Rik	10.44	10.22	8.61	9.15	1.45
1438755_at	phosphofurin acidic cluster sorting protein 1-like	Pacs1l	4.80	4.27	2.57	3.12	1.69
1438824_at	solute carrier family 20, member 1	Slc20a1	8.84	9.39	5.83	7.03	2.68
1439040_at	centromere protein E	Cenpe	7.37	6.92	5.59	5.55	1.57
1439102_at	fetal Alzheimer antigen	Falz	9.84	9.11	8.32	8.59	1.02
1439111_at	transforming growth factor beta 1 induced transcript 4	Tgfb1i4	7.13	6.85	5.31	4.89	1.89
1439200_x_at	erythroid differentiation regulator 1	MGI:2384747	8.51	8.69	4.71	6.32	3.08
