Accession	Correl	Gene name	Function
N20480	-0.553	HSPC157 proteina	Unknown
AA036956	-0.546	K2+ inwardly-rectifying channel, subfam J, memb 8	Ion transport
R43471	-0.545	Aprataxina	Unknown
AA490390	-0.537	Small acidic protein	Unknown
AA599178	-0.535	Ribosomal protein L27a	Ribosome
W68281	-0.527	MAPKAPK3	Sig. trans/stress
T98796	-0.524	MEF2C (MADS box transc. enhan. fact 2, pep. C)	Transcription
N30161	-0.521	G-carboxyglutamic acid polypeptide 1a	Unknown
AA446819	-0.52	Ornithine aminotransferase (gyrate atrophy)	Amino acid metab.
AA176220	-0.518	Lsm3 protein	RNA processing
AA448285	-0.515	ESTa	Unknown
T61475	-0.514	EST Survival of motor neuron protein interacting prot	Unknown
T95592	-0.513	1a	RNA process/splicing
R92452	-0.506	Ca2+ channel, voltage-dependent, beta 2 subunit	Ion transport
H68845	-0.503	Peroxiredoxin 2a	Redox regulation
R11047	-0.503	ESTa	Unknown
R60995	-0.498	Cochlin	Unknown
R40897	-0.497	3-Oxoacid CoA transferase	Metabolism
AA598561	-0.497	CD164 antigen, sialomucin	Cell adhesion
AA428181	-0.495	Spindlina	C’some seg./repair
R51912	-0.494	Somatostatin	Peptide hormone
AA418524	-0.491	Phospholipase D2	Signal transduction
W56770	-0.49	NY-REN-58 antigena	Unknown
AA489275	-0.49	ATPase, Na+/K+ transporting, beta 3 polypeptide	Ion transport
W72466	-0.487	EST	Unknown
T52894	-0.486	Myosin light chain 1 slow a	Cytoskeleton
AA495846	-0.484	Forkhead-like 7	Transcription
AA629567	-0.482	Heat shock 70-kDa protein 8a	Chaperone
R51818	-0.481	ESTa	Unknown
AA708298	-0.478	ATP5B (ATP synth, H+ transp, mitochon. F1)	Ion transport
W32751	-0.476	ESTa	Unknown
W94106	-0.476	Casein kinase 1, epsilon	Signal transduction
AA034268	-0.474	Glutaredoxin (thioltransferase)a	Redox regulation
AA424566	-0.473	ESTa	Unknown
AA464630	-0.473	Thrombospondin 1a	Blood coagulation
AA936757	-0.472	Heparin-binding growth factor binding protein	Signal transduction
AA663440	-0.472	EST	Unknown
AA669443	-0.471	Eukaryotic translation initiation factor 5a	Protein synthesis
AA428939	-0.47	EST	Unknown
AA455911	-0.47	ABCB1 (MDR/TAP)a	Transport/drug resist.
H94897	-0.468	Glycosyltransferase AD-017a	Unknown
T66840	-0.467	EST	Unknown
AA630784	-0.466	Thyroid hormone receptor interactor 13a	Transcription
AA628430	-0.466	Lsm1 protein	RNA processing
H20652	-0.462	ADP-ribosylation factor-like 6 interacting protein	Unknown
W74133	-0.462	EST	Unknown
W57983	-0.461	Pinin, desmosome associated protein	Cell adhesion
H50886	-0.46	PWP2 periodic tryptophan protein homologa	Signal transduction
H22652	-0.46	Glia maturation factor ß	Signal transduction
T67223	-0.457	ESTa	Unknown
AA486919	-0.456	Ribosomal protein L28	Ribosomal subunit
AA444009	-0.455	Glucosidase alpha	Glycogen catabolism
N30185	-0.454	EST	Unknown
AA670438	-0.453	Ubiquitin COOH-terminal esterase L1	Protein degradation
W63789	-0.447	ESTa	Unknown
R14760	-0.443	Caspase 3, apoptosis-related cysteine protease	Apoptosis
H17612	-0.442	Arginase, type IIa	NO biosynthesis
AA126860	-0.442	Amyloid ß precursor protein-binding protein 1	Signal transduction
AA469950	-0.441	ESTa	Unknown
AA496944	-0.44	EST	Unknown
H58119	-0.439	EST	Unknown
AA455497	-0.439	EST	Unknown
R59722	-0.439	EST	Unknown
H24650	-0.438	Laminin gamma1	Basement membrane
N77514	-0.438	EST	Unknown
N73130	-0.438	MAPK-interacting and spindle-stabilizing proteina	C’some seg/repair
AA504656	-0.436	LTBP1 (latent TGFß-binding protein 1)	Protein binding
R90743	-0.435	MAPK8IP1	Signal transduction
T84139	-0.434	Holocytochrome c synthase	Electron transport
AA449345	-0.433	ESTa	Unknown
H19822	-0.431	Leucyl-tRNA synthetase	Protein synthesis
AA633577	-0.429	Methylenetetrahydrofolate dehydrogenasea	Folate metabolism
W86876	-0.429	EST	Unknown
AA007509	-0.428	Tetratricopeptide repeat domain 3a	Unknown
R22439	-0.426	Transmembrane protein 4a	Membrane associated
AA454597	-0.426	Golgi phosphoprotein 2	Unknown
AA290737	-0.426	Glutathione S-transferase M1	Glutathione conj.
AA173310	-0.425	Like mouse brain protein E46	Unknown
R44546	-0.422	EST	Unknown
AA676797	-0.422	Cyclin F	Cell cycle
AA486305	-0.42	Solute carrier family 25, member 3	Ion transp, mitochond.
R55075	-0.42	MpV17 transgene	Redox
R40970	-0.42	ESTa	Unknown
AA426374	-0.42	Tubulin alpha2a	Cytoskeleton
AA151486	-0.418	Phosphoribosyl pyrophosphate synthetase 2	Nucleic acid metab.
AA490256	-0.415	G protein, alpha inhibiting activity polypeptide 3a	G-protein signaling
N89861	-0.415	Mitochondrial ribosomal protein L42a	Unknown
AA443302	-0.414	ras homolog gene family, member Ea	GTP-binding protein
N46831	-0.414	EST	Unknown
N90630	-0.412	YWHAH (tyr 3-m’ox/tryp 5-m’ox activ. prot. eta)	Protein binding
AA481397	-0.412	Phosphodiesterase 4D, cAMP-specific	Nucleotide metabolism
H39187	-0.407	Cadherin, EGF LAG seven-pass G-type receptor2	Unknown
R19031	-0.406	Cryptochrome 1	Photoreceptor
AA134871	-0.406	Fibulin 1	Extracellular matrix
AA669136	-0.405	Transcription factor 4	Transcription
R87840	-0.405	Intercellular adhesion molecule 5, telencephalin	Cell adhesion
N67822	-0.404	EST	Unknown
AA431885	-0.404	MAP kinase-interacting serine/threonine kinase 1	Signal transduction
AA676705	-0.403	Cell growth regulatory with ring finger domaina	Cell prolif/stress resp.
R39111	-0.403	Early growth response 3a	Transcription
AA479243	-0.401	Autocrine motility factor receptor	Cell motility
T74606	-0.401	TRAM-like protein	Membrane associated
N20335	-0.4	Clathrin, light polypeptide (Lcb)	Vesicle transport
AA045965	-0.4	Ca2+/calmodulin-dependent serine protein kinase	Cell adhesion
AA063624	-0.4	ESTa	Unknown
AA150683	-0.399	ESTa	Unknown
AA169832	-0.399	3-Phosphoadenosine 5-phosphosulfate synth 1a	Nuc. acid metabolism
W69178	-0.398	ESTa	Unknown
R11019	-0.397	Heterogeneous nuclear ribonucleoprotein H1 (H)	RNA processing
T95200	-0.397	KIDDNS220a	Unknown
AA099787	-0.396	Alkylglycerone phosphate synthase	Lipid metabolism
R25825	-0.395	N-Acetylgalactosaminidase alphaa	Unknown
N50745	-0.393	EST	Unknown
H08548	-0.393	ATP citrate lyasea	Metabolism
AA228130	-0.393	PC4 and SFRS1 interacting protein 2a	Unknown
AA293819	-0.391	Nuclear factor of activated T-cells	Transcription
N72307	-0.391	ESY	Unknown
N91584	-0.39	Ribosomal protein S6	Ribosomal subunit
AA047812	-0.389	EST	Unknown
AA004801	-0.389	ESTa	Unknown
AA425853	-0.389	Splicing factor proline/glutamine richa	RNA process/splicing
AA464605	-0.388	Kidney ankyrin repeat-containing protein	Unknown
AA447984	-0.388	ESTa	Unknown
AA454193	-0.388	RING1 and YY1 binding protein	Transcription
AA029312	-0.386	NIMA-related kinase 9a	Unknown
T47813	-0.385	Macrophage stimulating 1	Unknown
AA486402	-0.385	Heterogeneous nuclear ribonucleoprotein Ra	RNA processing
AA460952	-0.385	SIRT1 (sirtuin)a	Transcription
H46487	-0.384	MGAT3	Glycosylation
H89664	-0.382	Amyloid ß (A4) precursor-like protein 2a	Blood coagulation
T67279	-0.381	EST	Unknown
R63918	-0.381	Neuronatina	Ion channels
N90238	-0.381	EST	Unknown
AA488367	-0.381	Host cell factor homolog	Unknown
AA676970	-0.38	EST	Unknown
AA434085	-0.38	Cytoplasmic linker-associated protein 2	Unknown
AA131909	-0.38	ESTa	Unknown
H29513	-0.378	EST	Unknown
W95041	-0.378	HS3ST3B1a	Proteoglycan biosynth.
AA130870	-0.378	Microtubule-associated protein 4	cytoskeleton
AA058711	-0.378	Tripartite motif-containing 45	Unknown
W46420	-0.378	Pecanex homologa	Unknown
AA504858	-0.377	F-box only protein 8	Protein degradation
R22625	-0.376	Cyclin-dependent kinase 7	Cell cycle
AA496691	-0.376	Dystroglycan 1	Cytoskeleton
AA001918	-0.375	ESTa	Unknown
H80749	-0.375	ESTa	Unknown
W15460	-0.373	EST	Unknown
AA448251	-0.373	EST	Unknown
T62131	-0.372	Coagulation factor II (thrombin)a	Blood coagulation
W96114	-0.37	Heterogeneous nuclear ribonucleoprotein H1 (H)	RNA processing
AA187148	-0.369	Core-binding factor, ß subunit	Transcription
AA629923	-0.369	pM5 proteina	Unknown
R01340	-0.369	Ubiquitin-conjugating enzyme E2, J1	Protein degradation
H98534	-0.369	RAB9A, member RAS oncogene family	Protein transport
R02069	-0.368	Heterogeneous nuclear ribonucleoprotein H3a	RNA process/splicing
AA419177	-0.367	SLC7A5 (cationic aa transp, y+ system, memb 5)a	Amino acid transport
AA460968	-0.367	PRKRA	Signal transduction
H09065	-0.367	BRCA1-associated protein-1	Peptidase
AA284268	-0.366	EST	Unknown
R84263	-0.366	Carbamoyl-phosphate synthetase 2a	Pyrimidine pathway
AA017042	-0.365	HIV-1 Tat interactive proteina	Transcription
AA416759	-0.365	Citrate synthasea	Metabolism
N30075	-0.365	ANKHZN protein	Unknown
W19653	-0.364	EST	Unknown
N90109	-0.364	Nucleolina	RNA process/splicing
AA456868	-0.364	Lamin B2	Nuclear lamina
AA454585	-0.363	Splicing factor, arginine/serine-rich 2	RNA process/splicing
AA488447	-0.363	SPTLC1a	Sphingolipid biosynth.
N75595	-0.363	Nuclear transport factor 2	Protein transport
AA448189	-0.362	EST	Unknown
AA406332	-0.361	Sec23 homolog A	Vesicle transport
T85931	-0.361	EST	Unknown
AA457050	-0.361	Treacher Collins-Franceschetti syndrome 1	Nucleocyto. transp
W69669	-0.361	EST	Unknown
AA127515	-0.361	Mitochondrial ribosomal protein S7a	Unknown
