Probe Set	Genbank	Gene name	FC M/T	M	T	% of I	% of D	% of NC	Description
204563_at	NM_000655	SELL	2.68	1.95	0.73	53.85	7.69	38.46	selectin L (lymphocyte adhesion molecule 1)
201356_at	BF129339	SF3A1	1.24	1.14	0.92	53.85	7.69	38.46	splicing factor 3a, subunit 1, 120kDa
213603_s_at	BE138888	RAC2	1.75	1.42	0.81	53.85	7.69	38.46	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
216321_s_at	X03348	NR3C1	1.3	1.05	0.81	53.85	7.69	38.46	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
224840_at	AI753747	FKBP5	1.34	1.02	0.76	53.85	7.69	38.46	FK506 binding protein 5
239006_at	AI758950	SLC26A7	4.25	1.98	0.46	53.85	7.69	38.46	solute carrier family 26, member 7
230078_at	AI640834	RAPGEF6	1.64	1.3	0.79	53.85	3.85	42.31	Rap guanine nucleotide exchange factor (GEF) 6
215785_s_at	AL161999	CYFIP2	1.81	1.37	0.76	53.85	3.85	42.31	cytoplasmic FMR1 interacting protein 2
207655_s_at	NM_013314	BLNK	1.59	1.24	0.78	53.85	0	46.15	B-cell linker
213039_at	AB011093	ARHGEF18	1.54	1.37	0.89	53.85	0	46.15	rho
220987_s_at	NM_030952	SNARK	1.56	1.2	0.77	53.85	0	46.15	likely ortholog of rat SNF1
205671_s_at	NM_002120	HLA-DOB	2.31	1.37	0.59	53.85	0	46.15	major histocompatibility complex, class II, DO beta
212624_s_at	BF339445	CHN1	1.33	1.1	0.83	50	26.92	23.08	chimerin (chimaerin) 1
209613_s_at	M21692	ADH1B	1.64	0.95	0.58	50	23.08	26.92	alcohol dehydrogenase IB (class I), beta polypeptide
221558_s_at	AF288571	LEF1	1.33	1.22	0.91	50	23.08	26.92	lymphoid enhancer-binding factor 1
215193_x_at	AJ297586	HLA-DRB3	1.07	1	0.94	50	23.08	26.92	major histocompatibility complex, class II, DR beta 3
201258_at	NM_001020	RPS16	1.09	1.09	0.99	50	19.23	30.77	ribosomal protein S16
226694_at	BG540494	AKAP2	1.31	1.01	0.77	50	19.23	30.77	A kinase (PRKA) anchor protein 2
210538_s_at	U37546	BIRC3	1.86	1.25	0.67	50	15.38	34.62	baculoviral IAP repeat-containing 3
204440_at	NM_004233	CD83	1.58	1.26	0.8	50	15.38	34.62	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)
225081_s_at	AK022955	RAM2	1.55	1.12	0.72	50	15.38	34.62	transcription factor RAM2
216457_s_at	AK026080	---	1.17	1.05	0.9	50	11.54	38.46	---
236583_at	AA286867	---	2.09	1.14	0.54	50	11.54	38.46	Transcribed sequences
212560_at	AV728268	SORL1	1.42	1.2	0.84	50	11.54	38.46	sortilin-related receptor, L(DLR class) A repeats-containing
44790_s_at	AI129310	C13orf18	1.5	1.33	0.88	50	11.54	38.46	chromosome 13 open reading frame 18
223502_s_at	AF134715	TNFSF13B	1.41	1.17	0.83	50	11.54	38.46	tumor necrosis factor (ligand) superfamily, member 13b
226633_at	AI807023	RAB8B	1.49	1.2	0.81	50	11.54	38.46	RAB8B, member RAS oncogene family
227373_at	AW299653	LOC146517	1.24	1.05	0.85	50	11.54	38.46	hypothetical protein LOC146517
209142_s_at	BC002775	UBE2G1	1.27	1.15	0.9	50	11.54	38.46	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, C. elegans)
238480_at	AI871745	FLJ33761	1.37	1.18	0.87	50	11.54	38.46	hypothetical protein FLJ33761
206666_at	NM_002104	GZMK	1.28	1.12	0.87	50	11.54	38.46	granzyme K (serine protease, granzyme 3; tryptase II)
206247_at	NM_005931	MICB	1.29	1.32	1.03	50	11.54	38.46	MHC class I polypeptide-related sequence B
213074_at	BG545769	IRAK1BP1	1.38	1.21	0.87	50	11.54	38.46	interleukin-1 receptor-associated kinase 1 binding protein 1
202644_s_at	NM_006290	TNFAIP3	1.58	1.13	0.72	50	11.54	38.46	tumor necrosis factor, alpha-induced protein 3
213193_x_at	AL559122	---	1.83	1.33	0.73	50	7.69	42.31	T cell receptor beta chain BV20S1 BJ1-5 BC1 mRNA, complete cds
226272_at	N25986	---	1.53	1.16	0.76	50	7.69	42.31	Full length insert cDNA clone ZD79H10
238725_at	AW392551	---	1.55	1.04	0.67	50	7.69	42.31	Transcribed sequence with weak  similarity to protein sp:P39192 (H.sapiens) ALU5_HUMAN Alu subfamily SC sequence contamination warning entry
235381_at	BF033855	HBXAP	1.35	1.11	0.82	50	7.69	42.31	hepatitis B virus x associated protein
210643_at	AF053712	TNFSF11	2.07	1.46	0.71	50	7.69	42.31	tumor necrosis factor (ligand) superfamily, member 11
216060_s_at	AK021890	DAAM1	1.37	1.19	0.87	50	7.69	42.31	dishevelled associated activator of morphogenesis 1
201877_s_at	NM_002719	PPP2R5C	1.38	1.11	0.81	50	7.69	42.31	protein phosphatase 2, regulatory subunit B (B56), gamma isoform
218396_at	NM_017684	VPS13C	1.42	1.07	0.76	50	7.69	42.31	vacuolar protein sorting 13C (yeast)
204057_at	AI073984	ICSBP1	1.64	1.35	0.83	50	7.69	42.31	interferon consensus sequence binding protein 1
232909_s_at	AU146870	FALZ	1.29	1.14	0.88	50	7.69	42.31	fetal Alzheimer antigen
203416_at	NM_000560	CD53	1.6	1.32	0.82	50	7.69	42.31	CD53 antigen
201648_at	AL039831	JAK1	1.23	1.02	0.83	50	7.69	42.31	Janus kinase 1 (a protein tyrosine kinase)
229872_s_at	AA532655	FLJ39739	1.36	1.06	0.78	50	7.69	42.31	FLJ39739 protein
228771_at	AI651212	ADRBK2	1.62	1.36	0.84	50	7.69	42.31	adrenergic, beta, receptor kinase 2
205159_at	AV756141	CSF2RB	1.83	1.42	0.78	50	7.69	42.31	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
216237_s_at	AA807529	MCM5	1.53	1.12	0.73	50	7.69	42.31	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)
209606_at	L06633	PSCDBP	2.07	1.74	0.84	50	7.69	42.31	pleckstrin homology, Sec7 and coiled-coil domains, binding protein
222073_at	AI694562	COL4A3	2.43	1.54	0.63	50	7.69	42.31	collagen, type IV, alpha 3 (Goodpasture antigen)
205798_at	NM_002185	IL7R	2.13	1.47	0.69	50	7.69	42.31	interleukin 7 receptor
209200_at	AL536517	MEF2C	1.55	1.17	0.76	50	7.69	42.31	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)
231866_at	AA767440	LNPEP	1.45	1.28	0.88	50	7.69	42.31	leucyl
229026_at	BE675995	SPEC2	1.5	1.37	0.92	50	7.69	42.31	non-kinase Cdc42 effector protein SPEC2
206134_at	NM_014479	ADAMDEC1	1.72	1.5	0.87	50	7.69	42.31	ADAM-like, decysin 1
202760_s_at	NM_007203	AKAP2	1.51	1.31	0.87	50	7.69	42.31	A kinase (PRKA) anchor protein 2
229498_at	AI197932	---	1.84	1.48	0.81	50	3.85	46.15	Transcribed sequences
208998_at	U94592	UCP2	1.66	1.11	0.67	50	3.85	46.15	uncoupling protein 2 (mitochondrial, proton carrier)
212827_at	X17115	IGHM	2.39	1.61	0.67	50	3.85	46.15	immunoglobulin heavy constant mu
202329_at	NM_004383	CSK	1.53	1.23	0.8	50	3.85	46.15	c-src tyrosine kinase
64418_at	AI472320	AP1GBP1	1.58	1.27	0.8	50	3.85	46.15	AP1 gamma subunit binding protein 1
221601_s_at	AI084226	TOSO	2.37	1.71	0.72	50	3.85	46.15	regulator of Fas-induced apoptosis
209033_s_at	D86550	DYRK1A	1.3	1.05	0.81	50	3.85	46.15	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A
227087_at	AA126419	INPP4A	1.37	1	0.73	50	3.85	46.15	inositol polyphosphate-4-phosphatase, type I, 107kDa
228471_at	AA744636	LOC91526	1.91	1.34	0.7	50	3.85	46.15	hypothetical protein DKFZp434D2328
209829_at	AB002384	C6orf32	1.96	1.37	0.7	50	3.85	46.15	chromosome 6 open reading frame 32
225136_at	BF968578	PLEKHA2	1.62	1.21	0.75	50	3.85	46.15	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2
210072_at	U88321	CCL19	2.85	1.76	0.62	50	3.85	46.15	chemokine (C-C motif) ligand 19
206002_at	NM_005756	GPR64	2.55	1.8	0.71	50	3.85	46.15	G protein-coupled receptor 64
236198_at	AW292872	---	2.44	1.78	0.73	50	0	50	Transcribed sequences
242496_at	T57776	---	2.86	1.44	0.5	50	0	50	CDNA FLJ23728 fis, clone HEP14243
243780_at	AW575863	---	3.5	1.84	0.53	50	0	50	CDNA FLJ46553 fis, clone THYMU3038879
209798_at	D83243	NPAT	1.35	1.11	0.82	50	0	50	nuclear protein, ataxia-telangiectasia locus
218614_at	NM_018169	FLJ10652	1.58	1.31	0.83	50	0	50	hypothetical protein FLJ10652
201493_s_at	BE778078	PUM2	1.22	1.07	0.87	50	0	50	pumilio homolog 2 (Drosophila)
AFFX-HUMGAPDH/M33197_M_at	AFFX-HUMGAPDH/M33197_M	GAPD	1.09	1.1	1.01	46.15	26.92	26.92	glyceraldehyde-3-phosphate dehydrogenase
213258_at	BF511231	TFPI	1.35	1.18	0.87	46.15	26.92	26.92	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
212585_at	BF970829	OSBPL8	1.24	0.98	0.79	46.15	19.23	34.62	oxysterol binding protein-like 8
200920_s_at	AL535380	BTG1	1.37	1.18	0.85	46.15	19.23	34.62	B-cell translocation gene 1, anti-proliferative
203403_s_at	NM_005977	RNF6	1.22	1.03	0.84	46.15	19.23	34.62	ring finger protein (C3H2C3 type) 6
212820_at	AB020663	RC3	1.04	1.06	1.02	46.15	19.23	34.62	rabconnectin-3
201009_s_at	AI439556	TXNIP	1.21	1.06	0.88	46.15	19.23	34.62	thioredoxin interacting protein
218319_at	NM_020651	PELI1	1.24	1.1	0.89	46.15	19.23	34.62	pellino homolog 1 (Drosophila)
226773_at	AW290940	---	1.27	1.02	0.8	46.15	15.38	38.46	CDNA FLJ35131 fis, clone PLACE6008824
230391_at	BF439449	---	1.31	1	0.76	46.15	15.38	38.46	Transcribed sequences
208771_s_at	J02959	LTA4H	1.2	1.12	0.94	46.15	15.38	38.46	leukotriene A4 hydrolase
223501_at	AW151360	TNFSF13B	1.33	1.01	0.76	46.15	15.38	38.46	tumor necrosis factor (ligand) superfamily, member 13b
218039_at	NM_016359	NUSAP1	1.26	0.99	0.79	46.15	15.38	38.46	nucleolar and spindle associated protein 1
213574_s_at	AA861608	KPNB1	1.23	1.19	0.97	46.15	15.38	38.46	karyopherin (importin) beta 1
203685_at	NM_000633	BCL2	1.67	1.55	0.93	46.15	15.38	38.46	B-cell CLL
219505_at	NM_017424	CECR1	1.24	0.95	0.77	46.15	15.38	38.46	cat eye syndrome chromosome region, candidate 1
212274_at	AV705559	LPIN1	1.3	1.15	0.88	46.15	15.38	38.46	lipin 1
209762_x_at	AF280094	SP110	1.21	1.14	0.94	46.15	15.38	38.46	SP110 nuclear body protein
203845_at	AV727449	PCAF	1.31	1.2	0.92	46.15	15.38	38.46	p300
227646_at	BG435302	EBF	1.13	1.1	0.97	46.15	15.38	38.46	early B-cell factor
222685_at	AB046794	FAM29A	1.41	1.26	0.89	46.15	15.38	38.46	family with sequence similarity 29, member A
209763_at	AL049176	CHRDL1	1.39	1.15	0.83	46.15	15.38	38.46	chordin-like 1
212589_at	AI753792	RRAS2	1.32	0.97	0.73	46.15	11.54	42.31	related RAS viral (r-ras) oncogene homolog 2
212420_at	AL559590	ELF1	1.24	1.06	0.85	46.15	11.54	42.31	E74-like factor 1 (ets domain transcription factor)
210136_at	AW070431	---	1.41	1.24	0.88	46.15	11.54	42.31	CDNA clone MGC:70813 IMAGE:6060520, complete cds
218312_s_at	NM_023926	FLJ12895	1.26	1.24	0.98	46.15	11.54	42.31	hypothetical protein FLJ12895
209422_at	AL109965	C20orf104	1.34	1.2	0.89	46.15	11.54	42.31	chromosome 20 open reading frame 104
219279_at	NM_017718	DOCK10	1.66	1.16	0.7	46.15	11.54	42.31	dedicator of cytokinesis 10
223980_s_at	AF280095	SP110	1.39	1.15	0.82	46.15	11.54	42.31	SP110 nuclear body protein
209580_s_at	AF114784	MBD4	1.16	0.99	0.85	46.15	11.54	42.31	methyl-CpG binding domain protein 4
224648_at	AI860946	DKFZp761C169	1.18	1.01	0.85	46.15	11.54	42.31	vasculin
201865_x_at	AI432196	NR3C1	1.34	1.12	0.83	46.15	11.54	42.31	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
212998_x_at	AI583173	HLA-DQB1	1.41	1.2	0.85	46.15	11.54	42.31	major histocompatibility complex, class II, DQ beta 1
225973_at	AA573502	TAP2	1.65	1.2	0.73	46.15	11.54	42.31	transporter 2, ATP-binding cassette, sub-family B (MDR
226032_at	AU153405	CASP2	1.23	1.07	0.87	46.15	11.54	42.31	caspase 2, apoptosis-related cysteine protease (neural precursor cell expressed, developmentally down-regulated 2)
205961_s_at	NM_004682	PSIP1	1.53	1.17	0.76	46.15	11.54	42.31	PC4 and SFRS1 interacting protein 1
224967_at	W72338	UGCG	1.24	1.25	1	46.15	11.54	42.31	UDP-glucose ceramide glucosyltransferase
215696_s_at	BC001404	KIAA0310	1.18	1.1	0.93	46.15	11.54	42.31	KIAA0310
236280_at	AI225238	---	2.15	1.48	0.69	46.15	7.69	46.15	Transcribed sequences
239231_at	BE464819	---	1.25	1.08	0.87	46.15	7.69	46.15	CDNA FLJ41910 fis, clone PEBLM2007834
218967_s_at	NM_030664	PTER	1.37	1.06	0.78	46.15	7.69	46.15	phosphotriesterase related
226459_at	AW575754	PIK3AP1	1.47	1.24	0.85	46.15	7.69	46.15	phosphoinositide-3-kinase adaptor protein 1
200921_s_at	NM_001731	BTG1	1.38	1.15	0.83	46.15	7.69	46.15	B-cell translocation gene 1, anti-proliferative
200069_at	AI656011	SART3	1.2	1	0.83	46.15	7.69	46.15	squamous cell carcinoma antigen recognised by T cells 3
205590_at	NM_005739	RASGRP1	1.74	1.47	0.85	46.15	7.69	46.15	RAS guanyl releasing protein 1 (calcium and DAG-regulated)
230894_s_at	BE672557	MSI2	1.89	0.94	0.5	46.15	7.69	46.15	musashi homolog 2 (Drosophila)
212286_at	AW572909	ANKRD12	1.47	1.3	0.89	46.15	7.69	46.15	ankyrin repeat domain 12
202153_s_at	NM_016553	NUP62	1.33	1.09	0.81	46.15	7.69	46.15	nucleoporin 62kDa
203708_at	NM_002600	PDE4B	1.21	1.07	0.88	46.15	7.69	46.15	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)
225364_at	BE222274	STK4	1.43	1.11	0.78	46.15	7.69	46.15	serine
207700_s_at	NM_006534	NCOA3	1.5	1.21	0.81	46.15	7.69	46.15	nuclear receptor coactivator 3
201085_s_at	AA664291	SON	1.52	1.18	0.77	46.15	7.69	46.15	SON DNA binding protein
209898_x_at	U61167	ITSN2	1.31	1.14	0.87	46.15	7.69	46.15	intersectin 2
227198_at	AW085505	LAF4	1.69	0.91	0.54	46.15	7.69	46.15	lymphoid nuclear protein related to AF4
200996_at	NM_005721	ACTR3	1.28	1.14	0.89	46.15	7.69	46.15	ARP3 actin-related protein 3 homolog (yeast)
203408_s_at	NM_002971	SATB1	1.61	1.29	0.8	46.15	7.69	46.15	special AT-rich sequence binding protein 1 (binds to nuclear matrix
202957_at	NM_005335	HCLS1	1.47	1.23	0.84	46.15	7.69	46.15	hematopoietic cell-specific Lyn substrate 1
201998_at	AI743792	SIAT1	1.64	1.29	0.78	46.15	7.69	46.15	sialyltransferase 1 (beta-galactoside alpha-2,6-sialyltransferase)
242388_x_at	AW576600	TAGAP	2.04	1.59	0.78	46.15	7.69	46.15	T-cell activation GTPase activating protein
202693_s_at	AW194730	STK17A	1.3	1.14	0.88	46.15	7.69	46.15	serine
209337_at	AF063020	PSIP1	1.46	1.08	0.74	46.15	7.69	46.15	PC4 and SFRS1 interacting protein 1
201306_s_at	NM_006401	ANP32B	1.2	1.03	0.86	46.15	7.69	46.15	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
229194_at	AL045882	RNF159	1.49	1.08	0.72	46.15	3.85	50	ring finger protein (C3HC4 type) 159
212295_s_at	AA148507	SLC7A1	1.37	1.07	0.78	46.15	3.85	50	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1
222895_s_at	AA918317	BCL11B	2.43	1.38	0.57	46.15	3.85	50	B-cell CLL
201051_at	BE560202	ANP32A	1.31	1.33	1.02	46.15	3.85	50	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
209685_s_at	M13975	PRKCB1	1.74	1.44	0.83	46.15	3.85	50	protein kinase C, beta 1
211005_at	AF036906	LAT	1.8	1.52	0.84	46.15	3.85	50	linker for activation of T cells
206337_at	NM_001838	CCR7	1.86	1.32	0.71	46.15	3.85	50	chemokine (C-C motif) receptor 7
201721_s_at	NM_006762	LAPTM5	1.39	1.09	0.79	46.15	3.85	50	Lysosomal-associated multispanning membrane protein-5
205804_s_at	NM_025228	T3JAM	3.29	1.25	0.38	46.15	3.85	50	TRAF3-interacting Jun N-terminal kinase (JNK)-activating modulator
213682_at	AL036344	NUP50	1.34	1.17	0.87	46.15	3.85	50	nucleoporin 50kDa
219497_s_at	NM_022893	BCL11A	3.18	1.76	0.56	46.15	3.85	50	B-cell CLL
222891_s_at	AI912275	BCL11A	2.81	2.07	0.74	46.15	3.85	50	B-cell CLL
226711_at	BF590117	HTLF	1.45	1.12	0.77	46.15	3.85	50	human T-cell leukemia virus enhancer factor
226352_at	BF447037	JMY	1.3	1.14	0.88	46.15	3.85	50	junction-mediating and regulatory protein
227525_at	AA058770	GLCCI1	1.57	1.26	0.8	46.15	3.85	50	glucocorticoid induced transcript 1
31845_at	U32645	ELF4	1.17	1.01	0.86	46.15	3.85	50	E74-like factor 4 (ets domain transcription factor)
236265_at	BF438799	---	1.43	1.04	0.72	46.15	0	53.85	Clone IMAGE:3887266, mRNA
242273_at	AA747287	---	1.5	1.18	0.79	46.15	0	53.85	Transcribed sequences
203620_s_at	NM_014824	FCHSD2	1.55	1.28	0.83	46.15	0	53.85	FCH and double SH3 domains 2
35974_at	U10485	LRMP	2.48	1.48	0.59	46.15	0	53.85	lymphoid-restricted membrane protein
225343_at	AK025695	LOC283578	1.49	1.04	0.7	46.15	0	53.85	hypothetical protein LOC283578
206513_at	NM_004833	AIM2	1.83	1.35	0.74	46.15	0	53.85	absent in melanoma 2
204777_s_at	NM_002371	MAL	1.72	1.39	0.8	46.15	0	53.85	mal, T-cell differentiation protein
226641_at	AU157224	LOC91526	1.82	1.39	0.76	46.15	0	53.85	hypothetical protein DKFZp434D2328
217941_s_at	NM_018695	ERBB2IP	1.27	1	0.79	46.15	0	53.85	erbb2 interacting protein
223358_s_at	AW269834	PDE7A	1.34	1.25	0.93	46.15	0	53.85	phosphodiesterase 7A
228390_at	AA489100	---	1.1	1.11	1.01	42.31	26.92	30.77	CDNA FLJ34866 fis, clone NT2NE2014113
209459_s_at	AF237813	ABAT	1.04	0.98	0.95	42.31	26.92	30.77	4-aminobutyrate aminotransferase
201291_s_at	AU159942	TOP2A	1.32	0.92	0.7	42.31	26.92	30.77	topoisomerase (DNA) II alpha 170kDa
205242_at	NM_006419	CXCL13	1.81	0.98	0.54	42.31	26.92	30.77	chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)
209612_s_at	M24317	ADH1B	1.21	0.92	0.76	42.31	26.92	30.77	alcohol dehydrogenase IB (class I), beta polypeptide
201034_at	BE545756	HADHSC	1.1	0.91	0.83	42.31	26.92	30.77	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain
201117_s_at	NM_001873	CPE	1.03	1.03	1.01	42.31	26.92	30.77	carboxypeptidase E
204897_at	AA897516	PTGER4	1.15	1.03	0.9	42.31	26.92	30.77	prostaglandin E receptor 4 (subtype EP4)
228854_at	AI492388	ZNF145	1.07	1.05	0.99	42.31	23.08	34.62	zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)
212191_x_at	AW574664	RPL13	1.23	1.15	0.93	42.31	23.08	34.62	ribosomal protein L13
200888_s_at	NM_000978	RPL23	1.15	1.11	0.97	42.31	23.08	34.62	ribosomal protein L23
AFFX-HUMISGF3A/M97935_3_at	AFFX-HUMISGF3A/M97935_3	STAT1	1.14	1.02	0.89	42.31	23.08	34.62	signal transducer and activator of transcription 1, 91kDa
212476_at	D26069	CENTB2	1.32	1.04	0.79	42.31	23.08	34.62	centaurin, beta 2
202429_s_at	AL353950	PPP3CA	1.05	1	0.95	42.31	23.08	34.62	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha)
219777_at	NM_024711	hIAN2	1.17	1.04	0.89	42.31	23.08	34.62	human immune associated nucleotide 2
229390_at	AV734646	---	1.29	0.88	0.68	42.31	19.23	38.46	Full length insert cDNA clone ZA84A12
