Affy ID	Gene Symbol	Gene name	Cellular location	Family	UniGene ID	RefSeq Transcript ID	MSC	MAPC- 1	MAPC-2	ESC
1424150_at	Gdpd5	glycerophosphodiester phosphodiesterase domain containing 5			Mm.286317	NM_201352	37.0	951.6	910.6	30.7
1421917_at	Pdgfra	platelet-derived growth factor receptor, alpha polypeptide	Plasma Membrane	kinase	Mm.221403	NM_011058	92.9	2429.2	1717.3	11.7
1424649_a_at	Tm4sf3	tetraspanin 8	Plasma Membrane	other	Mm.22270	NM_146010	1.9	836.8	951.1	35.8
1429273_at	Bmper	BMP binding endothelial regulator	Extracellular Space	other	Mm.335020	NM_028472	156.4	3749.2	2874.5	26.1
1436178_at	Leprel1	leprecan-like 1			Mm.326869	NM_173379	42.2	957.6	996.2	25.4
1435351_at	C1orf165	chromosome 1 open reading frame 165			Mm.45533	NM_026279	13.0	1649.5	1264.9	71.0
1451594_s_at	Serpinb6c	serine (or cysteine) peptidase inhibitor, clade B, member 6c			Mm.272188	NM_148942	5.8	959.4	1252.2	52.2
1434709_at	Nrcam	neuronal cell adhesion molecule	Plasma Membrane	other	Mm.208439	NM_176930	19.9	1336.2	1122.6	59.2
1417787_at	Dkkl1	dickkopf-like 1 (soggy)	Extracellular Space	other	Mm.27287	NM_015789	1.8	217.8	140.0	2.0
1453287_at	5730557b15rik	RIKEN cDNA 5730557B15 gene			Mm.102470	NM_026153 /// NM_027496	43.1	1051.1	777.3	28.4
1448553_at	Myh7	myosin, heavy polypeptide 7, cardiac muscle, beta	Cytoplasm	other	Mm.319176	NM_080728	7.0	675.6	280.8	19.5
1454849_x_at	Clu	clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	Extracellular Space	other	Mm.200608	NM_013492	92.8	8291.7	9347.2	520.7
1418723_at	Edg7	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 7	Plasma Membrane	G-protein coupled receptor	Mm.155520	NM_022983	1.2	252.6	104.6	3.2
1418426_at	Alf	TFIIA-alpha/beta-like factor	Nucleus	transcription regulator	Mm.61330	NM_023630	4.7	246.1	143.9	2.6
1459737_s_at	Ttr	transthyretin (prealbumin, amyloidosis type I)	Extracellular Space	transporter	Mm.2108	NM_013697	1.8	40.2	330.8	4.2
1420913_at	Slco2a1	solute carrier organic anion transporter family, member 2A1			Mm.207106	NM_033314	62.2	857.2	1243.8	39.0
1438558_x_at	Foxq1	forkhead box Q1			Mm.44235	NM_008239	141.8	995.3	3406.7	10.5
1431335_a_at	Wfdc1	WAP four-disulfide core domain 1			Mm.87599	NM_023395	4.1	441.4	22.6	8.2
1429463_at	Prkaa2	protein kinase, AMP-activated, alpha 2 catalytic subunit	Cytoplasm	kinase	Mm.48638	NM_178143	18.8	1319.8	1225.3	81.9
1456887_at	Cmklr1	chemokine-like receptor 1	Plasma Membrane	G-protein coupled receptor	Mm.5196	NM_008153	2.3	403.5	333.2	18.1
1427004_at	Fbxo2	F-box protein 2			Mm.262287	NM_176848	32.4	2219.3	2855.0	174.2
1444537_at	Ai429363	expressed sequence AI429363			---	---	3.0	183.8	149.1	4.4
1449106_at	Gpx3	glutathione peroxidase 3 (plasma)	Extracellular Space	enzyme	Mm.200916	NM_008161	4.9	529.7	1813.2	79.1
1451601_a_at	Loc124976	hypothetical protein LOC124976			Mm.212812	XM_484044	10.3	306.1	292.1	14.3
1417801_a_at	Ppfibp2	PTPRF interacting protein, binding protein 2 (liprin beta 2)			Mm.2817	NM_008905	43.9	764.4	858.6	54.4
1451867_x_at	Arhgap6	Rho GTPase activating protein 6			Mm.386750	NM_009707	25.1	670.7	475.5	36.1
1434277_a_at	6430570g24	hypothetical protein 6430570G24			---	---	153.6	1842.2	2322.6	103.4
1422723_at	Stra6	stimulated by retinoic acid gene 6 homolog (mouse)	Plasma Membrane	other	Mm.10801	NM_009291	16.0	356.6	255.2	6.5
1434083_a_at	Elmod1	ELMO domain containing 1			Mm.259791	---	0.8	236.8	197.3	9.4
1445546_at	Ai844685	expressed sequence AI844685			---	---	2.0	202.3	162.2	6.7
1450271_at	Ptk6	PTK6 protein tyrosine kinase 6	Cytoplasm	kinase	Mm.4497	NM_009184	6.0	278.2	69.7	3.2
1442028_at	Ai593864	expressed sequence AI593864			---	---	8.2	198.0	344.8	14.0
1449079_s_at	St3gal6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6			Mm.212742	NM_018784	17.1	251.3	464.7	22.1
1451791_at	Tfpi	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	Extracellular Space	other	Mm.124316	NM_011576	6.3	7645.6	7876.3	654.7
1420468_at	Asb17	ankyrin repeat and SOCS box-containing 17			Mm.116960	NM_025758	1.2	99.5	116.6	1.1
1418486_at	Vnn1	vanin 1	Plasma Membrane	enzyme	Mm.27154	NM_011704	225.5	2533.6	2831.2	16.8
1429511_at	4933402e13rik	RIKEN cDNA 4933402E13 gene			Mm.85792	XM_135885	3.1	388.4	457.1	29.4
1418365_at	Ctsh	cathepsin H			Mm.2277	NM_007801	271.2	1326.7	4930.7	23.2
1417408_at	F3	coagulation factor III (thromboplastin, tissue factor)	Plasma Membrane	transmembrane receptor	Mm.273188	NM_010171	379.9	5261.3	3355.9	125.3
1434195_at	Prss35	protease, serine, 35			Mm.257629	NM_178738	7.3	130.3	209.5	6.4
1450455_s_at	Akr1c12	aldo-keto reductase family 1, member C12			Mm.27447	NM_013777	19.9	278.4	324.6	15.0
1456495_s_at	Osbpl6	oxysterol binding protein-like 6			Mm.240435	NM_145525	3.4	176.5	155.5	7.4
1460683_at	Tead4	TEA domain family member 4	Nucleus	transcription regulator	Mm.14774	NM_011567	1.9	402.8	328.3	26.3
1427508_at	Bc020108	cDNA sequence BC020108			Mm.20147	---	21.0	503.2	278.4	29.3
1452092_at	Galnac4s-6st	B cell RAG associated protein	Plasma Membrane	enzyme	Mm.213582	NM_029935	222.4	2342.7	2480.0	121.7
1427072_at	Stard8	START domain containing 8	Unknown	other	Mm.236928	NM_199018	143.3	1349.5	1794.7	43.7
1450789_at	Rhpn1	rhophilin, Rho GTPase binding protein 1			Mm.57052	NM_008164	0.8	77.2	137.7	2.4
1448688_at	Podxl	podocalyxin-like	Plasma Membrane	other	Mm.89918	NM_013723	11.9	3620.8	4302.7	378.1
1438796_at	Nr4a3	nuclear receptor subfamily 4, group A, member 3	Nucleus	ligand-dependent nuclear receptor	---	---	2.5	201.9	35.6	3.9
1427482_a_at	Ca8	carbonic anhydrase VIII	Unknown	enzyme	Mm.119320	NM_007592	65.6	583.3	873.8	37.6
1422592_at	Ctnnd2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)			Mm.321648	NM_008729	4.3	268.5	302.6	20.9
1456874_at	Flrt2	fibronectin leucine rich transmembrane protein 2	Plasma Membrane	other	Mm.291936	NM_024275 /// NM_201519	31.3	600.6	174.9	21.4
1417109_at	Lcn7	tubulointerstitial nephritis antigen-like 1			Mm.15801	NM_023476	283.5	3333.5	2201.4	12.8
1416023_at	Fabp3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	Cytoplasm	transporter	Mm.22220	NM_010174	66.5	7559.5	6105.5	715.6
1428391_at	Rab3il1	RAB3A interacting protein (rabin3)-like 1			Mm.281969	NM_144538	51.8	619.0	498.5	31.2
1426511_at	Susd2	sushi domain containing 2			Mm.247956	NM_027890	2.6	660.3	384.2	48.0
1420360_at	Dkk1	dickkopf homolog 1 (Xenopus laevis)	Extracellular Space	growth factor	Mm.214717	NM_010051	8.8	128.9	381.7	19.4
1449344_s_at	2210409e12rik	RIKEN cDNA 2210409E12 gene			Mm.288885	NM_028218	5.6	1614.7	1337.9	152.3
1455739_at	6430704n06	hypothetical protein 6430704N06			Mm.180719	XM_486328	19.6	462.2	253.6	31.2
1437698_at	Myo5b	myosin VB	Cytoplasm	enzyme	Mm.260098	NM_201600	13.8	251.0	225.7	18.3
1415806_at	Plat	plasminogen activator, tissue	Extracellular Space	peptidase	Mm.154660	NM_008872	526.1	4470.4	5103.0	47.2
1418596_at	Fgfr4	fibroblast growth factor receptor 4	Plasma Membrane	kinase	---	---	7.4	185.5	219.7	15.1
1428077_at	Dkfzp566n034	hypothetical protein DKFZp566N034			Mm.281287	NM_028135	1.0	89.7	127.5	4.4
1429831_at	Pik3ap1	phosphoinositide-3-kinase adaptor protein 1	Cytoplasm	other	Mm.222266	NM_031376	4.5	56.0	162.6	4.6
1422923_at	Fgf3	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	Extracellular Space	growth factor	Mm.4947	NM_008007	3.7	237.7	132.6	13.3
1457440_at	Sstr4	somatostatin receptor 4	Plasma Membrane	G-protein coupled receptor	Mm.35324	NM_009219	7.5	132.2	146.6	8.4
1423259_at	Id4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	Nucleus	transcription regulator	Mm.283273	NM_031166	54.4	979.1	1109.3	116.7
1426225_at	Rbp4	retinol binding protein 4, plasma	Extracellular Space	transporter	Mm.2605	NM_011255	9.8	87.1	688.1	38.3
1425109_at	Mgc45474	solute carrier family 44, member 3			Mm.33062	NM_145394	6.0	120.8	126.3	6.9
1448956_at	Stard10	START domain containing 10	Cytoplasm	other	Mm.28896	NM_019990	71.1	1185.9	1339.4	145.3
1460356_at	Esam	endothelial cell adhesion molecule			Mm.41751	NM_027102	11.7	602.1	379.2	52.0
1417860_a_at	Spon2	spondin 2, extracellular matrix protein			Mm.34694	NM_133903	80.7	399.4	1006.4	4.7
1452514_a_at	Kit	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	Plasma Membrane	kinase	Mm.247073	NM_021099	1.7	1106.1	1109.5	137.1
1418765_at	Timd2	T-cell immunoglobulin and mucin domain containing 2			Mm.234654	NM_134249	2.9	89.4	102.7	4.6
1418213_at	Krt23	keratin 23 (histone deacetylase inducible)			Mm.290657	NM_033373	2.8	125.9	38.7	2.6
1422869_at	Mertk	c-mer proto-oncogene tyrosine kinase	Plasma Membrane	kinase	Mm.239655	NM_008587	38.2	433.9	267.9	36.1
1424941_at	Ttmp	TPA-induced transmembrane protein			Mm.97511	NM_145389	2.5	36.8	124.9	2.7
1436838_x_at	Cotl1	coactosin-like 1 (Dictyostelium)	Cytoplasm	other	Mm.141741	NM_028071	288.0	3965.9	4459.3	548.2
1460319_at	Fut8	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	Cytoplasm	enzyme	Mm.35628	NM_016893	298.2	2309.5	2308.4	193.1
1453055_at	Sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D			Mm.330536	NM_172537 /// NM_199238 /// NM_199239 /// NM_199240 /// NM_199241	83.7	1018.2	349.2	19.5
1421078_at	Tcf23	transcription factor 23	Nucleus	other	Mm.57874	NM_053085	2.4	52.8	104.7	2.6
1451318_a_at	Lyn	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	Cytoplasm	kinase	Mm.317331	NM_010747	144.5	1102.3	1131.2	52.4
1433845_x_at	Dusp9	dual specificity phosphatase 9	Nucleus	phosphatase	Mm.16479	NM_029352	47.3	4323.0	4077.1	566.0
1427619_a_at	Sh3tc1	SH3 domain and tetratricopeptide repeats 1			Mm.290429	NM_194344	3.0	72.8	90.0	3.2
1425978_at	Myocd	myocardin	Nucleus	transcription regulator	Mm.32257	NM_145136 /// NM_146386	1.2	36.7	116.2	2.8
1455697_at	Flj30707	hypothetical protein FLJ30707			Mm.291864	XM_127791	62.1	269.5	721.2	34.1
1418713_at	Pcbd1	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1)	Nucleus	transcription regulator	Mm.39473	NM_025273	5.8	496.9	1231.7	114.5
1448529_at	Thbd	thrombomodulin	Plasma Membrane	transmembrane receptor	Mm.24096	NM_009378	272.7	2094.5	1814.9	37.3
1448029_at	Tbx3	T-box 3 (ulnar mammary syndrome)			Mm.219139	NM_011535 /// NM_198052	32.9	299.0	421.2	44.1
1449888_at	Epas1	endothelial PAS domain protein 1	Nucleus	transcription regulator	Mm.1415	NM_010137	2.5	824.8	440.9	83.5
1426664_x_at	Pcanap6	solute carrier family 45, member 3			Mm.200307	NM_145977	22.7	250.3	170.5	17.8
1420357_s_at	Xlr3a	X-linked lymphocyte-regulated 3A			Mm.336115	NM_011726 /// NM_011727	2.0	852.6	1271.2	147.5
1417843_s_at	Eps8l2	EPS8-like 2	Unknown	other	Mm.27451	NM_133191	34.4	374.5	684.3	70.0
1452521_a_at	Plaur	plasminogen activator, urokinase receptor	Plasma Membrane	transmembrane receptor	Mm.1359	NM_011113	188.3	1404.6	1238.6	125.9
1440207_at	Loc254531	1-acylglycerol-3-phosphate O-acyltransferase 7 (lysophosphatidic acid acyltransferase, eta)			Mm.33438	NM_207206	4.0	126.6	97.6	8.8
1454984_at	Aw061234	expressed sequence AW061234			---	---	537.3	4438.0	3585.9	592.8
1424383_at	Flj10199	transmembrane protein 51			Mm.27587	NM_145402	3.1	1842.8	2301.4	302.8
1428242_at	Ha-1	histocompatibility (minor) HA-1			Mm.243954	NM_027521	2.8	126.4	229.8	18.8
1439830_at	Map3k5	mitogen-activated protein kinase kinase kinase 5	Cytoplasm	kinase	Mm.6595	NM_008580	14.6	744.8	933.9	119.3
1429564_at	Pcgf5	polycomb group ring finger 5			Mm.259180	NM_029508	529.0	3655.7	3412.5	436.6
1456403_at	Pag	phosphoprotein associated with glycosphingolipid microdomains 1	Plasma Membrane	other	Mm.214484	NM_053182	8.2	120.9	92.9	8.3
1445837_at	Kcnq5	potassium voltage-gated channel, KQT-like subfamily, member 5			Mm.336519	NM_023872	20.6	205.5	198.8	23.2
1430226_at	2900036k24rik	X-linked lymphocyte-regulated 4C			---	NM_183094	4.4	67.2	112.7	6.0
1424568_at	Tspan2	tetraspanin 2			Mm.27469	NM_027533	23.4	450.0	486.0	65.2
1416645_a_at	Afp	alpha-fetoprotein	Extracellular Space	transporter	Mm.358570	NM_007423	1.2	55.2	82.9	2.8
1422300_at	Nog	noggin	Extracellular Space	other	Mm.135266	NM_008711	1.2	106.9	38.7	3.4
1416625_at	Serping1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	Extracellular Space	other	Mm.38888	NM_009776	11.7	1295.3	611.6	141.6
1449363_at	Atf3	activating transcription factor 3	Nucleus	transcription regulator	Mm.2706	NM_007498	117.5	739.2	847.6	68.7
1449279_at	Gpx2	glutathione peroxidase 2 (gastrointestinal)	Cytoplasm	enzyme	Mm.371561	NM_030677	1.5	344.9	2033.1	181.7
1427001_s_at	Hnf4a	hepatocyte nuclear factor 4, alpha	Nucleus	transcription regulator	Mm.202383	NM_008261	3.5	52.0	122.6	6.0
1420498_a_at	Dab2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	Plasma Membrane	other	Mm.240830	NM_001008702 /// NM_023118	559.2	2864.2	4176.6	105.1
1428400_at	2200002k05rik	RIKEN cDNA 2200002K05 gene			Mm.41396	NM_026955	8.7	86.6	118.6	4.2
1448883_at	Lgmn	legumain	Cytoplasm	peptidase	Mm.17185	NM_011175	891.5	4794.6	6226.4	199.0
1442291_at	Edg4	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4	Plasma Membrane	G-protein coupled receptor	Mm.23253	NM_020028	10.1	318.4	358.9	47.3
1427486_at	Ptprb	protein tyrosine phosphatase, receptor type, B	Plasma Membrane	phosphatase	Mm.37213	NM_029928	10.4	134.7	88.8	8.5
1450731_s_at	Tnfrsf21	tumor necrosis factor receptor superfamily, member 21	Plasma Membrane	other	Mm.200792	NM_178589	17.6	1000.9	733.7	135.9
1436142_at	3526401b18rik	RIKEN cDNA 3526401B18 gene			---	---	15.7	116.3	164.0	13.1
1416673_at	Bace2	beta-site APP-cleaving enzyme 2	Plasma Membrane	peptidase	Mm.97885	NM_019517	18.6	139.8	174.7	13.7
1427231_at	Robo1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	Plasma Membrane	transmembrane receptor	Mm.310772	NM_019413	54.2	637.8	423.1	82.7
1428485_at	Ca12	carbonic anhydrase XII	Plasma Membrane	enzyme	Mm.277921	NM_178396	48.4	221.7	436.2	43.1
1420295_x_at	Clcn5	chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)	Plasma Membrane	ion channel	Mm.254370	NM_016691	803.1	4418.0	5029.7	783.8
1418762_at	Daf	decay accelerating factor for complement (CD55, Cromer blood group)	Plasma Membrane	other	Mm.101591	NM_010016	3.5	62.3	279.4	21.4
1460555_at	C6orf32	chromosome 6 open reading frame 32			Mm.217319	NM_178658	54.2	392.6	322.7	9.6
1434353_at	Sfmbt2	Scm-like with four mbt domains 2			Mm.329991	---	15.2	3359.2	5193.1	741.3
1421834_at	Pip5k1b	phosphatidylinositol-4-phosphate 5-kinase, type I, beta	Cytoplasm	kinase	Mm.217214	NM_008846	9.0	201.2	197.0	26.9
1428832_at	Flj13909	hypothetical protein FLJ13909			Mm.23881	NM_028056	64.4	831.7	411.6	101.1
1431004_at	Loxl2	lysyl oxidase-like 2	Extracellular Space	enzyme	Mm.116714	NM_033325	169.7	986.9	1017.9	50.3
1415738_at	Tlp19	thioredoxin domain containing 12 (endoplasmic reticulum)	Unknown	enzyme	Mm.159965	NM_025334	494.1	3138.8	2645.3	511.5
1420150_at	Ssb1	splA/ryanodine receptor domain and SOCS box containing 1	Cytoplasm	other	Mm.30	NM_029035	84.5	398.6	711.3	91.7
1444254_at	Cten	tensin 4			Mm.262067	NM_172564	5.2	46.8	99.4	3.0
1439341_at	Ak220484	cDNA sequence AK220484			Mm.261535	XM_355079	60.2	992.8	689.8	143.5
1416854_at	Slc34a2	solute carrier family 34 (sodium phosphate), member 2	Plasma Membrane	transporter	Mm.284891	NM_011402	23.7	221.6	128.3	19.7
1416697_at	Dpp4	dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)	Plasma Membrane	peptidase	Mm.1151	NM_010074	1.3	124.4	773.6	73.5
1427399_a_at	Nxf7	nuclear RNA export factor 7			Mm.103373	NM_130888	6.0	96.0	65.2	6.7
1423516_a_at	Nid2	nidogen 2 (osteonidogen)	Extracellular Space	other	Mm.20348	NM_008695	211.0	1375.9	1347.9	239.9
1417829_a_at	Rab15	RAB15, member RAS onocogene family	Cytoplasm	enzyme	Mm.172847	NM_134050	35.4	684.0	1154.7	160.2
1422596_at	C20orf58	chromosome 20 open reading frame 58			Mm.40361	NM_021426	4.5	75.5	80.3	6.6
1433467_at	Slc7a6	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6			Mm.46749	NM_178798	317.8	2728.2	3397.1	570.3
1449031_at	Cited1	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1	Nucleus	transcription regulator	Mm.2390	NM_007709	1.3	68.2	91.2	7.1
1449357_at	Mgc14839	hypothetical protein LOC91894			Mm.273375	NM_025865	14.5	667.2	582.1	111.0
1425321_a_at	Clmn	calmin (calponin-like, transmembrane)			Mm.244078	NM_053155	15.8	178.9	103.1	18.9
1424951_at	Baiap2l1	BAI1-associated protein 2-like 1			Mm.18814	NM_025833	46.8	261.2	352.7	50.7
1424797_a_at	Pitx2	paired-like homeodomain transcription factor 2	Nucleus	transcription regulator	Mm.246804	NM_011098	1.5	1761.4	1517.3	306.9
1438672_at	Parvb	parvin, beta	Cytoplasm	other	Mm.323892	NM_133167	159.3	1004.6	735.9	70.3
1420647_a_at	Krt8	keratin 8	Cytoplasm	kinase	Mm.289759	NM_031170 /// XM_620595	29.4	7927.5	7756.0	1500.7
1457052_at	Aw536275	expressed sequence AW536275			---	---	5.0	87.1	76.8	7.8
1454959_s_at	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	Plasma Membrane	enzyme	Mm.254629	NM_010305	149.7	4356.3	3925.4	789.0
1417501_at	Fbxo6	F-box protein 6			Mm.27445	NM_015797	228.1	1302.1	1142.9	130.2
1424123_at	C14orf58	chromosome 14 open reading frame 58			Mm.301076	NM_145447	12.5	208.9	198.1	31.4
1425248_a_at	Tyro3	TYRO3 protein tyrosine kinase	Plasma Membrane	kinase	Mm.2901	NM_019392	79.2	451.6	447.2	74.2
