Probe Set ID	Status	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
209173_at	Luminal	AGR2	anterior gradient 2 homolog (Xenopus laevis)	NM_006408	7p21.3
232322_x_at	Luminal	STARD10	START domain containing 10	NM_006645	11q13
209771_x_at	Luminal	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	NM_013230	6q21
210582_s_at	Luminal	LIMK2	LIM domain kinase 2	NM_005569 /// NM_016733	22q12.2
211712_s_at	Luminal	ANXA9	annexin A9	NM_003568	1q21
213172_at	Luminal	TTC9	tetratricopeptide repeat domain 9	XM_027236	14q24.1
205151_s_at	Luminal	KIAA0644	KIAA0644 gene product	XM_376588 /// XM_379800	7p15.1
227629_at	Luminal	PRLR	prolactin receptor	NM_000949	5p14-p13
227803_at	Luminal	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)	NM_021572	6p21.1-p11.2
202712_s_at	Luminal	CKMT1	creatine kinase, mitochondrial 1 (ubiquitous)	NM_020990	15q15
213441_x_at	Luminal	SPDEF	SAM pointed domain containing ets transcription factor	NM_012391	6p21.3
209195_s_at	Luminal	ADCY6	adenylate cyclase 6	NM_015270 /// NM_020983	12q12-q13
203144_s_at	Luminal	KIAA0040	KIAA0040 gene product	NM_014656	1q24-25
208651_x_at	Luminal	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	NM_013230	6q21
210319_x_at	Luminal	MSX2	msh homeo box homolog 2 (Drosophila)	NM_002449	5q34-q35
219517_at	Luminal	ELL3	elongation factor RNA polymerase II-like 3	NM_025165	15q15.1
226961_at	Luminal	LOC222171	hypothetical protein LOC222171	NM_175887	7p15.1
221778_at	Luminal	KIAA1718	KIAA1718 protein	XM_376680 /// XM_379934	7q33-q35
212338_at	Luminal	MYO1D	myosin ID	NM_015194	17q11-q12
242354_at	Luminal		Transcribed sequences	---
218931_at	Luminal	RAB17	RAB17, member RAS oncogene family	NM_022449	2q37.3
210085_s_at	Luminal	ANXA9	annexin A9	NM_003568	1q21
229396_at	Luminal	OVOL1	ovo-like 1(Drosophila)	NM_004561	11q13
210652_s_at	Luminal	C1orf34	chromosome 1 open reading frame 34	XM_375729	1p32.3
206385_s_at	Luminal	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	NM_001149 /// NM_020987	10q21
1559949_at	Luminal		Full length insert cDNA clone YA84A05	NM_014112
213285_at	Luminal	LOC161291	hypothetical protein LOC161291	XM_090844	14q23.1
238029_s_at	Luminal	SLC16A14	solute carrier family 16 (monocarboxylic acid transporters), member 14	NM_152527	2q37.1
209772_s_at	Luminal	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	NM_013230	6q21
1553986_at	Luminal	RAB45	RAB45, member RAS oncogene family	NM_152573	9q21.33
220318_at	Luminal	EPN3	epsin 3	NM_017957	17q21.33
35148_at	Luminal	TJP3	tight junction protein 3 (zona occludens 3)	NM_014428	19p13.3
209164_s_at	Luminal	CYB561	cytochrome b-561	NM_001915	17q11-qter
204798_at	Luminal	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	NM_005375	6q22-q23
225095_at	Luminal	SPTLC2	serine palmitoyltransferase, long chain base subunit 2	NM_004863	14q24.3-q31
229964_at	Luminal	C9orf152	chromosome 9 open reading frame 152	NM_001012993	9q32
221874_at	Luminal	KIAA1324	maba1	NM_020775	1p13.3-p13.2
223423_at	Luminal	GPR160	G protein-coupled receptor 160	NM_014373	3q26.2-q27
226187_at	Luminal	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	NM_001263	4q21.23
221081_s_at	Luminal	FLJ22457	hypothetical protein FLJ22457	NM_024901	1p13.2
205977_s_at	Luminal	EPHA1	EphA1	NM_005232	7q34
232567_at	Luminal	ARHGAP8	Rho GTPase activating protein 8	NM_181335	22q13.31
207986_x_at	Luminal	CYB561	cytochrome b-561	---	17q11-qter
225299_at	Luminal	MYO5B	myosin VB	XM_371116	18q21
228405_at	Luminal	RHPN1	rhophilin, Rho GTPase binding protein 1	NM_052924	8q24.3
208156_x_at	Luminal	EPPK1	epiplakin 1	NM_031308	8q24.3
209873_s_at	Luminal	PKP3	plakophilin 3	NM_007183	11p15
41329_at	Luminal	PACE-1	ezrin-binding partner PACE-1	NM_020423 /// NM_181093	1q23.3
233634_at	Luminal	MRVLDC3	MARVEL (membrane-associating) domain containing 3	NM_052858	16q22.2
221927_s_at	Luminal	WBSCR21	Williams Beuren syndrome chromosome region 21	NM_031295 /// NM_148912 /// NM_148913 /// NM_148914 /// NM_148915 /// NM_148916	7q11.23
228969_at	Luminal	AGR2	anterior gradient 2 homolog (Xenopus laevis)	NM_006408	7p21.3
225301_s_at	Luminal	MYO5B	myosin VB	XM_371116	18q21
226248_s_at	Luminal	KIAA1324	maba1	NM_020775	1p13.3-p13.2
238513_at	Luminal	TMG4	transmembrane gamma-carboxyglutamic acid protein 4	NM_024081	11p13
201510_at	Luminal	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	NM_004433	1q32.2
204019_s_at	Luminal	SH3YL1	SH3 domain containing, Ysc84-like 1 (S. cerevisiae)	NM_015677	2p25.3
226185_at	Luminal	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	NM_001263	4q21.23
1554555_a_at	Luminal	FLJ21148	hypothetical protein FLJ21148	NM_024860	16q13
1554006_a_at	Luminal	LLGL2	lethal giant larvae homolog 2 (Drosophila)	NM_001015002 /// NM_004524	17q24-q25
214433_s_at	Luminal	SELENBP1	selenium binding protein 1	NM_003944	1q21-q22
214112_s_at	Luminal	LOC91966	hypothetical protein LOC91966	NM_001013845 /// NM_178124	xq28
204067_at	Luminal	SUOX	sulfite oxidase	NM_000456	12q13.13
239726_at	Luminal	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	---	10q21
229842_at	Luminal	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	NM_004433	1q32.2
203954_x_at	Luminal	CLDN3	claudin 3	NM_001306	7q11.23
223540_at	Luminal	PVRL4	poliovirus receptor-related 4	NM_030916	1q22-q23.2
238742_x_at	Luminal		Transcribed sequences	---
202193_at	Luminal	LIMK2	LIM domain kinase 2	NM_005569 /// NM_016733	22q12.2
208763_s_at	Luminal	DSIPI	delta sleep inducing peptide, immunoreactor	NM_001015881 /// NM_004089 /// NM_198057	xq22.3
215314_at	Luminal	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	NM_001149 /// NM_020987	10q21
210239_at	Luminal	IRX5	iroquois homeobox protein 5	NM_005853	16q11.2-q13
209442_x_at	Luminal	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	NM_001149 /// NM_020987	10q21
219513_s_at	Luminal	SH2D3A	SH2 domain containing 3A	NM_005490	19p13.3
1562821_a_at	Luminal		M41 mRNA, complete sequence; alternatively spliced	---
210859_x_at	Luminal	CLN3	ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)	NM_000086	16p12.1
203961_at	Luminal	NEBL	nebulette	NM_006393 /// NM_213569	10p12
202790_at	Luminal	CLDN7	claudin 7	NM_001307	17p13
224746_at	Luminal	KIAA1522	KIAA1522 protein	XM_036299	1p34.3
203306_s_at	Luminal	SLC35A1	solute carrier family 35 (CMP-sialic acid transporter), member A1	NM_006416	6q15
212099_at	Luminal	RHOB	ras homolog gene family, member B	NM_004040	2p24
204039_at	Luminal	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	NM_004364	19q13.1
1558281_a_at	Luminal	MGC9712	hypothetical protein MGC9712	NM_152689	7p22.3
212446_s_at	Luminal	LASS6	LAG1 longevity assurance homolog 6 (S. cerevisiae)	NM_203463	2q31.1
201349_at	Luminal	SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	NM_004252	17q25.2
204667_at	Luminal	FOXA1	forkhead box A1	NM_004496	14q12-q13
1558154_at	Luminal	LLGL2	lethal giant larvae homolog 2 (Drosophila)	NM_001015002 /// NM_004524	17q24-q25
202315_s_at	Luminal	BCR	breakpoint cluster region	NM_004327 /// NM_021574	22q11.23
230430_at	Luminal	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	NM_001246 /// NM_203468	9q34
207949_s_at	Luminal	ICA1	islet cell autoantigen 1, 69kDa	NM_004968 /// NM_022307 /// NM_022308	7p22
238519_at	Luminal		MRNA; cDNA DKFZp667N1113 (from clone DKFZp667N1113)	NM_006511
215380_s_at	Luminal	C7orf24	chromosome 7 open reading frame 24	NM_024051	7p15-p14
209864_at	Luminal	FRAT2	frequently rearranged in advanced T-cell lymphomas 2	NM_012083	10q24.1
210827_s_at	Luminal	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	NM_004433	1q32.2
202575_at	Luminal	CRABP2	cellular retinoic acid binding protein 2	NM_001878	1q21.3
212541_at	Luminal	PP591	FAD-synthetase	NM_025207 /// NM_201398	1q22
210547_x_at	Luminal	ICA1	islet cell autoantigen 1, 69kDa	NM_004968 /// NM_022307 /// NM_022308	7p22
232165_at	Luminal	EPPK1	epiplakin 1	NM_031308	8q24.3
203713_s_at	Luminal	LLGL2	lethal giant larvae homolog 2 (Drosophila)	NM_001015002 /// NM_004524	17q24-q25
218780_at	Luminal	HOOK2	hook homolog 2 (Drosophila)	NM_013312	19p13.2
209604_s_at	Luminal	GATA3	GATA binding protein 3	NM_001002295 /// NM_002051	10p15
214798_at	Luminal	KIAA0703	KIAA0703 gene product	NM_014861	16q24.1
205009_at	Luminal	TFF1	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	NM_003225	21q22.3
225061_at	Luminal	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	NM_018602	15q24.1
209602_s_at	Luminal	GATA3	GATA binding protein 3	NM_001002295 /// NM_002051	10p15
35147_at	Luminal	MCF2L	MCF.2 cell line derived transforming sequence-like	NM_024979	13q34
203962_s_at	Luminal	NEBL	nebulette	NM_006393 /// NM_213569	10p12
223544_at	Luminal	MGC13102	hypothetical protein MGC13102	NM_032323	1q23.1
216623_x_at	Luminal	TNRC9	trinucleotide repeat containing 9	XM_049037	16q12.2
226072_at	Luminal	FUK	fucokinase	NM_145059	16q22.1
209782_s_at	Luminal	DBP	D site of albumin promoter (albumin D-box) binding protein	NM_001352	19q13.3
244579_at	Luminal		Transcribed sequences	NM_014112
213912_at	Luminal	KIAA0984	KIAA0984 protein	XM_037557	12q14.1
238778_at	Luminal	MPP7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	NM_173496	10p12.1
200670_at	Luminal	XBP1	X-box binding protein 1	NM_005080	22q12.1
237086_at	Luminal	FOXA1	forkhead box A1	---	14q12-q13
204952_at	Luminal	C4.4A	GPI-anchored metastasis-associated protein homolog	NM_014400	19q13.32
243386_at	Luminal		CDNA FLJ27486 fis, clone RCT02754	XM_088797
204985_s_at	Luminal	MGC2650	hypothetical protein MGC2650	NM_024108	19q13.32
223628_at	Luminal	DKFZp434N035	hypothetical protein DKFZp434N035	NM_032262	22q11.21
213651_at	Luminal	PIB5PA	phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A	NM_001002837 /// NM_014422	22q11.2-q13.2
215807_s_at	Luminal	PLXNB1	plexin B1	NM_002673	3p21.31
228993_s_at	Luminal	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	XM_378250	10q24
212594_at	Luminal	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	NM_014456 /// NM_145341	10q24
203953_s_at	Luminal	CLDN3	claudin 3	NM_001306	7q11.23
235095_at	Luminal	LOC146439	hypothetical LOC146439	XM_085463	16p13.3
213198_at	Luminal	ACVR1B	activin A receptor, type IB	NM_004302 /// NM_020327 /// NM_020328	12q13
221664_s_at	Luminal	F11R	F11 receptor	NM_016946 /// NM_144501 /// NM_144502 /// NM_144503 /// NM_144504	1q21.2-q21.3
202121_s_at	Luminal	BC-2	putative breast adenocarcinoma marker (32kD)	NM_014453 /// NM_198426	19q
210927_x_at	Luminal	JTB	jumping translocation breakpoint	NM_006694	1q21
222125_s_at	Luminal	PH-4	hypoxia-inducible factor prolyl 4-hydroxylase	NM_017732 /// NM_177938 /// NM_177939	3p21.31
225645_at	Luminal	EHF	ets homologous factor	NM_012153	11p12
226039_at	Luminal	MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme A	NM_001008215	2q12
230093_at	Luminal	TSGA2	testes specific A2 homolog (mouse)	NM_080860	21q22.3
242874_at	Luminal		CDNA FLJ37931 fis, clone CTONG2004397	---
209163_at	Luminal	CYB561	cytochrome b-561	NM_001915	17q11-qter
218531_at	Luminal	FLJ21749	hypothetical protein FLJ21749	NM_025124	11q13.1
226861_at	Luminal	ASB8	ankyrin repeat and SOCS box-containing 8	NM_024095	12q13.12
214774_x_at	Luminal	TNRC9	trinucleotide repeat containing 9	XM_049037	16q12.2
213913_s_at	Luminal	KIAA0984	KIAA0984 protein	XM_037557	12q14.1
91826_at	Luminal	EPS8L1	EPS8-like 1	NM_017729 /// NM_133180 /// NM_139204	19q13.42
205225_at	Luminal	ESR1	estrogen receptor 1	NM_000125	6q25.1
225792_at	Luminal		CDNA: FLJ23597 fis, clone LNG15281	NM_015888
221665_s_at	Luminal	EPS8L1	EPS8-like 1	NM_017729 /// NM_133180 /// NM_139204	19q13.42
205607_s_at	Luminal	PACE-1	ezrin-binding partner PACE-1	NM_020423 /// NM_181093	1q23.3
221027_s_at	Luminal	PLA2G12A	phospholipase A2, group XIIA	NM_030821	4q25
219850_s_at	Luminal	EHF	ets homologous factor	NM_012153	11p12
1557813_at	Luminal		Full length insert cDNA clone YB34C04	NM_012446
204922_at	Luminal	FLJ22531	hypothetical protein FLJ22531	NM_024650	11q13.1
1438_at	Luminal	EPHB3	EphB3	NM_004443	3q21-qter
204542_at	Luminal	SIAT7B	sialyltransferase 7 ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) B	NM_006456	17q25.3
202488_s_at	Luminal	FXYD3	FXYD domain containing ion transport regulator 3	NM_005971 /// NM_021910	19q13.13
203571_s_at	Luminal	C10orf116	chromosome 10 open reading frame 116	NM_006829	10q23.31
1553602_at	Luminal	LOC118430	small breast epithelial mucin	---	12q
203287_at	Luminal	LAD1	ladinin 1	NM_005558	1q25.1-q32.3
235141_at	Luminal	MRVLDC2	MARVEL (membrane-associating) domain containing 2	NM_144724	5q13.1
218086_at	Luminal	NPDC1	neural proliferation, differentiation and control, 1	NM_015392	9q34.3
202109_at	Luminal	ARFIP2	ADP-ribosylation factor interacting protein 2 (arfaptin 2)	NM_012402	11p15
229292_at	Luminal	EPB41L5	erythrocyte membrane protein band 4.1 like 5	NM_020909	2q14.2
220638_s_at	Luminal	CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	NM_012116	19q13.2
202181_at	Luminal	KIAA0247	KIAA0247	NM_014734	14q24.1
218262_at	Luminal	FLJ22318	hypothetical protein FLJ22318	NM_022762	5q35.3
219395_at	Luminal	FLJ21918	hypothetical protein FLJ21918	NM_024939	16q22.1
218677_at	Luminal	S100A14	S100 calcium binding protein A14	NM_020672	1q21.1
208873_s_at	Luminal	DP1	polyposis locus protein 1	NM_005669	5q22-q23
227747_at	Luminal	LOC196264	hypothetical protein LOC196264	---	11q23.3
232164_s_at	Luminal	EPPK1	epiplakin 1	NM_031308	8q24.3
231195_at	Luminal		Transcribed sequences	---
236113_at	Luminal		Transcribed sequence with weak  similarity to protein sp:P39194 (H.sapiens)	---
212593_s_at	Luminal	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	NM_014456 /// NM_145341	10q24
213315_x_at	Luminal	LOC91966	hypothetical protein LOC91966	NM_001013845 /// NM_178124	xq28
225001_at	Luminal	RAB3D	RAB3D, member RAS oncogene family	NM_004283	19p13.2
210434_x_at	Luminal	JTB	jumping translocation breakpoint	NM_006694	1q21
1552685_a_at	Luminal	TFCP2L2	transcription factor CP2-like 2	NM_014552 /// NM_198182	2p25.1
65517_at	Luminal	AP1M2	adaptor-related protein complex 1, mu 2 subunit	NM_005498	19p13.2
224925_at	Luminal	PREX1	phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1	NM_020820	20q13.13
230323_s_at	Luminal	LOC120224	hypothetical protein BC016153	NM_138788	11q24.3
218779_x_at	Luminal	EPS8L1	EPS8-like 1	NM_017729 /// NM_133180 /// NM_139204	19q13.42
222537_s_at	Luminal	SPEC1	small protein effector 1 of Cdc42	NM_020239	1q21.3
219411_at	Luminal	ELMO3	engulfment and cell motility 3 (ced-12 homolog, C. elegans)	NM_024712	16q22.1
212961_x_at	Luminal	LOC91966	hypothetical protein LOC91966	NM_001013845	xq28
225078_at	Luminal	EMP2	epithelial membrane protein 2	NM_001424	16p13.2
209459_s_at	Luminal	ABAT	4-aminobutyrate aminotransferase	NM_000663 /// NM_020686	16p13.2
236225_at	Luminal	FLJ90165	hypothetical protein FLJ90165	NM_153338	17p13.3
225425_s_at	Luminal	MRPL41	mitochondrial ribosomal protein L41	NM_032477	9q34.3
206949_s_at	Luminal	RUSC1	RUN and SH3 domain containing 1	NM_014328	1q21-q22
228153_at	Luminal	IBRDC2	IBR domain containing 2	NM_182757	6p22.3
209617_s_at	Luminal	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	NM_001332	5p15.2
216092_s_at	Luminal	SLC7A8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	NM_012244 /// NM_182728	14q11.2
224909_s_at	Luminal	PREX1	phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1	NM_020820	20q13.13
210715_s_at	Luminal	SPINT2	serine protease inhibitor, Kunitz type, 2	NM_021102	19q13.1
201427_s_at	Luminal	SEPP1	selenoprotein P, plasma, 1	NM_005410	5q31
212400_at	Luminal	MGC50853	hypothetical protein MGC50853	NM_203305
215465_at	Luminal	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	NM_015657 /// NM_173076	2q34-q35
206683_at	Luminal	ZNF165	zinc finger protein 165	NM_003447	6p21.3
226405_s_at	Luminal	ARRDC1	arrestin domain containing 1	NM_152285	9q34.3
205807_s_at	Luminal	TUFT1	tuftelin 1	NM_020127	1q21
229223_at	Luminal		Transcribed sequence with strong similarity to protein pir:A57377 (H.sapiens) A57377 transcription factor NFATx - human	NM_004555 /// NM_173163 /// NM_173164 /// NM_173165
224146_s_at	Luminal	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	NM_032583 /// NM_033151 /// NM_145186	16q12.1
1566766_a_at	Luminal		MRNA full length insert cDNA clone EUROIMAGE 2344436	---
240452_at	Luminal	GSPT1	G1 to S phase transition 1	NM_002094	16p13.1
218928_s_at	Luminal	SLC37A1	solute carrier family 37 (glycerol-3-phosphate transporter), member 1	NM_018964	21q22.3
215108_x_at	Luminal	TNRC9	trinucleotide repeat containing 9	XM_049037	16q12.2
221856_s_at	Luminal	FLJ11280	hypothetical protein FLJ11280	NM_018379	1q21.3
205251_at	Luminal	PER2	period homolog 2 (Drosophila)	NM_003894 /// NM_022817	2q37.3
204623_at	Luminal	TFF3	trefoil factor 3 (intestinal)	NM_003226	21q22.3
213174_at	Luminal	TTC9	tetratricopeptide repeat domain 9	XM_027236	14q24.1
219259_at	Luminal	SEMA4A	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	NM_022367	1q22
38269_at	Luminal	PRKD2	protein kinase D2	NM_016457	19q13.3
210372_s_at	Luminal	TPD52L1	tumor protein D52-like 1	NM_001003395 /// NM_001003396 /// NM_001003397 /// NM_003287	6q22-q23
212727_at	Luminal	DLG3	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	NM_021120	xq13.1
204975_at	Luminal	EMP2	epithelial membrane protein 2	NM_001424	16p13.2
203786_s_at	Luminal	TPD52L1	tumor protein D52-like 1	NM_001003395 /// NM_001003396 /// NM_001003397 /// NM_003287	6q22-q23
228303_at	Luminal		Transcribed sequence with weak  similarity to protein sp:P39194 (H.sapiens)	NM_007210
226167_at	Luminal	SYT7	synaptotagmin VII	NM_004200	11q12-q13.1
216060_s_at	Luminal	DAAM1	dishevelled associated activator of morphogenesis 1	NM_014992	14q23.1
218261_at	Luminal	AP1M2	adaptor-related protein complex 1, mu 2 subunit	NM_005498	19p13.2
225391_at	Luminal	LOC93622	hypothetical protein BC006130	NM_138699	4p16.1
219956_at	Luminal	GALNT6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)	NM_007210	12q13
224832_at	Luminal	DUSP16	dual specificity phosphatase 16	NM_030640	12p13
216836_s_at	Luminal	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	NM_001005862 /// NM_004448	17q21.1
233280_at	Luminal		CDNA FLJ12275 fis, clone MAMMA1001686	NM_006393 /// NM_213569
35666_at	Luminal	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	NM_004186	3p21.3
