Probe Set ID	Cluster Figure 1	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
202311_s_at	Stromal	COL1A1	collagen, type I, alpha 1	NM_000088	17q21.3-q22.1
202310_s_at	Stromal	COL1A1	collagen, type I, alpha 1	NM_000088	17q21.3-q22.1
203325_s_at	Stromal	COL5A1	collagen, type V, alpha 1	NM_000093	9q34.2-q34.3
212489_at	Stromal	COL5A1	collagen, type V, alpha 1	NM_000093	9q34.2-q34.3
212488_at	Stromal	COL5A1	collagen, type V, alpha 1	NM_000093	9q34.2-q34.3
211161_s_at	Stromal	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	NM_000090	2q31
215076_s_at	Stromal	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	NM_000090	2q31
201852_x_at	Stromal	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	NM_000090	2q31
221729_at	Stromal	COL5A2	collagen, type V, alpha 2	NM_000393	2q14-q32
204619_s_at	Stromal	CSPG2	chondroitin sulfate proteoglycan 2 (versican)	NM_004385	5q14.3
201792_at	Stromal	AEBP1	AE binding protein 1	NM_001129	7p13
209955_s_at	Stromal	FAP	fibroblast activation protein, alpha	NM_004460	2q23
215646_s_at	Stromal	CSPG2	chondroitin sulfate proteoglycan 2 (versican) /// chondroitin sulfate proteoglycan 2 (versican)	NM_004385	5q14.3
211571_s_at	Stromal	CSPG2	chondroitin sulfate proteoglycan 2 (versican)	NM_004385	5q14.3
221731_x_at	Stromal	CSPG2	chondroitin sulfate proteoglycan 2 (versican)	NM_004385	5q14.3
204620_s_at	Stromal	CSPG2	chondroitin sulfate proteoglycan 2 (versican)	NM_004385	5q14.3
210809_s_at	Stromal	POSTN	periostin, osteoblast specific factor	NM_006475	13q13.3
1555778_a_at	Stromal	POSTN	periostin, osteoblast specific factor	NM_006475	13q13.3
226777_at	Stromal	ADAM12	A disintegrin and metalloproteinase domain 12 (meltrin alpha)	NM_003474 /// NM_021641	10q26.3
202952_s_at	Stromal	ADAM12	a disintegrin and metalloproteinase domain 12 (meltrin alpha)	NM_003474 /// NM_021641	10q26.3
226311_at	Stromal		Full-length cDNA clone CS0DI014YH21 of Placenta Cot 25-normalized of Homo sapiens (human)
231879_at	Stromal	COL12A1	collagen, type XII, alpha 1	NM_004370 /// NM_080645	6q12-q13
231766_s_at	Stromal	COL12A1	collagen, type XII, alpha 1	NM_004370 /// NM_080645	6q12-q13
225664_at	Stromal	COL12A1	collagen, type XII, alpha 1	NM_004370 /// NM_080645	6q12-q13
209596_at	Stromal	DKFZp564I1922	adlican	NM_015419	Xp22.33
37892_at	Stromal	COL11A1	collagen, type XI, alpha 1	NM_001854 /// NM_080629 /// NM_080630	1p21
204320_at	Stromal	COL11A1	collagen, type XI, alpha 1	NM_001854 /// NM_080629 /// NM_080630	1p21
212464_s_at	Stromal	FN1	fibronectin 1	NM_002026 /// NM_054034 /// NM_212474 /// NM_212475 /// NM_212476 /// NM_212478 /// NM_212482	2q34
211719_x_at	Stromal	FN1	fibronectin 1 /// fibronectin 1	NM_002026 /// NM_054034 /// NM_212474 /// NM_212475 /// NM_212476 /// NM_212478 /// NM_212482	2q34
216442_x_at	Stromal	FN1	fibronectin 1	NM_002026 /// NM_054034 /// NM_212474 /// NM_212475 /// NM_212476 /// NM_212478 /// NM_212482	2q34
210495_x_at	Stromal	FN1	fibronectin 1	NM_002026 /// NM_054034 /// NM_212474 /// NM_212475 /// NM_212476 /// NM_212478 /// NM_212482	2q34
212344_at	Stromal	SULF1	sulfatase 1	NM_015170	8q13.2-q13.3
212354_at	Stromal	SULF1	sulfatase 1	NM_015170	8q13.2-q13.3
212353_at	Stromal	SULF1	sulfatase 1	NM_015170	8q13.2-q13.3
227140_at	Stromal	INHBA	Inhibin, beta A (activin A, activin AB alpha polypeptide)	NM_002192	7p15-p13
210511_s_at	Stromal	INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)	NM_002192	7p15-p13
217428_s_at	Stromal	COL10A1	collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	NM_000493	6q21-q22
205941_s_at	Stromal	COL10A1	collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	NM_000493	6q21-q22
224396_s_at	Stromal	ASPN	asporin (LRR class 1) /// asporin (LRR class 1)	NM_017680	9q22
219087_at	Stromal	ASPN	asporin (LRR class 1)	NM_017680	9q22
226930_at	Stromal	FNDC1	fibronectin type III domain containing 1	XM_027658	6q25
226237_at	Stromal	COL8A1	Collagen, type VIII, alpha 1	NM_001850 /// NM_020351	3q12.3
224694_at	Stromal	ANTXR1	anthrax toxin receptor 1	NM_018153 /// NM_032208 /// NM_053034	2p13.1
211668_s_at	Stromal	PLAU	plasminogen activator, urokinase /// plasminogen activator, urokinase	NM_002658	10q24
205479_s_at	Stromal	PLAU	plasminogen activator, urokinase	NM_002658	10q24
212942_s_at	Stromal	KIAA1199	KIAA1199	NM_018689	15q24
213125_at	Stromal	OLFML2B	olfactomedin-like 2B	NM_015441	1q23.3
208850_s_at	Stromal	THY1 /// LOC94105	Thy-1 cell surface antigen /// Thy-1 co-transcribed	NM_006288 /// NM_033209	11q22.3-q23
213869_x_at	Stromal	THY1	Thy-1 cell surface antigen	NM_006288	11q22.3-q23
208851_s_at	Stromal	THY1 /// LOC94105	Thy-1 cell surface antigen /// Thy-1 co-transcribed	NM_006288 /// NM_033209	11q22.3-q23
203570_at	Stromal	LOXL1	lysyl oxidase-like 1	NM_005576	15q24-q25|15q22
235629_at	Stromal	FN1	Fibronectin 1	NM_002026 /// NM_054034 /// NM_212474 /// NM_212475 /// NM_212476 /// NM_212478 /// NM_212482	2q34
200907_s_at	Stromal	KIAA0992	palladin	NM_016081	4q32.3
200897_s_at	Stromal	KIAA0992	palladin	NM_016081	4q32.3
201110_s_at	Stromal	THBS1	thrombospondin 1	NM_003246	15q15
201109_s_at	Stromal	THBS1	thrombospondin 1	NM_003246	15q15
201108_s_at	Stromal	THBS1	thrombospondin 1	NM_003246	15q15
209101_at	Stromal	CTGF	connective tissue growth factor	NM_001901	6q23.1
226695_at	Stromal	PRRX1	paired related homeobox 1	NM_006902 /// NM_022716	1q24
205991_s_at	Stromal	PRRX1	paired related homeobox 1	NM_006902 /// NM_022716	1q24
223278_at	Stromal	GJB2	gap junction protein, beta 2, 26kDa (connexin 26)	NM_004004	13q11-q12
232231_at	Stromal	RUNX2	Runt-related transcription factor 2	NM_001015051 /// NM_004348	6p21
207191_s_at	Stromal	ISLR	immunoglobulin superfamily containing leucine-rich repeat	NM_005545 /// NM_201526	15q23-q24
218162_at	Stromal	OLFML3	olfactomedin-like 3	NM_020190	1p13.2
209684_at	Stromal	RIN2	Ras and Rab interactor 2	NM_018993
204517_at	Stromal	PPIC	peptidylprolyl isomerase C (cyclophilin C)	NM_000943	5q23.2
209348_s_at	Stromal	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	NM_005360	16q22-q23
225481_at	Stromal	C14orf31	chromosome 14 open reading frame 31	NM_152330	14q22.1
225464_at	Stromal	C14orf31	chromosome 14 open reading frame 31	NM_152330	14q22.1
223690_at	Stromal	LTBP2	latent transforming growth factor beta binding protein 2	NM_000428	14q24
204682_at	Stromal	LTBP2	latent transforming growth factor beta binding protein 2	NM_000428	14q24
223204_at	Stromal	DKFZp434L142	hypothetical protein DKFZp434L142	NM_016613	4q32.1
212764_at	Stromal
204464_s_at	Stromal	EDNRA	endothelin receptor type A	NM_001957	4q31.22-q31.23
213069_at	Stromal	HEG	HEG homolog 1 (zebrafish)	XM_087386	3q21.2
203477_at	Stromal	COL15A1	collagen, type XV, alpha 1	NM_001855	9q21-q22
202008_s_at	Stromal	NID	nidogen (enactin)	NM_002508	1q43
202007_at	Stromal	NID	nidogen (enactin)	NM_002508	1q43
201655_s_at	Stromal	HSPG2	heparan sulfate proteoglycan 2 (perlecan)	NM_005529	1p36.1-p34
221814_at	Stromal	GPR124	G protein-coupled receptor 124	NM_032777	8p12
219700_at	Stromal	PLXDC1	plexin domain containing 1	NM_020405	17q21.1
214081_at	Stromal	PLXDC1	plexin domain containing 1	NM_020405	17q21.1
202273_at	Stromal	PDGFRB	platelet-derived growth factor receptor, beta polypeptide	NM_002609	5q31-q32
226632_at	Stromal	CYGB	cytoglobin	NM_134268	17q25.3
209651_at	Stromal	TGFB1I1	transforming growth factor beta 1 induced transcript 1	NM_015927	16p11.2
213071_at	Stromal	DPT	dermatopontin	NM_001937	1q12-q23
209496_at	Stromal	RARRES2	retinoic acid receptor responder (tazarotene induced) 2	NM_002889	7q36.1
210139_s_at	Stromal	PMP22	peripheral myelin protein 22	NM_000304 /// NM_153321 /// NM_153322	17p12-p11.2
217890_s_at	Stromal	PARVA	parvin, alpha	NM_018222	11p15.3
208782_at	Stromal	FSTL1	follistatin-like 1	NM_007085	3q13.33
213001_at	Stromal	ANGPTL2	angiopoietin-like 2	NM_012098	9q34
221541_at	Stromal	CRISPLD2	cysteine-rich secretory protein LCCL domain containing 2	NM_031476	16q24.1
213139_at	Stromal	SNAI2	snail homolog 2 (Drosophila)	NM_003068	8q11
204955_at	Stromal	SRPX	sushi-repeat-containing protein, X-linked	NM_006307	Xp21.1
203131_at	Stromal	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	NM_006206	4q11-q13
203666_at	Stromal	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	NM_000609 /// NM_199168	10q11.1
209687_at	Stromal	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	NM_000609 /// NM_199168	10q11.1
208944_at	Stromal
202283_at	Stromal	SERPINF1	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	NM_002615	17p13.1
210757_x_at	Stromal	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	NM_001343	5p13
201279_s_at	Stromal	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	NM_001343	5p13
201280_s_at	Stromal	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	NM_001343	5p13
204051_s_at	Stromal	SFRP4	secreted frizzled-related protein 4	NM_003014	7p14.1
218718_at	Stromal	PDGFC	platelet derived growth factor C	NM_016205	4q32
200974_at	Stromal	ACTA2	actin, alpha 2, smooth muscle, aorta	NM_001613	10q23.3
205547_s_at	Stromal	TAGLN	transgelin	NM_001001522 /// NM_003186	11q23.2
1555724_s_at	Stromal	TAGLN	transgelin	NM_001001522 /// NM_003186	11q23.2
201058_s_at	Stromal	MYL9	myosin, light polypeptide 9, regulatory	NM_006097 /// NM_181526	20q11.23
208789_at	Stromal	PTRF	polymerase I and transcript release factor	NM_012232	17q21.2
1557938_s_at	Stromal	PTRF	polymerase I and transcript release factor	NM_012232	17q21.2
225782_at	Stromal
213422_s_at	Stromal	MGC3047	limitrin	NM_032348	1p36.33
231579_s_at	Stromal	TIMP2	tissue inhibitor of metalloproteinase 2	NM_003255	17q25
224560_at	Stromal	TIMP2	tissue inhibitor of metalloproteinase 2	NM_003255	17q25
223122_s_at	Stromal	SFRP2	secreted frizzled-related protein 2	NM_003013	4q31.3
223121_s_at	Stromal	SFRP2	secreted frizzled-related protein 2	NM_003013	4q31.3
202465_at	Stromal	PCOLCE	procollagen C-endopeptidase enhancer	NM_002593	7q22
201069_at	Stromal	MMP2	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	NM_004530	16q13-q21
209356_x_at	Stromal	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	NM_016938	11q13
227061_at	Stromal		CDNA FLJ44429 fis, clone UTERU2015653
225242_s_at	Stromal	URB	steroid sensitive gene 1	NM_199511 /// NM_199512	3q13.2
211813_x_at	Stromal	DCN	decorin	NM_001920 /// NM_133503 /// NM_133504 /// NM_133505 /// NM_133506 /// NM_133507	12q21.33
211896_s_at	Stromal	DCN	decorin	NM_001920 /// NM_133503 /// NM_133504 /// NM_133505 /// NM_133506 /// NM_133507	12q21.33
201893_x_at	Stromal	DCN	decorin	NM_001920 /// NM_133503 /// NM_133504 /// NM_133505 /// NM_133506 /// NM_133507	12q21.33
209335_at	Stromal	DCN	decorin	NM_001920 /// NM_133503 /// NM_133504 /// NM_133505 /// NM_133506 /// NM_133507	12q21.33
202450_s_at	Stromal	CTSK	cathepsin K (pycnodysostosis)	NM_000396	1q21
201278_at	Stromal	DAB2	Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	NM_001343	5p13
227070_at	Stromal	GLT8D2	glycosyltransferase 8 domain containing 2	NM_031302	12q
202995_s_at	Stromal	FBLN1	fibulin 1	NM_001996 /// NM_006485 /// NM_006486 /// NM_006487	22q13.31
202994_s_at	Stromal	FBLN1	fibulin 1	NM_001996 /// NM_006485 /// NM_006486 /// NM_006487	22q13.31
209436_at	Stromal	SPON1	spondin 1, extracellular matrix protein	NM_006108	11p15.2
200665_s_at	Stromal	SPARC	secreted protein, acidic, cysteine-rich (osteonectin) /// secreted protein, acidic, cysteine-rich (osteonectin)	NM_003118	5q31.3-q32
212667_at	Stromal	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	NM_003118	5q31.3-q32
202766_s_at	Stromal	FBN1	fibrillin 1 (Marfan syndrome)	NM_000138	15q21.1
201438_at	Stromal	COL6A3	collagen, type VI, alpha 3	NM_004369 /// NM_057164 /// NM_057165 /// NM_057166 /// NM_057167	2q37
201185_at	Stromal	PRSS11	protease, serine, 11 (IGF binding)	NM_002775	10q26.3
209758_s_at	Stromal	MFAP5	microfibrillar associated protein 5	NM_003480	12p13.1-p12.3
213765_at	Stromal	MFAP5	microfibrillar associated protein 5	NM_003480	12p13.1-p12.3
213764_s_at	Stromal	MFAP5	microfibrillar associated protein 5	NM_003480	12p13.1-p12.3
201431_s_at	Stromal	DPYSL3	dihydropyrimidinase-like 3	NM_001387	5q32
202765_s_at	Stromal	FBN1	fibrillin 1 (Marfan syndrome)	NM_000138	15q21.1
229554_at	Stromal	LUM	Lumican	NM_002345	12q21.3-q22
201744_s_at	Stromal	LUM	lumican	NM_002345	12q21.3-q22
204114_at	Stromal	NID2	nidogen 2 (osteonidogen)	NM_007361	14q21-q22
202948_at	Stromal	IL1R1	interleukin 1 receptor, type I	NM_000877	2q12
202878_s_at	Stromal	C1QR1	complement component 1, q subcomponent, receptor 1	NM_012072	20p11.21
37408_at	Stromal	MRC2	mannose receptor, C type 2	NM_006039	17q23.3
204359_at	Stromal	FLRT2	fibronectin leucine rich transmembrane protein 2	NM_013231	14q24-q32
202686_s_at	Stromal	AXL	AXL receptor tyrosine kinase	NM_001699 /// NM_021913	19q13.1
227013_at	Stromal	LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)	NM_014572	13q11-q12
202709_at	Stromal	FMOD	fibromodulin	NM_002023	1q32
203305_at	Stromal	F13A1	coagulation factor XIII, A1 polypeptide	NM_000129	6p25.3-p24.3
205792_at	Stromal	WISP2	WNT1 inducible signaling pathway protein 2	NM_003881	20q12-q13.1
225913_at	Stromal	KIAA2002	KIAA2002 protein	XM_370878	15q24.3
211651_s_at	Stromal	LAMB1	laminin, beta 1 /// laminin, beta 1	NM_002291	7q22
201505_at	Stromal	LAMB1	laminin, beta 1	NM_002291	7q22
209210_s_at	Stromal	PLEKHC1	pleckstrin homology domain containing, family C (with FERM domain) member 1	NM_006832	14q22.1
201125_s_at	Stromal	ITGB5	integrin, beta 5	NM_002213	3q21.2
225275_at	Stromal	EDIL3	EGF-like repeats and discoidin I-like domains 3	NM_005711	5q14
214247_s_at	Stromal	DKK3	dickkopf homolog 3 (Xenopus laevis)	NM_013253 /// NM_015881	11p15.2
202363_at	Stromal	SPOCK	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	NM_004598	5q31
201163_s_at	Stromal	IGFBP7	insulin-like growth factor binding protein 7	NM_001553	4q12
201162_at	Stromal	IGFBP7	insulin-like growth factor binding protein 7	NM_001553	4q12
214927_at	Stromal
205422_s_at	Stromal	ITGBL1	integrin, beta-like 1 (with EGF-like repeat domains)	NM_004791	13q33
209360_s_at	Stromal	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	NM_001001890 /// NM_001754	21q22.3
201147_s_at	Stromal	TIMP3	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	NM_000362	22q12.1-q13.2|22q12.3
201150_s_at	Stromal	TIMP3	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	NM_000362	22q12.1-q13.2|22q12.3
201148_s_at	Stromal	TIMP3	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	NM_000362	22q12.1-q13.2|22q12.3
201149_s_at	Stromal	TIMP3	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	NM_000362	22q12.1-q13.2|22q12.3
225673_at	Stromal	MYADM	myeloid-associated differentiation marker	NM_138373	19q13.42
1555889_a_at	Stromal	CRTAP	cartilage associated protein	NM_006371	3p22.3
228739_at	Stromal		Cilia-associated protein (CYS1)
213273_at	Stromal	ODZ4	odz, odd Oz/ten-m homolog 4 (Drosophila)	XM_166254	11q14.1
213075_at	Stromal	OLFML2A	olfactomedin-like 2A	NM_182487	9q33.3
213790_at	Stromal	ADAM12	A disintegrin and metalloproteinase domain 12 (meltrin alpha)	NM_003474 /// NM_021641	10q26.3
226638_at	ERBB2-17q	ARHGAP23	Rho GTPase activating protein 23	XM_290799	17q12
215090_x_at	ERBB2-17q	LOC440434	hypothetical protein FLJ11822	XM_496214	17q12
214107_x_at	ERBB2-17q	LOC440434	hypothetical protein FLJ11822	XM_496214	17q12
215224_at	ERBB2-17q	RPL23	ribosomal protein L23	NM_000978	17q
242275_at	ERBB2-17q		Similar to upstream binding protein 1	XM_496216	17q12
64418_at	ERBB2-17q		CDNA FLJ34482 fis, clone HLUNG2004067
221937_at	ERBB2-17q		CDNA FLJ34482 fis, clone HLUNG2004067
209165_at	ERBB2-17q	AATF	apoptosis antagonizing transcription factor	NM_012138	17q11.2-q12
212186_at	ERBB2-17q	ACACA	acetyl-Coenzyme A carboxylase alpha	NM_000664 /// NM_198834 /// NM_198835 /// NM_198836 /// NM_198837 /// NM_198838 /// NM_198839	17q21
203367_at	ERBB2-17q	DUSP14	dual specificity phosphatase 14	NM_007026	17q12
209403_at	ERBB2-17q	TBC1D3 /// MGC44903	TBC1 domain family, member 3 /// similar to TBC1 domain family, member 3, telomeric	/// NM_001001418 /// NM_032258	17q12 /// 17q21.1
213637_at	ERBB2-17q		Transcribed locus, moderately similar to XP_517655.1 similar to KIAA0825 protein [Pan troglodytes]
212834_at	ERBB2-17q	DDX52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	NM_007010 /// NM_152300	17q21.1
210320_s_at	ERBB2-17q	DDX52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	NM_007010 /// NM_152300	17q21.1
230727_at	ERBB2-17q	LOC284106	hypothetical protein LOC284106	XM_375449	17q12
226727_at	ERBB2-17q	LOC284106	hypothetical protein LOC284106	XM_375449	17q12
201081_s_at	ERBB2-17q	PIP5K2B	phosphatidylinositol-4-phosphate 5-kinase, type II, beta	NM_003559 /// NM_138687	17q12
201080_at	ERBB2-17q	PIP5K2B	Phosphatidylinositol-4-phosphate 5-kinase, type II, beta	NM_003559 /// NM_138687	17q12
222706_at	ERBB2-17q	FLJ20291	hypothetical protein FLJ20291	NM_017748	17q12
218655_s_at	ERBB2-17q	FLJ20291	hypothetical protein FLJ20291	NM_017748	17q12
225628_s_at	ERBB2-17q	MLLT6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	NM_005937	17q21
224784_at	ERBB2-17q	MLLT6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	NM_005937	17q21
228662_at	ERBB2-17q	SOCS7	Suppressor of cytokine signaling 7	NM_014598	17q12
226572_at	ERBB2-17q
224479_s_at	ERBB2-17q	MRPL45	mitochondrial ribosomal protein L45 /// mitochondrial ribosomal protein L45	NM_032351	17q21.2
201400_at	ERBB2-17q	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	NM_002795	17q12
200618_at	ERBB2-17q	LASP1	LIM and SH3 protein 1	NM_006148	17q11-q21.3
203792_x_at	ERBB2-17q	PCGF2	polycomb group ring finger 2	NM_007144	17q12
236838_at	ERBB2-17q		Homo sapiens, clone IMAGE:4940467, mRNA
216836_s_at	ERBB2-17q	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	NM_001005862 /// NM_004448	17q11.2-q12|17q21.1
210761_s_at	ERBB2-17q	GRB7	growth factor receptor-bound protein 7	NM_005310	17q12
224447_s_at	ERBB2-17q	C17orf37	chromosome 17 open reading frame 37 /// chromosome 17 open reading frame 37	NM_032339	17q12
55616_at	ERBB2-17q	PERLD1	per1-like domain containing 1	NM_033419	17q12
221811_at	ERBB2-17q	PERLD1	per1-like domain containing 1	NM_033419	17q12
202991_at	ERBB2-17q	STARD3	START domain containing 3	NM_006804	17q11-q12
213557_at	ERBB2-17q	CRK7	CDC2-related protein kinase 7	NM_016507	17q12
226842_at	ERBB2-17q	LOC90110	hypothetical protein LOC90110		17q21.2
225691_at	ERBB2-17q	CRK7	CDC2-related protein kinase 7	NM_016507	17q12
225694_at	ERBB2-17q	CRK7	CDC2-related protein kinase 7	NM_016507	17q12
225690_at	ERBB2-17q	CRK7	CDC2-related protein kinase 7	NM_016507	17q12
225456_at	ERBB2-17q	PPARBP	PPAR binding protein	NM_004774	17q12-q21.1
219226_at	ERBB2-17q	CRK7	CDC2-related protein kinase 7	NM_016507	17q12
225697_at	ERBB2-17q	CRK7	CDC2-related protein kinase 7	NM_016507	17q12
203496_s_at	ERBB2-17q	PPARBP	PPAR binding protein	NM_004774	17q12-q21.1
225452_at	ERBB2-17q	PPARBP	PPAR binding protein	NM_004774	17q12-q21.1
203497_at	ERBB2-17q	PPARBP	PPAR binding protein	NM_004774	17q12-q21.1
1556655_s_at	ERBB2-17q		CDNA FLJ38740 fis, clone KIDNE2011782
1556654_at	ERBB2-17q		CDNA FLJ38740 fis, clone KIDNE2011782
235089_at	ERBB2-17q	FBXL20	F-box and leucine-rich repeat protein 20	NM_032875	17q12
239224_at	ERBB2-17q	FBXL20	F-box and leucine-rich repeat protein 20	NM_032875	17q12
239223_s_at	ERBB2-17q	FBXL20	F-box and leucine-rich repeat protein 20	NM_032875	17q12
200029_at	ERBB2-17q	RPL19	ribosomal protein L19 /// ribosomal protein L19	NM_000981	17q11.2-q12
232412_at	ERBB2-17q	FBXL20	F-box and leucine-rich repeat protein 20	NM_032875	17q12
210930_s_at	ERBB2-17q	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	NM_001005862 /// NM_004448	17q11.2-q12|17q21.1
214744_s_at	ERBB2-17q		Similar to Zgc:73149 protein	XM_498092	6p21.2
203793_x_at	ERBB2-17q	PCGF2	polycomb group ring finger 2	NM_007144	17q12
214239_x_at	ERBB2-17q	PCGF2	polycomb group ring finger 2	NM_007144	17q12
213551_x_at	ERBB2-17q	PCGF2	polycomb group ring finger 2	NM_007144	17q12
210185_at	ERBB2-17q	CACNB1	calcium channel, voltage-dependent, beta 1 subunit	NM_000723 /// NM_199247 /// NM_199248	17q21-q22
209641_s_at	ERBB2-17q	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	NM_003786 /// NM_020037 /// NM_020038	17q22
208161_s_at	ERBB2-17q	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	NM_003786 /// NM_020037 /// NM_020038	17q22
230682_x_at	ERBB2-17q	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	NM_003786 /// NM_020037 /// NM_020038	17q22
226419_s_at	ERBB2-17q	SFRS1	Splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	NM_006924	17q21.3-q22
228066_at	ERBB2-17q		Full-length cDNA clone CS0DK005YO12 of HeLa cells Cot 25-normalized of Homo sapiens (human)
219598_s_at	Ribosomal	RWDD1	RWD domain containing 1	NM_001007464 /// NM_015952 /// NM_016104	6q13-q22.33
203259_s_at	Ribosomal	C6orf74	chromosome 6 open reading frame 74	NM_016063	6q13-q24.3
200802_at	Ribosomal	SARS	seryl-tRNA synthetase	NM_006513	1p13.3-p13.1
218495_at	Ribosomal	UXT	ubiquitously-expressed transcript	NM_004182 /// NM_153477	Xp11.23-p11.22
218320_s_at	Ribosomal	NDUFB11	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa	NM_019056	Xp11.3
