Probe Set	Accession	Gene Symbol	FC:(Tlob/ normal lobular)	pfp	Increase	Decrease
217014_s_at	AC_004522	AZGP1	-3,9604	0,0327	0	5
218102_at	NM_015954	DERA	-3,93856	0,0693	0	4
1557527_at	BU789637	---	-3,93391	0,0909	0	4
202950_at	NM_001889	CRYZ	-3,93082	0,0854	0	4
227764_at	AA227842	MGC52057	-3,91696	0,0354	0	4
207791_s_at	NM_004161	RAB1A	-3,86548	0,096	0	4
222156_x_at	AK022459	CCPG1	-3,86399	0,0541	0	4
228854_at	AI492388	---	-3,861	0,0628	0	4
214912_at	AK022067	---	-3,80518	0,0623	0	4
233002_at	AB046842	KIAA1622	-3,74953	0,0498	0	4
203439_s_at	BC000658	STC2	-3,74251	0,033	0	4
208703_s_at	BG427393	APLP2	-3,73692	0,0914	0	4
229955_at	AW772096	FBXO3	-3,72995	0,0723	0	4
222829_s_at	BE219979	IL20RA	-3,72162	0,0682	0	5
205509_at	NM_001871	CPB1	-3,69276	0,0449	1	4
228716_at	BG494007	THRB	-3,69004	0,0949	0	4
225426_at	AW195360	PPP6C	-3,65097	0,0598	0	5
218980_at	NM_025135	FHOD3	-3,63769	0,0967	0	4
244267_at	AA237039	LOC401056	-3,63108	0,0874	1	4
209309_at	D90427	AZGP1	-3,62582	0,058	0	5
209369_at	M63310	ANXA3	-3,57015	0,0922	1	4
219255_x_at	NM_018725	IL17RB	-3,53357	0,0821	1	4
222387_s_at	BG476669	VPS35	-3,52113	0,0486	1	4
218184_at	NM_020245	TULP4	-3,50018	0,096	0	4
224361_s_at	AF250309	IL17RB	-3,48068	0,0924	1	4
230364_at	BF940025	CHPT1	-3,45543	0,0687	0	4
204591_at	NM_006614	CHL1	-3,44471	0,0893	0	4
233019_at	AU145061	CNOT7	-3,43053	0,0825	0	5
236538_at	BE219628	GRIA2	-3,42349	0,0238	1	4
225207_at	AV707102	PDK4	-3,4118	0,0814	1	4
212560_at	AV728268	C11orf32	-3,39443	0,0973	0	5
225334_at	AI147621	C10orf32	-3,37952	0,0897	1	4
215096_s_at	AU145746	ESD	-3,35683	0,0978	0	5
206306_at	NM_001036	RYR3	-3,30907	0,0839	0	4
235182_at	AI816793	C20orf82	-3,13578	0,0939	0	4
239348_at	AI285970	USP31	-3,04044	0,0846	0	4
204955_at	NM_006307	SRPX	2,2556	0,0921	4	1
216834_at	S59049	RGS1	2,7752	0,0658	4	1
224791_at	AW513835	DDEF1	3,0101	0,0973	4	1
202988_s_at	NM_002922	RGS1	3,1415	0,092	4	1
204831_at	R59697	CDK8	3,2477	0,0805	4	1
232458_at	AU146808	---	3,486	0,0716	4	0
211981_at	NM_001845	COL4A1	3,5047	0,0504	4	0
211651_s_at	M20206	LAMB1	3,5562	0,0672	4	1
222018_at	AI992187	NACA /// NACAP1	3,6708	0,0709	4	1
74694_s_at	AA907940	RABEP2	3,7179	0,0705	4	1
231838_at	AK026760	C20orf119	3,7427	0,0531	4	0
212551_at	NM_006366	CAP2	3,7699	0,0922	4	1
224724_at	AL133001	SULF2	3,844	0,0598	5	0
218308_at	NM_006342	TACC3	3,8524	0,0882	4	0
38241_at	U90548	BTN3A3	3,9002	0,0484	4	0
223122_s_at	AF311912	SFRP2	3,9076	0,0617	4	1
202786_at	NM_013233	STK39	3,9119	0,0919	4	0
214059_at	BE049439	IFI44	3,9179	0,0719	4	0
212522_at	W73272	PDE8A	3,9517	0,0749	4	0
221731_x_at	BF218922	CSPG2	4,0149	0,0477	4	0
204051_s_at	AW089415	SFRP4	4,0162	0,0362	4	1
226695_at	AA775472	PRRX1	4,0237	0,05	5	0
210809_s_at	D13665	POSTN	4,0244	0,0472	5	0
204776_at	NM_003248	THBS4	4,0395	0,0604	4	0
213790_at	W46291	ADAM12	4,0401	0,0387	4	0
201069_at	NM_004530	MMP2	4,054	0,0665	4	0
209596_at	AF245505	MXRA5	4,0885	0,0476	5	0
219562_at	NM_014353	RAB26	4,1811	0,0654	4	0
201792_at	NM_001129	AEBP1	4,1989	0,0468	4	0
202543_s_at	BC005359	GMFB	4,2362	0,0476	4	0
210114_at	AF039217	INVS	4,2404	0,0609	4	0
218254_s_at	NM_016103	SAR1B	4,25	0,0368	5	0
211964_at	X05610	COL4A2	4,277	0,0301	5	0
202664_at	AW058622	WASPIP	4,3563	0,0334	4	0
229732_at	AI417785	HSZFP36	4,4573	0,0315	4	0
201438_at	NM_004369	COL6A3	4,4592	0,0319	5	0
204620_s_at	NM_004385	CSPG2	4,4781	0,0258	4	0
220088_at	NM_001736	C5R1	4,4831	0,0205	4	0
214657_s_at	AU134977	---	4,4862	0,043	5	0
1556821_x_at	H48516	---	4,5092	0,0152	4	0
229723_at	BF591040	TAGAP	4,511	0,0347	4	0
1555778_a_at	AY140646	POSTN	4,5233	0,02	5	0
203878_s_at	NM_005940	MMP11	4,5908	0,0448	4	0
224967_at	W72338	UGCG	4,6344	0,029	4	0
238436_s_at	AV726376	LOC390980	4,6757	0,0258	4	1
201261_x_at	BC002416	BGN	4,8333	0,0164	4	0
225664_at	AA788946	COL12A1	4,8404	0,0282	4	0
205269_at	AI123251	LCP2	4,8966	0,0102	4	0
212646_at	D42043	RAFTLIN	5,0135	0,01	4	0
229861_at	N66669	LOC440426	5,0695	0,0149	5	0
202589_at	NM_001071	TYMS	5,1161	0,0208	4	0
232165_at	AL137725	EPPK1	5,1858	0,0202	4	0
1556499_s_at	BE221212	COL1A1	5,336	0,0117	4	0
227300_at	AL521682	LOC338773	5,3881	0,0149	5	0
229218_at	AA628535	COL1A2	5,499	0,0113	5	0
226777_at	AA147933	ADAM12	5,7243	0,01	5	0
215446_s_at	L16895	LOX	5,7418	0,0102	4	0
219787_s_at	NM_018098	ECT2	5,8072	0,0076	4	0
223121_s_at	AW003584	SFRP2	5,8153	0,0087	4	1
202403_s_at	AA788711	COL1A2	6,2089	0,0069	4	0
209875_s_at	M83248	SPP1	6,4648	0,0029	5	0
203083_at	NM_003247	THBS2	6,5243	0,0054	4	0
226930_at	AI345957	FNDC1	6,5399	0,0044	4	1
215076_s_at	AU144167	COL3A1	6,5671	0,0048	5	0
37892_at	J04177	COL11A1	6,6394	0,0047	4	0
205713_s_at	NM_000095	COMP	6,6758	0,003	4	0
217028_at	AJ224869	CXCR4	6,7206	0,0028	5	0
201852_x_at	AI813758	COL3A1	6,9855	0,0029	5	0
212489_at	AI983428	COL5A1	7,0685	0,0031	4	0
212488_at	N30339	COL5A1	7,1614	0,0023	4	0
213909_at	AU147799	LRRC15	7,3073	0,0024	4	1
210495_x_at	AF130095	FN1	7,4298	0,003	5	0
227539_at	AW298099	GNA13	7,5071	0,0028	4	0
235318_at	AW955612	FBN1	7,6767	0,0022	4	1
212464_s_at	X02761	FN1	8,0165	0,0024	5	0
216442_x_at	AK026737	FN1	8,0492	0,0025	5	0
213905_x_at	AA845258	BGN /// SDCCAG33	8,2684	0,002	5	0
226237_at	AL359062	COL8A1	8,4093	0,0026	4	1
204619_s_at	BF590263	CSPG2	8,7529	0,0021	4	0
217428_s_at	X98568	COL10A1	8,8735	0,0028	4	0
241342_at	BG288115	TMEM65	9,0614	0,0023	5	0
229802_at	AA147884	WISP1	9,1643	0,0027	4	0
221729_at	AL575735	COL5A2	9,3198	0,0033	5	0
1557411_s_at	AK094254	LOC203427	9,364	0,0029	5	0
211719_x_at	BC005858	FN1	9,5835	0,0025	5	0
211161_s_at	AF130082	COL3A1	9,7744	0,0025	5	0
202310_s_at	K01228	COL1A1	10,3836	0,0017	5	0
213975_s_at	AV711904	LYZ /// LILRB1	10,7604	0	5	0
202311_s_at	AI743621	COL1A1	12,6839	0	5	0
219087_at	NM_017680	ASPN	22,1022	0	5	0
202404_s_at	NM_000089	COL1A2	30,4894	0	5	0
225681_at	AA584310	CTHRC1	48,3776	0	5	0
