Accession	Correl	Gene name	Function	Correlation
AA410604	0.38	CDC16 cell division cycle 16 homolog	C�some seg/repair	Positive
AA176819	0.38	EST	Unknown	Positive
AA416665	0.38	MUM2 protein	Unknown	Positive
AA046700	0.38	F-box only protein 32	Protein degradation	Positive
R02173	0.38	EST	Unknown	Positive
W31675	0.38	EST	Unknown	Positive
AA287196	0.38	Tetraspan 3	Cell adhesion	Positive
H59093	0.37	EST	Unknown	Positive
W60647	0.37	EST	Unknown	Positive
AA025275	0.37	Death-associated protein kinase 1	Apoptosis	Positive
AA455507	0.37	WBSCR20B	Unknown	Positive
AA680186	0.37	Chemokine (C-C motif) ligand 19	Chemotaxis	Positive
AA620746	0.37	EST	Unknown	Positive
R73500	0.37	Ribose 5-phosphate isomerase A	Pentose phos path	Positive
N72185	0.37	EST	Unknown	Positive
AA460369	0.37	EST	Unknown	Positive
AA191510	0.37	EST	Unknown	Positive
H27554	0.37	Progestin induced protein	protein degradation	Positive
W80688	0.37	EST	Unknown	Positive
W95082	0.37	Hydroxysteroid (11-�) dehydrogenase 2	Glucocort. biosynth	Positive
AA609774	0.36	EST	Unknown	Positive
N23399	0.36	EST	Unknown	Positive
H78002	0.36	EST	Unknown	Positive
AA431179	0.36	Nucleotide-sugar transporter similar to sqv-7	Transport	Positive
H94903	0.36	EST	Unknown	Positive
AA452988	0.36	Angio-associated, migratory cell protein	Cell motility	Positive
N79813	0.36	EST	Unknown	Positive
N29639	0.36	CMAH	Unknown	Positive
AA633882	0.36	GCN5-like 1	Transcription	Positive
R61337	0.36	NY-REN-25 antigen	Unknown	Positive
N75569	0.36	EST	Unknown	Positive
AA701976	0.36	Inositol 1,4,5-triphosphate receptor, type 3	Signal transduction	Positive
AA676604	-0.69	MORF-related gene X	Cell proliferation	Negative
AA464237	-0.63	Protein phosphatase 4, regulatory subunit 1	Unknown	Negative
AA427899	-0.61	�-tubulin	Cytoskeleton	Negative
AA426374	-0.6	Tubulin, alpha2	Cytoskeleton	Negative
T95200	-0.6	KIDDNS220	Unknown	Negative
W01084	-0.59	Polybromo 1	Unknown	Negative
AA630320	-0.59	Protease, serine, 15	Protease	Negative
AA485214	-0.59	Nucleobindin 2	Calcium ion binding	Negative
AA425089	-0.57	Clock homolog	Transcription	Negative
AA056465	-0.57	Non-POU domain containing, octamer-binding	RNA process/splicing	Negative
AA669758	-0.56	Nucleophosmin	RNA process/splicing	Negative
AA133187	-0.56	EST	Unknown	Negative
AA599175	-0.56	Nuclease sensitive element-binding protein 1	Transcription	Negative
AA481944	-0.56	Retinoic acid receptor responder 2	Unknown	Negative
AA428181	-0.56	Spindlin	C�some seg./repair	Negative
N89861	-0.56	Mitochondrial ribosomal protein L42	Unknown	Negative
AA152299	-0.55	EST	Unknown	Negative
R43471	-0.55	Aprataxin	Unknown	Negative
AA001918	-0.55	EST	Unknown	Negative
AA026682	-0.55	Topoisomerase (DNA) II alpha170 kDa	DNA repl/repair	Negative
W95041	-0.55	HS3ST3B1	Proteogly biosynth.	Negative
R98442	-0.55	UDP-glucose ceramide glucosyltransf-like 1	Protein modification	Negative
AA156743	-0.54	COBW-like protein	Unknown	Negative
AA181149	-0.54	EST	Unknown	Negative
AA680407	-0.54	EST	Unknown	Negative
AA044390	-0.53	UDP-glucose pyrophosphorylase 2	UDP-glucose metab.	Negative
R21170	-0.53	EST	Unknown	Negative
AA007509	-0.53	Tetratricopeptide repeat domain 3	Unknown	Negative
AA630346	-0.53	EST	Unknown	Negative
R02069	-0.52	Heterogeneous nuclear ribonucleoprotein H3	RNA process/splicing	Negative
R02820	-0.52	EST	Unknown	Negative
AA101348	-0.52	Dendritic cell protein	Unknown	Negative
AA159194	-0.52	FAT tumor suppressor homolog 1	Cell adhesion	Negative
W67309	-0.51	GTP-binding protein Sara	GTP-binding protein	Negative
AA416783	-0.51	H-2K binding factor-2	Transcription	Negative
AA425224	-0.51	Methionine adenosyltransferase II, beta	Unknown	Negative
AA419177	-0.5	SLC7A5	Amino acid transport	Negative
T67223	-0.5	EST	Unknown	Negative
R10675	-0.5	Scavenger receptor class A, member 3	Redox regulation	Negative
N90523	-0.5	Methionyl-tRNA formyltransferase, mitochond.	Unknown	Negative
H73265	-0.5	EST	Unknown	Negative
AA629923	-0.5	pM5 protein	Unknown	Negative
AA669126	-0.49	Protein phosphatase 1, reg. (inhib) subunit 12A	Cytoskeleton	Negative
AA403035	-0.49	Transcription factor binding to IGHM enhancer 3	Transcription	Negative
R01323	-0.49	Microfibrillar-associated protein 1	Extracellular matrix	Negative
H22944	-0.49	Nicotinamide nucleotide transhydrogenase	Electron transport	Negative
R20670	-0.49	EST	Unknown	Negative
W68220	-0.49	EST	Unknown	Negative
T96688	-0.49	PBX/knotted 1 homeobox 1	Transcription	Negative
AA045825	-0.49	EST	Unknown	Negative
AA701455	-0.48	Centromere protein F, 350/400ka (mitosin)	C�some seg/repair	Negative
AA598526	-0.48	Hypoxia-inducible factor 1, alpha subunit	Transcription	Negative
H82273	-0.48	Fem-1 homolog b	Unknown	Negative
N35301	-0.48	ADP-ribosylation factor-like 7	GTP-binding protein	Negative
AA486402	-0.48	Heterogeneous nuclear ribonucleoprotein R	RNA processing	Negative
W32751	-0.48	EST	Unknown	Negative
AA416759	-0.48	Citrate synthase	Metabolism	Negative
T62131	-0.48	Coagulation factor II (thrombin)	Blood coagulation	Negative
AA432068	-0.48	Transmembrane protein vezatin	Unknown	Negative
AA004832	-0.48	EST	Unknown	Negative
AA416894	-0.48	Hepatocellular carcinoma-assoc protein HCA4	Unknown	Negative
AA004801	-0.48	EST	Unknown	Negative
AA232979	-0.48	EST	Unknown	Negative
H08548	-0.47	ATP citrate lyase	Metabolism	Negative
AA630016	-0.47	Chaperonin containing TCP1, subunit 8 (tau)	Chaperone	Negative
AA620556	-0.47	Peroxisomal D3,D2-enoyl-CoA isomerase	Fatty acid metabolism	Negative
AA446103	-0.47	Lectin, mannose-binding, 1	Protein modification	Negative
AA148536	-0.47	Nucleoporin 98kDa	Protein & RNA traffick.	Negative
R40970	-0.47	EST	Unknown	Negative
R59694	-0.47	Likely ortholog of mouse enhancer trap locus 1	Unknown	Negative
AA454174	-0.47	Zinc finger protein 19 (KOX 12)	Unknown	Negative
N23009	-0.47	EST	Unknown	Negative
AA633577	-0.46	Methylenetetrahydrofolate dehydrogenase	Folate metabolism	Negative
AA150683	-0.46	EST	Unknown	Negative
T64905	-0.46	Paired-like homeodomain transcription factor 2	Transcription	Negative
R41998	-0.46	EST	Unknown	Negative
N90109	-0.46	Nucleolin	RNA process/splicing	Negative
AA424566	-0.46	EST	Unknown	Negative
W46420	-0.45	Pecanex homolog	Unknown	Negative
AA228130	-0.45	PC4 and SFRS1 interacting protein 2	Unknown	Negative
R01451	-0.45	EST	Unknown	Negative
H89664	-0.45	Amyloid � (A4) precursor-like protein 2	Blood coagulation	Negative
N54344	-0.45	EST	Unknown	Negative
H99699	-0.45	EST	Unknown	Negative
N26714	-0.45	EST	Unknown	Negative
AA099134	-0.45	Hypoxia up-regulated 1	Chaperone	Negative
AA644191	-0.45	ADP-ribosylation factor-like 3	GTP-binding protein	Negative
AA496438	-0.45	Retinoic acid receptor gamma	Transcription	Negative
R10662	-0.45	mutL homolog 1	DNA rep/repair	Negative
R27615	-0.45	Protein kinase, DNA-activated, catalytic polypep.	DNA rep/repair	Negative
R25825	-0.45	N-Acetylgalactosaminidase alpha	Unknown	Negative
R98008	-0.45	BMP-2 inducible kinase	Kinase	Negative
H95329	-0.45	EST	Unknown	Negative
AA464630	-0.45	Thrombospondin 1	Blood coagulation	Negative
AA443302	-0.45	ras homolog gene family, member E	GTP-binding protein	Negative
AA683578	-0.45	Adenosine deaminase	Adenine catabolism	Negative
AA428195	-0.45	Protein tyrosine phosphatase, non-recept. type 2	Phosphatase	Negative
W94438	-0.45	G1 to S phase transition 2	Unknown	Negative
AA609284	-0.44	EphB6	Membrane associated	Negative
AA043228	-0.44	Calponin 3, acidic	Cytoskeleton	Negative
N47967	-0.44	Rho GTPase-activating protein 5	Unknown	Negative
AA131769	-0.44	EST	Unknown	Negative
T98684	-0.44	Chaperonin containing TCP1, subunit 4 (delta)	Chaperone	Negative
AA448285	-0.44	EST	Unknown	Negative
H50886	-0.44	PWP2 periodic tryptophan protein homolog	Signal transduction	Negative
N33274	-0.44	Phosphoribosylaminoimidazole carboxylase	Purine biosynthesis	Negative
H15662	-0.44	Cytoplasmic linker 2	Cytoskeleton	Negative
AA676705	-0.44	Cell growth regulatory with ring finger domain	Cell prolif/stress resp.	Negative
AA063624	-0.44	EST	Unknown	Negative
N92478	-0.44	EST	Unknown	Negative
AA488447	-0.44	SPTLC1	Sphingolipid biosynth.	Negative
AA621138	-0.44	EST	Unknown	Negative
AA679345	-0.44	Heterogeneous nuclear ribonucleoprotein H2 (H)	RNA processing	Negative
AA029312	-0.44	NIMA-related kinase 9	Unknown	Negative
H17612	-0.43	Arginase, type II	Nitric oxide biosynth.	Negative
AA130866	-0.43	Trimethyllysine hydroxylase, epsilon	Metabolism	Negative
R01732	-0.43	Adenosine monophosph. deaminase (isoform E)	AMP catabolism	Negative
H73714	-0.43	Replication factor C (activator 1) 1 (145kD)	DNA rep/repair	Negative
AA437140	-0.43	EST	Unknown	Negative
AA017042	-0.43	HIV-1 Tat interactive protein	Transcription	Negative
AA489813	-0.43	EST	Unknown	Negative
H27564	-0.43	DEAD/H (Asp-Glu-Ala-Asp/His) box polypep 5	RNA processing	Negative
AA425853	-0.43	Splicing factor proline/glutamine rich	RNA process/splicing	Negative
R95732	-0.43	DNA (cytosine-5-)-methyltransferase 2	Unknown	Negative
AA598787	-0.43	Cytoskeleton-associated protein 4	Cytoskeleton	Negative
AA176164	-0.43	EST	Unknown	Negative
N66003	-0.43	Spastic ataxia of Charlevoix-Saguenay	Chaperone	Negative
R11047	-0.43	EST	Unknown	Negative
H98621	-0.43	Cullin 3	Protein degradation	Negative
R27319	-0.43	Hairy/enhancer-of-split rel. with YRPW motif-like	Transcription	Negative
N26645	-0.43	EST	Unknown	Negative
N73130	-0.43	MAPK-interacting and spindle-stabilizing protein	C�some seg/repair	Negative
R46202	-0.43	Iroquois homeobox protein 5	Transcription	Negative
N69204	-0.42	CSE1 chromosome segregation 1-like	C�some seg/repair	Negative
AA463453	-0.42	EST	Unknown	Negative
AA504160	-0.42	ATP6V1A1	Small molec. transport	Negative
H99170	-0.42	Calreticulin	Ca2+ binding/transcrip	Negative
AA186327	-0.42	NS1-associated protein 1	RNA process/splicing	Negative
H73731	-0.42	EST	Unknown	Negative
R13911	-0.42	T54 protein	Unknown	Negative
AA404352	-0.42	Facilitated glucose transporter, member 10	Glucose transport	Negative
AA448160	-0.42	NY-REN-45 antigen	Tumor antigen	Negative
AA431749	-0.42	EST	Unknown	Negative
AA041197	-0.42	EST	Unknown	Negative
H85557	-0.42	Stress 70 protein chaperone	Chaperone	Negative
AA127515	-0.42	Mitochondrial ribosomal protein S7	Unknown	Negative
R84263	-0.42	Carbamoyl-phosphate synthetase 2	Pyrimidine pathway	Negative
AA460171	-0.42	EST	Unknown	Negative
AA282230	-0.42	PSMC3 (proteasome 26S subunit, ATPase, 3)	Protein degradation	Negative
AA449345	-0.41	EST	Unknown	Negative
N20480	-0.41	HSPC157 protein	Unknown	Negative
R22439	-0.41	Transmembrane protein 4	Membrane associated	Negative
W90764	-0.41	EST	Unknown	Negative
W32409	-0.41	Monocarboxylic acid transporter, member 10	Carboxylic acid transp	Negative
R26672	-0.41	Endosome-associated FYVE-domain protein	Unknown	Negative
H54093	-0.41	EST	Unknown	Negative
AA427519	-0.41	E1A-binding protein p400	Unknown	Negative
AA043347	-0.41	A disintegrin and metalloproteinase domain 10	Metallopeptidase	Negative
AA460291	-0.41	BAD	Apoptosis	Negative
N59150	-0.41	IFN (alpha, �, and omega) receptor 1	Signal transduction	Negative
T57082	-0.41	EST	Unknown	Negative
AA027160	-0.41	G1 to S phase transition 2	Unknown	Negative
AA490256	-0.41	G protein, alpha inhibiting activity polypeptide 3	G-protein signaling	Negative
W56369	-0.4	EST	Unknown	Negative
AA131909	-0.4	EST	Unknown	Negative
AA156801	-0.4	Vam6/Vps39-like	Unknown	Negative
R92034	-0.4	Karyopherin alpha6	Protein transport	Negative
R23287	-0.4	EST	Unknown	Negative
AA034051	-0.4	Adenomatosis polyposis coli	Tumor suppressor	Negative
R17711	-0.4	SART3	Unknown	Negative
AA125869	-0.4	Potassium channel modulatory factor	Ion channels	Negative
N39218	-0.4	EST	Unknown	Negative
AA043503	-0.4	Down-regulator of transcription 1	Transcription	Negative
AA130042	-0.4	Ortholog of mouse IRA1 protein	Unknown	Negative
R39111	-0.4	Early growth response 3	Transcription	Negative
N75581	-0.4	Far upstream element (FUSE)-binding protein 1	Transcription	Negative
W55968	-0.4	MBIP protein	Prot. kinase inhibitor	Negative
AA477165	-0.39	Radixin	Cytoskeleton	Negative
N64033	-0.39	EST	Unknown	Negative
AA936768	-0.39	Interleukin 1alpha	Signal transduction	Negative
AA460952	-0.39	SIRT1 (sirtuin)	Transcription	Negative
H63455	-0.39	UDP-glucuronate decarboxylase 1	Unknown	Negative
W90705	-0.39	B lymphoma Mo-MLV insertion region	Transcription	Negative
AA043800	-0.39	EST	Unknown	Negative
N59057	-0.39	EST	Unknown	Negative
AA071526	-0.39	Protein phosphatase 1, regulatory subunit 10	Protein transport	Negative
R85213	-0.39	Ubiquitin protein ligase E3A	Protein degradation	Negative
N62077	-0.39	EST	Unknown	Negative
N23940	-0.39	EST	Unknown	Negative
W72167	-0.39	EST	Unknown	Negative
AA629567	-0.39	Heat shock 70-kDa protein 8	Chaperone	Negative
AA469950	-0.39	EST	Unknown	Negative
AA664004	-0.39	Ceroid-lipofuscinosis, neuronal 2	Peptidase	Negative
N35241	-0.39	CDC42BPA	Kinase	Negative
AA676460	-0.39	Karyopherin alpha2	Protein transport	Negative
H80749	-0.39	EST	Unknown	Negative
AA455911	-0.39	ABCB1 (MDR/TAP)	Transport/drug resist.	Negative
T86027	-0.39	BRCA2 and CDKN1A-interacting protein	C�some seg/repair	Negative
W69178	-0.39	EST	Unknown	Negative
W63789	-0.39	EST	Unknown	Negative
AA479384	-0.39	Rho guanine nucleotide exchange factor 12	Unknown	Negative
W15542	-0.39	cAMP-binding guanine nucleotide exch. fact. IV	Unknown	Negative
AA417012	-0.39	Zinc finger protein 336	Transcription	Negative
W56770	-0.38	NY-REN-58 antigen	Unknown	Negative
AA679454	-0.38	Steroidogenic acute regulatory protein	Steroid biosynthesis	Negative
AA430035	-0.38	Reticulon 3	Integral memb. Prot.	Negative
R93875	-0.38	Nucleosome assembly protein 1-like 1	DNA rep/repair	Negative
H99257	-0.38	Origin recognition complex, subunit 3-like	C�some seg/repair	Negative
AA070357	-0.38	Transketolase (Wernicke-Korsakoff syndrome)	Unknown	Negative
AA120777	-0.38	BTAF1 RNA polymerase II	Transcription	Negative
H19300	-0.38	TBP-interacting protein	Unknown	Negative
AA169631	-0.38	RBP1-like protein	Unknown	Negative
AA046067	-0.38	UDP-glucose pyrophosphorylase 2	UDP-glucose metab.	Negative
AA148945	-0.38	EST	Unknown	Negative
AA169832	-0.38	3-Phosphoadeno. 5-phosphosulfate synth 1	Nuc. acid metabolism	Negative
AA452873	-0.38	Cyclin D-type binding-protein 1	Unknown	Negative
AA630104	-0.38	Lipase A, lysosomal acid, cholesterol esterase	Triglyceride metab.	Negative
N30161	-0.38	G-carboxyglutamic acid polypeptide 1	Unknown	Negative
AA412691	-0.38	Nuclear transcription factor Yalpha	Transcription	Negative
T95592	-0.38	Survival of motor neuron prot. interacting prot 1	RNA process/splicing	Negative
R63918	-0.38	Neuronatin	Ion channels	Negative
R09301	-0.38	M-phase phosphoprotein 11	Unknown	Negative
AA481067	-0.38	Karyopherin (importin) �2	Protein transport	Negative
T98162	-0.38	EST	Unknown	Negative
AA455401	-0.38	GGA3	Protein transport	Negative
H15215	-0.37	Steroid sulfatase, arylsulfatase C, isozyme S	Steroid catabolism	Negative
R26046	-0.37	Interleukin enhancer binding factor 3, 90 kDa	Transcription	Negative
AA045326	-0.37	Protein tyrosine phosphatase, receptor type, J	Signal transduction	Negative
AA450265	-0.37	PCNA	DNA replication/repair	Negative
W49522	-0.37	Proline 4-hydroxylase	Protein modification	Negative
AA034268	-0.37	Glutaredoxin (thioltransferase)	Redox regulation	Negative
T69359	-0.37	EST	Unknown	Negative
N29901	-0.37	Dihydrolipoamide S-acetyltransferase	Metabolism	Negative
N36853	-0.37	EST	Unknown	Negative
AA625995	-0.37	Zinc finger protein 9	Transcription	Negative
AA074666	-0.37	EST	Unknown	Negative
AA447984	-0.37	EST	Unknown	Negative
H48420	-0.37	EST	Unknown	Negative
AA630784	-0.37	Thyroid hormone receptor interactor 13	Transcription	Negative
T87341	-0.37	Kinetochore protein (Mitosin)	C�some seg/repair	Negative
H68845	-0.37	Peroxiredoxin 2	Redox regulation	Negative
AA609655	-0.37	Synaptonemal complex protein 1	C�some seg/repair	Negative
R48232	-0.37	Polycystic kidney disease 2	Ion channels	Negative
AA669452	-0.36	Eukaryotic translation init. factor 2, subunit 1alpha	Protein synthesis	Negative
AA045587	-0.36	TAF12	Transcription	Negative
AA669443	-0.36	Eukaryotic translation initiation factor 5	Protein synthesis	Negative
AA282196	-0.36	Homeodomain interacting protein kinase 3	Kinase	Negative
AA157787	-0.36	Kinetochore-associated 1	C�some seg/repair	Negative
N76608	-0.36	EST	Unknown	Negative
H78433	-0.36	EST	Unknown	Negative
W86199	-0.36	Insulin-degrading enzyme	Protein processing	Negative
H94897	-0.36	Glycosyltransferase AD-017	Unknown	Negative
AA147642	-0.36	EST	Unknown	Negative
AA193254	-0.36	Eukaryotic translation initiation factor 4E	Protein synthesis	Negative
R51818	-0.36	EST	Unknown	Negative
