Functional group	GeneBank accession number	Fold change	Function
Heat shock protein 70	L16764	1.77	Anti-oxidants/stress response
SOD gene	Z24721	-1.62	Anti-oxidants/stress response
Ischemia responsive 94 kDa protein	AF077354	-1.67	Anti-oxidants/stress response
150 kDa oxygen regulated protein (ORP150)	U41853	-1.94	Anti-oxidants/stress response
Cysteine sulfinic acid decarboxylase	M64755	-1.66	Anti-oxidants/stress response
Monoamine oxidase A	D00688	2.23	Prooxidants
Non-inducible carbonyl reductase	D89070	-1.6	Dehydrogenases/reductases
Inducible carbonyl reductase	D89069	-2.15	Dehydrogenases/reductases
D-binding protein	J03179	135.64	Transcription factors/DNA binding protein
NF1-X1	AB012234	3.36	Transcription factors/DNA binding protein
pJunB gene	X54686	3.14	Transcription factors/DNA binding protein
Sp1 transcription factor	D12768	2.98	Transcription factors/DNA binding protein
Nuclear receptor Rev-ErbA-beta	U20796	2.6	Transcription factors/DNA binding protein
Chromosomal protein HMG2	D84418	2.26	Transcription factors/DNA binding protein
Nuclear factor kappa B p105 subunit	L26267	2.24	Transcription factors/DNA binding protein
CCAAT/enhancerbinding, protein (C/EBP) delta	M65149	1.99	Transcription factors/DNA binding protein
Zinc finger protein RIZ	U17837	1.99	Transcription factors/DNA binding protein
Rev-ErbA-alpha protein	M25804	1.81	Transcription factors/DNA binding protein
Smad2 protein	AB017912	1.73	Transcription factors/DNA binding protein
Transcription factor Oct1	U17013	1.7	Transcription factors/DNA binding protein
New England Deaconess transcription factor	U09229	&#1;1.72	Transcription factors/DNA binding protein
add1	L16995	&#1;1.82	Transcription factors/DNA binding protein
Helix-loop-helix transcription factor E12 homolog	S77532	&#1;3.16	Transcription factors/DNA binding protein
Enhancer-of-split and hairy-related protein 1 (SHARP-1)	AF009329	4.62	Transcription factors/DNA binding protein
IL-6 signal transducer	M92340	2.58	Growth/proliferation factors
Lactogen receptor	M34083	2.29	Growth/proliferation factors
Nucleolar protein B23.2	J04943	1.99	Growth/proliferation factors
Epithelial membrane protein-1	Z54212	1.94	Growth/proliferation factors
IL-6 receptor	M58587	1.72	Growth/proliferation factors
Hepatocyte growth factor receptor	U65007	1.61	Growth/proliferation factors
Bone moorphogenic protein-7	D29769	&#1;1.63	Growth/proliferation factors
Insulin-like growth factor I receptor	L29232	&#1;1.97	Growth/proliferation factors
Platelet-derived growth factor A chain	D10106	&#1;2.31	Growth/proliferation factors
Synaptojanin II	U90312	3.42	Intracellular signaling molecules
RalA binding protein 1	U82623	1.9	Intracellular signaling molecules
PRG1 gene	X96437	2.34	Intracellular signaling molecules
Lipocortin V	AF051895	2.22	Intracellular signaling molecules
Mx1 protein	X52711	1.68	Intracellular signaling molecules
PCTAIRE-1 protein kinase	U36444	&#1;1.66	Intracellular signaling molecules
Cyclin D1	D14014	&#1;1.95	Intracellular signaling molecules
G protein beta1 subunit	U88324	&#1;2.02	Intracellular signaling molecules
Ras-related mRNA rab3	X06889	&#1;2.04	Intracellular signaling molecules
CIRP	AB000362	&#1;2.08	Intracellular signaling molecules
Gq-alpha subunit	Y17164	&#1;2.3	Intracellular signaling molecules
Replication factor C	AF030050	1.91	Intracellular signaling molecules
Parathymosin	M33025	&#1;1.62	Intracellular signaling molecules
Heterogeneous nuclear ribonucleoprotein A1	M12156	1.73	Intracellular signaling molecules
CTD-binding SR-like protein rA1	U49056	&#1;1.72	Intracellular signaling molecules
Elongin A	L46816	&#1;1.97	Intracellular signaling molecules
MAP kinase kinase kinase 1 (MEKK1)	U48596	4.77	Intracellular signaling molecules
Protein kinase (MUK)	D49785	2.77	Intracellular signaling molecules
p38 gamma	X96488	2.61	Intracellular signaling molecules
p38 mitogen activated protein kinase	U73142	1.99	Intracellular signaling molecules
S6 protein kinase (Rsk-1)	M99169	&#1;1.69	Intracellular signaling molecules
Dual-specificity protein tyrosine phosphatase (rVH6)	U42627	3.13	Intracellular signaling molecules
Protein tyrosine phosphatase	S74351	2.45	Intracellular signaling molecules
3CH134/CL100 PTPase = oxidative stress-inducible protein tyrosine phosphatase	S81478	1.69	Intracellular signaling molecules
cAMP phosphodiesterase (PDE4B)	M25350	1.79	Intracellular signaling molecules
Hexokinase II	S56464	7.09	Energy metabolism
Mitochondrial 3-hydroxy-3-methylglutaryl-CoA synthase	M33648	4.62	Energy metabolism
5-AMP-activated protein kinase alpha-1 catalytic subunit	U40819	3.26	Energy metabolism
Carnitine palmitoyltransferase I	L07736	2.02	Energy metabolism
Fatty acid translocase/CD36	AF072411	1.71	Energy metabolism
NADH-cytochrome b-5 reductase	J03867	&#1;1.68	Energy metabolism
Casein kinase 1 gamma 2 isoform	U22297	&#1;1.82	Energy metabolism
Glycogen synthase kinase 3 beta	X73653	&#1;2.57	Energy metabolism
Scavenger receptor class B, member 1	AF071495	1.6	Energy metabolism
Glycerol-3-phosphate dehydrogenase	X78593	&#1;1.63	Energy metabolism
Fatty acid synthase	M76767	&#1;1.63	Energy metabolism
Acyl carrier protein domain fatty acid synthetase	X13527	&#1;1.74	Energy metabolism
Phosphorylase kinase gamma-subunit	X07320	&#1;1.66	Energy metabolism
Liver phosphofructokinase	X58865	&#1;1.79	Energy metabolism
Malic enzyme gene	M26594	&#1;1.8	Energy metabolism
Pyruvate carboxylase	U32314	&#1;1.83	Energy metabolism
UDP-galactose 4-epimerase homologue	X53949	&#1;1.89	Energy metabolism
Phosphoglucomutase	L11694	&#1;2.44	Energy metabolism
Platelet phospholipase A2	X51529	4.55	Energy metabolism
Solute carrier family 22	X78855	6.14	Transporters/vesicle and protein/membrane trafficking
Organic cation transporter OCT1A	U76379	6.13	Transporters/vesicle and protein/membrane trafficking
Carboxypeptidase D precursor	U62897	4.59	Transporters/vesicle and protein/membrane trafficking
Solute carrier family 5 (inositol transporters)	AJ001290	3.31	Transporters/vesicle and protein/membrane trafficking
Peptide/histidine transporter	AB000280	1.9	Transporters/vesicle and protein/membrane trafficking
Solute carrier family 3, member 1	M80804	1.84	Transporters/vesicle and protein/membrane trafficking
UDP-galactose transporter-related isozyme 1	D87991	&#1;1.67	Transporters/vesicle and protein/membrane trafficking
Na(þ)/Cl(&#1;)-dependent neurotransmitter transporter Cis-Golgi p28 (p28)	S68944 U49099	&#1;1.8 &#1;1.95	Transporters/vesicle and protein/membrane trafficking
NaPi-2 beta	AB013454	&#1;3.14	Transporters/vesicle and protein/membrane trafficking
71 kDa component of rsec6/8 secretory complex p71	U79417	8.46	Transporters/vesicle and protein/membrane trafficking
Cytosolic sorting protein PACS-1a	AF076183	&#1;2.3	Transporters/vesicle and protein/membrane trafficking
Vesicle associated protein (VAP1)	AF034582	&#1;1.6	Transporters/vesicle and protein/membrane trafficking
GTPase Rab14	M83680	3	Transporters/vesicle and protein/membrane trafficking
Pericentriolar material PCM-1	U95920	&#1;1.69	Cytoskeleton/extracellular matrix
Glypican-3	M22400	8.24	Cytoskeleton/extracellular matrix
Integrin alpha-1	X52140	3.16	Cytoskeleton/extracellular matrix
Lysyl oxidase	S66184	2.59	Cytoskeleton/extracellular matrix
Fibronectin (fn-1)	U82612	2.49	Cytoskeleton/extracellular matrix
Alpha-1 type I collagen	M27207	2.15	Cytoskeleton/extracellular matrix
Slow-twitch alpha TM/hTMnm homolog	S82383	2	Cytoskeleton/extracellular matrix
Calponin	D14437	&#1;1.85	Cytoskeleton/extracellular matrix
SPARC	U75929	&#1;1.85	Cytoskeleton/extracellular matrix
Collagen alpha 1 type V	AJ005394	&#1;1.86	Cytoskeleton/extracellular matrix
Smooth muscle myosin heavy chain	X16261	&#1;1.97	Cytoskeleton/extracellular matrix
Actinin alpha 4	U19893	&#1;2.69	Cytoskeleton/extracellular matrix
Tropomyosin non-muscle isoform NM3 (TPM-gamma)	L24776	&#1;2.9	Cytoskeleton/extracellular matrix
ADP-ribosylarginine hydrolase	M86341	&#1;1.78	Protein modification/proteases/degradation systems
Urokinase-type plasminogen activator	X63434	2.4	Protein modification/proteases/degradation systems
Cathepsin S	L03201	1.85	Protein modification/proteases/degradation systems
Caspase 6	AF025670	1.63	Protein modification/proteases/degradation systems
Ubiquitin ligase (Nedd4)	U50842	3.63	Protein modification/proteases/degradation systems
Ubiquitin-conjugating enzyme UBC7	AF099093	1.92	Protein modification/proteases/degradation systems
Proteasome subunit R-RING12	D10757	1.73	Protein modification/proteases/degradation systems
Glycosylation			Protein modification/proteases/degradation systems
Gal/GalNAc-specific lectin	J05495	3.65	Protein modification/proteases/degradation systems
DPM2	AB013359	1.68	Protein modification/proteases/degradation systems
Kinase			Protein modification/proteases/degradation systems
Serine/threonine kinase MARK2	Z83869	&#1;3.46	Protein modification/proteases/degradation systems
Cell adhesion			Protein modification/proteases/degradation systems
Glycoprotein CD44	M61875	2.55	Protein modification/proteases/degradation systems
140-kDa NCAM polypeptide	X06564	1.99	Protein modification/proteases/degradation systems
O-6-methylguanine-DNA methyltransferase (RMGMT)	M76704	1.83	DNA repair
Seminal vesicle mRNA for SVS-protein	X01114	&#1;4.68	Androgen-dependent secretory protein
Dorsal protein 1	M32725	&#1;6.43	Androgen-dependent secretory protein
Androgen-responsive mRNA, clone:pSv-1	D00920	&#1;37.41	Androgen-dependent secretory protein
proline-rich protein (PRP-1)	M20721	2.67	Androgen-dependent secretory protein
Lamina-associated polypeptide 1C (LAP1C)	U19614	2.7	Nuclear membrane
Integral membrane glycoprotein gp210	Y00826	2.1	Nuclear membrane
Protocadherin 5	AB004277	&#1;2.89	Others
Proton pump polypeptide	M58758	&#1;2.11	Others
L1 retroposon, ORF2	X61296	3	Others
Phosphoribosylpyrophosphate synthetase subunit II	X16555	2.65	Others
MIPP65	AB000098	2.02	Others
snRNP-associated polypeptide N	X73411	1.79	Others
5-aminolevulinate synthase	J03190	1.74	Others
(Clone 59) FSH-regulated protein	L26292	1.68	Others
Latexin	X76985	1.67	Others
Utrophin	AJ002967	1.65	Others
Di-N-acetylchitobiase	M95768	1.61	Others
PMF31	AB020504	1.6	Others
Small nuclear RING finger protein	AF022081	1.6	Others
Calcium channel alpha-1 subunit	U14005	&#1;1.67	Others
HO-3	AF058787	&#1;1.75	Others
Angiotensin converting enzyme	U03734	&#1;1.78	Others
Testosterone 6-beta-hydroxylase (CYP3A1)	L24207	&#1;1.84	Others
NAP-22, brain acidic membrane protein	D14441	&#1;1.98	Others
Claudin-7	AJ011811	&#1;2.01	Others
Endoplasmic reticulum protein ERp29 precursor	U36482	&#1;2.04	Others
Neurodap-1	E13644	1.9	Others
Green-sensitive opsin	AF031528	&#1;1.75	Others
TRAP-complex gamma subunit	Z14030	&#1;2.4	Others
Heart cytochrome oxidase subunit VIc (COX-VIc)	M27467	&#1;2.43	Others
Ribosomal protein S24	M89646	&#1;2.7	Others
Patched (ptc)	AF079162	&#1;2.95	Others
SC65 synaptonemal complex protein	X65454	&#1;3.35	Others
Dihydropyridine-sesitive L-type calcium channel alpha-2	M86621	&#1;12.37	Others
