Rank	Elevated mRNA Levels in	Gene Symbol	Annotation	Gene Ontology
36	RD		UNIGENE-ambiguity: Hs.288929::Hs.79362! hypothetical protein FLJ13258 similar to fused toes//(Hs.288929;NM_022476)	Unknown
37	RD		Homo sapiens GT212 mRNA//(Hs.83086;)	Unknown
38	PCR		ESTs//(Hs.22627;)	Unknown
39	RD	FLJ20323	Hypothetical protein//(Hs.83937;NM_019005)	Unknown
40	RD	STOML1	Stomatin (EBP72)-like 1//(Hs.194816;NM_004809)	Unknown
41	RD	MGST1	Microsomal glutathione S-transferase 1//(Hs.790;NM_020300)	Glutathione transferase activity; membrane; microsome; mitochondrion
42	PCR	CREM	cAMP responsive element modulator// (Hs.155924;NM_001881)	Signal transduction
43	PCR		ESTs, Weakly similar to A45910 ultra-high-sulfur keratin - mouse [M.musculus]//(Hs.28704;)	Unknown
44	PCR	PB1	Polybromo 1//(Hs.44143;NM_018313:NM_018165)	Unknown
45	RD	ANXA8	Annexin A8//(Hs.87268;NM_001630)	Phospholipid binding activity; calcium ion binding activity; oncogenesis
46	RD	FLJ11196	Hypothetical protein FLJ11196//(Hs.6166;NM_018357)	RNA binding activity; nucleus
47	RD	HSPC134	HSPC134 protein//(Hs.279761;NM_014169)	Unknown
48	RD		ESTs//(Hs.5244;)	Unknown
49	PCR	HBOA	Histone acetyltransferase// (Hs.21907;NM_007067)	H3/H4 histone acetyltransferase activity; protein binding activity; transcription factor activity; DNA replication
50	RD	TFRC	Transferrin receptor (p90, CD71)//(Hs.77356;NM_003234)	Transferrin receptor activity; peptidase activity; iron ion homeostasis; endocytosis; proteolysis and peptidolysis; endosome
51	RD	TCEB3	Transcription elongation factor B (SIII), polypeptide 3 (110kD, elongin A)//(Hs.155202;NM_003198)	Translation elongation factor activity; protein binding activity; transcriptional elongation regulator activity; transcription;regulation of transcription from Pol II promoter
52	pCR	APH-1A	CGI-78 protein//(Hs.108408;NM_016022)	Unknown
53	RD	KIAA1041	KIAA1041 protein//(Hs.26023;NM_014947)	Transcription factor activity; regulation of transcription, DNA-dependent
54	pCR	PRPSAP1	Phosphoribosyl pyrophosphate synthetase-associated protein 1//(Hs.77498;NM_002766)	Ribose-phosphate pyrophosphokinase activity; enzyme inhibitor activity; nucleotide biosynthesis
55	pCR	EPB42	Erythrocyte membrane protein band 4.2//(Hs.733;NM_000119)	ATP binding activity; structural constituent of cytoskeleton; cytoskeleton; plasma membrane
56	RD		ESTs//(Hs.131164;)	Unknown
57	pCR		ESTs//(Hs.183617;)	Unknown
58	pCR		KIAA0742 protein//(Hs.321707;)	Unknown
59	pCR		UNIGENE-ambiguity: Hs.323817::Hs.7100! DKFZP547E1010 protein//(Hs.323817;NM_015607)	Unknown
60	pCR	NME2	Nonmetastatic cells 2, protein (NM23B) expressed in//(Hs.275163;NM_002512)	Nucleoside-diphosphate kinase activity; ATP binding activity; negative regulation of cell proliferation
61	RD	TBPL1	TBP-like 1//(Hs.13993;NM_004865)	RNA polymerase II transcription factor activity; transcription co-activator activity; transcription initiation from Pol II promoter; transcription factor TFIID complex
62	pCR	GTF2H3	General transcription factor IIH, polypeptide 3 (34kD subunit)//(Hs.90304;NM_001516)	Damaged DNA binding activity; DNA repair protein; transcription factor activity; nucleotide-excision repair; transcription factor TFIIH complex
63	pCR		ESTs//(Hs.122115;)	Unknown
64	RD		ESTs//(Hs.196244;)	Unknown
65	pCR	SLC7A10	Solute carrier family 7, (cationic amino acid transporter, y+ system) member 10//(Hs.58679;NM_017965;NM_019849)	Serine transporter activity; neutral amino acid transporter activity; amino acid transport; membrane;
66	pCR	NDP	Norrie disease (pseudoglioma)//(Hs.2839;NM_000266)	Growth factor activity; vacuole organization and biogenesis; cell proliferation; signal transduction
67	pCR	SCARA3	CSR1 protein//(Hs.128856;NM_016240)	Scavenger receptor activity; UV protection; response to oxidative stress
68	RD	APOE	Apolipoprotein E//(Hs.169401;NM_000041)	Heparin binding activity; lipid binding activity; receptor binding activity; lipid transport; lipid metabolism; immune response
69	RD		ESTs//(Hs.186466;)	Unknown
70	pCR		UNIGENE-ambiguity: Hs.283419::Hs.227457! ESTs//(Hs.283419;)	Unknown
71	pCR		DKFZP434F195 protein//(Hs.184793;)	Unknown
72	RD		KIAA1155 protein//(Hs.102657;)	Unknown
73	pCR		Homo sapiens cDNA: FLJ23269 fis, clone COL09533//(Hs.4190;)	Unknown
74	RD	FLJ10948	Hypothetical protein FLJ10948//(Hs.9670;NM_018281)	Enzyme activity; metabolism
