SPOT ID	Well ID	Clone IMAGE	Title	Gene	Map
1319	27222	297589	AIM1=non-lens beta gamma-crystallin like protein=associated with chromosome 6-mediated suppression of melanoma tumorgenicity	AIM1	6q21
1321	27226	297954	brain-expressed HHCPA78 homolog=Induced in HL60 cells treated with vitamin D or cycloheximide	VDUP1	1
1326	27248	306465	CLK-1=CDC-like kinase 1=PITSLRE alpha 1=galactosyltransferase associated protein kinase P58/GTA	CLK1	2q33
1330	27364	1233942	Nucleolysin TIA-1 polyadenylate binding protein	TIA1	2p13
1336	27388	429042	Thrombospondin 1	THBS1	15q15
1357	27658	682013	PrP=prion protein	PRNP	20pter-p12
1392	28088	1516955	Ret=Receptor tyrosine kinase oncogene mutated in multiple endocrine neoplasia MEN2A  MEN2B and medullary thyroid carcinoma 1  Hirschsprung disease	RET	10q11.2
1402	28420	151662	placental protein 11 (PP11)=serine protease	P11	12q13.1
1416	28472	23173	JNK3=Stress-activated protein kinase	MAPK10	4q22.1-q23
1427	28806	781047	BUB1=putative mitotic checkpoint protein ser/thr kinase	BUB1	2q14
1468	200632	143846	low density lipoprotein-related protein 2	LRP2	2q24-q31
1470	200636	809588	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	GGH	8p22-q21.13
1481	201066	768299	ESTs		17
149	207977	356732	Homo sapiens cDNA FLJ13613 fis, clone PLACE1010856		6
1490	201108	768443	Glutathione S-transferase, microsomal	MGST1	12p12.3-p12.1
1494	201116	214068	GATA-binding protein 3	GATA3	10p15
1495	201130	139009	Fibronectin 1	FN1	2q34
1496	201132	752631	FGFR3=Fibroblast growth factor receptor 3=Translocated and activated in multiple myeloma	FGFR3	4p16.3
1517	201594	80109	major histocompatibility complex, class II, DQ alpha 1	HLA-DQA1	6p21.3
1521	201614	897781	keratin 8	KRT8	12q13
1522	201616	810131	keratin 19	KRT19	17q21
160	208023	196781	hypothetical protein FLJ12716	FLJ12716
1631	208674	345525	general transcription factor IIH, polypeptide 2 (44kD subunit)	GTF2H2	5q12.2-q13.3
1657	209170	868652	complement component 4B	C4B	6p21.3
1667	209202	744417	carnitine acetyltransferase	CRAT	9q34.1
1682	202068	46154	BAP1=BRCA1 associated protein 1	BAP1	3p21.31-p21.2
1683	202070	196433	EST
1688	202092	897910	OSF-2os=osteoblast-specific factor=putative bone adhesion protein with homology with the insect protein fasciclin I	OSF-2	13
1700	202524	140100	uncharacterized hypothalamus protein HCDASE	LOC55862	6q22.1-q24.1
1732	200152	813742	PTK7 protein tyrosine kinase 7	KIAA0370	16
1733	200154	229365	protein tyrosine phosphatase, receptor type, C	PTPRC	1q31-q32
1735	200170	529861	proteasome (prosome, macropain) subunit, beta type, 6	PSMB6	17p13
1738	200176	812048	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	PRNP	20pter-p12
1779	157415	2220596	EST
1793	26986	133909	MKP-1=CL100=MAP kinase phosphatase 1	DUSP1	5q34
1804	27032	159142	immunoglobulin kappa light chain	IGKC	2p12
1806	27036	163189	CD24
1818	27468	502085	Guanylate binding protein 1 interferon-inducible 67kD	GBP1	1
1820	27484	487396	Homo sapiens mRNA; cDNA DKFZp564F053 (from clone DKFZp564F053)		5
1821	27486	510324	SIAH-2=Seven in absentia homolog 2	SIAH2	3q25
1823	27490	504527	MKP-1=CL100=MAP kinase phosphatase 1	DUSP1	5q34
1827	27510	526335	MMP-9=Matrix metalloproteinase 9=92 kD Gelatinase B=92 KD type IV collagenase	MMP9	20q11.2-q13.1
183	208597	811024	bone marrow stromal cell antigen 2	BST2	19p13.2
1830	27516	531487	GS2 protein (DXS1283E)=Anonymous X chromosome gene	DXS1283E	Xp22.3
1834	27536	549383	TGF-beta superfamily protein	PLAB	19p13.1-13.2
1836	27540	563130	Cyclin B1	CCNB1	5q12
1845	27774	759172	CAK=cdk7=NRTALRE=sdk=CDK activating kinase	CDK7	2p15-cen
1854	27804	785951	Cytochrome P450, subfamily XIA (cholesterol side chain cleavage)	CYP11A	15q23-q24
1862	28132	248613	c-myb=myb proto-oncogene	MYB	6q22-q23
1884	28212	259029	GLUT3=glucose transporter protein-3	SLC2A3	12p13.3
1885	28610	75415	HINT=Histidine triad nucleotide-binding protein=protein kinase C inhibitor-I	HINT	5q31.2
1890	28620	824602	IFI16=interferon-gamma-inducible myeloid differentiation transcriptional activator	IFI16	1q22
1903	28682	504226	CD53	CD53	1p31-p12
1904	28684	713145	CD44=Pgp-1=extracellular matrix receptor-III=Hyaluronate receptor	CD44	11p13
1912	28904	133136	dek=translocated in t(6;9) acute myeloid leukemia	DEK	6p23
1919	28930	684879	alpha-galactosidase A	GLA	Xq22
192	208627	772425	fibroblast activation protein=integral membrane serine protease Seprase	FAP	2q23
1920	28932	713129	Granzyme A=HuHF=Hanukah factor serine protease	GZMA	5q11-q12
1929	28974	340702	Akt2 kinase=RAC-PK-beta=RAC-beta Ser/Thr protein kinase	PEG10	7q21
1931	28978	712505	CDC2=Cell division control protein 2 homolog=P34 protein kinase	CDC2	10q21.1
195	208933	455123	KIAA0429 gene product	KIAA0429	8p22
1963	201253	768357	cerebellin 1 precursor	CBLN1	16q11.2-q12.2
1966	201259	125134	CD48=BLAST-1	CD48	1q21.3-q22
1969	201277	668851	brain-derived neurotrophic factor	BDNF	11p13
1975	201301	563673	aldehyde dehydrogenase 7 family, member A1	ALDH7A1	5q31
1978	201307	208718	annexin I (lipocortin I)	ANXA1	9q12-q21.2
1988	201639	214441	Immunoglobulin mu	CSF2	5q31.1
1997	201681	813266	four and a half LIM domains 1	FHL1	Xq26
2004	201707	825442	Protein tyrosine phosphatase type IVA member 2=HU-PP-1	PTP4A2	1p35
2007	201713	897956	preferentially expressed antigen in melanoma	PRAME	22q11.22
2032	202867	248256	KIAA1691 protein	KIAA1691	7p22
2035	202981	108395	discs, large (Drosophila) homolog 5	DLG5	10q23
2044	203011	365098	BCL2/adenovirus E1B 19kD-interacting protein 3-like	BNIP3L	8p21
2052	203051	196005	aquaporin 3	AQP3	9p13
2063	207705	301309	molecule possessing ankyrin repeats induced by lipopolysaccharide (MAIL), homolog of mouse	MAIL	3p12-q12
2082	208355	854444	major histocompatibility complex, class II, DQ beta 1	HLA-DQB1	6p21.3
2083	208357	810142	MHC Class I=HLA-C4	HLA-C	6p21.3
2088	208379	460487	lactotransferrin	LTF	3q21-q23
2092	208387	869375	Isocitrate dehydrogenase 2 (NADP+), mitochondrial	IDH2	15q26.1
2097	208409	362795	ISL1 transcription factor, LIM/homeodomain, (islet-1)	ISL1	5q
2098	208411	755599	interferon induced transmembrane protein 1 (9-27)	IFITM1	11
2101	208429	489664	activated RNA polymerase II transcription cofactor 4	PC4	8
2109	208745	884462	Down syndrome critical region gene 1	DSCR1	21q22.12
2115	208769	857002	proline-rich protein with nuclear targeting signal	B4-2	6
2131	209221	586706	carcinoembryonic antigen-related cell adhesion molecule 5	CEACAM5	19q13.1-q13.2
2147	209289	756549	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)	GAA	17q25.2-q25.3
2160	202139	75009	tyrosine kinase (HTK)	EPHB4	7q22
2161	202141	85690	heparin cofactor II	SERPIND1	22q11.21
2178	205091	141768	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)	ERBB2	17q11.2-q12
2191	205141	358531	v-jun avian sarcoma virus 17 oncogene homolog	JUN	1p32-p31
2192	205143	413633	butyrate response factor 1 (EGF-response factor 1)	BRF1	14q22-q24
2203	200197	140806	peptidylglycine alpha-amidating monooxygenase	PAM	5q14-q21
2208	200219	43884	peptidylprolyl isomerase F (cyclophilin F)	PPIF	10q22-q23
2210	200223	509823	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	CEACAM6	19q13.2
2218	200251	200814	CD10=CALLA=Neprilysin=enkepalinase	MME	3q25.1-q25.2
2224	200275	813823	lumican	LUM	12q21.3-q22
2249	157458	2260993	EST, Weakly similar to salivary proline-rich protein [R.norvegicus]
2276	27079	182930	Immunoglobulin alpha (1 or 2) heavy chain constant region
2285	27121	234180	Cytochrome P450 reductase	POR	7q11.2
2286	27123	239287	CD45=protein tyrosine phosphatase, receptor type, C	PTPRC	1q31-q32
2288	27127	240460	MMP-11=Matrix metalloproteinase 11=Stromelysin-3	MMP11	22q11.23
2290	27131	241268	2-5 oligoadenylate synthetase E	OAS1	12q24.1
2295	27153	259230	Adenylate kinase 2 (adk2)	AK2	1p34
2300	27559	588819	MHC Class I=HLA-A2	HLA-A	6p21.3
2303	27577		TPT1=tumor protein, translationally-controlled 1, X16064	TPT1
2307	27585	756092	MHC Class II=DQ alpha	HLA-DQA1	6p21.3
2308	27587	756092	MHC Class II=DQ alpha	HLA-DQA1	6p21.3
2311	27605	627367	BTG1=B-cell translocation gene 1=anti-proliferative	BTG1	12q22
2321	27841	840681	invariant chain=Ia-associated invariant gamma-chain	CD74	5q32
2322	27843	840856	Ferritin light chain	FTL	19q13.3-q13.4
2323	27845	841690	cytochrome P450-IIB (hIIB3)	CYP2B7	19q13.2
2324	27847	842180	cathepsin B	CTSB	8p22
2330	27871	927027	LARC=exodus-1=MIP-3 alpha=CC chemokine
2335	27893	998844	jun-D	JUND	19p13.2
2337	27897	1017073	alpha-fetoprotein enhancer binding protein	ATBF1	16q22.3-q23.1
2339	27913	1047302	CDw130=gp130=IL-6/IL-11/CNTF/Oncostatin M/LIF receptor common beta chain	IL6ST	5q11
2342	27919	1056369	p16-INK4a=Cyclin-dependent kinase 4 inhibitor A=Multiple tumor suppressor 1=MTS1	CDKN2A	9p21
2349	28233	294506	clone 23815 mRNA		11
2352	28251	485770	Tis11d=ERF-2=growth factor early response gene	BRF2	2p22.3-p21
2353	28253	341782	HMG-2=high mobility group 2 protein	HMG2	4q31
2357	28273	377708	3 5-cyclic AMP phosphodiesterase=rolipram-sensitive cAMP-specific phosphodiesterase (PDE2)	PDE4B	1p31
2358	28275	383190	KIAA0078=Similar to double-straded break repair protein RAD21	RAD21	8q24
2378	28770	840708	Superoxide dismutase 2, mitochondrial	MGC5618
2386	28742	344134	Immunoglobulin-related 14.1	IGLL1	22q11.23
2398	157660	26184	phosphofructokinase, platelet	PFKP	10p15.3-p15.2
2402	157680	34357	actin, beta	ACTB	7p15-p12
2415	157730	50117	glyceraldehyde-3-phosphate dehydrogenase	GAPD	12p13
2435	200821	46284	hypothetical protein CG003	13CDNA73	13
2445	201345	23804	zinc finger protein homologous to Zfp-36 in mouse	ZFP36	19q13.1
246	202411	191664	thrombospondin 2	THBS2	6q27
2462	201403	726086	tissue factor pathway inhibitor 2	TFPI2	7q22
2474	201739	814701	mitotic feedback control protein Madp2 homolog	MAD2L1	4q27
248	202427	824340	47-kD autosomal chronic granulomatous disease protein	NCF1	7q11.23
2482	201779	788832	prostate differentiation factor	PLAB	19p13.1-13.2
249	202429	80109	major histocompatibility complex, class II, DQ alpha 1	HLA-DQA1	6p21.3
2495	202885	193892	paternally expressed 10	PEG10	7q21
2503	202913	153779	hypothetical protein FLJ22002	FLJ22002	10
2515	202961	138775	nerve growth factor receptor (TNFRSF16) associated protein 1	NGFRAP1	X
2528	205411	417711	major histocompatibility complex, class II, DR beta 1	HLA-DRB1	6p21.3
2535	205449	417426	erythrocyte membrane protein band 4.1-like 2	EPB41L2	6q23
2537	205453	291255	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	PSAP	10q21-q22
2551	207809	417867	X-box binding protein 1	XBP1	22q12.1
2578	208499	377692	Microfibril-associated glycoprotein-2	MAGP2	12p13.1-p12.3
2588	208531	744944	myosin VI	MYO6	6q13
2616	209319	742595	CDK5=cell division protein kinase 5 (kinase PSSALRE)	CDK5	7q36
2633	209389	290607	DKFZp564L2416=Similar to nek1=S/T/Y kinase related to NIMA kinase (not 3’ end)	NEK1	4
2638	202211	898108	adenovirus 5 E1A binding protein	BS69	10p14
264	202483	841282	frizzled related protein frpHE	SFRP4	7p14.3-p14.1
2659	202289	71672	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	ETFA	15q23-q25
2661	205185	768344	tyrosinase-related protein 1	TYRP1	9p23
2662	205187	85097	protein S (alpha)	PROS1	3p11-q11.2
2687	200293	122428	jun B proto-oncogene	JUNB	19p13.2
2697	200337	188232	GKLF=EZF=KLF4=gut-enriched Kruppel-like zinc finger protein=expressed in vascular endothelial cells	KLF4	9q31
2699	200341	288896	potassium channel, subfamily K, member 1 (TWIK-1)	KCNK1	1q42-q43
2767	26913	21610	Cyclin G2	CCNG2	4q21.1-q21.3
2769	26929	324144	Ribosomal protein S29	RPS29	14q
2783	27269	324144	Ribosomal protein S29	RPS29	14q
2831	28325	756030	MHC Class II=DQ beta	HLA-DQB1	6p21.3
2841	28369	740018	Immunoglobulin alpha (1 or 2) heavy chain constant region
2845	28377	293640	PI3-kinase alpha regulatory subunit (p85)	PIK3R1	5q12-q13
285	209581	52339	ESTs		4
2870	28571		EmptyWell
2872	28587	815542	MxA=interferon-induced cellular resistance mediator protein	MX1	21q22.3
2915	200706	188036	bullous pemphigoid antigen 1 (230/240kD)	BPAG1	6p12-p11
2916	200708	52933	LIV-1 protein, estrogen regulated	LIV-1	18q12
2922	200732	144675	Toll-like receptor 3	TLR3	4q35
2932	201256	727251	CD9	CD9	12p13
2938	201280	194384	BTF3=Basic transcription factor 3	BTF3	5
2947	201322	307231	alcohol dehydrogenase 1B (class I), beta polypeptide	ADH1B	4q21-q23
2959	201658	897982	eukaryotic translation initiation factor 3, subunit 8 (110kD)	EIF3S8	16p11.2
2967	201686	823590	sialyltransferase	STHM	17
2975	201714	712604	EST
2991	202838	146081	zinc finger protein 238	ZNF238	1q44-qter
3005	202986	144916	Homo sapiens mRNA; cDNA DKFZp564C2478 (from clone DKFZp564C2478); complete cds
3018	203036	470061	seven in absentia (Drosophila) homolog 2	SIAH2	3q25
3020	203052	134948	KIAA1481 protein	KIAA1481	4
3026	207684	269663	ESTs		1
3049	208354	811139	major histocompatibility complex, class II, DR beta 5	HLA-DRB5	6p21.3
3055	208378	884644	EST
3065	208410	298417	trefoil factor 3 (intestinal)	TFF3	21q22.3
3066	208412	289496	ESTs		10
3072	208436	868368	Human interferon-inducible mRNA (cDNA 6-26)
3078	208748	133637	DNA-PKcs=DNA-dependent Ser/Thr kinase catalytic subunit=mutated in SCID mouse	PRKDC	8q11
3088	208792	198982	putative DNA methyltransferase (DNMT2)	DNMT2	10p15.1
3093	208814	344432	microsomal glutathione S-transferase 2 (MGST2)	MGST2	4q28-q31
3097	209218	789314	CD1D antigen, d polypeptide	CD1D	1q22-q23
3098	209220	229901	cathepsin O	CTSO	4q31-q32
3099	209222	949971	activating transcription factor 4 (tax-responsive enhancer element B67)	ATF4	22q13.1
3113	209274	241489	Beta-2 adrenergic receptor	ADRB2	5q31-q32
3116	209292	841179	polymyositis/scleroderma autoantigen 2 (100kD)	PMSCL2	1p36.23
3126	202124	626502	actin related protein 2/3 complex, subunit 1A (41 kD)	ARPC1B	7q22.1-7q31.33
3128	202140	41650	hepatocyte growth factor (hepapoietin A; scatter factor)	HGF	7q21.1
3139	202186	877613	dynactin 1 (p150, Glued (Drosophila) homolog)	DCTN1	2p13
314	157268	2216580	EST	EST
3144	202196	897626	RAB7, member RAS oncogene family	RAB7	3p13-q13.33
3152	205116	1046522	NAIP=Neuronal apoptosis inhibitory protein	BIRC1	5q13.1
3154	205120	269806	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	KIT	4q11-q12
3155	205122	277305	ras homolog gene family, member B	ARHB	2pter-p12
3159	205142	380620	presenilin 2 (Alzheimer disease 4)	PSEN2	1q31-q42
3167	205170	240961	desmoplakin (DPI, DPII)	DSP	6p24
3169	200194	162211	ATP-binding cassette, sub-family D (ALD), member 3	ABCD3	1p22-p21
3170	200196	133273	peripheral myelin protein 22	PMP22	17p12-p11.2
3183	200246	131362	moesin	MSN	Xq11.2-q12
3247	27098	198453	MHC Class I=HLA-E	HLA-E	6p21.3
3268	27560	594539	PBEF=pre-B cell enhancing factor	PBEF	7q22.1-7q31.33
327	157318	2217979	EST
3272	27580	627173	Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha){alternative products}	PPP3CA	4q21-q24
3275	27586	613363	STAT3=APRF=acute-phase response factor	STAT3	17q21
3278	27604	627173	Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha){alternative products}	PPP3CA	4q21-q24
3281	27610	488548	PBEF=pre-B cell enhancing factor	PBEF	7q22.1-7q31.33
3289	27842	840681	invariant chain=Ia-associated invariant gamma-chain	CD74	5q32
3290	27844		ubiquilin 2=UBQLN2=ubiquitin-like product Chap1/Dsk2, AF189009	UBQLN2
3310	27920	510467	p16-INK4a=Cyclin-dependent kinase 4 inhibitor A=Multiple tumor suppressor 1=MTS1	CDKN2A	9p21
3312	27924	2417513	Signal recognition particle 9kD	SRP9	1q41
3325	28274	859807	mucosal addressin cell adhesion molecule-1 (MAdCAM-1)	MADCAM1	19p13.3
3332	28300	470132	A28-RGS14p=G protein signaling regulator	RGS16	1q25-q31
3335	28306	485729	PPP1CB=Protein phosphatase 1, catalytic subunit, beta isoform	PPP1CB	2p23
3345	28771	377560	CD3 delta=T cell surface glycoprotein	CD3D	11q23
3356	28725	772425	fibroblast activation protein=integral membrane serine protease Seprase	FAP	2q23
3361	157651	22012	ADP-ribosylation factor 3	ARF3	12q13
3368	157677	33525	eukaryotic translation elongation factor 1 gamma	EEF1G	11
3407	200842	202535	metallothionein-IG (MT1G) (clone 14VS)	MT1G	16q13
3418	201356	49164	CD106=VCAM-1	VCAM1	1p32-p31
3426	201396	840567	selenoprotein P, plasma, 1	SEPP1	5q31
3441	201738	949928	zinc finger protein 220	ZNF220	8p11
3468	202908	129610	Homo sapiens, Similar to transmembrane 4 superfamily member 1, clone MGC:23935 IMAGE:3828466, mRNA, complete cds		3
3470	202912	137387	transcription factor AP-2 alpha (activating enhancer-binding protein 2 alpha)	TFAP2A	6p24
3478	202940	825470	topoisomerase (DNA) II alpha (170kD)	TOP2A	17q21-q22
3495	205410	148800	Putative prostate cancer tumor suppressor	N33	8p22
351	27221	297219	cathepsin B	CTSB	8p22
3524	207832	375682	six transmembrane epithelial antigen of the prostate	STEAP	7q21
3528	207852	811166	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	2p25.2-p25.1
3547	208502	204257	metalloprotease/disintegrin/cysteine-rich protein precursor (MDC9)	ADAM9
3548	208504	366100	matrilin 2	MATN2	8q22
3563	208858	590615	integrin-linked kinase	ILK	11p15.5-p15.4
3587	209338	73702	EST
3588	209340	731356	cargo selection protein (mannose 6 phosphate receptor binding protein)	TIP47	19p13.3
3589	209342	84880	CGI-10 protein	LOC51004	14q22.1-q22.3
3606	202212	840606	hydroxysteroid (17-beta) dehydrogenase 4	HSD17B4	5q21
3626	202288	774409	endoglin (Osler-Rendu-Weber syndrome 1)	ENG	9q33-q34.1
3635	205210	795375	integral membrane protein 2B	ITM2B	13q14.3
364	27367	382913	RAL-B=GTP-binding protein	RALB	2cen-q13
3656	200296	823696	Interferon-induced 56-KDa protein	IFIT1	10q25-q26
3664	200324	668685	insulin-like growth factor binding protein 1	IGFBP1	7p13-p12
3675	200370	823590	sialyltransferase	STHM	17
369	27389	429091	histone 2A-like protein (H2A/l)	H2AFL	6p21.3
3693	157227	2215752	EST
3726	26884	725067	EF-1 alpha=Elongation factor 1-alpha	EEF1A1	6q14
373	27409	470074	PrP=prion protein	PRNP	20pter-p12
3732	26908	84730	Lipopolysaccharide binding protein (LBP)	LBP	20q11.23-q12
3734	26912	21655	CD73=Ecto 5 nucleotidase	NT_5	6q14-q21
3742	26940	117411	MHC Class II=DR alpha	HLA-DRA	6p21.3
3751	27270	324597	osteonectin=SPARC=basement membrane protein	SPARC	5q31.3-q32
3752	27272	324912	Interferon, alpha-inducible protein (clone IFI-6-16)	G1P3	1p35
3755	27290	328692	IL-8=chemokine	IL8	4q13-q21
3757	27294	338835	MMP-7=Matrix metalloproteinase 7=PUMP-1=matrilysin=28 kD Stromelysin=matrilysin, uterine	MMP7	11q21-q22
3758	27296	339321	Syndecan-4 = amphiglycan = ryudocan core protein	SDC4	20q12
376	27415	470953	MHC Class II=DR beta	HLA-DRB1	6p21.3
3776	27944	1102543	HSP70	HSPA1A	6p21.3
3799	28326	755279	c-fos	FOS	14q24.3
381	27437	486617	PDGF Receptor Alpha	PDGFRA	4q11-q13
3811	28374	26084	Mad2=MXI-1=MAX-binding protein=antagonizer of myc transcriptional activity=Mxi-1/Max heterodimers repress c-myc targets	MXI1	10q24-q25
3818	28400	265060	c-kit=SCF receptor	KIT	4q11-q12
3820	28404	526282	csk=C-SRC-kinase	CSK	15q23-q25
3830	28544	51448	ATF-3=activating transcription factor 3	ATF3	1
3834	28564	504763	Syndecan-4 = amphiglycan = ryudocan core protein	SDC4	20q12
3850	150011	2001553	tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kD)	TNFSF4	1q25
3905	200905	150314	lysophospholipase I	LYPLA1	6pter-p25.1
3915	200949	150702	Homeo box B5 (2.1 protein)	HOXB5	17q21-q22
3928	201479	773215	core binding factor alpha1b subunit=CBF alpha1=PEBP2aA1 transcription factor =AML1 Proto-oncogene=translocated in acute myeloid leukemia	RUNX1	21q22.3
3934	201503	789182	PCNA=proliferating cell nuclear antigen	PCNA	20pter-p12
3945	202605	144977	vitamin A responsive; cytoskeleton related	JWA	3p14
3959	202657	161992	fer-1 (C.elegans)-like 3 (myoferlin)	FER1L3	10q24
3976	205511	366971	topoisomerase (DNA) II alpha (170kD)	TOP2A	17q21-q22
4014	207483	365826	Growth arrest-specific 1	GAS1	9q21.3-q22
4030	208031	429434	ESTs	EST	14
4033	208037	293893	Homo sapiens, Similar to RIKEN cDNA 2900026B15 gene, clone MGC:21805 IMAGE:4182025, mRNA, complete cds		1
4078	208991	772890	Homo sapiens mRNA; cDNA DKFZp434N2412 (from clone DKFZp434N2412)		17
4120	202439	66560	Homo sapiens, clone MGC:17259 IMAGE:4149333, mRNA, complete cds
4128	202467	785744	DKFZP586K0524 protein	DKFZP586K052	11
4168	156824	1384797	Homo sapiens mRNA; cDNA DKFZp434O0227 (from clone DKFZp434O0227)		12
4210	27183	272686	Aldehyde dehydrogenase 6	ALDH1A3	15q26
4250	27431	485849	CLK-1=CDC-like kinase 1=PITSLRE alpha 1=galactosyltransferase associated protein kinase P58/GTA	CLK1	2q33
4251	27445	488304	FGFR1=Fibroblast growth factor receptor 1	FGFR1	8p11.2-p11.1
4252	27447	488488	brain-expressed HHCPA78 homolog=Induced in HL60 cells treated with vitamin D or cycloheximide	VDUP1	1
4267	27693	701100	X-CGD gene involved in chronic granulomatous disease locat ed on chromosome X=Cytochrome B-245 light chain component of microbicidal oxidase system in phagocytes	CYBB	Xp21.1
4271	27713	712280	L-plastin=actin-binding protein	LCP1	13q14.3
43	200937	30502	Delta=ligand for Notch receptor=neuroendocrine-specific protein A (NSP)	DLL1	6q13-q22.33
4337	28841	725321	Estrogen receptor	ESR1	6q25.1
4345	28869	509641	Interferon-inducible protein  9-27=interferon-induced 17kDa membrane protein	IFITM1	11
4363	200613	204148	ribosomal protein S6 kinase, 90kD, polypeptide 3	RPS6KA3	Xp22.2-p22.1
4367	200621	813149	H2B histone family, member Q	H2BFQ	1q21-q23
437	28425	813256	MDR1=Multidrug resistance protein 1=P-glycoprotein	ABCB1	7q21.1
4377	200665	126406	phosphoinositide-3-kinase, regulatory subunit, polypeptide 3 (p55, gamma)	PIK3R3	1pter-p32.1
439	28441	810331	BPGF-1=bone-derived growth factor=Q6=quiescin=expression is induced by reversible growth arrest, trypsinization and serum starvation and is blocked by SV40 transformation	AKT1	14q32.32
4391	201101	823859	gap junction protein, beta 2, 26kD (connexin 26)	GJB2	13q11-q12
4405	201549	796646	ornithine decarboxylase 1	ODC1	2p25
441	28445	342378	DUSP5=Dual specificity phosphatase induced by serum stimulation and heat shock	DUSP5	10q25
4410	201559	33045	neuropeptide Y receptor Y1	NPY1R	4q31.3-q32
4414	201579	840687	mucin 1, transmembrane	MUC1	1q21
4415	201581	796994	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)	MCP	1q32
4427	201629	782513	interferon, alpha-inducible protein (clone IFI-6-16)	G1P3	1p35
4435	202725	295939	hypothetical protein FLJ22174	FLJ22174	6
4452	202783	246620	spermatid perinuclear RNA-binding protein	STRBP	9q33.1-q33.3
4493	207653	366815	Sox4=SRY-box containing gene 4=near retroviral insertion in mouse B leukemia/lymphoma	FLJ22174	6
4519	208341	462953	monoamine oxidase B	MAOB	Xp11.4-p11.3
4532	208679	740941	adipose specific 2	APM2	10
4546	208731	855745	ESTs, Highly similar to G2HU Ig gamma-2 chain C region [H.sapiens]		14
455	28497	811842	Signal recognition particle 72 (SRP72) with overlapping cam kinase II isoform	SRP72	1q32
4552	209139	361688	dipeptidylpeptidase VI	DPP6	7q36.2
4571	209213	307471	TALLA=T-cell acute lymphoblastic leukemia associated antigen 1=cell surface glycoprotein	TM4SF2	Xq11
4578	202039	79022	FosB=G0S3	FOSB	19q13.2
4589	202085	840818	filamin B, beta (actin-binding protein-278)	FLNB	3p14.3
4598	202511	119882	fibrinogen, gamma polypeptide	FGG	4q28
4640	200183	810017	plasminogen activator, urokinase receptor	PLAUR	19q13
4672	157380	2219726	EST
4695	26993	135880	TTP=tristetraproline=GOS24=zinc finger transcriptional regulator	ZFP36	19q13.1
4700	27015	149319	Interferon-induced 17 KD protein	ISG15	1pter-p36.31
4701	27017	150804	thymosin beta-4	SC5DL	11q23.3
