Probe set ID	Symbol	Description	RefSeq Transcript ID	Cytoband	Status
203555_at	PTPN18	protein tyrosine phosphatase, non-receptor type 18 (brain-derived) /// protein tyrosine phosphatase, non-receptor type 18 (brain-derived)	NM_014369	chr2q21.2	Overexpressed in H/TCRBCL
212302_at	KIAA0252	KIAA0252	AI192081	chr15q14	Overexpressed in H/TCRBCL
205212_s_at	CENTB1	centaurin, beta 1	NM_014716	chr17p13.2	Overexpressed in H/TCRBCL
202181_at	KIAA0247	KIAA0247	NM_014734	chr14q24.1	Overexpressed in H/TCRBCL
221525_at	DKFZp761I2123	hypothetical protein DKFZp761I2123	AL136572	chr7p13	Overexpressed in H/TCRBCL
211256_x_at	BTN2A2	butyrophilin, subfamily 2, member A2	U90142	chr6p22.1	Overexpressed in H/TCRBCL
38398_at	MADD	MAP-kinase activating death domain	AB002356	chr11p11.2	Overexpressed in H/TCRBCL
211928_at	DNCH1	dynein, cytoplasmic, heavy polypeptide 1	AB002323	chr14q32	Overexpressed in H/TCRBCL
207428_x_at	CDC2L1	cell division cycle 2-like 1 (PITSLRE proteins)	NM_001787	chr1p36	Overexpressed in H/TCRBCL
209889_at	SEC31L2	SEC31-like 2 (S. cerevisiae)	AF274863	chr10q24.32	Overexpressed in H/TCRBCL
201248_s_at	SREBF2	sterol regulatory element binding transcription factor 2	NM_004599	chr22q13	Overexpressed in H/TCRBCL
201127_s_at	ACLY	ATP citrate lyase	AI971281	chr17q12-q21	Overexpressed in H/TCRBCL
220371_s_at	SLC12A9	solute carrier family 12 (potassium/chloride transporters), member 9 /// solute carrier family 12 (potassium/chloride transporters), member 9	NM_020246	chr7q22	Overexpressed in H/TCRBCL
221013_s_at	APOL2	apolipoprotein L, 2 /// apolipoprotein L, 2 /// apolipoprotein L, 2	NM_030882	chr22q12	Overexpressed in H/TCRBCL
200593_s_at	HNRPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A) /// heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	BC003621	chr1q44	Overexpressed in H/TCRBCL
202879_s_at	PSCD1	pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)	AI798823	chr17q25	Overexpressed in H/TCRBCL
208868_s_at	GABARAPL1	GABA(A) receptor-associated protein like 1	BF125756	chr12p13.31	Overexpressed in H/TCRBCL
218114_at	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1	NM_013365	chr22q13.31	Overexpressed in H/TCRBCL
208633_s_at	MACF1	microtubule-actin crosslinking factor 1	W61052	chr1p32-p31	Overexpressed in H/TCRBCL
201423_s_at	CUL4A	cullin 4A	AL037208	chr13q34	Overexpressed in H/TCRBCL
209721_s_at	HOM-TES-103	HOM-TES-103 tumor antigen-like	BC002857	chr12p13.3	Overexpressed in H/TCRBCL
208917_x_at	FLJ13052	NAD kinase	BE674658	chr1p36.33-p36.21	Overexpressed in H/TCRBCL
201748_s_at	SAFB	scaffold attachment factor B /// scaffold attachment factor B	NM_002967	chr19p13.3-p13.2	Overexpressed in H/TCRBCL
213474_at	KCTD7	potassium channel tetramerisation domain containing 7	AI890903	chr7q11.21	Overexpressed in H/TCRBCL
207713_s_at	C20orf18	chromosome 20 open reading frame 18	NM_006462	chr20p13	Overexpressed in H/TCRBCL
201055_s_at	HNRPA0	heterogeneous nuclear ribonucleoprotein A0 /// heterogeneous nuclear ribonucleoprotein A0	NM_006805	chr5q31	Overexpressed in H/TCRBCL
202639_s_at	RANBP3	RAN binding protein 3	AI689052	chr19p13.3	Overexpressed in H/TCRBCL
222175_s_at	PCQAP	PC2 (positive cofactor 2, multiprotein complex) glutamine/Q-rich-associated protein /// PC2 (positive cofactor 2, multiprotein complex) glutamine/Q-rich-associated protein	AK000003	chr22q11.2	Overexpressed in H/TCRBCL
201247_at	SREBF2	sterol regulatory element binding transcription factor 2	BE513151	chr22q13	Overexpressed in H/TCRBCL
200672_x_at	SPTBN1	spectrin, beta, non-erythrocytic 1	NM_003128	chr2p21	Overexpressed in H/TCRBCL
212369_at	ZNF384	zinc finger protein 384	AI264312	chr12p12	Overexpressed in H/TCRBCL
201102_s_at	PFKL	phosphofructokinase, liver /// phosphofructokinase, liver	NM_002626	chr21q22.3	Overexpressed in H/TCRBCL
207856_s_at	FLJ20297	hypothetical protein FLJ20297	NM_017951	chr2q21.2	Overexpressed in H/TCRBCL
212261_at	TNRC15	trinucleotide repeat containing 15	AB014542	chr2q37.1	Overexpressed in H/TCRBCL
207634_at	PDCD1	programmed cell death 1 /// programmed cell death 1	NM_005018	chr2q37.3	Overexpressed in H/TCRBCL
210859_x_at	CLN3	ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)	AF077973	chr16p12.1	Overexpressed in H/TCRBCL
214752_x_at	FLNA	filamin A, alpha (actin binding protein 280)	AI625550	chrxq28	Overexpressed in H/TCRBCL
220633_s_at	HP1-BP74	HP1-BP74 /// HP1-BP74	NM_016287	chr1p36.12	Overexpressed in H/TCRBCL
213022_s_at	UTRN	utrophin (homologous to dystrophin) /// utrophin (homologous to dystrophin)	NM_007124	chr6q24	Overexpressed in H/TCRBCL
208686_s_at	BRD2	bromodomain containing 2	D42040	chr6p21.3	Overexpressed in H/TCRBCL
220046_s_at	CCNL1	cyclin L1 /// cyclin L1	NM_020307	chr3q25.32	Overexpressed in H/TCRBCL
219040_at	FLJ22021	hypothetical protein FLJ22021	NM_024535	chr16p13.3	Overexpressed in H/TCRBCL
206991_s_at	CCR5	chemokine (C-C motif) receptor 5 /// chemokine (C-C motif) receptor 5	NM_000579	chr3p21	Overexpressed in H/TCRBCL
212705_x_at		transport-secretion protein 2.2	BF570210	chr11p15.5	Overexpressed in H/TCRBCL
36084_at	CUL7	cullin 7	D38548	chr6p21.1	Overexpressed in H/TCRBCL
221432_s_at	SLC25A28	solute carrier family 25, member 28 /// solute carrier family 25, member 28	NM_031212	chr10q23-q24	Overexpressed in H/TCRBCL
207890_s_at	MMP25	matrix metalloproteinase 25 /// matrix metalloproteinase 25	NM_022718	chr16p13.3	Overexpressed in H/TCRBCL
203308_x_at	HPS1	Hermansky-Pudlak syndrome 1	AI185798	chr10q23.1-q23.3	Overexpressed in H/TCRBCL
218606_at	ZDHHC7	zinc finger, DHHC domain containing 7	NM_017740	chr16q24.1	Overexpressed in H/TCRBCL
201087_at	PXN	paxillin /// paxillin	NM_002859	chr12q24.31	Overexpressed in H/TCRBCL
212235_at	PLXND1	plexin D1	AL575403	chr3q21.3	Overexpressed in H/TCRBCL
212017_at	LOC130074	hypothetical protein LOC130074	BF677404	chr2q21.2	Overexpressed in H/TCRBCL
218029_at	FLJ13725	hypothetical protein FLJ13725	NM_024519	chr16q22.1	Overexpressed in H/TCRBCL
207629_s_at	ARHGEF2	rho/rac guanine nucleotide exchange factor (GEF) 2 /// rho/rac guanine nucleotide exchange factor (GEF) 2	NM_004723	chr1q21-q22	Overexpressed in H/TCRBCL
203128_at	SPTLC2	serine palmitoyltransferase, long chain base subunit 2	NM_004863	chr14q24.3-q31	Overexpressed in H/TCRBCL
219634_at	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11 /// carbohydrate (chondroitin 4) sulfotransferase 11	NM_018413	chr12q	Overexpressed in H/TCRBCL
201354_s_at	BAZ2A	bromodomain adjacent to zinc finger domain, 2A	AA788652	chr12q24.3-qter	Overexpressed in H/TCRBCL
202443_x_at	NOTCH2	Notch homolog 2 (Drosophila)	AA291203	chr1p13-p11	Overexpressed in H/TCRBCL
211986_at	MGC5395	hypothetical protein MGC5395	BG287862	chr11q12.2	Overexpressed in H/TCRBCL
219259_at	SEMA4A	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A /// sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	NM_022367	chr1q22	Overexpressed in H/TCRBCL
201598_s_at	INPPL1	inositol polyphosphate phosphatase-like 1 /// inositol polyphosphate phosphatase-like 1	NM_001567	chr11q23	Overexpressed in H/TCRBCL
204650_s_at	APBB3	amyloid beta (A4) precursor protein-binding, family B, member 3 /// amyloid beta (A4) precursor protein-binding, family B, member 3	NM_006051	chr5q31	Overexpressed in H/TCRBCL
201965_s_at	KIAA0625	senataxin	NM_015046	chr9q34.3	Overexpressed in H/TCRBCL
220948_s_at	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide /// ATPase, Na+/K+ transporting, alpha 1 polypeptide	NM_000701	chr1p13	Overexpressed in H/TCRBCL
212431_at	KIAA0194	KIAA0194 protein	D83778	chr5q33.1	Overexpressed in H/TCRBCL
216524_x_at	---	MRNA; cDNA DKFZp564E233 (from clone DKFZp564E233)	AL049260	chr---	Overexpressed in H/TCRBCL
202692_s_at	UBTF	upstream binding transcription factor, RNA polymerase I /// upstream binding transcription factor, RNA polymerase I	NM_014233	chr17q21.3	Overexpressed in H/TCRBCL
214196_s_at	CLN2	ceroid-lipofuscinosis, neuronal 2, late infantile (Jansky-Bielschowsky disease)	AA602532	chr11p15	Overexpressed in H/TCRBCL
202568_s_at	MARK3	MAP/microtubule affinity-regulating kinase 3	AI745639	chr14q32.3	Overexpressed in H/TCRBCL
202809_s_at	FLJ21919	hypothetical protein FLJ21919	NM_023015	chr1q22	Overexpressed in H/TCRBCL
219968_at	ZNF589	zinc finger protein 589	NM_016089	chr3p21	Overexpressed in H/TCRBCL
215222_x_at	MACF1	microtubule-actin crosslinking factor 1	AK023406	chr1p32-p31	Overexpressed in H/TCRBCL
204968_at	C6orf47	chromosome 6 open reading frame 47 /// chromosome 6 open reading frame 47	NM_021184	chr6p21.3	Overexpressed in H/TCRBCL
212305_s_at	FLJ39207	C219-reactive peptide	AK025122	chr1q42.12	Overexpressed in H/TCRBCL
210120_s_at	RANBP3	RAN binding protein 3	BC004349	chr19p13.3	Overexpressed in H/TCRBCL
200859_x_at	FLNA	filamin A, alpha (actin binding protein 280)	NM_001456	chrxq28	Overexpressed in H/TCRBCL
212390_at	PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	AB007923	chr1q12	Overexpressed in H/TCRBCL
204691_x_at	PLA2G6	phospholipase A2, group VI (cytosolic, calcium-independent)	NM_003560	chr22q13.1	Overexpressed in H/TCRBCL
202840_at	TAF15	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa /// TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa	NM_003487	chr17q11.1-q11.2	Overexpressed in H/TCRBCL
201551_s_at	LAMP1	lysosomal-associated membrane protein 1	J03263	chr13q34	Overexpressed in H/TCRBCL
209734_at	HEM1	hematopoietic protein 1 /// hematopoietic protein 1	BC001604	chr12q13.1	Overexpressed in H/TCRBCL
202832_at	GCC2	GRIP and coiled-coil domain containing 2	NM_014635	chr2q12.3	Overexpressed in H/TCRBCL
213693_s_at	MUC1	mucin 1, transmembrane	AI610869	chr1q21	Overexpressed in H/TCRBCL
213091_at	MECT1	mucoepidermoid carcinoma translocated 1	AB014516	chr19p13.11	Overexpressed in H/TCRBCL
214780_s_at	MYO9B	myosin IXB /// myosin IXB	AK002201	chr19p13.1	Overexpressed in H/TCRBCL
209229_s_at	KIAA1115	KIAA1115	BC002799	chr19q13.42	Overexpressed in H/TCRBCL
38671_at	PLXND1	plexin D1	AB014520	chr3q21.3	Overexpressed in H/TCRBCL
200656_s_at	P4HB	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55) /// procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)	NM_000918	chr17q25	Overexpressed in H/TCRBCL
201557_at	VAMP2	vesicle-associated membrane protein 2 (synaptobrevin 2)	NM_014232	chr17p13.1	Overexpressed in H/TCRBCL
213261_at	KIAA0342	KIAA0342 gene product	AA035414	chr3p22.1	Overexpressed in H/TCRBCL
208945_s_at	BECN1	beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)	NM_003766	chr17q21	Overexpressed in H/TCRBCL
204552_at	INPP4A	inositol polyphosphate-4-phosphatase, type I, 107kDa	AA355179	chr2q11.2	Overexpressed in H/TCRBCL
214894_x_at	MACF1	microtubule-actin crosslinking factor 1	AK023285	chr1p32-p31	Overexpressed in H/TCRBCL
201552_at	LAMP1	lysosomal-associated membrane protein 1	NM_005561	chr13q34	Overexpressed in H/TCRBCL
201471_s_at	SQSTM1	sequestosome 1 /// sequestosome 1	NM_003900	chr5q35	Overexpressed in H/TCRBCL
215909_x_at	MINK	misshapen/NIK-related kinase	AL157418	chr17p13.3	Overexpressed in H/TCRBCL
211862_x_at	CFLAR	CASP8 and FADD-like apoptosis regulator	AF015451	chr2q33-q34	Overexpressed in H/TCRBCL
204155_s_at	KIAA0999	KIAA0999 protein	AA044154	chr11q23.3	Overexpressed in H/TCRBCL
221774_x_at	P38IP	transcription factor (p38 interacting protein)	AW003334	chr13q13.2	Overexpressed in H/TCRBCL
212031_at	RBM25	RNA binding motif protein 25	AV757384	chr14q24.3	Overexpressed in H/TCRBCL
214986_x_at	PPIL2	peptidylprolyl isomerase (cyclophilin)-like 2	U37221	chr22q11.21	Overexpressed in H/TCRBCL
211065_x_at	PFKL	phosphofructokinase, liver /// phosphofructokinase, liver	BC006422	chr21q22.3	Overexpressed in H/TCRBCL
213607_x_at	FLJ13052	NAD kinase	BE551347	chr1p36.33-p36.21	Overexpressed in H/TCRBCL
204064_at	THOC1	THO complex 1 /// THO complex 1	NM_005131	chr18p11.32	Overexpressed in H/TCRBCL
220408_x_at	P38IP	transcription factor (p38 interacting protein) /// transcription factor (p38 interacting protein)	NM_017569	chr13q13.2	Overexpressed in H/TCRBCL
221578_at	RASSF4	Ras association (RalGDS/AF-6) domain family 4	AF260335	chr10q11.21	Overexpressed in H/TCRBCL
213178_s_at	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	AB028989	chr16p13.3	Overexpressed in H/TCRBCL
212323_s_at	VPS13D	vacuolar protein sorting 13D (yeast)	AA524553	chr1p36.21	Overexpressed in H/TCRBCL
202662_s_at	ITPR2	inositol 1,4,5-triphosphate receptor, type 2	NM_002223	chr12p11	Overexpressed in H/TCRBCL
203480_s_at	HSHIN1	HIV-1 induced protein HIN-1	NM_014928	chr4q31.21	Overexpressed in H/TCRBCL
215722_s_at	SNRPA1	small nuclear ribonucleoprotein polypeptide A	AJ130971	chr15q26.3	Overexpressed in H/TCRBCL
212016_s_at	PTBP1	polypyrimidine tract binding protein 1	AA679988	chr19p13.3	Overexpressed in H/TCRBCL
210337_s_at	ACLY	ATP citrate lyase	U18197	chr17q12-q21	Overexpressed in H/TCRBCL
221002_s_at	DC-TM4F2	tetraspanin similar to TM4SF9 /// tetraspanin similar to TM4SF9	NM_030927	chr10q23.1	Overexpressed in H/TCRBCL
219183_s_at	PSCD4	pleckstrin homology, Sec7 and coiled-coil domains 4 /// pleckstrin homology, Sec7 and coiled-coil domains 4	NM_013385	chr22q12.3-q13.1	Overexpressed in H/TCRBCL
220856_x_at	---	---	NM_014128	chr---	Overexpressed in H/TCRBCL
201864_at	GDI1	GDP dissociation inhibitor 1 /// GDP dissociation inhibitor 1	NM_001493	chrxq28	Overexpressed in H/TCRBCL
201155_s_at	MFN2	mitofusin 2	NM_014874	chr1p36.21	Overexpressed in H/TCRBCL
217937_s_at	HDAC7A	histone deacetylase 7A /// histone deacetylase 7A	NM_016596	chr12q13.1	Overexpressed in H/TCRBCL
208989_s_at	FBXL11	F-box and leucine-rich repeat protein 11	AF179221	chr11q13.1	Overexpressed in H/TCRBCL
220071_x_at	FLJ10460	hypothetical protein FLJ10460	NM_018097	chr15q14	Overexpressed in H/TCRBCL
213389_at	ZNF592	zinc finger protein 592	BF508616	chr15q25.2	Overexpressed in H/TCRBCL
200744_s_at	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	AI741124	chr1p36.33	Overexpressed in H/TCRBCL
211284_s_at	GRN	granulin /// granulin	BC000324	chr17q21.32	Overexpressed in H/TCRBCL
212707_s_at	RASA4	RAS p21 protein activator 4	AI738591	chr7q22-q31.1	Overexpressed in H/TCRBCL
214989_x_at	PEPP2	phosphoinositol 3-phosphate-binding protein-2	BC000969	chr12p12	Overexpressed in H/TCRBCL
204882_at	ARHGAP25	Rho GTPase activating protein 25	NM_014882	chr2p13.3	Overexpressed in H/TCRBCL
201499_s_at	USP7	ubiquitin specific protease 7 (herpes virus-associated)	NM_003470	chr16p13.3	Overexpressed in H/TCRBCL
219113_x_at	DHRS10	dehydrogenase/reductase (SDR family) member 10 /// dehydrogenase/reductase (SDR family) member 10	NM_016246	chr19q13.33	Overexpressed in H/TCRBCL
208174_x_at	U2AF1L2	U2(RNU2) small nuclear RNA auxiliary factor 1-like 2 /// U2(RNU2) small nuclear RNA auxiliary factor 1-like 2	NM_005089	chrxp22.1	Overexpressed in H/TCRBCL
218155_x_at	FLJ10534	hypothetical protein FLJ10534	AK026565	chr17p13.3	Overexpressed in H/TCRBCL
215050_x_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	BG325734	chr1q32	Overexpressed in H/TCRBCL
221087_s_at	APOL3	apolipoprotein L, 3 /// apolipoprotein L, 3	NM_014349	chr22q13.1	Overexpressed in H/TCRBCL
36030_at	HOM-TES-103	HOM-TES-103 tumor antigen-like	AL080214	chr12p13.3	Overexpressed in H/TCRBCL
201964_at	KIAA0625	senataxin	N64643	chr9q34.3	Overexpressed in H/TCRBCL
214626_s_at	GANAB	glucosidase, alpha; neutral AB	AK026548	chr11q12.3	Overexpressed in H/TCRBCL
218396_at	VPS13C	vacuolar protein sorting 13C (yeast)	NM_017684	chr15q21.3	Overexpressed in H/TCRBCL
208852_s_at	CANX	calnexin	AI761759	chr5q35	Overexpressed in H/TCRBCL
213876_x_at	U2AF1L2	U2(RNU2) small nuclear RNA auxiliary factor 1-like 2	AW089584	chrxp22.1	Overexpressed in H/TCRBCL
218169_at	FLJ10305	hypothetical protein FLJ10305	NM_018052	chr16q22.1-q22.2	Overexpressed in H/TCRBCL
212860_at	ZDHHC18	zinc finger, DHHC domain containing 18	BG168720	chr1p35.3	Overexpressed in H/TCRBCL
218004_at	FLJ10276	hypothetical protein FLJ10276	NM_018045	chr1p34.3	Overexpressed in H/TCRBCL
218520_at	TBK1	TANK-binding kinase 1 /// TANK-binding kinase 1	NM_013254	chr12q14.1	Overexpressed in H/TCRBCL
203567_s_at	TRIM38	tripartite motif-containing 38	AU157590	chr6p21.3	Overexpressed in H/TCRBCL
209969_s_at	STAT1	signal transducer and activator of transcription 1, 91kDa	BC002704	chr2q32.2	Overexpressed in H/TCRBCL
203528_at	SEMA4D	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D /// sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	NM_006378	chr9q22-q31	Overexpressed in H/TCRBCL
203906_at	KIAA0763	KIAA0763 gene product	AI652645	chr3p25.2	Overexpressed in H/TCRBCL
221506_s_at	TNPO2	transportin 2 (importin 3, karyopherin beta 2b)	BG258639	chr19p13.2	Overexpressed in H/TCRBCL
208915_s_at	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	AF190863	chr16p12	Overexpressed in H/TCRBCL
215873_x_at	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	AK024446	chr6p21.1	Overexpressed in H/TCRBCL
209320_at	ADCY3	adenylate cyclase 3	AF033861	chr2p24-p22	Overexpressed in H/TCRBCL
211012_s_at	PML	promyelocytic leukemia	BC000080	chr15q22	Overexpressed in H/TCRBCL
206099_at	PRKCH	protein kinase C, eta /// protein kinase C, eta	NM_006255	chr14q22-q23	Overexpressed in H/TCRBCL
202474_s_at	HCFC1	host cell factor C1 (VP16-accessory protein) /// host cell factor C1 (VP16-accessory protein)	NM_005334	chrxq28	Overexpressed in H/TCRBCL
208979_at	NCOA6	nuclear receptor coactivator 6	AF128458	chr20q11	Overexpressed in H/TCRBCL
200898_s_at	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	AK002091	chr10q24.1-q24.3	Overexpressed in H/TCRBCL
202215_s_at	NFYC	nuclear transcription factor Y, gamma /// nuclear transcription factor Y, gamma	NM_014223	chr1p32	Overexpressed in H/TCRBCL
203082_at	BMS1L	BMS1-like, ribosome assembly protein (yeast)	NM_014753	chr10q11.21	Overexpressed in H/TCRBCL
211133_x_at	LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	AF009643	chr19q13.4	Overexpressed in H/TCRBCL
200766_at	CTSD	cathepsin D (lysosomal aspartyl protease) /// cathepsin D (lysosomal aspartyl protease)	NM_001909	chr11p15.5	Overexpressed in H/TCRBCL
202510_s_at	TNFAIP2	tumor necrosis factor, alpha-induced protein 2 /// tumor necrosis factor, alpha-induced protein 2	NM_006291	chr14q32	Overexpressed in H/TCRBCL
203380_x_at	SFRS5	splicing factor, arginine/serine-rich 5	NM_006925	chr14q24	Overexpressed in H/TCRBCL
213475_s_at	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	AC_002310	chr16p11.2	Overexpressed in H/TCRBCL
205095_s_at	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a isoform 1	NM_005177	chr17q21	Overexpressed in H/TCRBCL
208931_s_at	ILF3	interleukin enhancer binding factor 3, 90kDa	AF147209	chr19p13.2	Overexpressed in H/TCRBCL
205718_at	ITGB7	integrin, beta 7 /// integrin, beta 7	NM_000889	chr12q13.13	Overexpressed in H/TCRBCL
204692_at	LRCH4	leucine-rich repeats and calponin homology (CH) domain containing 4	NM_002319	chr7q22	Overexpressed in H/TCRBCL
218298_s_at	C14orf159	chromosome 14 open reading frame 159	NM_024952	chr14q32.12	Overexpressed in H/TCRBCL
202962_at	KIF13B	kinesin family member 13B /// kinesin family member 13B	NM_015254	chr8p21.1	Overexpressed in H/TCRBCL
206792_x_at	PDE4C	phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila)	NM_000923	chr19p13.11	Overexpressed in H/TCRBCL
217691_x_at	SLC16A3	solute carrier family 16 (monocarboxylic acid transporters), member 3	AA853175	chr17q25	Overexpressed in H/TCRBCL
215792_s_at	FLJ10737	hypothetical protein FLJ10737	AL109978	chr1p36.23	Overexpressed in H/TCRBCL
208595_s_at	MBD1	methyl-CpG binding domain protein 1	NM_015845	chr18q21	Overexpressed in H/TCRBCL
217703_x_at	---	Transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7-HUMAN Alu subfamily SQ sequence contamination warning entry	AA401963	chr---	Overexpressed in H/TCRBCL
201244_s_at	RAF1	v-raf-1 murine leukemia viral oncogene homolog 1 /// v-raf-1 murine leukemia viral oncogene homolog 1	NM_002880	chr3p25	Overexpressed in H/TCRBCL
212147_at	EST1B	Est1p-like protein B	AB029012	chr1q21.2	Overexpressed in H/TCRBCL
209688_s_at	FLJ10996	hypothetical protein FLJ10996	BC005078	chr2q14.2	Overexpressed in H/TCRBCL
201363_s_at	IVNS1ABP	influenza virus NS1A binding protein	AB020657	chr1q25.1-q31.1	Overexpressed in H/TCRBCL
221850_x_at	CTGLF1	centaurin, gamma-like family, member 1	AI826075	chr10q11.22	Overexpressed in H/TCRBCL
206431_x_at	KIAA0676	KIAA0676 protein	NM_015043	chr5q35.3	Overexpressed in H/TCRBCL
220617_s_at	ZNF532	zinc finger protein 532	NM_018181	chr18q21.32	Overexpressed in H/TCRBCL
209390_at	TSC1	tuberous sclerosis 1 /// tuberous sclerosis 1	AF013168	chr9q34	Overexpressed in H/TCRBCL
33646_g_at	GM2A	GM2 ganglioside activator	X61094	chr5q31.3-q33.1	Overexpressed in H/TCRBCL
208485_x_at	CFLAR	CASP8 and FADD-like apoptosis regulator	NM_003879	chr2q33-q34	Overexpressed in H/TCRBCL
203959_s_at	KIAA0478	KIAA0478 gene product	NM_014870	chr1pter-q31.3	Overexpressed in H/TCRBCL
210011_s_at	EWSR1	Ewing sarcoma breakpoint region 1	BC000527	chr22q12.2	Overexpressed in H/TCRBCL
209299_x_at	PPIL2	peptidylprolyl isomerase (cyclophilin)-like 2	BC000022	chr22q11.21	Overexpressed in H/TCRBCL
204046_at	PLCB2	phospholipase C, beta 2 /// phospholipase C, beta 2	NM_004573	chr15q15	Overexpressed in H/TCRBCL
201514_s_at	G3BP	Ras-GTPase-activating protein SH3-domain-binding protein	NM_005754	chr5q33.1	Overexpressed in H/TCRBCL
219333_s_at	CAPN10	calpain 10 /// calpain 10	NM_023083	chr2q37.3	Overexpressed in H/TCRBCL
203366_at	POLG	polymerase (DNA directed), gamma /// polymerase (DNA directed), gamma	NM_002693	chr15q25	Overexpressed in H/TCRBCL
204794_at	DUSP2	dual specificity phosphatase 2 /// dual specificity phosphatase 2	NM_004418	chr2q11	Overexpressed in H/TCRBCL
212439_at	IHPK1	inositol hexaphosphate kinase 1	BE614199	chr3p21.31	Overexpressed in H/TCRBCL
202702_at	TRIM26	tripartite motif-containing 26 /// tripartite motif-containing 26	NM_003449	chr6p21.3	Overexpressed in H/TCRBCL
213160_at	DOCK2	dedicator of cytokinesis 2	D86964	chr5q35.1	Overexpressed in H/TCRBCL
